PROPERTY_DESCRIPTION,PROPREF,PROPERTY_ADDRESS,RATEPAYER,RV,LIABILITY_START,RELIEF_AS_AT_TODAY
Advertising Right And Premises,64448820,"Ad. Rgt Bus Shelter,Board No, 0702 0125 Adj Post Office, Burnley Road, Luddendenfoot        HX2 6AA",Clear Channel (Uk) Ltd,240,30/06/2008,SBR
Advertising Right and Premises,64452704,"Advertising Right, Cote Hill Service Station, Burnley Road, Halifax              HX2 7NB",Primesight Ltd,480,01/04/2001,SBR
Advertising Right and Premises,64500702,"Advertising Right No 254, Gable 76/77, Carr House Road, Shelf                HX3 7RJ",Primesight Ltd,1400,01/09/2009,SBR
Advertising Right and Premises,64500713,"Gable 54 Carr House Road, Shelf, Halifax, HX3 7RJ",Primesight Ltd,1325,01/09/2009,SBR
Advertising Right and Premises,64500714,"Board No 7767, Opp Princefield Nursery, Carr House Road, Shelf                HX7 7RJ",Primesight Ltd,1175,01/09/2009,SBR
Advertising Right and Premises,64500718,"Advertising Right, 14 Carr House Road, Shelf, Halifax             HX3 7QY",Primesight Ltd,240,01/04/2000,SBR
Advertising Right and Premises,64628740,"Advertising Right, Gable, 1 Club Lane, Ovenden, Halifax              HX2 8AF",Primesight Ltd,240,01/04/2003,SBR
Advertising Right and Premises,64708702,"Board No 2183, Gable Of Deal Street, Halifax, HX1 1QX",Primesight Ltd,1775,01/09/2009,SBR
Advertising Right and Premises,65018700,"Advertising Right, Elizabeth Street, Greetland, Halifax              HX4 8AF",Primesight Ltd,240,07/09/2000,SBR
Advertising Right and Premises,65100707,"Adjacent Coliseum, Fountain Street, Halifax, HX1 2AB",The Luminar Group Ltd,1325,10/12/2011,SBR
Advertising Right and Premises,65164115,"Advertising Right, 115 Gibbet Street, Halifax, HX1 5BP",Primesight Ltd,980,01/09/2009,SBR
Advertising Right and Premises,65164168,"Bus Shelter Outside, 168 Gibbet Street, Halifax, HX1 5LF",Clear Channel (Uk) Ltd,300,01/04/2013,SBR
Advertising Right And Premises,65164340,"Advertising Right, 340 Gibbet Street, Halifax, HX1 4JW",J C Decaux Uk Ltd,365,01/04/1994,SBR
Advertising Right And Premises,65164717,"Advertising Right 0702 0028, Junction Newstead Terrace, Gibbet Street, Halifax              HX1 4TA",Clear Channel (Uk) Ltd,300,01/04/2000,SBR
Advertising Right And Premises,65164728,"Opp Thorn Tree Inn, Gibbet Street, Halifax, HX1 5JE",Jc Decaux Ltd,1600,01/04/1996,SBR
Advertising Right and Premises,65180707,"Advertising Right, Adj Undercliffe Service Stn, Godley Lane, Shibden              HX3 6XG",Primesight Ltd,240,01/04/2005,SBR
Advertising Right And Premises,65224105,"Advertising Right, 105 Haley Hill, Halifax, HX3 6EE",J C Decaux Uk Ltd,810,01/04/1990,SBR
Advertising Right and Premises,65224727,"Advertising Right, Adj Haley Hill Service Stn, Haley Hill, Halifax              HX3 6ED",Primesight Ltd,480,01/04/2005,SBR
Advertising Right and Premises,65232721,"Adj 38 Halifax Road, Hipperholme, Halifax, HX3 8ER",Primesight Ltd,1325,01/09/2009,SBR
Advertising Right And Premises,65232727,"Gable 36 Halifax Road, Hipperholme, Halifax, HX3 8HD",J C Decaux Uk Ltd,1325,01/04/1994,SBR
Advertising Right And Premises,65264784,"Adv Rt Bus Shelter 0702 0148, Adj 228 Hanson Lane, Halifax, HX1 4QW",Clear Channel (Uk) Ltd,240,01/04/2010,SBR
Advertising Right and Premises,65388717,"R/O 2 Horton Street, Halifax, HX1 1PU",Primesight Ltd,1325,01/09/2009,SBR
Advertising Right And Premises,65412150,"Board No. 0702 0043, Huddersfield Road, Halifax, HX3 0PN",Clear Channel (Uk) Ltd,480,01/04/2000,SBR
Advertising Right And Premises,65412711,"Board Nos. 0065/0066/0115, Huddersfield Road, Halifax, HX3 0QA",Jc Decaux Ltd,10250,01/04/1996,SBR
Advertising Right and Premises,65412712,"Advertising Right No 0496-01, Huddersfield Road, Halifax, HX3 0PN",Primesight Ltd,290,01/09/2009,SBR
Advertising Right and Premises,65484220,"Advertising Right, Bus Shelter 0702 0137, Opp 220 Keighley Road, Halifax              HX2 9DP",Clear Channel (Uk) Ltd,480,09/09/2008,SBR
Advertising Right And Premises,65484727,"Gable 53 Keighley Road, Halifax, HX2 8AR",Jc Decaux Ltd,830,01/04/1996,SBR
Advertising Right And Premises,65516146,"Bus Shelter 0702 0156 Front, 146 King Cross Road, Halifax, HX1 3JZ",Clear Channel (Uk) Ltd,300,01/04/2010,SBR
Advertising Right and Premises,65516700,"Boards 1026 & 4022, Co-Op Supermarket, King Cross Road, Halifax              HX1 3RJ",Primesight Ltd,1325,01/09/2009,SBR
Advertising Right And Premises,65520711,"Adj 22 King Cross Street, Halifax, HX1 2SH",Jc Decaux Ltd,1125,01/04/1996,SBR
Advertising Right and Premises,65520713,"Advertising Right, Board No. 689/01402, 19 King Cross Street, Halifax              HX1 2SH",Clear Channel (Uk) Ltd,2650,01/04/1991,SBR
Advertising Right and Premises,65520724,"Advertising Right, Adj Beehive & Cross Keys, King Cross Street, Halifax              HX1 2SH",Primesight Ltd,240,01/04/2001,SBR
Advertising Right and Premises,65576700,"Corner Halifax Road, Of Lane Ends Green, Hipperholme, Halifax              HX3 8HL",Primesight Ltd,2750,01/09/2009,SBR
Advertising Right and Premises,65625700,"Advertising Right Adj Junct., Ovenden Road/Lentilfield St, Halifax, HX3 5PT",Clear Channel (Uk) Ltd,240,01/07/2001,SBR
Advertising Right And Premises,65844706,"Adv Rt Bus Shelter 0702 0165, Opp Junct Cross Street West, Moor End Road, Halifax              HX2 0JB",Clear Channel (Uk) Ltd,480,01/06/2010,SBR
Advertising Right and Premises,65943701,"Advertising Right, Bus Shelter 0702-0136, Keighley Road, Illingworth          HX2 9DN",Clear Channel (Uk) Ltd,480,09/07/2008,SBR
Advertising Right And Premises,68156712,"Advertising Right, S/O 68 Ovenden Road, Halifax, HX3 5PN",Jc Decaux Ltd,4100,01/04/1996,SBR
Advertising Right And Premises,68156714,"Advertising Right 0702 0007, Frt 354 Ovenden Road, Halifax, HX3 5TJ",Clear Channel (Uk) Ltd,480,01/04/2000,SBR
Advertising Right and Premises,68236030,"30 Pellon Lane, Halifax, HX1 5SP",,310,08/12/2007,SBR
Advertising Right and Premises,68236741,"Board No 0702-0040, Pellon Lane, Halifax, HX1 5SP",Clear Channel (Uk) Ltd,480,01/04/2000,SBR
Advertising Right and Premises,68236742,"Board No 0702-0015, Pellon Lane, Halifax, HX1 5SP",Clear Channel (Uk) Ltd,240,01/04/2000,SBR
Advertising Right And Premises,68236744,"Board No 2370, Pellon Lane, Halifax, HX1 5SP",Jc Decaux Ltd,1125,01/04/1996,SBR
Advertising Right and Premises,68236753,"Adj 36 Pellon Lane, Halifax, HX1 5SP",Richard Craven (Kly) Ltd,910,01/04/2000,SBR
Advertising Right And Premises,68236782,"Bus Shelter No. 17477, Adj 187 Pellon Lane, Halifax, HX1 5RL",Clear Channel (Uk) Ltd,480,01/04/2010,SBR
Advertising Right and Premises,68308737,"Advertising Right, Board No 289, At 193 Queens Road, Halifax              HX1 4NE",Primesight Ltd,810,01/09/2009,SBR
Advertising Right and Premises,68308752,"Board No 2167, Adj Rook Hotel, Queens Road, Halifax             HX1 4NS",Clear Channel (Uk) Ltd,980,01/01/2002,SBR
Advertising Right and Premises,68308753,"Board No 9201, Gable Queens Rd Cash & Carry, Queens Road, Halifax              HX1 3NS",Primesight Ltd,900,01/09/2009,SBR
Advertising Right And Premises,68388242,"Adv Right Bus Shelter 20922, Adj 242 Rochdale Road, Halifax, HX2 7NL",Clear Channel (Uk) Ltd,480,01/04/2009,SBR
Advertising Right And Premises,68392166,"Advertising Right 22903, Opp 166 Rochdale Road, Greetland, HX4 8JE",Clear Channel (Uk) Ltd,480,18/06/2008,SBR
Advertising Right and Premises,68452365,"Advertising Right No 4772, 365 Salterhebble Hill, Halifax, HX3 9LU",Primesight Ltd,1675,01/09/2009,SBR
Advertising Right and Premises,68452712,"Advertising Right, 349 Salterhebble Hill, Halifax, HX3 0QA",Primesight Ltd,1675,01/09/2009,SBR
Advertising Right And Premises,68652710,"Adj 54 Southgate, Halifax, HX1 1DL",J C Decaux Uk Ltd,3950,01/04/1996,SBR
Advertising Right and Premises,68777747,"Advertising Right, Gable 41 Stainland Road, Greetland, Halifax              HX4 8BD",Primesight Ltd,150,01/04/1999,SBR
Advertising Right and Premises,68872707,"Advertising Right, At Stump Cross Inn, Stump Cross, Halifax             HX3 7AU",Primesight Ltd,480,14/08/2000,SBR
Advertising Right And Premises,69042703,"Bus Shelter, North Of Thompson Court, Thompson Close, Hipperholme          HX3 8FG",Clear Channel (Uk) Ltd,480,06/07/2014,SBR
Advertising Right And Premises,69216723,"Advertising Rt @ Bus Shelter, Adj Duke William Inn, Wade House Road, Shelf                HX3 7PF",Clear Channel (Uk) Ltd,480,19/06/2007,SBR
Advertising Right And Premises,69244705,"Advertising Right Board No., 0702 0015 Bus Shelter, Wakefield Road, Hipperholme          HX3 8AA",Clear Channel (Uk) Ltd,480,01/06/2008,SBR
Advertising Right And Premises,69276014,"Advertising Right 0702 0161, Front Of, 14 Warley Road, Halifax              HX1 3RR",Clear Channel (Uk) Ltd,480,01/01/2010,SBR
Advertising Right And Premises,69276157,"Advertising Right, Bus Shelter 0702 0143, Opp 157 Warley Road, Halifax              HX1 3TW",Clear Channel (Uk) Ltd,480,11/08/2008,SBR
Advertising Right And Premises,69276709,"Advertising Right 0160, Opp 14 Warley Road, Halifax, HX1 3RR",Clear Channel (Uk) Ltd,480,01/01/2010,SBR
Advertising Right and Premises,76056703,"Advertising Right, Adj 3 Bridge End, Burnley Road, Mytholmroyd          HX7 5DR",Primesight Ltd,240,01/04/2000,SBR
Advertising Right And Premises,76240706,"Adv Rt Bus Shltr  07020151, Adj Stoney Lane, Halifax Road, Charlestown          HX7 6PL",Clear Channel (Uk) Ltd,150,16/09/2009,SBR
Advertising Right And Premises,76240707,"Whiteley Garage, Whiteley Arches, Halifax Road, Hebden Bridge        HX7 5NX",Primesight Ltd,240,07/07/2011,SBR
Advertising Right And Premises,76252776,"Adv Rt 0702 0153 Bus Shelter, O/S White Lee Gardens, Burnley Road, Mytholmroyd          HX7 5PD",Clear Channel (Uk) Ltd,240,12/10/2010,SBR
Advertising Right and Premises,77076702,"Board No 307, Gable Sowerby Bridge W M C, Bolton Brow, Sowerby Bridge       HX6 2AL",Primesight Ltd,1325,01/09/2009,SBR
Advertising Right and Premises,77076710,"Adj 139 Bolton Brow, Sowerby Bridge, HX6 2BD",Primesight Ltd,980,01/09/2009,SBR
Advertising Right and Premises,77108711,"Gable 39 Burnley Road, Sowerby Bridge, HX6 2TL",Clear Channel (Uk) Ltd,1325,01/04/1990,SBR
Advertising Right And Premises,77444705,"Advertising Right, No 23045 Bus Shelter, Regent Parade, Wharf Street",Clear Channel (Uk) Ltd,480,01/04/2007,SBR
Advertising Right and Premises,77460709,"Advertising Right, Triangle Post Office, 55 Rochdale Road, Triangle            HX6 3NE",Primesight Ltd,150,01/04/2000,SBR
Advertising Right and Premises,77460710,"Advertising Right, 47 Rochdale Road, Triangle, Sowerby Bridge      HX6 3NE",Primesight Ltd,150,01/04/2000,SBR
Advertising Right And Premises,77504704,"Advertising Right, Bus Shelter 0702 0127, Adj 1-10 Sowerby Street, Sowerby Bridge       HX6 3AT",Clear Channel (Uk) Ltd,480,13/08/2008,SBR
Advertising Right and Premises,77648705,"Opp Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AP",Clear Channel (Uk) Ltd,600,01/04/2000,SBR
Advertising Right and Premises,77652706,"Nr Roxy Bingo Hall, Wharf Street, Sowerby Bridge, HX6 2AE",Clear Channel (Uk) Ltd,480,01/04/2000,SBR
Advertising Right And Premises,77652747,"Advertising Right, No 23044 Bus Shelter, Wharf Street, Sowerby Bridge       HX6 2AB",Clear Channel (Uk) Ltd,240,19/04/2007,SBR
Advertising Right and Premises,78028702,"Bankwell, Burnley Road, Todmorden, OL14 8PA",Primesight Ltd,1000,01/09/2009,SBR
Advertising Right And Premises,78076218,"218 Burnley Road, Todmorden, OL14 8EA",J C Decaux Uk Ltd,210,01/04/1994,SBR
Advertising Right And Premises,78076284,"Advertising Right On, Bus Shelter 19892 Front Of, 284 Burnley Road, Todmorden           OL14 8EW",Clear Channel (Uk) Ltd,480,07/04/2008,SBR
Advertising Right And Premises,78076867,"Advertising Right On, Bus Shelter 19895 Glen View, Burnley Road, Todmorden           OL14 8ER",Clear Channel (Uk) Ltd,480,10/04/2008,SBR
Advertising Right And Premises,78192558,"Adv Rt Bus Shelter 0702 0152, Opp 558 Halifax Road, Todmorden, OL14 6DQ",Clear Channel (Uk) Ltd,240,19/07/2009,SBR
Advertising Right and Premises,78192780,"Gable,Negas Social Club, Halifax Road, Todmorden, OL14 5SR",Clear Channel (Uk) Ltd,810,01/04/1995,SBR
Advertising Right and Premises,78192792,"Advertising Right, Springs Service Station, Halifax Road, Todmorden           OL14 5TS",Primesight Ltd,480,01/09/2003,SBR
Advertising Right And Premises,78192803,"Advertising Rgt,Shltr 19859, Fnt Of 37 Hallroyd Crescent, Halifax Road, Todmorden           OL14 5BB",Clear Channel (Uk) Ltd,480,08/04/2008,SBR
Advertising Right And Premises,78192804,"Advertising Rt,Shelter 19836, Opposite Shaw Wood, Halifax Road, Todmorden           OL14 6DA",Clear Channel (Uk) Ltd,240,08/04/2008,SBR
Advertising Right And Premises,78192805,"Advertising Rt,Shelter 19837, Shaw Wood, Halifax Road, Todmorden           OL14 6DA",Clear Channel (Uk) Ltd,480,08/04/2008,SBR
Advertising Right And Premises,78192808,"Advertising Right 0702 0139, Opp 231 Halifax Road, Todmorden, OL14 5RZ",Clear Channel (Uk) Ltd,480,18/09/2009,SBR
Advertising Right And Premises,78192809,"Advertising Right 0702 0157, Near Rivendell, Halifax Road, Todmorden           OL14 6DW",Clear Channel (Uk) Ltd,240,16/08/2010,SBR
Advertising Right And Premises,78400222,"Advert Right On Bus Shelter, Opp 222 Rochdale Road, Todmorden, OL14 7NU",Clear Channel (Uk) Ltd,240,04/07/2008,SBR
Advertising Right and Premises,78400754,"Advertising Right, 769 Rochdale Road, Todmorden, OL14 6TG",Primesight Ltd,980,01/09/2009,SBR
Advertising Right And Premises,78400802,"Morrisons Supermarket, Rochdale Road, Todmorden, OL14 6LG",J C Decaux Uk Ltd,1600,01/04/2010,SBR
Advertising Right and Premises,78400813,"Advertising Right, Adj 643 Rochdale Road, Todmorden, OL14 7SN",Primesight Ltd,150,09/10/2002,SBR
Advertising Station,68308709,"Board No 2084, Pellon Lane, Queens Road, Halifax              HX1 3JP",Primesight Ltd,4700,01/09/2009,SBR
Aerobics Studio And Premises,68444733,"4th Flr Brian Royd Mills, Brian Royd Lane, Greetland, Halifax             HX4 8NF",Binns & Sons (Greetland) Ltd,1525,17/09/2005,EX
Ambulance Station And Premises,29296720,"Wymas Ambulance Station, Halifax Road, Brighouse, HD6 2AG",Yorkshire Ambulance Service Nhs Trust,10750,01/04/2005,SBR
Ambulance Station And Premises,68086007,"Halifax Ambulance Station, North Parade, Halifax, HX1 1YQ",Yorkshire Ambulance Service Nhs Trust,25750,02/04/1991,
Ambulance Station And Premises,78444707,"Ambulance Service Depot, Stansfield Road, Todmorden, OL14 5DL",Yorkshire Ambulance Service Nhs Trust,8100,02/04/1991,SBR
Amusement Arcade And Premises,29196070,"70 Commercial Street, Brighouse, HD6 1AQ",The Novomatic Group,30500,01/04/1990,
Amusement Arcade And Premises,29624011,"11 Wellington Arcade, Briggate, Brighouse, HD6 1DN",W H Marshall Ltd,17250,30/09/2006,SBR
Amusement Arcade And Premises,64552702,"24 Cheapside, Halifax, HX1 1TQ",,26750,01/02/2014,
Amusement Arcade And Premises,68096001,"1 Northgate, Halifax, HX1 1UR",R A L Ltd,37750,01/04/1990,
Anenometer Mast and Premises,64648703,"Anemometer At, Ovenden Moor Windfarm, Cold Edge Road, Halifax              HX2 7UA",Yorkshire Windpower Ltd,3750,01/08/2013,SBR
Animal Clinic And Premises (Part),69220723,"R.S.P.C.A, Wade Street, Halifax, HX1 1SN","R.S.P.C.A. Halifax, Huddersfield",31750,01/04/2013,DCR MCR
Animal Hotel,29681005,"5 Farfield Rise, Bailiff Bridge, Brighouse, HD6 4FG",,100,01/11/2008,SBR
Art Gallery,76360723,"Heart Gallery Arts Centre, 4 Market Street, Hebden Bridge, HX7 6AA",,1325,01/10/2007,EX
Art Gallery And Premises,68252795,"Art Galleries, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,7600,01/04/2013,EX
Art Gallery And Premises,68526706,"Level 1 The 1830 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",The Art Works (Yorkshire) Cic,4600,04/04/2011,DOR SBR
Art Gallery And Premises,76160064,"64 Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5EZ",,690,10/12/2011,EX
Art Gallery And Premises,76360736,"Heart Gallery, The Arts Centre, 4A Market Street, Hebden Bridge        HX7 4AA",,5500,01/10/2010,EX
Art Studio And Premises,76552761,"Brooklyn Buildings, Valley Road, Hebden Bridge, HX7 7BZ",Northlight Art Studios Ltd,18000,06/03/2015,DOR
Auxiliary Defence Establishment And Premises,65416705,"T A Centre, Hunger Hill, Halifax, HX1 2JT",Yorkshire & Humber R F C A,17000,01/04/2000,SBR
Bakery And Premises,29408724,"Unit 2, 7 Martin Street, Brighouse, HD6 1DA",Lovebread C.I.C,2475,01/04/2013,SBR
Bakery And Premises,64848701,"Dundas Street, Halifax, HX1 3PQ",P Wilkinson [Bakers] Ltd,3250,01/04/1990,SBR
Bakery And Premises,76160824,"10C & 10D, Topland Country Bus Pk, Cragg Road, Mytholmroyd",Cragg Cakes Ltd,7700,01/10/2015,SBR
Band Practice Room,77340746,"Unit 11 First Floor, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",Units To Let [Northern] Ltd,610,19/05/2010,EX
Bank And Premises,29080012,"12 Bradford Road, Brighouse, HD6 1RW",Natwest Bank Plc,18750,01/04/1990,
Bank And Premises,29080016,"16 Bradford Road, Brighouse, HD6 1RW",Clydesdale Bank Plc,28000,01/04/1990,
Bank And Premises,29080035,"35 Bradford Road, Brighouse, HD6 4AS",Lloyds Bank Plc,20250,04/07/1993,
Bank And Premises,29100021,"21 Briggate, Brighouse, HD6 1EB",Barclays Bank Plc,21500,01/04/1990,
