OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,CH163642523MS/5451/4153,Fire protection works,ENVIRONMENT & HOUSING,,,02/06/2016,,,,,"£10,199.00",,"CHECKMATE FIRE SOLUTIONS LTD, Royd House, 11 Birds Royd Lane, BRIGHOUSE, HD6 1LQ",,Other/Not known,,Phil Rigby,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,CO0463425380000004157,Consultancy Services,STRATEGIC LANDLORD,,,17/06/2016,,,,,"£9,950.00",,"CONSULT CIH LTD., Octavia House, Westwood Way, COVENTRY, CV4 8JP",,c) Small,,Rob Goor,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,PR06284252401420,Aims monitoring at Woodhouse Lane,CIVIC ENTERPRISE LEEDS,,,03/06/2016,,,,,"£7,722.63",,"C-PROBE SYSTEMS LTD, Unit 2 Sherdley Road Ind Est, Wharton Street, ST HELENS, WA9 5AA",,Other/Not known,,Andrew McCulloch,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,DI060442531DG3897,Gym Equipment,CITY DEVELOPMENT,,,10/06/2016,,,,,"£13,180.00",,"DIVE GYM EQUIPTMENT LIMITED, 9 The Drive, Blackmore End, WHEATHAMSTEAD, AL4 8LE",,b) Micro,,Ian Waller,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,EN02634254810054,Litter Bin Sensors,ENVIRONMENT & HOUSING,,,27/06/2016,,,,,"£8,400.00",,"ENEVO UK LTD, 6th Floor  City Gate East, Toll House Hill, NOTTINGHAM, NG1 5FS",,Other/Not known,,Edwige Moutault,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,GC0038425301009756,Agency Staff,CENTRAL & CORPORATE,,,09/06/2016,,,,,"£8,000.00",,"GCS RECRUITMENT SPECIALISTS LTD, 2 Wesley Gate  70-74 Queens Road, NULL, READING, RG1 4AP",,c) Small,,Steven Bedford,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,GE022442545SINV-096402,Refuse Sacks,ENVIRONMENT & HOUSING,,,24/06/2016,,,,,"£7,583.36",,"GELPACK EXCELSIOR LTD, Westfields Trading Estate, Grandstand Road, HEREFORD, HR4 9NT",,d) Medium,,Matthew Birkett,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,GL016942548706956,Radio Campaign,CITIZENS AND COMMUNITIES,,,27/06/2016,,,,,"£8,699.00",,"GLOBAL RADIO SERVICES LTD, Po Box 2020, NULL, READING, RG31 7FG",,e) Large,,Mathew Spaull / Sue Wolfe,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,HE1145425281118,Sponsorship of Culture Issue of TCT,CITY DEVELOPMENT,,,07/06/2016,,,,,"£5,000.00",,"HEBE WORKS LTD, 46 The Calls, NULL, LEEDS, LS2 7EY",,Other/Not known,,Leanne Buchan,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,HU005142535S19369,Professional Qualifications,ENVIRONMENT & HOUSING,,,14/06/2016,,,,,"£62,700.00",,"HULL COLLEGE, Queens Gardens, Wilberforce Drive, HULL, HU1 3DG",,Other/Not known,,Paul Reeves,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,IA195042524OP/I625452,Provision of Fencing,ENVIRONMENT & HOUSING,,,03/06/2016,,,,,"£48,791.30",,"IAE, Mossfield Road  Adderley Green, Longton, STOKE ON TRENT, ST3 5BW",,e) Large,,Paul Ackroyd,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,IA234942523347208,Legal Fees,CHILDRENS SERVICES,,,02/06/2016,,,,,"£12,150.82",,"IAN SHIELS, Park Square Barristers, 6 Park Square East, LEEDS, LS1 2LW",,a) Individual,,Philippa Elliott,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,IN06574255037,Leaving Care Accommodation,CHILDRENS SERVICES,,,29/06/2016,,,,,"£17,933.09",,"INSPIRE SUPPORTED ACCOMMODATION LTD, Jenson House  Shaftesbury Street, NULL, WEST BROMWICH, B70 9QD",,Other/Not known,,Iain Dunn,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,JI172942543223,Feasibility Study,CHILDRENS SERVICES,,,22/06/2016,,,,,"£9,500.00",,"JIGSAW CONSULTANCY LTD, Anchor House, NULL, LOWER DUNSFORTH, YO26 9RZ",,e) Large,,Michelle Anderson,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,LE6969425376076357,IFDA Payment,CITY DEVELOPMENT,,,16/06/2016,,,,,"£10,000.00",,"LEEDS BECKETT UNIVERSITY, Cashiers Office  Room 202, Queen Square House  Woodhouse Lane, LEEDS, LS2 8NU",,Other/Not known,,Chris Ashby,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,MA578442531133008,Controlled Entry Systems,ENVIRONMENT & HOUSING,,,10/06/2016,,,,,"£11,497.04",,"MAYFAIR FIRE AND SECURITY, Adelaide House, Vivars Way  Selby, NORTH YORKSHIRE, YO8 8BE",,d) Medium,,Derek Prest,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,NC09974252961468195,National Consortium for Examination Results Subscription,CHILDRENS SERVICES,,,08/06/2016,,,,,"£11,576.05",,"NCER CIC, 3 Blakeley Court, Raby Mere, WIRRAL, CH63 0ND",,b) Micro,,Peter Storrie,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,NE072342530NLC1,Adoption Services,CHILDRENS SERVICES,,,09/06/2016,,,,,"£18,000.00",,"NEW LEAF ADOPTION, 2 A Railway Street, Pocklington, YORK, YO42 2QZ",,Other/Not known,,Iain Dunn,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,NO406842545500003242,Contribution to ADCS - Association of Directors of Children's Services ,CHILDRENS SERVICES,,,24/06/2016,,,,,"£20,702.49",,"NORTH YORKSHIRE COUNTY COUNCIL, County Hall, Northallerton, NORTH YORKSHIRE, DL7 8AL",,e) Large,,Iain Dunn,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,NO536X42534SA001576,Supply and Delivery of Containers,ENVIRONMENT & HOUSING,,,13/06/2016,,,,,"£13,125.00",,"NORTHERN CONTAINERS LTD, Haigh Park Road, Stourton, LEEDS, LS10 1RT",,c) Small,,Nicholas Smithson,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,NO0465425510000015749,Re-installation of ATM,CITY DEVELOPMENT,,,30/06/2016,,,,,"£7,960.00",,"NOTE MACHINE UK LTD, Russel House Elvicta Business Park, Crickhowell, POWYS, NP8 1DF",,e) Large,,Chris Ashby,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,OS369542538162041,Bespoke Conference Materials,CHILDRENS SERVICES,,,17/06/2016,,,,,"£26,250.00",,"OSIRIS EDUCATIONAL WOODHALL SPA LTD, Raithby Hall, Raithby, SPILSBY, PE23 4DS",,d) Medium,,Andrew Eastwood,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,PA403B4254559269,Supply of Fencing,ENVIRONMENT & HOUSING,,,24/06/2016,,,,,"£13,750.20",,"PARAMOUNT STEEL FENCE, Florida Close, Hot Lane Industrial Estate, BURSLEM  STOKE ON TRENT, ST6 2DJ",,d) Medium,,Bob Bradley,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,PT0769425311002351/11/23463,Supply of Plumbing Materials,ENVIRONMENT & HOUSING,,,10/06/2016,,,,,"£89,208.86",,"PTS PLUMBING TRADE SUPPLIES, Credit Control P & H Division, 7 Barton Close Grove Park, LEICESTER, LE19 1SJ",,e) Large,,Phil Rigby,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,RE223142523RNW1047,Service Level Agreement,CITY DEVELOPMENT,,,02/06/2016,,,,,"£18,750.00",,"RENEW LEEDS LTD, 34 Regent Street, NULL, LEEDS, LS2 7QN",,d) Medium,,Sarah May,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,RO131142542444M20052016,Annual subscription to the Elgin Roadworks.org portal,CITY DEVELOPMENT,,,21/06/2016,,,,,"£10,000.00",,"ROADWORKS INFORMATION LIMITED, John Carpenter House, John Carpenter Street, LONDON, EC4Y 0AN",,b) Micro,,Jackie Larner,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,RY5891425315100010,ICT Allocation for Ryecroft Academy,CHILDRENS SERVICES,,,10/06/2016,,,,,"£45,000.00",,"RYECROFT ACADEMY, Stonebridge Grove, NULL, LEEDS, LS12 5AW",,Other/Not known,,Vivienne Buckland,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,SA02014254120000024286030026413,Residential Care,CHILDRENS SERVICES,,,20/06/2016,,,,,"£12,323.36",,"SANCTUARY HOUSING ASSOCIATION, Chamber Court, Castle Street, WORCESTER, WR1 3ZQ",,e) Large,,Andrea Richardson,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,SH3085425230000250449,Electoral Supplies,CITIZENS AND COMMUNITIES,,,02/06/2016,,,,,"£7,204.00",,"SHAW & SONS LTD, Shaway House, 21 Bourne Park, Bourne Road, Crayford, KENT, DA1 4BZ",,c) Small,,Sue Wolfe,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,SI0366425231402583,Event Medical Services,CITY DEVELOPMENT,,,02/06/2016,,,,,"£19,273.75",,"SITE RESCUE, The Training Centre, New Princess Street, LEEDS, LS11 9BA",,Other/Not known,,Stuart Dornford-May,Non-Contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,ST267942536003111,Waste Disposal,ENVIRONMENT & HOUSING,,,15/06/2016,,,,,"£9,197.60",,"SJB RECYCLING LIMITED, Mount View, Standard Way, NORTHALLERTON, DL6 2YD",,c) Small,,Ravinder Sambhi,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,SO0451425381482,Feel Good Furniture,ADULT SOCIAL CARE,,,17/06/2016,,,,,"£9,250.00",,"SLATE CAFE AND FURNITURE STORE, 1 Low Road, Hunslet, LEEDS, LS10 1QR",,b) Micro,,Sinead Cregan,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,SO041442524194284,Audio-Visual Equipment,CITY DEVELOPMENT,,,03/06/2016,,,,,"£5,000.00",,"SOUND LEISURE LIMITED, Sandleas Way, Crossgates, LEEDS, LS15 8AR",,Other/Not known,,Sarah Barton,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,ST012542541J2276141,Payment Processing,CENTRAL & CORPORATE,,,20/06/2016,,,,,"£19,047.36",,"STREAMLINE CHARGES, Gateshead Card Centre, Victory House, Fifth Avenue, GATESHEAD, NE8 1HJ",,c) Small,,Philippa Elliott,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,SU101442530610245,Quarantine and holding system for Tropical World Fish,ENVIRONMENT & HOUSING,,,09/06/2016,,,,,"£8,169.00",,"SUSTAINABLE SOURCES LIMITED, Windy Harbour Green Lane, Heptonstall, HEDBEN BRIDGE, HX7 7PD",,Other/Not known,,David Morgan,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,FA999842524001270031,Panel/bag filters and belts,ENVIRONMENT & HOUSING,,,03/06/2016,,,,,"£8,838.00",,"SYSTEMAIR FANS & SPARES, 72 Cheston Road, NULL, BIRMINGHAM, B7 5EJ",,d) Medium,,Phil Rigby,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,HO106242527LA0148-61948,Housing Ombudsman membership,STRATEGIC LANDLORD,,,06/06/2016,,,,,"£56,696.64",,"THE HOUSING OMBUDSMAN, 81 Aldwych, NULL, LONDON, WC2B 4HN",,c) Small,,Michael Craggs,Non-influenceable
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,GE983542544GEN31579,ICT Agency Staff,CENTRAL & CORPORATE,,,23/06/2016,,,,,"£10,800.00",,"TRIAD RESOURCING, 37 Sunningdale House, Caldecotte Business Park, MILTON KEYNES, MK7 8LF",,d) Medium,,Steven Bedford,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,UN271742530INV93617,Unipol Student Homes Funding,ENVIRONMENT & HOUSING,,,09/06/2016,,,,,"£10,000.00",,"UNIPOL, 155/157 Woodhouse Lane, NULL, LEEDS, LS2 3ED",,c) Small,,Michael Brook,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,CO0454425351112287,"""Developing a Pathway Planning App"" Project",CHILDRENS SERVICES,,,14/06/2016,,,,,"£13,500.00",,"UNIVERSITY COLLEGE LONDON, Student Fees And Credit Control Section, Gower Street, LONDON, WC1E 6BT",,Other/Not known,,Iain Dunn,Non-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,WA21894252491309981639,GD Communities fund Project,ENVIRONMENT & HOUSING,,,03/06/2016,,,,,"£229,919.01",,"WAKEFIELD COUNCIL, Payments And Controls  County Hall, Bond Street, WAKEFIELD, WF1 9AJ",,Other/Not known,,Polly Cook,Waiver
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,TN297242530IN18PR16002954,Postal Services,CIVIC ENTERPRISE LEEDS,,,09/06/2016,,,,,"£27,420.14",,"WHISTL UK LIMITED, Meridian House, Fieldhouse Lane, MARLOW, SL7 1TB",,e) Large,,Philippa Elliott,Off-contract
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,WI4054425231604/11208,Anti Vandal Jack Leg,ENVIRONMENT & HOUSING,,,02/06/2016,,,,,"£6,900.00",,"WILLIAM G SEARCH LIMITED, Market Works, Whitehall Road, LEEDS, LS12 6EP",,d) Medium,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,15/08/2016,WO629642537649,Falls Media Campaign,PUBLIC HEALTH,,,16/06/2016,,,,,"£16,813.50",,"WORDS AND PICTURES (EDUCOM) LTD, Wharfbank House, Wharfebank Business Centre, ILKLEY ROAD  OTLEY, LS21 3JP",,Other/Not known,,Lynne Hellewell,Quotes
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
