RATEPAYER,RV,Property Address,LIABILITY_START
R S Saw & Tool Ltd,14750,"Unit 6 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax              HX3 8EF",01-11-2014
Halifax Air Systems Ltd,2700,"Units 1 & 2 The Mill, Laura Street, Brighouse, HD6 1JD",01-04-2014
,2800,"Unit 13A, Asquith Bottom Works, Ridge Street, Sowerby Bridge       HX6 3BS",01-09-2014
Warmco Space Heating Ltd,5800,"Unit 2, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",01-09-2014
,2600,"248 Halifax Road, Ripponden, Sowerby Bridge, HX6 4BG",01-07-2014
The Victorian Pub Company Ltd,24750,"18-22 Powell Street, Halifax, HX1 1LN",19-08-2014
,2950,"Unit 9, The Ainleys, Huddersfield Road, Elland              HX5 9JR",01-10-2012
,8000,"Unit 10 Victoria Park, Lightowler Road, Halifax, HX1 5ND",01-06-2014
Punch Taverns Plc,22250,"Standard Of Freedom Inn, 2 Lower Skircoat Green, Halifax, HX3 0TG",18-11-2014
,2275,"Rooms 3 & 4, 37 Bethel Street, Brighouse, HD6 1JR",01-04-2012
Bower & Child Ltd (1985) Retirement & Death Benefit Scheme,2000,"Room 1 At, 37 Bethel Street, Brighouse, HD6 1JR",27-07-2013
Bower & Child Ltd (1985) Retirement & Death Benefit Scheme,1375,"Room 2 At, 37 Bethel Street, Brighouse, HD6 1JR",27-07-2013
,2650,"Unit 6 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",01-06-2014
,2650,"Adj Lockwoods Carpets, Halifax Road, Elland, HX5 0SH",30-09-2014
,1775,"Unit 3, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",14-11-2014
B W Sipp Trustees Limited,34250,"Newcombe Street, Elland, HX5 0EG",09-11-2014
,4650,"Unit 20, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",01-11-2014
,2250,"1 Whitwell Grove, Elland, HX5 9EJ",03-05-2014
,1325,"13 South View, Whitegate, Halifax, HX3 9JP",28-10-2014
,3200,"270 Queens Road, Halifax, HX1 4NJ",24-10-2014
,3000,"32 Fenton Road, Halifax, HX1 3PP",21-09-2014
,6000,"Market Stalls 127-128, Market Hall, Borough Market, Halifax              HX1 1DZ",01-09-2014
,3800,"Unit 1 1ST Floor, Calder Workshops, Gibbet Street, Halifax              HX1 4JQ",01-04-2014
,6500,"Unit 1 1ST Floor, Calder Workshops, Gibbet Street, Halifax              HX1 4JQ",01-04-2014
,5000,"23 Water Street, Todmorden, OL14 5AB",25-09-2014
Calderdale Mbc,7600,"Art Galleries, Piece Hall, Halifax, HX1 1RE",01-04-2013
Calderdale Mbc,27000,"Cmbc Museum, Square Road, Halifax, HX1 1QG",01-04-2013
Smokers D'Lite Ltd,11750,"28/30 Market Street, Halifax, HX1 1PB",08-07-2014
North Halifax Partnership Ltd,5200,"Sure Start Childrens Centre, Mobile Building 2, Clough Lane, Mixenden             HX2 8SH",01-07-2014
The Patisserie (Ward End) Ltd,6900,"13 Wards End, Halifax, HX1 1BX",14-11-2014
Koji Digital Ltd,1675,"Unit 18 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",01-11-2014
,5400,"51 Halifax Road, Todmorden, OL14 5BB",10-11-2014
Pocket Media (Uk) Ltd,9100,"Unit 6C & 6D, Topland Country Business Pk, Cragg Road, Mytholmroyd",01-04-2014
Halifax Plumbers Merchants Ltd,4450,"First Floor Showroom B, 150 Jubilee Road, Halifax, HX3 9LL",01-01-2014
Halifax Plumbers Merchants Ltd,5000,"First Floor Store, 150 Jubilee Road, Halifax, HX3 9LL",01-01-2014
Trustees Of J Ilingworth [Deceased],8000,"34 Bradford Road, Brighouse, HD6 1RW",21-11-2014
Msofas Ltd,5500,"8 Sunderland Street, Halifax, HX1 5AF",01-04-2012
,6000,"Part First Floor, 25B Union Street, Halifax, HX1 1PR",27-06-2014
,6700,"Part First Floor, 25B Union Street, Halifax, HX1 1PR",27-06-2014
Tus School Wear Ltd,13000,"25a Union Street, Halifax, HX1 1PR",05-11-2014
,4600,"Unit 2, No 2 Warehouse, The Wharf, Sowerby Bridge, HX6 2AG",07-11-2014
Gardner Jorissen Ltd,7100,"Unit 1 No 2 Warehouse, Canal Wharf, Sowerby Bridge, HX6 2AG",07-11-2014
,2650,"Unit 22, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",05-04-2013
Warmco Space Heating Ltd,6000,"Unit 102-104, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",01-09-2013
,530,"Mount Pleasant Mill Yard, Midgley Road, Mytholmroyd, Hebden Bridge       HX7 5LR",01-04-2014
Supply Education Ltd,4100,"Office 7 First Floor, Clifton House, Bradford Road, Bailiff Bridge",10-11-2014
,2600,"1a West Avenue, Lightcliffe, Halifax, HX3 8TJ",01-01-2012
Srw Ventures Ltd,7900,"6 North Parade, Halifax, HX1 1YQ",24-11-2014
,15250,"238B Queens Road, Halifax, HX1 3NS",23-11-2014
,5400,"161 King Cross Road, Halifax, HX1 3LN",21-11-2014
,7200,"Rear Of Unit 7/8, Queens Road Works, Queens Road, Halifax              HX1 3XY",15-11-2014
,850,"Ground Floor Unit 5A, Phoebe Lane Industrial Est., Halifax, HX3 9EX",14-12-2012
E Cigarette Outlet (Uk) Ltd,6400,"1 Market Street, Brighouse, HD6 1AP",22-11-2014
,11750,"98-100 Spring Hall Lane, Halifax, HX1 4TW",01-08-2012
,5000,"Office Suite D222/224, Dean Clough Mills, Halifax, HX3 5AX",05-12-2014
,8500,"Part B, Battinson Road Garage, Battinson Road, Halifax              HX1 4RP",01-10-2014
,4200,"Suite 3, Nursery Lane Health Care, Nursery Lane, Halifax              HX3 5SW",10-12-2013
Calderdale Pct,7000,"Suite 1, Nursery Lane Health Centre, Nursery Lane, Halifax              HX3 5SW",01-01-2011
,7200,"20A/20B Town Hall Street, Sowerby Bridge, HX6 2EA",11-10-2014
Field Penny Ltd,4550,"Office 3.2 To 3.5, White Rose Mill, Holdsworth Road, Halifax              HX3 6SW",01-06-2013
,8600,"Unit 7/8, Queens Road Works, Queens Road, Halifax              HX1 3XY",15-11-2014
,3650,"305 Gibbet Street, Halifax, HX1 4JX",04-07-2014
Clear Channel (Uk) Ltd,480,"Bus Shelter, North Of Thompson Court, Thompson Close, Hipperholme          HX3 8FG",06-07-2014
Esp Electricity Ltd,72,"Ind Dist Network Operator, Great Edge Road, Warley, Halifax              HX2 7SH",01-04-2014
,12000,"46-50 Borough Market, Halifax, HX1 1DY",01-12-2014
Marrtree Investments Limited,1325,"Unit 23, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",02-10-2011
,5300,"73 Southgate, Elland, HX5 0DQ",08-12-2014
Site Restaurant Ltd,5300,"43 Rochdale Road, Todmorden, OL14 6LD",25-10-2014
Sandy & Bielby Ltd,1250,"1ST Floor, 96 Commercial Street, Brighouse, HD6 1AQ",11-08-2014
Sandy & Bielby Ltd,8900,"Ground Floor, 96 Commercial Street, Brighouse, HD6 1AQ",11-08-2014
Frank Langfield Ltd,11500,"Unit 1, Langfield Busines Park, Norland Road, Sowerby Bridge       HX6 3DF",02-12-2014
,2850,"19 Mixenden Road, Mixenden, Halifax, HX2 8PE",25-11-2014
,6700,"59/61 Bradford Road, Brighouse, HD6 1RS",10-07-2014
David Meakin Ifa Ltd,6200,"Unit 2 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",01-08-2014
Accept Car Credit Ltd,2175,"Unit 3 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",01-10-2014
,5900,"28 & 29 Borough Market, Halifax, HX1 1DZ",01-09-2013
,7700,"4 Harrison Road, Halifax, HX1 2AG",05-09-2014
Finn Gledhill & Co,23500,"2 Harrison Road, Halifax, HX1 2AG",05-09-2014
,2750,"Waterloo Road, Brighouse, HD6 2AN",18-06-2014
John Maguire (Halifax) Ltd,6500,"Office Hm 3.6 To 3.9, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",01-01-2014
Woodsome Hall Properties,70500,"Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",01-12-2014
Atlas Security Consultants Ltd,5200,"Car Proud, Gaukroger Lane, Halifax, HX1 2DF",03-08-2014
Blackshaw Holdings Ltd,18500,"Part Unit 3, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",17-07-2013
Due West Ltd,8300,"30 Powell Street, Halifax, HX1 1LN",17-02-2012
,1950,"Over 2 Waterhouse Street, Halifax, HX1 1JA",01-06-2014
Upsy Daisys Ltd,19500,"17D & 17E, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QQ",01-12-2014
Paradigm Shift Training Ltd,5500,"Unit 8 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",10-10-2014
Marrtree Investments Limited,5800,"Unit 5 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",10-10-2014
,2075,"8 Victoria Street, Greetland, Halifax, HX4 8DF",02-12-2014
,10000,"Queens Head Inn, 13 Mason Green, Illingworth, Halifax             HX2 8HG",01-12-2014
,2700,"60 Burnley Road, Todmorden, OL14 5EY",01-12-2014
,9900,"15 Harrison Road, Halifax, HX1 2AF",29-11-2014
,1775,"23 Ashenhurst Road, Todmorden, OL14 8EB",29-04-2013
,1350,"25 Boothtown Road, Halifax, HX3 6EU",02-12-2014
,8200,"Old Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",07-11-2014
,6600,"Unit 17/17A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",01-06-2014
Occasion Wear By The House Of Elliot,7900,"4 Powell Street, Halifax, HX1 1LN",01-11-2014
,5800,"15 The Market Arcade, Halifax, HX1 1NX",28-11-2014
Tesco Personal Finance Ltd,5900,"Atm At Tesco Express, Leeds Road, Hipperholme, Halifax              HX3 8ND",16-07-2013
,3750,"Office 1, Part 1ST Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",01-11-2013
Vesa Mount Ltd,2500,"Office 4 & 5, Part 2ND Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",01-12-2013
Woodfield Enterprises Ltd,1550,"Office 3, Part 2ND Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",26-10-2014
Woodfield Enterprises Ltd,2250,"Office 2, Part 1ST Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",26-10-2014
All Metal Gaskets Ltd,24750,"Units 5-6, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",01-09-2012
,3550,"58 Huddersfield Road, Elland, HX5 9AA",01-09-2011
,7500,"Ground Floor, 58/60 Southgate, Elland, HX5 0DQ",06-05-2014
,1950,"1ST Floor, 58/60 Southgate, Elland, HX5 0DQ",06-05-2014
Elland Rifle & Pistol Club,11000,"Rear Pattern Shop, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",03-12-2014
Heathleigh Ltd,7700,"Unit 9A Woodman Works, South Lane, Elland, HX5 0PA",01-12-2014
,6600,"343 Skircoat Green Road, Halifax, HX3 0LX",02-12-2014
Barge & Barrel Brewing Company Limited,25000,"Duke Of York Inn, West Street, Shelf, Halifax             HX3 7LN",28-11-2014
,2375,"Suite 3 2ND Floor, Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD",04-12-2014
Welcome Independent Living Ltd,13500,"1ST Floor Unit 1, New Oxford House, Albert Street, Hebden Bridge        HX7 8AH",01-12-2014
Forgot Me Not Trust,1575,"Unit 16 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",01-12-2014
Bristol Street Fourth Investments Ltd,83500,"Shay Syke, Halifax, HX1 2NB",29-11-2014
,8000,"Land Adj. Hartsoil House, Highmoor Lane, Cleckheaton, BD19 6LL",11-10-2014
,2275,"54 Illingworth Road, Illingworth, Halifax, HX2 9EN",30-09-2014
,1775,"Lwr Gf Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",21-05-2013
,1650,"Unit 4 Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",10-06-2013
,4850,"Clifby Works, Sandbeds Road, Pellon, Halifax              HX2 0QQ",01-07-2013
Amtec Engineering Ltd,2250,"Unit A Greenbank Storage, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",01-04-2010
,3150,"Unit B Greenbank Storage, Drakes Ind Estate, Shay Lane, Halifax              HX3 6RL",30-09-2011
,1750,"1 Kingsley Place, Halifax, HX1 3YQ",11-11-2014
,4600,"Meadow View Stables, Cow Hill Gate Lane, Bradshaw, Halifax              HX2 9PB",21-07-2014
Pickles Architects,4650,"Ground Floor 2-6, 16 Church Lane, Brighouse, HD6 1AT",01-09-2014
,2475,"Ground Floor 1, 16 Church Lane, Brighouse, HD6 1AT",01-09-2014
J S W Insurance Services Ltd,3200,"Office 10-11, Brittannia Works, Garden Street North, Halifax              HX3 6AE",01-04-2014
,3500,"Warehouse 1, Britannia Works, Garden Street North, Halifax              HX3 6AE",01-11-2014
Nexusinformatics Ltd,1025,"Unit 1GF, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",01-09-2014
Zirconia Ltd,3000,"Unit 2GF, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",01-09-2014
Daniel Thwaites Plc,6000,"Hare & Hounds Inn, Ashenhurst Road, Todmorden, OL14 8EA",28-11-2014
Lancaster Consultancy Hr Ltd,1800,"1ST Floor Unit 4, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",01-08-2014
Beehive Mills Resource Centre,1975,"Ground Floor Unit 4, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",01-08-2014
,1700,"Unit 1E, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",01-08-2014
,3150,"60 Haley Hill, Halifax, HX3 6ED",17-11-2014
Urban Cottage Industries Ltd,19500,"Unit 2A Greenhill Ind Estate, Mytholmroyd, Hebden Bridge, HX7 5QF",11-03-2013
Litemania.Co.Uk Limited,23000,"Unit 2 Greenhill Ind Estate, Mytholmroyd, Hebden Bridge, HX7 5QF",11-03-2013
Bransby Wilson Properties Ltd,4200,"Car Park, Thomas Street, Halifax, HX1 1QA",29-10-2014
Binns & Sons (Greetland) Ltd,4400,"Office 1 2ND Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",01-03-2014
Gba Care Ltd,3750,"Office 2 2ND Floor, Brian Royd Mills, Brian Royd Lane, Greetland            HX4 8PE",01-03-2014
Leeds Counselling,9600,"Preston House, 9 Clare Road, Halifax, HX1 2HX",10-12-2014
Pc Lifting Services Ltd,3150,"Unit 2b, Brunswick Works, Brassey Street, Halifax             HX1 2EA",28-11-2014
Simply Sweets (Brighouse) Ltd,5700,"11 Bethel Street, Brighouse, HD6 1JR",21-11-2014
R S L & Co,8100,"Unit 10 Ripponden Bsn Park, Oldham Road, Ripponden, Sowerby Bridge       HX6 4FF",29-09-2014
,3400,"Unit HM30 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",01-09-2014
Enterprise Inns Plc,5200,"Hare & Hounds Inn, Denholmegate Road, Hipperholme, Halifax             HX3 8JQ",09-12-2014
The Electricity Network Company Ltd,220,"Ind Dis Network Operator, Spout House Lane, Brighouse, HD6 2PL",01-04-2014
,9100,"First Floor, 41A Crown Street, Halifax, HX1 1JB",01-09-2014
Hill Woolhouse Property Management,6500,"Unit 4, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",04-11-2014
"R.S.P.C.A. Halifax, Huddersfield",4950,"19 Southgate, Elland, HX5 0BW",08-12-2014
,8000,"Unit 1B, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",01-04-2014
,3250,"Unit A First Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",01-01-2014
,6500,"257 King Cross Road, Halifax, HX1 3JL",01-09-2014
Compass Bridge Ltd,11250,"Units 2,5,7 Bridgefield Mill, Bridgefield Works, Elland Bridge, Elland               HX5 0SQ",01-04-2013
Compass Bridge Ltd,5300,"Unit 6 G F Bridgefield Mills, Bridgefield Works, Elland Bridge, Elland               HX5 0SG",01-04-2013
Compass Bridge Ltd,3900,"Unit 9 Bridgefield Mills, Bridgefield Works, Elland Bridge, Elland               HX5 0SG",01-04-2013
Kino & Co,1125,"Unit Hm 1.04, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",15-11-2014
Kino & Co,1025,"Unit Hm 1.03, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",15-11-2014
Kino & Co,520,"Unit Hm 1.02, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SW",15-11-2014
Seadrift Offshore Ltd,13500,"Unit 5 Riverside Mills, Saddleworth Road, Elland, HX5 0RY",01-09-2014
Commercial First Mortgages Ltd,305000,"Elizabeth Industrial Estate, Shroggs Road, Halifax, HX3 5HA",21-11-2014
,18250,"12 Bull Close Lane, Halifax, HX1 2EF",15-06-2013
Bizspace Ltd,1450,"Unit 7A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",01-04-2014
Homes & Communities Agency,6800,"8 King Cross Street, Halifax, HX1 2SH",01-06-2007
Paradise Hydrographics Ltd,2750,"Unit 3, Halifax Autocars Estate, Shay Lane, Halifax              HX3 6QU",31-01-2014
Homes & Communities Agency,5500,"1st Floor, 6 King Cross Street, Halifax, HX1 2SH",01-06-2007
,13500,"Ellen Royd Clinic, Westgate, Elland, HX5 0BB",27-06-2014
,7700,"Offices At Ellen Royd Clinic, Westgate, Elland, HX5 0BB",27-06-2014
Re-Con Commercials Ltd,10250,"Mag House, 3 Chatham Street, Halifax, HX1 5BU",18-12-2014
Younger Homes (Northern) Ltd,66000,"Unit 1, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",01-09-2014
Terberg Dts [Uk] Ltd,60500,"Unit G14 Lock View, Lowfields Business Park, Elland, HX5 9HD",17-12-2014
,3550,"255 King Cross Road, Halifax, HX1 3JL",17-12-2014
,4900,"77 New Hey Road, Brighouse, HD6 3PY",07-11-2013
Units To Let [Northern] Ltd,1300,"Unit E First Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",01-11-2014
Halfway Halifax Limited,16500,"Half Way House Inn, 39 Moor End Road, Halifax, HX2 0HF",10-11-2014
Homes & Communities Agency,2250,"8 King Cross Street, Halifax, HX1 2SH",01-03-2013
,11250,"Windmill Tavern, Park Square, Hough, Northowram           HX3 7BZ",14-08-2014
,860,"Office 7, 11 Owler Ings Road, Brighouse, HD6 1EJ",01-04-2014
Brearley-Greens,2475,"296b Queens Road, Halifax, HX1 4NS",01-08-2011
Mbi Consulting Ltd,6800,"Unit 4 First Floor, No. 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",12-09-2014
Mbi Consulting Ltd,13000,"2ND Floor, No. 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",23-02-2013
Mbi Consulting Ltd,13250,"North Suite 2ND Floor, No. 4 Warehouse, Canal Wharf, Sowerby Bridge       HX6 2AG",23-02-2013
,1775,"Unit 9 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BS",01-02-2014
,3550,"Unit 3 Naylors Yard, Walnut Street, Halifax, HX2 9TN",02-09-2012
Todmorden Funeral Services Ltd,5600,"30 Halifax Road, Todmorden, OL14 5QG",03-11-2014
,2800,"66 Saddleworth Road, Greetland, Halifax, HX4 8AG",13-06-2014
,2400,"Unit C Greenbank Storage, Drakes Ind Estate, Shay Lane, Halifax              HX3 6RL",01-11-2014
,6400,"Unit 2 Riverside Works, Luddendenfoot, Halifax, HX2 6HU",19-12-2014
Warmco Space Heating Ltd,830,"Unit 208 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",02-03-2014
,1350,"Unit 108 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",02-03-2014
Trustees Of B Holmes Discretionary Settlement,8300,"37/39 Broad Street, Halifax, HX1 1YA",22-11-2014
Trustees Of B Holmes Discretionary Settlement,15500,"Part 7th Floor, 60 Crown Street, Halifax, HX1 1HY",22-11-2014
,6000,"6 Carlton Place, Halifax, HX1 2SB",24-05-2014
,34000,"8 Carlton Place, Halifax, HX1 2SB",24-05-2014
North Halifax Partnership Ltd,7500,"Elland Childrens Centre, Holywell Green School, Stainland Road, Holywell Green       HX4 9AE",01-07-2014
,2175,"Adj Chilli Lounge, Huddersfield Road, Halifax, HX3 0NS",01-04-2014
,6300,"Unit 2 Reflecting Roadstuds, Mill Lane, Boothtown, Halifax              HX3 6TR",01-08-2014
Enterprise Inns Plc,50000,"Bar Eleven, 11 Harrison Road, Halifax, HX1 2AF",19-11-2014
Viewstone Ltd,5000,"Part James Street Mills, James Street, Elland, HX5 0HB",01-04-2014
,6250,"6 Lord Street, Halifax, HX1 5AE",19-11-2014
Brook Miller Mobility Ltd,3100,"Cpd Unit Ab M'shall H Mill, Elland Mills, Elland, HX5 9DU",18-07-2014
Firebelly Stoves Ltd,16000,"Unit B, Marshall Hall Mills, Elland Lane, Elland               HX5 9DU",20-09-2014
Energy Controls Ltd,11750,"Unit A, Marshall Hall Mills, Elland Lane, Elland               HX5 9DU",20-09-2014
Kashmiri Aroma (Halifax) Llp,45250,"15 Broad Street, Halifax, HX1 1YA",01-10-2014
Turning Point Counselling Service,5100,"First Floor 1 - 3, 16 Church Lane, Brighouse, HD6 1AT",01-09-2014
Together Housing Group,43250,"Office Hm 3.11-3.15, Holmfield Mills, Holdsworth Road, Holmfield",01-04-2012
Blackshaw Holdings Ltd,6000,"Unit 2C, Hipperholme Business Park, Hipperholme, Halifax              HX3 8ER",17-07-2013
