Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date,Contract value,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN10627,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,MR & MRS A BUTCHERS T/A INWOOD HOUSE,,,586494,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,GUN36045A,,Hand & power tools - local arrangement,,ETD,,,Hand & power tools - local arrangement,Tools & hardware - purchase & maintenance,,,,,01/04/2009,,,,41510,Estimated,,A & K SUPPLIES,,,108187,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN44912D,,Private Voluntary Independent School Pre-school & Playgroup,,CHILDREN,,,Private Voluntary Independent School Pre-school & Playgroup,Children's services - playgroups & nurseries,,,,,,,,,,,,A ALMOND,,,1170776,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BUN42384B,,Independent Practice Education,,CHILDREN,,,Independent Practice Education,HR - trainers & tutors,,,,,01/11/2013,31/03/2022,,31/03/2022,2000,Estimated,,A BEAL,,,1211834,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AXN47713,,Museum demonstrator,,COMMUNITY SERVICES,,,Museum demonstrator,Museums - demonstrators & educational services,,,,,17/08/2015,31/03/2016,,,50000,Estimated,,A BISHOP,,,1125794,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,GCN36053A,,Ironmongery - terms of ESPO contract 94 apply.,,GENERIC,,,Ironmongery - terms of ESPO contract 94 apply.,Tools & hardware - purchase & maintenance,,,,,01/08/2010,31/07/2017,,31/07/2017,87545,Estimated,,A C LEIGH (NORWICH) LIMITED,gb/02827143,,80286,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,APN48202,,NCYO music conductor,,COMMUNITY SERVICES,,,NCYO music conductor,HR - trainers & tutors,,,,,01/05/2015,01/06/2019,,01/06/2019,50000,Estimated,,A C MORLEY,,,690695,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AQN41344G,,Museums Display Materials,,COMMUNITY SERVICES,,,Museums Display Materials,Museums - exhibits,,,,,01/10/2011,30/06/2021,,30/06/2021,50000,Estimated,,A FINE LINE,,,177426,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AON40178,,Mobile Library Vehicles,,COMMUNITY SERVICES,,,Mobile Library Vehicles,Vehicle & plant purchase,,,,,03/08/2012,02/08/2016,,02/08/2016,,,,A G BRACEY LIMITED,,,997855,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN41683B,,Training - Training Trainers,,GENERIC,,,Training - Training Trainers,HR - training,,,,,08/08/2013,31/08/2020,,31/08/2020,50000,Estimated,,A G SMITH,,,1084777,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN10323,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,BONDCARE (LARCHWOOD) LIMITED,,,79401,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AUN41504D,,Museums - Professional & Specialist Demonstrations,,GENERIC,,,Museums - Professional & Specialist Demonstrations,Museums - demonstrators & educational services,,,,,01/10/2011,30/06/2021,,30/06/2021,14258,Estimated,,A GILES,,,113133,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BON41533,,Removal of bodies,,RESOURCES,,,Removal of bodies,Coroner's and funeral services,,,,,01/01/2015,01/01/2016,,01/03/2019,6438,Estimated,,A J COGGLES,,,97315,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN41952B,,Independent Practice Teacher,,CHILDREN,,,Independent Practice Teacher,HR - trainers & tutors,,,,,29/05/2013,30/06/2020,,30/06/2020,50000,Estimated,,A LAMONT,,,110669,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN43994,,Spot purchase of therapy treatment,,CHILDREN,,,Spot purchase of therapy treatment,"Children's services - assessment/witness, contact, therapy",,,,,01/04/2014,31/12/2015,,31/12/2015,80668,Estimated,,A LLOYD,,,132534,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN44674,,Spot purchase of children's therapy services,,CHILDREN,,,Spot purchase of children's therapy services,"Children's services - assessment/witness, contact, therapy",,,,,01/10/2014,31/12/2015,,31/12/2015,117539,Estimated,,A LLOYD,,,132534,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BUN40143O,,Graduate Teacher Training Programme Services and Mentoring,,CHILDREN,,,Graduate Teacher Training Programme Services and Mentoring,HR - trainers & tutors,,,,,01/06/2012,,,,225000,Estimated,,A N & E M LAWRENCE,,,885797,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BPN41665D,,Legal Counsel,,RESOURCES,,,Legal Counsel,Legal - counsel,,,,,05/08/2013,22/07/2018,,22/07/2018,,,,A NICKLIN,,,1110765,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,SLN43897,,Rent payments,,CHILDREN,,,Rent payments,FM - rent & rates,,,,,18/07/2014,,,,50000,Estimated,,A P BURMAN,,,65741,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BPN42124A,,Legal Counsel,,RESOURCES,,,Legal Counsel,Legal - counsel,,,,,20/11/2013,01/05/2020,,01/05/2020,20000,Estimated,,A RADEVSKY (BARRISTER),,,442280,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BPN41615G,,Legal Counsel,,RESOURCES,,,Legal Counsel,Legal - counsel,,,,,23/07/2013,22/07/2018,,22/07/2018,89988,Estimated,,A RANATUNGA,,,1079801,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BUN40143P,,Graduate Teacher Training Programme Services and Mentoring,,CHILDREN,,,Graduate Teacher Training Programme Services and Mentoring,HR - trainers & tutors,,,,,01/06/2012,,,,225000,Estimated,,A SANDS,,,883769,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN10767,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,A SHARP,,,765793,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,APN42646G,,Intervention Service support,,CHILDREN,,,Intervention Service support,Consultants & advisers,,,,,01/01/2014,31-Dec-15,,31/12/2015,20000,Estimated,,A TEBBUTT,,,135916,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN41952A,,Independent Practice Teacher,,CHILDREN,,,Independent Practice Teacher,HR - trainers & tutors,,,,,29/05/2013,30/06/2020,,30/06/2020,50000,Estimated,,A TENNANT,,,1180761,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,GAN42929,,Vehicle & plant purchase,,NORSE,,,Vehicle & plant purchase,Vehicle & plant purchase,,,,,18/03/2014,31/03/2018,,31/03/2018,80000,Estimated,,A W & D HAMMOND,,,65796,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,GUN42599A,,Museums Display Materials,,COMMUNITY SERVICES,,,Museums Display Materials,Museums - exhibits,,,,,25/02/2014,30/06/2021,,,50000,Estimated,,A W SIMMONDS,,,788819,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AXN42009D,,Legal Counsel,,RESOURCES,,,Legal Counsel,Legal - counsel,,,,,01/09/2013,31/03/2020,,01/05/2020,50000,Estimated,,"ASWINI WEERERANTE, BARRISTER",,,121925,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BPN41649,,Legal Counsel,,RESOURCES,,,Legal Counsel,Legal - counsel,,,,,01/08/2013,30/09/2018,,30/09/2018,20638,Estimated,,A WHEETMAN,,,100037,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AUN47718,,Intervention service support,,CHILDREN,,,Intervention service support,Schools - professional,,,,,01/05/2015,01/05/2016,,01/05/2017,22000,Estimated,,A2E2 EDUCATION LTD,,,1842759,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BON41213A,,Multi Provider Framework for the Provision of Learning & Organisational Activities,,RESOURCES,,,Multi Provider Framework for the Provision of Learning & Organisational Activities,HR - training,,,,,01/01/2013,31/12/2016,,31/12/2016,500000,Estimated,,ABA CONSULTANTS LTD,,,1094774,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,SAN35010A,,"Examinations - Registration, Papers, Additional Fees",,GENERIC,,,"Examinations - Registration, Papers, Additional Fees",Exam fees,,,,,01/04/2010,,,,1620,Estimated,,ABC AWARDS,,,110276,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN41345X,,External training,,GENERIC,,,External training,HR - training,,,,,18/06/2013,30/06/2020,,30/06/2020,50000,Estimated,,ACE EDUCATION TRAINING LLP,,,1030791,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN41855B,,Subscriptions to professional bodies,,GENERIC,,,Subscriptions to professional bodies,Subscriptions to professional bodies,,,,,01/10/2013,31/08/2020,,31/08/2020,50000,Estimated,,ACTSO LTD,,,1058788,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN41345BX,,External Training,,GENERIC,,,External Training,HR - training,,,,,21/05/2012,30/06/2020,,30/06/2020,50000,Estimated,,ADASS (ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES),,,145312,,YES,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN10537,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,A D R CARE HOMES LIMITED,4577994,NULL,141326,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,APN47953,,Surface water management programmes,,ETD,,,Surface water management programmes,Research and evaluation,,,,,01/07/2015,01/07/2017,,01/07/2017,80000,Estimated,,AECOM INFRASTRUCTURE & ENVIRONMENT UK LTD,,,1937844,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BQN42098,,Interim Management - Adult Education,,CHILDREN,,,Interim Management - Adult Education,HR - interim & temporary staff,,,,,01/10/2013,01/04/2016,,01/04/2016,400000,Estimated,,AMF (UK) LTD,,,1177833,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AON45332G,,Building Maintenance & Works Framework,,GENERIC,,,Building Maintenance & Works Framework,FM - building maintenance,,,,,01/02/2015,31/01/2017,,31/01/2019,9078,Estimated,,AMR ELECTRICAL SERVICES LTD,,,924777,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN47294,,Public Health - Drug and Alcohol Inpatient Detoxification and Residential Rehabilitation: Select List 2015,,PUBLIC HEALTH,,,Public Health - Drug and Alcohol Inpatient Detoxification and Residential Rehabilitation: Select List 2015,Drug and alcohol recovery services,,,,,01/04/2015,31/03/2017,,31/03/2018,,,,ANA TREATMENT CENTRES LTD,,,1788792,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,SAN40565B,,"Examinations-Registration, Papers, Additional Fees",,COMMUNITY SERVICES,,,"Examinations-Registration, Papers, Additional Fees",Exam fees,,,,,18/02/2013,17/02/2018,,17/02/2018,5000,Estimated,,ANN ARBOR PUBLISHERS LIMITED,2773739,NULL,72047,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN41857B,,SUBSCRIPTIONS TO PROFESSIONAL BODIES.,,GENERIC,,,SUBSCRIPTIONS TO PROFESSIONAL BODIES.,Subscriptions to professional bodies,,,,,01/10/2013,31/08/2020,,31/08/2020,50000,Estimated,,APP USER GROUP,,,123973,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AON40087,,Plant Hire with Operator,,ETD,,,Plant Hire with Operator,Highways - plant & vehicle hire,,,,,11/05/2012,31/07/2017,,31/07/2018,500000,Estimated,,ARH GROUNDWORKS LIMITED,gb/06632647,,411135,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AQN40019,,Satellite phone service,,FIRE,,,Satellite phone service,"ICT - networks, telephony & radiocomms",,,,,01/11/2012,31/03/2017,,31/03/2017,5000,Estimated,,AST CONNECTIONS LTD,,,190696,,,,Fire,FIRE,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AON40162,,Footway network surveys,,ETD,,,Footway network surveys,Highways - professional services,,,,,21/10/2011,01/04/2016,,01/04/2016,210000,Estimated,,ATKINS LIMITED,688424,NULL,76043,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,GON42464,,Supply & repair of vehicle tyres - Terms of ESPO contract 222 apply,,GENERIC,,,Supply & repair of vehicle tyres - Terms of ESPO contract 222 apply,"Vehicle & plant parts, mech repairs & maintenance",,,,,20/01/2014,31/12/2017,,31/12/2017,1486,Estimated,,ATS EUROMASTER LIMITED,4303731,NULL,66307,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,GQN44755,,Rental of radio equipment,,COMMUNITY SERVICES,,,Rental of radio equipment,Museums & libraries - conservation supplies & services,,,,,17/12/2014,31/03/2016,,31/03/2016,30000,Estimated,,AUTOTEL RADIO SYSTEMS,,,73611,,,,Fire,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN41862AU,,SUBSCRIPTIONS TO PROFESSIONAL BODIES.,,GENERIC,,,SUBSCRIPTIONS TO PROFESSIONAL BODIES.,Subscriptions to professional bodies,,,,,01/10/2013,31/08/2020,,31/08/2020,50000,Estimated,,AWARD SCHEME LTD,,,75421,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN10351,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,MR ABDULAZIZ KACHRA T/A COUNTRY COURT CARE,,,79431,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN13021,,Spot purchased domiciliary care (2008 PPA),,COMMUNITY SERVICES,,,Spot purchased domiciliary care (2008 PPA),Domiciliary care,,,,,,,,,,,,ABACUS CARE (NORFOLK & SUFFOLK) LIMITED,gb/04790989,,65849,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AQN44472,,"FM - removals, storage & records management",,COMMUNITY SERVICES,,,"FM - removals, storage & records management","FM - removals, storage & records management",,,,,01/10/2014,31/03/2018,,31/03/2018,25000,Estimated,,ABACUS MARQUEE HIRE,,,80450,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN10003,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,ABBEVILLE RCH LIMITED,5363391,NULL,124609,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,GFN40528,,Servicing & supply of portable fire equipment,,GENERIC,,,Servicing & supply of portable fire equipment,FM - security & safety,,,,,29/01/2013,31/12/2016,,31/12/2016,20167,Estimated,,ABBEY FIRE UK LTD,,,1057780,,,,Procurement Sourcing Team,"COMMODITIES, GOODS & SERVICES",
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN42097P,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,ABBEYFIELD EAST LONDON EXTRA CARE SOCIETY LTD,,,1125765,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN10007,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,ABBOTSWOOD LODGE LIMITED,5375028,NULL,118002,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN13022,,Spot purchased domiciliary care (2008 PPA),,COMMUNITY SERVICES,,,Spot purchased domiciliary care (2008 PPA),Domiciliary care,,,,,,,,,,,,ABLE COMMUNITY CARE,,,65878,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN43260,,Spot Purchased Day Care For Adults (About With Friends),,COMMUNITY SERVICES,,,Spot Purchased Day Care For Adults (About With Friends),Adult care - day care/community support/support into work,,,,,01/01/2000,,,,,,,ABOUT WITH FRIENDS,,,118181,,YES,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BTN41340,,CF403 Children with Disabilities Short Break Services: Short Break Services for young people 9 to 18 years,,CHILDREN,,,CF403 Children with Disabilities Short Break Services: Short Break Services for young people 9 to 18 years,Children's services - positive activities,,,,,01/04/2011,31/03/2016,,31/03/2017,340000,Estimated,,ABOUT WITH FRIENDS,,,118181,,YES,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,AON27000,,Norwich area schools PFI project,,CHILDREN,,,Norwich area schools PFI project,FM - total facilities management,,,,,01/04/2006,31/03/2032,,31/03/2032,150000000,Estimated,,ACADEMY SERVICES (NORWICH) LIMITED,,,117456,,,,Fire,PFI,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN10518,,Care Home and Care Homes with Nursing for Adults April 2012,,COMMUNITY SERVICES,,,Care Home and Care Homes with Nursing for Adults April 2012,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,ACANTHUS HEALTHCARE LTD,,,850771,,,,Procurement Part B Team,partb@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BXN41345W,,External Training,,GENERIC,,,External Training,HR - training,,,,,21/05/2013,30/06/2020,,30/06/2020,50000,Estimated,,ACAS,,,89826,,,,Procurement Sourcing Team,PROFESSIONAL SERVICES,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,08/12/2015,BAN10612,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,,COMMUNITY SERVICES,,,Pre-Placement Agreement for Care Homes Providing Residential and/or Nursing Services 2008,Adult care - nursing & residential,,,,,01/04/2012,,,,,,,ACCEPTUS HEALTHCARE LTD,,,850769,,,,Procurement Part B Team,partb@norfolk.gov.uk,
