Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Portsmouth Hospitals Trust,13/07/2016 19:18,SrvcsRecd-FoundationTrust,RENAL NON STOCK/STOCK,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19512439,2186.76,WSH1500019653
Department of Health,Portsmouth Hospitals Trust,15/07/2016 17:10,Med & Surg Equip Disp,ENDOSCOPY,NHS SUPPLY CHAIN,19528191,35805.95,2017001962
Department of Health,Portsmouth Hospitals Trust,19/07/2016 18:54,Services Received - CCG's,CHIEF EXECS TEAM,NHS SOUTH EASTERN HAMPSHIRE CCG,19570365,30000,7028200267
Department of Health,Portsmouth Hospitals Trust,20/07/2016 17:09,Stents,Cardiac Cath Lab,MEDTRONIC LTD,19570532,46080,1051461434
Department of Health,Portsmouth Hospitals Trust,20/07/2016 17:09,Equip Maint Contracts,RADIOTHERAPY,ONCOLOGY SYSTEMS LTD,19570633,24619.34,7368
Department of Health,Portsmouth Hospitals Trust,20/07/2016 18:49,Independent Sector,Urgent Care Centre,SOUTH EAST HAMPSHIRE ALLIANCE LTD,19583453,35665,203
Department of Health,Portsmouth Hospitals Trust,20/07/2016 18:49,Phone Rental and Calls,PACs/CRIS Consortium,PHILIPS UK AND IRELAND,19583487,355130.34,7300233132
Department of Health,Portsmouth Hospitals Trust,21/07/2016 19:41,Services Received - NHSTs,PHCT/PHT RECHARGES,SOLENT NHS TRUST,19608809,58413,54146650
Department of Health,Portsmouth Hospitals Trust,22/07/2016 19:51,Commercial Sector,INCOME,ROWLANDCOURT HEALTHCARE LTD,19624196,25749,5370
Department of Health,Portsmouth Hospitals Trust,22/07/2016 19:51,Drugs,DERMATOLOGY MEDICAL STAFF,SOLENT NHS TRUST,19624233,8994.65,54146750
Department of Health,Portsmouth Hospitals Trust,22/07/2016 19:51,Drugs,DERMATOLOGY OUTPATIENT,SOLENT NHS TRUST,19624233,20403.88,54146750
Department of Health,Portsmouth Hospitals Trust,22/07/2016 19:51,Drugs,Gynae Medical Staff,SOLENT NHS TRUST,19624233,9.6,54146750
Department of Health,Portsmouth Hospitals Trust,22/07/2016 19:51,Drugs,ONC/HAEM DAY UNIT,SOLENT NHS TRUST,19624233,610.79,54146750
Department of Health,Portsmouth Hospitals Trust,22/07/2016 19:51,Drugs,OUTPATIENTS CLINICAL,SOLENT NHS TRUST,19624233,1051.32,54146750
Department of Health,Portsmouth Hospitals Trust,22/07/2016 19:51,Drugs,SNR MED STAFF (ELDERLY),SOLENT NHS TRUST,19624233,162.62,54146750
Department of Health,Portsmouth Hospitals Trust,26/07/2016 17:09,Limbs,LIMBS,HUGH STEEPER LTD,19638190,70273.55,SIN1606PR067621
Department of Health,Portsmouth Hospitals Trust,26/07/2016 17:09,Patients Appl: Purchase,ORTHOTICS,HUGH STEEPER LTD,19638190,76396.08,SIN1606PR067621
Department of Health,Portsmouth Hospitals Trust,25/07/2016 19:02,CAPD Fluids,RENAL PD UNIT,BAXTER HEALTHCARE LTD,19638274,68554.2,16122770
Department of Health,Portsmouth Hospitals Trust,26/07/2016 19:41,Independent Sector,ENDOSCOPY,MEDINET CLINICAL SERVICES LTD,19660940,29594.79,1454
Department of Health,Portsmouth Hospitals Trust,26/07/2016 19:41,Laboratory Radio-Isotopes,NUCLEAR MEDICINE PHT,UNI HOSPITAL SOUTHAMPTON NHS FT,19661468,32349.52,7282758
Department of Health,Portsmouth Hospitals Trust,26/07/2016 19:41,SrvcsRecd-FoundationTrust,ENT CENTRAL STATEMENT,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19661476,701,WSH1500020038
Department of Health,Portsmouth Hospitals Trust,26/07/2016 19:41,SrvcsRecd-FoundationTrust,OCCY HEALTH WEST SUSSEX,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19661476,1499,WSH1500020038
Department of Health,Portsmouth Hospitals Trust,26/07/2016 19:41,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,19661476,132664,WSH1500020038
Department of Health,Portsmouth Hospitals Trust,26/07/2016 19:41,Commercial Sector,CHANDLERS FORD DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,19661573,41049.48,1050478397
Department of Health,Portsmouth Hospitals Trust,26/07/2016 19:41,Commercial Sector,B`STOKE DIALYSIS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,19661575,31536.8,1050478395
Department of Health,Portsmouth Hospitals Trust,27/07/2016 17:10,Computer Maintenance,ED Nursing staff and Non Pay,SERVELEC HEALTHCARE LTD,19661971,49339.2,70012044
Department of Health,Portsmouth Hospitals Trust,28/07/2016 19:03,Laboratory Chemicals,NEONATAL SCREENING (CHEM),PERKINELMER LAS (UK) LTD,19691804,41522.4,3100743494
Department of Health,Portsmouth Hospitals Trust,29/07/2016 15:14,Laboratory Reagents,TRANSFUSION SERVICES,ORTHO CLINICAL DIAGNOSTICS,19694307,5186.49,16010858
Grand Total,,,,,,,2988779.45,
