Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Drugs,011 Drugs,MID CHESHIRE HOSPITALS NHS FT,568270," �76,292.44 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Drugs,011 Drugs,MID CHESHIRE HOSPITALS NHS FT,568274," �76,056.06 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Blood Products,02 Cancer Networked Services,NHS BLOOD AND TRANSPLANT,569648," �30,368.84 "
Department of Health,The Christie NHS Foundation Trust,15/12/2017,Blood Products,02 Cancer Networked Services,NHS BLOOD AND TRANSPLANT,570543," �178,854.08 "
Department of Health,The Christie NHS Foundation Trust,15/12/2017,NHS Litigation (NHSLA),06 Finance & Business Development,NHS LITIGATION AUTHORITY,570548," �73,421.70 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,569131," �39,126.76 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,570404," �45,690.81 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,569840," �37,864.95 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Linear Accelerator Building Works,18 Capital,PHILIPS HEALTHCARE,568819," �359,951.18 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Support Contract - Dec-17 to Nov-18,02 Cancer Networked Services,PHILIPS HEALTHCARE,568518," �46,592.75 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Linear Accelerator Building Works,02 Cancer Networked Services,PHILIPS HEALTHCARE,566722,"-�50,186.86 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,AQuA 2017/2018 membership fees,04 Trust Administration,SALFORD ROYAL HOSP NHS FT,553316," �40,000.00 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Medway System Support - Oct-17,06 Finance & Business Development,SYSTEM C HEALTHCARE,570100," �28,416.00 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Medway System Support - Nov-17,06 Finance & Business Development,SYSTEM C HEALTHCARE,569495," �28,416.00 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,Blood Products,02 Cancer Networked Services,THE ANTHONY NOLAN BONE MARROW,563543," �37,745.62 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,Blood Products,02 Cancer Networked Services,THE ANTHONY NOLAN BONE MARROW,565964," �34,767.14 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Blood Products,02 Cancer Networked Services,THE ANTHONY NOLAN BONE MARROW,569543," �61,303.16 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,Blood Products,02 Cancer Networked Services,THE ANTHONY NOLAN BONE MARROW,567907," �26,633.16 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,Patient Testing Service ,01 Cancer Centre Services,THE CHRISTIE PATHOLOGY PARTNERSHIP LLP,568122," �363,727.73 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Patient Testing Service ,01 Cancer Centre Services,THE CHRISTIE PATHOLOGY PARTNERSHIP LLP,569927," �363,727.73 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Consultancy Fees Anaesthetics - Nov-17,01 Cancer Centre Services,UNI HOSP OF SOUTH MANCHESTER NHS FT,568473," �27,148.17 "
Department of Health,The Christie NHS Foundation Trust,14/12/2017,Critical Care - Nov-17,01 Cancer Centre Services,UNI HOSP OF SOUTH MANCHESTER NHS FT,568476," �29,638.25 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Education & Training,12 Other Income Levies and Grants,UNI HOSP OF SOUTH MANCHESTER NHS FT,564348," �71,275.00 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,40% Fourth Room Equipment,18 Capital,VARIAN MEDICAL SYSTEMS UK LTD,567642," �200,000.00 "
Department of Health,The Christie NHS Foundation Trust,21/12/2017,Energy Contract - Oct-17,08 Estates & Facilities,VEOLIA ENERGY &UTILITY SERVICES UK PLC,569194," �232,183.12 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,Christie @ Wigan - Nov-17,02 Cancer Networked Services,WRIGHTINGTON WIGAN AND LEIGH NHS FT,568519," �231,448.00 "
Department of Health,The Christie NHS Foundation Trust,07/12/2017,Insurance,06 Finance & Business Development,ZURICH INSURANCE PLC,569146," �72,863.10 "
