Additional Rlf,Period Charge,Charge Type,EXEM-AMT,EXEM-CD,PLACE-REF,SBR-APPLIED,SBR-SUPPLE,SBR-RELIEF-,MAND-CHAR-,MAND-CHARI,DISC-CHARIT,DIS-RLF-AMT,CHARITY-RLF-,ANALYSIS-CD,RV,PERSON-REF,SURNAME,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4,Billing Address 5,Billing Post Code,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post,UB-PROP-RV
0,2299,O,0,,5594999049,0,0,0,,0,,0,0,IF3,4750,9029980, R W JOINERY LTD,UNITS 25/26 PORTWOOD IND EST,MERSEY STREET,PORTWOOD,STOCKPORT,,SK1 2HX,24/08/2002,UNIT 24A,PORTWOOD INDUSTRIAL ESTATE,MERSEY STREET,PORTWOOD,STOCKPORT,SK1 2HX,WORKSHOP AND PREMISES
0,13915,O,0,,5594026009,0,373.75,0,,0,,0,0,IF3,28750,9029980, R W JOINERY LTD,UNITS 25/26 PORTWOOD IND EST,MERSEY STREET,PORTWOOD,STOCKPORT,,SK1 2HX,01/04/1990,UNIT 25-26,PORTWOOD INDUSTRIAL ESTATE,MERSEY STREET,PORTWOOD,STOCKPORT,SK1 2HX,WORKSHOP AND PREMISES
0,3339.6,O,0,,3384005009,-1,0,2838.69,,0,,0,0,CO,6900,10391140,08 UK LTD,,,,,,,14/11/2011,OFFICE 1 AT,5 GIBSONS ROAD,HEATON MOOR,STOCKPORT,,SK4 4JX,OFFICES AND PREMISES
0,9075,O,0,,4966079019,0,243.75,0,,0,,0,0,CS7,18750,10463776,1 FIX GARAGES LIMITED,,,,,,,07/08/2015,79 LANCASHIRE HILL,STOCKPORT,,,,SK4 1UB,SHOWROOM AND PREMISES
0,20812,O,0,,5208001219,0,559,0,,0,,0,0,IF3O,43000,9302280,121 DIRECT MAIL LTD,,,,,,,30/06/2006,UNIT 18,CHARTER HOUSE,LATHAM CLOSE,BREDBURY,STOCKPORT,SK6 2SD,"WORKSHOP, OFFICE AND PREMISES"
0,1016.4,O,0,,8105200639,-1,0,1016.4,,0,,0,0,IF3,2100,10482659,19 MUSIC LTD,,,,,,,10/09/2015,UNIT 60,GOYT MILL,UPPER HIBBERT LANE,MARPLE,STOCKPORT,SK6 7HX,WORKSHOP AND PREMISES
0,8349,V,0,,3500313019,0,224.25,0,,0,,0,0,IF,17250,10369425,1996 CARRARA LTD RETIREMENT PENSION BENE,76 HILLTOP AVENUE,CHEADLE HULME,CHEADLE,,,SK8 7AJ,31/05/2014,HOLLY HOUSE,313 GREG STREET,SOUTH REDDISH,STOCKPORT,,SK5 7BP,WORKS AND PREMISES
0,16577,O,0,,3500343009,0,445.25,0,,0,,0,0,IF3O,34250,9302370,20TH CENTURY FIRES LTD,,,,,,,17/01/2006,VESTA WORKS,GREG STREET,SOUTH REDDISH,STOCKPORT,,SK5 7BS,"WORKSHOP, OFFICES  AND PREMISES"
0,8833,O,0,,6426007009,0,237.25,0,,0,,0,0,CS,18250,10463562,20TH CENTURY STORES,,,,,,,09/01/2015,27 MARKET PLACE & 1-7 PARK STREET,STOCKPORT,,,,SK1 1EZ,SHOP AND PREMISES
0,5324,O,0,,3817033259,-1,0,887.34,,0,,0,0,IF3,11000,9015620,3 P PAINT CO (STOCKPORT) LTD,,,,,,,01/04/1990,HALLAM ST WORKS,HALLAM STREET,HEAVILEY,STOCKPORT,,SK2 6PT,WORKSHOP AND PREMISES
0,5687,O,0,,1733100009,-1,0,234.46,,0,,0,0,MH,11750,9046390,32 WHITES LTD,,,,,,,01/04/1990,100-102 CHURCH LANE,MARPLE,STOCKPORT,,,SK6 7AR,SURGERY AND PREMISES
0,1911.8,O,0,,826003019,-1,0,1911.8,,0,,0,0,CO,3950,10376762,360 REMARKETING LTD,476 DIDSBURY ROAD,HEATON MERSEY,STOCKPORT,,,SK4 3BS,01/04/2010,1ST FLOOR,5 BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,SK7 1AL,OFFICES AND PREMISES
0,834.9,V,857.33,MINRV,3422459029,0,22.43,0,,0,,0,0,CS,1725,10332062,4 FAST HOUSE SALE LTD,979 STOCKPORT ROAD,LEVENSHULME,MANCHESTER,,,M19 2SY,21/03/2016,459 GORTON ROAD,REDDISH,STOCKPORT,,,SK5 6LR,SHOP AND PREMISES
0,13068,O,0,,3933099429,0,351,0,,0,,0,0,CO,27000,10443385,4 WAY HOLDING LTD,GROUND FLOOR,UNIT 9,ACORN BUSINESS PARK,HEATON LANE,STOCKPORT,SK4 1AS,01/06/2014,GROUND FLOOR UNIT 9,ACORN BUSINESS CENTRE,HEATON LANE,STOCKPORT,,SK4 1AS,OFFICES AND PREMISES
0,819.55,O,0,,790050449,-1,0,819.55,,0,,0,0,CO,2350,10481052,4ALLOFUS LTD,,,,,,,04/07/2016,SUITE 3A,BOWDEN HALL,56 BOWDEN LANE,MARPLE,STOCKPORT,SK6 6ND,OFFICES AND PREMISES
0,1742.4,O,0,,826040039,-1,0,1742.4,,0,,0,0,CO,3600,10377384,4MATION ARCHITECTURE LTD,,,,,,,07/06/2010,PT 1ST FLOOR,40A BRAMHALL LANE SOUTH,BRAMHALL,STOCKPORT,,SK7 1AH,OFFICE AND PREMISES
0,2129.6,O,0,,8327000019,0,57.2,0,MAN,1749.44,,0,0,LC3,4400,10352965,5TH CHEADLE SCOUT & GUIDES,,,,,,,15/09/1991,SCOUT HUT & PREMISES,WARWICK CLOSE,CHEADLE HULME,CHEADLE,,SK8 5NN,HALL AND PREMISES
0,2202.2,O,0,,8449296009,-1,0,2202.2,,0,,0,0,CX,4550,10467189,7 WAYS RENTAL.COM LIMITED,,,,,,,16/09/2015,7 WAYS RENTAL,295 WILMSLOW ROAD,HEALD GREEN,CHEADLE,,SK8 3NN,car and van hire site
0,3178.49,O,0,,5468028439,0,0,0,,0,,0,0,CO,11750,10485892,80 20 VENTURES LIMITED,,,,,,,09/09/2016,SUITE 3,ABNEY HALL,MANCHESTER ROAD,CHEADLE,,SK8 2PD,OFFICES AND PREMISES
0,1016.4,O,0,,1009141149,-1,0,1016.4,,0,,0,0,CO,2100,10450231,A & C REHABILITATION LTD,,,,,,,08/12/2014,PT 2ND FLOOR,141 BUXTON ROAD,STOCKPORT,,,SK2 6EQ,OFFICE
0,7986,O,0,,3942520029,0,0,0,,0,,0,0,CS,16500,9016890,A & P E BAKER LIMITED,520-522 HEMPSHAW LANE,STOCKPORT,,,,SK2 5TL,30/11/1995,520-522 HEMPSHAW LANE,HEMPSHAW LANE,STOCKPORT,,,SK2 5TL,SHOP AND PREMISES
0,17061,O,0,,3981007009,0,458.25,0,,0,,0,0,CS,35250,9055450,A A H RETAIL PHARMACY LTD,FTAO SERVICE LEDGER DEPARTMENT,PHOENIX HOUSE,MANOR ROAD,MANCETTER,ATHERSTONE,CV9 1QY,08/05/1991,7-9 HIGH STREET,CHEADLE,,,,SK8 1AX,SHOP AND PREMISES
0,3533.2,V,0,,3981009009,0,94.9,0,,0,,0,0,CO,7300,9055450,A A H RETAIL PHARMACY LTD,FTAO SERVICE LEDGER DEPARTMENT,PHOENIX HOUSE,MANOR ROAD,MANCETTER,ATHERSTONE,CV9 1QY,03/03/2000,1ST & 2ND FLOORS,9 HIGH STREET,CHEADLE,,,SK8 1AX,OFFICES AND PREMISES
0,329120,O,0,,6255099009,0,8840,0,,0,,0,0,COC,680000,9080740,A A INSURANCE SERVICES LTD,C/O BILFINGER GVA,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,01/04/1990,LAMBERT HOUSE,OLD ROAD,CHEADLE,,,SK8 2DY,"OFFICES, CAR SPACES (264) AND PREMISES"
0,2371.6,O,0,,8358103009,-1,0,2371.6,,0,,0,0,CO,4900,9140810,A BUCKLEY LTD T/A INDEPENDENT CARE,103 WELLINGTON ROAD NORTH,STOCKPORT,,,,SK4  2LP,18/08/2006,103 WELLINGTON ROAD NORTH,STOCKPORT,,,,SK4 2LP,OFFICES AND PREMISES
0,4017.2,O,0,,5594022019,-1,0,2477.46,,0,,0,0,CG1,8300,10401347,A C BODY REPAIRS LTD,,,,,,,01/01/2012,UNITS 22A & 22E,PORTWOOD INDUSTRIAL  ESTATE,MERSEY STREET,PORTWOOD,STOCKPORT,SK1 2LB,VEHICLE REPAIR WORKSHOP AND PREMISES
0,5082,O,0,,7479238019,-1,0,1269.55,,0,,0,0,CX,10500,10427993,A C ELECTRICAL (NORTH) LTD,240 STOCKPORT ROAD,BREDBURY,STOCKPORT,,,SK6 2AN,01/07/2014,238 - 240 STOCKPORT ROAD WEST,BREDBURY,STOCKPORT,,,SK6 2AN,"SHOP, WAREHOUSE AND PREMISES"
0,4114,O,0,,7394117029,-1,0,2399.84,,0,,0,0,CO,8500,9224570,A C M FINANCIAL SERVICES LTD,GROUND FLOOR,117 STOCKPORT ROAD,MARPLE,STOCKPORT,,SK6 6AG,20/09/2013,GROUND FLOOR,117 STOCKPORT ROAD,MARPLE,STOCKPORT,,SK6 6AG,OFFICES AND PREMISES
0,2807.2,O,0,,7930002009,-1,0,2807.2,,0,,0,0,CO,5800,10359511,A C S (CHESHIRE) LTD,,,,,,,01/03/2010,ENTERPRISE HOUSE,TOLLBAR STREET,MIDDLE HILLGATE,STOCKPORT,,SK1 3EW,OFFICES AND PREMISES
0,198440,O,0,,3469400009,0,5330,0,,0,,0,0,CWO,410000,9052840,A G PARFETT & SONS LTD,GREEN LANE,HEATON MOOR,STOCKPORT,,,SK4 2JR,01/04/1990,WAREHOUSE AND PREMISES,GREEN LANE,HEATON MOOR,STOCKPORT,,SK4 2JR,"WAREHOUSE, OFFICES AND PREMISES"
0,7260,O,0,,854002009,0,0,0,,0,,0,0,CW,15000,9052840,A G PARFETT & SONS LTD,GREEN LANE,HEATON MOOR,STOCKPORT,,,SK4 2JR,15/01/2010,UNIT 1,BRENT ROAD,HEATON NORRIS,STOCKPORT,,SK4 2LD,WAREHOUSE AND PREMISES
0,2662,O,0,,873036039,-1,0,2662,,0,,0,0,CS,5500,10431406,A GENTLEMEN'S RELISH LTD,,,,,,,16/10/2013,36 BRIDGE STREET,PORTWOOD,STOCKPORT,,,SK1 1XY,SHOP AND PREMISES
0,5324,O,0,,7192046009,0,0,0,,0,,0,0,CS,11000,9089170,A H MERTONS LTD T/A AARONS OF STOCKPORT,,,,,,,02/04/1991,46 ST PETERSGATE,STOCKPORT,,,,SK1 1HL,SHOP AND PREMISES
0,5566,O,0,,7884021039,0,0,0,,0,,0,0,CS,11500,9069220,A H MERTONS LTD T/A BARRADELLS,21B THE PRECINCT,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 5BB,01/04/1990,21B THE PRECINCT,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 5BB,SHOP AND PREMISES
0,677.6,O,0,,7376000649,0,0,0,,0,,0,0,CP1,1400,9069220,A H MERTONS LTD T/A BARRADELLS,21B THE PRECINCT,STATION ROAD,CHEADLE HULME,CHEADLE,,SK8 5BB,01/04/2013,CAR SPACES 50 - 53,SINCLAIR HOUSE,STATION ROAD,CHEADLE HULME,CHEADLE,SK8 5AF,CAR PARKING SPACES
0,4743.2,O,0,,9827005009,-1,0,1739.28,,0,,0,0,IF3,9800,9114660,A II D SOLUTIONS LTD,UNIT B,WYVERN AVENUE,REDDISH,STOCKPORT,,SK5 7DD,10/03/2007,UNIT B,WYVERN AVENUE,REDDISH,STOCKPORT,,SK5 7DD,WORKSHOP AND PREMISES
0,183.92,O,0,,1640074079,-1,0,183.92,,0,,0,0,CW1,380,10340418,A J C BUILDERS LTD,13 HIGHFIELD ROAD,BRAMHALL,STOCKPORT,,,SK7 3BE,01/03/2008,COMPOUND 5,CHADKIRK BUSINESS PARK,CHADKIRK,ROMILEY,STOCKPORT,SK6 3NE,LAND USED FOR STORAGE AND PREMISES
0,8228,O,0,,9952010009,0,0,0,,0,,0,0,IF3,17000,10443848,A J HAULAGE LTD,195 DIALSTONE LANE,OFFERTON,STOCKPORT,,,SK2 7LF,25/09/2014,UNIT 10,PENNINE WAY,BREDBURY PARK INDUSTRIAL ESTATE,BREDBURY,STOCKPORT,SK6 2TF,WORKSHOP AND PREMISES
0,2395.8,O,0,,7393234449,-1,0,2395.8,,0,,0,0,CO,4950,10463178,A L G FINANCE LIMITED,,,,,,,17/04/2015,SUITE M GROUND FLOOR,SOVEREIGN HOUSE,232-240 STOCKPORT ROAD,CHEADLE,,SK8 2EA,OFFICES AND PREMISES
0,16335,O,0,,7268089009,0,438.75,0,,0,,0,0,CW,33750,9032980,A L TYRES LTD,,,,,,,01/04/1990,WAREHOUSE CORNER OF,SHEFFIELD STREET,HEATON NORRIS,STOCKPORT,,SK4 1RU,WAREHOUSE AND PREMISES
0,3097.6,O,0,,1009068009,-1,0,2891.1,,0,,0,0,CS,6400,10384422,A M ELECTRICAL LTD,,,,,,,24/06/2011,68 BUXTON ROAD,STOCKPORT,,,,SK2 6NB,SHOP AND PREMISES
0,592.9,V,608.83,MINRV,627007029,0,15.93,0,,0,,0,0,CG2,1225,9094420,A P H COMPUTERS LTD,FIRST FLOOR,GLENCROFT HOUSE,VALE ROAD,HEATON MERSEY,STOCKPORT,SK4 3QR,25/06/2009,R/O BLADE HOUSE,BATTERSEA ROAD,HEATON MERSEY,STOCKPORT,,SK4 3EA,GARAGE AND PREMISES
0,16940,O,0,,8154001229,0,455,0,,0,,0,0,CO,35000,9094420,A P H COMPUTERS LTD,FIRST FLOOR,GLENCROFT HOUSE,VALE ROAD,HEATON MERSEY,STOCKPORT,SK4 3QR,28/09/2012,FIRST FLOOR,GLENCROFT HOUSE,VALE ROAD,HEATON MERSEY,STOCKPORT,SK4 3QR,OFFICES AND PREMISES
0,7744,O,0,,1009070009,0,0,0,,0,,0,0,CS,16000,9005160,A R HURST (LITHAPRINT) LTD,,,,,,,01/04/1990,70-72 BUXTON ROAD,STOCKPORT,,,,SK2 6NB,SHOP AND PREMISES
0,64856,O,0,,5209001009,0,1742,0,,0,,0,0,IFO,134000,10410873,A R STOCKTON & CO LTD,140 GREAT ANCOATS STREET,MANCHESTER,,,,M4 6DU,21/11/2012,1 HORSFIELD WAY,BREDBURY IND. ESTATE,BREDBURY,STOCKPORT,,SK6 2SU,"FACTORY, OFFICE AND PREMISES"
0,2904,O,0,,7454030009,0,0,0,,0,,0,0,CS,6000,10471097,A&M HEALTHCARE (NW) LTD,137 GIBBON STREET,BOLTON,,,,BL3 5LW,29/01/2016,30 STOCKPORT ROAD,ROMILEY,STOCKPORT,,,SK6 3AA,SHOP AND PREMISES
0,2057,O,0,,3990023249,0,0,0,,0,,0,0,COO,4250,10428893,A24 GROUP LTD,GROUP HOUSE,92-96 LIND ROAD,SUTTON,SURRY,,SM1 4PL,06/11/2013,ROOMS 5-5A,RAYNOR HOUSE,23 HIGHER HILLGATE,STOCKPORT,,SK1 3ER,"OFFICES, OFFICE AND PREMISES"
0,3953.55,O,0,,7377126109,-1,0,2042.7,,0,,0,0,IF3O,8900,10487534,A2B CHAUFFEURS LTD,,,,,,,01/05/2016,UNIT A2,AQUEDUCT BUSINESS PARK,STATION ROAD,MARPLE,STOCKPORT,SK6 5LD,"WORKSHOP, OFFICE AND PREMISES"
0,2226.4,O,0,,5494002009,0,0,0,,0,,0,0,CL,4600,10430700,A2B PUBLIC HOUSES LTD,,,,,,,12/08/2013,THE COCKED HAT,2 MARKET PLACE,STOCKPORT,,,SK1 1EW,PUBLIC HOUSE AND PREMISES
0,2855.6,O,0,,3816174029,-1,0,2855.6,,0,,0,0,CR1,5900,10419672,A2Z (GB) LTD,369 VICTORIA AVENUE,MANCHESTER,,,,M9 8WQ,19/03/2012,174 HALL STREET,OFFERTON,STOCKPORT,,,SK1 4JG,CAFE AND PREMISES
0,13915,O,0,,3143268019,0,373.75,0,,0,,0,0,CO,28750,10441340,A4 HEALTH GROUP LTD,,,,,,,07/06/2014,268 FINNEY LANE,HEALD GREEN,CHEADLE,,,SK8 3QD,OFFICES AND PREMISES
0,12463,O,0,,5098324009,0,334.75,0,,0,,0,0,CL,25750,10397217,A6 DEVELOPMENTS LTD,,,,,,,23/03/2012,RISING SUN,LONDON ROAD,HAZEL GROVE,STOCKPORT,,SK7 6AD,PUBLIC HOUSE AND PREMISES
0,6171,O,0,,1007174029,-1,0,0,,0,,0,0,IF3S,12750,9305830,A6 TILE SOLUTIONS LTD,,,,,,,01/03/2006,UNIT 4,SIMPSONS BUSINESS CENTRE,BUXTON ROAD,HAZEL GROVE,,SK7 6LZ,"WORKSHOP, STORE AND PREMISES"
0,14641,O,0,,7393000039,0,393.25,0,,0,,0,0,CP1,30250,10468414,AA CORPORATION LIMITED,C/O BILFINGER GVA,PO BOX 6079,WOLVERHAMPTON,,,WV1 9RA,11/03/2011,CAR SPACES AT BOUNDARY HOUSE,CHEADLE POINT,STOCKPORT ROAD,CHEADLE,,SK8 2AA,CAR PARKING SPACES
0,1500.4,O,0,,4961099349,-1,0,1500.4,,0,,0,0,CW,3100,10479316,AAF TEXTILES LIMITED,,,,,,,01/10/2015,UNIT 17,HAMPSTEAD MILL,LAKE STREET,GREAT MOOR,STOCKPORT,SK2 7NU,WAREHOUSE AND PREMISES
0,677.6,O,0,,908302299,-1,0,677.6,,0,,0,0,CO,1400,10455464,AAI GLOBAL LIMITED,C/O SERVICES TO PLACE - SBIC,OXFORD INNOVATION LTD,3RD FLOOR,BROADSTONE MILL,STOCKPORT,SK5 7DL,01/02/2016,SUITE 320D 3RD FLR,BROADSTONE MILL,BROADSTONE ROAD,STOCKPORT,,SK5 7DL,OFFICES AND PREMISES
0,3388,O,0,,7377126129,-1,0,2823.34,,0,,0,0,IF3,7000,10474461,AAL STOCKPORT LTD,,,,,,,05/01/2016,UNIT A6,AQUEDUCT BUSINESS PARK,STATION ROAD,MARPLE,STOCKPORT,SK6 5LD,WORKSHOP AND PREMISES
0,11495,O,0,,3370002029,0,308.75,0,,0,,0,0,CR,23750,10441920,AAMCHI MUMBAI LIMITED,,,,,,,10/06/2014,GROUND FLOOR FRONT,2A GATLEY ROAD,CHEADLE,,,SK8 1PY,RESTAURANT & PREMISES
0,175.43,O,0,,3370002749,0,0,0,,0,,0,0,CP1,700,10441920,AAMCHI MUMBAI LIMITED,,,,,,,24/09/2016,2 CAR SPACES,READON HOUSE,2-A GATLEY ROAD,CHEADLE,,SK8 1PY,CAR PARKING SPACES
0,9438,O,0,,883021019,0,253.5,0,,0,,0,0,CW,19500,10453614,AARDVARK CAR SUPERMARKET LIMITED,,,,,,,06/02/2012,UNIT 3 DEMETER BUILDINGS,BRIGHTON ROAD,HEATON NORRIS,STOCKPORT,,SK4 2BE,WAREHOUSE AND PREMISES
0,7098.22,O,0,,6438004259,0,190.65,0,,0,,0,0,IF3O,25250,10448538,AARON ACCESS LTD,4A BRAMHALL BUSINESS CENTRE,PEPPER ROAD,HAZEL GROVE,,,SK7 5BW,01/09/2016,4A BRAMHALL MOOR INDUSTRIAL PARK,PEPPER ROAD,HAZEL GROVE,STOCKPORT,,SK7 5BW,"WORKSHOP, OFFICES AND PREMISES"
0,27346,O,0,,8154001169,0,734.5,0,,0,,0,0,CO,56500,9214140,ABA QUALITY MONITORING LTD,,,,,,,01/04/2003,UNIT A6,THE EMBANKMENT,VALE ROAD,HEATON MERSEY,STOCKPORT,SK4 3GN,OFFICES AND PREMISES
0,9196,O,0,,3360090049,0,247,0,MAN,7554.4,,0,0,EN1,19000,10377004,ABACUS CHILDRENS COMM EDU SUP (ACC) LTD,,,,,,,01/04/2010,BRIGHT BEGINNINGS COMMUNITY NURSERY,120 GARNERS LANE,DAVENPORT,STOCKPORT,,SK3 8QW,DAY NURSERY AND PREMISES
0,4065.6,O,0,,3851013019,-1,0,2439.36,,0,,0,0,CG1,8400,9209580,ABACUS PLANT & MATERIALS HANDLINGS LTD,VEHICLE REPAIR WORKSHOP,HARRISON STREET,HIGHER HILLGATE,STOCKPORT,,SK1 3QZ,20/11/2014,VEHICLE REPAIR WORKSHOP,HARRISON STREET,HIGHER HILLGATE,STOCKPORT,,SK1 3QZ,VEHICLE REPAIR WORKSHOP AND PREMISES
0,2807.2,O,0,,3805008029,-1,0,2807.2,,0,,0,0,CO,5800,10471115,ABBEY BLINDS (NW) LTD,,,,,,,21/12/2015,OFFICES AND PREMISES,HAIGH AVENUE,REDDISH,STOCKPORT,,SK4 1NU,OFFICES AND PREMISES
0,1863.4,V,1913.45,PROHIB,6243001059,0,50.05,0,,0,,0,0,IF3,3850,10333870,ABBEYMEWS PROPERTIES LTD,C/O RH PROPERTY MANAGEMENT LTD,CENTURY BUILDINGS,14 ST MARY'S PARSONAGE,MANCHESTER,,M3 2DF,01/04/2006,7C PORTWOOD INDUSTRIAL ESTATE,OFFERTON STREET,NEWBRIDGE LANE,STOCKPORT,,SK1 2LA,WORKSHOP AND PREMISES
0,2395.8,V,2460.15,PROHIB,6243001049,0,64.35,0,,0,,0,0,CW,4950,10333870,ABBEYMEWS PROPERTIES LTD,C/O RH PROPERTY MANAGEMENT LTD,CENTURY BUILDINGS,14 ST MARY'S PARSONAGE,MANCHESTER,,M3 2DF,01/04/2006,UNITS 7D & 8C,PORTWOOD INDUSTRIAL ESTATE,OFFERTON STREET,NEWBRIDGE LANE,STOCKPORT,SK1 2LA,STORE &  PREMISES
0,0,V,0,MINRV,97001049,0,0,0,,0,,0,0,CX,0,10333870,ABBEYMEWS PROPERTIES LTD,C/O RH PROPERTY MANAGEMENT LTD,CENTURY BUILDINGS,14 ST MARY'S PARSONAGE,MANCHESTER,,M3 2DF,01/09/2008,COMPSTALL MILL,ANDREW STREET,COMPSTALL,STOCKPORT,,SK6 5HN,BUILDING IN SEVERE REPAIR
0,3242.8,V,0,,97001019,0,87.1,0,,0,,0,0,CG2,6700,10333870,ABBEYMEWS PROPERTIES LTD,C/O RH PROPERTY MANAGEMENT LTD,CENTURY BUILDINGS,14 ST MARY'S PARSONAGE,MANCHESTER,,M3 2DF,01/04/2014,31A COMPSTALL MILL,ANDREW MILL,COMPSTALL,STOCKPORT,,SK6 5HN,GARAGE AND PREMISES
0,628.01,V,644.88,3MTHS,97200009,0,16.87,0,,0,,0,0,CW3,3700,10333870,ABBEYMEWS PROPERTIES LTD,C/O RH PROPERTY MANAGEMENT LTD,CENTURY BUILDINGS,14 ST MARY'S PARSONAGE,MANCHESTER,,M3 2DF,24/11/2016,ANDREW STREET,COMPSTALL,STOCKPORT,,,SK6 5HN,STORE AND PREMISES
0,3383.69,O,0,,3100020029,0,0,0,,0,,0,0,CO,14750,10354143,ABBOTT & BRAMWELL LTD,FAIRACRES HOUSE,FAIRACRES ROAD,HIGH LANE,STOCKPORT,,SK6 8JQ,01/10/2016,FAIRACRES HOUSE,FAIRACRES ROAD,HIGH LANE,STOCKPORT,,SK6 8JQ,OFFICES AND PREMISES
0,3023.34,O,0,,3116006039,0,0,0,,0,,0,0,IF3,7500,10452032,ABDEC (MCR) LTD,UNIT 6A,FAR CROMWELL ROAD,BREBURY,STOCKPORT,,SK6 2RF,01/12/2014,UNIT 6A,FAR CROMWELL ROAD,BREDBURY,STOCKPORT,,SK6 2RF,WORKSHOP AND PREMISES
0,4017.2,O,0,,8359065009,-1,0,2477.46,,0,,0,0,CS,8300,10417939,A-BEST NURSING & CARE LTD,,,,,,,01/04/2013,65 WELLINGTON ROAD SOUTH,STOCKPORT,,,,SK1 3RU,SHOP AND PREMISES
0,8107,O,0,,3502004019,0,0,0,,0,,0,0,IF3O,16750,9204340,ABM ELECTRICAL WHOLESALE LTD,,,,,,,29/07/2002,UNIT 10,GREGORY WAY,OFF GREG STREET,STOCKPORT,,SK5 7ST,"WORKSHOP, OFFICE AND PREMISES"
0,2081.2,O,0,,4117105089,-1,0,2081.2,,0,,0,0,CO,4300,10423085,ABSOLUTE CARE & SUPPORT UK LTD,,,,,,,16/01/2013,OFFICES 4 & 5,HOLLY HOUSE,105 HYDE ROAD,WOODLEY,STOCKPORT,SK6 1NB,OFFICES AND PREMISES
