Ratepayer Name,Property Address,Propref,Billing Address,RV
Unique Carpets & Rugs Ltd,"1ST Flr Unit 3 Hough Mills, Bradford Road, Halifax, HX3 7BN",64332711,"C/O Mr David Sunderland, Chat Hill Farm, Chat Hill Road, Thornton, Bradford, BD13 3AR",4650
,"Unit 2, The Tannery, Bradford Road, Halifax             HX3 7HR",64332704,,840
,"Unit 5, The Tannery, Bradford Road, Halifax             HX3 7HR",64332707,,5500
,"Unit 1, The Tannery, Bradford Road, Halifax             HX3 7HR",64332703,,2225
,"Unit 3, The Tannery, Bradford Road, Halifax             HX3 7HR",64332708,,3650
Select Electrical Contractors Ltd,"Unit 4, The Tannery, Bradford Road, Halifax             HX3 7HR",64332705,,1850
Hawley Business Solutions Ltd,"Unit 6, The Tannery, Bradford Road, Halifax             HX3 7HR",64332706,,2350
The Bradshaw Pub Co Ltd,"Golden Fleece Inn, 1 Bradshaw Lane, Bradshaw, Halifax             HX2 9UZ",64336702,"Fao Keith A Vear, 29 Whitley Drive, Holmfield, Halifax, HX2 9SJ",4400
,"The Coach House, 3 Bradshaw Lane, Bradshaw, Halifax              HX2 9UZ",64336706,,2475
Eclectrick Ltd,"Unit 72 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344757,"Unit 72, Bowers Mill, Branch Road, Halifax, Barkisland, HX4 0AD",1375
,"Unit 71 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344756,,2225
,"Unit 51 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344713,,3650
,"Unit 21 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344716,,1275
,"Unit 54 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344758,,2100
Priory Hardwoods Ltd,"Unit 61 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344727,"Unit 61 Bowers Mill, Branch Road, Barkisland, Halifax, HX4 0AD",7900
,"Unit 64 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344722,,4950
,"Unit 55 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344726,,4600
Habitat Unique Ltd,"Unit 30 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344711,,2025
Bowers Mill Cafe Ltd,"Unit 32 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344712,,2225
,"Unit 20 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344709,,3050
J C A Ltd,"Units 80/83 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",64344747,"Units 80/83 Bowers Mill, Branch Road, Barkisland, HX4 0AD",5700
,"Unit 11 Bowers Mill, Branch Road, Barkisland, Halifax             HX4 0AD",64344708,,2700
,"28 Lees Buildings, Halifax Road, Hipperholme, Halifax             HX3 8EW",65624028,,3700
,"14 Law Lane, Southowram, Halifax, HX3 9QU",65592014,,3200
,"18 Law Lane, Southowram, Halifax, HX3 9QU",65592018,,3200
,"20 Law Lane, Southowram, Halifax, HX3 9QU",65592020,,5000
Hi-Tech Security And Fire Systems (Halifax) Ltd,"Unit 17, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 6RE",65600721,"Unit 17, Lee Bridge Industrial Estate, Lee Bridge, Halifax, HX3 5HE",7500
Henderson Fabrications Ltd,"Unit 4, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600703,"Unit 4, Lee Bridge Ind Estate, Lee Bridge, Halifax, HX3 5AT",8800
Eurofill Ltd,"Unit 14, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600713,"F.A.O. Mr David Laycock, Old Allen Barn, Old Allen Road, Harecroft, Bradford, BD13 3RY",3800
Reynard Electronics Ltd,"Unit 18, Lee Bridge Industrial Estate, Lee Bridge, Halifax              HX3 5AT",65600722,"C/O Mr R Davis, Raven Lodge, Beech Road, Sowerby Bridge, HX6 2LE",6300
J & R Electrical Ltd,"Unit 6, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600716,,8000
,"Unit 19, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",65600715,,5400
,"Unit 20, Lee Bridge Industrial Estate, 4 Lee Bridge, Halifax             HX3 5AT",65600718,,5900
M R G Fabrications (Yorkshire) Ltd,"Lee Mills, Lee Bridge, Halifax, HX3 5AT",65600700,"Unit 1 Lee Mills, Lee Bridge, Halifax, HX3 5AT",11500
,"47 Lee Mount Road, Lee Mount, Halifax, HX3 5BQ",65608047,,2250
,"Adj Whitehall Hotel, Leeds Road, Hipperholme, Halifax             HX3 8ND",65616708,,4400
,"Heavenly Harvest, Leeds Road, Hipperholme, Halifax              HX3 8ND",65616701,,2400
,"R/O Newsagents, Leeds Road, Hipperholme, Halifax              HX3 8ND",65616716,,1000
,"7 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616007,,6600
,"13 Leeds Road, Hipperholme, Halifax, HX3 8ND",65616700,,4150
Holmeward Car Sales Ltd,"Leeds Road, Halifax, HX3 7AE",65612707,,6100
,"Leeds Road, Halifax, HX3 7AE",65612701,,2300
,"Knowle Garage, Leeds Road, Lightcliffe, Halifax             HX3 8SX",65620701,,2650
Celebration Of Life Ltd,"Council Offices, Leeds Road, Hipperholme, Halifax             HX3 8ND",65616703,"13 Leeds Road, Hipperholme, Halifax, HX3 8ND",3100
W W Leese [Hx] Ltd,"Lower Brea, Leeds Road, Halifax, HX3 7AQ",65612723,"10 Bramley View, Lightcliffe, Halifax, HX3 8ST",4400
,"Unit 4 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612727,,2150
,"Unit 5 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612728,,1875
Yorkshire Hot Tub House Ltd,"Unit 3 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612725,"C/O 44 Rudding Avenue, Allerton, Bradford, BD15 7DA",6400
,"120 Albert View, Pellon, Halifax, HX2 0DD",64048120,,3400
,"2 Albion Street, Halifax, HX1 1DU",64052002,,8700
,"3 Albion Street, Halifax, HX1 1DU",64052003,,4000
Vintage Sofa Co Ltd,"Middle Floor, Jowler Mill, Luddenden, Halifax              HX2 6TB",65460701,"Jowler Mill, Luddendenfoot, Halifax, HX2 6TB",5600
,"First Floor Store, 150 Jubilee Road, Halifax, HX3 9LL",65958705,,5400
Halifax Plumbers Merchants Ltd,"150 Jubilee Road, Halifax, HX3 9LL",65958150,"150 Jubilee Road, Halifax, HX3 9LL",9900
,"Forest Joinery Works, Hopkinson Street, Ovenden, Halifax             HX3 6RB",65360700,,2075
,"S/0 1 Jumples, Mixenden, Halifax, HX2 8NS",65472701,,1750
,"Adj 1 Keighley Drive, Halifax, HX2 8HD",65480701,,3200
,"Moorside Garage, Keighley Road, Halifax, HX2 8AR",65484706,,5100
,"Causeway Foot Inn, 13 Causeway Foot, Halifax, HX2 8XX",64516700,,7000
,"Windmill Court Country Hotel, Keighley Road, Halifax, HX2 8YB",64516711,,7500
,"4 Keighley Road, Halifax, HX3 6QP",65484004,,3950
,"14 Keighley Road, Halifax, HX2 8AL",65484746,,3050
Kwai Hing Ltd,"24 Keighley Road, Halifax, HX2 8AL",65484024,,3450
,"28 Keighley Road, Halifax, HX2 8AL",65484028,,3600
,"30 Keighley Road, Halifax, HX2 8AL",65484030,,4000
C J W Printers Ltd,"22 South Lane, Elland, HX5 0HQ",56220022,,7000
,"The Fitness Suite, Woodman Works, South Lane, Elland               HX5 0PA",56220750,,7400
,"Unit 14 Woodman Works, South Lane, Elland, HX5 0PA",56220818,,6600
,"Unit 19A, Woodman Works, South Lane, Elland               HX5 0PA",56220811,,8000
,"Unit 5 Woodman Works, South Lane, Elland, HX5 0PA",56220725,,1100
Green Valley Arborists Ltd,"Unit 17 Woodman Works, South Lane, Elland, HX5 0PA",56220755,"15 Woodfield Avenue, Greetland, Halifax, HX4 8NA",5800
Commercial Vehicle Cleaning Services,"Unit 16 Woodman Works, South Lane, Elland, HX5 0HQ",56220736,"Bargreeta, Greetland Road, Barkisland, HX4 0BA",3800
Pws (Leeds) Ltd,"Unit 18 Woodman Works, South Lane, Elland, HX5 0HQ",56220738,,3800
Heathleigh Ltd,"Unit 2 Woodman Works, South Lane, Elland, HX5 0PA",56220746,"Unit 2, Woodman Works, South Lane, Elland, HX5 0PA",970
,"Unit 20 Woodman Works, South Lane, Elland, HX5 0HQ",56220737,,3800
A R Commercial Repairs,"Unit 15 Woodman Works, South Lane, Elland, HX5 0HQ",56220754,,5700
,"Unit 26 Woodman Works, South Lane, Elland, HX5 0PE",56220821,,7000
,"Unit 24 Woodman Works, South Lane, Elland, HX5 0HQ",56220768,,10750
,"Unit 8 Woodman Works, South Lane, Elland, HX5 0PA",56220779,,4450
,"Unit 8B Woodman Works, South Lane, Elland, HX5 0PA",56220778,,3900
Northgate Fabrications Ltd,"Unit 1 Woodman Works, South Lane, Elland, HX5 0PA",56220721,"16 Bracken Way, Elland, HX5 9QH",4600
Advanced Pipeline Services Ltd,"Unit 11A Woodman Works, South Lane, Elland, HX5 0PA",56220751,,4600
,"Unit 9C, Woodman Works, South Lane, Elland               HX5 0PA",56220813,,5100
Whitaker Electrical Ltd,"Unit 7D, Woodman Works, South Lane, Elland               HX5 0PA",56220814,"6 Garwick Terrace, Greetland, Halifax, HX4 8DA",310
C P Holland & Sons Ltd,"Unit 7 Woodman Works, South Lane, Elland, HX5 0PA",56220802,"8 Bramston Street, Brighouse, HD6 3AA",7800
D P Design Holdings Limited,"Unit 8A Woodman Works, South Lane, Elland, HX5 0PA",56220739,"C/O 28 Norton Close, Halifax, HX2 7RD",4700
,"Unit 7E, Woodman Works, South Lane, Elland               HX5 0PA",56220815,,2550
High Spec Metal Spinning Ltd,"Unit 3, Woodman Works, South Lane, Elland               HX5 0PA",56220723,,7400
Gb Forklift Training Services Ltd,"Unit 9, Woodman Works, South Lane, Elland               HX5 0PA",56220805,,5000
Pyxis Joinery Ltd,"Unit A Woodman Works, South Lane, Elland, HX5 0PA",56220762,"Unit A, Woodman Works, South Lane, Elland, HX5 0PA",4850
We Fit Solar Uk Ltd,"Unit B Woodman Works, South Lane, Elland, HX5 0PA",56220758,"67 Oxford Lane, Halifax, West Yorkshire, HX3 9BJ",3400
,"Unit C Woodman Works, South Lane, Elland, HX5 0PA",56220763,,2850
,"Unit D Woodman Works, South Lane, Elland, HX5 0PA",56220756,,5200
Optimum Mechanical & Electrical Ltd,"Unit E Woodman Works, South Lane, Elland, HX5 0PA",56220757,,2850
,"Adj Unit 2 Woodman Works, South Lane, Elland, HX5 0PA",56220748,,920
,"Unit 2 Woodman Works, South Lane, Elland, HX5 0PA",56220759,,2000
Elland Metal Finishers Ltd,"Unit 7A Woodman Works, South Lane, Elland, HX5 0PA",56220771,,3550
,"Garage Unit 7A, Woodman Works, South Lane, Elland               HX5 0PA",56220769,,4300
T's Transport Ltd,"First Floor Unit 7A, Woodman Works, South Lane, Elland               HX5 0PA",56220774,"First Floor, Unit 7B Woodman Works, South Lane, Elland, HX5 0PA",1100
,"10 Church Street, Greetland, Halifax, HX4 8EG",64576010,,4900
,"4 Cinderhills Lane, Halifax, HX3 9DQ",64580701,,4750
,"Room 4 2nd Floor, 3 Clare Road, Halifax, HX1 2HX",64584746,,6400
Bpr Property Management Ltd,"Part Ground Floor, 3 Clare Road, Halifax, HX1 2HX",64584797,,4250
Pbb Properties Ltd,"Part Ground Floor, 3 Clare Road, Halifax, HX1 2HX",64584799,,4950
Bradford Property Restoration Ltd,"Part First Floor, 3 Clare Road, Halifax, HX1 2HX",64584798,,6100
Ripon Property Restoration  Ltd,"Part 1ST Floor, 3 Clare Road, Halifax, HX1 2HX",64584796,"Equitable House, 55 Pellon Lane, Halifax, HX1 5SP",6500
,"Unit H3/C, H Block, Dean Clough Industrial Park, Halifax              HX3 5EX",64784785,,4500
,"Unit T2, Dean Clough Industrial Park, Halifax, HX3 5WL",64784802,,5100
Annapurna Indian Dance Company Ltd,"Unit T2A, Dean Clough Mills, Halifax, HX3 5AX",64784824,"F A O Shantha Rao, Unit T2A, Dean Clough Industrial Park, Halifax, HX3 5AX",1425
,"Office Suite T3, Dean Clough Mills, Halifax, HX3 5AX",64296716,,1500
,"Unit GY/1, G Mill Yard, Dean Clough Industrial Park, Halifax              HX3 5AX",64784780,,3750
Benton Industrial Service Ltd,"Unit DY/2, Dean Clough Mills, Halifax, HX3 5AX",64784752,"Unit DY/2, Dean Clough Mills, Halifax, HX3 5AX",6600
,"Unit GY/6, Dean Clough Office Park, Halifax, HX3 5AX",64784835,,1925
Diehl Metering Limited,"Office Suite D131 / D133, Dean Clough Mills, Halifax, HX3 5AX",64784887,,11500
,"Office Suite D222/224, Dean Clough Mills, Halifax, HX3 5AX",64778812,,5900
,"Broad Fold Park, Dean House Lane, Luddenden, Halifax              HX2 6TP",64792701,,2600
,"Unit Hm 29, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344977,,1875
Heritage Cashmere [Uk] Ltd,"Heritage Cashmere Uk Ltd, White Rose Mill, Holdsworth Road, Holmfield",65344950,"White Rose Mill, Holdsworth Road, Holmfield, Halifax, HX3 6SN",10000
,"Top Floor Glass Roof, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344897,,1825
The Dance Mill Ltd,"Top Floor South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344900,,4550
Foxvale Ltd,"The Old Boiler House, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344736,,6100
,"Unit 10 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",65344768,,2175
,"Unit 1.01, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344983,,1050
,"Unit 13 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",65344770,,1600
,"Unit 1.02/1.03, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344982,,1800
Arcadia Fabrication Limited,"Unit 8 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",65344825,,1925
Saturn Services (Uk) Ltd,"Unit 8A White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",65344824,"217 Long Lane, Wheatley, Halifax, HX2 0UZ",940
,"Unit 1.07, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344986,,680
Newmac Displays Ltd,"Unit 7 Ground Floor, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344922,"Fernleigh, Booth House Road, Blackwoodhall, Luddendenfoot, HX2 6HQ",11500
,"Unit 1.08, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344987,,465
,"Unit 1.04/1.05, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344984,,960
,"5 Albion Street, Halifax, HX1 1DU",64052100,,3900
,"7 Albion Street, Halifax, HX1 1DU",64052704,,3800
,"9 Albion Street, Halifax, HX1 1DU",64052009,,3950
Card City Retail Ltd,"10 Albion Street, Halifax, HX1 1DU",64052010,"21 Netherlands Square, Low Moor, Bradford, BD12 0TD",13000
,"11/13 Albion Street, Halifax, HX1 1DU",64052701,,7900
,"15 Albion Street, Halifax, HX1 1DU",64052015,,3950
,"17 Albion Street, Halifax, HX1 1DU",64052017,,3950
Cafe Dino's Ltd,"23 Alexandra Street, Halifax, HX1 1BS",64056023,"23 Alexandra Street, Halifax, HX1 1BS",6600
My Automotive Limited,"Victoria Works, Allerton Place, Halifax, HX1 5JJ",64068701,,6300
,"Victoria Works, Allerton Place, Halifax, HX1 5JJ",64068700,,7900
,"Bowling Club, Amisfield Road, Hipperholme, Halifax             HX3 8NE",64072703,,4650
Arden Road Social Club,"Arden Road Social Club, Arden Road, Halifax, HX1 3AG",64080700,"Fao Mr G Dawson (Secretary), Arden Road, Halifax, HX1 3AG",13750
,"95 Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096095,,4750
Cardelium Ltd,"97a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096700,"1 Woodthorpe, Denholme, Bradford, BD13 4NN",2800
,"99a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096701,,2950
,"101a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096702,,3050
,"103a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096703,,3050
,"105a Ovenden Road, Ovenden, Halifax, HX3 5RQ",64096704,,2750
,"40 Back Clough, Northowram, Halifax, HX3 7HH",64104706,,3700
,"45 Back Clough, Northowram, Halifax, HX3 7HH",64104045,,3400
,"38 Back Clough, Northowram, Halifax, HX3 7HH",64104038,,1900
Samuel Earnshaw Ltd,"7 Ferguson Street, Halifax, HX1 2EE",65076007,,5400
Armitage Clegg & Co Ltd,"Back Lord Street, Halifax, HX1 5AF",68880700,,5200
,"Backhold Lane, Siddal, Halifax, HX3 9DL",64120700,,3650
,"49 Commercial Street, Halifax, HX1 1BE",64660049,,5700
,"51 Commercial Street, Halifax, HX1 1BE",64660740,,6700
,"55 Commercial Street, Halifax, HX1 1BE",64660055,,7100
,"59 Commercial Street, Halifax, HX1 1BE",64660748,,8700
,"65 Commercial Street, Halifax, HX1 1BE",64660065,,8000
,"68 Commercial Street, Halifax, HX1 2JE",64660068,,3050
,"72 Commercial Street, Halifax, HX1 2JE",64660072,,3050
,"3 Common Lane, Southowram, Halifax, HX3 9PA",64664003,,4250
,"2/4 Conway Street, Halifax, HX1 4DT",64662002,,1850
,"Cooper House, Cooper Lane, Shelf, Halifax              HX3 7RJ",64672702,,3650
,"1 Copley Hall Street, Copley, Halifax, HX3 0UD",64676001,,4500
,"1A Copley Street, Halifax, HX3 0LD",64684701,,1800
,"Old Rishworthians Rufc, Copley Lane, Halifax, HX3 0UG",64680701,,8100
,"60 Copley Lane, Copley, Halifax, HX3 0RD",64680703,,3900
Make That Change Ltd,"Office Suite D107, Dean Clough Mills, Halifax, HX3 5AX",64296734,,1550
Eye Design Communication Ltd,"Office Suite D 138, Dean Clough Mills, Halifax, HX3 5AX",64885702,,3250
Keith Cannon & Co Ltd,"9A Harrison Road, Halifax, HX1 2AF",65276722,"9a Harrison Road, Halifax, HX1 2AF",2325
Accountancy Extra Ltd,"33 Harrison Road, Halifax, HX1 2AF",65276033,"33 Harrison Road, Halifax, HX1 2AF",8100
,"New Car Wash At Tescos, Haugh Shaw Road, Halifax, HX1 3LF",65284712,,10000
,"Trafalgar Works, 49 Haugh Shaw Road, Halifax, HX1 3AR",65284701,,7300
,"152 Haugh Shaw Road, Halifax, HX1 3BG",65284152,,4500
,"The Oddfellows Arms, 158 Haugh Shaw Road, Halifax, HX1 3BG",65284702,,8400
New Inn (Mount Tabor) Limited,"New Inn, Heath Hill Road, Halifax, HX2 0UT",65296700,,6700
,"15 Heath Mount, Free School Lane, Halifax, HX1 2YR",65300015,,8600
,"Heath View Street, Halifax, HX1 2JZ",68632704,,4650
,"3 Heathy Lane, Holmfield, Halifax, HX2 9UN",65304003,,1725
,"Highfield Farm, High Cross Lane, Shelf, Halifax              HX3 7RY",65948702,,6100
,"Unit 4 Hill Top Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",68244705,,2600
,"Unit 3 Hill Top Farm, Pepper Hill, Cock Hill Lane, Shelf                HX3 7TH",68244704,,1200
,"High Lee Green, Luddendenfoot, Halifax, HX2 6LD",65320700,,2375
,"Adj Plot 7, Pellon Industrial Estate, Queens Road, Halifax             HX1 4PS",68308706,,13750
,"5 Clare Road, Halifax, HX1 2HX",64584740,,8000
Sporting Memorabilia (Yorkshire) Ltd,"Part 1ST Floor, 5 Clare Road, Halifax, HX1 2HX",64584794,"Equitable House, 55 Pellon Lane, Halifax, HX1 5SP",5900
Stephen Conway (Bookbinders) Ltd,"5 Clare Road, Halifax, HX1 2HX",64584749,"Fao Steve Conway, Office Lower Ground Floor, 5 Clare Road, Halifax, HX1 2HX",5900
,"10-12 Clare Road, Halifax, HX1 2JR",64584782,,8800
,"19 Clare Road, Halifax, HX1 2HX",64584776,,8700
,"22 Clare Road, Halifax, HX1 2HX",64584706,,4100
