Organisation name,Organisation Code,Effective Date,Contract Reference number / ID,Open Contracting ID,Title of the Agreement,Contract type,Directorate / service responsible,Service Category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: CPV label,Procurement classification: CPV code,Procurement classification: Proclass label,Procurement classification: Proclass code,Contract start date,End date,Review date,Last extension date, Contract value ,Fixed cost / estimated cost,Irrecoverable VAT,Supplier name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN42078,,Adults - Breaks for Carers - Select List 2017,OTHER,ADULT SOCIAL CARE,,,Adults - Breaks for Carers - Select List 2017,CARER SUPPORT,Social work services without accomodation,853120009,Social Community Care Supplies & Services - Adult / Services for carers / Carers breaks,322120,19/04/2011,01/04/2018,,01/04/2018,10956,,,LEAF CARE SERVICES LTD,7109505,,397031,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10035,,Adults - Care Homes and Care Homes with Nursing - 2008 PPA,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2008 PPA,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,,,,,10658420,,,BARCHESTER HEALTHCARE HOMES LIMITED,2849519,,79458,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10011,,Adults - Care Homes and Care Homes with Nursing - 2008 PPA,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2008 PPA,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,,,,,4616415,,,THE REGARD PARTNERSHIP LIMITED,,,164096,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10643,,Adults - Care Homes and Care Homes with Nursing - 2008 PPA,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2008 PPA,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,,,,,1124680,,,CONSENSUS SUPPORT SERVICES LIMITED,4081379,,190216,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10069,,Adults - Care Homes and Care Homes with Nursing  -2010 LD Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing  -2010 LD Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,,,,,2075207,,,ORWELL HOUSING ASSOCIATION LIMITED,,,72795,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10403,,Adults - Care Homes and Care Homes with Nursing  -2010 LD Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing  -2010 LD Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,,,,,1229913,,,CARE MANAGEMENT GROUP LTD,,,67558,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10203,,Adults - Care Homes and Care Homes with Nursing  -2010 LD Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing  -2010 LD Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,,,,,330471,,,MISS BRIDGET JANE MARSHALL,,,112452,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10293,,Adults - Care Homes and Care Homes with Nursing  -2010 LD Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing  -2010 LD Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,,,,,144640,,,HOLMWOOD CARE LIMITED,8905594,,679711,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10129,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,,,,,,,,BUPA CARE HOMES (CFCHOMES) LIMITED,2006738,,,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN49815,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,09/09/2016,,,,,,,MS WENDY SPENCER,,,2187170,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN50675,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,06/01/2016,,,,,,,SUNNYCROFT CARE HOME LTD,,,253676,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10055,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,16884775,,,HEALTHCARE HOMES GROUP LIMITED,5507277,,107619,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10016,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,16786571,,,LARCHWOOD CARE HOMES (SOUTH) LIMITED,7747136,,678720,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10038,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,14162834,,,JEESAL RESIDENTIAL CARE SERVICES LTD,,,440281,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10536,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,31/12/2012,,,,11413413,,,RUNWOOD HOMES LTD,,,86354,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10736,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,10153795,,,WESTWARD CARE HOMES LTD,,,406042,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10185,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,9580785,,,NEW BOUNDARIES COMMUNITY SERVICES LTD,,,79971,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10735,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,8959280,,,MS JENNIFER JONAS ,,,368004,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10334,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,8703005,,,MAPS PROPERTIES LIMITED,,,1144781,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10111,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,8579282,,,INTEGRATED NURSING HOMES LIMITED,4585856,,71914,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10097,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,08/07/2015,,,,7849055,,,CARING HOMES HEALTHCARE GROUP LIMITED,6367517,,127225,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10149,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,7592173,,,ARMSCARE LIMITED,4561854,,79467,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10311,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,7534900,,,KEYS HILL PARK LTD,,,165429,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10152,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,7068023,,,DORRINGTON HOUSE,,,68301,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10247,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,23/08/2012,,,,6553459,,,SWANTON CARE AND COMMUNITY LIMITED,,,194839,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10106,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,6379709,,,BLACK SWAN INTERNATIONAL LIMITED,2621410,,68508,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10060,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,08/11/2016,,,,6284923,,,MR CANABADY MAUREE,,,67131,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10307,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,6277116,,,JOSEPH HOUSE (REEDHAM) LIMITED,1897208,,70638,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10545,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,6042302,,,THE VINERIES LTD,,,150167,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10169,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,29/01/2016,,,,5731018,,,COUNTY HEALTHCARE LIMITED,3321078,,67748,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10308,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,5707727,,,CONQUEST CARE HOMES (NORFOLK) LIMITED,2894168,,142233,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10301,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,5601119,,,ZEST CARE HOMES LTD,6315771,,174827,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10159,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,5563272,,,BENELL CARE SERVICES LTD.,3281717,,79508,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10442,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,5538651,,,THE PADDOCKS CARE HOME LIMITED,,,505475,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10226,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,5396779,,,ALPHA CARE MANAGEMENT SERVICES NO.3 LTD,9740080,,110574,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10245,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,5307325,,,DEVAGLADE LTD,,,68223,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10218,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,5290087,,,MR & MRS R SMART,,,69357,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10140,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,4789542,,,JANITH HOMES LTD,,,70559,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,05/10/2017,BAN10026,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,OTHER,ADULT SOCIAL CARE,,,Adults - Care Homes and Care Homes with Nursing - 2012 Contract,ADULT CARE-NURSING & RESIDENTIAL,Social work services with accommodation,853110002,Social Community Care Supplies & Services - Adult / Nursing & Residential Care Homes,321017,01/04/2012,,,,4716917,,,HALLMARK CARE HOMES (GAYWOOD) LTD,,,69612,,,,Procurement SRM team,procurementsccm@norfolk.gov.uk,
