Framework,Supplier,Customer,Parent Department,Customer Invoice Number,Date Booked,Booking Method,Ticket Price ex VAT,Number of Travellers,Total Cost ex VAT,Ticket Type,Ticket Single or Return,Travel Class,Travel Date,Miles Travelled,Journey Start Point,Journey Finish Point,Destination Country,Air Carrier
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6258994.00,NULL,,884.43,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40564.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259005.00,NULL,,502.47,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40580.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259090.00,NULL,,875.00,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259091.00,NULL,,324.07,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40560.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259126.00,NULL,,802.20,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259198.00,NULL,,139.37,NULL,NULL,CONTINENTAL,NULL,Economy,40560.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259200.00,NULL,,514.47,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259220.00,NULL,,204.00,NULL,NULL,CONTINENTAL,NULL,Economy,40560.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259252.00,NULL,,2667.40,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40555.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259260.00,NULL,,488.80,NULL,NULL,CONTINENTAL,NULL,Economy,40556.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259269.00,NULL,,145.37,NULL,NULL,CONTINENTAL,NULL,Economy,40563.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259299.00,NULL,,380.80,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40580.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259300.00,NULL,,227.70,NULL,NULL,CONTINENTAL,NULL,Economy,40622.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259302.00,NULL,,2086.83,NULL,NULL,INTERCONTINENTAL,NULL,Premium Economy,40566.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259328.00,NULL,,686.40,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40555.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259362.00,NULL,,85.00,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40564.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259374.00,NULL,,389.70,NULL,NULL,CONTINENTAL,NULL,Economy,40553.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259471.00,NULL,,880.74,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40628.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259540.00,NULL,,204.00,NULL,NULL,CONTINENTAL,NULL,Economy,40560.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259614.00,NULL,,389.70,NULL,NULL,CONTINENTAL,NULL,Economy,40553.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259648.00,NULL,,218.47,NULL,NULL,CONTINENTAL,NULL,Economy,40554.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259656.00,NULL,,491.03,NULL,NULL,DOMESTIC,NULL,Economy,40553.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259708.00,NULL,,79.74,NULL,NULL,DOMESTIC,NULL,Economy,40553.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259720.00,NULL,,998.97,NULL,NULL,INTERCONTINENTAL,NULL,Premium Economy,40592.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259746.00,NULL,,101.60,NULL,NULL,CONTINENTAL,NULL,Economy,40553.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259749.00,NULL,,1218.37,NULL,NULL,INTERCONTINENTAL,NULL,Premium Economy,40594.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259750.00,NULL,,84.10,NULL,NULL,DOMESTIC,NULL,Economy,40600.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259784.00,NULL,,398.47,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40556.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259784.00,NULL,,398.47,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40556.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259784.00,NULL,,464.47,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40556.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259792.00,NULL,,398.47,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40556.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259792.00,NULL,,464.47,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40556.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259940.00,NULL,,62.85,NULL,NULL,DOMESTIC,NULL,Economy,40553.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259941.00,NULL,,62.85,NULL,NULL,DOMESTIC,NULL,Economy,40553.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259970.00,NULL,,1528.47,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40561.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259973.00,NULL,,702.16,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259976.00,NULL,,344.36,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40552.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259977.00,NULL,,344.36,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40552.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6259981.00,NULL,,501.50,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40614.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260124.00,NULL,,646.27,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40560.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260126.00,NULL,,466.90,NULL,NULL,CONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260126.00,NULL,,0.00,NULL,NULL,CONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260129.00,NULL,,365.90,NULL,NULL,CONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260129.00,NULL,,0.00,NULL,NULL,CONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260130.00,NULL,,466.90,NULL,NULL,CONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260130.00,NULL,,0.00,NULL,NULL,CONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260153.00,NULL,,55.00,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40559.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260168.00,NULL,,62.74,NULL,NULL,DOMESTIC,NULL,Economy,40553.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260216.00,NULL,,1781.40,NULL,NULL,INTERCONTINENTAL,NULL,Premium Economy,40565.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260230.00,NULL,,620.27,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40561.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260413.00,NULL,,620.27,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40561.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260474.00,NULL,,397.70,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40587.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260583.00,NULL,,97.98,NULL,NULL,DOMESTIC,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260589.00,NULL,,97.98,NULL,NULL,DOMESTIC,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260594.00,NULL,,97.98,NULL,NULL,DOMESTIC,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260602.00,NULL,,83.98,NULL,NULL,DOMESTIC,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260633.00,NULL,,533.50,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40576.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260701.00,NULL,,124.77,NULL,NULL,CONTINENTAL,NULL,Economy,40574.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260703.00,NULL,,1055.17,NULL,NULL,INTERCONTINENTAL,NULL,Premium Economy,40610.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260741.00,NULL,,116.01,NULL,NULL,DOMESTIC,NULL,Economy,40569.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260870.00,NULL,,393.67,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40574.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260907.00,NULL,,375.60,NULL,NULL,CONTINENTAL,NULL,Economy,40566.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6260933.00,NULL,,1787.70,NULL,NULL,INTERCONTINENTAL,NULL,Premium Economy,40558.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261055.00,NULL,,600.20,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40557.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261207.00,NULL,,83.98,NULL,NULL,DOMESTIC,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261214.00,NULL,,83.98,NULL,NULL,DOMESTIC,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261216.00,NULL,,83.98,NULL,NULL,DOMESTIC,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261221.00,NULL,,83.98,NULL,NULL,DOMESTIC,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261223.00,NULL,,83.98,NULL,NULL,DOMESTIC,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261225.00,NULL,,104.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261226.00,NULL,,104.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261227.00,NULL,,104.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261228.00,NULL,,104.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261231.00,NULL,,104.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261233.00,NULL,,89.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261235.00,NULL,,89.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261237.00,NULL,,89.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261240.00,NULL,,116.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261246.00,NULL,,116.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261277.00,NULL,,431.90,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40616.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261282.00,NULL,,104.59,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261363.00,NULL,,0.00,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261409.00,NULL,,283.46,NULL,NULL,CONTINENTAL,NULL,Economy,40574.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261427.00,NULL,,525.20,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40556.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261434.00,NULL,,101.74,NULL,NULL,CONTINENTAL,NULL,Economy,40559.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261458.00,NULL,,47.00,NULL,NULL,CONTINENTAL,NULL,Economy,40562.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261481.00,NULL,,1055.17,NULL,NULL,INTERCONTINENTAL,NULL,Premium Economy,40609.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261566.00,NULL,,391.37,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40562.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261666.00,NULL,,90.44,NULL,NULL,CONTINENTAL,NULL,Economy,40578.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261686.00,NULL,,1625.80,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40565.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261687.00,NULL,,538.30,NULL,NULL,DOMESTIC,NULL,Economy,40570.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261728.00,NULL,,161.59,NULL,NULL,DOMESTIC,NULL,Economy,40560.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261794.00,NULL,,413.63,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40679.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261810.00,NULL,,0.00,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40565.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261810.00,NULL,,0.00,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40565.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261878.00,NULL,,312.20,NULL,NULL,DOMESTIC,NULL,Economy,40559.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261908.00,NULL,,0.00,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40621.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261910.00,NULL,,0.00,NULL,NULL,INTERCONTINENTAL,NULL,Business Class,40565.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261910.00,NULL,,0.00,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40565.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261912.00,NULL,,0.00,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40565.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6261923.00,NULL,,62.74,NULL,NULL,DOMESTIC,NULL,Economy,40553.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262108.00,NULL,,1231.53,NULL,NULL,INTERCONTINENTAL,NULL,Premium Economy,40616.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262206.00,NULL,,185.10,NULL,NULL,CONTINENTAL,NULL,Economy,40584.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262207.00,NULL,,572.34,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262225.00,NULL,,118.03,NULL,NULL,DOMESTIC,NULL,Economy,40560.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262227.00,NULL,,602.00,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262265.00,NULL,,146.62,NULL,NULL,DOMESTIC,NULL,Economy,40567.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262279.00,NULL,,1014.39,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40562.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262364.00,NULL,,75.00,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40582.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262377.00,NULL,,1014.39,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40562.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262409.00,NULL,,123.21,NULL,NULL,CONTINENTAL,NULL,Economy,40609.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262426.00,NULL,,231.00,NULL,NULL,CONTINENTAL,NULL,Economy,40637.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262427.00,NULL,,231.00,NULL,NULL,CONTINENTAL,NULL,Economy,40637.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262432.00,NULL,,382.10,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40569.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262433.00,NULL,,971.77,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40561.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262434.00,NULL,,337.80,NULL,NULL,CONTINENTAL,NULL,Economy,40562.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262435.00,NULL,,564.97,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40573.00,NULL,NULL,NULL,NULL,NULL
A607818,Carlson Wagonlit UK Ltd,British Council,Foreign And Commonwealth Office,6262441.00,NULL,,435.20,NULL,NULL,INTERCONTINENTAL,NULL,Economy,40572.00,NULL,NULL,NULL,NULL,NULL
