Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Portsmouth Hospitals Trust,12/03/2016,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18033002,104034,WSH1500018260
Department of Health,Portsmouth Hospitals Trust,12/03/2016,SrvcsRecd-FoundationTrust,PLASTIC SURGERY,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18033002,3970,WSH1500018260
Department of Health,Portsmouth Hospitals Trust,12/03/2016,SrvcsRecd-FoundationTrust,INTER PROVIDER CONTRACTS,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,18033046,168750,7275901
Department of Health,Portsmouth Hospitals Trust,12/03/2016,Services Received - NHSTs,PHCT/PHT RECHARGES,SOLENT NHS TRUST,18033087,-380320,54145448
Department of Health,Portsmouth Hospitals Trust,12/03/2016,Laboratory Chemicals,NEONATAL SCREENING (CHEM),PERKINELMER LAS (UK) LTD,18036006,71438.4,3100737677
Department of Health,Portsmouth Hospitals Trust,12/03/2016,Laboratory Chemicals,BLOOD SCIENCES,RADIOMETER LTD,18036159,52058.4,424005
Department of Health,Portsmouth Hospitals Trust,14/03/2016,Med & Surg Equip General,Cardiac Cath Lab,MEDTRONIC LTD,18041196,127.8,1051372699
Department of Health,Portsmouth Hospitals Trust,14/03/2016,Pacemakers,Cardiac Cath Lab,MEDTRONIC LTD,18041196,62560.8,1051372699
Department of Health,Portsmouth Hospitals Trust,15/03/2016,Laboratory Chemicals,BLOOD SCIENCES,BECKMAN COULTER UK LTD,18072696,142763.5,1349486
Department of Health,Portsmouth Hospitals Trust,16/03/2016,Services Received - NHSTs,Onc/Haem OPD B Level,ISLE OF WIGHT NHS TRUST,18090646,32606.93,44314776
Department of Health,Portsmouth Hospitals Trust,16/03/2016,Laboratory External Tests,transplant tissue typing,NHS BLOOD & TRANSPLANT,18090684,46562.33,588779
Department of Health,Portsmouth Hospitals Trust,18/03/2016,Rent,PHARMACY DIST UNIT 18,HEATHCROFT PROPERTIES LTD,18129579,6261.75,10019046
Department of Health,Portsmouth Hospitals Trust,21/03/2016,Rent,PROCUREMENT SERVICES,HEATHCROFT PROPERTIES LTD,18129579,9740.5,10019046
Department of Health,Portsmouth Hospitals Trust,21/03/2016,Service Charge,PROCUREMENT SERVICES,HEATHCROFT PROPERTIES LTD,18129579,593.88,10019046
Department of Health,Portsmouth Hospitals Trust,18/03/2016,Rent,RDPC SOLENT IND ESTATE,HEATHCROFT PROPERTIES LTD,18129579,18785.25,10019046
Department of Health,Portsmouth Hospitals Trust,18/03/2016,Service Charge,RDPC SOLENT IND ESTATE,HEATHCROFT PROPERTIES LTD,18129579,1527.11,10019046
Department of Health,Portsmouth Hospitals Trust,18/03/2016,Laboratory Radio-Isotopes,NUCLEAR MEDICINE PHT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,18129644,25683.15,7275612
Department of Health,Portsmouth Hospitals Trust,20/03/2016,Services Received - NHSTs,PHCT/PHT RECHARGES,SOLENT NHS TRUST,18145196,71126,54145338
Department of Health,Portsmouth Hospitals Trust,20/03/2016,Sterile Products,HOME HAEMO SERVICE,NXSTAGE MEDICAL UK LTD,18145251,102013.02,CD970317930
Department of Health,Portsmouth Hospitals Trust,20/03/2016,SrvcsRecd-FoundationTrust,ENT CENTRAL STATEMENT,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18146710,30825.25,WSH1500018395
Department of Health,Portsmouth Hospitals Trust,20/03/2016,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18146710,25577.16,WSH1500018395
Department of Health,Portsmouth Hospitals Trust,20/03/2016,SrvcsRecd-FoundationTrust,RENAL NON STOCK/STOCK,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18146710,728.92,WSH1500018395
Department of Health,Portsmouth Hospitals Trust,22/03/2016,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES TRADING LTD,18169474,128767.43,255
Department of Health,Portsmouth Hospitals Trust,22/03/2016,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES TRADING LTD,18169474,17427.17,255
Department of Health,Portsmouth Hospitals Trust,22/03/2016,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES TRADING LTD,18169474,45504.28,255
Department of Health,Portsmouth Hospitals Trust,22/03/2016,Commercial Sector,HAVANT DIALYSIS,RENAL SERVICES OPERATIONS LTD,18169489,69925.23,6461
Department of Health,Portsmouth Hospitals Trust,22/03/2016,Commercial Sector,MILFORD DIALYSIS,RENAL SERVICES OPERATIONS LTD,18169489,9463.56,6461
Department of Health,Portsmouth Hospitals Trust,22/03/2016,Commercial Sector,SALISBURY DIALYSIS,RENAL SERVICES OPERATIONS LTD,18169489,24710.42,6461
Department of Health,Portsmouth Hospitals Trust,22/03/2016,SrvcsRecd-FoundationTrust,ENT CENTRAL STATEMENT,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18170589,519,WSH1500018361
Department of Health,Portsmouth Hospitals Trust,22/03/2016,SrvcsRecd-FoundationTrust,OCCY HEALTH WEST SUSSEX,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18170589,1338,WSH1500018361
Department of Health,Portsmouth Hospitals Trust,22/03/2016,SrvcsRecd-FoundationTrust,Onc/Haem OPD B Level,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18170589,125715,WSH1500018361
Department of Health,Portsmouth Hospitals Trust,22/03/2016,SrvcsRecd-FoundationTrust,PLASTIC SURGERY,WESTERN SUSSEX HOSPITALS NHS FOUNDATION TRUST,18170589,5,WSH1500018361
Department of Health,Portsmouth Hospitals Trust,22/03/2016,CAPD Fluids,RENAL PD UNIT,BAXTER HEALTHCARE LTD,18170627,54419.89,16038709
Department of Health,Portsmouth Hospitals Trust,22/03/2016,Services Received - NHSTs,PHCT/PHT RECHARGES,SOLENT NHS TRUST,18170775,27608,54145586
Department of Health,Portsmouth Hospitals Trust,23/03/2016,Contr Other External,FINAL ACCOUNTS PROV/ADJ,HAMPSHIRE COUNTY COUNCIL,18205052,96000,3610625662
Department of Health,Portsmouth Hospitals Trust,25/03/2016,Limbs,LIMBS,HUGH STEEPER LTD,18205131,104314.74,SIN1602PR020973
Department of Health,Portsmouth Hospitals Trust,25/03/2016,Patients Appl: Purchase,ORTHOTICS,HUGH STEEPER LTD,18205131,3922.57,SIN1602PR020973
Department of Health,Portsmouth Hospitals Trust,23/03/2016,Contr Other External,FINAL ACCOUNTS PROV/ADJ,HAMPSHIRE COUNTY COUNCIL,18205211,-96000,3710070378
Department of Health,Portsmouth Hospitals Trust,30/03/2016,Independent Sector,Urgent Care Centre,SOUTH EAST HAMPSHIRE ALLIANCE LTD,18267021,32065,181
Department of Health,Portsmouth Hospitals Trust,30/03/2016,Independent Sector,Urgent Care Centre,SOUTH EAST HAMPSHIRE ALLIANCE LTD,18267045,34045,183
Department of Health,Portsmouth Hospitals Trust,31/03/2016,Computer Software/License,ICT OPERATIONS,TAYLOR MADE COMPUTER SOLUTIONS LTD,18268492,6249.6,SIN058494
Grand Total,,,,,,,3065573.01,
