Year,Code,Constituency,Region,Party Abbreviation,Party,Candidate Votes,Share of Vote,Total constituency votes,Majority Party,Majority,Majority %
2015,E14000589,Bradford West,Yorkshire and The Humber,Ind,Independent,100,0.25%,,,,
2015,E14000589,Bradford West,Yorkshire and The Humber,Eng Dem,Eng Dem,98,0.24%,,,,
2015,E14000766,Keighley,Yorkshire and The Humber,C,Conservative,"21,766",44.31%,"49,123",C,"3,053",6.22%
2015,E14000766,Keighley,Yorkshire and The Humber,Lab,Labour,"18,713",38.09%,,,,
2015,E14000766,Keighley,Yorkshire and The Humber,UKIP,UKIP,"5,662",11.53%,,,,
2015,E14000766,Keighley,Yorkshire and The Humber,Green,Green,"1,661",3.38%,,,,
2015,E14000766,Keighley,Yorkshire and The Humber,LD,Lib Dem,"1,321",2.69%,,,,
2015,E14000925,Shipley,Yorkshire and The Humber,C,Conservative,"25,269",50.00%,"50,542",C,"9,624",19.04%
2015,E14000925,Shipley,Yorkshire and The Humber,Lab,Labour,"15,645",30.95%,,,,
2015,E14000925,Shipley,Yorkshire and The Humber,UKIP,UKIP,"4,479",8.86%,,,,
2015,E14000925,Shipley,Yorkshire and The Humber,Green,Green,"2,657",5.26%,,,,
2015,E14000925,Shipley,Yorkshire and The Humber,LD,Lib Dem,"1,949",3.86%,,,,
2015,E14000925,Shipley,Yorkshire and The Humber,Yorks,Yorks,543,1.07%,,,,
2010,E14000587,Bradford East,Yorkshire and The Humber,LD,Lib Dem,"13,637",33.71%,40457,LD,365,0.90%
2010,E14000587,Bradford East,Yorkshire and The Humber,Lab,Labour,"13,272",32.81%,,,,
2010,E14000587,Bradford East,Yorkshire and The Humber,C,Conservative,"10,860",26.84%,,,,
2010,E14000587,Bradford East,Yorkshire and The Humber,BNP,BNP,"1,854",4.58%,,,,
2010,E14000587,Bradford East,Yorkshire and The Humber,Ind,Independent,375,0.93%,,,,
2010,E14000587,Bradford East,Yorkshire and The Humber,Ind,Independent,237,0.59%,,,,
2010,E14000587,Bradford East,Yorkshire and The Humber,NF,National Front,222,0.55%,,,,
2010,E14000588,Bradford South,Yorkshire and The Humber,Lab,Labour,"15,682",41.27%,37995,Lab,"4,622",12.16%
2010,E14000588,Bradford South,Yorkshire and The Humber,C,Conservative,"11,060",29.11%,,,,
2010,E14000588,Bradford South,Yorkshire and The Humber,LD,Lib Dem,"6,948",18.29%,,,,
2010,E14000588,Bradford South,Yorkshire and The Humber,BNP,BNP,"2,651",6.98%,,,,
2010,E14000588,Bradford South,Yorkshire and The Humber,UKIP,UKIP,"1,339",3.52%,,,,
2010,E14000588,Bradford South,Yorkshire and The Humber,D Nat,D Nat,315,0.83%,,,,
2010,E14000589,Bradford West,Yorkshire and The Humber,Lab,Labour,"18,401",45.35%,40576,Lab,"5,763",14.20%
2010,E14000589,Bradford West,Yorkshire and The Humber,C,Conservative,"12,638",31.15%,,,,
2010,E14000589,Bradford West,Yorkshire and The Humber,LD,Lib Dem,"4,732",11.66%,,,,
2010,E14000589,Bradford West,Yorkshire and The Humber,BNP,BNP,"1,370",3.38%,,,,
2010,E14000589,Bradford West,Yorkshire and The Humber,Respect,Respect,"1,245",3.07%,,,,
2010,E14000589,Bradford West,Yorkshire and The Humber,Green,Green,940,2.32%,,,,
2010,E14000589,Bradford West,Yorkshire and The Humber,UKIP,UKIP,812,2.00%,,,,
2010,E14000589,Bradford West,Yorkshire and The Humber,D Nat,D Nat,438,1.08%,,,,
2010,E14000766,Keighley,Yorkshire and The Humber,C,Conservative,20003,41.94%,47692,C,2940,6.16%
2010,E14000766,Keighley,Yorkshire and The Humber,Lab,Labour,17063,35.78%,,,,
2010,E14000766,Keighley,Yorkshire and The Humber,LD,Lib Dem,7059,14.80%,,,,
2010,E14000766,Keighley,Yorkshire and The Humber,BNP,BNP,1962,4.11%,,,,
2010,E14000766,Keighley,Yorkshire and The Humber,UKIP,UKIP,1470,3.08%,,,,
2010,E14000766,Keighley,Yorkshire and The Humber,NF,National Front,135,0.28%,,,,
2010,E14000925,Shipley,Yorkshire and The Humber,C,Conservative,24002,48.56%,49427,C,9944,20.12%
2010,E14000925,Shipley,Yorkshire and The Humber,Lab,Labour,14058,28.44%,,,,
2010,E14000925,Shipley,Yorkshire and The Humber,LD,Lib Dem,9890,20.01%,,,,
2010,E14000925,Shipley,Yorkshire and The Humber,Green,Green,1477,2.99%,,,,
