Organisation Name,Dept,Service Cat Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Transaction Number,Net Amount,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,JEWSON LIMITED,A0001323, 13/08/2015,REG0263785,73.8,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,JEWSON LIMITED,A0001323, 13/08/2015,REG0263787,73.8,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Court Fees,HM COURTS & TRIBUNALS SERVICE,A0001365, 06/08/2015,DAL0263874,100,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,KILLGERM CHEMICALS LTD,A0001624, 13/08/2015,ENV0264009,6.59,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,KILLGERM CHEMICALS LTD,A0001624, 13/08/2015,ENV0264009,8.8,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,KILLGERM CHEMICALS LTD,A0001624, 13/08/2015,ENV0264009,70.88,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,KILLGERM CHEMICALS LTD,A0001624, 13/08/2015,ENV0264009,180,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 20/08/2015,ENV0264241,11.96,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 06/08/2015,ENV0263832,18.2,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 20/08/2015,ENV0264241,25,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 06/08/2015,ENV0263832,27.2,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 06/08/2015,ENV0263832,52.02,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 06/08/2015,ENV0263832,67.98,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 06/08/2015,ENV0263832,109.29,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 20/08/2015,ENV0264241,112.75,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 06/08/2015,ENV0263832,152.34,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Protective Clothing,KILLGERM CHEMICALS LTD,A0001624, 06/08/2015,ENV0263832,28.32,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Protective Clothing,KILLGERM CHEMICALS LTD,A0001624, 06/08/2015,ENV0263832,56.64,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,LANLEE SUPPLIES LIMITED,A0001672, 20/08/2015,PCO0264148,11.7,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,HED0263955,1.3,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,HED0263947,6.56,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANLEE SUPPLIES LIMITED,A0001672, 27/08/2015,HED0264321,7.12,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,HED0263947,12.65,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,HED0263947,13.92,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,HED0263955,15.98,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,HED0263947,36.84,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,HED0263947,47.67,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,HED0263955,58.01,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,HED0263956,310.25,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,REG0263793,16.8,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,REG0263792,28.1,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,REG0263788,40.16,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,LANLEE SUPPLIES LIMITED,A0001672, 13/08/2015,REG0263794,67.2,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 27/08/2015,PCO0264341,3.32,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 27/08/2015,PCO0264341,3.63,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 27/08/2015,PCO0264340,10.54,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 27/08/2015,PCO0264341,21.8,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 27/08/2015,PCO0264339,30.4,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 27/08/2015,PCO0264341,31.54,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 27/08/2015,PCO0264340,41.48,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 20/08/2015,PCO0264144,12.33,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 20/08/2015,PCO0264144,14.44,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 20/08/2015,PCO0264144,31.12,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 27/08/2015,PCO0264339,15.2,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 27/08/2015,PCO0264339,22.88,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,DICK LEIGH,A0001675, 20/08/2015,PCO0264177,92.29,No,N/A,N,N/A
