Property Reference,Property Description,Rateable Value,Account Name,Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Mandatory Rate Relief,Mandatory Rate Relief Amount,Discretionary Rate Relief,Discretionary Rate Relief Amount,Additional Relief,Additional Relief Amount,Small Business Rate Relief,Small Business Rate Relief Amount
22400068610015,PUBLIC HOUSE AND PREMISES,"£17,750",Ale Mary Limited,08/05/2017,686 High Road,London,,,,N12 9PT,NONE,£0.00,NONE,£0.00,PUB RELIEF,£898.63,NO,£0.00
22420116620005,PUBLIC HOUSE AND PREMISES,"£46,750",Barbox Solutions Limited,02/12/2015,Three Horse Shoes,1166 High Road,London,,,N20 0RA,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
22420126220009,PUBLIC HOUSE AND PREMISES,"£92,250",Zelgrain Limited,07/04/2017,Griffin,1262 High Road,London,,,N20 9HH,NONE,£0.00,NONE,£0.00,PUB RELIEF,£983.56,NO,£0.00
22440008420005,PUBLIC HOUSE AND PREMISES,"£12,000",Mr J J Waters,09/04/2009,Kings Head,84 High Street,Barnet,Hertfordshire,,EN5 5SN,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
22440014820003,PUBLIC HOUSE AND PREMISES,"£29,250",Red Tree (uk) Ltd,01/12/2009,Misty Moon,148 High Street,Barnet,Hertfordshire,,EN5 5XP,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
37660006720003,PUBLIC HOUSE AND PREMISES,"£48,250",Harnser Inns Limited,07/10/2015,The Cavalier,67 Russell Lane,London,,,N20 0BB,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
43580007720008,PUBLIC HOUSE AND PREMISES,"£46,750",Oak Taverns Ltd,13/08/2012,The Black Horse,Wood Street,Barnet,Hertfordshire,,EN5 4HY,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
44280000310026,PUBLIC HOUSE AND PREMISES,"£39,000",Ireland's Dream Ltd,01/04/2000,The Bodhran,5 Vivian Avenue,London,,,NW4 3UT,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
45300001420008,PUBLIC HOUSE AND PREMISES,"£10,750",Ms Julie Clarke,01/04/2015,Lord Nelson,14 West End Lane,Barnet,Hertfordshire,,EN5 2SA,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
0620001280001A,PUBLIC HOUSE AND PREMISES,"£14,500",Mr Mehta,01/04/2015,Blarneys,128 Burnt Oak Broadway,Edgware,Middlesex,,HA8 0BB,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
1582006220001B,PUBLIC HOUSE AND PREMISES,"£17,750",Ireland's Dream Ltd,01/04/2000,622 Finchley Road,London,,,,NW11 7RR,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
3258003102000A,PUBLIC HOUSE AND PREMISES,"£32,750",Mrs T P Davis,01/09/2007,York Arms,310 Oakleigh Road North,London,,,N20 0DH,NONE,£0.00,NONE,£0.00,PUB RELIEF,"£1,000.00",NO,£0.00
0604009072000B,HALL AND PREMISES,"£9,500",Finchley & District Amateur Boxing Club,01/04/2000,Anchor Hall,Bulwer Road,Barnet,Hertfordshire,,EN5 5EX,NONE,£0.00,COMMUNITY AMATEUR SPORTS CLUB RELIEF,"£3,541.60",NONE,£0.00,NO,£0.00
45660090320002,CLUB HOUSE AND PREMISES,"£5,000",1st Barnet Scout Group Hon Treasurer,01/04/2000,Scouts Hut R/o,Westcombe Drive,Barnet,Hertfordshire,,EN5 2BE,MANDATORY RATE RELIEF,"£1,916.00",10%,£239.50,NONE,£0.00,NO,£0.00
02460068120001,HALL AND PREMISES,"£8,900",The Arkley Association,01/04/2000,Arkley Village Hall,Barnet Road,Barnet,Hertfordshire,,EN5 3LD,MANDATORY RATE RELIEF,"£3,410.48",10%,£426.31,NONE,£0.00,NO,£0.00
24340000120009,HALL AND PREMISES,"£6,100",Tenth Finchley (scottish) Scout Group,01/04/2000,Scout Hall,Huntly Drive,London,,,N3 1NX,MANDATORY RATE RELIEF,"£2,337.52",10%,£292.19,NONE,£0.00,NO,£0.00
37880092720002,HALL AND PREMISES,"£2,225",8th Barnet Scout Group,01/04/2000,Scout Hut North Side Burial Ground,St Albans Road,Barnet,Hertfordshire,,EN5 4JX,MANDATORY RATE RELIEF,£852.62,10%,£106.58,NONE,£0.00,NO,£0.00
38660090220008,HALL AND PREMISES,"£7,700",16th Hendon Scout Group,01/04/2000,Brownsea Walk,Sanders Lane,London,,,NW7 1BE,MANDATORY RATE RELIEF,"£2,950.64",10%,£368.83,NONE,£0.00,NO,£0.00
40500090120006,HALL AND PREMISES,"£5,900",3rd Friern Barnet Scout Group & 4th Friern Barnet Guides,01/04/2003,Scout Hut,Stanford Road,London,,,N11 3JG,MANDATORY RATE RELIEF,"£2,260.88",10%,£282.61,NONE,£0.00,NO,£0.00
40990000100002,HALL AND PREMISES,"£4,650",The Trustees Of The 4th East Barnet (sea Scout) Group,01/04/2000,The Scout Hall,1 Stevenson Close,Barnet,Hertfordshire,,EN5 1DR,MANDATORY RATE RELIEF,"£1,012.52",10%,£126.57,NONE,£0.00,NO,£0.00
44760063510025,HALL AND PREMISES,"£5,400",21st Hendon (3rd Mill Hill),01/04/2000,Scouts Hut R/o,635 Watford Way,London,,,NW7 3JR,MANDATORY RATE RELIEF,"£2,069.28",10%,£258.66,NONE,£0.00,NO,£0.00
47920002700016,HALL AND PREMISES,"£4,200",1st Lyonsdown N.barnet Scout Asst Group Scout Leader,01/04/2000,27 York Road,Barnet,Hertfordshire,,,EN5 1LJ,MANDATORY RATE RELIEF,"£1,609.44",10%,£201.18,NONE,£0.00,NO,£0.00
06200021000007,COMMUNITY CENTRE AND PREMISES,"£47,000",Sangan Association Of Asian Women,01/04/2000,210 Burnt Oak Broadway,Edgware,Middlesex,,,HA8 0AP,MANDATORY RATE RELIEF,"£17,594.82",20%,"£4,398.70",NONE,£0.00,NO,£0.00
08640090520006,COMMUNITY CENTRE AND PREMISES,"£17,500",Age UK Barnet,01/04/2000,Daycentre,Church End,London,,,NW4 4JT,MANDATORY RATE RELIEF,"£6,706.00",20%,"£1,676.50",NONE,£0.00,NO,£0.00
21343000510009,COMMUNITY CENTRE AND PREMISES,"£40,750",Mr Goodman For: Stonegrove Community Trust,09/08/2016,Onestonegrove At,5 Hayling Way,Edgware,,,HA8 8BN,MANDATORY RATE RELIEF,"£14,641.78",20%,"£3,660.45",NONE,£0.00,NO,£0.00
32200003020007,COMMUNITY CENTRE AND PREMISES,"£12,000",Age UK Barnet,01/04/2000,The Centre,Oak Lane,London,,,N2 8LT,MANDATORY RATE RELIEF,"£4,598.40",20%,"£1,149.60",NONE,£0.00,NO,£0.00
32920014520001,COMMUNITY CENTRE AND PREMISES,"£23,750",Watling Association,01/04/2000,The Watling Centre,145 Orange Hill Road,Edgware,,,HA8 0TR,MANDATORY RATE RELIEF,"£9,101.00",20%,"£2,275.25",NONE,£0.00,NO,£0.00
38600090720005,COMMUNITY CENTRE AND PREMISES,"£2,175",Barnet Old Peoples Welfare Committee,01/04/2000,Old Peoples Welfare Association The,Fern Room Salisbury Road,Barnet,Hertfordshire,,EN5 4JL,MANDATORY RATE RELIEF,£833.46,20%,£208.37,NONE,£0.00,NO,£0.00
44140290220004,COMMUNITY CENTRE AND PREMISES,"£6,900",New Barnet Community  Association,01/04/2000,New Barnet Community Centre,Victoria Road,Barnet,Hertfordshire,,EN4 9PA,MANDATORY RATE RELIEF,"£2,644.08",20%,£661.02,NONE,£0.00,NO,£0.00
0328000640001A,COMMUNITY CENTRE AND PREMISES,"£1,275",The Eleanor Palmer Trust,01/04/2000,64 Bells Hill,Barnet,,,,EN5 2SQ,MANDATORY RATE RELIEF,£469.42,20%,£117.36,NONE,£0.00,NO,£0.00
37880090220001,HALL AND PREMISES,"£7,800",John Trotter Trust,28/03/2012,Red Cross Centre,St Albans Road,Barnet,Hertfordshire,,EN5 4LA,MANDATORY RATE RELIEF,"£2,849.75",20%,£712.44,NONE,£0.00,NO,£0.00
47360004720008,HOSPITAL AND PREMISES,"£112,000",North London Hospice,24/11/2009,47 Woodside Avenue,London,,,,N12 8TF,MANDATORY RATE RELIEF,"£55,326.23",20%,"£13,831.56",NONE,£0.00,NO,£0.00
448000206A000A,LEISURE CENTRE AND PREMISES,"£202,000",Greenwich Leisure Ltd,01/09/2003,Barnet Burnt Oak Leisure Centre,Watling Avenue,Edgware,,,HA8 0NP,MANDATORY RATE RELIEF,"£77,406.40",20%,"£19,351.60",NONE,£0.00,NO,£0.00
05480008520009,LIBRARY AND PREMISES,"£33,250",Inclusion Barnet,01/04/2017,85 Brookhill Road,Barnet,Hertfordshire,,,EN4 8SQ,MANDATORY RATE RELIEF,"£12,741.40",20%,"£3,185.35",NONE,£0.00,NO,£0.00
09940011120006,LIBRARY AND PREMISES,"£43,500",Inclusion Barnet,01/04/2017,South Friern Library,111 Colney Hatch Lane,London,,,N10 1HD,MANDATORY RATE RELIEF,"£19,113.50",20%,"£4,778.38",NONE,£0.00,NO,£0.00
3620000010000B,OFFI CE AND PREMISES,"£23,750",The Larches Trust,14/08/2001,1 Rectory Lane,Edgware,,,,HA8 7LF,MANDATORY RATE RELIEF,"£5,949.01",20%,"£1,487.25",NONE,£0.00,NO,£0.00
08520005500005,OFFICES AND PREMISES,"£46,750",The Jewish Association for Mental Illness ,10/02/2016,55 Christchurch Avenue,London,,,,N12 0DG,MANDATORY RATE RELIEF,"£17,914.60",20%,"£4,478.65",NONE,£0.00,NO,£0.00
13760092620004,OFFICES AND PREMISES,"£267,500",The Multiple Sclerosis Society,12/08/2000,372 Edgware Road,London,,,,NW2 6ND,MANDATORY RATE RELIEF,"£100,364.76",20%,"£25,091.19",NONE,£0.00,NO,£0.00
21800002710049,OFFICES AND PREMISES,"£29,500",Barnet Mencap,08/01/2007,Barnet Mencap,35 Hendon Lane,London,,,N3 1RT,MANDATORY RATE RELIEF,"£11,304.40",20%,"£2,826.10",NONE,£0.00,NO,£0.00
40880003000008,OFFICES AND PREMISES,"£13,250",Barnet Citizens Advice Bureau,01/04/2000,30 Station Road,Barnet,Hertfordshire,,,EN5 1QW,MANDATORY RATE RELIEF,"£4,699.40",20%,"£1,174.85",NONE,£0.00,NO,£0.00
46960010610032,OFFICES AND PREMISES,"£8,700",Eleanor Palmers Charity Clerk To The Trustees,01/04/2000,106b Wood Street,Barnet,Hertfordshire,,,EN5 4BE,MANDATORY RATE RELIEF,"£2,412.75",20%,£603.19,NONE,£0.00,NO,£0.00
0220002991004A,OFFICES AND PREMISES,"£44,000",Barnet Carers Centre Ltd,12/09/2003,3rd Flr Global House 303,Ballards Lane,London,,,N12 8NP,MANDATORY RATE RELIEF,"£14,009.12",20%,"£3,502.28",NONE,£0.00,NO,£0.00
1582008580000B,OFFICES AND PREMISES,"£34,000",Resources For Autism,12/09/2002,858 Finchley Road,London,,,,NW11 6AB,MANDATORY RATE RELIEF,"£13,028.80",20%,"£3,257.20",NONE,£0.00,NO,£0.00
472000036B0008,OFFICES AND PREMISES,"£77,000",Homeless Action In Barnet Ltd,01/04/2004,36b Woodhouse Road,London,,,,N12 0RG,MANDATORY RATE RELIEF,"£24,127.18",20%,"£6,031.80",NONE,£0.00,NO,£0.00
44761000520005,RETAIL WAREHOUSE AND PREMISES,"£580,000",The Together Plan Ltd,14/09/2016,Pentavia Retail Park,Watford Way,London,,,NW7 2PT,MANDATORY RATE RELIEF,"£225,707.75",20%,"£56,426.94",NONE,£0.00,NO,£0.00
09220290320006,SCHOOL AND PREMISES,"£241,000",Whitefield School,01/04/2000,Whitefield School,Claremont Road,London,,,NW2 1TR,MANDATORY RATE RELIEF,"£114,238.03",20%,"£28,559.51",NONE,£0.00,NO,£0.00
08640004020009,SHOP AND PREMISES,"£20,750",Barnet Citizens Advice Bureau,17/05/2013,40-42 Church End,London,,,,NW4 4JT,MANDATORY RATE RELIEF,"£5,399.44",20%,"£1,349.86",NONE,£0.00,NO,£0.00
08640004400009,SHOP AND PREMISES,"£11,500",Barnet Citizens Advice Bureau,17/05/2013,44 Church End,London,,,,NW4 4JT,MANDATORY RATE RELIEF,"£2,980.97",20%,£745.24,NONE,£0.00,NO,£0.00
10000000700009,SHOP AND PREMISES,"£7,800",Trustees Of The Dining Place - Living Way Ministries,22/04/2000,7 The Concourse,London,,,,NW9 5XB,MANDATORY RATE RELIEF,"£2,988.96",20%,£747.24,NONE,£0.00,NO,£0.00
15825000700012,SHOP AND PREMISES,"£12,250",Binyamin Ministries,20/10/2015,7 Monkville Parade,London,,,,NW11 0AL,MANDATORY RATE RELIEF,"£4,274.31",20%,"£1,068.58",NONE,£0.00,NO,£0.00
18180008900008,SHOP AND PREMISES,"£24,250",The Jewish Association For Mental Illness,01/04/2000,89 Golders Green Road,London,,,,NW11 8EE,MANDATORY RATE RELIEF,"£9,292.60",20%,"£2,323.15",NONE,£0.00,NO,£0.00
22380016000018,SHOP AND PREMISES,"£17,500",RSPCA,22/07/2013,160 High Road,London,,,,N2 9AS,MANDATORY RATE RELIEF,"£6,298.70",20%,"£1,574.67",NONE,£0.00,NO,£0.00
22400063810016,SHOP AND PREMISES,"£21,000",PERSIAN ADVICE BUREAU,08/09/2015,638-640 High Road,London,,,,N12 0NL,MANDATORY RATE RELIEF,"£8,047.20",20%,"£2,011.80",NONE,£0.00,NO,£0.00
22400073610079,SHOP AND PREMISES,"£38,250",RSPCA Finchley and District Branch,23/06/2017,Bst & Gnd Flr,736 High Road,London,,,N12 9QD,MANDATORY RATE RELIEF,"£11,324.35",20%,"£2,831.09",NONE,£0.00,NO,£0.00
28540001520009,SHOP AND PREMISES,"£11,250",Garden Suburb Community Library Ltd,11/12/2014,15 The Market Place Falloden Way,London,,,,NW11 6LB,MANDATORY RATE RELIEF,"£4,311.00",20%,"£1,077.75",NONE,£0.00,NO,£0.00
39201000900016,SHOP AND PREMISES,"£15,500",London Fatwa Council,01/12/2016,9 Sheaveshill Parade,Sheaveshill Avenue,London,,,NW9 6RS,MANDATORY RATE RELIEF,"£3,686.07",20%,£921.52,NONE,£0.00,NO,£0.00
1000000040001A,SHOP AND PREMISES,"£16,000",Colindale Communities Trust,01/04/2015,4-5 The Concourse,London,,,,NW9 5XB,MANDATORY RATE RELIEF,"£6,131.20",20%,"£1,532.80",NONE,£0.00,NO,£0.00
28450090120003,SPORTS CENTRE AND PREMISES,"£208,000",Greenwich Leisure Ltd,01/01/2003,Hendon Sports Centre,Marble Drive,London,,,NW2 1XB,MANDATORY RATE RELIEF,"£81,700.98",20%,"£20,425.24",NONE,£0.00,NO,£0.00
0246006672000B,SPORTS GROUND AND PREMISES,"£6,700",Hadley Disabled Sports Association,01/04/2000,Sports Ground,Barnet Gate,Barnet,Hertfordshire,,EN5 3LA,MANDATORY RATE RELIEF,"£2,567.44",20%,£641.86,NONE,£0.00,NO,£0.00
3350000532000A,SURGERY AND PREMISES,"£8,100",RSPCA,01/04/2000,Clinic,Park Road,London,,,N2 8EX,MANDATORY RATE RELIEF,"£2,199.17",20%,£549.79,NONE,£0.00,NO,£0.00
07705090220003,SWIMMING POOL AND PREMISES,"£234,000",Greenwich Leisure Ltd,01/04/2007,Swimming Pool Copthall Sports Centre,Champions Way,London,,,NW4 1PX,MANDATORY RATE RELIEF,"£89,668.80",20%,"£22,417.20",NONE,£0.00,NO,£0.00
07850000420009,SWIMMING POOL AND PREMISES,"£250,000",Greenwich Leisure Ltd,01/01/2003,Finchley Lido Gt North Leisure Park,Chaplin Square,London,,,N12 0GL,MANDATORY RATE RELIEF,"£101,075.34",20%,"£25,268.83",NONE,£0.00,NO,£0.00
08700090920005,SWIMMING POOL AND PREMISES,"£27,750",Greenwich Leisure Ltd,01/01/2003,Swimming Pool Church Farm,Church Hill Road,Barnet,Hertfordshire,,EN4 8SY,MANDATORY RATE RELIEF,"£8,478.75",20%,"£2,119.69",NONE,£0.00,NO,£0.00
30900000520007,THEATRE AND PREMISES,"£186,000",The Arts Depot Trust Ltd,13/10/2004,5 Nether Street,London,,,,N12 0GA,MANDATORY RATE RELIEF,"£71,275.20",20%,"£17,818.80",NONE,£0.00,NO,£0.00
37860002610005,WAREHOUSE AND PREMISES,"£52,500",Tang Long Chinese Culture Centre Ltd,17/07/2013,R/o,26 St Albans Lane,London,,,NW11 7QB,MANDATORY RATE RELIEF,"£16,541.23",20%,"£4,135.31",NONE,£0.00,NO,£0.00
0464009242000B,WAREHOUSE AND PREMISES,"£335,000",Food For All,28/10/2016,Unit 2 Micross,Brent Terrace,London,,,NW2 1LT,MANDATORY RATE RELIEF,"£128,372.00",20%,"£32,093.00",NONE,£0.00,NO,£0.00
1302009012000A,HALL AND PREMISES,"£3,350",North London Society Of Model Engineers,01/04/2000,Scouts Hall,Legion Way,London,,,N12 0QF,NONE,£0.00,80%,£953.79,NONE,£0.00,NO,£0.00
29040091520013,SPORTS GROUND AND PREMISES,"£15,250",Old Elizabethans Barnet Playing Fields Ltd,23/07/2002,Pavillion,Mays Lane,Barnet,Hertfordshire,,EN5 2AG,NONE,£0.00,80%,"£5,685.20",NONE,£0.00,NO,£0.00
01920000920007,TENNIS CLUB AND PREMISES,"£14,000",The Avenue Lawn Tennis Club,01/04/2000,Tennis Club,The Avenue,London,,,N3 2LB,NONE,£0.00,80%,"£2,692.12",NONE,£0.00,NO,£0.00
32580010020007,TENNIS COURTS AND PREMISES,"£21,500",Oakleigh Park Lawn Tennis Club The Treasurer,01/04/2000,Tennis Club,100 Oakleigh Road North,London,,,N20 9EZ,NONE,£0.00,80%,"£8,015.20",NONE,£0.00,NO,£0.00
10120090320007,HALL AND PREMISES,"£25,000",Training Ship Broadsword Sea Training Corp - Hendon Sea Training Corp,01/04/2000,T S Broadsword,Cool Oak Lane,London,,,NW9 7ND,MANDATORY RATE RELIEF,"£6,584.04",REVALUATION SUPPORT DISCRETIONARY,£864.15,NONE,£0.00,NO,£0.00
19900010220002,HALL AND PREMISES,"£7,900",15th Finchley Scout Group,01/04/2000,Scout Hall,102-104 Grove Road,London,,,N12 9EA,MANDATORY RATE RELIEF,"£2,404.43",REVALUATION SUPPORT DISCRETIONARY,£315.58,NONE,£0.00,NO,£0.00
41420090120004,CLUB AND PREMISES,"£9,700",The Albanian Association,01/04/2000,Albanian Association,14-76 Summers Lane,London,,,N12 0PD,NONE,£0.00,REVALUATION SUPPORT DISCRETIONARY,"£2,561.24",NONE,£0.00,NO,£0.00
21880090220003,SPORTS GROUND AND PREMISES,"£25,250",Old Cholmeleian Sports Club,01/04/2000,Sports Gnd,Hendon Wood Lane,London,,,NW7 4HR,NONE,£0.00,REVALUATION SUPPORT DISCRETIONARY,"£9,460.27",NONE,£0.00,NO,£0.00
15480009020004,TENNIS CLUB & PREMISES,"£6,800",Farm Walk Lawn Tennis Club,01/04/2000,Farm Walk Lawn Tennis Club,Farm Walk,London,,,NW11 7TP,NONE,£0.00,REVALUATION SUPPORT DISCRETIONARY,"£2,351.30",NONE,£0.00,NO,£0.00
1342001201000B,TENNIS CLUB AND PREMISES,"£27,750",Chandos Lawn Tennis Club Ltd,16/12/2015,Chandos Tennis Club,120 East End Road,London,,,N2 0RZ,NONE,£0.00,REVALUATION SUPPORT DISCRETIONARY,"£9,867.06",NONE,£0.00,NO,£0.00
35200090120007,TENNIS COURTS AND PREMISES,"£5,800",Brampton Lawn Tennis Club Mr D Alexander (treasurer),01/04/2000,Tennis Courts R/o,1 Prothero Gardens,London,,,NW4 3SJ,NONE,£0.00,REVALUATION SUPPORT DISCRETIONARY,"£2,015.40",NONE,£0.00,NO,£0.00
37940090120006,TENNIS COURTS AND PREMISES,"£5,400",Templars Lawn Tennis Club Ltd,01/04/2000,Tennis Courts,St Andrews Road,London,,,NW11 0PJ,NONE,£0.00,REVALUATION SUPPORT DISCRETIONARY,"£1,968.01",NONE,£0.00,NO,£0.00
047000049A000A,TENNIS COURTS AND PREMISES,"£5,200",Trustees Of The Finchley Lawn Tennis Club,01/04/2000,Finchley Lawn Tennis Club R/o,49-51 Brent Way,London,,,N3 1AP,NONE,£0.00,REVALUATION SUPPORT DISCRETIONARY,"£1,931.42",NONE,£0.00,NO,£0.00
05860001120003,WAREHOUSE AND PREMISES,"£101,000",New Plant Services Ltd,24/03/2012,Unit 11 Brunswick Industrial Park,Brunswick Way,London,,,N11 1JL,NONE,£0.00,REVALUATION SUPPORT LARGE 5%,"£2,418.95",NONE,£0.00,NO,£0.00
4094000259003A,LAND USED FOR STORAGE AND PREMISES,"£55,500",Toyota Tsusho Automobile North London Ltd,01/04/2008,Jemca Car Compound R/o Hendon Statn,Station Road,London,,,NW4 4PN,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£797.54,NONE,£0.00,NO,£0.00
00460000010019,OFFICES AND PREMISES,"£32,500",Messrs Sterlings,01/04/2010,3rd Floor,Lawford House,Albert Place,London,,N3 1QB,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£454.35,NONE,£0.00,NO,£0.00
02200001110023,OFFICES AND PREMISES,"£31,250",Accident Support Ltd,22/12/2006,1ST FL RIGHT SOVEREIGN HOUSE 11-19,Ballards Lane,London,,,N3 1UX,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£436.88,NONE,£0.00,NO,£0.00
02200001110061,OFFICES AND PREMISES,"£45,750",Ellis & Moore Consulting Engineers Ltd,25/03/2015,2ND FL FRONT SOVEREIGN HOUSE 11-19,Ballards Lane,London,,,N3 1UX,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£639.59,NONE,£0.00,NO,£0.00
04530000310027,OFFICES AND PREMISES,"£45,000",Change Healthcare UK Holdings Limited,19/02/2014,1st Fl 3 The Exchange,Brent Cross Gardens,London,,,NW4 3RG,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£629.10,NONE,£0.00,NO,£0.00
04530000410066,OFFICES AND PREMISES,"£34,750",Major Travel Limited,06/08/2012,2nd Floor,3 The Exchange,Brent Cross Gardens,London,,NW4 3RG,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£485.81,NONE,£0.00,NO,£0.00
09860012630025,OFFICES AND PREMISES,"£52,000",Trust Property Management Group Limited,16/04/2008,Unit 2,Colindale Business Centre,126 Colindale Avenue,London,,NW9 5HU,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£747.24,NONE,£0.00,NO,£0.00
15820077910125,OFFICES AND PREMISES,"£39,500",The Happy Tenant Company Limited,10/09/2012,Unit 2,779-783 Finchley Road,London,,,NW11 8DN,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£552.21,NONE,£0.00,NO,£0.00
22030002800007,RESTAURANT AND PREMISES,"£46,750",Legends Ventures Limited,10/11/2016,28 Heritage Avenue,London,,,,NW9 5GE,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£653.57,NONE,£0.00,NO,£0.00
02200002200016,SHOP AND PREMISES,"£29,000",Hot Chicken Pot Ltd T/A Chicken Spot,16/03/2015,22 Ballards Lane,London,,,,N3 2BJ,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£405.42,NONE,£0.00,NO,£0.00
02200003800005,SHOP AND PREMISES,"£30,500",Itiq Global Ltd,01/10/2001,38 Ballards Lane,London,,,,N3 2BJ,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£426.39,NONE,£0.00,NO,£0.00
04600013000005,SHOP AND PREMISES,"£41,000",Mr D A Smith T/a Memories,01/04/2000,130-132 Brent Street,London,,,,NW4 2DR,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£573.18,NONE,£0.00,NO,£0.00
15820061800018,SHOP AND PREMISES,"£29,000",Globe Optics Ltd,21/10/2005,618 Finchley Road,London,,,,NW11 7RR,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£405.42,NONE,£0.00,NO,£0.00
18180001120007,SHOP AND PREMISES,"£63,000",C B Costa Brothers Coffee Ltd,01/04/2011,11-13 Golders Green Road,London,,,,NW11 8DY,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£905.31,NONE,£0.00,NO,£0.00
47200006510033,SHOP AND PREMISES,"£29,500",Mr Alan Rochford T/a Shorter Rochford Cycles,01/04/2000,65-67 Woodhouse Road,London,,,,N12 9ET,NONE,£0.00,REVALUATION SUPPORT MEDIUM 3%,£412.41,NONE,£0.00,NO,£0.00
