Department Family,Entity,Date,Expenses Type,Expense Area, Supplier ,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000542470," 417,643.32 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000542481," 194,784.60 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000543366," 412,104.38 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000543368," 309,535.19 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000544359," 391,734.18 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000538912," 450,952.26 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000538924," 407,116.76 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000539351," 406,845.24 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000540346," 493,969.96 "
Department of Health,The Christie NHS Foundation Trust,01/02/2017,Drugs,Drugs, BAXTER HEALTHCARE LTD ,0000546000," 336,207.60 "
Department of Health,The Christie NHS Foundation Trust,21/02/2017,Drugs,Drugs, BOLTON NHS FOUNDATION TRUST ,0000540948," 30,033.22 "
Department of Health,The Christie NHS Foundation Trust,21/02/2017,Drugs,Drugs, BOLTON NHS FOUNDATION TRUST ,0000540956," 37,019.10 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Cancer Vanguard,GM Cancer Vanguard, BOLTON NHS FOUNDATION TRUST ,0000542076," 120,000.00 "
Department of Health,The Christie NHS Foundation Trust,16/02/2017,Medical Equipment,Cancer Centre Services, CAREFUSION UK 306 LTD ,0000544482," 59,160.00 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Medical Equipment Maintenace Contract,Christie Pathology Partnership, CPP FACILITIES LLP ,0000543153,"-171,277.16 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000542125," 189,759.02 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000541200," 200,323.32 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000543151," 184,253.52 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000541209,"-171,277.16 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000541202," 194,682.19 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000541213,"-273,380.41 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000541201," 190,708.08 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Medical Equipment Maintenace Contract,Cancer Centre Services, CPP FACILITIES LLP ,0000541212,"-171,277.16 "
Department of Health,The Christie NHS Foundation Trust,24/02/2017,Print Management Fee,Finance & Business Development, DANWOOD GROUP LTD ,0000543459," 74,999.96 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Drugs,Drugs, EAST CHESHIRE NHS TRUST ,0000537795," 114,681.06 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Drugs,Drugs, EVOLUTION HOMECARE SERVICES LTD ,0000545736,"-36,620.00 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Drugs,Drugs, EVOLUTION HOMECARE SERVICES LTD ,0000545735," 47,498.00 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Childcare Vouchers,Human Resources, FIDELITI LIMITED ,0000543235," 33,529.47 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Medical Equipment,Cancer Centre Services, FUKUDA DENSHI ,0000544280," 114,048.00 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Medical Equipment,Cancer Centre Services, GE MEDICAL SYSTEMS LTD ,0000543306," 31,010.64 "
Department of Health,The Christie NHS Foundation Trust,16/02/2017,Building Works,Capital, HELIX ROOFING CONTRACTORS LTD ,0000544727," 251,976.11 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,IPU Development,Capital, INTERSERVE CONSTRUCTION LTD ,0000545737," 1,053,269.10 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Proton Beam Development (PBT),Capital, INTERSERVE CONSTRUCTION LTD ,0000545745," 2,560,728.89 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Plantroom Relocation,Capital, INTERSERVE ENGINEERING SERVICES LTD ,0000541909," 254,202.42 "
Department of Health,The Christie NHS Foundation Trust,07/02/2017,Rates 16/17,Estates & Facilities, M/CR CITY COUNCIL (RATES) DD ,0000546018," 37,677.00 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Drugs,Cancer Networked Services, MID CHESHIRE HOSPITALS NHS FT ,0000542806," 45,630.25 "
Department of Health,The Christie NHS Foundation Trust,15/02/2017,Blood Products,Cancer Networked Services, NHS BLOOD AND TRANSPLANT ,0000546022," 166,154.50 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Cancer Vanguard,GM Cancer Vanguard, NHS ENGLAND ,0000543859," 50,000.00 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Medical Equipment,Cancer Networked Services, NHS SUPPLY CHAIN ,0000543542," 61,380.00 "
Department of Health,The Christie NHS Foundation Trust,16/02/2017,Stock for all Wards & Departments,All Wards & Departments, NHS SUPPLY CHAIN ,0000544946," 41,933.03 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Stock for all Wards & Departments,All Wards & Departments, NHS SUPPLY CHAIN ,0000544272," 39,713.32 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Stock for all Wards & Departments,All Wards & Departments, NHS SUPPLY CHAIN ,0000544269," 36,174.37 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Medical Equipment,Capital, STARKSTROM LTD ,0000544728," 29,400.00 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Drugs,Cancer Networked Services, STOCKPORT NHS FOUNDATION TRUST ,0000541059," 85,000.00 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Anaesthetics SLA - Jan 17,Cancer Centre Services, UNI HOSP OF SOUTH MANCHESTER NHS FT ,0000543469," 27,148.00 "
Department of Health,The Christie NHS Foundation Trust,09/02/2017,Critical Care SLA - Jan 17,Cancer Centre Services, UNI HOSP OF SOUTH MANCHESTER NHS FT ,0000543162," 29,638.00 "
Department of Health,The Christie NHS Foundation Trust,23/02/2017,Medical Equipment Maintenace Contract,Capital, VARIAN MEDICAL SYSTEMS UK LTD ,0000543804," 152,533.20 "
Department of Health,The Christie NHS Foundation Trust,21/02/2017,Broadband Services,Finance & Business Development, VIRGIN MEDIA BUSINESS ,0000541819," 31,576.80 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Christie @ Wigan - Nov 16,Cancer Networked Services, WRIGHTINGTON WIGAN AND LEIGH NHS FT ,0000539639," 229,219.17 "
Department of Health,The Christie NHS Foundation Trust,02/02/2017,Christie @ Wigan - SLA 16/17,Cancer Networked Services, WRIGHTINGTON WIGAN AND LEIGH NHS FT ,0000541062," 50,000.00 "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
