Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Drugs,Drugs,ALCURA UK LIMITED,559838,"85,199.62"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Drugs,Drugs,ALCURA UK LIMITED,559840,"-27,262.73"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,PET Scans - July 17,Christie Medical Physics,ALLIANCE MEDICAL LTD,560059,"163,500.00"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,559431,"411,689.57"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,559519,"342,161.68"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,560038,"404,822.00"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,560039,"25,660.20"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Site Development,Capital,INTERSERVE CONSTRUCTION LTD,560710,"25,738.58"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,560257,"42,813.66"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,560952,"39,629.48"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Software Licences, Corporate Development,ODYSSEY INTERACTIVE LTD T/A INTERACT,559619,"46,146.00"
Department of Health,The Christie NHS Foundation Trust,31/08/2017,Audit Services,Finance & Business Development,ROYAL LIVERPOOL & BROADGREEN NHS TRUST,556092,"25,956.75"
