Billing Year,Liable Unit Ref,Liability Start,Liability End,Company Name,Billing Year Balance,Liable Unit Balance,Propref,Property Address,Billing Address
,9028862,01-Jun-04,31-May-04,Linertech Ltd,-1590.6,-1590.6,56196703,"Unit 11 (Ground & 1st Floors, Wellington Mills, Quebec Street, Elland              HX5 9AS","Ward House, 127 Hedon Road, Hull, East Yorkshire, HU9 1ND"
,9000551,17-Jan-93,30-Nov-04,Lionel Robinson & Co Ltd,-9.37,-9.37,29084718,"Unit 14, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA","C/O Holland House Electrical, Company Ltd, 120 Scotland Street, Glasgow, G5 8NX"
,9026485,01-Sep-03,31-Aug-03,M.C. Fabrications (Halifax) Ltd,-400,-400,64040704,"Moorlea Garage, Albert Road, Halifax, HX2 0DF","Moorlea Garage, Albert Road, Pellon, Halifax, HX2 0DF"
,9027665,06-Dec-03,05-Dec-03,Matrix Chemie Ltd,-167,-167,69388707,"Mezzanine Office 6 & 7, Lumbrook Mills, Westercroft Lane, Halifax              HX3 7TY","Offices 6 & 7, Mezzanine Floor, Lumbrook Mills, Westercroft Lane, Halifax, HX3 7TY"
,9015523,01-Apr-90,31-Mar-04,Norman Jowett Ltd,-705,-705,78076716,"Opp Portsmouth Mill, Burnley Road, Todmorden, OL14 8PP","159 Knowlwood Road, Todmorden, OL14 6RD"
,9036613,01-Apr-04,31-Mar-04,Powder Coaters Ltd [In Liquidation],-1824.66,-1824.66,77284722,"Part Lock Hill Mills, Holmes Road, Sowerby Bridge, HX6 3LD","C/O Begbies Traynor, 30 Park Cross Street, Leeds, LS1 2QH"
,9028840,15-Jan-01,30-Apr-04,Ripponden Mill Co Ltd,-145.05,-145.05,77348746,"Unit 4 (I) B Ripponden Mill, Mill Fold Lane, Ripponden, Sowerby Bridge       HX6 4DJ","Mill Fold, Ripponden, Sowerby Bridge, HX6 4DH"
,9008638,03-Dec-96,15-Aug-04,Treble Vision Ltd [In Administration],-386.94,-386.94,68132700,"Unit A4, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",
,9002784,18-Oct-95,31-Jan-05,Tyne Insulation Supplies Ltd,-1197.78,-1197.78,56220726,"Unit 19 Woodman Works, South Lane, Elland, HX5 0PA","Unit 6, 30 City Link Industrial Park, Phoenix Way, Bradford, BD4 8JP"
,9008642,03-Dec-96,15-Aug-04,Vision In Print Ltd [In Administration],-568.44,-568.44,68132703,"Unit A3, Lower Ladyship Mills, Old Lane, Halifax              HX3 5QN",
,9002941,02-Apr-02,30-Jun-04,Willow Print Technology Ltd,-57.78,-57.78,56224731,"6 Crown Yard, Southgate, Elland, HX5 0DQ","6 Crown Yard, Southgate, Elland, HX5 0DQ"
,,,,,"Total for Billing Year : -�8,886.84",,,,
2005,9034759,20-May-05,01-Feb-06,Almado Hom Pub Ltd,-112.8,-112.8,76176701,"The Crown Inn, 10 Crown Street, Hebden Bridge, HX7 8EH","Bradley Wharton House, 2 Market Street, Broadbottom, Cheshire, SK14 6AX"
,9006862,01-Apr-90,23-Mar-06,Aquabeau Ltd [Dissolved],-1857.37,-1857.37,65264701,"Hanson Lane, Halifax, HX1 4QU","C/O The Treasury Solicitor, One Kemble Street, London, WC2B 4TS"
,9006870,01-Nov-99,23-Mar-06,Aquarius Bathrooms Ltd,-31.91,-31.91,65264708,"Unit 4 Windsor Business Park, Hanson Lane, Halifax, HX1 4SD","Hanson Lane, Halifax, HX1 4QU"
,9028518,17-May-04,15-Apr-05,B & E Stainless Fabrications Ltd [In Administration],-4.18,-4.18,68664700,"Sovereign Works, Sovereign Street, Halifax, HX1 5AH","C/O David Horner & Co, 11 Clifton Moor Business Villa, James Nicolson Link, Clifton Moor, York, YO30 4XG"
,9027844,02-Oct-03,30-Sep-05,Brass Court Ltd,-6.09,-6.09,29420713,"The Barge, 37 Mill Lane, Brighouse, HD6 1PA","Second Floor Office, The Villa, 1 Hollingwood Lane, Bradford, BD7 2RE"
,9038912,24-Mar-06,29-Oct-08,D & S Baths Ltd [In Administration],-41.63,-4364.05,65264701,"Hanson Lane, Halifax, HX1 4QU","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU"
,9029539,06-May-04,29-Jul-05,Dorlux Beds Ltd [In Administration],-383.57,-383.57,64628720,"Unit 2, Calderdale Business Park, Club Lane, Halifax             HX2 8AX","C/O Price Waterhouse Coopers, Benson House, 33 Wellington Street, Leeds, LS1 4JP"
,9067056,01-Apr-05,31-Mar-10,Hillcrest Garage (Sowerby Bridge) Ltd,-354.82,-5942.28,77108732,"Hillcrest Garage, Burnley Road, Sowerby Bridge, HX6 2TL","Hillcrest Garage, Burnley Road, Sowerby Bridge, HX6 2TL"
,9029409,01-Apr-01,31-Mar-01,J W Lister Ltd,-18.64,-18.64,68248731,"Unit 32b, Phoebe Lane Ind Estate, Phoebe Lane, Halifax             HX3 9EX","Brooksmouth Mills, Clifton Road, Brighouse, HD6 1SL"
,9028949,01-Feb-04,30-Apr-08,Mbe Glazing Systems Ltd,-422,-422,56028713,"Unit 6, Burley Street, Elland, HX5 0AQ","Unit 21, Woodman Works, South Lane, Elland, HX5 0PE"
,9027744,05-Sep-03,30-Nov-04,Ore-An Ltd,-515,-515,29084717,"Unit 13, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA","Unit 15-20, Branxholme Ind Est, Bradford Road, Bailiff Bridge, Brighouse, HD6 4EA"
,9015117,20-Feb-99,08-Oct-05,Repack Services Ltd,-662.84,-662.84,77648716,"Unit 2 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BT","Unit 2 S.D.H Industrial Estate, West Street, Sowerby Bridge, HX6 3BT"
,9031397,01-Apr-04,08-Oct-05,Repack Services Ltd,-4.73,-4.73,77648746,"Unit 22 Sdh Industrial Est, West Street, Sowerby Bridge, HX6 3BS","Unit 2 S.D.H Industrial Estate, West Street, Sowerby Bridge, HX6 3BT"
,9031180,01-Apr-04,31-Aug-05,Repack Services Ltd,-227.07,-227.07,77648738,"Unit 16, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS","Unit 2 S.D.H Industrial Estate, West Street, Sowerby Bridge, HX6 3BT"
,9034031,18-Jun-05,26-Aug-05,Ripponden Carriers Ltd [In Administration],-2.67,-2.67,29452722,"Offices 4 & 5, 11 Owler Ings Road, Brighouse, HD6 1EJ","C/O Begbies Traynor, Elliot House, 151 Deansgate, Manchester, M3 3BP"
,9034057,18-Jun-05,26-Aug-05,Ripponden Carriers Ltd [In Administration],-8.16,-8.16,29452720,"Office 1, 11 Owler Ings Road, Brighouse, HD6 1EJ","C/O Begbies Traynor, Elliot House, 151 Deansgate, Manchester, M3 3BP"
,9010301,06-May-99,20-Dec-05,Speaks Building Systems Ltd,-544.44,-544.44,68536757,"Unit 1 Shay Lane Works, Shay Lane, Halifax, HX3 6SF","C/O 1 Goosegate Farm, Heathy Lane, Holmefield, HX2 9UN"
,9025691,26-Jul-03,21-Nov-07,The Brunswick Centre,-175.47,-175.47,64080702,"Arden Road Social Club, Arden Road, Halifax, HX1 3AG","The Resource Centre, Hall Street, Halifax, HX1 5AY"
,9010744,31-Jul-92,31-Mar-05,The Imperial Crown Hotel Ltd,-7.8,-7.8,68708031,"31 Square Road, Halifax, HX1 1QG","Corus Hotels Ltd, Rossway Park, Berkhamstead, HP4 3TZ"
,9032790,14-Mar-05,20-May-05,The Inncredible Pub Co Ltd,-332.09,-332.09,77412711,"The Malt House, 270 Oldham Road, Rishworth, Sowerby Bridge       HX6 4QB","The Council Chambers, Hazford Street, Tamworth, B79 7RB"
,9037113,27-Apr-05,26-Apr-05,The Shay Stadium Trust Ltd,-198.04,-198.04,65416704,"Car Park, Hunger Hill, Halifax, HX1 2JT","The Shay Stadium, Halifax, HX1 2YT"
,9028600,20-May-04,06-May-05,Wharfedale Taverns Ltd,-32.28,-32.28,29080720,"The Beck, 157 Bradford Road, Brighouse, HD6 4AS","Highcliffe Court, Greenfold Lane, Wetherby, LS22 6RG"
,9037800,01-Apr-05,17-Jun-05,Yorkshire Mouldings Ltd [In Administration],-1068,-1068,29020701,"Armytage Road, Brighouse, HD6 1UJ","Price Waterhouse Coopers, Benson House, 33 Wellington Street, Leeds, LS1 4JP"
,,,,,"Total for Billing Year : -�7,011.60",,,,
2006,9036874,14-Jul-05,14-Feb-07,1st 4 Training Ltd,-30.55,-30.55,64628759,"Unit 15B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","12 Prospect Court, Norton Tower, Halifax, HX2 0NR"
,9041935,07-Sep-06,30-Mar-07,Admiral Taverns Ltd,-8.6,-8.6,78192759,"Big D's, 355 Halifax Road, Todmorden, OL14 5SR","Purchase Ledger Dept, Suite H3, Steam Mill Business Centre, Steam Mill Street, Chester, CH3 5AN"
,9001022,01-May-98,30-Mar-07,Brighouse Transport & Maintenance Ltd,-4.49,-4.49,29232719,"Unit 3a, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",
,9002761,01-Apr-90,06-Dec-06,Chekemcolour Limited [In Administration],-2538.15,-2538.15,56220707,"Smithfield Joinery Works, South Lane, Elland, HX5 0HQ","C/O Begbies Traynor, Elliot House, 151 Deansgate, Manchester, M3 3BP"
,9039809,11-Jun-06,15-Mar-07,D & I Phillips Properties Limited,-35.12,-35.12,78076027,"27 Burnley Road, Todmorden, OL14 7BU","27 Burnley Road, Todmorden, OL14 7BU"
,9038912,24-Mar-06,29-Oct-08,D & S Baths Ltd [In Administration],-1948.5,-4364.05,65264701,"Hanson Lane, Halifax, HX1 4QU","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU"
,9028876,01-Jul-04,30-Mar-07,D. Bird (Joiners) Ltd,-2.25,-2.25,69296722,"Unit 12 Washer Lane Works, Washer Lane, Halifax, HX2 7DX","6 Prospect Place, Sowerby, Sowerby Bridge, Halifax, HX6 1JF"
,9029674,01-Jan-04,29-Sep-06,Direct Door Panels [Brighouse] Ltd [In Liquidation],-234.94,-234.94,29052735,"Office 4 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH","C/O Griffins, Tavistock House South, Tavistock Square, London, WC1H 9LG"
,9040029,12-Jun-06,16-Mar-07,Entari Ltd,-11.16,-11.16,78400021,"21 Rochdale Road, Todmorden, OL14 5AA","The Old Co-Op Hall, Old Town, Hebden Bridge, HX7 8RX"
,9038765,01-Apr-06,31-Mar-06,Kwik Save Ltd [In Liquidation],-181.1,-181.1,69144707,"Board No 208602, Adj 58 Horton Street, Union Street, Halifax              HX1 1PR","C/O St James Square, Manchester, M2 6DS"
,9040252,01-Nov-05,28-Feb-07,Northstart Limited,-242.72,-242.72,76648752,"Unit 2, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT","Mr Hal Clarkson, Unit 2 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BT"
,9004467,01-Aug-99,30-Apr-06,Outsourced Credit Management Ltd,-287.26,-287.26,64484700,"3 Carlton Place, Halifax, HX1 2SB","3 Carlton Place, Halifax, HX1 2SB"
,9043118,01-Dec-06,15-Mar-07,Ploughcroft Building Services Limited,-29.42,-29.42,29452740,"Office 3, 11 Owler Ings Road, Brighouse, HD6 1EJ","Mill 2, St Pegs Mill, Thornhillbeck Lane, Brighouse, HD6 4AH"
,9033576,01-May-05,14-Feb-07,Starway Motorcycles Ltd [In Administration],-91.88,-91.88,29084739,"Unit 6 & 7, 370 Bradford Road, Brighouse, HD6 4DJ","C/O Milner Boardman & Partners, Century House, Ashley Road, Hale, WA15 9TG"
,9041592,01-Sep-06,01-Apr-07,Timber Building Installations Ltd,-3.92,-3.92,77648730,"Sowerby Bridge Sheds, Holby Business Centre, West Street, Sowerby Bridge      HX6 3BT","Unit 1, Calder Valley Motors, Burnley Rd, Mytholmroyd, Hebden Bridge, HX7 5AD"
,9042021,12-Jul-06,30-Nov-06,Trafford Management Ltd,-8.9,-8.9,64436017,"17 Bull Green, Halifax, HX1 2RZ","94 Westminster Road, Urmston, Manchester, M41 0RG"
,9038583,01-May-05,15-Feb-07,Worthington Nicholls Ltd,-180.08,-180.08,64778781,"Office Suite D140, Dean Clough Mills, Halifax, HX3 5AX","Fao Mr N Smith, Office Suite D140, Dean Clough Mills, Halifax, HX3 5AX"
,9034981,15-Jul-05,16-Oct-06,Y.M Newmark Ltd [In Administration],-35837.69,-35837.69,29020701,"Armytage Road, Brighouse, HD6 1UJ","C/O Poppleton & Appleby, 32 High Street, Manchester, M4 1QD"
,,,,,"Total for Billing Year : -�41,676.73",,,,
2007,9047767,27-Jun-07,28-Jun-07,Admiral Taverns (Harmony) Ltd,-15.04,-15.04,56172704,"Royal Oak Inn, Lower Edge Road, Elland, HX5 9QD","Penn House, 30 High Street, Rickmansworth, Hertfordshire, WD3 1EP"
,9043846,15-Dec-06,27-Sep-07,Amatex Catering Services Ltd [In Administration],-212.72,-212.72,68708713,"Square Road, Halifax, HX1 1QG","Ashcroft Business, Recovery & Insolvency, 601 High Road, Leytonstone, London, E11 4PA"
,9030584,09-Jul-04,12-Dec-07,Blue Lagoon (Uk) Ltd [In Liquidation],-203.73,-203.73,65264746,"Unit 18, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG","C/O Mazars Llp, Mazars House, Gelderd Road, Gildersome , Leeds, LS27 7JN"
,9046579,06-Jul-07,02-Feb-10,C.C.L Group Ltd [In Administration],-245.66,-899.1,29020716,"Armytage Road, Brighouse, HD6 1QF","C/O Price Waterhouse Coopers, Hill House, Richmond Hill, Bournemouth, BH2 6HR"
,9038912,24-Mar-06,29-Oct-08,D & S Baths Ltd [In Administration],-1998,-4364.05,65264701,"Hanson Lane, Halifax, HX1 4QU","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU"
,9018108,26-Mar-03,31-Mar-08,Falk Europe Ltd,-87.23,-87.23,29656713,"Part 2ND Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB","2nd Floor, Woodvale House, Woodvale Road, Brighouse, HD6 4AB"
,9051521,12-Feb-08,28-May-09,Heritage Cashmere Ltd [In Administration],-29.72,-299.25,65344870,"White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","C/O Armstrong Watson, Central House, 47 St Pauls Street, Leeds, LS1 2TE"
,9031621,01-Apr-04,17-Jun-07,K Hamnett [Machinery Removers],-242.02,-242.02,65164802,"Philmar House, Gibbet Street, Halifax, HX2 0AR","Philmar House, Highroad Well Works, Gibbet Street, Halifax, HX2 0AR"
,9049208,18-Jun-07,03-Sep-07,K Hamnett [Machinery Removers],-756.98,-756.98,65164861,"Philmar House, Gibbet Street, Halifax, HX2 0AR","Philmar House, Highroad Well Works, Gibbet Street, Halifax, HX2 0AR"
,9004146,06-Mar-98,25-Mar-07,Kelly Services (Uk) Ltd,-477,-477,64436025,"25 Bull Green, Halifax, HX1 2RZ","Finance Dept, Apple Market House, 17 Union Street, Kingston Upon Thames, KT1 1RR"
,9046071,04-Jun-07,06-Jan-08,Leodis Commercial Ltd,-345.01,-345.01,65412706,"Punch Bowl Inn, 389 Huddersfield Road, Halifax, HX3 9LJ","Well Lane, Guiseley, Leeds, LS20 9BA"
,9045278,01-May-07,30-Sep-07,Maramar Properties Ltd,-810.3,-810.3,65520708,"Carlton Chambers, 1 King Cross Street, Halifax, HX1 2SG","Mile Thorn Works, Gibbet Street, Halifax, HX1 4JR"
,9039050,16-Apr-06,31-Mar-08,W.C.H Property Investments Ltd,-84,-84,77348749,"Unit 2A Ripponden Mill, Mill Fold Lane, Ripponden, Sowerby Bridge       HX6 4DJ","Unit 2A, Ripponden Mill, Mill Fold Lane, Ripponden , Sowerby Bridge, HX6 4DH"
,,,,,"Total for Billing Year : -�5,507.41",,,,
2008,9030235,01-Jan-04,31-Mar-08,Bar Refreshments [Uk] Ltd,-877.8,-1799.3,68236708,"Martins Mill, Pellon Lane, Halifax, HX1 5QJ",No Forwarding Address
,9046579,06-Jul-07,02-Feb-10,C.C.L Group Ltd [In Administration],-346.5,-899.1,29020716,"Armytage Road, Brighouse, HD6 1QF","C/O Price Waterhouse Coopers, Hill House, Richmond Hill, Bournemouth, BH2 6HR"
,9052137,28-May-08,02-Jun-08,Citexx Ltd [In Administration],-2159.37,-2159.37,56084715,"Unit 1, Elland Industrial Estate, Elland Lane, Elland              HX5 9DZ","C/O Baker Tilly, 3 Hardman Street, Manchester, M3 3HF"
,9029634,31-Aug-02,29-Jun-08,Connexions (West Yorkshire),-1766.88,-1766.88,29656724,"Second & Third Floors, Park View House, Woodvale Road, Brighouse            HD6 4AB","2nd Floor & 3rd Floors, Park View House, Woodvale Road, Brighouse, HD6 4AB"
,9038912,24-Mar-06,29-Oct-08,D & S Baths Ltd [In Administration],-375.92,-4364.05,65264701,"Hanson Lane, Halifax, HX1 4QU","C/O B D O Stoy Hayward Llp, 1 Bridgewater Place, Water Lane, Leeds, LS11 5RU"
,9044142,01-Dec-06,28-Oct-08,D T S Yorkshire Ltd,-53.41,-53.41,65344802,"Unit HM14 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN","27 Illingworth Close, Halifax, HX2 9JQ"
,9050096,06-Feb-08,23-Jul-09,Equable Properties Ltd,-312.5,-312.5,78352704,"Dog & Partridge, Sourhall Road, Todmorden, OL14 7JA","27/28 Eastcastle Street, London, W1W 8DH"
,9050094,06-Feb-08,23-Jul-09,Equable Properties Ltd,-116.5,-116.5,78352703,"Dog & Partridge Restaurant, Sourhall Road, Todmorden, OL14 7JA","27/28 Eastcastle Street, London, W1W 8DH"
,9050651,01-Apr-08,10-Dec-08,Haley Bros [ Builders] Ltd [In Liquidation],-86.08,-86.08,76416017,"19-23 Old Gate, Hebden Bridge, HX7 6EN","C/O X.L Business Solutions, 1st Floor, 2-4 West Street, Cleckheaton, BD19 5AJ"
,9025630,28-Apr-03,10-Dec-08,Haley Bros [ Builders] Ltd [In Liquidation],-9.64,-9.64,76244723,"Suite 4, 1ST Floor Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD","C/O X.L Business Solutions, 1st Floor, 2-4 West Street, Cleckheaton, BD19 5AJ"
,9038169,01-Mar-06,10-Dec-08,Haley Bros [ Builders] Ltd [In Liquidation],-11.69,-11.69,76244715,"Suite 1, 1st Floor, Burlees House, Hangingroyd Lane, Hebden Bridge       HX7 7DD","C/O X.L Business Solutions, 1st Floor, 2-4 West Street, Cleckheaton, BD19 5AJ"
,9049183,31-Aug-07,10-Dec-08,Haley Bros [ Builders] Ltd [In Liquidation],-3.61,-3.61,76244716,"Suite 3, 1st Floor, Burlees House, Hangingroyd Lane, Hebden Bridge       HX7 7DD","C/O X.L Business Solutions, 1st Floor, 2-4 West Street, Cleckheaton, BD19 5AJ"
,9051521,12-Feb-08,28-May-09,Heritage Cashmere Ltd [In Administration],-231,-299.25,65344870,"White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","C/O Armstrong Watson, Central House, 47 St Pauls Street, Leeds, LS1 2TE"
,9048294,01-Nov-07,09-Jan-09,Kino & Co,-230.68,-230.68,65344818,"Office 3.1, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN"
,9053554,01-Apr-08,13-Sep-08,Lets Talk Phones Ltd,-149.53,-149.53,68308807,"270 Queens Road, Halifax, HX1 4NJ","270 Queens Road, Halifax, HX1 4NJ"
,9050828,01-Apr-08,31-Dec-08,Newbuild Masonry (Yorkshire) Ltd,-96.83,-96.83,65132708,"Office 6 Britannia Works, Garden Street North, Halifax, HX3 6AE","Mr G Varley, 308 Skircoat Green Road, Halifax, HX3 0LJ"
,9028577,01-Apr-04,30-Sep-08,Rastrick Racing,-49.5,-49.5,29160009,"9 Church Street, Brighouse, HD6 3NF","Fao Ben Stephens, 9 Church Street, Rastrick, Brighouse, HD6 3NF"
,9041237,01-Jun-06,30-Oct-08,Security Professionals Ltd,-20.39,-20.39,64628799,"Unit 7B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","C/O 31 Willowfield Close, Willowfield, Halifax, HX2 7LP"
,9004835,09-Feb-02,12-Dec-08,Titan Fluid Power Ltd [In Administration],-2422.69,-2422.69,64592701,"Central Ironworks, Claremount Road, Halifax, HX3 6NT","C/O P.K.F, Sovereign House, Queen Street, Manchester, M5 5HR"
,9040556,03-May-06,05-May-08,V E S (Halifax) Ltd,-20.96,-20.96,65654700,"Listers Road, Halifax, HX3 6AG","The Old Tannery, 224 Spen Lane, Gomersal, Cleckheaton, BD19 4PJ"
,,,,,"Total for Billing Year : -�9,341.48",,,,
2009,9063561,27-Feb-10,20-Apr-10,Administrators Of G F Interiors Ltd,-711.64,-711.64,29272706,"Gooder Lane, Brighouse, HD6 1HF","C/O Begbies Traynor, 36 Clare Road, Halifax, HX1 1TP"
,9028473,02-Apr-04,22-Jan-10,Alpha Catering Ltd,-1942.66,-1942.66,69220707,"Bus Station, Wade Street, Halifax, HX1 1SN","Wade Street, Halifax, HX1 1UU"
,9030235,01-Jan-04,31-Mar-08,Bar Refreshments [Uk] Ltd,-921.5,-1799.3,68236708,"Martins Mill, Pellon Lane, Halifax, HX1 5QJ",No Forwarding Address
,9046579,06-Jul-07,02-Feb-10,C.C.L Group Ltd [In Administration],-306.94,-899.1,29020716,"Armytage Road, Brighouse, HD6 1QF","C/O Price Waterhouse Coopers, Hill House, Richmond Hill, Bournemouth, BH2 6HR"
,9014903,01-Nov-01,30-Apr-09,Central Holdings Ltd,-11.64,-11.64,77600704,"1/3 Central Buildings, Town Hall Street, Sowerby Bridge, HX6 2QF","37 Spring Lane, Pannal, Harrogate, HG3 1NP"
,9052452,23-Apr-08,03-Aug-08,Design & Display Ltd,-1330.43,-1330.43,56174788,"Unit K1 Lowfields Way, Lowfields Business Park, Elland, HX5 9DA","C/O Vcep Investments Llp, Jubilee Way, Grange Moor, Wakefield, WF4 4TD"
,9041563,01-Sep-06,30-Apr-09,Dootson Contracting Ltd,-6.57,-6.57,76220701,"2ND Floor, 4 Garden Street, Hebden Bridge, HX7 8AQ","Salt Pie Farm, Colden, Hebden Bridge, HX7 7TH"
,9042549,01-Oct-06,29-Mar-10,Fat Cat Trading Co Ltd,-2.44,-2.44,68252755,"17 The Colonnade, Piece Hall, Halifax, HX1 1RE","89 Stainland Road, Greetland, Halifax, HX4 8BD"
,9059770,01-Apr-09,02-Apr-10,Greenwoods Menswear Ltd,-156.5,-156.5,68526740,"The Moquette Shed, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET","2nd Floor, Bradford Business Park, 5 Kingsgate, Bradford, BD1 4SJ"
,9005021,31-Jan-92,15-Jan-10,Halifax Estate Agencies Ltd,-2441.61,-2441.61,64660019,"15/17/19 Commercial Street, Halifax, HX1 1HJ","C/O B N P Paribas Real Estate, Rating Support Unit, 9 Colmore Row, Birmingham, B3 2BT"
,9051521,12-Feb-08,28-May-09,Heritage Cashmere Ltd [In Administration],-38.53,-299.25,65344870,"White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN","C/O Armstrong Watson, Central House, 47 St Pauls Street, Leeds, LS1 2TE"
,9057030,16-Mar-09,13-Aug-09,Intrepid Leisure Ltd,-58.46,-58.46,69280702,"Maypole Inn, 32 Warley Town, Stock Lane, Halifax              HX2 7RZ","Po Box 496, Kingston Upon Hull, HU9 9GN"
,9041478,01-Nov-05,28-Feb-10,J D T Ltd,-57.2,-57.2,77094701,"The Beaver Lodge, West Street, Sowerby Bridge, HX6 3BT","F.A.O John Hardy, The Beaver Lodge, West Street, Sowerby Bridge, HX6 3AN"
,9041641,01-Sep-06,30-Apr-09,Masterclean (Uk) Ltd,-57.42,-57.42,68132733,"Unit 5 Emstead Works, Old Lane, Halifax, HX3 5QN","Stansfield House, Shay Lane, Halifax, HX3 5QN"
,9033033,04-Jan-05,30-Jun-14,Mixenden Sure Start,-0.01,-0.01,64612708,"Sure Start Childrens Centre, Mobile Building 2, Clough Lane, Mixenden             HX2 8SH","Fao Mrs C Guest, Mobile Building 2, Ash Green Primary School, Mixenden Road, Mixenden, Halifax, HX2 8QD"
