RATEPAYER,BILLING_ACCOUNT_BALANCE,LIABLE_UNIT_BALANCE,YEAR,PROPERTY_ADDRESS,BILLING_ADDRESS,DATE_START,DATE_END
Direct Door Panels [Brighouse] Ltd [In Liquidation],-234.94,-234.94,2006,"Office 4 First Floor, Princess Works, Birds Royd Lane, Brighouse            HD6 1LH","C/O Griffins, Tavistock House South, Tavistock Square, London, WC1H 9LG",01-01-2004,29-09-2006
,-843.91,-843.91,2008,"Unit 1A, Prince Of Wales Business Pk, Birds Royd Lane, Brighouse            HD6 1LQ",,01-10-2007,17-01-2009
Nature Cameras Ltd,-0.91,-0.91,2012,"3b Bonegate Road, Brighouse, HD6 1TQ","Fao Mr David Turner, 3b Bonegate Road, Brighouse, HD6 1TQ",19-11-2005,
,-3.69,-3.69,2012,"2 Bracken Road, Brighouse, HD6 2HW",,01-04-2000,31-03-2014
,-285.95,-285.95,2002,"3 Bradford Road, Brighouse, HD6 1RW",,01-04-1990,30-11-2000
,-3.52,1736.46,2014,"21 Bradford Road, Brighouse, HD6 1RW",,06-11-2013,
,-636,3816,2014,"29 Bradford Road, Brighouse, HD6 1RW",,01-04-1990,
Sleigh & Story Ltd,-22.35,-22.35,2015,"1ST Floor, 46 Bradford Road, Brighouse, HD6 1RY","Unit 1 Thornhills Beck Lane, Thornhill Bridge Lane, Brighouse, HD6 4AW",01-05-2008,30-04-2015
,-287.81,-287.81,2013,"126 Bradford Road, Brighouse, HD6 4AU",,03-03-2009,31-07-2013
,-168.92,-168.92,2008,"159 Bradford Road, Brighouse, HD6 4AS",,05-06-2008,30-11-2008
Bailiff Bridge Cafe Ltd,-13.36,-13.36,2014,"611 Bradford Road, Brighouse, HD6 4DN",,01-03-2007,
,-100.56,-100.56,2011,"Bradford Road, Brighouse, HD6 1RY",,21-05-2007,31-01-2012
,-97.41,-97.41,2008,"46 Bradford Road, Brighouse, HD6 1RY",,02-05-2008,30-01-2009
Wharfedale Taverns Ltd,-32.28,-32.28,2005,"The Beck, 157 Bradford Road, Brighouse, HD6 4AS","Highcliffe Court, Greenfold Lane, Wetherby, LS22 6RG",20-05-2004,06-05-2005
Primesight Ltd,-0.04,350.96,2014,"229 Bradford Road, Brighouse, HD6 4BN","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01-09-2009,
Primesight Ltd,-0.03,476.97,2014,"Adj 42 Bradford Road, Brighouse, HD6 1RY","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01-09-2009,
,-0.21,-0.21,2012,"63 Bradford Road, Brighouse, HD6 1RS",,21-12-2008,
Frank Marshall Estates Ltd,-13.49,-1754.69,2011,"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA","4a Greengate, Cardale Park, Harrogate, HG3 1GY",30-03-2012,29-03-2012
Frank Marshall Estates Ltd,-1741.2,-1754.69,2012,"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA","4a Greengate, Cardale Park, Harrogate, HG3 1GY",30-03-2012,29-03-2012
Quality Water Specialists Llp,-13.59,-13.59,2011,"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA","Suite 26 Century Building, Brunswick Business Park, Tower Street, Liverpool, L3 4BJ",01-02-2011,29-03-2012
,-1.41,-1.41,2012,"607 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,06-04-2008,
,-55.65,-55.65,2008,"619 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DL",,15-08-2008,05-06-2009
,-0.3,-0.3,2012,"621 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,18-11-2009,
,-5.4,-5.4,2006,"Birkby Lane, Bailiff Bridge, Brighouse, HD6 4EN",,01-04-1990,07-05-2006
Marrtree Investments Limited,-570.47,-1362.47,2014,"Unit 21 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse           HD6 4EA","4a Greengate, Cadale Park, Harrogate, HG3 1GY",01-12-2013,05-02-2015
Marrtree Investments Limited,-792,-1362.47,2015,"Unit 21 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse           HD6 4EA","4a Greengate, Cadale Park, Harrogate, HG3 1GY",01-12-2013,05-02-2015
Ore-An Ltd,-515,-515,2005,"Unit 13, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA","Unit 15-20, Branxholme Ind Est, Bradford Road, Bailiff Bridge, Brighouse, HD6 4EA",05-09-2003,30-11-2004
Lionel Robinson & Co Ltd,-9.37,-9.37,2004,"Unit 14, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA","C/O Holland House Electrical, Company Ltd, 120 Scotland Street, Glasgow, G5 8NX",17-01-1993,30-11-2004
Marrtree Investments Limited,-829.2,-2093.75,2015,"Unit 22, Branxholme Industrial Est., Bradford Road, Brighouse            HD6 4EA","4a Greengate, Cadale Park, Harrogate, HG3 1GY",08-02-2014,07-12-2014
Marrtree Investments Limited,-1264.55,-2093.75,2014,"Unit 22, Branxholme Industrial Est., Bradford Road, Brighouse            HD6 4EA","4a Greengate, Cadale Park, Harrogate, HG3 1GY",08-02-2014,07-12-2014
Bradfast Ltd,-45.18,-45.18,2010,"Unit 7, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA","Unit 2, Junction 22 Business Park, Huddersfield Road, Mirfield, WF14 9DA",01-10-2007,29-10-2010
Starway Motorcycles Ltd [In Administration],-91.88,-91.88,2006,"Unit 6 & 7, 370 Bradford Road, Brighouse, HD6 4DJ","C/O Milner Boardman & Partners, Century House, Ashley Road, Hale, WA15 9TG",01-05-2005,14-02-2007
,-549,-549,2013,"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,01-05-2012,11-10-2013
,-15.35,-94.57,2007,"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,30-09-2006,06-05-2007
,-78.03,-78.03,2005,"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,14-03-2005,30-09-2005
,-79.22,-94.57,2006,"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,30-09-2006,06-05-2007
,-1.23,-1.23,2012,"635A Bradford Road, Bailiff Bridge, Brighouse, HD6 4DY",,24-05-2005,
Frank Marshall Estates Ltd,-792.56,-792.56,2012,"Unit 5 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA","4a Greengate, Cardale Park, Harrogate, HG3 1GY",01-08-2009,30-09-2012
Marrtree Investments Limited,-309.09,-309.09,2015,"Unit 5 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA","4a Greengate, Cadale Park, Harrogate, HG3 1GY",10-10-2014,22-12-2014
Frank Marshall Estates Ltd,-1039.63,-1039.63,2012,"Unit 6 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA","4a Greengate, Cardale Park, Harrogate, HG3 1GY",01-06-2011,30-09-2012
,-575.52,-575.52,2010,"Unit 11 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,01-02-2010,31-01-2011
Blackshaw Holdings Ltd,-699,3591,2014,"Part 2ND Floor Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ","St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",27-03-2012,
,-85.77,-85.77,2011,"Part 2ND Floor Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,01-04-2008,26-03-2012
P G Freight Ltd,-30.67,-30.67,2013,"Unit 3, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL","C/O Wilkinson And Partners, Fairfax House, 6A Mill Field Road, Cottingley, BD16 1PY",01-10-2011,28-02-2014
Orean Personal Care Ltd,-1314.51,-1314.51,2013,"Units 14-20, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA","Unit E1, Stubs Beck Lane, West 26 Ind Estate, Cleckheaton, BD19 4TT",01-12-2013,31-12-2013
Fitlock (Yorkshire) Ltd [In Receivership],-60.68,-60.68,2002,"Bath Place, R/O11-19 Bramston Street, Brighouse, HD6 3AA","C/O Coopers & Lybrand, Albion Court, 5 Albion Place, Leeds, LS1 6JP",01-04-1990,06-09-1995
,-25.82,-25.82,2006,"10 Bridge End, Brighouse, HD6 3DH",,01-11-2003,01-03-2007
,-57.19,-57.19,2012,"Railway Arch No. 3, Bridge End, Brighouse, HD6 3DH",,10-12-1996,
Yorkshire Process Plant Ltd [In Admin Receivership],-815.65,-815.65,2002,"Bridge Road Works, Bridge Road, Brighouse, HD6 1EP","C/O Ernst & Young, P.O Box 61, Cloth Hall Court, 14 King Street, Leeds, LS1 2JN",01-04-1990,21-07-1999
Barclays Bank Plc,-1060,6360,2014,"21 Briggate, Brighouse, HD6 1EB","Cbre Corporate Outsourcing Ltd, 55 Temple Row, Birmingham, B2 5LS",01-04-1990,
,-121.38,-121.38,2005,"Ground Floor, 52 Briggate, Brighouse, HD6 1EF",,13-10-2003,05-03-2006
Wilko Retail Ltd,-0.01,69023.99,2013,"Briggate, Brighouse, HD6 1EF","C/O Rate Account Management, Colliers Int Rating Uk Llp, 12th Flr Eleven Brindleyplace, 2 Brunswick Square, Brindleyplace, Birmingham, B1 2LP",29-11-2004,
Rokt Ltd,-38,3652,2014,"Black Swan Hotel, 47 Briggate, Brighouse, HD6 1EB","Climbing Gym, The Old Flour Mill, Mill Royd Street, Brighouse, HD6 1EY",02-10-2014,
,-1036.5,-1036.5,2013,"Opp Victoria Works, Calder Street, Brighouse, HD6 1LZ",,29-09-2012,28-09-2012
Treble Clef Ltd,-91.12,-91.12,2014,"5 Canal Street, Brighouse, HD6 1NR","5 Canal Street, Brighouse, HD6 1NR",31-03-2014,30-03-2014
Tote Bookmakers Ltd,-545.55,-545.55,2012,"5 Canal Street, Brighouse, HD6 1NR","Westgate House, Chapel Lane, Wigan, WN3 4HS",01-07-1995,14-10-2013
,-32.76,-32.76,2002,"5 Carr Street, Brighouse, HD6 4AZ",,08-05-1992,31-03-1993
,-0.01,-0.01,2010,"Model Railway Club, Cawcliffe Road, Brighouse, HD6 2HP",,01-04-1990,
,-56.25,-56.25,2002,"17 Charles Street, Brighouse, HD6 2DX",,12-05-1992,16-03-1996
Peritus Health Management Ltd,-5.07,0,2015,"16A Church Lane, Brighouse, HD6 1AT","16A Church Lane, Brighouse, HD6 1AT",13-03-2015,
,-6.37,-6.37,2005,"8 Church Street, Brighouse, HD6 3NF",,04-06-2003,10-06-2005
Rastrick Racing,-49.5,-49.5,2008,"9 Church Street, Brighouse, HD6 3NF","Fao Ben Stephens, 9 Church Street, Rastrick, Brighouse, HD6 3NF",01-04-2004,30-09-2008
,-150,921,2014,"2 Church Street, Brighouse, HD6 3NF",,20-05-2013,
,-8.9,-8.9,2014,"1 Cliffe Road, Brighouse, HD6 1HE",,25-04-2014,20-02-2015
,-19.98,-19.98,2000,"1 Cliffe Road, Brighouse, HD6 1HE",,01-04-1990,28-10-2000
Adtech Studios Ltd (In Liquidation),-9.95,-9.95,2002,"Unit 2, County Workshops, Clifton Road, Brighouse           HD6 1SL","C/O Messrs Revell Ward, Horton, Norwich Union House, High StreetHuddersfield",14-10-1991,09-11-1992
Parfitts Bakery Ltd (In Liquidation),-145.48,-145.48,2012,"7 Commercial Street, Brighouse, HD6 1AF","Dl Partnership Llp, Ground Floor, 90 New North Road, Huddersfield, HD1 5NE",06-01-2003,23-03-2013
Claude Dyson & Son Ltd (In Receivership),-146,-146,2002,"17 Commercial Street, Brighouse, HD6 1AF","C/O Arthur Andersen & Co, St Pauls House, Park Square, Leeds, LS1 2PJ",01-04-1990,09-11-1995
,-244.94,-244.94,2014,"17 Commercial Street, Brighouse, HD6 1AF",,01-07-2012,26-11-2014
Tui Uk Ltd,-650,5200,2014,"23 Commercial Street, Brighouse, HD6 1AF","C/O Rate Account Management, Colliers Int Rating Uk Llp, 12th Flr Eleven Brindleyplace, 2 Brunswick Square, Brindleyplace, Birmingham, B1 2LP",01-04-1990,
Y T C Ltd,-1932.28,-1932.28,2010,"33 Commercial Street, Brighouse, HD6 1AF","Maclaren House, Skerne Road, Driffield, East Yorkshire, YO25 6PN",29-04-2009,15-01-2011
,-1000,11376.93,2014,"44 Commercial Street, Brighouse, HD6 1AQ",,01-09-2010,
,-26.43,-26.43,2002,"63 Commercial Street, Brighouse, HD6 1AF",,06-12-1991,26-03-1993
Cheque Centres Properties Ltd (In Administration),-1994.61,-1994.61,2014,"68 Commercial Street, Brighouse, HD6 1AQ","Access Europe, Ratho Park, Station Road, New Bridge, Edinburgh, EH28 8QQ",20-04-2007,02-07-2014
,-251,487.36,2014,"106 Commercial Street, Brighouse, HD6 1AQ",,01-08-2014,
,-31.03,-31.03,2008,"114 Commercial Street, Brighouse, HD6 1AQ",,20-03-2009,30-09-2012
Dempster H Lister Ltd [In Liquidation],-543.81,-543.81,2002,"9 Commercial Street, Brighouse, HD6 1AF","C/O Cork Gully, Benson House, 33 Wellington Street, Leeds, LS1 4JP",01-04-1990,12-12-1998
Prohold Ltd,-16.77,-16.77,2013,"Unit 1 Grantham Garage, Dewsbury Road, Brighouse, HD6 3QB","C/O 24 Meadowcroft, Honley, Holmfirth, HD9 6GJ",01-02-2013,30-01-2014
Prohold Ltd,-12,-12,2013,"Unit 2 Grantham Garage, Dewsbury Road, Brighouse, HD6 3QB","C/O 24 Meadowcroft, Honley, Holmfirth, HD9 6GJ",01-02-2013,30-01-2014
Universal Mobility Ltd [In Liquidation],-416,-1085.45,2000,"Unit 2 & G, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL","C/O Begbies Traynor, 30 Park Cross Street, Leeds, LS1 2QH",01-02-1994,17-10-2002
Universal Mobility Ltd [In Liquidation],-430,-1085.45,2001,"Unit 2 & G, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL","C/O Begbies Traynor, 30 Park Cross Street, Leeds, LS1 2QH",01-02-1994,17-10-2002
Universal Mobility Ltd [In Liquidation],-239.45,-1085.45,2002,"Unit 2 & G, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL","C/O Begbies Traynor, 30 Park Cross Street, Leeds, LS1 2QH",01-02-1994,17-10-2002
Brighouse Transport & Maintenance Ltd,-4.49,-4.49,2006,"Unit 3a, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",,01-05-1998,30-03-2007
Eccles & Scott Ltd,-214.38,-214.38,2004,"Ground Floor, Cromwell House, Elland Road, Brighouse            HD6 2RG","Cromwell House, 421 Elland Road, Brighouse, HD6 2RG",01-12-2000,24-01-2005
,-36.95,-36.95,2002,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,01-04-1990,31-07-1998
,-549.51,-5812.39,2014,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,01-04-2010,31-03-2010
,-2562.59,-5812.39,2012,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,01-04-2010,31-03-2010
,-493.41,-5812.39,2013,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,01-04-2010,31-03-2010
,-2206.88,-5812.39,2011,"Cromwell Bottom, Elland Road, Brighouse, HD6 2RG",,01-04-2010,31-03-2010
,-400.27,-400.27,2013,"Red Rooster, 123 Elland Road, Brighouse, HD6 2QR",,17-03-2003,06-03-2014
W M S Group Ltd,-187.83,-187.83,2011,"Unit 12, Brookfoot Business Centre, Elland Road, Brighouse           HD6 2RW","Brookfoot Mills, Elland Road, Brighouse, HD6 2RW",26-03-1998,23-02-2012
Castelite Ltd,-135,-135,2010,"Casa Del Lago, Elland Road, Brighouse, HD6 2AB","281 Elland Road, Brookfoot, Brighouse, HD6 2RG",17-06-2009,30-04-2010
Springboard Developments Ltd (Ceased To Trade 29/08/14),-2572.11,-2572.11,2014,"Unit 1, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD","Unit 1, Brookfoot Business Park, Elland Road, Brighouse, HD6 2SD",01-09-2004,31-08-2014
Stercap Ltd,-395.4,-395.4,2011,"Units 2/3, Vine Industrial Estate, Elland Road, Brighouse            HD6 2QS","F A O Mr Colin Wormald, Unit 1, Dominion Works, Denholmegate Road, Hipperholme, Halifax, HX3 8JG",01-01-2011,30-06-2011
Avocet Hardware (Uk) Limited,-16762,-16762,2015,"Brookfoot Mills, Elland Road, Brighouse, HD6 2RW","Fao Matthew Bowers, Brookfoot Mills, Elland Road, Brighouse, HD6 2RW",25-02-2012,23-10-2012
Auto Furniture [ Csp ] Ltd,-25,-25,2013,"Level 1 Warehouse, Cromwell House, Elland Road, Brighouse            HD6 2RG","Level 1 Warehouse, Cromwell House, Elland Road, Brighouse, HD6 2RG",01-04-2009,31-07-2013
Converga Ltd,-652.81,-652.81,2010,"Unit 5A Part First Floor, Springvale Works, Elland Road, Brighouse            HD6 2RN","Headrow House, 19 Old Leeds Road, Huddersfield, HD1 1SG",01-04-2010,31-03-2010
,-2.13,-2.13,2008,"1 Garden Road, Brighouse, HD6 2AX",,04-09-2007,31-03-2008
,-37.19,-37.19,2002,"13 Garden Road, Brighouse, HD6 2AX",,07-12-1990,30-09-1996
,-853.78,-853.78,2005,"Unit 1 George Street, Clifton, Brighouse, HD6 1PU",,13-09-1993,09-05-2005
Hadley Interiors Limited,-1976,6112,2014,"Unit 1 George Street, Clifton, Brighouse, HD6 1PU",,01-03-2013,
,-22.5,-22.5,2003,"18/20 Gooder Lane, Brighouse, HD6 1HF",,17-01-1998,30-10-2003
Administrators Of G F Interiors Ltd,-711.64,-711.64,2009,"Gooder Lane, Brighouse, HD6 1HF","C/O Begbies Traynor, 36 Clare Road, Halifax, HX1 1TP",27-02-2010,20-04-2010
,-5.51,-5.51,2010,"38 Gooder Lane, Brighouse, HD6 1HT",,06-05-2009,12-07-2010
Petron Lofts,-944.19,-944.19,2014,"Northern Timber Merchants, Gooder Lane, Brighouse, HD6 1HF","Po Box 85, 107 Hightown Road, Liversedge, WF16 6AG",20-02-2014,30-04-2014
,-15.5,-15.5,2011,"The Club, 1 Greenhead Lane, Brighouse, HD6 3PS",,01-12-2011,04-03-2012
,-192.44,-192.44,2002,"Grove Street, Brighouse, HD6 1PL",,01-04-1994,26-10-2000
Plastic Drum Reconditioning Ltd,-515.23,-515.23,2009,"Units 25/26 Robin Hood Works, Grove Street, Brighouse, HD6 1PL","Clifton Bridge Works, Wood Street, Brighouse, HD6 1PW",01-04-1997,31-05-2009
,-414.43,-414.43,2010,"4 Half House Lane, Brighouse, HD6 2PH",,29-09-2008,18-09-2011
Albion Bowling Club,-84.42,-84.42,2012,"Albion Bowling Club, R/O 143 Halifax Road, Brighouse, HD6 2ED","C/O Mr Neil Hopper, 38 Lords Lane, Brighouse, HD6 3RF",01-04-2012,27-11-2012
Trustees Of Brighouse Sunday Football League,-4.83,-4.83,2010,"Lane Head Recreation Ground, Halifax Road, Brighouse, HD6 2EA","C/O Mr Russell Holmes, 7 Hardy Place, Brighouse, HD6 2PW",12-09-2003,31-08-2010
Titan Outdoor Advertising Ltd,-63.68,-63.68,2009,"Board No 2296/04, Hartshead Moor Service Area, Hartshead Moor, Brighouse           HD6 4JX","C/O The Cotton Exchange, 1st Floor, Edmund Street, Liverpool, L3 9LQ",15-05-1996,31-08-2009
Admedia Ltd,-0.04,653.96,2014,"Ad Rt Adm'Ia Bd 2420-2426 Wb, Hartshead Moor Service Area, Hartshead Moor, Brighouse            HD6 4JX","320 Regent Street, London, W1B 3BE",01-04-2004,
,-16.03,-16.03,2001,"85 Highfield Road, Rastrick, Brighouse, HD6 3JA",,01-04-2000,28-05-2001
,-82.61,-82.61,2005,"4 Huddersfield Road, Brighouse, HD6 1JZ",,02-05-2004,24-10-2005
,-0.21,-0.21,2012,"28 Huddersfield Road, Brighouse, HD6 1HA",,09-11-2009,
,-61.74,-61.74,2000,"Grd Flr Clifton House, Huddersfield Road, Brighouse, HD6 1LP",,01-04-1990,23-03-2001
Primesight Ltd,-0.02,170.98,2014,"Crowtrees Garage, Huddersfield Road, Brighouse, HD6 1HA","Unit 9 Westpoint Enterprise Pk, Clarence Avenue, Trafford Park, Manchester, M17 1QS",01-05-2002,
Tesco Stores Ltd,-0.01,539015.99,2014,"Tesco Stores Ltd, Huddersfield Road, Brighouse, HD6 1LE","C/O G L Hearn Management Ltd, P.O Box 1610, Southampton, SO15 3WX",01-04-2010,
,-56.88,-56.88,2002,"15 Lightcliffe Road, Brighouse, HD6 2DR",,01-04-1990,31-03-1994
,-10.86,-10.86,2012,"25 Lightcliffe Road, Brighouse, HD6 2DR",,01-04-1990,
Stereosound Productions Ltd T/A Sentra Consumer Products,-3168.87,-3168.87,2002,"Locksley Works, Armytage Road, Brighouse, HD6 1QF",,01-04-1990,28-06-1990
,-6.7,-6.7,2014,"1 Market Street, Brighouse, HD6 1AP",,21-01-2014,21-11-2014
Brass Court Ltd,-6.09,-6.09,2005,"The Barge, 37 Mill Lane, Brighouse, HD6 1PA","Second Floor Office, The Villa, 1 Hollingwood Lane, Bradford, BD7 2RE",02-10-2003,30-09-2005
,-3.63,-3.63,2002,"77 New Hey Road, Brighouse, HD6 3PY",,11-09-1998,24-01-1999
,-18.99,-18.99,2012,"27 Old Lane, Brighouse, HD6 1UB",,01-01-2010,
Bob's Carpet Emporium Ltd,-613.04,-613.04,2014,"1 Owler Ings Road, Brighouse, HD6 1EJ",,01-01-1998,
Ripponden Carriers Ltd [In Administration],-8.16,-8.16,2005,"Office 1, 11 Owler Ings Road, Brighouse, HD6 1EJ","C/O Begbies Traynor, Elliot House, 151 Deansgate, Manchester, M3 3BP",18-06-2005,26-08-2005
Ripponden Carriers Ltd [In Administration],-2.67,-2.67,2005,"Offices 4 & 5, 11 Owler Ings Road, Brighouse, HD6 1EJ","C/O Begbies Traynor, Elliot House, 151 Deansgate, Manchester, M3 3BP",18-06-2005,26-08-2005
McMorrow Murphy Ltd,-10.66,-10.66,2012,"Office 16, 11 Owler Ings Road, Brighouse, HD6 1EJ","Office 16, 11 Owler Ings Road, Brighouse, HD6 1EJ",01-10-2008,30-04-2012
