Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Engineering & Special Projects,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 25/05/2017,HED0280417,219.44,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 25/05/2017,HED0280417,131.92,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Transport Related Expense,Tprt : Repairs : General,3105,BALMERS GM LIMITED,A0000198, 25/05/2017,HED0280418,27.05,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,BARLEY VILLAGE HALL,A0023198, 04/05/2017,AAS0279818,80,N,521016,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 11/05/2017,PCO0279906,14.99,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 11/05/2017,PCO0279905,16,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARNES JB LIMITED,A0000202, 11/05/2017,PCO0279878,76.97,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,EFM : Other Equipment,4003,BARNES JB LIMITED,A0000202, 11/05/2017,PCO0279955,22.22,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,EFM : Other Equipment,4003,BARNES JB LIMITED,A0000202, 11/05/2017,PCO0279880,25.12,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 25/05/2017,OPS0280390,150.91,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARNES JB LIMITED,A0000202, 11/05/2017,OPS0279984,19.45,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,BARNOLDSWICK GOSPEL MISSION,A0091132, 04/05/2017,AAS0279836,100,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BARNOLDSWICK TOWN FOOTBALL CLUB,A0091182, 25/05/2017,HED0280271,1000,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,BARROWFORD PARISH COUNCIL,A0000239, 04/05/2017,AAS0279801,50,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 04/05/2017,PCO0279715,11,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 18/05/2017,PCO0280231,17.75,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 18/05/2017,PCO0280231,9.99,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 18/05/2017,PCO0280230,8.76,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 18/05/2017,PCO0280231,14.63,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 18/05/2017,PCO0280231,12.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 18/05/2017,PCO0280231,7.21,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 11/05/2017,OPS0280114,25.02,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 18/05/2017,PCO0280231,57.2,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 18/05/2017,PCO0280231,11.68,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 18/05/2017,PCO0280231,19.84,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 11/05/2017,OPS0280114,45,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Publicity & advertisement,4704,BAUER CONSUMER MEDIA LIMITED,A0071011, 11/05/2017,REG0280047,225,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,BEARING FACTORS,A0000205, 11/05/2017,PCO0279966,335,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BEARING FACTORS,A0000205, 11/05/2017,PCO0279967,97,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BEARING FACTORS,A0000205, 11/05/2017,PCO0279968,97,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BEARING FACTORS,A0000205, 11/05/2017,PCO0279969,16.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,BELEVEDERE&CALDERVALE SPORT CLUB,A0000477, 04/05/2017,AAS0279806,100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Indirect Employee Expenses,Emp : Training : General,1217,BEN SHAW TRAINING LIMITED,A0055722, 11/05/2017,OPS0280051,115,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Indirect Employee Expenses,Emp : Training : General,1217,BEN SHAW TRAINING LIMITED,A0055722, 11/05/2017,OPS0280051,220,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BETTS GEO ENVIRONMENTAL LIMITED,A0090455, 18/05/2017,HED0280146,1050,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 18/05/2017,COR0280160,1557.19,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 18/05/2017,COR0280160,623.47,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 18/05/2017,COR0280160,784.11,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 18/05/2017,COR0280160,365.89,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,,Joint Financing Costs,9102,BLACKBURN/DARWEN BOROUGH COUNCIL,A0000381, 18/05/2017,ENV0280237,4778,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,BLACKO PRIMARY SCHOOL,A0090260, 04/05/2017,AAS0279831,100,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 25/05/2017,HED0280276,1830,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BLACKOAK SURFACING LIMITED,A0090895, 25/05/2017,HED0280276,16770.84,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Capital Costs,Capital : Payments,CD14,BLUE FOX TECHNOLOGY LIMITED,A0079078, 04/05/2017,DAL0279847,1000,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,BLUEBELL NORTH WEST LIMITED,A0051694, 11/05/2017,HMR0279945,5036,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BOC GASES LTD,A0000386, 11/05/2017,PCO0279971,11.15,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Seminars etc All Costs,4601,BOURNEMOUTH CONVENTION BUREAU LTD,A0076852, 25/05/2017,MAN0280289,297.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,BPP PROFESSIONAL EDUCATION LIMITED,A0091181, 25/05/2017,AAS0280360,116.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,BPP PROFESSIONAL EDUCATION LIMITED,A0091181, 25/05/2017,AAS0280359,646.5,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Grant Funding,4737,BRADLEY NURSERY SCHOOL,A0091185, 25/05/2017,COR0280303,500,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BRENT STEVENSON MEMORIALS,A0002426, 25/05/2017,PCO0280407,125,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,BRIERFIELD BAPTIST CHURCH,A0056872, 04/05/2017,AAS0279809,100,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,BRIERFIELD TOWN COUNCIL,A0000469, 04/05/2017,AAS0279798,100,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BRIGGS & DUXBURY LTD,A0000459, 11/05/2017,PCO0279963,90.75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,BRITISH GAS BUSINESS,A0057202, 11/05/2017,AAS0280096,68.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,2203,BRITISH GAS BUSINESS,A0069538, 08/05/2017,AAS0280168,56.46,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Telephones : Direct,4502,BRITISH TELECOMMUNICATIONS PLC,A0040001, 11/05/2017,EST0280039,56.03,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BROWNS ENGINEERING SERVICES,A0012980, 11/05/2017,PCO0279972,138,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,BT REDCARE,A0043418, 25/05/2017,COR0280288,38.81,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,Other Expenses,4705,BURNLEY AND PENDLE ENERGY ASSESSORS LTD,A0077075, 11/05/2017,EST0280075,175,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Publicity & advertisement,4704,BURNLEY BOROUGH COUNCIL,A0044855, 18/05/2017,REG0280221,600,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Transport Related Expense,Tprt : Repairs : General,3105,C & A 4 X 4,A0000614, 11/05/2017,REG0279918,273.08,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,C & R WALNE ENGRAVERS,A0042734, 11/05/2017,PCO0279951,32,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD03,C & S COACHES,A0070638, 04/05/2017,HMR0279793,410,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,C B PRICE & SONS BUILDERS,A0052117, 11/05/2017,PCO0279882,500,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,C B PRICE & SONS BUILDERS,A0052117, 18/05/2017,PCO0280226,300,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,Consultants Fees,4401,CALICO HOMES,A0091059, 18/05/2017,HMR0280218,5084.5,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Printing & Stationery,4301,CANFORD AUDIO PLC,A0000606, 04/05/2017,OPS0279855,100.7,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,CARRADICE OF NELSON LIMITED,A0041549, 04/05/2017,REG0279895,650,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM : Other Equipment,4003,CASELLA MONITOR,A0069523, 18/05/2017,ENV0280234,15.01,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,CASTLE GROUP LIMITED,A0091129, 11/05/2017,PCO0279965,200,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,CATCHPOINT (UK) LTD,A0089500, 25/05/2017,EST0280309,229,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,CATCHPOINT (UK) LTD,A0089500, 11/05/2017,EST0280019,3755,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,,Other Income : Non-VATable,9303,CAVALIER TAXIS,A0000638, 25/05/2017,HED0280312,49.87,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,CB EXCAVATORS LTD,A0000396, 18/05/2017,HED0280149,17955,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,CB EXCAVATORS LTD,A0000396, 18/05/2017,HED0280149,4793,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,CHESS ICT BURNLEY LIMITED,A0091033, 18/05/2017,ITS0280180,1668.08,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,4705,CHIPSIDE LTD,A0068587, 25/05/2017,HED0280335,13.16,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,CIPFA,A0000563, 11/05/2017,AAS0280115,400,N,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,Seminars etc All Costs,4601,CITY & FINANCIAL GLOBAL LIMITED,A0091175, 18/05/2017,MAN0280138,195,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Protective Clothing,4201,REDACTED - PERSONAL DATA,A0058486, 18/05/2017,ENV0280235,40,N,N/A,N,N/A
Pendle Borough Council,Information Services,Capital Costs,Capital : Payments,CD14,CLEARSKIES SOFTWARE LIMITED,A0055720, 18/05/2017,ITS0280183,2350,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,COLNE HORTICULTURE SOCIETY,A0089975, 18/05/2017,HED0280150,200,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,CONTAINER CARE SOLUTIONS LIMITED,A0061112, 25/05/2017,OPS0280391,400,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Diesel Oil,3202,COOKE FUELS,A0019019, 11/05/2017,PCO0279962,1871,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 18/05/2017,AAS0280205,208.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,CORONA ENERGY,A0069539, 18/05/2017,AAS0280202,437.01,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM Materials,4004,COUNTRYWIDE COURIERS,A0042116, 04/05/2017,OPS0279934,61.6,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,2001,CPC PROP & GARDENING SERV LTD,A0011770, 04/05/2017,HED0279796,1980,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,2001,CPC PROP & GARDENING SERV LTD,A0011770, 25/05/2017,HED0280334,940,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,Bldgs : R & M : Abnormal,2002,CPC PROP & GARDENING SERV LTD,A0011770, 11/05/2017,ENV0279988,110,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CPC PROP & GARDENING SERV LTD,A0011770, 25/05/2017,PCO0280406,275,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CPC PROP & GARDENING SERV LTD,A0011770, 25/05/2017,PCO0280406,275,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CPC PROP & GARDENING SERV LTD,A0011770, 04/05/2017,HED0279795,350,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,CPC PROP & GARDENING SERV LTD,A0011770, 04/05/2017,HED0279795,350,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,CPC PROP & GARDENING SERV LTD,A0011770, 18/05/2017,OPS0280217,160,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD14,CRAEMER UK LIMITED,A0070869, 11/05/2017,OPS0280117,1400,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD14,CRAEMER UK LIMITED,A0070869, 11/05/2017,OPS0280117,1400,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD14,CRAEMER UK LIMITED,A0070869, 04/05/2017,OPS0279854,1600,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Capital Costs,Capital : Payments,CD14,CRAEMER UK LIMITED,A0070869, 04/05/2017,OPS0279854,4800,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Supplies and Services,Seminars etc All Costs,4601,CRAVEN DISTRICT COUNCIL,A0000620, 04/05/2017,PER0279881,200,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,,Paid in the Year,PD03,CROCODILE FLOOD SOLUTIONS LIMITED,A0090962, 25/05/2017,HMR0280314,925.27,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Sub-Contractors,4007,D J HAWORTH - GUMGETTERS LIMITED,A0014782, 18/05/2017,HED0280144,175,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,D Y BUILDING SERVICES,A0091159, 25/05/2017,HMR0280316,3960,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 25/05/2017,REG0280256,7.14,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 25/05/2017,REG0280259,7.95,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 25/05/2017,REG0280254,14.96,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 25/05/2017,REG0280257,23.2,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 25/05/2017,REG0280255,26.32,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 25/05/2017,REG0280258,37.17,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES,A0000879, 25/05/2017,REG0280260,69.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 11/05/2017,PCO0279893,19.7,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 11/05/2017,PCO0279876,56.68,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 11/05/2017,PCO0279901,283.32,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 11/05/2017,PCO0279893,88.85,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,2301,DIOCESE OF LEEDS ST JOSEPHS BARNOLDSWICK,A0090262, 04/05/2017,AAS0279783,200,N,513063,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,DISTRICT COUNCILS NETWORK,A0069643, 04/05/2017,AAS0279932,410,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,2,DLF SEEDS LIMITED,A0090254, 18/05/2017,PCO0280227,3510,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,DLF SEEDS LIMITED,A0090254, 18/05/2017,PCO0280227,3800,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,DONG ENERGY SALES (UK) LTD,A0090977, 22/05/2017,AAS0280442,21.74,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,DONG ENERGY SALES (UK) LTD,A0090977, 22/05/2017,AAS0280443,44.89,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,DONG ENERGY SALES (UK) LTD,A0090977, 22/05/2017,AAS0280452,157.29,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,DONG ENERGY SALES (UK) LTD,A0090977, 22/05/2017,AAS0280455,90.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,DONG ENERGY SALES (UK) LTD,A0090977, 22/05/2017,AAS0280450,138.74,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,DONG ENERGY SALES (UK) LTD,A0090977, 22/05/2017,AAS0280451,177.73,N,N/A,N,N/A
