UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date, Estimated Annual Value , Estimated Total Value ,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
252,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Provision of an Independent Mental Capacity Advocate,OJEU Tender,Contract,01/04/2014,36,36,31/03/2017,No,31/03/2017,01/08/2016," £30,000.00 "," £90,000.00 ",Advocacy Experience,SME,4406655,WN7 2RJ,Stockport- Services to People
261,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.1,Mini Competition (Internal),Contract,14/01/2014,36,48,13/01/2018,Yes,13/01/2018,01/09/2017," £1,579,232.00 "," £6,316,928.00 ",Choice Support,VCSE,298149,SK5 6DA,Stockport- Services to People
262,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.2,Mini Competition (Internal),Contract,17/03/2014,36,48,16/03/2018,Yes,16/03/2018,01/09/2017," £68,888.00 "," £275,552.00 ",Community Integrated Care,VCSE,519996,WA8 7SP,Stockport- Services to People
263,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.3 (Phase 1),Mini Competition (Internal),Contract,01/07/2014,36,48,30/06/2017,No,30/06/2018,30/09/2017," £215,703.00 "," £862,812.00 ",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
284,Stockport Council,201200-Financial Services : Banking : ,Banking Services ,Call Off (External),Contract,01/04/2014,60,72,31/03/2018,No,31/03/2018,31/03/2018," £400,000.00 "," £2,400,000.00 ",Barclays Bank PLC,Large,01026167,E14 4BB,Stockport- Corporate & Support Services
306,Stockport Council,201300-Financial Services : Cash Collection : ,Cash Collection,Call Off (External),Contract,01/11/2012,24,60,31/07/2017,Yes,31/07/2017,31/07/2017," £50,000.00 "," £250,000.00 ",G4S,Large,4992207,RH19 9UN,Stockport- Corporate & Support Services
326,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Client Caseload Information System ,OJEU Tender,Contract,01/04/2013,36,48,31/03/2016,Yes,31/03/2017,01/08/2016," £54,228.00 "," £216,912.00 ",Careervision,SME,04569557,CW9 7TN,Stockport- Corporate & Support Services
346,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Minor Civil Engineering Works ,OJEU Tender,Contract,01/04/2008,108,120,31/03/2018,Yes,31/03/2018,01/08/2017," £2,816,633.89 "," £28,166,338.86 ",George Cox and Sons LTD,SME,4366302,BL4 7QF,Stockport- Services to Place
352,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance","Structural Maintenance , Retaining Walls ",OJEU Tender,Contract,01/04/2008,108,120,31/03/2018,Yes,31/03/2018,01/08/2017," £1,650,651.80 "," £16,506,517.97 ",Bethell Constructions LTD,SME,264322,M26 1GE,Stockport- Services to Place
362,Stockport Council,151612-Street & Traffic Management : Planning : ,"Signage, Access & Parking Strategy",OJEU Tender,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018," £92,523.36 "," £1,017,757.01 ","DCT Civil engineering, J Cooney",SME,2057769,M2 3EY,Stockport- Services to Place
364,Stockport Council,391413-  ,Carriageway Surfacing ,OJEU Tender,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018," £1,048,598.13 "," £11,534,579.44 ",Tarmac Limited,Large,7533961,WV4 6JP,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU Tender,Contract,01/12/2013,24,48,30/11/2017,Yes,30/11/2017,01/08/2016," £4,200,000.00 "," £16,800,000.00 ",Various- see below,Various- see below,Various- see below,Various- see below,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,,,01/12/2013,60,60,30/11/2016,Yes,30/11/2017,," £5,500.00 "," £5,500.00 ",Aggregate Industries Ltd,Large,245717,RH1 3ES,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,,,01/12/2013,60,60,30/11/2016,Yes,30/11/2017,," £5,500.00 "," £5,500.00 ",J Hopkins Contractors Ltd,Large,1112562,M17 1LP,Stockport- Services to Place
381,Stockport Council,181500-Environmental Services : Animal Services : Pest & Animal Control,Pest Control Chemicals,OJEU Tender,Contract,01/10/2014,36,48,30/09/2018,No,30/09/2018,30/09/2016," £7,030.00 "," £21,090.00 ",Killgerm Chemicals Ltd,SME,2794829,WF5 9NA,Stockport- Services to Place
383,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Planned Highway Structural maintenance ,OJEU Tender,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018," £366,666.67 "," £4,033,333.33 ",J Cooney Limited,Large,2057769,OL11 4HQ,Stockport- Services to Place
390,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Preventative Surface Treatments ,OJEU Tender,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018," £916,666.67 "," £10,083,333.33 ",Colas Limited,Large,2644726,RH10 4NF,Stockport- Services to Place
392,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Recycling Operations ,OJEU Tender,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018," £246,728.97 "," £2,714,018.69 ",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
394,Stockport Council,182013-Environmental Services : Waste Management : Waste Collection,Refuse Sacks ,Tender,Contract,05/08/2015,24,12,04/08/2017,No,04/08/2018,04/04/2017," £64,918.50 "," £64,918.50 ",Cromwell Polythene Ltd,SME,2230104,L25 6PD,Stockport- Services to Place
399,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Road Lining,OJEU Tender,Contract,01/04/2008,108,132,31/03/2019,No,31/03/2019,31/03/2018," £123,364.49 "," £1,357,009.35 ",Galliford Try Infrastructure Limited.,Large,SC055775,LE10 1YL,Stockport- Services to Place
402,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Routine & Reactive Structures,OJEU Tender,Contract,01/04/2008,108,132,31/03/2019,No,31/03/2019,31/03/2018," £122,222.22 "," £1,344,444.44 ",George Cox and Sons Limited,SME,2775128,BL4 7QF,Stockport- Services to Place
404,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Stockport Partnership Local Information System project ,Tender,Contract,01/03/2012,48,96,28/02/2016,Yes,28/02/2020,01/08/2019," £19,466.50 "," £155,732.00 ",Fluent Technology ,SME,NI 040683,BT8 7QN,Stockport- Corporate & Support Services
407,Stockport Council,231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,OJEU Tender,Contract,01/04/2008,72,72,31/03/2019,No,31/03/2019,01/08/2016," £427,777.78 "," £2,566,666.67 ",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
433,Stockport Council,271100-Information Communication Technology : Consumables : ,Computer Consumables ,OJEU Tender,Contract,01/05/2013,54,54,27/11/2017,No,27/11/2017,28/11/2016," £80,463.63 "," £362,086.33 ",Supplies Team ,Large,05510758,WF6 2TZ,Stockport- Corporate & Support Services
439,Stockport Council,211200-Furniture & Soft Furnishings : Office Furniture : ,Office Furniture ,OJEU Tender,Framework Agreement,01/12/2014,36,48,30/11/2017,No,30/11/2018,19/01/2017," £1,300,000.00 "," £5,200,000.00 ",H Jenkinson & Co Ltd,Large,00169844,L34 9JR,Stockport- Services to Place
502,Stockport Council,151514-Healthcare : Public Health : Specialist Services,Pennine NHS Trust Community Drug Team and Community Alcohol Team. Community based Substance misuse services,OJEU Tender,Contract,01/10/2015,84,84,30/09/2022,No,30/09/2022,01/08/2021," £233,285.71 "," £1,633,000.00 ",Pennine and Lifeline,NHS,NHS - National Health Service,M1 1JF,Stockport- Services to People
519,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Advice in Fred Perry House and a Telephone Advice Service,Exemption,Contract,01/04/2016,12,12,31/03/2018,Yes,31/03/2018,23/09/2016," £226,750.00 "," £226,750.00 ",Stockport Citizen's Advice Bureau,VCSE,1097107,sk1 3xe,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,OJEU Tender,Contract,01/04/2013,36,60,31/03/2018,Yes,31/03/2018,01/09/2017," £9,408,946.00 "," £47,044,700.00 ",Various- see below,Various- see below,Various- see below,Various- see below,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,," £82,000.00 "," £410,000.00 ",Herbex Nursing & Care,SME,3112191,M41 9JN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,," £84,409.00 "," £422,015.00 ",Life Opportunities Ltd,SME,2930130,M30 9PN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,, nil , nil ,Allied Health Care Ltd,Large,1963820,M16 9HU,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,," £23,631.00 "," £118,155.00 ",Stockport CP,SME,GBML1452602,SK5 6DA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,," £163,389.00 "," £816,945.00 ",Style Health Care,SME,GMBL3924978,SK5 6PP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,No,31/03/2018,," £298,832.00 "," £1,494,160.00 ",Comprehensive Health Care,Large,2883893,SK6 6AF,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £638,092.00 "," £3,190,460.00 ",Abacus Homecare,Large,8766697,SK5 7BB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £38,538.00 "," £192,690.00 ",A-Best Nursing and Care Limited,Medium,6314762,SK1 3RU,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £1,137,207.00 "," £5,686,035.00 ",Assured Care (Stockport) Ltd,Medium,7288112,SK1 3LG,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £528,523.00 "," £2,642,615.00 ",Bridge Care Services Ltd,Medium,3911926,SK6 7AD,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Care 24 (UK) LTD,Medium,8700852,M19 1WA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £513,645.00 "," £2,568,225.00 ",Care Need LTD Stockport,Medium,4125024,SK4 1AS,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Cynosure Health Care,Medium,9279415,M5 3EB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Harbex Nursing & Care,Medium,3112191,M41 9JN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £704,562.00 "," £3,522,810.00 ",HG Care Services Ltd,Medium,4626258,SK4 3GN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £256,445.00 "," £1,282,225.00 ",Human Support (Homecare Support),Large,3513906,M203JG,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £207,688.00 "," £1,038,440.00 ",Independent Care,Medium,4746104,SK42LP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £500,292.00 "," £2,501,460.00 ",Laurel Bank Support at Home,SME,2423368,Sk14 5HZ,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £208,465.00 "," £1,042,325.00 ",True Homecare Ltd,SME,7912253,SK1 2HP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Absolute care & support,Medium,8326687,SK6 1NB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £1,132,222.00 "," £5,661,110.00 ",Absolute care at home,Medium,5583427,WA14 2PL,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £28,872.00 "," £144,360.00 ",Angel Home Care,SME,9972858,M22 8LP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £782,295.00 "," £3,911,475.00 ",Bluebird Homecare,SME,7168078,SK2 6NW,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Care Mark Cheshire,SME,1088367,SK9 3HQ,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Carers Trust (Crossroads),SME,7697170,M33 3HP,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Choice Care,SME,10543928,BB1 3HQ,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £703,040.00 "," £3,515,200.00 ",CRG - Castlerock Recruitment Group,SME,6357982,WA9 1UA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Creative support - Extra care housing,SME,IP27440R,L34 1BH,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £202,252.00 "," £1,011,260.00 ",Elite Homecare,SME,5732794,M35 9BD,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Enterprise Care Group,SME,4547846,M14 6ZT,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £182,329.00 "," £911,645.00 ",Equality Homecare Service Ltd,SME,06144289,M22 4US,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Homecare Northwest,SME,8253010,SK10 2BB,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £265,674.00 "," £1,328,370.00 ",Homecare4u,SME,7455354,SK2 6NG,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,I-Care Solutions Manchester,SME,10628642,M21 0XN,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Medacs Healthcare Old Trafford,SME,3120991,M17 1HH,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £385,194.00 "," £1,925,970.00 ",MRL Healthcare Limited Stockport,SME,SC441634 ,Sk6 6BD,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Prime Support Service LTD,SME,8590998,SK5 6DA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,, Nil , Nil ,Pro Life Healthcare Services,SME,10068822,WA14 5PA,Stockport- Services to People
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,01/04/2013,60,60,31/03/2018,Yes,31/03/2018,," £341,350.00 "," £1,706,750.00 ",Quality Care of Cheadle,SME,N/A,Sk2 6QS,Stockport- Services to People
637,Stockport Council,271000-Information Communication Technology : Call Systems : ,Electronic Call Monitoring ,OJEU Tender,Contract,19/12/2014,36,36,18/12/2017,No,18/12/2017,01/01/2017," £150,000.00 "," £450,000.00 ",CM2000,SME,6494697,B74 2TZ,Stockport- Corporate & Support Services
650,Stockport Council,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Tender,Contract,12/09/2013,36,72,30/09/2019,Yes,30/09/2019,01/04/2019," £13,487.00 "," £80,922.00 ",Public-I-Group Ltd,SME,03998680,BN3 1DD,Stockport- Corporate & Support Services
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,01/11/2013,36,48,31/10/2019,Yes,31/10/2019,01/08/2017, N/A- framework , N/A- framework ,Various- see below,Various- see below,Various- see below,Various- see below,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,02/11/2013,60,60,01/11/2016,No,31/10/2017,, nil , nil ,"Alternative Futures Group Ltd,",Large,1008587,L34 1BN,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,03/11/2013,60,60,02/11/2016,No,31/10/2017,, nil , nil ,"Autism Care UK,",Large,03997337,LN4 3JD,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,04/11/2013,60,60,03/11/2016,No,31/10/2017,, nil , nil ,BROTHERS OF CHARITY MERSEYSIDE,VCSE,234252,L14 7NY,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,05/11/2013,60,60,04/11/2016,No,31/10/2017,, nil , nil ,"Future Directions CIC,",Large,08041420,BB7 9PE,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,06/11/2013,60,60,05/11/2016,No,31/10/2017,, nil , nil ,"CHOICE SUPPORT,",Large,298149,SE1 7XA,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,07/11/2013,60,60,06/11/2016,No,31/10/2017,," £1,579,232.00 "," £6,316,928.00 ",Community Integrated Care,VCSE,"Company: 2225727 
Charity: 519996",C.I.Care: WA87SP,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,08/11/2013,60,60,07/11/2016,No,31/10/2017,," £68,888.00 "," £275,552.00 ","Craegmoor Supporting You,",Large, 07480152,WR3 7NW,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,09/11/2013,60,60,08/11/2016,No,31/10/2017,, nil , nil ,"Creative Support Ltd,",VCSE,27440R,M1 2HF,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,10/11/2013,60,60,09/11/2016,No,31/10/2017,," £339,744.76 "," £1,358,979.04 ",FitzRoy supported living,VCSE,"charity: 1011290
company: 2699902",PO7 7SE,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,11/11/2013,60,60,10/11/2016,No,31/10/2017,," £320,924.25 "," £1,283,697.00 ",HF Trust Ltd (HFT),VCSE,"Company: 734984
Charity: 313069",BS16 7FL,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,12/11/2013,60,60,11/11/2016,No,31/10/2017,," £215,703.00 "," £862,812.00 ","Cherrytree Vale Ltd (t/a Home Focus), ",Large,03079096,M30 0DL,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,13/11/2013,60,60,12/11/2016,No,31/10/2017,, nil , nil ,"Imagine Act and Succeed,",VCSE,1141823,WN7 2DB,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,14/11/2013,60,60,13/11/2016,No,31/10/2017,, nil , nil ,"Independent Options (North West), ",SME,"company: 02560910
charity:  1022680",SK7 5PE,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,15/11/2013,60,60,14/11/2016,No,31/10/2017,, nil , nil ,"KeyRing  Living Support Networks , ",VCSE,1054234,E8 2NG,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,16/11/2013,60,60,15/11/2016,No,31/10/2017,, nil , nil ,"MacIntyre,",VCSE,250840,MK9 2JA,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,17/11/2013,60,60,16/11/2016,No,31/10/2017,, nil , nil ,"Mears Care Limited,",VCSE,3232863,GL3 4AH,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,18/11/2013,60,60,17/11/2016,No,31/10/2017,, nil , nil ,Royal Mencap Society,SME,00889191,PE7 8HP,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,19/11/2013,60,60,18/11/2016,No,31/10/2017,," £355,887.62 "," £1,423,550.48 ","North West Community Services Ltd,",Large,02068130 ,PR2 9ZG,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,20/11/2013,60,60,19/11/2016,No,31/10/2017,, nil , nil ,"Perthyn, ",Large,"Company: 3017158
Charity: 1046763",SA7 9FG,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,21/11/2013,60,60,20/11/2016,No,31/10/2017,, nil , nil ,Respite North West Ltd,SME,04186179,OL10 1JP,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),,,22/11/2013,60,60,21/11/2016,No,31/10/2017,, nil , nil ,"Sevacare (UK) Ltd,",Large,03615347,WV9 5HD,Stockport- Services to People
