ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,PAID DATE,AMOUNT (£),PURPOSE,TRANSACTION ID
ROCHDALE BOROUGH COUNCIL,07/10/16,NEIGHBOURHOODS AND ENVIRONMENT,PROQUEST INFORMATION AND LEARNING LTD,07/10/16,4560,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V001045453
ROCHDALE BOROUGH COUNCIL,05/10/16,EARLY HELP AND SCHOOLS,BLUEPRINT GB LTD,05/10/16,2130,ACTIVITIES,V001045469
ROCHDALE BOROUGH COUNCIL,12/10/16,NEIGHBOURHOODS AND ENVIRONMENT,KASHMIR YOUTH PROJECT,12/10/16,600,ACTIVITIES,V001045523
ROCHDALE BOROUGH COUNCIL,12/10/16,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,12/10/16,1908.67,MISC CHARGES,V001045608
ROCHDALE BOROUGH COUNCIL,05/10/16,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/10/16,2967.01,FOSTER PARENTS BASIC ALLOWANCE,V001045664
ROCHDALE BOROUGH COUNCIL,05/10/16,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/10/16,2878,FOSTER PARENTS BASIC ALLOWANCE,V001045665
ROCHDALE BOROUGH COUNCIL,05/10/16,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,05/10/16,3277.49,FOSTER PARENTS BASIC ALLOWANCE,V001045666
ROCHDALE BOROUGH COUNCIL,06/10/16,CHILDREN’S SOCIAL CARE,CARE TODAY CHILDRENS SERVICES,06/10/16,12400,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001045678
ROCHDALE BOROUGH COUNCIL,14/10/16,PROPERTY AND HIGHWAYS,GMCA,14/10/16,1300,ROADWORKS,V001046388
ROCHDALE BOROUGH COUNCIL,10/10/16,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,10/10/16,7953.06,CONSULTANTS FEES,V001046410
ROCHDALE BOROUGH COUNCIL,18/10/16,NEIGHBOURHOODS AND ENVIRONMENT,PETRUS,18/10/16,36180,GRANTS TO THE VOLUNTARY SECTOR,V001046465
ROCHDALE BOROUGH COUNCIL,12/10/16,EARLY HELP AND SCHOOLS,TRANSPORT FOR GREATER MANCHESTER,12/10/16,50784.8,STUDENT TRAVEL,V001046510
ROCHDALE BOROUGH COUNCIL,05/10/16,PROPERTY AND HIGHWAYS,TRANSPORT FOR GREATER MANCHESTER,05/10/16,1500,ROADWORKS,V001046607
ROCHDALE BOROUGH COUNCIL,11/10/16,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,11/10/16,93851.74,AGILISYS CONTRACT,V001047386
ROCHDALE BOROUGH COUNCIL,11/10/16,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,11/10/16,76459.43,AGILISYS CONTRACT,V001047387
ROCHDALE BOROUGH COUNCIL,11/10/16,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,11/10/16,3946.12,AGILISYS CONTRACT,V001047388
ROCHDALE BOROUGH COUNCIL,11/10/16,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,11/10/16,3946.13,AGILISYS CONTRACT,V001047388
ROCHDALE BOROUGH COUNCIL,13/10/16,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,13/10/16,4292.58,IMPROVEMENTS-MODERNISATION,V001047418
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,04/10/16,6754.5,MINOR BUILDING WORKS,V001048420
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,EVANS HALSHAW TRAFFORD PK,04/10/16,20375.45,PURCHASE OF VEHICLES,V001048422
ROCHDALE BOROUGH COUNCIL,04/10/16,EARLY HELP AND SCHOOLS,H BELL & SONS ROCHDALE LTD,04/10/16,12998.25,MINOR BUILDING WORKS,V001048435
ROCHDALE BOROUGH COUNCIL,20/10/16,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,20/10/16,3764.7,CONSULTANT FEES,V001048497
ROCHDALE BOROUGH COUNCIL,14/10/16,FINANCE SERVICES,ROSSENDALES,14/10/16,509.81,INPUT VAT -  ADJUSTMENTS,V001048522
ROCHDALE BOROUGH COUNCIL,14/10/16,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/10/16,854.34,GAS,V001048528
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,UNITED UTILITIES WATER LIMITED,04/10/16,535.37,WATER CHARGES,V001048578
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,UNITED UTILITIES WATER LIMITED,04/10/16,583.11,WATER CHARGES,V001048578
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,UNITED UTILITIES WATER LIMITED,04/10/16,682,WATER CHARGES,V001048578
ROCHDALE BOROUGH COUNCIL,04/10/16,EARLY HELP AND SCHOOLS,UNITED UTILITIES WATER LIMITED,04/10/16,704.17,WATER CHARGES,V001048578
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,UNITED UTILITIES WATER LIMITED,04/10/16,854.95,WATER CHARGES,V001048578
ROCHDALE BOROUGH COUNCIL,04/10/16,EARLY HELP AND SCHOOLS,UNITED UTILITIES WATER LIMITED,04/10/16,854.95,WATER CHARGES,V001048578
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,UNITED UTILITIES WATER LIMITED,04/10/16,1063.92,WATER CHARGES,V001048578
ROCHDALE BOROUGH COUNCIL,14/10/16,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/10/16,2539.23,GAS,V001048583
ROCHDALE BOROUGH COUNCIL,21/10/16,EARLY HELP AND SCHOOLS,POSITIVE STEPS,21/10/16,44100,EXTERNALLY MANAGED FUNDS,V001048589
ROCHDALE BOROUGH COUNCIL,05/10/16,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,05/10/16,8476.58,OTHER LA`S - SEN PROVISION,V001048594
ROCHDALE BOROUGH COUNCIL,05/10/16,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,05/10/16,8920.8,OTHER LA`S - SEN PROVISION,V001048595
ROCHDALE BOROUGH COUNCIL,05/10/16,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,05/10/16,13765.04,OTHER LA`S - SEN PROVISION,V001048596
ROCHDALE BOROUGH COUNCIL,05/10/16,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,05/10/16,9004.9,OTHER LA`S - SEN PROVISION,V001048597
ROCHDALE BOROUGH COUNCIL,05/10/16,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,05/10/16,14720.98,OTHER LA`S - SEN PROVISION,V001048598
ROCHDALE BOROUGH COUNCIL,05/10/16,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,05/10/16,14720.98,OTHER LA`S - SEN PROVISION,V001048599
ROCHDALE BOROUGH COUNCIL,05/10/16,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,05/10/16,18302.19,OTHER LA`S - SEN PROVISION,V001048600
ROCHDALE BOROUGH COUNCIL,07/10/16,PHYSICAL DIS & OLDER PEOPLE,THE PENNINE ACUTE HOSPITALS NHS TRUST,07/10/16,10000,SERVICE LEVEL AGREEMENTS,V001048601
ROCHDALE BOROUGH COUNCIL,19/10/16,NEIGHBOURHOODS AND ENVIRONMENT,THE BOND BOARD LIMITED,19/10/16,15000,GRANTS TO OTHER BODIES,V001048603
ROCHDALE BOROUGH COUNCIL,19/10/16,NEIGHBOURHOODS AND ENVIRONMENT,THE BOND BOARD LIMITED,19/10/16,20000,GRANTS TO OTHER BODIES,V001048604
ROCHDALE BOROUGH COUNCIL,19/10/16,NEIGHBOURHOODS AND ENVIRONMENT,THE BOND BOARD LIMITED,19/10/16,5000,GRANTS TO OTHER BODIES,V001048605
ROCHDALE BOROUGH COUNCIL,19/10/16,NEIGHBOURHOODS AND ENVIRONMENT,THE BOND BOARD LIMITED,19/10/16,17500,GRANTS TO OTHER BODIES,V001048606
ROCHDALE BOROUGH COUNCIL,14/10/16,CHILDREN’S SOCIAL CARE,BOLTON MBC,14/10/16,43000,ADOPTION PAYMENTS,V001048658
ROCHDALE BOROUGH COUNCIL,14/10/16,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/10/16,1831.89,GAS,V001048659
ROCHDALE BOROUGH COUNCIL,03/10/16,CHILDREN’S SOCIAL CARE,CHRISTINE FOSTER LIMITED,03/10/16,1782.07,AGENCY STAFF,V001048662
ROCHDALE BOROUGH COUNCIL,05/10/16,NEIGHBOURHOODS AND ENVIRONMENT,PICTORIAL MEADOWS LTD,05/10/16,4551,"TREES, SHRUBS, PLANTS",V001048669
ROCHDALE BOROUGH COUNCIL,14/10/16,PHYSICAL DIS & OLDER PEOPLE,CORONA ENERGY RETAIL 4 LIMITED,14/10/16,500.03,GAS,V001048675
ROCHDALE BOROUGH COUNCIL,14/10/16,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,14/10/16,740.79,GAS,V001048706
ROCHDALE BOROUGH COUNCIL,21/10/16,LEARNING DIS & MENTAL HEALTH,KICKSTART GROUP,21/10/16,2734,PHYSICAL & SENSORY IMPAIRMENT,V001048775
ROCHDALE BOROUGH COUNCIL,10/10/16,PHYSICAL DIS & OLDER PEOPLE,CRYSTAL HOUSE PLATINUM LTD,10/10/16,2163.76,ASSESSMENT CARE,V001048795
ROCHDALE BOROUGH COUNCIL,05/10/16,PROPERTY AND HIGHWAYS,ALPINE FIRE ENGINEERS,05/10/16,1067.5,PROPERTY - WORKS ELEMENT,V001048810
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,CRAWFORD DOMESTIC APPLIANCES LIMITED,04/10/16,691.67,EQUIPMENT - GENERAL,V001048815
ROCHDALE BOROUGH COUNCIL,06/10/16,PROPERTY AND HIGHWAYS,PICOW  ELECTRICAL ENGINEERING,06/10/16,4485.69,IMPROVEMENTS-MODERNISATION,V001048834
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,SCOPED SOLUTIONS LIMITED,04/10/16,3600,SOFTWARE,V001048876
ROCHDALE BOROUGH COUNCIL,03/10/16,NEIGHBOURHOODS AND ENVIRONMENT,TLC GARDEN SERVICES,03/10/16,1875,SITE CLEARANCE -ENVIRONMENTAL WORKS,V001048878
ROCHDALE BOROUGH COUNCIL,03/10/16,NEIGHBOURHOODS AND ENVIRONMENT,TLC GARDEN SERVICES,03/10/16,775,SITE CLEARANCE -ENVIRONMENTAL WORKS,V001048879
ROCHDALE BOROUGH COUNCIL,06/10/16,CHILDREN’S SOCIAL CARE,FULL CIRCLE CARE,06/10/16,9742.86,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001048900
ROCHDALE BOROUGH COUNCIL,05/10/16,NEIGHBOURHOODS AND ENVIRONMENT,FDA DESIGN LTD,05/10/16,614,MAINTENANCE,V001048947
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,GEORGE SHAW AND  SONS TOILET HIRE,04/10/16,684,EVENTS,V001048951
ROCHDALE BOROUGH COUNCIL,07/10/16,PUBLIC HEALTH,PENNINE CARE NHS,07/10/16,355417,PH PENNINE CARE CONTRACT,V001048977
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,OLDHAM & ROCHDALE GROUNDWORK TRUST LTD,04/10/16,2045.61,FEES -CONSTRUCTION CONVERSION RENOVATION,V001048980
ROCHDALE BOROUGH COUNCIL,10/10/16,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,10/10/16,948.46,VEHICLE MAINTENANCE,V001049014
ROCHDALE BOROUGH COUNCIL,04/10/16,PHYSICAL DIS & OLDER PEOPLE,MACK4 LIMITED,04/10/16,1394,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V001049023
ROCHDALE BOROUGH COUNCIL,04/10/16,PHYSICAL DIS & OLDER PEOPLE,MACK4 LIMITED,04/10/16,2091,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,V001049023
ROCHDALE BOROUGH COUNCIL,26/10/16,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,26/10/16,15000,FEES -CONSTRUCTION CONVERSION RENOVATION,V001049028
ROCHDALE BOROUGH COUNCIL,26/10/16,ECONOMY DIRECTORATE,ROCHDALE DEVELOPMENT AGENCY,26/10/16,18750,FEES -CONSTRUCTION CONVERSION RENOVATION,V001049029
ROCHDALE BOROUGH COUNCIL,07/10/16,EARLY HELP AND SCHOOLS,F S MOULT & SON,07/10/16,700,IMPROVEMENTS-MODERNISATION,V001049063
ROCHDALE BOROUGH COUNCIL,07/10/16,EARLY HELP AND SCHOOLS,ALPHA ROOFING SYSTEMS LTD,07/10/16,1551.99,IMPROVEMENTS-MODERNISATION,V001049064
ROCHDALE BOROUGH COUNCIL,14/10/16,EARLY HELP AND SCHOOLS,SPORT WORKS,14/10/16,8654.34,ACTIVITIES,V001049083
ROCHDALE BOROUGH COUNCIL,05/10/16,ECONOMY DIRECTORATE,TURNER AND  TOWNSEND,05/10/16,57441.58,OTHER SURVEYS,V001049085
ROCHDALE BOROUGH COUNCIL,07/10/16,ECONOMY DIRECTORATE,ROCHDALE TOWN CENTRE MANAGEMENT CO,07/10/16,2200,EVENTS,V001049096
ROCHDALE BOROUGH COUNCIL,04/10/16,EARLY HELP AND SCHOOLS,C E S LTD,04/10/16,2939.54,IMPROVEMENTS-MODERNISATION,V001049100
ROCHDALE BOROUGH COUNCIL,04/10/16,EARLY HELP AND SCHOOLS,C E S LTD,04/10/16,6858.94,IMPROVEMENTS-MODERNISATION,V001049100
ROCHDALE BOROUGH COUNCIL,11/10/16,ECONOMY DIRECTORATE,FIRST GROUP PLC,11/10/16,798,STUDENT TRAVEL,V001049225
ROCHDALE BOROUGH COUNCIL,25/10/16,ECONOMY DIRECTORATE,FIRST GROUP PLC,25/10/16,798,STUDENT TRAVEL,V001049227
ROCHDALE BOROUGH COUNCIL,05/10/16,NEIGHBOURHOODS AND ENVIRONMENT,GROUNDWORK LANDSCAPES LIMITED,05/10/16,590,ACTIVITIES,V001049229
ROCHDALE BOROUGH COUNCIL,06/10/16,ECONOMY DIRECTORATE,TG PRODUCTION SUPPLY LTD,06/10/16,1514.56,EVENTS,V001049246
ROCHDALE BOROUGH COUNCIL,14/10/16,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,14/10/16,1023.58,CONTRACTED SERVICES,V001049258
ROCHDALE BOROUGH COUNCIL,05/10/16,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,05/10/16,907.2,EQUIPMENT - GENERAL,V001049279
ROCHDALE BOROUGH COUNCIL,07/10/16,EARLY HELP AND SCHOOLS,H BELL & SONS ROCHDALE LTD,07/10/16,156860.5,MINOR BUILDING WORKS,V001049329
ROCHDALE BOROUGH COUNCIL,05/10/16,NEIGHBOURHOODS AND ENVIRONMENT,BACK OTH MOSS COMMUNITY CENTRE,05/10/16,1000,GRANTS TO THE VOLUNTARY SECTOR,V001049333
ROCHDALE BOROUGH COUNCIL,31/10/16,NEIGHBOURHOODS AND ENVIRONMENT,ENTERPRISE MANCHESTER PARTNERSHIP LTD,31/10/16,947.51,EQUIPMENT - GENERAL,V001049338
ROCHDALE BOROUGH COUNCIL,03/10/16,PHYSICAL DIS & OLDER PEOPLE,DR BABATUNDE ADENIJI,03/10/16,693.48,EXPENSES - GENERAL,V001049340
ROCHDALE BOROUGH COUNCIL,28/10/16,NEIGHBOURHOODS AND ENVIRONMENT,RECORD UK LTD,28/10/16,82732.8,PROPERTY - WORKS ELEMENT,V001049429
ROCHDALE BOROUGH COUNCIL,04/10/16,ECONOMY DIRECTORATE,F S MOULT & SON,04/10/16,1270,ONGOING DISBURSEMENTS,V001049439
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,RECORD UK LTD,04/10/16,103416,PROPERTY - WORKS ELEMENT,V001049450
ROCHDALE BOROUGH COUNCIL,05/10/16,EARLY HELP AND SCHOOLS,THE TOGETHER TRUST,05/10/16,16359.61,OTHER LA`S - SEN PROVISION,V001049478
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,RECORD UK LTD,04/10/16,-103416,PROPERTY - WORKS ELEMENT,V001049479
ROCHDALE BOROUGH COUNCIL,20/10/16,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,20/10/16,14416.54,ENGINEERS FEES,V001049532
ROCHDALE BOROUGH COUNCIL,05/10/16,EARLY HELP AND SCHOOLS,OFFICE DEPOT UK LIMITED,05/10/16,660.88,PRINTING & STATIONERY,V001050816
ROCHDALE BOROUGH COUNCIL,11/10/16,EARLY HELP AND SCHOOLS,G E GRIFFITHS LIMITED,11/10/16,28357.7,MINOR BUILDING WORKS,V001050827
ROCHDALE BOROUGH COUNCIL,06/10/16,PUBLIC HEALTH,OSBORNE RICHARDSON,06/10/16,507.5,ACTIVITIES,V001050833
ROCHDALE BOROUGH COUNCIL,06/10/16,PUBLIC HEALTH,OSBORNE RICHARDSON,06/10/16,514.25,ACTIVITIES,V001050834
ROCHDALE BOROUGH COUNCIL,04/10/16,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,04/10/16,803.25,FOSTER PARENTS BASIC ALLOWANCE,V001050839
ROCHDALE BOROUGH COUNCIL,04/10/16,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,04/10/16,803.25,FOSTER PARENTS BASIC ALLOWANCE,V001050840
ROCHDALE BOROUGH COUNCIL,04/10/16,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,04/10/16,721.98,FOSTER PARENTS BASIC ALLOWANCE,V001050841
ROCHDALE BOROUGH COUNCIL,04/10/16,CHILDREN’S SOCIAL CARE,SWIIS FOSTER CARE LIMITED,04/10/16,874.02,FOSTER PARENTS BASIC ALLOWANCE,V001050843
ROCHDALE BOROUGH COUNCIL,04/10/16,CHILDREN’S SOCIAL CARE,NESTLINGS CARE LTD,04/10/16,18663.99,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001050844
ROCHDALE BOROUGH COUNCIL,06/10/16,CHILDREN’S SOCIAL CARE,FOSTER CARES LTD,06/10/16,850,FOSTER PARENTS BASIC ALLOWANCE,V001050845
ROCHDALE BOROUGH COUNCIL,04/10/16,CHILDREN’S SOCIAL CARE,E MARLAND CHILDRENS RESPITE CARE LIMITED,04/10/16,1792,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001050847
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,SYSTECH IT SOLUTIONS,04/10/16,4386,SOFTWARE,V001050864
ROCHDALE BOROUGH COUNCIL,13/10/16,EARLY HELP AND SCHOOLS,CORONA ENERGY RETAIL 4 LIMITED,13/10/16,-507.02,WATER CHARGES,V001050877
ROCHDALE BOROUGH COUNCIL,10/10/16,EARLY HELP AND SCHOOLS,FIRWOOD MANOR PREPARATORY SCHOOL,10/10/16,1636.6,OTHER LA`S - SEN PROVISION,V001050888
ROCHDALE BOROUGH COUNCIL,07/10/16,EARLY HELP AND SCHOOLS,EMMA GORDON TUTORING,07/10/16,700,OTHER EST - SEN PROVISION,V001050901
ROCHDALE BOROUGH COUNCIL,04/10/16,NEIGHBOURHOODS AND ENVIRONMENT,SENITOR RECRUITMENT,04/10/16,1600,CAPITAL SALARIES,V001050903
ROCHDALE BOROUGH COUNCIL,03/10/16,NEIGHBOURHOODS AND ENVIRONMENT,SENITOR RECRUITMENT,03/10/16,1140,AGENCY STAFF,V001050904
ROCHDALE BOROUGH COUNCIL,21/10/16,ECONOMY DIRECTORATE,JGM AGENCY,21/10/16,630,ACTIVITIES,V001051044
ROCHDALE BOROUGH COUNCIL,31/10/16,PUBLIC HEALTH,SALFORD CITY COUNCIL,31/10/16,5250,AGMA,V001051051
ROCHDALE BOROUGH COUNCIL,11/10/16,FINANCE SERVICES,MERITEC LIMITED,11/10/16,28934,AGENCY STAFF,V001051072
ROCHDALE BOROUGH COUNCIL,03/10/16,NEIGHBOURHOODS AND ENVIRONMENT,CONNECT CARS MIDDLETON LIMITED,03/10/16,1176,TAXI HIRE,V001051094
ROCHDALE BOROUGH COUNCIL,27/10/16,EARLY HELP AND SCHOOLS,OLDHAM COLLEGE,27/10/16,5000,TRAINING,V001051098
ROCHDALE BOROUGH COUNCIL,05/10/16,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,05/10/16,752.5,TRANSACTIONS-EXPENDITURE,V001051100
ROCHDALE BOROUGH COUNCIL,05/10/16,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,05/10/16,752.5,TRANSACTIONS-EXPENDITURE,V001051100
ROCHDALE BOROUGH COUNCIL,04/10/16,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,04/10/16,2597.5,TRANSACTIONS-EXPENDITURE,V001051101
ROCHDALE BOROUGH COUNCIL,04/10/16,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,04/10/16,2597.5,TRANSACTIONS-EXPENDITURE,V001051101
ROCHDALE BOROUGH COUNCIL,04/10/16,PHYSICAL DIS & OLDER PEOPLE,HIGH BARN CONSTRUCTION LIMITED,04/10/16,500,TRANSACTIONS-EXPENDITURE,V001051102
ROCHDALE BOROUGH COUNCIL,04/10/16,PHYSICAL DIS & OLDER PEOPLE,HIGH BARN CONSTRUCTION LIMITED,04/10/16,1750,TRANSACTIONS-EXPENDITURE,V001051102
ROCHDALE BOROUGH COUNCIL,04/10/16,PHYSICAL DIS & OLDER PEOPLE,BROADWAY BUILDING CONTRACTORS OLDHAM LTD,04/10/16,1310,TRANSACTIONS-EXPENDITURE,V001051104
ROCHDALE BOROUGH COUNCIL,26/10/16,PUBLIC HEALTH,MANCHESTER CITY COUNCIL,26/10/16,5209,PH OTHER CONTRACTS,V001051107
ROCHDALE BOROUGH COUNCIL,27/10/16,PUBLIC HEALTH,MANCHESTER CITY COUNCIL,27/10/16,3852.82,PH OTHER CONTRACTS,V001051108
ROCHDALE BOROUGH COUNCIL,07/10/16,NEIGHBOURHOODS AND ENVIRONMENT,PROBRUSH,07/10/16,1997.87,EQUIPMENT - GENERAL,V001051109
ROCHDALE BOROUGH COUNCIL,07/10/16,NEIGHBOURHOODS AND ENVIRONMENT,HENRY ALTY LIMITED,07/10/16,1640.63,"TREES, SHRUBS, PLANTS",V001051120
ROCHDALE BOROUGH COUNCIL,05/10/16,NEIGHBOURHOODS AND ENVIRONMENT,OFFICE DEPOT UK LIMITED,05/10/16,509.6,EVENTS,V001051122
ROCHDALE BOROUGH COUNCIL,03/10/16,EARLY HELP AND SCHOOLS,LITTLE GEMS PDN,03/10/16,1000,TRAINING,V001051128
ROCHDALE BOROUGH COUNCIL,03/10/16,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,03/10/16,501.71,PRINTING & STATIONERY,V001051129
ROCHDALE BOROUGH COUNCIL,03/10/16,FINANCE SERVICES,OFFICE DEPOT UK LIMITED,03/10/16,1384.56,PRINTING & STATIONERY,V001051130
ROCHDALE BOROUGH COUNCIL,03/10/16,FINANCE SERVICES,BINDMONT PRINT SERVICES LTD,03/10/16,1783.08,PRINTING & STATIONERY,V001051132
