Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Building Works,Capital,HELIX ROOFING CONTRACTORS LTD,553524,"78,031.24"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Drugs,Cancer Networked Services,MID CHESHIRE HOSPITALS NHS FT,555240,"45,630.25"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Drugs,Cancer Networked Services,MID CHESHIRE HOSPITALS NHS FT,550470,"45,630.25"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Drugs,Drugs,MID CHESHIRE HOSPITALS NHS FT,556404,"62,312.03"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Blood Products,Cancer Networked Services,NHS BLOOD AND TRANSPLANT,555676,"45,458.84"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Blood Products,Cancer Networked Services,NHS BLOOD AND TRANSPLANT,554970,"27,121.62"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Maintenance Contract,Cancer Centre Services,NHS SUPPLY CHAIN,547883,"37,396.39"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Maintenance Contract,Cancer Centre Services,NHS SUPPLY CHAIN,547842,"62,896.07"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Medical Equipment,Cancer Centre Services,NHS SUPPLY CHAIN,547746,"-147,069.64"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Medical Equipment,Cancer Networked Services,NHS SUPPLY CHAIN,555663,"75,612.80"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,557175,"37,762.21"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Project Costs,Cancer Centre Services,PHILIPS HEALTHCARE,556673,"43,234.88"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Christie @ Oldham - Jul-17 to Sep-17,Estates & Facilities,THE PENNINE ACUTE HOSPITAL NHS TRUST,557275,"38,140.50"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Critical Care SLA - Apr 17,Cancer Centre Services,UNI HOSP OF SOUTH MANCHESTER NHS FT,554907,"29,638.25"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Critical Care SLA - Jun 17,Cancer Centre Services,UNI HOSP OF SOUTH MANCHESTER NHS FT,556095,"29,638.25"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Anaesthetics SLA - Jun 17,Cancer Centre Services,UNI HOSP OF SOUTH MANCHESTER NHS FT,556097,"27,148.17"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Proton Beam Development (PBT),Capital,VARIAN MEDICAL SYSTEMS UK LTD,555958,"100,000.00"
Department of Health,The Christie NHS Foundation Trust,13/07/2017,Christie @ Wigan - May-17,Cancer Networked Services,WRIGHTINGTON WIGAN AND LEIGH NHS FT,554860,"229,966.00"
Department of Health,The Christie NHS Foundation Trust,17/07/2017,Blood Products,Cancer Networked Services,NHS BLOOD AND TRANSPLANT,558274,"178,854.08"
Department of Health,The Christie NHS Foundation Trust,17/07/2017,NHS Litigation (NHSLA),Finance & Business Development,NHS LITIGATION AUTHORITY,558264,"73,421.70"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Drugs,Drugs,ALCURA UK LIMITED,557870,"86,203.46"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,556327,"415,686.29"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Medical Equipment,Cancer Networked Services,BRAINLAB LTD,557035,"52,401.60"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Site Development,Capital,INTERSERVE CONSTRUCTION LTD,557446,"98,581.21"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Building Works,Estates & Facilities,KAEFER LIMITED,556618,"83,956.26"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Blood Products,Cancer Networked Services,NHS BLOOD AND TRANSPLANT,556397,"50,280.96"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Blood Products,Cancer Networked Services,NHS BLOOD AND TRANSPLANT,556401,"36,241.46"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,557777,"36,855.67"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Project Costs,Cancer Networked Services,PHILIPS HEALTHCARE,557573,"51,966.94"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Project Costs,Cancer Networked Services,PHILIPS HEALTHCARE,557572,"50,186.86"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Software Licences,Finance & Business Development,SOFTCAT PLC,557116,"95,338.80"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Christie @ Wigan - Apr-17,Cancer Networked Services,WRIGHTINGTON WIGAN AND LEIGH NHS FT,553659,"229,966.00"
Department of Health,The Christie NHS Foundation Trust,20/07/2017,Christie @ Wigan - Jun-17,Cancer Networked Services,WRIGHTINGTON WIGAN AND LEIGH NHS FT,556588,"230,695.00"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Drugs,Drugs,ALCURA UK LIMITED,557837,"2,693,777.21"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Drugs,Drugs,ALCURA UK LIMITED,557839,"-87,923.04"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Drugs,Drugs,ALCURA UK LIMITED,557836,"152,620.92"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,557458,"422,625.04"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Medical Equipment Maintenance Contract,Cancer Centre Services,CPP FACILITIES LLP,557239,"207,428.12"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Drugs,Drugs,EVOLUTION HOMECARE SERVICES LTD,558314,"49,774.00"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Proton Beam Development (PBT),Capital,MACE LTD,556645,"30,654.00"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Drugs,Drugs,MID CHESHIRE HOSPITALS NHS FT,557684,"82,961.96"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Drugs,Cancer Networked Services,MID CHESHIRE HOSPITALS NHS FT,557683,"45,630.25"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Blood Products,Cancer Networked Services,NHS BLOOD AND TRANSPLANT,557932,"33,563.49"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Blood Products,Cancer Networked Services,NHS BLOOD AND TRANSPLANT,547493,"42,295.00"
Department of Health,The Christie NHS Foundation Trust,27/07/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,558183,"40,431.94"
