Property Ref,Liable Name 1,Liable Name 2,Start of Liability,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Postcode,Rateable Value 2010,Property Description,Empty,Empty From,Charity,Disc,Mand,Occupied
1.61518E+13,64H LLP                         ,                                ,18.04.2016                                               ,WILLOW POINT                    ,                                ,47 BRIDGEFOLD ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5BX,61500,OFFICES AND PREMISES                                        ,Y    ,18.04.2016                                               , ,0,0, 
1.14839E+13,9TH HEYWOOD SCOUT GROUP C/O MR M,BOWE                            ,01.04.2005                                               ,                                ,                                ,9TH HEYWOOD SCOUT GROUP            ,DIGGLES LANE                       ,ROCHDALE                        ,LANCASHIRE                      ,OL11 5PP,5600,SCOUT HUT & PREMISES                                        ,     ,                                                         ,Y,0,80, 
13937X004700X5     ,A & A HAIR EXTENSIONS SALON LTD ,                                ,14.08.2016                                               ,                                ,                                ,67 OLDHAM ROAD                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5QR,3000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
14555X92879436     ,A & D SPORTS LIMITED            ,                                ,31.10.2014                                               ,                                ,                                ,NJP JOINERY                        ,UNIT 1 RUGBY ROAD                  ,ROCHDALE                        ,                                ,OL12 0LQ,17000,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
14555X95152595     ,A & D SPORTS LTD                ,                                ,02.07.2012                                               ,                                ,                                ,UNITS 1 & 2 LAWTON STREET          ,ROCHDALE                           ,                                ,                                ,OL12 0LQ,43000,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
142661000400X2     ,A & F SPRINKLERS LTD            ,                                ,21.02.2014                                               ,UNIT 4                          ,                                ,TRANS PENNINE TRADING ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2NU,58500,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
3.00349E+13,A & S DENTAL STUDIO LTD         ,                                ,23.06.2014                                               ,                                ,                                ,20 ARGYLE PARADE                   ,HEYWOOD                            ,                                ,                                ,OL10 3RY,5000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
3.07663E+13,A & T SURFACING LIMITED         ,                                ,01.12.2014                                               ,CONSTRUCTION HOUSE              ,                                ,GREEN LANE                         ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1NE,38250,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
3031660013007B     ,A & W DENTAL LABORATORY LTD     ,                                ,01.06.2013                                               ,H3039 1342                      ,                                ,13 BUTTERMERE AVENUE               ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2BH,2075,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
13937X90480076     ,A A ARNOLD LTD                  ,                                ,01.04.2005                                               ,                                ,                                ,69-73 OLDHAM ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5QR,10000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.43401E+13,A D STAIRS LTD                  ,                                ,01.04.2009                                               ,UNIT 15 CALDERSHAW CENTRE       ,                                ,ROOLEY MOOR ROAD                   ,ROCHDALE                           ,                                ,                                ,OL12 7EG,6700,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
4.05088E+13,A DEARNLEY LTD                  ,                                ,16.03.2015                                               ,                                ,                                ,103 FEATHERSTALL ROAD              ,LITTLEBOROUGH                      ,LANCASHIRE                      ,                                ,OL15 8JZ,2550,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
13298X99180619     ,A E DIXON & SON LTD             ,                                ,01.04.2005                                               ,                                ,                                ,2 MANCHESTER ROAD                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4HY,22500,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.16273E+13,A J PROPERTIES (NORTH WEST) LTD ,T/A A J PROPERTIES              ,01.04.2005                                               ,                                ,                                ,693 EDENFIELD ROAD                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 5SL,7300,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.22429E+13,A K FUEL LTD                    ,                                ,01.04.2009                                               ,HEYBROOK CORNER SERVICE STATION ,                                ,HALIFAX ROAD                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 9QU,7600,PETROL FILLING STATION AND PREMISES                         ,     ,                                                         , ,0,0, 
2204470023316B     ,A NOVO UK LTD                   ,                                ,01.04.2005                                               ,UNIT 31 STAKEHILL INDUSTRIAL    ,ESTATE                          ,MIDDLETON                          ,MANCHESTER                         ,                                ,                                ,M24 2RW ,362500,WAREHOUSE AND PREMISES                                      ,Y    ,31.08.2012                                               , ,0,0, 
1.10391E+13,A PROPERTIES HOLDINGS LTD       ,                                ,07.04.2016                                               ,SPREAD EAGLE 10                 ,                                ,CHEETHAM STREET                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DL,22000,PUBLIC HOUSE AND PREMISES                                   ,Y    ,07.04.2016                                               , ,0,0, 
13937X95051322     ,A R H INVESTMENTS LTD           ,                                ,01.07.2011                                               ,STORE ON 2ND FLR                ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,690,Store                                                       ,     ,                                                         , ,0,0, 
13937X98634585     ,A R H INVESTMENTS LTD           ,                                ,28.03.2013                                               ,OFFICE 6 AT                     ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,960,Offices and Premises                                        ,Y    ,28.03.2013                                               , ,0,0, 
13937X01545625     ,A R H INVESTMENTS LTD           ,                                ,01.08.2014                                               ,OFFICE 4 AT                     ,                                ,5A OLDHAM ROAD                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1UA,1150,Offices and Premises                                        ,Y    ,01.08.2014                                               , ,0,0, 
3.00019E+13,A TO Z SOLUTIONS CENTRE LTD     ,                                ,01.05.2015                                               ,                                ,                                ,3D ACCESS GARAGE AT                ,INDEPENDENCE HOUSE                 ,ADELAIDE STREET                 ,HEYWOOD                         ,OL10 4HF,4500,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
2.10091E+13,A V BODIES LTD                  ,                                ,20.07.2015                                               ,UNIT 4                          ,                                ,HASLAM STREET                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2AP ,6000,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
4.11924E+13,A WORLD OF WEDDINGS LTD         ,                                ,01.02.2010                                               ,                                ,                                ,128 NEW ROAD                       ,LITTLEBOROUGH                      ,                                ,                                ,OL15 8NL,3900,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.34993E+13,A.S.K. TRADING LTD.             ,                                ,05.11.2009                                               ,                                ,                                ,1ST FLR ELM WORKS                  ,59 MERE LANE                       ,ROCHDALE                        ,LANCS                           ,OL11 3TD,10000,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.0788E+13,A/C VENTILATION LTD             ,                                ,01.10.2015                                               ,                                ,                                ,AC VENTILATIONS LTD                ,BUCKLEY HOUSE                      ,BUCKLEY ROAD                    ,ROCHDALE                        ,OL12 9RH,8000,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.02743E+13,A2 PROPERTY LIMITED             ,                                ,03.04.2016                                               ,SHOP3 AT 1A-3A                  ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JJ,12000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.02743E+13,A2 SOLICITORS LLP               ,                                ,01.04.2015                                               ,                                ,                                ,1ST FLR OFFICES AT 1A-3A           ,BAILLIE STREET                     ,ROCHDALE                        ,                                ,OL16 1JJ,4550,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.02743E+13,A2 SOLICITORS LLP               ,                                ,01.04.2015                                               ,                                ,                                ,A2 SOLICITORS SHOP                 ,AT 1A-3A BAILLIE STREET            ,ROCHDALE                        ,                                ,OL16 1JJ,11500,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.13789E+13,AAA MEDICOLEGAL REPORTING       ,LIMITED                         ,01.03.2016                                               ,UNIT 7 EVANS EASYSPACE LTD      ,                                ,DANE STREET                        ,ROCHDALE                           ,LANCS                           ,                                ,OL12 6XB,3650,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.13788E+13,AAC PHYSIOTHERAPY LTD           ,                                ,01.01.2011                                               ,OFFICE 5 EVANS EASYSPACE LTD    ,                                ,DANE STREET                        ,ROCHDALE                           ,LANCS                           ,                                ,OL12 6XB,1175,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
3.13397E+13,AAF COMPONENTS LTD              ,                                ,01.02.2009                                               ,UNIT 6                          ,QUEST PARK                      ,MOSS HALL ROAD                     ,BURY                               ,LANCS                           ,                                ,BL9 7JJ ,27500,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
3076627451424B     ,AAH PHARMACEUTICALS LTD         ,                                ,01.04.2005                                               ,                                ,                                ,3 SOUTHGATE GREEN LANE             ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1ND,11250,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
2.18641E+13,AAH PHARMACY CONCESSIONS LTD T/A,VANTAGE PHARMACY                ,01.04.2005                                               ,                                ,                                ,50 ROCHDALE ROAD                   ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2PU ,4550,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
2126480069003A     ,AAH RETAIL PHARMACY LTD T/A     ,VANTAGE PHARMACY                ,01.04.2005                                               ,                                ,                                ,199 KIRKWAY                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1LW ,11000,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
13937X01150085     ,AAH RETAIL PHARMACY LTD T/A     ,VANTAGE PHARMACY                ,01.04.2005                                               ,LLOYDS PHARMACY                 ,                                ,293 OLDHAM ROAD                    ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5JG,11250,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.20475E+13,AAN INVESTMENT LTD              ,                                ,07.06.2016                                               ,FORMERLY KERSHAWS AUCTIONEERS   ,                                ,GEORGE STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2DF,26750,WAREHOUSE AND PREMISES                                      ,Y    ,07.06.2016                                               , ,0,0, 
1.31009E+13,ABBEY ARCHITECTURAL IRONMONGERY ,CO LTD                          ,01.08.2008                                               ,ROOM SIZE LTD                   ,                                ,LOMAX STREET                       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0DN,26000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
60481X94473714     ,ABC PLASTIC RECYCLING LTD       ,                                ,01.06.2015                                               ,                                ,                                ,JSK GLASS FIBRES LTD               ,UNIT 3                             ,DYEHOUSE LANE                   ,WARDLE                          ,OL16 2PF,23000,Workshop and Premises                                       ,     ,                                                         , ,0,0, 
2.20448E+13,ABL(HOLDING) LTD T/A PSV GLASS  ,                                ,07.03.2007                                               ,MEDLOCK MEDICAL LTD             ,                                ,STAKEHILL INDUSTRIAL ESTATE        ,MIDDLETON                          ,                                ,                                ,M24 2SJ ,204000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1010950010005B     ,ABM (LANCASHIRE) LTD            ,                                ,27.04.2011                                               ,UNIT 10                         ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,7200,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
3.15279E+13,ABSOLUTE CENTRE STAGE LIMITED   ,                                ,07.11.2013                                               ,UNIT P1F PARKLANDS              ,                                ,HEYWOOD DISTRIBUTION PARK          ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2TT,16250,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.16608E+13,AC ELECTRICAL (ROCHDALE) LTD    ,                                ,01.03.2013                                               ,UNIT 2                          ,                                ,EDWARD STREET                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2DU,3050,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.3476E+13,ACCELERATION (HIRE) LTD         ,                                ,12.03.2007                                               ,UNIT 3 AT                       ,                                ,70 MELLOR STREET                   ,ROCHDALE                           ,                                ,                                ,OL12 6AA,4750,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
1.3476E+13,ACCELERATION SERVICES LTD       ,                                ,12.03.2007                                               ,UNITS 1 & 2 AT                  ,                                ,70 MELLOR STREET                   ,ROCHDALE                           ,                                ,                                ,OL12 6AA,10000,VEHICLE REPAIR WORKSHOP AND PREMISES                        ,     ,                                                         , ,0,0, 
1.46441E+13,ACCENT HANSEN LTD               ,                                ,17.08.2015                                               ,CEDAR HOUSE SANDBROOK BUSINESS  ,PARK                            ,SANDBROOK WAY                      ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1LQ,80500,"Offices, Office and Premises                                ",     ,                                                         , ,0,0, 
2.09854E+13,ACCESS CLEANING SPECIALISTS LTD ,                                ,01.04.2005                                               ,ACCESS HOUSE                    ,                                ,HANSON STREET                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2HW ,1825,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1527290019000B     ,ACCIDENT CLAIMS MANAGEMENT LTD  ,                                ,01.04.2013                                               ,                                ,                                ,31 TWEEDALE STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1HH,4750,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.55618E+13,ACCUMAC LTD                     ,                                ,01.12.2011                                               ,UNIT E3                         ,                                ,FIELDHOUSE INDUSTRIAL ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0AA,2850,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
2.02024E+13,ACE POLISHING SERVICES LTD      ,                                ,11.06.2015                                               ,UNIT 3                          ,                                ,BENTLEY AVENUE                     ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2RW ,23000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.11862E+13,ACEGATE LTD                     ,                                ,01.04.2005                                               ,MITCHELL HEY MILLS              ,                                ,REAR (K/A UNIT C) COLLEGE ROAD     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 6AF,68500,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
3.09913E+13,ACORN PROPERTY SERVICES         ,(NORTHERN) LTD                  ,05.03.2014                                               ,UNIT 52                         ,                                ,HOOLEY BRIDGE IND ESTATE           ,HEYWOOD                            ,LANCS                           ,                                ,OL10 4AP,3450,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
2.14687E+13,ACROBAT CARBON SERVICES LTD     ,                                ,24.10.2011                                               ,UNIT 9 RHODES BUSINESS PARK     ,                                ,SILBURN WAY                        ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 4PN ,31750,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
10058X00050075     ,ACRYATE RESEARCH AND DEVELOPMENT,LTD                             ,15.04.2016                                               ,UNIT 3                          ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,11750,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
3.12767E+13,ACS LINING LTD                  ,                                ,01.04.2005                                               ,                                ,                                ,4 MIDDLETON ROAD                   ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2HT,7200,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.56728E+13,ACTION FORCE LIMITED            ,                                ,01.03.2013                                               ,UNIT 3F                         ,                                ,MOSS MILL INDUSTRIAL ESTATE        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 5LB,4250,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.42646E+13,ACTION ROCHDALE LIMITED         ,                                ,02.07.2013                                               ,GREEN MILL                      ,                                ,WELL I'TH LANE                     ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1BB,25250,"Warehouse, Office and Premises                              ",     ,                                                         ,Y,0,80, 
1415930001016B     ,ACTION ROCHDALE LIMITED T/A     ,ROLLERCITY                      ,02.07.2013                                               ,B MANNING                       ,                                ,PLATTING LANE                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2JT,3600,CAR PARK AND PREMISES                                       ,     ,                                                         ,Y,0,80, 
1.22542E+13,ACTON & ACTON LTD               ,                                ,01.04.2005                                               ,ACTON AND ACTON LTD             ,                                ,HAMER LANE                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UL,6600,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
2.17025E+13,ADAMS BEDS LTD                  ,                                ,20.12.2010                                               ,                                ,                                ,2 OLD HALL STREET                  ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 1AN ,8200,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.58009E+13,ADAMSON & CO                    ,                                ,25.09.2007                                               ,"GND & 2nd FLR, 109-111          ",                                ,YORKSHIRE STREET                   ,ROCHDALE                           ,                                ,                                ,OL16 1YJ,22250,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.17744E+13,ADAMSON LEGAL LIMITED T/A       ,ADAMSON LEGAL SOLICITORS        ,01.12.2014                                               ,                                ,                                ,OFFICE S4                          ,2 THE ESPLANADE                    ,ROCHDALE                        ,                                ,OL16 1AE,1200,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.15313E+13,ADECCO UK LIMITED               ,FAO MISS EMMA WOODHOUSE         ,01.04.2005                                               ,                                ,                                ,2ND FLR 17                         ,DRAKE STREET                       ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1NT,3100,OFFICE AND PREMISES                                         ,     ,                                                         , ,0,0, 
3.13693E+13,ADELAIDE ENGINEERING CO         ,LIMITED                         ,01.04.2005                                               ,PT NO 4 MUTUAL MILLS            ,                                ,ASPINALL STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4HR,45000,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
3.13693E+13,ADELAIDE ENGINEERING CO LTD     ,                                ,01.04.2005                                               ,PT NO 4 MILL MUTUAL MILLS       ,                                ,ASPINALL STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 4HR,8600,WORKSHOP AND PREMISES                                       ,Y    ,01.04.2005                                               , ,0,0, 
1.42646E+13,ADHESIVE COATINGS LIMITED       ,                                ,01.04.2005                                               ,EAGLE TECHNOLOGY PARK ADHESIVE  ,COAT                            ,QUEENSWAY                          ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1TQ,39500,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
2.11659E+13,ADHESIVE DEVELOPMENTS LTD       ,                                ,01.04.2005                                               ,ADHESIVE DEVELOPMENTS LTD       ,                                ,JOHN LEE FOLD                      ,MIDDLETON                          ,MANCHESTER                      ,                                ,M24 2LR ,7100,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.43401E+13,ADMIRAL LABELS & PRINT LTD      ,                                ,01.04.2005                                               ,CALDERSHAW CENTRE UNIT 16       ,                                ,ROOLEY MOOR ROAD                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 7EG,6700,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.42645E+13,ADORABLE TOTS LTD               ,                                ,12.05.2016                                               ,GREEN MILL QUEENSWAY SNOOKER    ,LTD                             ,WELL I'TH LANE                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1BB,12000,CLUB AND PREMISES                                           ,     ,                                                         , ,0,0, 
1.15347E+13,ADS                             ,(ADDICTION DEPENDENCY SOLUTIONS),01.04.2005                                               ,                                ,                                ,132 DRAKE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1PN,15000,OFFICES AND PREMISES                                        ,Y    ,08.09.2014                                               , ,0,0, 
3076388020525A     ,ADVANCED COMPUTER REPAIRS LTD   ,                                ,01.04.2005                                               ,                                ,                                ,208-209 PHOENIX INDUSTRIAL PARK    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 2EW,13750,WORKSHOP AND PREMISES                                       ,     ,                                                         , ,0,0, 
1.42661E+13,ADVANCED ENGINEERING (MIDDLETON),LTD                             ,30.03.2007                                               ,UNIT 5D                         ,                                ,TRANS PENNINE TRADING ESTATE       ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 2NU,21000,WAREHOUSE AND PREMISES                                      ,     ,                                                         , ,0,0, 
1.58008E+13,ADVANCED HAIR & SKIN CLINIC LTD ,                                ,08.08.2007                                               ,1ST AND 2ND FLR                 ,91A                             ,YORKSHIRE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1DW,5300,HEALTH & BEAUTY CONSULTANT                                  ,     ,                                                         , ,0,0, 
1.30821E+13,ADVANTAGE HEALTHCARE LTD        ,                                ,01.10.2015                                               ,                                ,                                ,SUITE F1 1ST FLR                   ,1 LIVESEY STREET                   ,ROCHDALE                        ,                                ,OL16 1SS,8500,Offices and Premises                                        ,     ,                                                         , ,0,0, 
5.03912E+13,ADVISER PORTALS LTD             ,                                ,01.10.2008                                               ,                                ,                                ,2ND FLR 65                         ,DALE STREET                        ,ROCHDALE                        ,                                ,OL16 3NJ,2500,OFFICES AND PREMISES                                        ,     ,                                                         , ,0,0, 
5.03946E+13,AFFINITY DENTAL LTD             ,                                ,01.11.2008                                               ,                                ,                                ,36 DALE STREET                     ,MILNROW                            ,ROCHDALE                        ,LANCASHIRE                      ,OL16 4HS,7600,SURGERY AND PREMISES                                        ,     ,                                                         , ,0,0, 
1.1274E+13,AFFORDABLE PC SOLUTIONS LTD     ,                                ,19.05.2014                                               ,                                ,                                ,SUITE G4 LOCK 50 BUSINESS CENTRE   ,CRAWFORD STREET                    ,ROCHDALE                        ,                                ,OL16 5RD,1600,Offices and Premises                                        ,     ,                                                         , ,0,0, 
1.33534E+13,AG RETAIL CARDS LTD             ,T/A CLINTONS                    ,07.06.2012                                               ,                                ,                                ,57 MARKET WAY                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1EA,90500,SHOP AND PREMISES                                           ,     ,                                                         , ,0,0, 
416903002000X2     ,AGE CONCERN METRO ROCHDALE      ,                                ,01.04.2009                                               ,                                ,                                ,38 VICTORIA STREET                 ,LITTLEBOROUGH                      ,                                ,                                ,OL15 9DB,5200,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
3121630007001A     ,AGE UK                          ,                                ,01.04.2005                                               ,                                ,                                ,9 MARKET STREET                    ,HEYWOOD                            ,LANCASHIRE                      ,                                ,OL10 1HT,8100,SHOP AND PREMISES                                           ,     ,                                                         ,Y,0,80, 
