DfE No,School,Type of establishment,Number of pupils on roll (All pupils),No. eligible for free school meals (All pupils),% eligible for free school meals (All pupils),Number of pupils on roll (Excluding nursery pupils),No. eligible for free school meals (Excluding nursery pupils),% eligible for free school meals (Excluding nursery pupils)
2010,Lee Mount Primary School,LA Maintained,376,69,18.4,342,69,20.2
5204,Lightcliffe CE (VA) Primary School,LA Maintained,421,10,2.4,421,10,2.4
2033,"Ling Bob J, I & N School",LA Maintained,350,110,31.4,299,94,31.4
5207,Longroyde Primary School,LA Maintained,385,52,13.5,385,52,13.5
3014,Luddenden CE School,LA Maintained,196,25,12.8,175,22,12.6
2064,Luddendenfoot Academy,Academy,152,6,3.9,152,6,3.9
2065,Midgley School,LA Maintained,100,3,3,100,3,3
3332,Moorside Community Primary School,LA Maintained,261,110,42.1,237,99,41.8
2002,Mount Pellon Primary Academy,Academy,517,75,14.5,474,75,15.8
2066,New Road Primary School,LA Maintained,135,26,19.3,135,26,19.3
3010,Norland CE (VC) J & I School,LA Maintained,95,8,8.4,95,8,8.4
2015,Northowram Primary School,LA Maintained,472,17,3.6,421,17,4
2083,Old Earth School,Academy,457,32,7,415,31,7.5
2075,Old Town Primary School,LA Maintained,102,5,4.9,102,5,4.9
2017,Parkinson Lane Community Primary School,LA Maintained,543,92,16.9,476,82,17.2
2001,"Rawson J, I & N School",LA Maintained,380,76,20,341,70,20.5
2061,Ripponden J & I School,LA Maintained,221,14,6.3,221,14,6.3
2082,Riverside Junior School,LA Maintained,155,11,7.1,155,11,7.1
3328,Sacred Heart Catholic Primary School (Sowerby Bridge),Academy,191,37,19.4,191,37,19.4
2021,Salterhebble J & I School,LA Maintained,206,25,12.1,206,25,12.1
5200,Salterlee Academy Trust,Academy,100,3,3,100,3,3
2009,Savile Park Primary School,LA Maintained,281,32,11.4,281,32,11.4
2056,Scout Road Academy,Academy,96,4,4.2,96,4,4.2
2073,Shade Primary School,LA Maintained,220,19,8.6,196,17,8.7
2060,Shelf J & I School,LA Maintained,312,30,9.6,312,30,9.6
2094,Siddal Primary School,Academy,253,45,17.8,232,42,18.1
2095,Sowerby Village CE (VC) Primary School,LA Maintained,161,53,32.9,142,49,34.5
3315,St Andrew's CE (VA) Infant School (Brighouse),LA Maintained,168,20,11.9,168,20,11.9
3314,St Andrew's CE (VA) Junior School (Brighouse),LA Maintained,242,32,13.2,242,32,13.2
3303,St Augustine's CE (VA) J & I School (Halifax),LA Maintained,182,25,13.7,182,25,13.7
5206,St Chad's CE (VA) Primary School,LA Maintained,210,8,3.8,210,8,3.8
5203,"St John's (CE) Primary Academy, Clifton",Academy,208,7,3.4,208,7,3.4
3322,St John's CE Primary School (Rishworth),Academy,135,1,0.7,135,1,0.7
3329,St Joseph's Catholic Primary School (Brighouse),LA Maintained,226,16,7.1,203,16,7.9
3305,St Joseph's Catholic Primary School (Halifax),LA Maintained,189,21,11.1,189,21,11.1
3330,St Joseph's RC Primary School (Todmorden),LA Maintained,131,22,16.8,107,19,17.8
3306,St Malachy's Catholic Primary School,Academy,194,41,21.1,178,40,22.5
3308,St Mary's Catholic Primary School (Halifax),LA Maintained,294,41,13.9,294,41,13.9
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),LA Maintained,103,0,0,103,0,0
5202,St Michael & All Angels CE Primary School,LA Maintained,201,11,5.5,201,11,5.5
3327,St Patrick's Catholic Primary School (Elland),LA Maintained,130,19,14.6,117,19,16.2
2057,Stubbings Infant School,LA Maintained,78,4,5.1,69,4,5.8
2049,The Greetland Academy,Academy,417,18,4.3,417,18,4.3
4035,The Halifax Academy,Academy,120,15,12.5,120,15,12.5
3326,"Todmorden CE (VA) J, I & N School",LA Maintained,226,32,14.2,199,26,13.1
3013,Triangle CE (VC) Primary School,LA Maintained,189,9,4.8,189,9,4.8
2067,Tuel Lane Infant School,LA Maintained,140,26,18.6,116,26,22.4
2027,Wainstalls School,Academy,170,13,7.6,170,13,7.6
5208,Walsden St Peter's CE (VC) Primary School,LA Maintained,169,13,7.7,169,13,7.7
2028,Warley Road Primary School,LA Maintained,617,88,14.3,566,88,15.5
2030,Warley Town School,LA Maintained,136,7,5.1,136,7,5.1
5205,West Vale Primary School,LA Maintained,173,16,9.2,173,16,9.2
2031,Whitehill Community Academy,Academy,659,75,11.4,596,70,11.7
2046,Withinfields Primary School,LA Maintained,359,51,14.2,330,48,14.5
7008,Wood Bank School,LA Maintained,69,18,26.1,62,17,27.4
2081,Woodhouse Primary School,LA Maintained,420,4,1,420,4,1
,Calderdale (Incl special schools),,"20,380","2,727",13.4,"19,220","2,631",13.7
,Calderdale (Excl special schools),,"20,239","2,691",13.3,"19,091","2,597",13.6
