Ratepayer,Property Reference,Property Address,Billing Address,RV,Net Debit ,Liability Start Date,Relief Granted
Keswickton Securities Ltd,64376732,"Unit 12, Brow Mills Industrial Estate, Brighouse Road, Hipperholme          HX3 8EF","Unit 12, Brow Mills Industrial Estate, Brighouse Road, Hipperholme, HX3 8DD",6300,0,07/01/07,SBR
,64392703,"Broad Carr House, Broad Carr Lane, Holywell Green, Halifax              HX4 9BS",,3700,1709.1,04/01/09,DUR SBR
Accurating Ltd,64404700,"Brooke House, 7 Brooke Green, Hipperholme, Halifax             HX3 8ES",,2700,0,06/02/15,SBR
Ppc Uk Ltd (In Administration),64852706,"First And Second Floors, Unit 1b Dunkirk Mills, Dunkirk Lane, Halifax             HX1 3TA","Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",1975,0,09/28/14,EX
Vandalite Lighting Ltd,64852704,"Dunkirk Mills, Dunkirk Lane, Halifax, HX1 3TB",,7400,3448.4,10/04/14,SBR
Ppc Uk Ltd (In Administration),64852700,"Unit 1A 2ND Floor, Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA","Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",1700,0,09/27/14,EX
,64864702,"Dyson Road, Halifax, HX1 4RJ",,2800,0,05/01/99,SBR
,64242812,"Unit 2 Culver Works, Hopwood Lane, Halifax, HX1 5EZ",,6500,0,11/02/16,SBR
Uber Britannia Ltd,64242707,"Office 9 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Aldgate Tower, 1st Floor, 2 Leman Street, London, E1 8FA",2075,1034.27,12/01/15,DUR SBR
Westfield Properties Ltd,65164738,"Unit 15, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ","2 Stansfield Road, Todmorden, Lancs, OL14 5DL",1675,0,02/01/10,EX
,65516790,"Front, 159 King Cross Road, Halifax, HX1 3LN",,4900,0,12/15/14,SBR
Clear Channel (Uk) Ltd,65516146,"Bus Shelter 0702 0156 Front, 146 King Cross Road, Halifax, HX1 3JZ","Nndr Dept, Orion Gate, Guildford Road, Woking Surrey, GU22 7NJ",250,118.48,04/01/10,SBR
T & C Property Search Ltd,65516768,"Offices 6 & 7 2ND Floor, 159 King Cross Road, Halifax, HX1 3LN","Office 6 & 7, 159 King Cross Road, Halifax, HX1 3LN",1825,0,09/07/09,SBR
Itec Components Ltd,65516169,"167/169 King Cross Road, Halifax, HX1 3LN",,8000,0,12/01/99,SBR
Clydesdale Bank Plc,56224719,"18/20 Southgate, Elland, HX5 0BP","C/O Cushman & Wakefield, National Rating Team, St Paul's House, 23 Park Square South, Leeds, LS1 2ND",11250,4976.29,04/01/90,SBR
,56224072,"72 Southgate, Elland, HX5 0PS",,8600,0,01/02/98,SBR
Jumping Clay Ltd,56224100,"100 Southgate, Elland, HX5 0EP",,7600,0,06/23/14,SBR
Yorkshire Children's Trust,56224731,"6 Crown Yard, Southgate, Elland, HX5 0DQ","F O A Simon Widdop, 6 Crown Yard, Southgate, Elland, HX5 0DQ",3200,0,10/01/17,DCR MCR
,64288797,"Balcony Store 25, Borough Market, Halifax, HX1 1DZ",,205,95.53,04/21/10,SBR
,64288027,"27 Borough Market, Halifax, HX1 1DY",,3350,0,04/01/11,SBR
,64288037,"37 Borough Market, Halifax, HX1 1DY",,3550,0,08/24/15,SBR
Knapton And Knapton Ltd,64784890,"Office Suite D151, Dean Clough Mills, Halifax, HX3 5AX","Office Suite D151, Dean Clough Mills, Halifax, HX3 5AX",9100,0,02/09/16,SBR
Dean Clough Ltd,64788760,"Office Suite D172, Dean Clough Office Park, Halifax, HX3 5AX","Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",1575,0,08/11/16,EX
I K O Y Secretarial Ltd,64778813,"Office Suite D226, Dean Clough Mills, Halifax, HX3 5AX","Fao Kristian Blackburn, Office Suite D226, Dean Clough Mills, Halifax, HX3 5AX",2900,0,05/01/16,SBR
R.T.C Insulation Ltd,64788734,"Office Suite D246, Dean Clough Office Park, Halifax, HX3 5AX","Holroyd Mill, Ground Floor West, Dean Clough Office Park, Halifax, HX3 5AX",1250,538.77,01/07/08,DUR SBR
Dean Clough Ltd,64788808,"Office Suite D 27, Dean Clough Mills, Halifax, HX3 5AX","Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",3750,1603.78,04/01/96,DUR SBR
Grey & Co,64788835,"Office Suite D 47, Dean Clough Mills, Halifax, HX3 5AX",,2700,0,03/01/14,SBR
Dean Clough Ltd,64784863,"Office Suite E 132, Dean Clough Mills, Halifax, HX3 5AX","Office Suite D130&D180/182/184, Dean Clough Office Park, Halifax, HX3 5AX",2600,0,10/01/17,EX
Craven Slater & Associates Ltd,64296733,"Office Suite E209, Dean Clough Mills, Halifax, HX3 5AX","Registered Office, Throstle Bower Farm, Heys Lane, Wainstalls, Halifax, HX2 7TR",3500,0,05/01/15,SBR
K. B. Industries Uk Ltd,65344821,"12A Holdsworth Road (Front), Holmfield, Halifax, HX3 6SN","H M 3.5, Holmfield Mills, Holdsworth Road, Halifax, HX3 6JN",5000,0,02/01/15,SBR
,65344510,"12D Holdsworth Road, Holmfield, Halifax, HX3 6SN",,1975,0,12/01/17,SBR
Staywarm Uk Limited,65344520,"""Unauth Address""  Staywarm, Holmfield Industrial Estate, Holmfield, Halifax              HX2 9TN","85 Riley Lane, Bradshaw, Halifax, HX2 9QE",1300,0,04/01/10,EX
Sports Scene Ltd,64352732,"Unit 6, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EA","F.A.O. Colin Etheridge, 95-97 Bellgrove Road, Welling, Kent, DA16 3PG",10500,4893,03/18/17,SBR
,64352738,"Unit 11B, Brunswick Ind Estate, Brassey Street, Halifax              HX1 2EA",,10000,0,06/26/15,SBR
Geco U.K Ltd,64812722,"Unit 3, Dominion Industrial Park, Denholmegate Road, Hipperholme         HX3 8JG",,8800,0,01/05/98,SBR
Bamford Developments Limited Pension Scheme,64824703,"Unit 6 Causey Hall, Dispensary Walk, Halifax, HX1 1QL","8 St Stephen Street, Manchester, M3 6AY",1175,0,08/01/15,EX
Prodoto Photographic Studios Ltd,76088848,"Wessex House, Caldene Business Park, Mytholmroyd, Hebden Bridge        HX7 5QJ","F A O William Lack, Belvoir House, Caldene Business Park, Mytholmroyd, HX7 5QJ",5300,2469.8,10/14/16,SBR
,64592703,"277 Claremount Road, Halifax, HX3 6AP",,11250,0,04/01/90,SBR
,64592303,"303 Claremount Road, Halifax, HX3 6AW",,4050,0,11/27/13,SBR
Director Of Safer & Stronger Communities,64596701,"Clay House Mills, Clay House Lane, Greetland, Halifax             HX4 8AW","Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",2850,1421.8,04/01/90,SBR
G Lumb & Son,64899701,"Livery Stables Turbury Equ., Far Turbury Farm, Clegg Lane, Greetland","Fao Clive Lumb, Far Turbury Farm, Rochdale Road, Greetland, HX4 8PU",7200,0,09/01/09,SBR
North Halifax Partnership Ltd,64612708,"Sure Start Childrens Centre, Mobile Building 2, Clough Lane, Mixenden             HX2 8SH","Kevin Pearce Childrens Centre, Ovenden Road, Ovenden, Halifax, HX3 5RQ",5200,49.82,07/01/14,DCR MCR
,64612024,"24 Clough Lane, Mixenden, Halifax, HX2 8SN",,3700,1428.37,02/05/11,DUR SBR
,64612038,"38 Clough Lane, Mixenden, Halifax, HX2 8SN",,3550,1007.61,07/17/17,SBR
Primesight Ltd,64628740,"Advertising Right, Gable, 1 Club Lane, Ovenden, Halifax              HX2 8AF","2nd Floor, 3/5 Charlotte Street, Manchester, M1 4HB",200,94.79,04/01/03,SBR
Kbnw Management Ltd,64628800,"Unit 7, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","476-478 Broadway, Chadderton, Oldham, OL9 9NS",8700,0,01/01/16,SBR
Pennine Magpie Ltd,64628760,"Unit 15C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Unit 4A, Calderdale Business Park, Club Lane, Halifax, HX2 8DB",8900,76.29,11/01/13,DCR DUR MCR
,65164754,"Unit 6, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,1150,0,05/01/07,SBR
Westfield Properties Ltd,65164748,"Unit 28, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ","2 Stansfield Road, Todmorden, Lancs, OL14 5DL",1600,0,12/01/03,EX
Specialised Coatings Holdings Ltd,65164851,"Unit 6B Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ","Units 1-4 Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",11250,4345,04/01/14,ER
,65164907,"Units 4/5, Queens Road Mills, Gibbet Street, Halifax              HX1 4JX",,7800,0,04/01/15,SBR
P L Projects Limited,64242750,"Office 25 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,2300,622.52,09/01/17,SBR
,56180036,"36 Northgate, Elland, HX5 0RU",,3700,0,02/26/07,SBR
,56192711,"Barge & Barrel, 8 Park Road, Elland, HX5 9HP",,8800,0,08/08/17,SBR
Benjamin Whiteley & Sons Ltd,56192769,"Adj Mechanics Workshop, Park Road Mills, Park Road, Elland               HX5 9HX","Park Road Mills, Park Road, Elland, HX5 9HX",2300,0,12/25/11,EX
,65264816,"Unit 4B, 148/150 Hanson Lane, Halifax, HX1 5PQ",,5700,0,09/01/15,SBR
,65264762,"31 Hanson Lane, Halifax, HX1 5NX",,1825,0,11/20/02,SBR
,65264757,"59 Hanson Lane, Halifax, HX1 5NX",,2600,0,12/15/12,EX
Calderdale Mbc Markets Manager,65736739,"1ST, 2ND & 3RD Floors, 34 Market Street, Halifax, HX1 1PB","19 Albion Street, Halifax, HX1 1DU",4750,0,04/01/10,EX
,65740701,"Telecommunications Mast, Site Ref 2166, Marsden Gate, Sowood, Stainland    HX4 9LD",,9800,4354.26,04/01/97,SBR
Wrought Worx Welding Ltd,65764700,"Maude Street, Greetland, Halifax, HX4 8AJ","The Old Brassworks, Maude Street, Greetland, HX4 8AJ",5100,0,07/28/14,SBR
Adept Demolition Ltd,65935701,"Brow Side Farm, Medley Lane, Northowram, Halifax              HX3 7SX",,7400,0,04/01/16,SBR
,64136016,"16 Bank Edge Road, Halifax, HX2 8JU",,3600,0,10/28/91,SBR
Halifax Opportunities Trust,64176719,"Childrens Centre, Mount Pellon Primary Academy, Battinson Road, Halifax              HX1 4RG","Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",4050,52.4,07/01/14,DCR MCR
Simms Electrical Distributors Ltd (In Liquidation),64176705,"Miall Works, Battinson Road, Halifax, HX1 4AZ","C/O Lee & Co, Photon House, Percy Street, Leeds, LS12 1EG",6500,0,09/21/16,EX
J C Decaux Uk Ltd,64184705,"Adj 14 Beacon Hill Road, Halifax, HX3 6AF","Rates Administrator, 27 Sale Place, London, W2 1YR",740,387.05,04/01/94,SBR
,64188702,"Bedford Street Works, Bedford Street, Halifax, HX1 5DL",,5300,0,04/01/90,SBR
,64484702,"4 Carlton Place, Halifax, HX1 2SB",,7400,3470.51,01/18/17,ER
,64484704,"5 Carlton Place, Halifax, HX1 2SB",,8100,0,06/30/14,SBR
Conscious Health Ltd,64488711,"12 Carlton Street, Halifax, HX1 2AL",,6400,0,04/01/10,SBR
,65092706,"Barn Adj, Dog & Partridge Inn, Forest Hill Road, Sowood, Stainland    HX4 9LB",,2050,955.3,04/01/06,SBR
Heath Pharmacy Ltd,65108701,"Pharmacy & Chemist, 96 Free School Lane, Halifax, HX1 2YF",,5300,0,09/01/92,SBR
A1 Domestic Appliance Repairs Ltd,65132704,"Office 1 Britannia Works, Garden Street North, Halifax, HX3 6AE","9 Keswick Close, Siddal, Halifax, HX3 9BP",1900,411.54,10/10/17,SBR
,65516739,"Advertising Right, 195 King Cross Road, Halifax, HX1 3LN",,740,0,12/13/16,EX
,65516777,"207/207A King Cross Road, Halifax, HX1 3JL",,9000,0,09/20/16,SBR
Kaiwen Uk Ltd,65516734,"227/227a King Cross Road, Halifax, HX1 3JL",,6500,0,10/01/16,SBR
Yolo Express Ltd,65516229,"229 King Cross Road, Halifax, HX1 3JL",,8900,0,10/17/16,SBR
,65516243,"243 King Cross Road, Halifax, HX1 3JL",,5700,0,02/05/14,SBR
All Canvas Uk Ltd,65516781,"257 King Cross Road, Halifax, HX1 3JL","257 King Cross Road, Halifax, HX1 2QR",6500,0,02/01/17,SBR
,65516783,"261 King Cross Road, Halifax, HX1 3JL",,7500,0,01/02/16,SBR
,56236704,"R/O 7-10 Town Hall Buildings, Elland, HX5 0EU",,4150,2024.9,01/01/17,SBR
,56244006,"6 Victoria Road, Elland, HX5 0PU",,4200,0,10/03/05,SBR
,56244035,"35 Victoria Road, Elland, HX5 0AB",,3300,0,05/20/11,SBR
,56256702,"New Hall Farm Stables, And Livery, Whitwell Green Lane, Elland               HX5 9PH",,3600,797.57,08/10/17,SBR
W Brown (Halifax) Ltd,64188705,"Stirling Works, 16 Bedford Street, Halifax, HX1 5DL",,2850,0,04/01/90,SBR
The Gun Dog Ltd,64756709,"Sportsman Hotel, 50 Crown Street, Halifax, HX1 1JB",,5100,0,11/30/14,SBR
,65264810,"129 Hanson Lane, Halifax, HX1 4SD",,1925,0,02/06/16,SBR
Halifax Opportunities Trust,65264740,"Workspace Unit 17, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG","Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",5600,53.65,06/02/12,DCR MCR
Scoffers (Yorkshire) Ltd,65264734,"Unit 12, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",,3450,0,06/01/00,SBR
,56092012,"12 Elsinore Avenue, Elland, HX5 0LT",,8200,0,04/01/90,SBR
,56104711,"Crow Bottom, Gas Works Lane, Elland, HX5 9HJ",,7000,3317.53,04/10/14,SBR
Lockside Estates Ltd,56104704,"The Wharf, Gas Works Lane, Elland, HX5 9HH","Lockside Mill, St Martins Road, Marple, Stockport,, SK6 7BZ",5100,0,04/01/90,EX
,56128702,"Unit 6, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",,7900,0,05/05/07,SBR
Rycroft Health Llp,65132703,"Office 2 Britannia Works, Garden Street North, Halifax, HX3 6AE",,1225,0,10/06/16,SBR
Dance 4 All Halifax Ltd,65388705,"2nd Floor, 26 Horton Street, Halifax, HX1 1PU","49 Ashfield Road, Greetland, Halifax, HX4 8HY",5700,0,04/25/16,SBR
,65909023,"23 Hud Hill, Northowram, Halifax, HX3 7LH",,1300,0,11/28/03,SBR
Jc Decaux Uk Ltd,65412711,"Board Nos. 0065/0066/0115, Huddersfield Road, Halifax, HX3 0QA","Rates Administrator, 27 Sale Place, London, W2 1YR",10500,4893,04/01/96,SBR
,65412706,"Punch Bowl Inn, 389 Huddersfield Road, Halifax, HX3 9LJ",,4750,2200.45,04/13/17,ER
Industrial Power & Engineering Ltd,56212724,"Unit 103 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,1025,0,04/01/12,SBR
Warmco Space Heating Ltd,56212725,"Unit 104 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1075,0,04/01/12,EX
Warmco Space Heating Ltd,56212727,"Unit 106 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1250,0,04/01/13,EX
Warmco Space Heating Ltd,56212764,"Unit 302 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",455,0,06/08/12,EX
Warmco Space Heating Ltd,56212747,"Unit 307 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",890,0,01/01/13,EX
Garlock [G B] Ltd,56212767,"Riverside Mills Grd Flr, Saddleworth Road, Elland, HX5 0RY","Ground Floor, Riverside Mills, Saddelworth Road, Elland, HX5 0RY",4900,2283.4,08/08/16,SBR
Viewstone Ltd,56220791,"Office 8, James Street Mills, South Lane, Elland               HX5 0HB","Pellon Lane Saw Mills, Pellon Lane, Pellon, Halifax, HX1 4PX",1600,0,04/01/14,EX
