Organisation Name (A),Department (B),Service Cat Label (C ),Purpose of Spend (D),Expenditure CIPFA Sub Group (E ),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,4004,KILLGERM CHEMICALS LTD,A0001624, 19/10/2017,ENV0283673,21.12,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,4004,KILLGERM CHEMICALS LTD,A0001624, 19/10/2017,ENV0283673,57.55,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,4004,KILLGERM CHEMICALS LTD,A0001624, 19/10/2017,ENV0283673,58.20,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,4004,KILLGERM CHEMICALS LTD,A0001624, 19/10/2017,ENV0283673,98.50,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,4004,KILLGERM CHEMICALS LTD,A0001624, 19/10/2017,ENV0283673,114.21,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,EFM Materials,4004,KILLGERM CHEMICALS LTD,A0001624, 19/10/2017,ENV0283673,187.20,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Protective Clothing,4201,KILLGERM CHEMICALS LTD,A0001624, 19/10/2017,ENV0283673,9.84,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Protective Clothing,4201,KILLGERM CHEMICALS LTD,A0001624, 19/10/2017,ENV0283673,47.20,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,Protective Clothing,4201,KILLGERM CHEMICALS LTD,A0001624, 19/10/2017,ENV0283673,94.40,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,LANLEE SUPPLIES LIMITED,A0001672, 19/10/2017,PCO0283621,257.20,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,4.24,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,6.10,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,9.04,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,9.60,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,12.24,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,16.59,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,41.28,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,45.29,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,45.54,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,52.85,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,52.85,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,63.07,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,65.31,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 05/10/2017,HED0283294,73.68,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED,A0001672, 26/10/2017,PCO0283751,159.06,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,EFM : Other Equipment,4003,LANLEE SUPPLIES LIMITED,A0001672, 19/10/2017,REG0283450,3.80,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH,A0001675, 26/10/2017,PCO0283748,41.44,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,DICK LEIGH,A0001675, 26/10/2017,PCO0283747,59.50,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Search Fees,4404,LANCASHIRE COUNTY COUNCIL,A0001690, 12/10/2017,DAL0283492,418.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,LANCASHIRE COUNTY COUNCIL,A0001690, 12/10/2017,HED0283532,1250.00,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,LANCASHIRE COUNTY COUNCIL,A0001690, 26/10/2017,HMR0283795,879.00,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,LANCASHIRE COUNTY COUNCIL,A0001690, 12/10/2017,HMR0283395,6084.00,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,,Fees Income : Non-VATable,9302,REDACTED - PERSONAL DATA,A0001753, 19/10/2017,PBC0283583,385.00,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,MONK OF COLNE LTD,A0001828, 19/10/2017,HED0283593,2045.75,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,MONK OF COLNE LTD,A0001828, 05/10/2017,HED0283246,3825.04,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 12/10/2017,OPS0283573,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 05/10/2017,OPS0283330,45.00,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (RESCUE) LTD,A0001846, 19/10/2017,OPS0283707,45.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,WATER PLUS LIMITED,A0001986, 12/10/2017,EST0283533,81.51,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,WATER PLUS LIMITED,A0001986, 19/10/2017,EST0283668,51.73,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,WATER PLUS LIMITED,A0001986, 19/10/2017,EST0283666,151.03,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,WATER PLUS LIMITED,A0001986, 19/10/2017,EST0283667,163.97,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,WATER PLUS LIMITED,A0001986, 19/10/2017,EST0283670,454.60,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,WATER PLUS LIMITED,A0001986, 19/10/2017,EST0283669,25.17,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,WATER PLUS LIMITED,A0001986, 26/10/2017,EST0283810,52.92,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,WATER PLUS LIMITED,A0001986, 26/10/2017,EST0283808,35.04,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 26/10/2017,EST0283794,700.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 26/10/2017,EST0283794,200.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS,A0002037, 26/10/2017,EST0283794,800.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,2005,F NUTTER & SONS,A0002037, 26/10/2017,EST0283794,14.40,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : Vandalism Repairs,2005,F NUTTER & SONS,A0002037, 26/10/2017,EST0283794,169.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,F NUTTER & SONS,A0002037, 26/10/2017,EST0283794,500.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,F NUTTER & SONS,A0002037, 26/10/2017,EST0283794,400.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,F NUTTER & SONS,A0002037, 05/10/2017,PCO0283251,120.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,F NUTTER & SONS,A0002037, 05/10/2017,PCO0283251,165.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,2102,F NUTTER & SONS,A0002037, 05/10/2017,PCO0283252,215.00,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,2102,F NUTTER & SONS,A0002037, 05/10/2017,PCO0283252,220.00,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD14,F NUTTER & SONS,A0002037, 05/10/2017,HMR0283268,460.00,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD14,F NUTTER & SONS,A0002037, 05/10/2017,HMR0283268,1250.00,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,OPTION HYGIENE LIMITED,A0002063, 26/10/2017,EST0283792,220.50,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,OPTION HYGIENE LIMITED,A0002063, 12/10/2017,PCO0283473,7.43,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,OPTION HYGIENE LIMITED,A0002063, 12/10/2017,PCO0283473,9.05,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,OPTION HYGIENE LIMITED,A0002063, 12/10/2017,PCO0283473,28.15,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,OPTION HYGIENE LIMITED,A0002063, 12/10/2017,PCO0283473,15.20,N,N/A,N,N/A
