Body Name,ONS Body Code,Service Label,Service Code,Service Division,Service Division Code,Organisational Unit,Expenditure Category,Expenditure Code,CIPFA detailed expenditure type,GLCode,CIPFA detailed expenditure code,Narrative,Date,Transaction Number,Net Amount,Capital and Revenue,SupplierNameEdit,SupplierNo
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,"A,I&A Other",E39,FCS Education Psychology (OSF),Supplies & Services,400,Books,E5603.40010,40010,Psychological Test Materials, 01/03/2013,P2 632002,"£1,118.95",REV,GL Education Group Ltd,603594
The Royal Borough of Kensington and Chelsea,00AW,Housing Services,HOS,Homelessness & Housing Advice,H07,HOS HDG (OSS),Third Party Payments,500,Consultants,H6935.54530,54530,RBKC C.E.E Project - 2012-13 Quarterly 4, 01/03/2013,P2 632006,"£8,154.00",REV,St Mungos,903951
The Royal Borough of Kensington and Chelsea,00AW,Housing Services,HOS,Homelessness & Housing Advice,H07,HOS HDG (OSS),Third Party Payments,500,Consultants,H6935.54530,54530,RBKC C.E.E Project - 2012-13 Non Salary costs Quarterly 3, 01/03/2013,P2 632007,"£1,940.00",REV,St Mungos,903951
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS Concerto Orders (OSC),Premises Expenses,200,Responsive Building Repairs,P1516.21385,21385,CP9721 - We accept your fixed price quotation dated 29th November 2012 for remedial works to the Kit, 01/03/2013,P2 632011,"£4,475.00",REV,ODB Group Ltd,1244601
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Capital Codes,002,COS SPACE Programme (OSC),Capital Code,003,Fees-Heating Engineers,Q3469.00063,00063,"Project management fees re: 1st, ground & basement - January 2013", 01/03/2013,P2 632026,"£7,900.00",CAP,Pellings LLP,600164
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,P&V Supp Accom,S6123.54210,54210,Block Contract Lancaster Rd February 2013, 01/03/2013,P2 632027,"£9,536.66",REV,Yarrow Housing Ltd,602070
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Independent Living Support 5.1.12-1.2.13 *******, 01/03/2013,P2 632028,"£2,374.40",REV,Yarrow Housing Ltd,602070
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Non Budget Book Business Unit,001,COS SIT (OSC),Holding Code,005,Payments,C1088.00306,00306,Translation services, 01/03/2013,P2 632029,£585.00,CAH,Thebigword,1132553
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,P&V Supp Accom,S6125.54210,54210,Block Contract Oxford Gardens February 2013 SD, 01/03/2013,P2 632038,"£8,619.91",REV,Yarrow Housing Ltd,602070
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Traffic Section,YT5,TTS Ken King-Lighting (OSY),Third Party Payments,500,Traffic Schemes,Y7130.55390,55390,OXFORD GARDENS W.10 TEST COLUMNS L001 & L006 IN SECTOR 4, 01/03/2013,P2 632040,£595.00,REV,Electrical Testing Ltd.,945880
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Operations - Cleansing,YW5,ELR Refuse & Cleansing (OSY),Third Party Payments,500,Cleansing Contract-VO's,Y2301.55130,55130,De-icing salt, 01/03/2013,P2 632041,"£1,848.88",REV,Salt Union Ltd,887723
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Non Budget Book Business Unit,001,FCS Central London Connexions (OSF),Transfer Payments,600,Other Costs,Z0002.65070.CTRACKIN,65070,Tracking of 1643 young people, 01/03/2013,P2 632047,"£1,971.60",CAH,Welfare Call (Client Follow Up) Ltd,1087028
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Ladbroke North SWT (OSF),Third Party Payments,500,P & V Fostering,S1735.54005,54005,LAC - Placement cost JAN 12, 01/03/2013,P2 632244,"£5,234.35",REV,Fostering Together Ltd,1271027
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,Management & Support Services,YH1,TTS Operational Support (OSS),Employee Expenses,100,Training Expenses,Y4010.19090.TNGEXEH3,19090,Course, 01/03/2013,P2 632249,£925.00,REV,Serco Ltd,1200359
The Royal Borough of Kensington and Chelsea,00AW,Planning & Borough Development,PBD,Policy And Graphics,P05,PBD Policy (OST),Third Party Payments,500,Contractors Costs,T0210.55170,55170,Graffiti Removal Service - January 2013, 01/03/2013,P2 632250,"£4,631.82",REV,MPM Specialist Solutions Ltd,608057
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,ES Capital Codes,YCC,ELR Parks and Cemeteries (OSY),Capital Code,003,Construction-Main Ctrctrs A/C,X6334.00090.PS000005,00090,supply and fit of new playground equipment in Holland Park sand play area, 01/03/2013,P2 632251,"£10,000.00",CAP,Kompan Ltd,611179
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Schools Strategic Management,E25,FCS Continual Profession Devel (OSF),Third Party Payments,500,Consultants,E2550.54530,54530,Strategic business and marketing consultancy, 01/03/2013,P2 632252,"£1,004.20",REV,Fingerhut Consulting,1296964
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS Concerto Orders (OSC),Premises Expenses,200,PM Electrical,P1311.20070,20070,CP5461 please carry out annual maintenance to the card access system for the Royal Borough of Kensin, 01/03/2013,P2 633486,"£2,167.00",REV,Access Professionals Ltd,1045869
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Capital Codes,002,COS Building Maintenance (OSC),Capital Code,003,Fees-Consultants,F5209.00065,00065,Oxford Gardens Priamry - consultants for upgrade of electricity supply, 01/03/2013,P2 633487,"£1,320.00",CAP,Baily Garner,601898
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,P&V Supp Accom,S6123.54210,54210,Block Contract Abbey House January 2013, 01/03/2013,P2 633509,"£22,539.00",REV,Life Opportunities Trust,602250
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Support Servs/Management,S70,COS Concerto Orders (OSC),Premises Expenses,200,PM Mechanical,S3830.20080,20080,CP10636 - Please carry out a F-gas survey on all A/c units Provide a report on the condition of the, 01/03/2013,P2 633510,£550.00,REV,Air Supply Windsor,611118
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS Concerto Orders (OSC),Premises Expenses,200,PM Mechanical,P1311.20080,20080,CP10637 - Please carry out a F-gas survey of all A/c units in Kensington town hall and the central l, 01/03/2013,P2 633511,£750.00,REV,Air Supply Windsor,611118
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS Concerto Orders (OSC),Premises Expenses,200,PM Mechanical,P1311.20080,20080,CP10467 - Please supply new humidifier bottles for all units Service all humidifier units and instal, 01/03/2013,P2 633513,"£3,824.00",REV,John Hodge Control Services Ltd,611172
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Non Budget Book Business Unit,001,COS Front of House/CRM (OSC),Holding Code,005,Payments,C0518.00306,00306,monthly daily clean and bi monthly window cleaning for various sites for January 2013., 01/03/2013,P2 633516,"£67,244.06",CAH,Enterprise Support Services UK Ltd,611167
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6125.54135,54135,Additional Support 24.12.12-20.1.13 *******, 01/03/2013,P2 633522,"£4,359.18",REV,Yarrow Housing Ltd,602070
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Finance,C01,COS Cashiers (OSC),Premises Expenses,200,Mtce Of Burglar & Fire Alarms,P4613.20260,20260,CCTV maintenance in the Cash Collection Unit for February 2013 to February 2014., 01/03/2013,P2 633528,£813.08,REV,ADT Fire & Security Plc,611824
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Operations - Cleansing,YW5,ELR Refuse & Cleansing (OSY),Third Party Payments,500,Cleansing Contract-VO's,Y2301.55130,55130,De-icing salt, 01/03/2013,P2 633531,"£1,866.96",REV,Salt Union Ltd,887723
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Public Lighting,YT3,TTS Alan Moore-Lighting (OSY),Third Party Payments,500,Traffic Signs û Contract Maint,Y7256.55751,55751,Street Lighting Maintenance 2012/2013, 01/03/2013,P2 633532,"£20,439.36",REV,Eurovia Infrastructure Ltd,949196
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Regulation Street Trading,YW9,COS Concerto Orders (OSC),Supplies & Services,400,Equipment Purchase,Y2402.40080,40080,CP10246 - please supply and install a Daikin split reverse cycle heat pump system No FTXS42J/RXS42J, 01/03/2013,P2 633535,"£2,900.00",REV,Air Supply Windsor,611118
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Learning Disability,S12,ASC Learning Dis Local SWT (OSS),Third Party Payments,500,Supported Living,S6123.54135,54135,Supported Living 1.2.13-28.2.13 *******, 01/03/2013,P2 633541,"£3,282.00",REV,Hillside Housing Support,865996
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,Capital Codes,002,ELR Environmental Strategy (OSY),Capital Code,003,Construction-Main Ctrctrs A/C,X6340.00090,00090,Morgan Road planter, 01/03/2013,P2 633544,"£1,095.00",CAP,Tree Wise Men S.E. Ltd,1160976
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Parks and Open Spaces,YL0,ELR Parks and Cemeteries (OSY),Premises Expenses,200,Grounds Mtce Special Proj,Y2710.20890,20890,nappy bins for Holland Park, 01/03/2013,P2 633546,"£1,348.20",REV,Quadron Services Ltd,774253
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS Building Maintenance (OSC),Premises Expenses,200,Grounds Maintenance General,P1516.20860,20860,Plant maintenance space area, 01/03/2013,P2 633547,£803.70,REV,Quadron Services Ltd,774253
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS Building Maintenance (OSC),Premises Expenses,200,Grounds Maintenance General,P1516.20860,20860,Plant maintenance space area, 01/03/2013,P2 633549,£803.70,REV,Quadron Services Ltd,774253
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,WM&L-Parks and Open Spaces,YL0,ELR Parks and Cemeteries (OSY),Premises Expenses,200,Grounds Mtce Special Proj,Y2710.20890,20890,week day Kyoto Garden attendant in Holland Park, 01/03/2013,P2 633551,£956.38,REV,Quadron Services Ltd,774253
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Non Budget Book Business Unit,001,COS Recruitment (OSC),Holding Code,005,Payments,C1701.00306,00306,Safeguarding Checks, 01/03/2013,P2 633554,"£7,224.00",CAH,Disclosure & Barring Service,642457
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Information Systems,C02,COS ISD Development (OSC),Supplies & Services,400,Computer Software Purchase,P4821.43050,43050,Renewal of Timemaster support and maintenance contract for the period 13/03/2013 to 12/03/2014, 07/03/2013,P2 633556,"£1,528.48",REV,Orica Software Systems Ltd,642188
The Royal Borough of Kensington and Chelsea,00AW,"Envrmt,Leisure & Residents Svc",ELR,Non Budget Book Business Unit,001,ELR OHP General (OSY),Balance Sheet Code,002,Expenditure,B8147.02626,02626,******* designer fee 1, 01/03/2013,P2 633586,"£2,250.00",CAB,Loesje Sanders Ltd,649733
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Ladbroke North SWT (OSF),Third Party Payments,500,P & V Fostering,S1735.54005,54005,Placement cost, 01/03/2013,P2 633599,"£3,556.01",REV,Core Assets Fostering Ltd,636088
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Human Resources,C04,COS HR Directorate (OSC),Third Party Payments,500,Consultants,P4414.54530,54530,Occupational Heal Services, 01/03/2013,P2 633600,"£2,400.00",REV,O H Practice Ltd,1296549
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,YouthSupport&Development Ser,E07,FCS RBKC Connexions (OSF),Supplies & Services,400,Events,E6281.45340,45340,Residential full board basis for Princes Trust, 01/03/2013,P2 633601,"£1,057.50",REV,Marwell Activity Centre,1301934
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Human Resources,C04,COS HR Directorate (OSC),Third Party Payments,500,Consultants,P4414.54530,54530,Physiotherapy Service, 01/03/2013,P2 633602,"£1,584.00",REV,Anatomie Healthcare Ltd,1297100
The Royal Borough of Kensington and Chelsea,00AW,Housing Services,HOS,Homelessness & Housing Advice,H07,HOS Temp Accommodation (OSS),Third Party Payments,500,Medical Fees,H6400.54525,54525,fees for medical advice January 2013, 04/03/2013,P2 633603,"£1,140.00",REV,NowMedical,1001939
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Schools Strategic Management,E25,FCS Continual Profession Devel (OSF),Third Party Payments,500,Consultants,E2550.54530,54530,"Head of Commissioning, Vulnerable Children", 01/03/2013,P2 633604,"£8,535.00",REV,Chris Aston Ltd,1258910
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children's Centres,E22,FCS Clare Gardens Centre (OSF),Supplies & Services,400,Equipment Purchase,S2132.40080,40080,Stationary and equipment for children's centre, 01/03/2013,P2 633606,"£1,121.34",REV,Rahmqvist Uk Ltd/Avico Division,605264
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Children's Centres,E22,FCS Clare Gardens Centre (OSF),Supplies & Services,400,Equipment Purchase,S2132.40080,40080,Furniture for the Children's Centre, 01/03/2013,P2 633608,£518.00,REV,Community Products (UK) Ltd,603393
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Ladbroke North SWT (OSF),Third Party Payments,500,P & V Fostering,S1735.54005,54005,LAC PLACEMENT COST FOR FEB 13, 01/03/2013,P2 633609,"£4,396.00",REV,Integrated Services Programme,604978
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Ladbroke North SWT (OSF),Third Party Payments,500,P & V Fostering,S1735.54005,54005,LAC PLACEMENT COST FOR FEB 13, 01/03/2013,P2 633610,"£4,396.00",REV,Integrated Services Programme,604978
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Ladbroke North SWT (OSF),Third Party Payments,500,P & V Fostering,S1735.54005,54005,LAC -Placement fees feb 13, 01/03/2013,P2 633611,"£4,396.00",REV,Integrated Services Programme,604978
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,ES Capital Codes,YCC,TTS Exhibition Road (OSY),Capital Code,003,Fees-Consultants,X5126.00065,00065,Exhibition Road Consultancy Services, 01/03/2013,P2 633705,"£2,380.00",CAP,Chris Hamshar Projects & Management Ltd,1176390
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Non Budget Book Business Unit,001,COS Risk Management & Insuranc (OSC),Holding Code,005,Insurance,C1448.00628,00628,"83ILE000001, ******* v RBKC", 01/03/2013,P2 633706,"£3,215.00",CAH,Watmores Solicitors,1016532
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS Front of House/CRM (OSC),Third Party Payments,500,Catering Contract Costs,P2407.55040,55040,PDC kitchen staff, 01/03/2013,P2 633715,"£8,221.41",REV,The Brookwood Partnership Ltd,951787
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,YouthSupport&Development Ser,E07,FCS Youth Participation (OSF),Supplies & Services,400,Programme Activities,E6244.45345,45345,Debating training day, 01/03/2013,P2 633737,"£1,500.00",REV,Payment to an individual or sole trader,1168157
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,YouthSupport&Development Ser,E07,FCS Youth Participation (OSF),Third Party Payments,500,One Off GrantsTo Vol Orgs,E6244.53001,53001,youth grant, 01/03/2013,P2 633741,"£1,000.00",REV,MCWG,1283540
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Capital Codes,002,COS Building Maintenance (OSC),Capital Code,003,Fees-Consultants,F5188.00065,00065,Bousfield Road School - roof replacement consultants fees, 01/03/2013,P2 633754,"£1,312.50",CAP,Pellings LLP,600164
The Royal Borough of Kensington and Chelsea,00AW,Housing Services,HOS,Homelessness & Housing Advice,H07,HOS Temp Accommodation (OSS),Third Party Payments,500,B&B Accomm-Statutory Homeless,H6400.54711,54711,"B&B charges 01-31/01/2013, plus VAT", 06/03/2013,P2 633758,"£5,342.00",REV,Ferndell Ltd,602671
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Pupil Referral Unit,E29,FCS Pupil Support Service (OSF),Supplies & Services,400,Courses-Pupils,E5606.42205,42205,AP Learning support, 01/03/2013,P2 633760,"£3,346.06",REV,EHWLC,988347
The Royal Borough of Kensington and Chelsea,00AW,Public Health,PHL,Other Adults,S15,ASC Substance Use SWT (OSS),Third Party Payments,500,Payments To Vol Orgs,S5395.53000,53000,GP Shared Care, 01/03/2013,P2 633773,£800.00,REV,At Medics Ltd,1148886
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,YouthSupport&Development Ser,E07,FCS Health (OSF),Employee Expenses,100,Training Expenses,E7128.19090,19090,staff training and development, 06/03/2013,P2 633775,"£5,000.00",REV,Kensington Close Hotel,976693
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,YouthSupport&Development Ser,E07,FCS Health (OSF),Employee Expenses,100,Training Expenses,E7128.19090,19090,staff training and development, 06/03/2013,P2 633776,"£5,000.00",REV,Kensington Close Hotel,976693
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Pupil Referral Unit,E29,FCS Pupil Support Service (OSF),Employee Expenses,100,Salaries-Teacher Assistants,E5606.13081,13081,TA Support, 01/03/2013,P2 633777,£696.00,REV,St Thomas More Language College,1111167
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,"A,I&A Other",E39,FCS Pupil Support Service (OSF),Employee Expenses,100,Agency Staff-Support Services,E5613.12100,12100,AP Agency staff, 01/03/2013,P2 633778,£900.00,REV,Payment to an individual or sole trader,1284695
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Civic Ceremonial,C19,COS Civic Ceremonial (OSC),Employee Expenses,100,Training-Members,P2501.19115,19115,Council Supper on Wednesday 23rd January, 01/03/2013,P2 633782,£985.00,REV,CBGF Ltd,1277060
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Civic Ceremonial,C19,COS Civic Ceremonial (OSC),Supplies & Services,400,Mayoral Expenses,P2501.43800,43800,Farewell dinner for ******* in the Mayor's Parlour 16/01/13, 01/03/2013,P2 633783,"£1,527.60",REV,CBGF Ltd,1277060
The Royal Borough of Kensington and Chelsea,00AW,Public Health,PHL,Other Adults,S15,ASC Substance Use SWT (OSS),Third Party Payments,500,Substance Misuse-Day Care,S5395.54025,54025,Day Services - Day programme, 01/03/2013,P2 633791,£707.63,REV,Seventy4 Foundation,602446
The Royal Borough of Kensington and Chelsea,00AW,Public Health,PHL,Other Adults,S15,ASC Substance Use SWT (OSS),Third Party Payments,500,Substance Misuse-Day Care,S5395.54025,54025,Day Services - Day programme, 01/03/2013,P2 633796,£900.62,REV,Seventy4 Foundation,602446
The Royal Borough of Kensington and Chelsea,00AW,Public Health,PHL,Other Adults,S15,ASC Substance Use SWT (OSS),Third Party Payments,500,Substance Misuse-Day Care,S5395.54025,54025,Day Services - Day programme, 01/03/2013,P2 633797,£900.62,REV,Seventy4 Foundation,602446
The Royal Borough of Kensington and Chelsea,00AW,Public Health,PHL,Other Adults,S15,ASC Substance Use SWT (OSS),Third Party Payments,500,Substance Misuse-Day Care,S5395.54025,54025,Day Services - Day programme, 01/03/2013,P2 633798,£836.29,REV,Seventy4 Foundation,602446
The Royal Borough of Kensington and Chelsea,00AW,Public Health,PHL,Other Adults,S15,ASC Substance Use SWT (OSS),Third Party Payments,500,Substance Misuse-Day Care,S5395.54025,54025,Day Services - Day programme, 01/03/2013,P2 633800,£836.29,REV,Seventy4 Foundation,602446
The Royal Borough of Kensington and Chelsea,00AW,Public Health,PHL,Other Adults,S15,ASC Substance Use SWT (OSS),Third Party Payments,500,Substance Misuse-Day Care,S5395.54025,54025,Day Services - Day programme, 01/03/2013,P2 633801,£900.62,REV,Seventy4 Foundation,602446
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,YouthSupport&Development Ser,E07,FCS Sports Development (OSF),Supplies & Services,400,Equipment Purchase,E7197.40080,40080,Funding for *******, 01/03/2013,P2 633847,£900.00,REV,London Sports Trust,1283877
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,Placements & Recoupment,E27,FCS SEN (OSF),Third Party Payments,500,Independent Schools,E5001.58010.SALTERT,58010,SEN School fees spring term 2013, 01/03/2013,P2 633870,"£7,883.33",REV,L V S Hassocks,1214708
The Royal Borough of Kensington and Chelsea,00AW,Transport & Technical Srvcs,TTS,T&H-Transportation & Rd Safety,YT6,TTS TAPs and LSSs (OSY),Supplies & Services,400,Initiatives,Y7123.45370.CN12013,45370,Manufacture and installation of Legible London Signs in the Kings Road area, 01/03/2013,P2 633877,"£5,414.76",REV,Trueform Engineering Ltd,1233919
The Royal Borough of Kensington and Chelsea,00AW,Adult Social Care,ASC,Older People,S10,ASC E Monitoring Team (OSS),Supplies & Services,400,Telephone Charges-Calls,S3009.43330,43330,EZITRACKER CALLS, 01/03/2013,P2 634358,"£1,619.50",REV,Panztel (UK) Ltd,1155827
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Non Budget Book Business Unit,001,COS ISD Training (OSC),Holding Code,005,Telephone Charges,C1068.00660,00660,Network Team Transaction, 01/03/2013,P2 634400,£536.45,CAH,Colt Technology Services,604273
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Property Services,C11,COS FM Energy (OSC),#N/A,#N/A,,P0513.54505.MECM0001,,Bureau service Jan 2012, 01/03/2013,P2 634407,"£1,634.51",REV,TEAM (Energy Auditing Agency Ltd),937873
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Information Systems,C02,COS ISD Training (OSC),Supplies & Services,400,Internet Charges,P4826.43250,43250,Network Team Transaction, 01/03/2013,P2 634416,"£19,585.00",REV,London Grid for Learning Trust,609192
The Royal Borough of Kensington and Chelsea,00AW,Corporate Services,COS,Information Systems,C02,COS ISD Network and Telecomms (OSC),Supplies & Services,400,Internet Charges,P4826.43250,43250,LGFL Order, 01/03/2013,P2 634417,"£24,611.67",REV,London Grid for Learning Trust,609192
The Royal Borough of Kensington and Chelsea,00AW,Children's Services,CHS,LAC and Leaving Care,E18,FCS Ladbroke South SWT (OSF),Third Party Payments,500,P & V Fostering,S1742.54005,54005,PLACEMENT COST FEB 12, 01/03/2013,P2 634423,"£4,396.00",REV,Integrated Services Programme,604978
