Election year,Area Code,Constituency,Candidate name,Party abbreviation,Party,Candidate Votes,Candidate rank,Share of vote,Total constituency votes,Winning party,Majority,Electorate,% Turnout,% Majority,Gain/Hold
2015,A24,Bermondsey and Old Southwark,Lucy Hall,Ind,Independent,72,7,0.1,,,,,,,
2015,A24,Bermondsey and Old Southwark,Donald Cole,APP,All People's Party,59,8,0.1,,,,,,,
2015,A24,Bermondsey and Old Southwark,Steve Freeman,RS,Republican Socialist,20,9,0.0,,,,,,,
2015,A26,Bethnal Green and Bow,Rushanara Ali,Lab,Labour,"32,387",1,61.2,"52,924",Lab,"24,317","82,823",63.9,45.9,LAB HOLD
2015,A26,Bethnal Green and Bow,Matt Smith,Cons,Conservative,"8,070",2,15.2,,,,,,,
2015,A26,Bethnal Green and Bow,Alistair Polson,Green,Green,"4,906",3,9.3,,,,,,,
2015,A26,Bethnal Green and Bow,Paula McQueen,UKIP,UK Independence Party,"3,219",4,6.1,,,,,,,
2015,A26,Bethnal Green and Bow,Teena Lashmore,LibDem,Liberal Democrat,"2,395",5,4.5,,,,,,,
2015,A26,Bethnal Green and Bow,Glyn Robbins,TUSC,Trade Unionist and Socialist Coalition,949,6,1.8,,,,,,,
2015,A26,Bethnal Green and Bow,M Rowshan Ali,CUP,Communities United Party,356,7,0.7,,,,,,,
2015,A26,Bethnal Green and Bow,Jonathan Dewey,CSTA,Cannabis is Safer than Alcohol,303,8,0.6,,,,,,,
2015,A26,Bethnal Green and Bow,Alasdair Henderson,WP,Whig Party,203,9,0.4,,,,,,,
2015,A26,Bethnal Green and Bow,Elliot Ball,30-50,The 30-50 Coalition,78,10,0.1,,,,,,,
2015,A26,Bethnal Green and Bow,Jason Pavlou,RFAC,Red Flag Anti-Corruption,58,11,0.1,,,,,,,
2015,A29,Bexleyheath and Crayford,David Evennett,Cons,Conservative,"20,643",1,47.3,"43,685",Cons,"9,192","64,815",67.4,21,CON HOLD
2015,A29,Bexleyheath and Crayford,Stef Borella,Lab,Labour,"11,451",2,26.2,,,,,,,
2015,A29,Bexleyheath and Crayford,Chris Attard,UKIP,UK Independence Party,"9,182",3,21.0,,,,,,,
2015,A29,Bexleyheath and Crayford,Richard Davis,LibDem,Liberal Democrat,"1,308",4,3.0,,,,,,,
2015,A29,Bexleyheath and Crayford,Stella Gardiner,Green,Green,950,5,2.2,,,,,,,
2015,A29,Bexleyheath and Crayford,Maggi Young,ED,English Democrats,151,6,0.3,,,,,,,
2015,A62,Brent Central,Dawn Butler,Lab,Labour,"29,216",1,62.1,"47,032",Lab,"19,649","76,976",61.1,41.8,LAB GAIN FROM LIB DEM
2015,A62,Brent Central,Alan Mendoza,Cons,Conservative,"9,567",2,20.3,,,,,,,
2015,A62,Brent Central,Lauren Keith,LibDem,Liberal Democrat,"3,937",3,8.4,,,,,,,
2015,A62,Brent Central,Shahrar Ali,Green,Green,"1,912",4,4.1,,,,,,,
2015,A62,Brent Central,Stephen Priestley,UKIP,UK Independence Party,"1,850",5,3.9,,,,,,,
2015,A62,Brent Central,John Boyle,TUSC,Trade Unionist and Socialist Coalition,235,6,0.5,,,,,,,
2015,A62,Brent Central,Kamran Malik,CUP,Communities United Party,170,7,0.4,,,,,,,
2015,A62,Brent Central,Noel Coonan,Ind,Independent,145,8,0.3,,,,,,,
2015,A63,Brent North,Barry Gardiner,Lab,Labour,"28,351",1,54.3,"52,235",Lab,"10,834","82,260",63.5,20.7,LAB HOLD
2015,A63,Brent North,Luke Parker,Cons,Conservative,"17,517",2,33.5,,,,,,,
2015,A63,Brent North,Paul Lorber,LibDem,Liberal Democrat,"2,607",3,5.0,,,,,,,
2015,A63,Brent North,Alan Craig,UKIP,UK Independence Party,"2,024",4,3.9,,,,,,,
2015,A63,Brent North,Scott Bartle,Green,Green,"1,539",5,2.9,,,,,,,
2015,A63,Brent North,Elcena Jeffers,Ind,Independent,197,6,0.4,,,,,,,
2015,A64,Brentford and Isleworth,Ruth Cadbury,Lab,Labour,"25,096",1,43.8,"57,355",Lab,465,"84,594",67.8,0.8,LAB GAIN FROM CON
2015,A64,Brentford and Isleworth,Mary Macleod,Cons,Conservative,"24,631",2,42.9,,,,,,,
2015,A64,Brentford and Isleworth,Richard Hendron,UKIP,UK Independence Party,"3,203",3,5.6,,,,,,,
2015,A64,Brentford and Isleworth,Joe Bourke,LibDem,Liberal Democrat,"2,305",4,4.0,,,,,,,
2015,A64,Brentford and Isleworth,Daniel Goldsmith,Green,Green,"2,120",5,3.7,,,,,,,
2015,A75,Bromley and Chislehurst,Bob Neill,Cons,Conservative,"23,343",1,53.0,"44,066",Cons,"13,564","65,477",67.3,30.8,CON HOLD
2015,A75,Bromley and Chislehurst,John Courtneidge,Lab,Labour,"9,779",2,22.2,,,,,,,
2015,A75,Bromley and Chislehurst,Emmett Jenner,UKIP,UK Independence Party,"6,285",3,14.3,,,,,,,
2015,A75,Bromley and Chislehurst,Sam Webber,LibDem,Liberal Democrat,"2,836",4,6.4,,,,,,,
2015,A75,Bromley and Chislehurst,Roisin Robertson,Green,Green,"1,823",5,4.1,,,,,,,
2015,A86,Camberwell and Peckham,Harriet Harman,Lab,Labour,"32,614",1,63.3,"51,561",Lab,"25,824","80,564",64,50.1,LAB HOLD
2015,A86,Camberwell and Peckham,Naomi Newstead,Cons,Conservative,"6,790",2,13.2,,,,,,,
2015,A86,Camberwell and Peckham,Amelia Womack,Green,Green,"5,187",3,10.1,,,,,,,
2015,A86,Camberwell and Peckham,Yahaya Kiingi,LibDem,Liberal Democrat,"2,580",4,5.0,,,,,,,
2015,A86,Camberwell and Peckham,David Kurten,UKIP,UK Independence Party,"2,413",5,4.7,,,,,,,
2015,A86,Camberwell and Peckham,Prem Goyal,APP,All People's Party,829,6,1.6,,,,,,,
2015,A86,Camberwell and Peckham,Rebecca Fox,NHAP,National Health Action Party,466,7,0.9,,,,,,,
2015,A86,Camberwell and Peckham,Nick Wrack,TUSC,Trade Unionist and Socialist Coalition,292,8,0.6,,,,,,,
2015,A86,Camberwell and Peckham,Alex Robertson,CSTA,Cannabis is Safer than Alcohol,197,9,0.4,,,,,,,
2015,A86,Camberwell and Peckham,Joshua Ogunleye,WRP,Workers' Revolutionary Party,107,10,0.2,,,,,,,
2015,A86,Camberwell and Peckham,Felicity Anscomb,WP,Whig Party,86,11,0.2,,,,,,,
2015,A92,Carshalton and Wallington,Tom Brake,LibDem,Liberal Democrat,"16,603",1,34.9,"47,613",LibDem,"1,510","69,916",68.1,3.2,LIB DEM HOLD
2015,A92,Carshalton and Wallington,Matthew Maxwell Scott,Cons,Conservative,"15,093",2,31.7,,,,,,,
2015,A92,Carshalton and Wallington,Siobhan Tate,Lab,Labour,"7,150",3,15.0,,,,,,,
2015,A92,Carshalton and Wallington,Bill Main-Ian,UKIP,UK Independence Party,"7,049",4,14.8,,,,,,,
2015,A92,Carshalton and Wallington,Ross Hemingway,Green,Green,"1,492",5,3.1,,,,,,,
2015,A92,Carshalton and Wallington,Ashley Dickenson,CPA,Christian Peoples Alliance,177,6,0.4,,,,,,,
2015,A92,Carshalton and Wallington,Richard Edmonds,NF,National Front,49,7,0.1,,,,,,,
2015,B01,Chelsea and Fulham,Greg Hands,Cons,Conservative,"25,322",1,62.9,"40,226",Cons,"16,022","63,448",63.4,39.8,CON HOLD
2015,B01,Chelsea and Fulham,Alexandra Sanderson,Lab,Labour,"9,300",2,23.1,,,,,,,
2015,B01,Chelsea and Fulham,Simon Bailey,LibDem,Liberal Democrat,"2,091",3,5.2,,,,,,,
2015,B01,Chelsea and Fulham,Adrian Noble,UKIP,UK Independence Party,"2,039",4,5.1,,,,,,,
2015,B01,Chelsea and Fulham,Guy Rubin,Green,Green,"1,474",5,3.7,,,,,,,
2015,B06,Chingford and Woodford Green,Iain Duncan Smith,Cons,Conservative,"20,999",1,47.9,"43,804",Cons,"8,386","66,673",65.7,19.1,CON HOLD
2015,B06,Chingford and Woodford Green,Bilal Mahmood,Lab,Labour,"12,613",2,28.8,,,,,,,
2015,B06,Chingford and Woodford Green,Freddy Vachha,UKIP,UK Independence Party,"5,644",3,12.9,,,,,,,
2015,B06,Chingford and Woodford Green,Anne Crook,LibDem,Liberal Democrat,"2,400",4,5.5,,,,,,,
2015,B06,Chingford and Woodford Green,Rebecca Tully,Green,Green,"1,854",5,4.2,,,,,,,
2015,B06,Chingford and Woodford Green,Len Hockey,TUSC,Trade Unionist and Socialist Coalition,241,6,0.6,,,,,,,
2015,B06,Chingford and Woodford Green,Lisa McKenzie,CW,Class War,53,7,0.1,,,,,,,
2015,B08,Chipping Barnet,Theresa Villiers,Cons,Conservative,"25,759",1,48.6,"53,013",Cons,"7,656","77,846",68.1,14.4,CON HOLD
2015,B08,Chipping Barnet,Amy Trevethan,Lab,Labour,"18,103",2,34.1,,,,,,,
2015,B08,Chipping Barnet,Victor Kaye,UKIP,UK Independence Party,"4,151",3,7.8,,,,,,,
2015,B08,Chipping Barnet,AM Poppy,Green,Green,"2,501",4,4.7,,,,,,,
2015,B08,Chipping Barnet,Marisha Ray,LibDem,Liberal Democrat,"2,381",5,4.5,,,,,,,
2015,B08,Chipping Barnet,Mehdi Akhavan,Ind,Independent,118,6,0.2,,,,,,,
2015,B11,Cities of London and Westminster,Mark Field,Cons,Conservative,"19,570",1,54.1,"36,185",Cons,"9,671","61,020",59.3,26.7,CON HOLD
2015,B11,Cities of London and Westminster,Nik Slingsby,Lab,Labour,"9,899",2,27.4,,,,,,,
2015,B11,Cities of London and Westminster,Belinda Brooks-Gordon,LibDem,Liberal Democrat,"2,521",3,7.0,,,,,,,
2015,B11,Cities of London and Westminster,Hugh Small,Green,Green,"1,953",4,5.4,,,,,,,
2015,B11,Cities of London and Westminster,Robert Stephenson,UKIP,UK Independence Party,"1,894",5,5.2,,,,,,,
2015,B11,Cities of London and Westminster,Edouard-Henri Desforges,CSTA,Cannabis is Safer than Alcohol,160,6,0.4,,,,,,,
2015,B11,Cities of London and Westminster,Jill McLachlan,CPA,Christian Peoples Alliance,129,7,0.4,,,,,,,
2015,B11,Cities of London and Westminster,Adam Clifford,CW,Class War,59,8,0.2,,,,,,,
2015,B26,Croydon Central,Gavin Barwell,Cons,Conservative,"22,753",1,43.0,"52,941",Cons,165,"78,199",67.7,0.3,CON HOLD
2015,B26,Croydon Central,Sarah Jones,Lab,Labour,"22,588",2,42.7,,,,,,,
2015,B26,Croydon Central,Peter Staveley,UKIP,UK Independence Party,"4,810",3,9.1,,,,,,,
2015,B26,Croydon Central,Esther Sutton,Green,Green,"1,454",4,2.7,,,,,,,
2015,B26,Croydon Central,James Robert Fearnley,LibDem,Liberal Democrat,"1,152",5,2.2,,,,,,,
2015,B26,Croydon Central,April Ashley,TUSC,Trade Unionist and Socialist Coalition,127,6,0.2,,,,,,,
2015,B26,Croydon Central,Martin Camden,UKPD,The UK Progressive Democracy Party,57,7,0.1,,,,,,,
2015,B27,Croydon North,Steve Reed,Lab,Labour,"33,513",1,62.6,"53,522",Lab,"21,364","85,910",62.3,39.9,LAB HOLD
2015,B27,Croydon North,Vidhi Mohan,Cons,Conservative,"12,149",2,22.7,,,,,,,
2015,B27,Croydon North,Winston McKenzie,UKIP,UK Independence Party,"2,899",3,5.4,,,,,,,
2015,B27,Croydon North,Shasha Khan,Green,Green,"2,515",4,4.7,,,,,,,
2015,B27,Croydon North,Joanna Corbin,LibDem,Liberal Democrat,"1,919",5,3.6,,,,,,,
2015,B27,Croydon North,Glen Hart,TUSC,Trade Unionist and Socialist Coalition,261,6,0.5,,,,,,,
2015,B27,Croydon North,Lee Berks,Ind,Independent,141,7,0.3,,,,,,,
2015,B27,Croydon North,Ben Stevenson,Comm,Communist Party,125,8,0.2,,,,,,,
2015,B28,Croydon South,Chris Philp,Cons,Conservative,"31,448",1,54.5,"57,712",Cons,"17,140","81,977",70.4,29.7,CON HOLD
2015,B28,Croydon South,Emily Benn,Lab,Labour,"14,308",2,24.8,,,,,,,
2015,B28,Croydon South,Kathleen Garner,UKIP,UK Independence Party,"6,068",3,10.5,,,,,,,
2015,B28,Croydon South,Gill Hickson,LibDem,Liberal Democrat,"3,448",4,6.0,,,,,,,
2015,B28,Croydon South,Peter Underwood,Green,Green,"2,154",5,3.7,,,,,,,
2015,B28,Croydon South,Mark Samuel,PCF,Putting Croydon First!,221,6,0.4,,,,,,,
2015,B28,Croydon South,Jon Bigger,CW,Class War,65,7,0.1,,,,,,,
2015,B29,Dagenham and Rainham,Jon Cruddas,Lab,Labour,"17,830",1,41.5,"43,015",Lab,"5,015","69,045",62.3,11.7,LAB HOLD
2015,B29,Dagenham and Rainham,Peter Harris,UKIP,UK Independence Party,"12,815",2,29.8,,,,,,,
2015,B29,Dagenham and Rainham,Julie Marson,Cons,Conservative,"10,492",3,24.4,,,,,,,
2015,B29,Dagenham and Rainham,Kate Simpson,Green,Green,806,4,1.9,,,,,,,
2015,B29,Dagenham and Rainham,Denise Capstick,LibDem,Liberal Democrat,717,5,1.7,,,,,,,
2015,B29,Dagenham and Rainham,Tess Culnane,BNP,British National Party,151,6,0.4,,,,,,,
2015,B29,Dagenham and Rainham,Terry London,Ind,Independent,133,7,0.3,,,,,,,
2015,B29,Dagenham and Rainham,Kim Gandy,ED,English Democrats,71,8,0.2,,,,,,,
2015,B45,Dulwich and West Norwood,Helen Hayes,Lab,Labour,"27,772",1,54.1,"51,362",Lab,"16,122","75,201",68.3,31.4,LAB HOLD
2015,B45,Dulwich and West Norwood,Resham Kotecha,Cons,Conservative,"11,650",2,22.7,,,,,,,
2015,B45,Dulwich and West Norwood,James Barber,LibDem,Liberal Democrat,"5,055",3,9.8,,,,,,,
2015,B45,Dulwich and West Norwood,Rashid Nix,Green,Green,"4,844",4,9.4,,,,,,,
2015,B45,Dulwich and West Norwood,Rathy Alagaratnam,UKIP,UK Independence Party,"1,606",5,3.1,,,,,,,
2015,B45,Dulwich and West Norwood,Steve Nally,TUSC,Trade Unionist and Socialist Coalition,248,6,0.5,,,,,,,
2015,B45,Dulwich and West Norwood,David Lambert,Ind,Independent,125,7,0.2,,,,,,,
2015,B45,Dulwich and West Norwood,Amadu Kanumansa,APP,All People's Party,62,8,0.1,,,,,,,
2015,B46,Ealing Central and Acton,Rupa Huq,Lab,Labour,"22,002",1,43.2,"50,894",Lab,274,"71,280",71.4,0.5,LAB GAIN FROM CON
2015,B46,Ealing Central and Acton,Angie Bray,Cons,Conservative,"21,728",2,42.7,,,,,,,
2015,B46,Ealing Central and Acton,Jon Ball,LibDem,Liberal Democrat,"3,106",3,6.1,,,,,,,
2015,B46,Ealing Central and Acton,Peter Florence,UKIP,UK Independence Party,"1,926",4,3.8,,,,,,,
2015,B46,Ealing Central and Acton,Tom Sharman,Green,Green,"1,841",5,3.6,,,,,,,
2015,B46,Ealing Central and Acton,Jonathan Notley,Ind,Independent,125,6,0.2,,,,,,,
2015,B46,Ealing Central and Acton,Scott Dore,WRP,Workers' Revolutionary Party,73,7,0.1,,,,,,,
2015,B46,Ealing Central and Acton,Tammy Rendle,ABP,Above and Beyond Party,54,8,0.1,,,,,,,
2015,B46,Ealing Central and Acton,Andrzej Rygielski,EP,Europeans Party,39,9,0.1,,,,,,,
2015,B47,Ealing North,Stephen Pound,Lab,Labour,"26,745",1,55.1,"48,510",Lab,"12,326","73,836",65.7,25.4,LAB HOLD
2015,B47,Ealing North,Thomas O'Malley,Cons,Conservative,"14,419",2,29.7,,,,,,,
2015,B47,Ealing North,Afzal Akram,UKIP,UK Independence Party,"3,922",3,8.1,,,,,,,
2015,B47,Ealing North,Meena Hans,Green,Green,"1,635",4,3.4,,,,,,,
2015,B47,Ealing North,Kevin McNamara,LibDem,Liberal Democrat,"1,575",5,3.2,,,,,,,
2015,B47,Ealing North,David Hofman,TUSC,Trade Unionist and Socialist Coalition,214,6,0.4,,,,,,,
2015,B48,"Ealing, Southall",Virendra Sharma,Lab,Labour,"28,147",1,65.0,"43,321",Lab,"18,760","65,539",66.1,43.3,LAB HOLD
2015,B48,"Ealing, Southall",James Symes,Cons,Conservative,"9,387",2,21.7,,,,,,,
2015,B48,"Ealing, Southall",Jaspreet Mahal,Green,Green,"2,007",3,4.6,,,,,,,
2015,B48,"Ealing, Southall",John Poynton,UKIP,UK Independence Party,"1,769",4,4.1,,,,,,,
2015,B48,"Ealing, Southall",Kavya Kaushik,LibDem,Liberal Democrat,"1,550",5,3.6,,,,,,,
2015,B48,"Ealing, Southall",Jagdeesh Singh,NLP,National Liberal Party,461,6,1.1,,,,,,,
2015,B51,East Ham,Stephen Timms,Lab,Labour,"40,563",1,77.6,"52,290",Lab,"34,252","87,442",59.8,65.5,LAB HOLD
2015,B51,East Ham,Samir Jassal,Cons,Conservative,"6,311",2,12.1,,,,,,,
2015,B51,East Ham,Daniel Oxley,UKIP,UK Independence Party,"2,622",3,5.0,,,,,,,
2015,B51,East Ham,Tamsin Omond,Green,Green,"1,299",4,2.5,,,,,,,
2015,B51,East Ham,David Thorpe,LibDem,Liberal Democrat,856,5,1.6,,,,,,,
2015,B51,East Ham,Mohammed Aslam,CUP,Communities United Party,409,6,0.8,,,,,,,
2015,B51,East Ham,Lois Austin,TUSC,Trade Unionist and Socialist Coalition,230,7,0.4,,,,,,,
2015,B59,Edmonton,Kate Osamor,Lab,Labour,"25,388",1,61.4,"41,338",Lab,"15,419","66,035",62.6,37.3,LAB HOLD
2015,B59,Edmonton,Gonul Daniels,Cons,Conservative,"9,969",2,24.1,,,,,,,
2015,B59,Edmonton,Neville Watson,UKIP,UK Independence Party,"3,366",3,8.1,,,,,,,
2015,B59,Edmonton,Douglas Coker,Green,Green,"1,358",4,3.3,,,,,,,
2015,B59,Edmonton,David Schmitz,LibDem,Liberal Democrat,897,5,2.2,,,,,,,
2015,B59,Edmonton,Lewis Peacock,TUSC,Trade Unionist and Socialist Coalition,360,6,0.9,,,,,,,
2015,B62,Eltham,Clive Efford,Lab,Labour,"18,393",1,42.6,"43,157",Lab,"2,693","64,031",67.4,6.2,LAB HOLD
2015,B62,Eltham,Spencer Drury,Cons,Conservative,"15,700",2,36.4,,,,,,,
2015,B62,Eltham,Peter Whittle,UKIP,UK Independence Party,"6,481",3,15.0,,,,,,,
2015,B62,Eltham,Alex Cunliffe,LibDem,Liberal Democrat,"1,308",4,3.0,,,,,,,
2015,B62,Eltham,James Parker,Green,Green,"1,275",5,3.0,,,,,,,
2015,B63,Enfield North,Joan Ryan,Lab,Labour,"20,172",1,43.7,"46,137",Lab,"1,086","68,149",67.7,2.4,LAB GAIN FROM CON
2015,B63,Enfield North,Nick de Bois,Cons,Conservative,"19,086",2,41.4,,,,,,,
2015,B63,Enfield North,Deborah Cairns,UKIP,UK Independence Party,"4,133",3,9.0,,,,,,,
2015,B63,Enfield North,David Flint,Green,Green,"1,303",4,2.8,,,,,,,
2015,B63,Enfield North,Cara Jenkinson,LibDem,Liberal Democrat,"1,059",5,2.3,,,,,,,
2015,B63,Enfield North,Yemi Awolola,CPA,Christian Peoples Alliance,207,6,0.4,,,,,,,
2015,B63,Enfield North,Joe Simpson,TUSC,Trade Unionist and Socialist Coalition,177,7,0.4,,,,,,,
2015,B64,"Enfield, Southgate",David Burrowes,Cons,Conservative,"22,624",1,49.4,"45,812",Cons,"4,753","64,982",70.5,10.4,CON HOLD
2015,B64,"Enfield, Southgate",Bambos Charalambous,Lab,Labour,"17,871",2,39.0,,,,,,,
2015,B64,"Enfield, Southgate",David Schofield,UKIP,UK Independence Party,"2,109",3,4.6,,,,,,,
2015,B64,"Enfield, Southgate",Jean Robertson-Molloy,Green,Green,"1,690",4,3.7,,,,,,,
2015,B64,"Enfield, Southgate",Paul Smith,LibDem,Liberal Democrat,"1,518",5,3.3,,,,,,,
2015,B68,Erith and Thamesmead,Teresa Pearce,Lab,Labour,"21,209",1,49.8,"42,617",Lab,"9,525","69,750",61.1,22.4,LAB HOLD
2015,B68,Erith and Thamesmead,Anna Firth,Cons,Conservative,"11,684",2,27.4,,,,,,,
2015,B68,Erith and Thamesmead,Ronie Johnson,UKIP,UK Independence Party,"7,368",3,17.3,,,,,,,
2015,B68,Erith and Thamesmead,Simon Waddington,LibDem,Liberal Democrat,972,4,2.3,,,,,,,
2015,B68,Erith and Thamesmead,Ann Garrett,Green,Green,941,5,2.2,,,,,,,
2015,B68,Erith and Thamesmead,Sidney Cordle,CPA,Christian Peoples Alliance,255,6,0.6,,,,,,,
2015,B68,Erith and Thamesmead,Graham Moore,ED,English Democrats,188,7,0.4,,,,,,,
2015,B73,Feltham and Heston,Seema Malhotra,Lab,Labour,"25,845",1,52.3,"49,405",Lab,"11,463","82,342",60,23.2,LAB HOLD
2015,B73,Feltham and Heston,Simon Nayyar,Cons,Conservative,"14,382",2,29.1,,,,,,,
2015,B73,Feltham and Heston,Peter Dul,UKIP,UK Independence Party,"6,209",3,12.6,,,,,,,
2015,B73,Feltham and Heston,Roger Crouch,LibDem,Liberal Democrat,"1,579",4,3.2,,,,,,,
2015,B73,Feltham and Heston,Tony Firkins,Green,Green,"1,390",5,2.8,,,,,,,
2015,B75,Finchley and Golders Green,Mike Freer,Cons,Conservative,"25,835",1,50.9,"50,759",Cons,"5,662","71,999",70.5,11.2,CON HOLD
2015,B75,Finchley and Golders Green,Sarah Sackman,Lab,Labour,"20,173",2,39.7,,,,,,,
2015,B75,Finchley and Golders Green,Richard King,UKIP,UK Independence Party,"1,732",3,3.4,,,,,,,
2015,B75,Finchley and Golders Green,Jonathan Davies,LibDem,Liberal Democrat,"1,662",4,3.3,,,,,,,
2015,B75,Finchley and Golders Green,Adele Ward,Green,Green,"1,357",5,2.7,,,,,,,
2015,B90,Greenwich and Woolwich,Matthew Pennycook,Lab,Labour,"24,384",1,52.2,"46,716",Lab,"11,946","73,338",63.7,25.6,LAB HOLD
2015,B90,Greenwich and Woolwich,Matt Hartley,Cons,Conservative,"12,438",2,26.6,,,,,,,
2015,B90,Greenwich and Woolwich,Ryan Acty,UKIP,UK Independence Party,"3,888",3,8.3,,,,,,,
2015,B90,Greenwich and Woolwich,Abideen Akinoshun,Green,Green,"2,991",4,6.4,,,,,,,
2015,B90,Greenwich and Woolwich,Tom Holder,LibDem,Liberal Democrat,"2,645",5,5.7,,,,,,,
2015,B90,Greenwich and Woolwich,Lynne Chamberlain,TUSC,Trade Unionist and Socialist Coalition,370,6,0.8,,,,,,,
2015,B92,Hackney North and Stoke Newington,Diane Abbott,Lab,Labour,"31,357",1,62.9,"49,887",Lab,"24,008","83,145",60,48.1,LAB HOLD
2015,B92,Hackney North and Stoke Newington,Amy Gray,Cons,Conservative,"7,349",2,14.7,,,,,,,
2015,B92,Hackney North and Stoke Newington,Heather Finlay,Green,Green,"7,281",3,14.6,,,,,,,
2015,B92,Hackney North and Stoke Newington,Simon de Deney,LibDem,Liberal Democrat,"2,492",4,5.0,,,,,,,
2015,B92,Hackney North and Stoke Newington,Keith Fraser,UKIP,UK Independence Party,"1,085",5,2.2,,,,,,,
2015,B92,Hackney North and Stoke Newington,Jon Homan,AWP,Animal Welfare Party,221,6,0.4,,,,,,,
2015,B92,Hackney North and Stoke Newington,Jonathan Silberman,Comm Lge,Communist League,102,7,0.2,,,,,,,
2015,B93,Hackney South and Shoreditch,Meg Hillier,Lab,Labour,"30,663",1,64.4,"47,610",Lab,"24,243","80,017",59.5,50.9,LAB HOLD
2015,B93,Hackney South and Shoreditch,Jack Tinley,Cons,Conservative,"6,420",2,13.5,,,,,,,
2015,B93,Hackney South and Shoreditch,Charlotte George,Green,Green,"5,519",3,11.6,,,,,,,
2015,B93,Hackney South and Shoreditch,Ben Mathis,LibDem,Liberal Democrat,"2,186",4,4.6,,,,,,,
2015,B93,Hackney South and Shoreditch,Angus Small,UKIP,UK Independence Party,"1,818",5,3.8,,,,,,,
2015,B93,Hackney South and Shoreditch,Brian Debus,TUSC,Trade Unionist and Socialist Coalition,302,6,0.6,,,,,,,
2015,B93,Hackney South and Shoreditch,Paul Birch,CSTA,Cannabis is Safer than Alcohol,297,7,0.6,,,,,,,
2015,B93,Hackney South and Shoreditch,Taiwo Adewuyi,CPA,Christian Peoples Alliance,236,8,0.5,,,,,,,
2015,B93,Hackney South and Shoreditch,Russell Higgs,Ind,Independent,78,9,0.2,,,,,,,
2015,B93,Hackney South and Shoreditch,Bill Rogers,WRP,Workers' Revolutionary Party,63,10,0.1,,,,,,,
2015,B93,Hackney South and Shoreditch,Gordon Shrigley,CAM,Campaign Party,28,11,0.1,,,,,,,
2015,B98,Hammersmith,Andy Slaughter,Lab,Labour,"23,981",1,50.0,"47,960",Lab,"6,518","72,229",66.4,13.6,LAB HOLD
2015,B98,Hammersmith,Charlie Dewhirst,Cons,Conservative,"17,463",2,36.4,,,,,,,
2015,B98,Hammersmith,Millicent Scott,LibDem,Liberal Democrat,"2,224",3,4.6,,,,,,,
2015,B98,Hammersmith,Richard Wood,UKIP,UK Independence Party,"2,105",4,4.4,,,,,,,
2015,B98,Hammersmith,David Akan,Green,Green,"2,105",5,4.4,,,,,,,
2015,B98,Hammersmith,Stephen Brennan,Ind,Independent,82,6,0.2,,,,,,,
