OrganisationLabel,OrganisationURI,EffectiveDate,ContractReference,ContractTitle,OrganisationalUnit,Description,ProcurementCategory,StartDate,EndDate,ReviewDate,OptionToExtend,ExtensionPeriod,ContractValue,IrrecoverableVAT,SupplierName,CharityCommissionNumber,SMESupplier,VCSESupplier,ContactName,ProcessType
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,GR16924216722368,"Xporter Annual School Licence Renewal.",CHILDRENS SERVICES,214-Computer Software & Equipment,,12/06/2015,,,,,"£22,990.00",0,"GROUPCALL LIMITED, Commerce House   1 Raven Road,South Woodford, LONDON, E18 1HB",,b) Micro,,Steven Pretty,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,AS048142165IN436,Vacuum Installation Machine,CITY DEVELOPMENT,305-Plant Hire - By Directorate,,10/06/2015,,,,,"£19,000.00",0,"Ash Site Equipment, 19 Brambling Drive, BACUP, OL13 9QJ",,Other/Not known,,Chris P Clarke,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,TR0716421727316,Various Tree works,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,17/06/2015,,,,,"£17,792.50",0,"Tree Saw, Unit 2a Cross Park House  Low Green,Rawdon, LEEDS, LS19 6HB",,Other/Not known,,,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,BR452842170670044026,Disputed Gas charges,ENVIRONMENT & HOUSING,124-Electricity,,15/06/2015,,,,,"£16,956.53",0,"BRITISH GAS BUSINESS, Payment Area 60, CAMBERLEY, GU95 1AW",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,BA1092421776591,Supply & install doorsets at Moorhaven Court.,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,22/06/2015,,,,,"£15,660.00",0,"F. Bamford (Engineering) Ltd, Ajax Works,Whitehill, STOCKPORT, SK4 1NT",,c) Small,,Mandy Grace,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,EN0251421744866,Camera Conversion,ENVIRONMENT & HOUSING,,,19/06/2015,,,,,"£14,540.00",0,"AJ ENGINEERING SERVICES LTD, Unit 12 Clayton Court,City Works   Openshaw, MANCHESTER, M11 2NB",,Other/Not known,,Zafar Ali / Harvinder Saimbhi,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,SC1661421594926,Commercial Street Camera Column,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,04/06/2015,,,,,"£14,269.61",0,"SCD GROUP LIMITED, Norton House,Peckfield Business Park Phoenix Ave, LEEDS, LS25 4DY",,d) Medium,,Elizabeth Jarmin,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,CO1054421771538,HEMMINGWAY GARTH - CCTV WORK,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,22/06/2015,,,,,"£14,105.00",0,"Core Integrated Solutions Limited, Unit 6 Legrams Terrace,Fieldhead Business Centre, BRADFORD, BD7 1LN",,c) Small,,Simon Jarman,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,MO17504216711274393ITE,ICT Agency Staff,CENTRAL & CORPORATE,8-Agency Staff,,12/06/2015,,,,,"£13,800.00",0,"MODIS INTERNATIONAL LTD, Unit 3010 The Pavillions,The Crescent  Solihull Park Way, BIRMINGHAM, B37 7YE",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,IG0278421671346,"Profile 2- Progressions Profile 2- 6 month sustained. Youth Contract 2014 / 2015",CHILDRENS SERVICES,511-Services Rendered By Other Organisations,,12/06/2015,,,,,"£13,640.00",0,"Aspire-Igen Ltd, 1 Eastgate, LEEDS, LS2 7LY",,d) Medium,,Iain Dunn,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,LA0586421654229,"Fencing panels, fixings, corner posts and posts for Hemingway Garth",ENVIRONMENT & HOUSING,205-Operational Materials,,10/06/2015,,,,,"£13,617.00",0,"Lang + Fulton Ltd, Unit 2b Newbridge Industrial Estate, EDINBURGH, EH28 8PJ",,Other/Not known,,Sarah Spencer,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,DA148042164LEEDSC&FNO5,On-site research consultants,CHILDRENS SERVICES,277-Bought In Professional Services,,09/06/2015,,,,,"£13,600.00",0,"Thorpe Research Ltd, 78 Greenside, KENDAL, LA9 5DT",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,EU515742160SC1026-01-2015,Maintenance of moveable floor,CENTRAL & CORPORATE,102-Plant and Machinery,,05/06/2015,,,,,"£13,480.00",0,"Euro Pools Service Ltd, Euro House 423 Hillington Road,Hillington Park, GLASGOW, G52 4BL",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,AS99384217416467,BESPOKE TRAINING FOR LEEDS POLLING,CENTRAL & CORPORATE,70-Best Value Training,,19/06/2015,,,,,"£12,697.44",0,"ASSOCIATION OF ELECTORAL ADMINISTRATORS, Elections Office Room 3.17,Sunderland City Council, CIVIC CENTRE SUNDERLAND, SR2 7DN",,c) Small,,Mathew Spaull,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,LE02774218170003651,QCF Commissioning,ADULT SOCIAL CARE,70-Best Value Training,,26/06/2015,,,,,"£12,500.00",0,"Leeds City College, College House,Park Lane, LEEDS, LS3 1AA",,e) Large,,Gill Dickinson,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,RH727142185R0946,Works for the Oakwood Clock,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,30/06/2015,,,,,"£12,283.50",0,"The Rhodes Enginering Group Ltd, High Street, HECKMONDWIKE, WF16 0DN",,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,BU3767421744950,NHT Public Satisfaction Survey,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,19/06/2015,,,,,"£11,635.00",0,"BUILDING SOFTWARE LIMITED, Swallow Court  Devonshire Gate,Sampford Peverell, TIVERTON  DEVON, EX16 7EJ",,c) Small,,DANIEL FISHER,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,MO062742174151068,LEP 6x Film Case Studies Production,CENTRAL & CORP FUNC ADMINIST (NON LCC),267-Publication And Promotion,,19/06/2015,,,,,"£11,200.00",0,"Motus Tv Ltd, 1 Bentley Square,Oulton, LEEDS, LS26 8JF",,b) Micro,,Lynn Cooper,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,HE101942160MKD/LEE056/02/23,Legal fees,CHILDRENS SERVICES,411-Legal Disbursements,,05/06/2015,,,,,"£11,000.71",0,"Henrys Solicitors, 15th Floor   111 Piccadilly, MANCHESTER, M1 2HY",,Other/Not known,,Philippa Elliott,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,KI524542167203717,Mobile changing table / shower changer,ADULT SOCIAL CARE,203-Operational Furniture And Equipment,,12/06/2015,,,,,"£11,000.00",0,"KINGKRAFT LTD, 26d Orgreave Crescent,Dore House Industrial Estate, HANDSWORTH  SHEFFIELD, S13 9NQ",,c) Small,,Linda James,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,MC0114421645710,Penalty Charge Notices,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,09/06/2015,,,,,"£10,956.50",0,"Patrol (Parking), 2nd Floor Springfield House,Water Lane, WILMSLOW, SK9 5BG",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,ME0897421811002026/5/19446,AVH 13/14 Scooter Stores,ENVIRONMENT & HOUSING,,,26/06/2015,,,,,"£10,772.04",0,"MEARS LIMITED, 1390 Montpellier Court,Gloucester Business Park, BROCKWORTH    GLOUCESTER, GL3 4AH",,e) Large,,Phil Rigby,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,HU059242181B1600000006,Residential Homes,CHILDRENS SERVICES,507-General External Residential Placements,,26/06/2015,,,,,"£10,638.00",0,"Hurst Farm Cc Priory, Priory Group Northern Office Park Hall,Middleton St George, DARLINGTON, DL2 1TS",,Other/Not known,,Iain Dunn,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,SO023442177SC/I053371,Supply of Furniture,ADULT SOCIAL CARE,,,22/06/2015,,,,,"£10,422.72",0,"Solk Furniture Healthcare Ltd, Brandon Street,Armley Road, LEEDS, LS12 2ED",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,HO1419421725494,Hire of vehicles for PL orders - Refuse Vehicle,CENTRAL & CORPORATE,304-External Hire -Occasional,,17/06/2015,,,,,"£10,110.50",0,"HOPKINSONS FAIRDEALS LTD, 2 Boothferry Road,Howden, GOOLE, DN14 7EF",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,IS3355421665031,Annual membership for 2015/16,CHILDRENS SERVICES,226-Memberships,,11/06/2015,,,,,"£10,000.00",0,"Cfab, Unit 1.03 Canterbury Court,1-3 Brixton Road, LONDON, SW9 6DE",,c) Small,,Sandra Brear,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,TN297242167IN18PR15003780,Postage Charges,CENTRAL & CORPORATE,212-Postages,,12/06/2015,,,,,"£9,997.76",0,"Whistl North Limited, 1 Globeside Business Park,Fieldhouse Lane, MARLOW, SL7 1HY",,e) Large,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,GC003842160IN-68819-1,ICT Agency Staff,CENTRAL & CORPORATE,,,05/06/2015,,,,,"£9,700.00",0,"GCS Recruitment Specialists Ltd, 2 Wesley Gate  70-74 Queens Road, READING, RG1 4AP",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,PA1273421671133,Penalty Charge Notices,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,12/06/2015,,,,,"£8,832.20",0,"Patrol Bus Lanes, Springfield House,Water Lane, MANCHESTER, SK9 5BG",,c) Small,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,KE7479421595342,Subscription to KEY NOTE library package,CITY DEVELOPMENT,206-Books & Audio-Visual Materials,,04/06/2015,,,,,"£8,800.00",0,"KEY NOTE LTD, Harlequin House  7 High Street,Teddington, RICHMOND UPON THAMES, TW11 8EE",,d) Medium,,Maxine Sutcliffe,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,SE1683421601005A,Recycling,ENVIRONMENT & HOUSING,234-Recycling & Reuse Charges,,05/06/2015,,,,,"£8,408.00",0,"SEAGULLS RE-USE LTD, Units 3-4 Aire Place Mills,Kirrkstall Road, LEEDS, LS3 1JL",,c) Small,,Rosie Harvey,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,CO6535421716866,Electronic blinds - Leeds Civic Hall,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,16/06/2015,,,,,"£8,226.75",0,"COUNTRY BLINDS & AWNINGS LTD, CITY INVOICE FINANCE LTD PO BOX 479, SALFORD, M50 3UE",,b) Micro,,Derek Prest,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,AC138142163132948,"Slam Dunk festival, Mill sq",CITY DEVELOPMENT,265-Other Hired And Contracted Services,,08/06/2015,,,,,"£8,000.00",0,"ACORN SCAFFOLDING (YORKSHIRE) LTD, Moor Lane Trading Estate,Moxon Way Sherburn In Elmet, LEEDS, LS25 6ES",,d) Medium,,Paul Footitt,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,WI064842160SI306846,Goods to be supplied to Tropical World.,ENVIRONMENT & HOUSING,204-Resaleable Materials,,05/06/2015,,,,,"£7,930.77",0,"Wild Republic Europe (Denmark) Aps, Fynsvej 60 Dk-5500,Midllefart, DENMARK, .",,Other/Not known,,David Morgan,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,GL2226421631010,Sheltered Accommodation,ADULT SOCIAL CARE,569-Sheltered Accommodation,,08/06/2015,,,,,"£7,800.00",0,"GLENGARTH HOTEL, 162 Woodsley Road, LEEDS, LS2 9LZ",,b) Micro,,Kwai Mo,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,SM92924217435934,Various Playground equipment,ENVIRONMENT & HOUSING,265-Other Hired And Contracted Services,,19/06/2015,,,,,"£7,790.25",0,"Hags-Smp Ltd, Waterfront Complex,Shipyard Ind Estate, SELBY, YO8 8AP",,d) Medium,,Bob Bradley,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,WE068942156W0000143,Probation Outreach Worker,CHILDRENS SERVICES,511-Services Rendered By Other Organisations,,01/06/2015,,,,,"£7,678.00",0,"The West Yorkshire CRC Ltd, Finance Dept Cliff Hill House,Sandy Walk, WAKEFIELD, WF1 2DJ",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,ZY300342159COMM. CARE 001300,JCS Care,JCS FOR PEOPLE WITH LEARNING DISABILITIE,626-Direct Payments,,04/06/2015,,,,,"£7,646.40",0,"TRUST FOR VERONICA HEZELGRAVE, C/O Kelvin Mackrell,16 High Fold, LOTHERDALE NORTH YORKSHIRE, BD20 8HE",,b) Micro,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,IN06104216624500/0057,Project planning,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,11/06/2015,,,,,"£7,582.00",0,"Inclusive Change Consultancy Ltd, 97 Salehurst Road, LONDON, SE4 1AR",,Other/Not known,,Sarah Temple,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,CO1109421575364,Hire of mobile cookery theatre.,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,02/06/2015,,,,,"£7,540.00",0,"The Corporate Group, Perry House, MAIDEN BRADLEY, BA12 7JD",,b) Micro,,John Ebo / Karen Butler,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,CA3156421606017013454,Provision of Event Safety - Tour De Yorkshire,CITY DEVELOPMENT,259-Consultancy Services,,05/06/2015,,,,,"£7,500.00",0,"CAPITA Property & Infrastructure Ltd, P O Box 212,Faverdale Industrial Estate, DARLINGTON, DL1 9HN",,e) Large,,Ian Cairns,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,GE0125421811262,Production of Film focusing on Leeds drinking culture,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,26/06/2015,,,,,"£7,500.00",0,"Geocast.Tv Limited, 6 Penton Grove, LONDON, N1 9JX",,b) Micro,,John Ebo,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,NE0361421592302,Nexstor Computer hardware,STRATEGIC LANDLORD,265-Other Hired And Contracted Services,,04/06/2015,,,,,"£7,498.00",0,"Nexstor Ltd, Mansfield I-Centre, Oakham Bus Park,Hamilton Way, Mansfield, NOTTINGHAM, NG18 5BR",,Other/Not known,,Sarah Temple,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,WE6464421562972,Wireless sensor works - supply and install. ,CENTRAL & CORPORATE,,,01/06/2015,,,,,"£7,410.15",0,"WESTMINSTER CONTROLS LTD, 3 Pym Street Court,Pym Street, LEEDS, LS10 1PG",,d) Medium,,Andrew McCulloch,Waiver/DDN
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,MA578442181125988,Work to various properties,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,26/06/2015,,,,,"£6,435.87",0,"MAYFAIR SECURITY, Adelaide House,Vivars Way  Selby, NORTH YORKSHIRE, YO8 8BE",,d) Medium,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,EN10894217267967,Monitor and Maintenance of Gamble Hill,ENVIRONMENT & HOUSING,114-Other,,17/06/2015,,,,,"£6,117.12",0,"Initial Projects Ltd, Enterprise Drive,Four Ashes, WOLVERHAMPTON, WV10 7DE",,d) Medium,,Stephen Holmes,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,LE150142160LCALG05,Contribution towards Leeds Care,ADULT SOCIAL CARE,240-Research Costs,,05/06/2015,,,,,"£6,000.00",0,"Leeds Care Association, 42a Main Street,Garforth, LEEDS, LS25 1AA",,Other/Not known,,,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,WI003742167725008,Gym Equipment,ENVIRONMENT & HOUSING,205-Operational Materials,,12/06/2015,,,,,"£5,955.00",0,"WICKSTEED LEISURE LTD, Digby Street,Kettering, NORTHAMPTONSHIRE, NN16 8YJ",,d) Medium,,Guy Smithson,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,FR0138421601172,To supply power generation for Tour De Yorkshire,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,05/06/2015,,,,,"£5,945.00",0,"FTS Event Power Ltd, 17 Henconner Avenue,Chapel Allerton, LEEDS, LS7 3NW",,b) Micro,,Craig Shackleton,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,OU1758421672015002CC,Works to partitions at Civic Hall,CENTRAL & CORPORATE,265-Other Hired And Contracted Services,,12/06/2015,,,,,"£5,700.00",0,"In Out Solutions, 47a Highfield Avenue, LEEDS, LS12 4BZ",,Other/Not known,,,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,FE019342159104156,Specialist system,LEEDS COMMUNITY EQUIP STORE POOLED BUDGT,203-Operational Furniture And Equipment,,04/06/2015,,,,,"£5,674.04",0,"Felgains, 33 Knightsdale Road, IPSWICH, IP1 4JJ",,Other/Not known,,Evelyn Cryer,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,EU520342160TDYMEDICAL15,Event Medical Cover,CITY DEVELOPMENT,277-Bought In Professional Services,,05/06/2015,,,,,"£5,570.00",0,"Eurofire Uk, 76 The Looms, PARKGATE, CH64 6RF",,Other/Not known,,Craig Shackleton,Quotes
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,GA042742167100940,1500 Hour service exchange of Long Pump,CENTRAL & CORPORATE,321-Fuel (Non LCC Supplies),,12/06/2015,,,,,"£5,265.00",0,"Roadgas Ltd, Colwick Industrial Estate,Colwick, NOTTINGHAM, NG4 2JW",,Other/Not known,,Carl Snowden,Other
Leeds City Council,http://opendatacommunities.org/id/metropolitan-district-council/leeds,30/06/2015,ZE168542185MAY010,Externally funded project,CITY DEVELOPMENT,265-Other Hired And Contracted Services,,30/06/2015,,,,,"£5,000.00",0,"Zeal Media Ltd, Tower Works,Globe Road, LEEDS, LS11 5QG",,Other/Not known,,,Quotes
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
