Business Name,Address Line 1,Address Line 2,Address Line 3,Postcode,Business Type ID,Business Type Description,Food Hygiene Rating Scheme ID,Food Hygiene Rating Scheme Type,Hygiene Score,Structural Score,Confidence In Management Score,Rating Value,Rating Date,New Rating Pending,Local Authority Business ID,Local Authority Code,Local Authority Name,Local Authority Email Address,Local Authority Website,Ward Code,Ward Name,Longitude,Latitude,Last Uploaded,Location,Organisation URI
Cue Point Ltd (inside the Rose and Crown),,71-73 Torriano Avenue,London,NW5 2SG,7843,Pub/bar/nightclub,1031154,FHRS,5,5,5,5,07/01/2018,False,194228,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,-0.13293,51.550259,15/04/2018,"(51.550259, -0.13293)",http://opendatacommunities.org/id/london-borough-council/camden
Tastes of the Nile,,4 Langtry Walk,,NW8 0DU,1,Restaurant/Cafe/Canteen,653520,FHRS,10,10,10,3,07/03/2014,False,80062,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,-0.180261,51.540679,15/04/2018,"(51.540679, -0.180261)",http://opendatacommunities.org/id/london-borough-council/camden
Clipper Catering,,,,,7846,Mobile caterer,973274,FHRS,0,0,0,5,15/07/2016,False,59856,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
Louis Patisserie,,32 Heath Street,London,NW3 6TE,1,Restaurant/Cafe/Canteen,960480,FHRS,0,10,10,4,01/03/2017,False,183413,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,-0.178476,51.555786,15/04/2018,"(51.555786, -0.178476)",http://opendatacommunities.org/id/london-borough-council/camden
Luce E Limoni,,91-93 Gray's Inn Road,,WC1X 8TX,1,Restaurant/Cafe/Canteen,688203,FHRS,5,5,5,5,15/10/2015,False,80274,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.115006,51.523274,15/04/2018,"(51.523274, -0.115006)",http://opendatacommunities.org/id/london-borough-council/camden
New Favourite,,138 Fortess Road,,NW5 2HP,7844,Takeaway/sandwich shop,842164,FHRS,10,10,10,3,21/02/2017,False,83867,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,-0.138703,51.556159,15/04/2018,"(51.556159, -0.138703)",http://opendatacommunities.org/id/london-borough-council/camden
Grange Blooms Hotel,,6-7 Montague Street,London,WC1B 5BP,7842,Hotel/bed & breakfast/guest house,423704,FHRS,5,10,5,4,31/08/2017,False,10951,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.125928,51.519879,15/04/2018,"(51.519879, -0.125928)",http://opendatacommunities.org/id/london-borough-council/camden
Hotel Chocolat,,4 Monmouth Street,London,WC2H 9EA,1,Restaurant/Cafe/Canteen,426346,FHRS,10,10,10,3,23/08/2016,False,71873,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,-0.127487,51.512413,15/04/2018,"(51.512413, -0.127487)",http://opendatacommunities.org/id/london-borough-council/camden
Siham Lounge Bar,,15 Pratt Street,,NW1 0AE,7843,Pub/bar/nightclub,947390,FHRS,0,10,10,4,03/02/2017,False,82638,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.140385,51.537554,15/04/2018,"(51.537554, -0.140385)",http://opendatacommunities.org/id/london-borough-council/camden
Villa Bianca Restaraunt,,1 Perrin's Court,London,NW3 1QS,1,Restaurant/Cafe/Canteen,424520,FHRS,10,10,10,3,13/09/2016,False,2538,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,-0.177772,51.555712,15/04/2018,"(51.555712, -0.177772)",http://opendatacommunities.org/id/london-borough-council/camden
Odeon Cinema,,14 Parkway,London,NW1 7AA,1,Restaurant/Cafe/Canteen,424604,FHRS,0,5,0,5,27/06/2017,False,2779,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.143925,51.538815,15/04/2018,"(51.538815, -0.143925)",http://opendatacommunities.org/id/london-borough-council/camden
William Ellis Secondary School,William Ellis School,Highgate Road,London,NW5 1RN,7845,School/college/university,423985,FHRS,15,15,20,1,06/10/2017,False,1758,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000137,Highgate,-0.15112,51.558757,15/04/2018,"(51.558757, -0.15112)",http://opendatacommunities.org/id/london-borough-council/camden
Skyline Fresh Foods,,100 Robert Street,London,NW1 3QP,4613,Retailers - other,426223,FHRS,5,0,5,5,02/03/2017,False,6954,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.143501,51.528683,15/04/2018,"(51.528683, -0.143501)",http://opendatacommunities.org/id/london-borough-council/camden
Honey & Spice,,52 Warren Street,London,W1T 5NJ,1,Restaurant/Cafe/Canteen,998767,FHRS,5,10,5,4,18/10/2016,False,182365,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.140268,51.524155,15/04/2018,"(51.524155, -0.140268)",http://opendatacommunities.org/id/london-borough-council/camden
Bleeding Heart Restaurant,,3-5 Bleeding Heart Yard,London,EC1N 8SJ,1,Restaurant/Cafe/Canteen,424064,FHRS,0,5,0,5,08/02/2016,False,20176,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.106966,51.519358,15/04/2018,"(51.519358, -0.106966)",http://opendatacommunities.org/id/london-borough-council/camden
Rosewood London Hotel,,252 High Holborn,,WC1V 7EN,7842,Hotel/bed & breakfast/guest house,925811,FHRS,0,0,0,5,30/09/2016,False,84064,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.117923,51.517538,15/04/2018,"(51.517538, -0.117923)",http://opendatacommunities.org/id/london-borough-council/camden
The Espresso Room,,17-23 Southampton Row,,WC1B 5HA,7844,Takeaway/sandwich shop,576928,FHRS,10,10,10,3,24/10/2017,False,76421,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.121348,51.518385,15/04/2018,"(51.518385, -0.121348)",http://opendatacommunities.org/id/london-borough-council/camden
Half Hitch Gin  Unit 53,West Yard,Camden Lock Place,,NW1 8AF,4613,Retailers - other,964222,FHRS,,,,Exempt,10/02/2017,False,83820,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.146604,51.541016,15/04/2018,"(51.541016, -0.146604)",http://opendatacommunities.org/id/london-borough-council/camden
Wrapchic,,48 Goodge Street,,W1T 4LX,1,Restaurant/Cafe/Canteen,929315,FHRS,,,,5,07/03/2017,False,82493,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.136139,51.519376,15/04/2018,"(51.519376, -0.136139)",http://opendatacommunities.org/id/london-borough-council/camden
Kingsgate Resource Centre,208 Webheath,Netherwood Street,London,NW6 2JU,1,Restaurant/Cafe/Canteen,424335,FHRS,5,0,5,5,01/03/2016,False,22097,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,-0.19827,51.54549,15/04/2018,"(51.54549, -0.19827)",http://opendatacommunities.org/id/london-borough-council/camden
Poem Bar & Grill,,94 Boundary Road,London,NW8 0RH,1,Restaurant/Cafe/Canteen,425626,FHRS,15,15,20,1,02/11/2017,False,58447,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,-0.185524,51.537434,15/04/2018,"(51.537434, -0.185524)",http://opendatacommunities.org/id/london-borough-council/camden
Coco Di Mama,,10 Leather Lane,London,EC1N 7SS,1,Restaurant/Cafe/Canteen,1016133,FHRS,0,5,5,5,02/11/2017,False,181700,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.108842,51.518948,15/04/2018,"(51.518948, -0.108842)",http://opendatacommunities.org/id/london-borough-council/camden
Draft House,,102-106 Camden Road,London,NW1 9EA,7843,Pub/bar/nightclub,1006866,FHRS,15,15,10,2,20/09/2017,False,193340,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.138588,51.541302,15/04/2018,"(51.541302, -0.138588)",http://opendatacommunities.org/id/london-borough-council/camden
Caffe Nero,,335 Kentish Town Road,London,NW5 2TJ,1,Restaurant/Cafe/Canteen,998773,FHRS,5,5,5,5,16/06/2017,False,183155,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,-0.141189,51.550399,15/04/2018,"(51.550399, -0.141189)",http://opendatacommunities.org/id/london-borough-council/camden
Hara,,231 Finchley Road,London,NW3 6LS,4613,Retailers - other,425121,FHRS,0,0,0,5,20/11/2017,False,48438,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,-0.18041,51.547426,15/04/2018,"(51.547426, -0.18041)",http://opendatacommunities.org/id/london-borough-council/camden
Retail 24 Food & Wine,,21 South End Road,London,NW3 2PT,4613,Retailers - other,425261,FHRS,0,10,10,4,30/10/2017,False,52807,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,-0.165949,51.554476,15/04/2018,"(51.554476, -0.165949)",http://opendatacommunities.org/id/london-borough-council/camden
The Old Dairy Cafe,,35 Conway Street,London,W1T 6BW,1,Restaurant/Cafe/Canteen,426037,FHRS,0,10,10,4,27/04/2017,False,64717,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.141538,51.523427,15/04/2018,"(51.523427, -0.141538)",http://opendatacommunities.org/id/london-borough-council/camden
The Dublin Castle,,94 Parkway,London,NW1 7AN,7843,Pub/bar/nightclub,425911,FHRS,10,10,10,3,07/01/2017,False,6211,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,-0.145712,51.537432,15/04/2018,"(51.537432, -0.145712)",http://opendatacommunities.org/id/london-borough-council/camden
Habitat,The O2 Centre,255 Finchley Road,London,NW3 6LU,4613,Retailers - other,667800,FHRS,,,,Exempt,29/01/2013,False,55289,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,-0.181428,51.547954,15/04/2018,"(51.547954, -0.181428)",http://opendatacommunities.org/id/london-borough-council/camden
Burger King,,27-29 Euston Road,London,NW1 2SD,1,Restaurant/Cafe/Canteen,423957,FHRS,0,10,0,4,31/01/2017,False,1575,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,-0.123969,51.529649,15/04/2018,"(51.529649, -0.123969)",http://opendatacommunities.org/id/london-borough-council/camden
Ruby Violet,,3 Wharf Road,London,N1C 4BZ,7844,Takeaway/sandwich shop,1022432,FHRS,5,5,5,5,05/12/2017,False,181090,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
The Blues Kitchen,,111-113 Camden High Street,London,NW1 7JN,7843,Pub/bar/nightclub,425869,FHRS,5,10,5,4,16/01/2017,False,61765,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.141191,51.536893,15/04/2018,"(51.536893, -0.141191)",http://opendatacommunities.org/id/london-borough-council/camden
Rocket Restaurants Ltd,,36-38 Kingsway,,WC2B 6EY,1,Restaurant/Cafe/Canteen,720384,FHRS,5,5,0,5,09/10/2014,False,81578,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.118797,51.515934,15/04/2018,"(51.515934, -0.118797)",http://opendatacommunities.org/id/london-borough-council/camden
Laoma,,135 King's Cross Road,London,WC1X 9BJ,1,Restaurant/Cafe/Canteen,983639,FHRS,,,,3,23/10/2017,False,184083,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,-0.116117,51.529532,15/04/2018,"(51.529532, -0.116117)",http://opendatacommunities.org/id/london-borough-council/camden
Black Sheep Coffee,,5-7 Goodge Street,London,W1T 2PD,1,Restaurant/Cafe/Canteen,957147,FHRS,5,5,10,4,23/03/2017,False,183556,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.134043,51.519882,15/04/2018,"(51.519882, -0.134043)",http://opendatacommunities.org/id/london-borough-council/camden
Bloomsbury Cafe,,16 Bloomsbury Street,London,WC1B 3QA,1,Restaurant/Cafe/Canteen,424065,FHRS,10,5,10,3,16/02/2016,False,20182,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.127203,51.517597,15/04/2018,"(51.517597, -0.127203)",http://opendatacommunities.org/id/london-borough-council/camden
Tastydelishchocolate,,,,,7841,Other catering premises,916989,FHRS,5,5,5,5,27/09/2016,False,78404,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,,,,,15/04/2018,,http://opendatacommunities.org/id/london-borough-council/camden
Pizza Hut,Premier House,150 Southampton Row,London,WC1B 5BQ,1,Restaurant/Cafe/Canteen,424384,FHRS,0,5,5,5,24/04/2017,False,22492,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.125979,51.520122,15/04/2018,"(51.520122, -0.125979)",http://opendatacommunities.org/id/london-borough-council/camden
North Star,,104 Finchley Road,London,NW3 5JJ,7843,Pub/bar/nightclub,424193,FHRS,10,10,10,3,24/02/2017,False,20915,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000133,Frognal and Fitzjohns,-0.178311,51.546198,15/04/2018,"(51.546198, -0.178311)",http://opendatacommunities.org/id/london-borough-council/camden
Pied a Terre,,34 Charlotte Street,London,W1T 2NH,1,Restaurant/Cafe/Canteen,423669,FHRS,5,5,5,5,14/03/2014,False,10382,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.13517,51.5191,15/04/2018,"(51.5191, -0.13517)",http://opendatacommunities.org/id/london-borough-council/camden
The Petite Coree,,98 West End Lane,London,NW6 2LU,1,Restaurant/Cafe/Canteen,842153,FHRS,5,5,10,4,20/03/2017,False,180227,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,-0.190963,51.546097,15/04/2018,"(51.546097, -0.190963)",http://opendatacommunities.org/id/london-borough-council/camden
Print Room Cafe,University College London,Gower Street,London,WC1E 6XA,1,Restaurant/Cafe/Canteen,425630,FHRS,10,10,10,3,30/08/2017,False,58504,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.133255,51.523287,15/04/2018,"(51.523287, -0.133255)",http://opendatacommunities.org/id/london-borough-council/camden
Nandos Chickenland Ltd,"Cafe And Premises At Unit 3a Level 1, The O2 Centre",255 Finchley Road,London,NW3 6LU,1,Restaurant/Cafe/Canteen,424529,FHRS,0,5,0,5,10/08/2016,False,25762,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,-0.181427,51.547954,15/04/2018,"(51.547954, -0.181427)",http://opendatacommunities.org/id/london-borough-council/camden
Sainsbury’s Supermarket,"Unit 11, Euston Station",Eversholt Street,London,NW1 2DU,7840,Retailers - supermarkets/hypermarkets,426170,FHRS,0,10,0,4,09/01/2018,False,68110,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.133309,51.528674,15/04/2018,"(51.528674, -0.133309)",http://opendatacommunities.org/id/london-borough-council/camden
News Express,,56 Red Lion Street,London,WC1R 4PD,4613,Retailers - other,425122,FHRS,0,5,0,5,04/07/2017,False,48441,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.117288,51.519309,15/04/2018,"(51.519309, -0.117288)",http://opendatacommunities.org/id/london-borough-council/camden
Pret A Manger Unit 1,Euston Tower,286 Euston Road,London,NW1 3BY,1,Restaurant/Cafe/Canteen,424773,FHRS,0,5,0,5,16/05/2017,False,33416,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.1331,51.528401,15/04/2018,"(51.528401, -0.1331)",http://opendatacommunities.org/id/london-borough-council/camden
Quality Hotel Hampstead,,5-7 Frognal,London,NW3 6AL,7842,Hotel/bed & breakfast/guest house,424484,FHRS,5,10,5,4,13/11/2017,False,2445,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000133,Frognal and Fitzjohns,-0.180955,51.550024,15/04/2018,"(51.550024, -0.180955)",http://opendatacommunities.org/id/london-borough-council/camden
The Library Bar,University Of London Union,Malet Street,London,WC1E 7HY,4613,Retailers - other,424813,FHRS,5,0,0,5,11/03/2011,False,35386,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.13116,51.522696,15/04/2018,"(51.522696, -0.13116)",http://opendatacommunities.org/id/london-borough-council/camden
Hot Pepper Cafe,,142 Drummond Street,London,NW1 2PA,1,Restaurant/Cafe/Canteen,426273,FHRS,5,5,10,4,03/01/2017,False,7033,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.13797,51.526779,15/04/2018,"(51.526779, -0.13797)",http://opendatacommunities.org/id/london-borough-council/camden
Crescent Supermarket,,88 Queen's Crescent,London,NW5 4DY,4613,Retailers - other,424806,FHRS,0,5,5,5,27/03/2018,False,3516,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000136,Haverstock,-0.151159,51.549963,15/04/2018,"(51.549963, -0.151159)",http://opendatacommunities.org/id/london-borough-council/camden
Waterstones Cafe,,19-20 Tottenham Court Road,London,W1T 1BJ,1,Restaurant/Cafe/Canteen,1016127,FHRS,0,5,0,5,01/11/2017,False,179790,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.132214,51.517705,15/04/2018,"(51.517705, -0.132214)",http://opendatacommunities.org/id/london-borough-council/camden
Mary Ward Cafe,,42-43 Queen Square,London,WC1N 3AQ,1,Restaurant/Cafe/Canteen,424356,FHRS,5,5,5,5,31/05/2017,False,22261,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.121822,51.520874,15/04/2018,"(51.520874, -0.121822)",http://opendatacommunities.org/id/london-borough-council/camden
Jacob the Angel,,16a Neal's Yard,London,WC2H 9DP,1,Restaurant/Cafe/Canteen,1036601,FHRS,5,10,5,4,26/02/2018,False,194311,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.126185,51.514435,15/04/2018,"(51.514435, -0.126185)",http://opendatacommunities.org/id/london-borough-council/camden
Costcut Express,,333 Gray's Inn Road,London,WC1X 8PX,4613,Retailers - other,426165,FHRS,0,5,10,4,09/06/2017,False,68009,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,-0.121605,51.530358,15/04/2018,"(51.530358, -0.121605)",http://opendatacommunities.org/id/london-borough-council/camden
Caffe Nero,,2 Charlotte Street,London,W1T 2LW,1,Restaurant/Cafe/Canteen,424881,FHRS,0,10,0,4,25/07/2017,False,38119,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.134312,51.518223,15/04/2018,"(51.518223, -0.134312)",http://opendatacommunities.org/id/london-borough-council/camden
Adil Food & Dry Cleaner,,121 Finchley Road,London,NW3 6HY,4613,Retailers - other,425852,FHRS,0,15,10,2,14/11/2017,False,61592,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000144,Swiss Cottage,-0.175639,51.543045,15/04/2018,"(51.543045, -0.175639)",http://opendatacommunities.org/id/london-borough-council/camden
Mary Ward House,Mary Ward House,5-7 Tavistock Place,,WC1H 9SN,1,Restaurant/Cafe/Canteen,807691,FHRS,10,0,10,4,18/09/2015,False,78996,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,-0.127384,51.525263,15/04/2018,"(51.525263, -0.127384)",http://opendatacommunities.org/id/london-borough-council/camden
The Good Earth Express,,335 West End Lane,,NW6 1RS,1,Restaurant/Cafe/Canteen,425764,FHRS,5,5,5,5,15/03/2017,False,60523,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,-0.193111,51.551948,15/04/2018,"(51.551948, -0.193111)",http://opendatacommunities.org/id/london-borough-council/camden
George Hotel,,58-60 Cartwright Gardens,London,WC1H 9EL,7842,Hotel/bed & breakfast/guest house,426313,FHRS,5,10,5,4,01/02/2018,False,7145,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,-0.126993,51.526244,15/04/2018,"(51.526244, -0.126993)",http://opendatacommunities.org/id/london-borough-council/camden
Westminster Kingsway College Nursery,Regents Park Centre,Longford Street,London,NW1 3HB,7845,School/college/university,717316,FHRS,5,5,5,5,08/09/2015,False,36775,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,-0.141135,51.526254,15/04/2018,"(51.526254, -0.141135)",http://opendatacommunities.org/id/london-borough-council/camden
Rossella restaurant,,103 Highgate Road,,NW5 1TR,1,Restaurant/Cafe/Canteen,639828,FHRS,10,15,10,2,29/09/2017,False,73807,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000137,Highgate,-0.145442,51.555172,15/04/2018,"(51.555172, -0.145442)",http://opendatacommunities.org/id/london-borough-council/camden
The Wellcome Trust Ltd,,215 Euston Road,London,NW1 2BE,1,Restaurant/Cafe/Canteen,426394,FHRS,5,5,0,5,21/03/2017,False,7354,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,-0.133955,51.525906,15/04/2018,"(51.525906, -0.133955)",http://opendatacommunities.org/id/london-borough-council/camden
News Food & Wine,,149 Highgate Road,London,NW5 1LJ,4613,Retailers - other,424402,FHRS,0,0,5,5,03/08/2017,False,2258,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000137,Highgate,-0.146573,51.556348,15/04/2018,"(51.556348, -0.146573)",http://opendatacommunities.org/id/london-borough-council/camden
Take One Chinese,,89 Haverstock Hill,,NW3 4RL,1,Restaurant/Cafe/Canteen,759335,FHRS,10,10,5,3,08/03/2017,False,80899,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000128,Belsize,-0.158604,51.546681,15/04/2018,"(51.546681, -0.158604)",http://opendatacommunities.org/id/london-borough-council/camden
Punjab Indian Restaurant,,80 Neal Street,London,WC2H 9PA,1,Restaurant/Cafe/Canteen,424328,FHRS,5,10,0,4,06/03/2017,False,22023,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,-0.126037,51.514764,15/04/2018,"(51.514764, -0.126037)",http://opendatacommunities.org/id/london-borough-council/camden
Greenlight Pharmacy,,6 Cricklewood Broadway,London,NW2 3HD,4613,Retailers - other,425264,FHRS,,,,Exempt,03/01/2018,False,52931,506,Camden,foodsafety@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,-0.210398,51.55286,15/04/2018,"(51.55286, -0.210398)",http://opendatacommunities.org/id/london-borough-council/camden
