"vehTypeID","ClassID","EU_Class","Make and Model Desc","Body Type Desc 1","Propulsion Type Desc","Wheel Plan Desc","BodyTypeDesc2","GVW","EngineCC","GVW_Mod","EngineCC_mod","PassSeats","KerbWt","OPClassID","SubClassID","WtID","FuelID","EngineID"
36190,1,"M1","FORD KUGA TITANIUM TDCI 163","CARS","DIESEL","2 AXLE RIGID BODY","Estate","2130","1997",2130,1997,,,1,1,1,2,2
36207,1,"M1","FORD KUGA TITANIUM X TDCI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","2250","1997",2250,1997,,,1,1,1,2,2
36216,1,"M1","FORD KUGA ZETEC TDCI","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","1997",,1997,,,1,1,1,2,2
36257,1,"M1","FORD MONDEO EDGE","CARS","PETROL","2 AXLE RIGID BODY","4 Door Saloon","0","1999",,1999,,,1,1,1,1,2
36337,1,"M1","FORD MONDEO TITAN X SPORT TDCI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","2179",,2179,,,1,1,1,2,3
36354,1,"M1","FORD MONDEO TITANIUM TDCI 125","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","1753",,1753,,,1,1,1,2,2
36400,1,"M1","FORD MONDEO TITANIUM X TDCI140","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","1997",,1997,,,1,1,1,2,2
36433,1,"M1","FORD MONDEO ZETEC ECONETIC TDCI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","2260","1997",2260,1997,,,1,1,1,2,2
36455,1,"M1","FORD MONDEO ZETEC TDCI 140","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","1997",,1997,,,1,1,1,2,2
36497,4,"N1 iii","FORD RANGER XLT 4X4 TDCI","GOODS","DIESEL","2 AXLE RIGID BODY","Pick-Up","3200","2198",3200,2198,,1959,3,5,3,2,4
36518,1,"N1 ii","FORD S-MAX TITANIUM TDCI","CARS","DIESEL","2 AXLE RIGID BODY","Multi Purpose Vehicle","2505","1997",2505,1997,,1650,1,1,2,2,2
36545,1,"M1","FORD STREETKA","CARS","PETROL","2 AXLE RIGID BODY","Convertible","0","1599",,1599,,,1,1,1,1,2
36590,5,"M2","FORD TRANSIT","BUSES & COACHES","DIESEL","2 AXLE RIGID BODY","Minibus","0","2402",,2402,,,3,5,3,2,4
36599,3,"N1 ii","FORD TRANSIT 100 T260 FWD","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","2625","2198",2625,2198,,1599,3,4,3,2,4
36604,,"N1","FORD TRANSIT 100 T300 FWD","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","0","2198",3025,2198,,1784,3,5,3,2,4
36680,4,"N1 iii","FORD TRANSIT 115 T350L RWD","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","3500","2402",3500,2402,,2000,3,5,3,2,4
36709,4,"N1 iii","FORD TRANSIT 125 T350 FWD","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","3500","2198",3500,2198,,2000,3,5,3,2,4
36744,4,"N1 iii","FORD TRANSIT 140 T350M RWD","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","0","2402",3500,2402,,2049,3,5,3,2,4
36814,4,"N1 iii","FORD TRANSIT 350 LWB","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","3500","2402",3500,2402,,2000,3,5,3,2,4
36816,4,"N1 iii","FORD TRANSIT 350 LWB BONUS TD","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","0","2402",3500,2402,,2000,3,5,3,2,4
36844,3,"N1 ii","FORD TRANSIT 85 T260S FWD","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","0","2198",2600,2198,,1587,3,4,3,2,4
36862,,"N1","FORD TRANSIT CONN T200 L75","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","2030","1753",2030,1753,,1323,3,4,3,2,4
36944,7,"M1","HARLEY-DAVIDSON FXDF FAT BOB 1584 10","MOTORCYCLES, MOPEDS & SCOOTERS","PETROL","2 WHEEL","Motorcycle","0","1585",,1585,,,6,12,3,1,9
37032,1,"M1","HONDA CIVIC ES I-VTEC","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1799",,1799,,,1,1,1,1,2
37067,1,"M1","HONDA CIVIC I-DTEC SR","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","1378","1597",1378,1597,,,1,1,1,2,2
37116,1,"M1","HONDA CIVIC SE CTDI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","0","1686",,1686,,,1,1,1,2,2
37179,1,"M1","HONDA CR-V ES I-DTEC AUTO","CARS","DIESEL","2 AXLE RIGID BODY","Estate","1782","2199",1782,2199,,,1,1,1,2,3
37203,1,"M1","HONDA CR-V EX I-VTEC","CARS","PETROL","2 AXLE RIGID BODY","Estate","1570","1997",1570,1997,,,1,1,1,1,2
37220,1,"M1","HONDA CR-V I-VTEC SE AUTO","CARS","PETROL","2 AXLE RIGID BODY","Estate","0","1998",,1998,,,1,1,1,1,2
37296,1,"M1","HONDA HRV","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","NULL","1590",,1590,,,1,1,1,1,2
37336,1,"M1","HONDA JAZZ I-VTEC EX CVT","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","1182","1339",1182,1339,,,1,1,1,1,1
37351,1,"M1","HONDA JAZZ S","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","0","1339",,1339,,,1,1,1,1,1
37493,1,"M1","HYUNDAI I20 CLASSIC","CARS","PETROL","2 AXLE RIGID BODY","3 Door Hatchback","1092","1248",1092,1248,,,1,1,1,1,1
37532,1,"M1","HYUNDAI I30 ACTIVE","CARS","PETROL","2 AXLE RIGID BODY","5 Door Hatchback","1321","1396",1321,1396,,,1,1,1,1,1
37572,1,"M1","HYUNDAI I30 SE BLUE DRIVE CRDI","CARS","DIESEL","2 AXLE RIGID BODY","5 Door Hatchback","1434","1582",1434,1582,,,1,1,1,2,2
37604,1,"M1","HYUNDAI I40 SE NAV CRDI BLUE DRIVE","CARS","DIESEL","2 AXLE RIGID BODY","4 Door Saloon","1651","1685",1651,1685,,,1,1,1,2,2
37640,1,"M1","HYUNDAI IX35 GDI STYLE 2WD","CARS","PETROL","2 AXLE RIGID BODY","Estate","1441","1591",1441,1591,,,1,1,1,1,2
37650,1,"M1","HYUNDAI IX35 PREMIUM 4WD CRDI 134","CARS","DIESEL","2 AXLE RIGID BODY","Estate","1677","1995",1677,1995,,,1,1,1,2,2
37753,1,"M1","HYUNDAI TUCSON XENITH 4WD","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","1991",,1991,,,1,1,1,2,2
37788,4,"N1 iii","ISUZU D-MAX YUKON TWIN TURBO D/C TD","GOODS","DIESEL","2 AXLE RIGID BODY","Pick-Up","3050","2499",3050,2499,,1903,3,5,3,2,4
37837,4,"N1 iii","IVECO DAILY 35 S12 MWB","GOODS","DIESEL","2 AXLE RIGID BODY","Panel Van","3500","2300",3500,2300,,2000,3,5,3,2,4
37908,6,"N2","IVECO Missing","GOODS","DIESEL","2 AXLE RIGID BODY","Curtain Sided","7500","3920",7500,3920,,,4,6,4,2,4
37993,1,"M1","JAGUAR XE R-SPORT D","CARS","DIESEL","2 AXLE RIGID BODY","4 Door Saloon","0","1999",,1999,,,1,1,1,2,2
37995,1,"M1","JAGUAR XE R-SPORT I AUTO","CARS","PETROL","2 AXLE RIGID BODY","4 Door Saloon","0","1999",,1999,,,1,1,1,1,2
38005,1,"M1","JAGUAR XF PORTFOLIO D AUTO","CARS","DIESEL","2 AXLE RIGID BODY","4 Door Saloon","0","1999",,1999,,,1,1,1,2,2
38013,1,"M1","JAGUAR XF PREMIUM LUXURY D V6 A","CARS","DIESEL","2 AXLE RIGID BODY","4 Door Saloon","0","2720",,2720,,,1,1,1,2,3
38052,1,"M1","JAGUAR XJ6 V6 AUTO","CARS","PETROL","2 AXLE RIGID BODY","4 Door Saloon","0","2967",,2967,,,1,1,1,1,3
38148,1,"M1","JEEP G-CHEROKEE OVERLAND CRD A","CARS","DIESEL","2 AXLE RIGID BODY","Estate","0","2987",,2987,,,1,1,1,2,3
38232,1,"M1","KIA CARENS 3 CRDI ISG","CARS","DIESEL","2 AXLE RIGID BODY","Multi Purpose Vehicle","1654","1685",1654,1685,,,1,1,1,2,2
