Body,Body name,Service label,Service division label,Expenditure category,Detailed expenditure type,Detailed Expenditure Code,Date paid,Transaction Number,Net Amount,Capital or revenue,Supplier name
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Capital,CONSTRUCTION,3,05-Jan-2011,1101-00062,6985.00,C,Able Canopies Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Other Hired And Contracted Services,265,19-Jan-2011,1101-00063,1625.00,R,Abyss Recycling
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Other Hired And Contracted Services,265,19-Jan-2011,1101-00064,1960.00,R,Abyss Recycling
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,05-Jan-2011,1101-00065,435.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,06-Jan-2011,1101-00066,1951.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,06-Jan-2011,1101-00067,725.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,07-Jan-2011,1101-00068,1572.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,07-Jan-2011,1101-00069,808.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,07-Jan-2011,1101-00070,964.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,07-Jan-2011,1101-00071,606.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,13-Jan-2011,1101-00072,1610.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,13-Jan-2011,1101-00073,725.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,14-Jan-2011,1101-00074,1951.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,18-Jan-2011,1101-00075,1490.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,20-Jan-2011,1101-00076,1749.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,20-Jan-2011,1101-00077,725.00,R,ACADEMIC APPOINTMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Supplies and Services,Other Materials,205,07-Jan-2011,1101-00078,1494.19,R,ACCESS LOCKSMITHS (LEEDS) LIMITED
http://statistics.data.gov.uk/doc/local-authority/00DA,East North East Homes Leeds,East - North East,Technical Services,Premises,H.R.A. - Special Maintenance,106,13-Jan-2011,1101-00079,762.00,R,ACCESS LOCKSMITHS (LEEDS) LIMITED
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Other Hired And Contracted Services,265,28-Jan-2011,1101-00080,6120.00,R,Accipio Learning Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Premises,Premises Security Services,162,05-Jan-2011,1101-00081,438.24,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Premises,Premises Security Services,162,07-Jan-2011,1101-00082,438.24,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,07-Jan-2011,1101-00083,1215.24,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Premises,Premises Security Services,162,13-Jan-2011,1101-00084,438.24,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,14-Jan-2011,1101-00085,1062.72,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,18-Jan-2011,1101-00086,1087.32,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,18-Jan-2011,1101-00087,1098.72,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,18-Jan-2011,1101-00088,1077.48,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Premises,Premises Security Services,162,19-Jan-2011,1101-00089,730.40,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,21-Jan-2011,1101-00090,1062.72,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Premises,Premises Security Services,162,21-Jan-2011,1101-00091,438.24,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,24-Jan-2011,1101-00092,1161.12,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,25-Jan-2011,1101-00093,1426.80,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Premises,Premises Security Services,162,28-Jan-2011,1101-00094,949.52,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Security Services(Non Infrastructure),262,28-Jan-2011,1101-00095,2287.80,R,ACCLAIMED SECURITY SERVICES
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Insurance,Insurance,Supplies and Services,Insurance Claims,248,04-Jan-2011,1101-00096,55525.00,R,Accountant General of the Senior Court
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Insurance,Insurance,Supplies and Services,Insurance Claims,248,27-Jan-2011,1101-00097,1950.00,R,Accountant General of the Senior Court
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Bought in Professional Services,277,14-Jan-2011,1101-00098,6525.00,R,ACKTON PASTURES JUNIOR & INFANTS SCHOOL
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Adult Social Care,Services For Older People - 65 And Over,Third Party Payments,Nursing Home,570,19-Jan-2011,1101-00099,1202.88,R,ACKWORTH HOUSE
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,07-Jan-2011,1101-00100,480.00,R,ACM
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Operational Furniture And Equipment,203,20-Jan-2011,1101-00101,846.00,R,ACM
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,07-Jan-2011,1101-00102,2090.00,R,ACME
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Crockery Cutlery & Utensils,221,20-Jan-2011,1101-00103,1153.00,R,ACME
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Early Years Service,Third Party Payments,Services Rendered By Other Organisations,511,07-Jan-2011,1101-00104,7654.05,R,ACORNS NURSERY
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Early Years Service,Third Party Payments,Services Rendered By Other Organisations,511,07-Jan-2011,1101-00105,8373.66,R,ACRE WOOD CHILDRENS NURSERY
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Other Childrens And Families Services,Third Party Payments,Adoptions - Allowances,560,12-Jan-2011,1101-00106,20640.00,R,Action For Children
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Children Looked After,Third Party Payments,Independent Fostering Agencies,509,12-Jan-2011,1101-00107,8894.34,R,Action For Children
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Children Looked After,Third Party Payments,Services Rendered By Other Organisations,511,17-Jan-2011,1101-00108,200023.00,R,Action For Children
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Other Childrens And Families Services,Third Party Payments,Adoptions - Allowances,560,28-Jan-2011,1101-00109,20640.00,R,Action For Children
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Early Years Service,Third Party Payments,Services Rendered By Other Organisations,511,07-Jan-2011,1101-00110,4984.61,R,ACTIVE KIDS DAY NURSERY
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Insurance,Insurance,Supplies and Services,Other Hired And Contracted Services,265,05-Jan-2011,1101-00111,522.00,R,Acumension
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Recreation,Supplies and Services,Bought In Professional Services,277,14-Jan-2011,1101-00112,3030.99,R,Ad Golf Management Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Early Years Service,Third Party Payments,Services Rendered By Voluntary Sector,505,07-Jan-2011,1101-00113,8635.33,R,ADEL PRE SCHOOL
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,City Development,Economic Development,Supplies and Services,Resaleable Materials,204,13-Jan-2011,1101-00114,5010.00,R,Adidas (Uk) Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Education Leeds,Education Leeds,Education Leeds,Supplies and Services,Teaching Equipment,202,19-Jan-2011,1101-00115,464.35,R,ADO (UK) Limited
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Other Childrens And Families Services,Third Party Payments,Adoptions - Allowances,560,26-Jan-2011,1101-00116,2580.00,R,ADOPTION MATTERS NORTHWEST
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Other Childrens And Families Services,Third Party Payments,Adoptions - Allowances,560,26-Jan-2011,1101-00117,2862.74,R,ADOPTION MATTERS NORTHWEST
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Other Childrens And Families Services,Third Party Payments,Adoptions - Allowances,560,26-Jan-2011,1101-00118,7784.77,R,ADOPTION MATTERS NORTHWEST
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Corporate Governance,Support Services,EXTERNAL COUNSEL - SPECIALIST,751,13-Jan-2011,1101-00119,8084.44,R,Adrian Lynch
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Corporate Governance,Support Services,EXTERNAL COUNSEL - SPECIALIST,751,27-Jan-2011,1101-00120,12000.00,R,Adrian Lynch
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Corporate Governance,Support Services,EXTERNAL COUNSEL - SPECIALIST,751,27-Jan-2011,1101-00121,4915.00,R,Adrian Lynch
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Central & Corporate Functions,Commercial Services Trading Services,Supplies and Services,Other Hired And Contracted Services,265,12-Jan-2011,1101-00122,1209.25,R,ADT FIRE AND SECURITY
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Children - Commissioning And Social Work,Support Services,Legal Disbursements,411,14-Jan-2011,1101-00123,3000.00,R,ADVANCED CHILD CARE ASSESSMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Childrens Services,Children - Commissioning And Social Work,Support Services,Legal Disbursements,411,17-Jan-2011,1101-00124,2700.00,R,ADVANCED CHILD CARE ASSESSMENTS LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Residential,580,19-Jan-2011,1101-00125,20777.56,R,ADVITAM LTD
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council,Insurance,Insurance,Supplies and Services,Other Hired And Contracted Services,265,27-Jan-2011,1101-00126,1900.00,R,Aegis Legal Ltd
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Home Care,568,10-Jan-2011,1101-00127,644.88,R,Affinity Trust North Divisional Office
http://statistics.data.gov.uk/doc/local-authority/00DA,Leeds City Council as Accountable Body,Social Services Pooled Budgets,Jcs For People With Learning Disabilitie,Third Party Payments,Day Centre,564,10-Jan-2011,1101-00128,2338.56,R,Affinity Trust North Divisional Office
