Property Address,RATEPAYER,RV,LIABILITY_START
"Old Coach House, Oak Street, Elland, HX5 0JJ",A.I.W Management Ltd,3500,25/03/2014
"Unit 4, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",Warmco Space Heating Ltd,2250,01/09/2011
"Unit 8A White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",Saturn Services (Uk) Ltd,870,01/07/2013
"Unit 5A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",,6300,01/07/2015
"12 Woolshops, Halifax, HX1 1RU",Calendar Club Ltd,50000,20/10/2015
"Unit 11, Hillas Ind Estate, Walker Lane, Sowerby Bridge, HX6 2AR",M Hillas Properties Ltd,3650,16/06/2015
"78 Fountain Head Road, Ovenden Wood, Halifax, HX2 0SR",David Wilson Homes (Northern) Ltd,4050,15/08/2015
"1 White Hart Fold, Todmorden, OL14 7BD",,4200,24/09/2015
"Unit 2 Woodvale Mills, Woodvale Road, Brighouse, HD6 4AB",Verismart Heating Ltd,23750,10/08/2015
"Unit 1 Woodvale Mills, Woodvale Road, Brighouse, HD6 4AB",Peak Communications Ltd,38750,01/08/2015
"Design House Galleries, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Foundation,60000,01/04/2015
"Finishing Design Services, Old Foundry, Brighouse Road, Halifax              HX3 8EF",Finishing Design Services Ltd,13750,01/04/2010
"Waterjet Uk Ltd, Old Foundry, Brighouse Road, Halifax              HX3 8EF",Waterjet Uk Ltd,11000,01/04/2010
"Todmorden Sports Centre, Ewood Lane, Todmorden, OL14 7DF",Director Of Safer & Stronger Communities,183000,01/06/2015
"Unit 6 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",Warmco Space Heating Ltd,1025,04/06/2012
"Physio Area B, Todmorden Sports Centre, Ewood Lane, Todmorden           OL14 7DF",,710,01/06/2015
"Physio Area A, Todmorden Sports Centre, Ewood Lane, Todmorden           OL14 7DF",,2200,01/06/2015
"9 Market Street, Brighouse, HD6 1AP",,3500,13/08/2015
"Newcombe House, Newcombe Street, Elland, HX5 0EG",,16250,28/08/2015
"16 Water Street, Todmorden, OL14 5AB",,2200,29/10/2015
"367 Skircoat Green Road, Halifax, HX3 0RP",,12500,03/10/2015
"11 Halifax Road, Todmorden, OL14 5AG",,7900,01/09/2015
"6 Wheatley Lane, Lee Mount, Halifax, HX3 5EU",,2950,25/10/2015
"Unit 8A Woodman Works, South Lane, Elland, HX5 0PA",D P Design Holdings Limited,4700,01/07/2015
"Unit 4C, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Thornber Chicks Ltd,3650,01/10/2015
"Unit 1A Orchard Business Prk, Scout Road, Mytholmroyd, Hebden Bridge        HX7 5HZ",Little Box Kitchen,5100,01/10/2015
"4A Orchard Business Park, Scout Road, Mytholmroyd, Hebden Bridge        HX7 5HZ",,6900,01/07/2015
"Units 1A & 1B, Brier Hey, Burnley Road, Mytholmroyd          HX7 5PF",Junamoon Ltd,8600,01/07/2015
"Unit 4D, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",Fast Lane (Yorkshire) Ltd,3600,01/09/2015
"Unit 2D, Dean Hey Country Bus Park, Cragg Road, Mytholmroyd          HX7 5RU",Purple Demand Ltd,16500,11/08/2015
"Unit 2B Dean Hey C'Try B Pk, Cragg Road, Mytholmroyd, HX7 5RU",Rmg Services Ltd,8700,01/11/2014
"22 Rochdale Road, Todmorden, OL14 7LD",Westfield Properties,3900,15/10/2015
"5 Shelf Mills, Wade House Road, Shelf, Halifax              HX3 7BJ",Drive Medical Ltd,193000,06/10/2015
"1ST & 2ND Flrs, 32 Clare Road, Halifax, HX1 2HX",Janjua And Associates Ltd,8400,01/09/2014
"Thompson & Hudson, Atlas Mill Road, Brighouse, HD6 1ES",Thompson & Hudson Wire Machinery,9000,19/10/2015
"MH7 Precision Eng Ltd, Atlas Mill Road, Brighouse, HD6 1ES",MH7 Precision Engineering Ltd,13000,19/10/2015
"Ind Dist Network Operator, Blackley Road, Elland, HX5 0TB",Esp Electricity Ltd,54,01/04/2015
"Holroyd Mills, Old Lane, Halifax, HX3 5QN",Jam Soft Play Ltd,13500,23/05/2015
"Swan Bank Retreat, Swine Market Lane, Cragg Vale, Hebden Bridge        HX7 5TB",,2800,24/04/2015
"Suite C 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,1850,26/05/2015
"Suite D 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,1800,26/05/2015
"Units 8 & 9, Wellington Mills, Quebec Street, Elland               HX5 9BX",Faulkner Moulds Ltd,7500,01/07/2015
"Unit 1D, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",,320,01/06/2015
"The Boiler House, Beehive Mills, Hebble End, Hebden Bridge        HX7 6HJ",,850,01/06/2015
"Union Street South, Halifax, HX1 2LB",A B Auto-Works Ltd,12250,27/10/2015
"The Old Stockyard, Rosemount Works, Huddersfield Road, Elland               HX5 0EE",Tourer World (2015) Limited,13750,14/10/2015
"Suite A 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Firth Carpets & Flooring Ltd,4200,28/09/2015
"Suite B 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Kgs Recruitment Service Ltd,1675,26/10/2015
"Suite E 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Epic Asbestos Solutions Ltd,7200,26/05/2015
"Suite F 1ST Floor, Clifton Mills, Bradford Road, Brighouse            HD6 4EJ",Energy Unique Ltd,4650,16/10/2015
"Mytholmroyd Medical Centre, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5LF",,2600,15/10/2015
"Southdale House, Westholme Road, Halifax, HX1 4JF",Southdale Executive Pension Scheme,44000,30/10/2015
"27/29 New Hey Road, Brighouse, HD6 3LP",Quantum Chambers Law Ltd,6300,01/11/2015
"Thornton House, 14 Prescott Street, Halifax, HX1 2LG",Independent Living Project Ltd,9900,01/11/2015
"Adj Hare & Hounds Inn, Burnley Road, Todmorden, OL14 8EA",Daniel Thwaites Plc,4350,02/10/2015
"Unit 4B, Ladyship Industrial Park, Old Lane, Halifax              HX3 6TA",Calderbrook Estates Ltd,8100,31/10/2015
"Travellers Rest, 83 Stainland Road, Greetland, Halifax             HX4 8BD",Idsc Limited,10500,19/08/2015
"2 Waterhouse Street, Halifax, HX1 1UQ",The Glasshouse Halifax Ltd,13250,01/09/2015
"Office 1-2, First Floor Clifton House, Bradford Road, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,3600,17/10/2015
"Suite 6 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,2425,29/09/2015
"Brighouse Motorcycles, Mill Lane, Brighouse, HD6 1PN",,4150,01/08/2015
"South Howcans Farm, Howcans Lane, Boothtown, Halifax              HX3 6UD",,5400,01/04/2014
"Suite 5 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",Blackshaw Holdings Ltd,2225,27/10/2015
"7 Halifax Road, Todmorden, OL14 5AG",,7700,04/11/2015
"129 Hanson Lane, Halifax, HX1 4SD",,1525,05/11/2015
"Unit 3, Emstead Works, Old Lane, Halifax             HX3 5QN",H P C Laser Ltd,8000,01/11/2015
"Suite 1, Rimini House, Hall Street, Halifax             HX1 5BB",A D W Investments Ltd,12500,01/04/2014
"85 Highfield Road, Rastrick, Brighouse, HD6 3JA",,5000,01/04/2015
"3 Woolshops, Halifax, HX1 1RU",The Works Stores Limited,76000,09/11/2015
"7 Southgate, Halifax, HX1 1DL",Wh Smith High Street Ltd,44000,03/11/2015
"Office 36 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,3900,01/11/2015
"Office 1 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,4100,03/11/2015
"Office 40 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Eclectrick Ltd,1425,01/10/2015
"4/5 Southgate House, Southgate, Halifax, HX1 1DE",Every Bite Right Ltd,16250,10/08/2015
"76 Commercial Street, Brighouse, HD6 1AQ",Every Bite Right Ltd,19000,10/08/2015
"Stonetech, Stand Lane, Brighouse, HD6 1TZ",Younger Homes (Northern) Ltd,8100,01/10/2010
"Suite 2 Unit 4A, Lrp Business Park, Halifax Road, Hipperholme          HX3 8ER",R S Investments Yorkshire Ltd,0,09/05/2013
"Unit 3A, South Street, Halifax, HX1 2EL",Bamboo Bear Global Ltd,6700,29/05/2015
"Unit 3 L R P Business Park, Halifax Road, Hipperholme, Halifax              HX3 8EN",R S Investments Yorkshire Ltd,1500,09/05/2013
"239/241 King Cross Road, Halifax, HX1 3JL",,7300,24/04/2015
"Shop 2 Croft Mill, Hebden Bridge, HX7 8AS",Julie Simcock Ltd,6800,01/11/2015
"Unit 2E, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",Ashanti Ltd,2075,24/02/2014
"16 Holme Buildings, Denholmegate Road, Hipperholme, Halifax              HX3 8LJ",,2550,24/06/2013
"Unit 7 The Nurseries, Halifax Road, Brighouse, HD6 2QD",Cyclemaid Ltd,4050,01/04/2014
"Suite A3 1ST Floor, Empire House, Mulcture Hall Road, Halifax              HX1 1SP",G.H.P Ltd,1925,23/09/2015
"Suite A4 1ST Floor, Empire House, Mulcture Hall Road, Halifax              HX1 1SP",Pjp Development Services (Halifax) Ltd,2175,23/09/2015
"Suite A2 1ST Floor, Empire House, Mulcture Hall Road, Halifax              HX1 1SP",G.H.P Ltd,2550,23/09/2015
"Suite A5 1ST Floor, Empire House, Mulcture Hall Road, Halifax              HX1 1SP",Wren Sterling Financial Planning Ltd,4100,23/09/2015
"Suite A1 1ST Floor, Empire House, Mulcture Hall Road, Halifax              HX1 1SP",Wren Sterling Financial Planning Ltd,10750,23/09/2015
"Vend For Free, Mill Lane, Brighouse, HD6 1PN",vend4free,4150,01/09/2015
"Unit 4F, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,3000,01/10/2015
"Junction Inn, 133 Moor Bottom Road, Illingworth, Halifax             HX2 9SX",Ash Inns (Ny) Ltd,5300,09/11/2015
"10 Church Street, Greetland, Halifax, HX4 8EG",,4900,17/10/2015
"12 Carr House Road, Shelf, Halifax, HX3 7QY",,4600,01/04/2015
"Unit 4, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,7600,01/11/2015
"66 Hopwood Lane, Halifax, HX1 4DG",,2650,08/11/2015
"Unit 1, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",Younger Homes (Northern) Ltd,66000,24/12/2014
"Unit 3 Grantham Garage, Dewsbury Road, Brighouse, HD6 3QB",Northern Truss Joists Limited,24250,12/08/2015
"4 Bull Green, Halifax, HX1 5AB",National Tyre Service Ltd,960,02/06/2015
"Unit 1, Owler Ings Road, Brighouse, HD6 1EJ",Impact Bodyshop & Repairs Ltd,15500,01/11/2015
"Unit 2 Riverside Works, Luddendenfoot, Halifax, HX2 6HU",The Schumacher Institute,6400,09/10/2015
"Shoulder Of Mutton Inn, 1 Carr House Lane, Shelf, Halifax             HX3 7RB",,28000,02/11/2015
"Pear Tree Inn, Station Road, Norwood Green, Halifax             HX3 8QD",The Bridgehouse Pub Company Ltd,11750,06/11/2015
"The Last Post, 1 Oldham Road, Ripponden, Sowerby Bridge       HX6 4DN",Boothwood Ltd,6400,26/08/2015
"Foundry Street, Brighouse, HD6 1LT",Root Candles Europe Ltd,22500,01/08/2015
"Unit 18I, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Chris Thorpe Graphic Design Ltd,1075,01/04/2015
"Queen Victoria Inn, 10/12 Victoria Place, Bradford Road, Northowram           HX3 7HY",,9400,30/09/2015
"Brishaw House, Victoria Road, Halifax, HX1 5PT",Shaw Metal Solutions Ltd,26000,31/12/2010
"9 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",,3250,01/09/2015
"22 Waterhouse Street, Halifax, HX1 1UQ",,4550,22/10/2015
"Units 1 & 2 Victoria House, Victoria Road, Halifax, HX1 5PT",The Caststone Company Ltd,40250,01/06/2015
"Unit K3 Dean Clough, Halifax, HX3 5AX",Dean Clough Ltd,10000,23/11/2015
"Crossleys Mill 2ND Floor, Dean Clough Mills, Halifax, HX3 5AX",Project F.F & E Ltd,34250,23/11/2015
"Ellen Royd, Westgate, Elland, HX5 0EE",,15500,01/06/2015
"338/340 Salterhebble Hill, Halifax, HX3 0QT",Three Way Solutions Ltd,21500,14/09/2015
"36 Clare Road, Halifax, HX1 2HX",,12000,25/11/2015
"20 Lord Street, Halifax, HX1 5AE",,2550,23/11/2015
"Unit 5, Pennine Industrial Park, Valley Road, Hebden Bridge        HX7 8BZ",,7600,01/11/2015
"Unit 6, Pennine Industrial Park, Valley Road, Hebden Bridge        HX7 8BZ",Setbray Properties Ltd,11000,01/11/2015
"Units 8D & 8E, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU",Site Computers Ltd,5300,15/04/2013
"Prospect Inn, 1 Cow Royd Place, Halifax, HX3 6JR",,3700,24/11/2015
"Office Suite E323, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,5200,01/10/2015
"Office Suite D205, Dean Clough Mills, Halifax, HX3 5AX",Pathway Software (Uk) Ltd,1650,01/10/2015
"Cafe At The Wellbeing Centre, 2 Briggate, Elland, HX5 9DP",,4850,01/11/2015
"Ogden Hall, 24 Causeway Foot, Halifax, HX2 8YB",Ogden Otters Ltd,10000,09/01/2015
"194 Savile Park Road, Halifax, HX1 2XP",,5900,11/08/2015
"Unit 1 Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",,37750,01/06/2015
"Unit 3 Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",,12750,01/06/2015
"Unit 2 Birds Royd Works, Birds Royd Lane, Brighouse, HD6 1NG",,23750,01/06/2015
"Unit 6 Brook Mills, Saddleworth Road, Greetland, Halifax              HX4 8LZ",Pure Pet Food Ltd,9500,21/09/2015
"Unit 26 Robin Hood Works, Grove Street, Brighouse, HD6 1PL",Owram Estates Ltd,15750,18/07/2014
"Illingworth Moor Post Office, Illingworth Road, Halifax, HX2 9DL",,6700,16/11/2015
"Unit 2, Heathfield Industrial Estate, Heathfield Street, Elland              HX5 9AE",Waxman Holdings Ltd,13000,01/12/2015
"11/13 Stainland Road, Greetland, Halifax, HX4 8AD",Robert Kitson,6400,16/10/2015
"Office Suite E230/E238, Dean Clough Mills, Halifax, HX3 5AX",Estio Healthcare Recruitment Limited,9100,18/05/2015
"Office Suite E240, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,3200,18/05/2015
"Unit 2 Moorlea Garage, Albert Road, Halifax, HX2 0DF",,3100,28/08/2015
"2nd Floor Prescott House, 26 Prescott Street, Halifax, HX1 2LG",Brackenridge & Wade,4050,09/11/2015
"Unit 3 The Nurseries, Halifax Road, Brighouse, HD6 2QD",Brighouse Nurseries Ltd,1800,01/11/2013
"Railway Inn, 12 New Road, Hebden Bridge, HX7 8AD",,18750,24/11/2015
"Unit 6, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",W Younger Developments Ltd,11750,02/12/2015
"Grove Mill Yard, Shelf, Halifax, HX3 7PF",The Exhaust Ejector Co.Ltd 1987 Retirement Benefit Scheme,4300,01/01/2015
"Unit 2, South Street, Halifax, HX1 2EL",,1375,29/05/2015
"Reflecting Roadstuds Ltd, Mill Lane, Boothtown, Halifax              HX3 6TR",Reflecting Roadstuds Ltd,15250,01/08/2015
"Unit 12, Mill Lane, Boothtown, Halifax              HX3 6TR",V1 Engineering Ltd,5600,17/08/2015
"The Old Silk Mill, Mill Lane, Boothtown, Halifax              HX3 6TR",V-Seal Ltd,17250,17/08/2015
"Unit 13, Asquith Bottom Mills, Ridge Street, Sowerby Bridge       HX6 3BS",,5000,01/11/2015
"Office 9 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Uber Britannia Ltd,1900,01/12/2015
"Sun Inn, 154 Wakefield Road, Lightcliffe, Halifax             HX3 8TH",Hop & Hide Ltd,58500,23/10/2015
"Battinson Road Mills, Battinson Road, Halifax, HX1 5PR",,35500,09/09/2015
"Unit 3 Moorlea Garage, Albert Road, Halifax, HX2 0DF",,4800,28/08/2015
"Unit 4, 148/150 Hanson Lane, Halifax, HX1 5PQ",,8300,01/08/2015
"Unit 3, 148/150 Hanson Lane, Halifax, HX1 5PQ",,9600,01/08/2015
"Unit 5 First Floor, 148/150 Hanson Lane, Halifax, HX1 5PQ",,6200,01/08/2015
"Office 2 Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",,1325,01/09/2015
"Office 4 Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",,950,01/09/2015
"Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",,5800,01/09/2015
"Office 3 Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",,1825,01/09/2015
