Organisation Name (A),Dept (B),Service Cat Label (C),Purpose of Spend (D),Expenditure CIPFA Sub Group Label (E),Supplier (F),Supplier Reference (G),Pay Date (H),Transaction Number (I),Net Amount (J),Grant to VCSE? (K),Charity Number (L),Card Transaction (M),Irrecoverable VAT (N)
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 09/06/2016,AAS0271863,48.34,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 09/06/2016,AAS0271862,358.7,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Allpay,44,ALLPAY LIMITED,A0084372, 16/06/2016,AAS0272052,1600.82,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,44,ALYSON TELFER,A0090833, 23/06/2016,DAL0272381,200,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,ANDIDRAIN LIMITED,A0041404, 23/06/2016,HED0272339,1550,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,ANDIDRAIN LIMITED,A0041404, 23/06/2016,HED0272338,400,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,ANDIDRAIN LIMITED,A0041404, 23/06/2016,HED0272338,450,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Seminars etc All Costs,46,APPETITE,A0046890, 16/06/2016,HED0271996,110,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,47,APRICITY,A0090828, 23/06/2016,REG0272345,1361,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Premises Related Expense,Water & Sewerage,25,AQUAM WATER SERVICES LIMITED,A0090390, 09/06/2016,OPS0271604,672,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,AQUAM WATER SERVICES LIMITED,A0090390, 09/06/2016,OPS0271823,2.58,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,31,AQUAM WATER SERVICES LIMITED,A0090390, 09/06/2016,OPS0271603,672,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/06/2016,AAS0272233,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/06/2016,AAS0272233,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/06/2016,AAS0272233,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/06/2016,AAS0272233,144.48,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/06/2016,AAS0272232,256.09,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/06/2016,AAS0272232,252.79,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,36,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/06/2016,AAS0272233,144.48,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,47,ASPEN VALLEY KENNELS & CATTERY,A0022106, 16/06/2016,OPS0271992,1352.65,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Gds Maint ,21,ASSIST MANAGED SERVICES LIMITED,A0072100, 16/06/2016,PCO0271959,3487.42,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Gds Maint ,21,ASSIST MANAGED SERVICES LIMITED,A0072100, 16/06/2016,PCO0271960,4141.31,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BALMERS GM LIMITED,A0000198, 09/06/2016,PCO0271729,80.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,BARLEY VILLAGE HALL,A0023198, 23/06/2016,AAS0272167,80,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,10,BARNES JB LIMITED,A0000202, 09/06/2016,OPS0271757,3,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 09/06/2016,PCO4005060,-121.76,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARNES JB LIMITED,A0000202, 09/06/2016,PCO0271788,121.76,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Other Equipment,40,BARNES JB LIMITED,A0000202, 02/06/2016,HED0271677,51.35,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mayoral Expenses,46,BARNOLDSWICK BRASS BAND,A0008313, 02/06/2016,DAL0271700,200,Y,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,BARROWFORD PARISH COUNCIL,A0000239, 23/06/2016,AAS0272203,50,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 09/06/2016,PCO0271812,12.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 09/06/2016,PCO0271812,5.84,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 09/06/2016,PCO0271812,2.92,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,31,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 09/06/2016,PCO0271812,2.92,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,BARROWFORD SAFE & LOCK SERV LT,A0000458, 16/06/2016,EST0272031,5.84,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Publicity & advertisement,47,BAUER CONSUMER MEDIA LIMITED,A0071011, 09/06/2016,REG0271881,225,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Publicity & advertisement,47,BAUER CONSUMER MEDIA LIMITED,A0071011, 16/06/2016,REG0272013,225,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,BELEVEDERE&CALDERVALE SPORT CLUB,A0000477, 23/06/2016,AAS0272204,100,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Indirect Employee Expenses,Training,12,BEN SHAW TRAINING LIMITED,A0055722, 23/06/2016,OPS0272129,105,N,N/A,N,N/A
Pendle Borough Council,Operational Services,,Fees Income : Non-VATable,93,REDACTED - PERSONAL DATA,A0090814, 09/06/2016,OPS0271928,30,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,36,BLACK HORSE CONTRACT HIRE - FLEET 564391,A0081350, 16/06/2016,OPS0271938,339.38,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,47,BLACKBURN DIOCESAN BOARD OF FINANCE LTD,A0049427, 16/06/2016,COR0272018,100,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,BLACKO PRIMARY SCHOOL,A0090260, 23/06/2016,AAS0272168,100,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH,BLUEBELL NORTH WEST LIMITED,A0051694, 09/06/2016,HMR0271785,3950,N,N/A,N,658.33
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 23/06/2016,PCO0272264,1000,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,BOUNCEBACK SAFETY SERVICES LTD,A0063002, 23/06/2016,PCO0272264,1000,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,0,BOWCOM,A0045454, 23/06/2016,PCO0272236,15,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,0,BOWCOM,A0045454, 23/06/2016,PCO0272236,48,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Expenditure : Materials,0,BOWCOM,A0045454, 23/06/2016,PCO0272236,199,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,BRIERFIELD BAPTIST CHURCH,A0056872, 23/06/2016,AAS0272169,100,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Rents,23,BRIERFIELD TOWN COUNCIL,A0000469, 23/06/2016,AAS0272206,100,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Meeting Expenses,46,BRIERFIELD TOWN COUNCIL,A0000469, 16/06/2016,DAL0272043,27,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BRIGGS & DUXBURY LTD,A0000459, 23/06/2016,PCO0272161,2.5,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BRIGGS & DUXBURY LTD,A0000459, 23/06/2016,PCO0272161,9.19,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BRIGGS & DUXBURY LTD,A0000459, 23/06/2016,PCO0272161,115,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272537,34.64,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272538,91.27,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 30/06/2016,AAS0272616,43.63,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272552,18.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272531,808.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272555,71.38,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272546,220.27,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 24/06/2016,AAS0272416,230.9,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272534,47.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272533,56.68,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272550,71.43,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272568,390.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272563,24.96,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 03/06/2016,AAS0272062,135.32,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272561,18.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272529,248.41,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272542,133.73,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272540,57.34,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272528,43.66,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272536,190.57,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272527,97.01,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272554,22.14,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272553,49.01,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272565,70.94,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272551,88.89,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272558,41.59,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272557,133.53,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272524,907.58,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272530,345.78,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272541,67.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272560,16.41,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272547,36.61,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272539,59.32,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272543,18.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272545,301.45,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272544,54.96,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272548,18.44,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272532,159.57,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272564,50.08,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272559,28.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272556,74.5,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272567,511.55,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Premises Related Expense,Electricity,22,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272566,548.54,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,47,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272549,18.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,47,BRITISH GAS BUSINESS,A0069538, 28/06/2016,AAS0272535,70.14,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272068,48,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272075,22,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272164,22,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272163,32,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272075,35,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272073,45,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272164,88,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272073,95,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272074,14,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272165,16,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272074,40,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272067,58,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272165,58,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,21,BROWNS ENGINEERING SERVICES,A0012980, 23/06/2016,PCO0272067,90,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C & R WALNE ENGRAVERS,A0042734, 30/06/2016,PCO0272402,46,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,C B PRICE & SONS BUILDERS,A0052117, 23/06/2016,PCO0272262,750,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,20,C B PRICE & SONS BUILDERS,A0052117, 23/06/2016,PCO0272160,3200,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C B PRICE & SONS BUILDERS,A0052117, 23/06/2016,PCO0272263,480,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C B PRICE & SONS BUILDERS,A0052117, 09/06/2016,PCO0271732,4800,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C B PRICE & SONS BUILDERS,A0052117, 09/06/2016,PCO0271758,4800,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,20,C CHAPMAN,A0061688, 09/06/2016,HED0271741,52.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 09/06/2016,HED0271741,140,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 16/06/2016,HED0271963,45,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 16/06/2016,HED0271963,80,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 16/06/2016,HED0271963,100,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 09/06/2016,HED0271900,90,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 09/06/2016,HED0271924,97.5,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 09/06/2016,HED0271925,105,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 09/06/2016,HED0271924,120,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,21,C CHAPMAN,A0061688, 09/06/2016,HED0271924,120,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD,C CHAPMAN,A0061688, 09/06/2016,HED0271899,135,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 02/06/2016,DAL0271695,80.27,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 09/06/2016,PBC0271750,61.87,N,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 09/06/2016,PBC0271751,171.77,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,EFM : Photocopiers,40,CANON (UK) LIMITED,A0040400, 09/06/2016,OPS0271822,1803.73,N,N/A,N,N/A
