ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,year,type,area,Surname,Forename,Description,Votes,Elected,Electorate
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Burmantofts and Richmond Hill,Nancolas,Hayley Laura,The Conservative Party Candidate,715,,15417
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Burmantofts and Richmond Hill,Seepujak,Neil Amal,Green Party,400,,15417
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Calverley and Farsley,Arbuckle,Kate,Liberal Democrats,431,,17939
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Calverley and Farsley,Bracken,John James,Labour Party,4651,,17939
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Calverley and Farsley,Carter,Amanda Lesley,The Conservative Party Candidate,6005,Elected,17939
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Calverley and Farsley,Lord,Clive,Green Party,560,,17939
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Calverley and Farsley,Murgatroyd,Joe,UK Independence Party (UKIP),1119,,17939
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Chapel Allerton,Arif,Farzana,The Conservative Party Candidate,1692,,17810
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Chapel Allerton,Davies,Mike,Alliance for Green Socialism - Save NHS,555,,17810
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Chapel Allerton,Harris,Mark Daniel,Liberal Democrats,876,,17810
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Chapel Allerton,Rafique,Mohammed,Labour Party,6467,Elected,17810
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Chapel Allerton,Shevlin,Mags,Green Party,1568,,17810
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,City and Hunslet,Aziz,Jahangir,Liberal Democrats,573,,21859
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,City and Hunslet,Carlisle,Ed,Green Party,2694,,21859
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,City and Hunslet,Davey,Patrick Gerard,Labour Party,5292,Elected,21859
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,City and Hunslet,Kungulilo,Khalil Mohammed,UK Independence Party (UKIP),808,,21859
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,City and Hunslet,Salt,Richard Mark,The Conservative Party Candidate,2320,,21859
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,City and Hunslet,Worfolk,Christopher James,The Official Monster Raving Loony Party,104,,21859
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Cross Gates and Whinmoor,Goldthorp,Ben,Green Party,489,,17780
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Cross Gates and Whinmoor,Grahame,Pauleen,Labour Party,5012,Elected,17780
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Cross Gates and Whinmoor,Langwick,Kate Elizabeth,Liberal Democrats,400,,17780
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Cross Gates and Whinmoor,Oddy,Darren Paul,UK Independence Party (UKIP),2363,,17780
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Cross Gates and Whinmoor,Schofield,David,The Conservative Party Candidate,2669,,17780
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Farnley and Wortley,Blackburn,Ann,Green Party,3851,Elected,17854
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Farnley and Wortley,Hardy,John Hamilton,Labour Party,3208,,17854
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Farnley and Wortley,Jacques,Robert Hugh,Liberal Democrats,212,,17854
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Farnley and Wortley,McDougall,Gregory John,UK Independence Party (UKIP),1991,,17854
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Farnley and Wortley,Rahman,Mohammed Abdul,The Conservative Party Candidate,1156,,17854
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Farnley and Wortley,Steeds,Maddy,Trade Unionist and Socialist Coalition,58,,17854
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Garforth and Swillington,Dobson,Mark David,Labour Party,6737,Elected,16245
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Garforth and Swillington,Farrell,Daniel,The Conservative Party Candidate,3137,,16245
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Garforth and Swillington,Galdas,Mitch,Liberal Democrats,270,,16245
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Garforth and Swillington,Jeffries,Lesley,Green Party,327,,16245
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Garforth and Swillington,Maniatt,Mark Stephen,UK Independence Party (UKIP),1297,,16245
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Gipton and Harehills,Douglas,Adam,Liberal Democrats,413,,16272
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Gipton and Harehills,Harvey,Joshua Thomas Arthur,The Conservative Party Candidate,554,,16272
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Gipton and Harehills,Hussain,Arif,Labour Party,6187,Elected,16272
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Gipton and Harehills,Kushman,Marvin,UK Independence Party (UKIP),904,,16272
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Gipton and Harehills,Phizacklea,Peter George,Green Party,319,,16272
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Guiseley and Rawdon,Cleasby,Cindy,Liberal Democrats,1206,,18297
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Guiseley and Rawdon,Hall,Benjamin,Green Party,799,,18297
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Guiseley and Rawdon,Shepherd,Suzie,Labour Party,3678,,18297
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Guiseley and Rawdon,Taylor,Katherynne Anne,UK Independence Party (UKIP),1503,,18297
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Guiseley and Rawdon,Wadsworth,Paul,The Conservative Party Candidate,6268,Elected,18297
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Harewood,Abbey-Philip,Tosin,Labour Party,2035,,15237
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Harewood,Golton,Christine Mavis,Liberal Democrats,638,,15237
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Harewood,Greenberg,Ian Phillip,UK Independence Party (UKIP),1289,,15237
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Harewood,Heath,Janet,Green Party,624,,15237
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Harewood,Procter,Rachael Annis,The Conservative Party Candidate,7103,Elected,15237
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Headingley,Buxton,Bob,A Voice for the Region,70,,13384
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Headingley,Dalton,Iain Alaistair,Trade Unionist and Socialist Coalition,76,,13384
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Headingley,Fox,Diane Elaine,The Conservative Party Candidate,1043,,13384
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Headingley,Goodman,Penny,Liberal Democrats,1038,,13384
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Headingley,Salmon,Joe,Green Party,2647,,13384
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Headingley,Walshaw,Neil Anthony,Labour Party,3351,Elected,13384
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Headingley,Wilson-Sharp,Claire,UK Independence Party (UKIP),162,,13384
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Horsforth,Barry,Harriet Regina,Green Party,873,,17355
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Horsforth,Collins,Dawn Julia,The Conservative Party Candidate,5082,Elected,17355
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Horsforth,Hellyer,Paul,UK Independence Party (UKIP),1047,,17355
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Horsforth,Hughes,Martin Gareth,Liberal Democrats,2480,,17355
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Horsforth,Kelly,Jake,Labour Party,3081,,17355
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Horsforth,McVeigh-Kaye,Gary,Trade Unionist and Socialist Coalition,125,,17355
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Hyde Park and Woodhouse,Aitchison,Thomas Peter,UK Independence Party (UKIP),379,,15432
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Hyde Park and Woodhouse,Belsham-Wray,Tanis Izabelle,Trade Unionist and Socialist Coalition,112,,15432
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Hyde Park and Woodhouse,Foren,Christopher Mark,Green Party,2298,,15432
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Hyde Park and Woodhouse,Hardy,Edward Thomas,The Conservative Party Candidate,1162,,15432
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Hyde Park and Woodhouse,Harper,Gerry,Labour Party,4344,Elected,15432
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Hyde Park and Woodhouse,Hudspith,Ellen Rose Borley,Liberal Democrats,443,,15432
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Killingbeck and Seacroft,Binns,Joanne,Liberal Democrats,304,,16427
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Killingbeck and Seacroft,Dobson,Catherine Frances,Labour Party,4792,Elected,16427
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Killingbeck and Seacroft,Greenwood,Beatrice,The Conservative Party Candidate,1235,,16427
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Killingbeck and Seacroft,Moore,Phil,UK Independence Party (UKIP),2061,,16427
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Killingbeck and Seacroft,Winrow,Louise Sarah,Green Party,350,,16427
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kippax and Methley,Crosfill,Thomas,The Conservative Party Candidate,2878,,16376
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kippax and Methley,Dobson,Emma,Green Party,590,,16376
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kippax and Methley,Harrison,Carmel Francess,Liberal Democrats,344,,16376
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kippax and Methley,Lewis,James,Labour Party,5639,Elected,16376
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kippax and Methley,Smith,Tina,UK Independence Party (UKIP),1934,,16376
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kirkstall,Denner,Paul William Thomas,UK Independence Party (UKIP),1017,,15572
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kirkstall,Heap,Jonathan Mark,Liberal Democrats,548,,15572
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kirkstall,Hudson,Meadow Bethany,Green Party,1755,,15572
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kirkstall,Illingworth,John Anthony,Labour Party,4957,Elected,15572
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kirkstall,Meehan,Dean,Trade Unionist and Socialist Coalition,133,,15572
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Kirkstall,Wharton,Matthew Peter,The Conservative Party Candidate,1184,,15572
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Middleton Park,Blake,Judith,Labour Party,4974,Elected,19052
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Middleton Park,Fisher,Sadie,Liberal Democrats,237,,19052
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Middleton Park,Jones,Nick,Left Unity - Trade Unionists and Socialists,103,,19052
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Middleton Park,Lopez,Zena Alice,The Conservative Party Candidate,1199,,19052
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Middleton Park,Love,Fiona Sarah Heather,Green Party,280,,19052
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Middleton Park,Sweaton,Craig James,UK Independence Party (UKIP),2921,,19052
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Moortown,Campbell,Ros,Alliance for Green Socialism - Save NHS,208,,17563
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Moortown,Charlwood,Rebecca Marie,Labour Party,5572,Elected,17563
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Moortown,Dodsworth,Mark Samuel,The Conservative Party Candidate,3476,,17563
08/05/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Local,Moortown,Finlay,Darren,Liberal Democrats,1232,,17563
