Account Name,Business Address 1,Business Address 2,Business Address 3,Business Address 4,Business Address 5,Business Post Code,Property Description,Rates Payable 17/18,Transitional Amount,Liable From,2017 Rateable Value,Account Type,Small Business Relief,Mandatory Relief,Discretionary Relief,Top Up Discretionary Relief,Exempt Property,VO reference
28A SUPPORTED LIVING LIMITED,6 Market Street,Hemsworth,Pontefract,West Yorkshire,,WF9  4LA,Shop & Premises,£0.00,"£1,210.87",24/10/2012,10750,Occupied,,,Yes,,,1506500061
28A SUPPORTED LIVING LIMITED,Adj. 6 Highfield Road,Hemsworth,Pontefract,West Yorkshire,,WF9  4DP,Shop & Premises,£0.00,£466.42,17/03/2016,11500,Occupied,,,Yes,,,1504400060
28A SUPPORTED LIVING LIMITED,Back 31 Market Street,Hemsworth,Pontefract,West Yorkshire,,WF9  4LR,Shop & Premises,£0.00,-£275.91,28/10/2013,7600,Occupied,,,Yes,,,1506501122
3 UK RETAIL LIMITED,99B Cathedral Walk,The Ridings Centre,Wakefield,West Yorkshire,,WF1  1YD,Shop & Premises,"£10,367.28","£4,425.78",22/11/2007,12750,Occupied,,,,,,2406010992
360 CLICKS LIMITED,Monkroyd Garden Centre,Pontefract Road,Featherstone,Pontefract,West Yorkshire,WF7  5AE,Garden Centre & Premises,£0.00,,01/04/2016,2550,Occupied,Yes,,,,,2206103456
360HC LIMITED,Cedars Business Centre,(Room 16),Barnsley Road,Hemsworth,Pontefract,WF9  4PU,Office,£0.00,,01/04/2017,3300,Occupied,Yes,,,,,1500309916
365 LENDING LIMITED,The Barracks,(Yeomanry Suite),Wakefield Road,Pontefract,West Yorkshire,WF8  4EY,Offices,£0.00,,11/04/2016,5900,Occupied,Yes,,,,,2119857703
365 RESPONSE LIMITED,Second Floor,Unit 6,Benton Office Park,Horbury,Wakefield,WF4  5RA,Offices & Premises,"£8,155.00",,16/12/2016,17500,Occupied,,,,,,2900579063
3D STORAGE SYSTEMS (UK) LIMITED,30 Station Road,Ossett,West Yorkshire,,,WF5  8AD,Offices & Premises,£0.00,-£104.69,19/02/2014,7900,Occupied,Yes,,,,,3314454989
3E CONSULTING ENGINEERS LIMITED,Unit 4 Calder Close,(Part Ground Floor),Calder Park,Wakefield,West Yorkshire,WF4  3BA,Offices & Premises,"£7,898.88","£1,724.38",07/04/2008,13250,Occupied,,,,,,3701638841
3E CONSULTING ENGINEERS LIMITED,Unit 4 Calder Close,(First & Part Ground Fls),Calder Park,Wakefield,West Yorkshire,WF4  3BA,Offices & Premises,"£11,453.38","£2,482.88",01/10/2005,19250,Occupied,,,,,,3701638840
3RD IRIS CREATIVE LTD,3 Chapel Street,Ryhill,Wakefield,West Yorkshire,,WF4  2AD,Cafe & Premises,£0.00,-£903.97,15/05/2017,6000,Occupied,Yes,,,,,0700153333
4 RECYCLING LIMITED,A1 Business Park,Sowgate Lane,Knottingley,West Yorkshire,,WF11 0BU,Offices & Premises,"£16,328.47","£1,532.97",08/05/2015,31750,Occupied,,,,,,2009451234
4 X FORTY ONE LIMITED,Units 1/2 Safeguard House,Millfield Road,Horbury,Wakefield,West Yorkshire,WF4  5EB,Vehicle Rep W'shop & Prem,£0.00,"-£1,626.78",03/08/2009,11500,Occupied,Yes,,,,,2905259020
4G VOICE & DATA LIMITED,52 Lower Oxford Street,Castleford,West Yorkshire,,,WF10 4AL,Offices & Premises,£0.00,"-£1,312.11",04/02/2013,8600,Occupied,Yes,,,,,2610550552
5 STAR COMMERCIAL CLEANING SERVICES LTD,Unit E1,Whitwood Enterprise Park,Speedwell Road,Castleford,,WF10 5PX,Offices & Premises,"£4,893.00",,15/02/2017,10500,Occupied,,,,,,2619237501
5 STAR COMMERCIAL CLEANING SERVICES LTD,Unit E2,Whitwood Enterprise Park,Speedwell Road,Castleford,,WF10 5TT,Offices & Premises,"£5,233.01",£223.51,05/05/2017,10750,Occupied,,,,,,2619237502
5 STAR LOCAL CARS LIMITED,152 Kirkgate,Wakefield,West Yorkshire,,,WF1  1TU,Shop & Premises,£0.00,-£297.64,10/01/2013,5700,Occupied,Yes,,,,,2418508152
5 TOWNS SALES & LETTINGS LIMITED,6 & 8 Gillygate,Pontefract,West Yorkshire,,,WF8  1PQ,Shop & Premises,"£8,293.82","£3,517.32",10/11/2014,10250,Occupied,,,,,,2107850060
5 TOWNS SALES & LETTINGS LIMITED,69 Bridge Street,Castleford,West Yorkshire,,,WF10 1HH,Shop & Premises,"£1,654.65",-£433.00,31/10/2016,4600,Occupied,,,,,,2601900690
5TOWNS FRUIT AND VEG LIMITED,Unit 3A,Foundry Business Centre,Lamb Inn Road,Knottingley,West Yorkshire,WF11 8AX,Workshop & Premises,£0.00,-£728.04,01/09/2016,5400,Occupied,Yes,,,,,200651236
6B DIGITAL LIMITED,Unit 1 The Office Campus,Red Hall Court,Paragon Business Village,Wakefield,West Yorkshire,WF1  2UY,Offices & Premises,£0.00,£0.00,26/06/2017,12000,Occupied,Yes,,,,,3110432750
8TH WAKEFIELD SCOUT GROUP,The Wharf,Rear Of 214 Bridge Road,Horbury,Wakefield,West Yorkshire,WF4  5PP,Hall & Premises,£0.00,,11/04/2016,3600,Occupied,,Yes,,Yes,,2900809909
9TH WAKEFIELD & OSSETT SCOUT GROUP,86 Manor Road,Ossett,West Yorkshire,,,WF5 0LF,Clubhouse & Premises,£0.00,£363.88,01/06/2013,4050,Occupied,,Yes,,Yes,,3310100860
A & A CORE SUPPLIES LIMITED,Unit 2,Rear Of 37 Wakefield Road,Ossett,West Yorkshire,,WF5  9JA,Workshop & Premises,"£3,507.88",-£658.65,01/04/2010,9200,Occupied,,,,,,3316709301
A & A CORE SUPPLIES LIMITED,Unit 3,Ashley Industrial Estate,Wakefield Road,Ossett,West Yorkshire,WF5  9JD,Warehouse & Premises,"£6,265.63",-£393.95,26/05/2015,14750,Occupied,,,,,,3316709030
A & A RESTAURANTS MIDDLESTOWN LIMITED,93 New Road,Middlestown,Wakefield,West Yorkshire,,WF4  4NS,Restaurant & Premises,£0.00,,21/11/2013,10750,Occupied,Yes,,,,,4102307956
A & G SIGNS LIMITED,18 & 7A Ferrybridge Road,Castleford,West Yorkshire,,,WF10 4JJ,Offices & Premises,£0.00,-£16.20,05/01/2017,8600,Occupied,Yes,,,,,2605551235
A & G SIGNS LIMITED,18 & 7A Ferrybridge Road,Castleford,West Yorkshire,,,WF10 4JJ,Offices & Premises,"£1,663.58",-£308.38,14/03/2017,5000,Unoccupied,,,,,,2605551234
A & J INNS LIMITED,15 Beastfair,Pontefract,West Yorkshire,,,WF8  1AL,Wine Bar & Premises,"£8,621.00",,03/11/2003,18500,Occupied,,,,,,2103301515
A & J INNS LIMITED,Vips & Silks,13 Beastfair,Pontefract,West Yorkshire,,WF8  1AL,Nightclub & Premises,"£5,592.00",,10/05/2002,12000,Occupied,,,,,,2103309003
A & J INNS LIMITED,Big Fellas,13 Beastfair,Pontefract,West Yorkshire,,WF8  1AL,Nightclub & Premises,"£17,194.87",£884.87,10/05/2002,35000,Occupied,,,,,,2103309002
A & J INNS LIMITED,Bar Liquid 12,Shoemarket,Pontefract,West Yorkshire,,WF8  1BJ,Public House & Premises,"£10,774.27",£846.57,01/05/2008,23450,Occupied,,,,,,2104959050
A & J INNS LIMITED,Elephant Hotel,Market Place,Pontefract,West Yorkshire,,WF8  1AG,Public House & Premises,"£15,811.87","-£2,914.11",23/12/2011,43200,Occupied,,,,,,2111809070
A & J INNS LIMITED,15 Market Place,Pontefract,West Yorkshire,,,WF8  1AG,Shop & Premises,"£9,281.18",£77.68,31/07/2014,19750,Occupied,,,,,,2111800150
A & J INNS LIMITED,Redoubt Inn,28 Horbury Road,Wakefield,West Yorkshire,,WF2  8TS,Public House & Premises,"£4,134.27","£1,033.47",15/11/2016,8800,Occupied,,,,,,2416500280
A & J INNS LIMITED,The Tap 'n' Tackle,Carlton Street,Castleford,West Yorkshire,,WF10 1AN,Public House & Premises,"£3,198.75","-£1,509.75",23/07/2015,12250,Occupied,,,,,,2602559110
A & J INNS LIMITED,1 Powell Street,Castleford,West Yorkshire,,,WF10 1EL,Club & Premises,"£5,009.50",,09/12/2009,10750,Occupied,,,,,,2613200010
A & J INNS LIMITED,Victoria Hotel,Victoria Street,Horbury,Wakefield,West Yorkshire,WF4  6EH,Public House & Premises,"£1,060.50",-£921.90,24/11/2016,6400,Occupied,,,,,,2908509010
A & M SPECIALIST EXHAUST CENTRE LIMITED,Unit 7,Ashley Industrial Estate,Wakefield Road,Ossett,West Yorkshire,WF5 9JD,Workshop & Premises,"£7,267.62",-£289.22,01/04/2005,16750,Occupied,,,,,,3316700071
A 2 Z ESSENTIALS LIMITED,44-46 Northgate,Wakefield,West Yorkshire,,,WF1  3AN,Shop & Premises,"£13,397.50",,23/01/2012,28750,Occupied,,,,,,2423504446
A A H PHARMACY CONCESSIONS LTD T/A VANTAGE CHEMISTS,71 Stockingate,South Kirkby,Pontefract,West Yorkshire,,WF9 3NU,Shop & Premises,"£1,910.60",,01/02/2003,4100,Occupied,,,,,,1006750710
A A H PHARMACY CONCESSIONS LTD T/A VANTAGE CHEMISTS,40-42 Northgate,Wakefield,West Yorkshire,,,WF1  3AN,Shop & Premises,"£13,745.90",-£700.10,03/03/2003,31000,Occupied,,,,,,2423500400
A AND K MCQUIRE LIMITED,178 Batley Road,Wakefield,West Yorkshire,,,WF2  0AJ,Workshop & Premises,£0.00,-£719.91,01/10/2015,11000,Occupied,Yes,,,,,2402300179
A C PILMER AUTOMATIC MUSIC LIMITED,Unit 4 Parkway House,Ashley Industrial Estate,Wakefield Road,Ossett,West Yorkshire,WF5 9JD,Warehouse & Premises,£0.00,-£538.74,01/10/2014,10500,Occupied,Yes,,,,,3316700040
A C R (NORTHERN) LIMITED,Unit 3 Wakefield,Commercial Park,Bridge Road,Horbury,Wakefield,WF4  5NW,Warehouse & Premises,£0.00,,01/07/2015,7700,Occupied,Yes,,,,,2900800303
A CHARLESWORTH BUTCHERS & CONFECTIONERS LI,5 High Street,Horbury,Wakefield,West Yorkshire,,WF4  5AB,Shop & Premises,£0.00,-£274.85,01/04/1990,9600,Occupied,Yes,,,,,2903900050
A LINE LEISURE LIMITED,Rocking Horse Hotel,Barden Road,Wakefield,West Yorkshire,,WF1  4HP,Public House & Premises,£0.00,-£399.88,27/01/2015,5975,Occupied,Yes,,,,,2401909010
A MIND OF FIGURES LIMITED,Suite 14,First Floor - Unit 6,Wakefield Road,Horbury,Wakefield,WF4  5RA,Offices & Premises,£0.00,-£169.36,01/01/2018,3200,Occupied,,,,,,2900577776
A R JOINERY (DESIGN & MANUFACTURE) LIMITED,Unit 1B All Saints,Industrial Estate,Baghill Lane,Pontefract,West Yorkshire,WF8  2HA,Workshop & Premises,"£2,159.85",-£990.86,01/04/2008,13250,Occupied,Yes,,,,,2101157039
A S CARLTON LIMITED,10 Station Road,Ossett,West Yorkshire,,,WF5 8AD,Shop & Premises,£0.00,,01/03/2008,10500,Occupied,Yes,,,,,3314450100
A S INSURANCE SERVICES LIMITED,19 Market Street,Hemsworth,Pontefract,West Yorkshire,,WF9  4JY,Offices & Premises,"£2,211.68",£161.28,01/06/2017,4400,Occupied,,,,,,1506500190
A S K MATERIALS HANDLING LIMITED,Unit 5 Parkway House,Ashley Industrial Estate,Wakefield Road,Ossett,West Yorkshire,WF5  9JD,Workshop & Premises,"£2,656.62",-£977.77,01/10/2009,13500,Occupied,Yes,,,,,3316700075
A SHARE & SONS LIMITED T/A SCS,Unit 5 Westgate Retail Park,Ings Road,Wakefield,West Yorkshire,,WF2  9SD,Retail Warehouse,"£97,716.00",,25/05/2001,204000,Occupied,,,,,,2406407105
A STANLEY JOINERS LIMITED,Basford Street,Wakefield,West Yorkshire,,,WF2  9BP,Workshop & Premises,£763.91,-£269.64,01/04/1993,2275,Occupied,,,,,,2402250900
A STANLEY JOINERS LIMITED,Unit 8,Mallard Industrial Park,Charles Roberts Street,Horbury,Wakefield,WF4  5ES,Workshop & Premises,"£11,719.45",,25/02/2008,25500,Occupied,,,,,,2901279098
A TAYLOR ROOFING LIMITED,Yard 1 At,2 New Street,Kinsley,Pontefract,West Yorkshire,WF9  5JB,Land Used For Stor'& Prem,£0.00,"-£1,431.75",01/05/2016,7800,Occupied,Yes,,,,,1510004325
A TOUCH OF GLASS (YORKSHIRE) LIMITED,Unit 8 Springfield Mills,Spa Street,Ossett,West Yorkshire,,WF5  0HW,Store & Premises,£0.00,-£592.95,01/02/2016,6000,Occupied,Yes,,,,,3314210257
A&S CHAPTER7 LIMITED,10 Silver Street,Wakefield,West Yorkshire,,,WF1  1UY,Cafe & Premises,"£7,701.41",£245.41,05/06/2017,16000,Occupied,,,,,,2428870100
A. CLARKE & COMPANY (SMETHWICK) LIMITED,Bridge Works,Wakefield Road,Ossett,West Yorkshire,,WF5  9JY,Warehouse & Premises,"£25,626.50",,11/03/1992,53500,Occupied,,,,,,3316709160
A. MELBOURNE LIMITED,The Garage,Basford Street,Wakefield,West Yorkshire,,WF2  9BP,Vehicle Repair W/shop & P,£0.00,"-£1,182.25",01/04/2014,9100,Occupied,Yes,,,,,2402251397
A.C.T. (NATIONAL) LIMITED,2 Harropwell Lane,(Room 9),Pontefract,West Yorkshre,,WF8  1QY,Offices & Premises,£0.00,-£348.44,01/08/2014,2750,Occupied,Yes,,,,,2109350909
A.E.T. ENGINEERING LIMITED,Beckbridge Road,Normanton,West Yorkshire,,,WF6  1TE,Factory & Premises,"£16,892.50",,01/04/2017,36250,Occupied,,,,,,2701026547
A.F. BLAKEMORE & SON LIMITED,Premier Way,Oulton,Leeds,West Yorkshire,,LS26 8ZA,Warehouse & Premises,"£186,810.00",,29/09/2010,390000,Occupied,,,,,,3136901010
A.I.P. COMPRESSOR SERVICES LIMITED,Logic Works,Rear Of 251 Dewsbury Road,Ossett,West Yorkshire,,WF5  9QF,Workshop & Premises,"£8,504.50",,07/03/2016,18250,Occupied,,,,,,3303902417
A.J. GLASSFIBRE LIMITED,Factory A & B,Carr Wood Road,Glasshoughton,Castleford,West Yorkshire,WF10 4SB,Factory & Premises,"£25,147.50",,01/04/2010,52500,Occupied,,,,,,2602809060
A.L.L. RECRUITMENT LIMITED,12-14 King Street,(Ground & Part First Fl.),Wakefield,West Yorkshire,,WF1  2SQ,Offices & Premises,£0.00,,01/04/2010,7000,Occupied,Yes,,,,,2418301214
A1 AUTOFARM LIMITED,Great North Road,Ferrybridge,Knottingley,West Yorkshire,,WF11 0BS,Car Sales Area & Land,£0.00,£594.24,08/08/2016,7200,Occupied,Yes,,,,,2004706521
A1 CAR RECYCLERS LIMITED,New Lane Garage,New Lane,Upton,Pontefract,West Yorkshire,WF9  1HJ,Workshop & Premises,£0.00,£0.00,22/06/2017,12000,Occupied,Yes,,,,,1201208963
A1 FOOTBALL COMMUNITY TRUST,A1 Business Park,Sowgate Lane,Knottingley,West Yorkshire,,WF11 0BU,Warehouse & Premises,£0.00,,13/10/2015,187000,Occupied,,Yes,,Yes,,2009456060
AAGRAH (SANDAL) LLP,108 Barnsley Road,Wakefield,West Yorkshire,,,WF1  5NX,Restaurant & Premises,"£11,663.19","£1,294.69",05/02/2017,22250,Occupied,,,,,,2402059517
AAH PLC,The Pharmacy,Carleton Glen,Pontefract,West Yorkshire,,WF8  2RX,Shop & Premises,"£3,776.65","-£14,164.35",01/04/1999,38500,Occupied,,,,,,2103209100
AAH RETAIL PHARMACY LTD,Adj. Orchard Croft,Medical Centre,Cluntergate,Horbury,Wakefield,WF4  5DB,Shop & Premises,"£5,831.60","-£2,323.40",21/02/1994,17500,Occupied,,,,,,2901809001
AAH RETAIL PHARMACY LTD T/A HILLS PHARMACY,Northgate Close,Pontefract,West Yorkshire,,,WF8  1JL,Shop & Premises,"£2,935.80",,01/04/1990,6300,Occupied,,,,,,2113659320
AB SITE SOLUTIONS LIMITED,Unit 18 Horbury Junction,Industrial Estate,Calder Vale Road,Horbury,Wakefield,WF4  5ER,Workshop & Premises,"£14,997.14","-£1,296.88",10/10/2014,36750,Occupied,,,,,,2901030180
ABAXAS EDUCATION LIMITED,Unit 8,Clarke Hall Farm,Aberford Road,Wakefield,West Yorkshire,WF1  4AL,Offices & Premises,£0.00,,01/12/2011,8600,Occupied,Yes,,,,,2400109800
ABBEY INDUSTRIAL SOLUTIONS LIMITED,Unit 7 Tuscany Court,Express Way,Normanton,West Yorkshire,,WF6  2TZ,Warehouse & Premises,"£21,669.00",,01/12/2006,46500,Occupied,,,,,,2720000701
ABBEY INDUSTRIAL SOLUTIONS LIMITED,Unit 5 Tuscany Court,Express Way,Normanton,West Yorkshire,,WF6  2TZ,Workshop & Premises,"£7,769.22",£0.00,07/09/2017,24750,Unoccupied,,,,,,2720000150
ABBEYCARS (WAKEFIELD) LIMITED,550A Leeds Road,(First Floor Office),Outwood,Wakefield,West Yorkshire,WF1 2DX,Offices & Premises,£0.00,-£389.52,01/04/1992,8400,Occupied,Yes,,,,,3107145501
ABBOTT FIELDING LIMITED T/A GRIFFINS,24 Albion Street,Castleford,West Yorkshire,,,WF10 1EN,Shop & Premises,£0.00,£872.19,01/04/2016,4400,Unoccupied,,,,,Yes,2600400240
ABBOTT FIELDING LIMITED T/A GRIFFINS,26 Albion Street,Castleford,West Yorkshire,,,WF10 1EN,Shop & Premises,£0.00,£773.04,01/04/2016,3850,Unoccupied,,,,,Yes,2600400260
ABBOTTS (SHARLSTON) LIMITED,10 Towers Lane,Crofton,Wakefield,West Yorkshire,,WF4  1PT,Store & Premises,£0.00,-£692.18,21/04/2004,4600,Occupied,Yes,,,,,3803750140
ABC CARS (WFLD) LIMITED,36 Lower Warrengate,Wakefield,West Yorkshire,,,WF1  1SA,Taxi Booking Office,£0.00,-£115.18,10/09/2011,2750,Occupied,Yes,,,,,2419809360
ABCON READY MIXED CONCRETE LIMITED,Hoyle Mill Road,Kinsley,Pontefract,West Yorkshire,,WF9 5JB,Conc' Batch' Plant & Prem,"£10,654.85",-£53.85,02/11/2000,24250,Occupied,,,,,,1505159130
ABDULS CITY LIMITED,17-19 Jacobs Well Lane,Wakefield,West Yorkshire,,,WF1  3NR,Restaurant & Premises,£0.00,,01/09/2015,10750,Occupied,Yes,,,,,2417400179
ABDULS LIMITED,Southgate,Pontefract,West Yorkshire,,,WF8 1LN,Restaurant & Premises,"£4,210.18",-£422.24,01/04/2005,10250,Occupied,,,,,,2117452701
ABLE MOBILITY LIMITED,88/90 Carlton Street,Castleford,West Yorkshire,,,WF10 1EE,Shop & Premises,£0.00,"£1,633.49",01/01/2010,11750,Occupied,Yes,,,,,2602550880
ABNSA LIMITED T/A SPECIALITY SANDWICH SHOP,2A Market Place,Ossett,West Yorkshire,,,WF5  8BQ,Shop & Premises,£0.00,,16/07/2001,5300,Occupied,Yes,,,,,3310259030
ABRAHONE ENGINEERING LTD,Unit 4,Thornes Trading Estate,Thornes Lane,Wakefield,West Yorkshire,WF1  5QN,Workshop & Premises,£0.00,,01/04/1990,11750,Occupied,Yes,,,,,2432850040
ABSOLUTE WAREHOUSE SERVICES LIMITED,Unit A Park 40,Flanshaw Way,Wakefield,West Yorkshire,,WF2  9LP,Warehouse & Premises,"£101,010.34","£7,605.34",01/04/2010,195000,Occupied,,,,,,2412068100
ACADEMY CHILD CARE CENTRE LIMITED,Homestead Drive,Wakefield,West Yorkshire,,,WF2  9PE,Day Nursery & Premises,"£3,715.50",£0.00,04/11/2017,20500,Unoccupied,,,,,,2416409000
ACADEMY OF CLINICAL EXCELLENCE LIMITED,13-14 Navigation Court,Calder Park,Wakefield,West Yorkshire,,WF2  7BJ,Dental Training Centre,"£27,103.03","£11,375.53",01/04/2010,33750,Occupied,,,,,,3701639134
ACCENTHANSEN LIMITED,Unit 6 Milner Yard,Milner Way,Ossett,West Yorkshire,,WF5  9JE,Workshop & Premises,"£14,479.59","-£1,597.41",02/05/2017,34500,Occupied,,,,,,3310606655
ACCESS HIRE NATIONWIDE LIMITED,Unit 5 Euro Court,Tuscany Way,Normanton,West Yorkshire,,WF6  2UA,Warehouse & Premises,"£32,075.48",,28/03/2008,67000,Occupied,,,,,,2720009105
ACCORD MULTI ACADEMY TRUST T/A HORBURY AC,Horbury Primary School,Northfield Lane,Horbury,Wakefield,West Yorkshire,WF4 5DW,School & Premises,"£4,529.13",,01/12/2016,50000,Occupied,,Yes,,,,2905659070
ACCORD MULTI ACADEMY TRUST T/A MIDDLESTOWN,Middlestown J & I School,24 Cross Road,Middlestown,Wakefield,West Yorkshire,WF4 4QE,School & Premises,"£2,736.12","-£1,520.36",01/12/2016,34250,Occupied,,Yes,,,,4100850240
ACE MOTORS (SOUTH ELMSALL) LIMITED,Unit 1 Camelot Way,South Elmsall,Pontefract,West Yorkshire,,WF9  2HX,Workshop & Premises,£0.00,"-£1,924.97",15/04/2015,11250,Occupied,Yes,,,,,0801250101
ACE RECRUITMENT (UK) LIMITED,88 Station Lane,Featherstone,Pontefract,West Yorkshire,,WF7  5BB,Shop & Premises,£0.00,,01/04/2011,2350,Occupied,Yes,,,,,2207450880
ACE TAXIS (WAKEFIELD) LIMITED,4A Cheapside,Wakefield,West Yorkshire,,,WF1  2SD,Shop & Premises,£0.00,"£1,227.96",01/04/1999,2450,Occupied,Yes,,,,,2406500042
ACE UK TRADING LIMITED,152 Castleford Road,Normanton,West Yorkshire,,,WF6  2EP,Warehouse & Premises,"£6,138.78","-£1,222.54",01/10/2010,16250,Occupied,,,,,,2702057152
ACECARE LIMITED,Unit 21 Horbury Junction,Industrial Estate,Calder Vale Road,Horbury,Wakefield,WF4  5ER,Vehicle Rep W'shop & Prem,"£2,073.45","-£1,198.21",01/04/1990,13250,Occupied,Yes,,,,,2901030210
ACKTON PASTURES PRIMARY ACADEMY,Ackton Pastures J & I School,College Grove,Castleford,West Yorkshire,,WF10 5NS,School & Premises,"£6,239.25",,01/03/2017,68000,Occupied,,Yes,,,,2603550900
ACKWORTH COMMUNITY LIBRARY,Former Ackworth Library,Bell Lane,Ackworth,Pontefract,West Yorkshire,WF7  7JH,Clubhouse & Premises,£0.00,,23/05/2013,3200,Occupied,,Yes,,Yes,,0100554569
ACKWORTH MILL DAM ACADEMY,Mill Dam J & I School,Mill Lane,Ackworth,Pontefract,West Yorkshire,WF7  7NG,School & Premises,"£2,610.34","-£1,627.33",01/07/2017,31500,Occupied,,Yes,,,,0103107010
ACKWORTH SCHOOL,Ackworth School,Pontefract Road,Ackworth,Pontefract,,WF7  7LT,School & Premises,"£31,853.50",,01/04/1990,332500,Occupied,,Yes,,,,0103609370
ACKWORTH SERVICE STATION LIMITED,Barnsley Road,Ackworth,Pontefract,West Yorkshire,,WF7  7HY,Petrol Fill' Stat' & Prem,"£20,530.88",,23/05/2011,46250,Occupied,,,,,,0100409900
ACORN WEB OFFSET LTD,Loscoe Close,Normanton,West Yorkshire,,,WF6  1TW,Factory & Premises,"£120,662.90",£912.90,01/04/1990,250000,Occupied,,,,,,2707137908
ACP INDEPENDENT FINANCIAL ADVISERS LTD,47 Market Street,Hemsworth,Pontefract,West Yorkshire,,WF9  4LR,Shop & Premises,£0.00,,01/04/2005,2850,Occupied,Yes,,,,,1506500470
ACR PLASTERING LIMITED,Unit 4 Grange House,Grange Street,Wakefield,West Yorkshire,,WF2  8TG,Store & Premises,£0.00,-£261.79,01/03/2017,2425,Occupied,Yes,,,,,2413655321
ACROPOLIS DESIGN LIMITED,3 Cluntergate,Horbury,Wakefield,West Yorkshire,,WF4  5AF,Offices & Premises,£0.00,,31/01/2015,5000,Occupied,Yes,,,,,290539003
ACRYLIC WORKTOPS LIMITED,Unit 8 Fernley Green Road,Knottingley,West Yorkshire,,,WF11 8DH,Workshop & Premises,£0.00,-£711.54,04/09/2015,7200,Occupied,Yes,,,,,2003830080
AC-SYS LIMITED,Unit 5 Valencia Court,Pontefract Road,Normanton,West Yorkshire,,WF6  1ZD,Warehouse & Premises,£0.00,-£130.34,31/05/2016,8400,Occupied,Yes,,,,,2702600505
ACTAVO (UK) LIMITED,Diamond House,(Room 3C Lower Ground Fl),Diamond Business Park,Thornes Moor Road,Wakefield,WF2  8PT,Offices & Premises,£355.57,-£121.26,20/07/2016,1050,Occupied,,,,,,2433107814
ACTAVO (UK) LIMITED,Diamond House,(Store C),Diamond Business Park,Thornes Moor Road,Wakefield,WF2  8PT,Offices & Premises,£269.55,-£89.27,20/07/2016,770,Occupied,,,,,,2433108005
ACTAVO (UK) LIMITED,Block C Cedar Court,Office Park,Denby Dale Road,Calder Grove,Wakefield,WF4  3AA,Offices,"£33,323.40","£12,819.40",29/09/2013,44000,Occupied,,,,,,3701639003
