establishmentname,establishmentaddressline1,establishmentaddressline2,establishmentaddressline3,establishmentaddressline4,postcode,rating,latitude,longitude,inspectiondate
Shorts Sports & Recreation Club,Short Brothers Recreation Club,,366a Holywood Road,Belfast,BT4 1SJ,,375956,337991,16/03/2013
The Spaniard,,,3 Skipper Street,Belfast,BT1 2DZ,4,374505,334058,24/06/2014
The Bar with No Name,,,44 Dublin Road,Belfast,BT2 7HN,5,373435,333706,22/07/2014
Cliftonville Golf Club Catering,,,44 Westland Road,Belfast,BT14 6NH,3,376868,332306,31/10/2015
Bootleggers,,,46 Church Lane,Belfast,BT1 4QN,1,374348,334157,15/06/2015
Sunflower Public House,,,65 Union Street,Belfast,BT1 2JG,5,374723,333642,10/02/2015
Bittles Bar,,,70 Upper Church Lane,Belfast,BT1 4QL,5,,,06/12/2013
Harland & Wolff Staff Sports & Recreation Association,Magdala House,,8-10 Dundela Avenue,Belfast,BT4 3BQ,5,374445,337013,31/07/2014
Fountain Bar,,,880-882 Shore Road,Newtownabbey,BT36 7DQ,5,379611,334292,18/08/2014
The Farmers,,,91 Colinglen Road,Belfast,BT17 0LW,,369878,326337,
The Poet,,Gilnahirk,Kings Square,,BT5 7EA,3,,,29/07/2014
Glentoran Football Club ( The Oval),,,Parkgate Drive,,BT4 1EW,4,,,20/08/2013
Ballynafeigh Apprentice Boys Club,,,1-5 Walmer Street,Belfast,BT7 3ED,4,372020,334447,07/07/2014
Fitzgeralds,,,123-127 New Lodge Road,Belfast,BT15 2BX,5,375654,333643,03/03/2015
Cavehill Inn,,,169-175 Cavehill Road,Belfast,BT15 5BP,4,377340,332882,08/03/2015
North Belfast Orange Memorial Hall,,,170 Alexandra Park Avenue,Belfast,BT15 3GJ,5,376522,333633,19/03/2015
Sliabh Dubh Bar,Sliabh Dubh,,179 Whiterock Road,Belfast,BT12 7FW,4,373630,330180,25/08/2015
Linfield Supporters Club,Jumna Street Linfield Supporte,,Crimea Street,Belfast,BT13 1LT,5,374967,332587,16/06/2014
Leopold & Heather Street Social Club,,,1A Heather Street,Belfast,BT13 3DQ,4,375296,331906,16/06/2014
Villa,,,2-16 Dunbar Street,Belfast,BT1 2LH,5,374653,334085,12/12/2014
Whites Tavern,,,2-4 Winecellar Entry,Belfast,BT1 1QN,3,374397,333928,21/05/2014
The Belfast Club,,,20 Pakenham Street,Belfast,BT7 1AB,4,373283,333714,26/02/2013
Pavilion Bar,,,296-298 Ormeau Road,Belfast,BT7 2GB,5,371809,334720,25/03/2015
Royal Hospital Sports Centre,Royal Victoria Hospital,,Grosvenor Road,Belfast,BT12 6BA,4,373763,332322,28/03/2014
The Bankers Club,,,31 Malone Road,Belfast,BT9 6RU,4,372235,333325,30/06/2014
North Belfast Working Men's Club,,,32A Danube Street,Belfast,BT13 1RT,4,375384,332342,12/05/2012
Royal Bar,,,33-35 Donegall Road,Belfast,BT12 5JJ,4,373202,333455,13/06/2014
First Shankill NI Supporters Club,,,352-356 Shankill Road,Belfast,BT13 3AD,5,,,17/11/2014
Prince Albert Bar,,,356-359 Albertbridge Road,Belfast,BT5 4GX,4,,,02/10/2015
Sandy Row Rangers Supporters Club,,,37-39 Donegall Road,Belfast,BT12 5JL,5,373193,333422,06/10/2015
The Grand Opera House,Grand Opera House,,Great Victoria Street,Belfast,BT2 7HR,4,373858,333509,09/09/2015
Mountainview Tavern,,,417-421 Shankill Road,Belfast,BT13 3AG,4,375010,331888,20/02/2013
St Malachy's Old Boys Association,,,442 Antrim Road,Belfast,BT15 5GB,4,382635,331224,16/06/2014
Balmoral Golf Club Ltd (BAR),Balmoral Golf Club,,518 Lisburn Road,Belfast,BT9 6GX,4,370508,331436,07/07/2014
Irish Republican Felons Club,,,537 Falls Road,Belfast,BT11 9AB,1,372346,330673,23/03/2015
Knock Golf Club,,,634 Upper Newtownards Road,Belfast,BT4 3ST,4,374806,340267,12/08/2014
Colt Cuisine @ Knock Golf Club Restaurant,,,634 Upper Newtownards Road,Belfast,BT4 3ST,5,374806,340267,31/07/2014
Michael Davitt GAC,,,75-79 Falls Road,Belfast,BT12 4PE,4,374023,332279,13/06/2012
Arthur Ward's Bar,,,776-778 Shore Road,Belfast,BT15 4HN,4,379238,334187,07/01/2015
Glentoran Castlereagh Supporters,,,8A Grand Parade,Belfast,BT5 5HH,4,372936,336597,07/08/2014
Highfield Rangers Supporters Club,,,9-15 Highgate Terrace,Belfast,BT13 3RQ,4,374642,330881,16/06/2014
McKenna's Bar,,,903 Crumlin Road,Belfast,BT14 8AB,4,376902,330789,16/03/2015
Belmont Social Club,Ciyms Club House,,91-93 Circular Road,Belfast,BT4 2GD,5,375089,338385,23/12/2014
Pony Trotting Sports & Social Club,,,92 Malvern Street,Belfast,BT13 1JB,5,374984,332902,06/07/2012
Shankill H.P.S. Social Club,,,31 Bell Close,Belfast,BT13 3GH,4,,,02/07/2013
Cock & Hen,,,1-3 Lord Street,Belfast,BT5 4QG,4,373801,335891,29/05/2013
Love & Death Inc.,,,10A Ann Street,Belfast,BT1 4EF,2,374292,334006,28/10/2015
The Raven Social Club,,,11-15 Castlereagh Street,Belfast,BT5 4NE,5,373805,335543,31/05/2012
The Longfellow Bar,,,115-119 My Ladys Road,Belfast,BT6 8FE,5,373392,335420,18/10/2012
Rafa Club,,,123 The Mount,Belfast,BT5 4ND,5,373807,335508,25/02/2014
Hillfoot Glentoran Supporters Club,,,126-136 Castlereagh Road,Belfast,BT5 5FS,4,373282,336027,07/01/2015
Hatfield House Bar,Hatfield House,,130 Ormeau Road,Belfast,BT7 2EB,3,372808,334342,14/08/2015
Royal British Legion,,,13 Sandbrook Gardens,Belfast,BT4 1NH,4,375153,336864,24/07/2015
Cresta Golf & Social Club,,,156-158 Castlereagh Road,Belfast,BT5 5FT,4,,,23/05/2013
Beechers Brook,,,18-24 Castlereagh Road,Belfast,BT5 5FP,4,373587,335866,17/06/2013
Harland & Wolff Welders Club,,,18 Dee Street,Belfast,BT4 1FT,5,374393,335932,02/04/2015
The Point Bar,,,195-199 Upper Newtownards Road,Belfast,BT4 3JB,4,373968,337690,18/08/2014
Portside Inn,,,1 Dargan Road,Belfast,BT3 9LZ,5,377671,334766,03/09/2015
Blades Social Club,,,205 Beersbridge Road,Belfast,BT5 4RR,5,373525,336071,07/02/2015
The Great Eastern Bar,,,273 Newtownards Road,Belfast,BT4 1AF,4,374294,335959,13/06/2014
Dundela Football & Rec Club,,,2a Wilgar Street,Belfast,BT4 3BL,4,374468,337147,29/05/2013
The Box,"Unit 1, Odyssey Pavilion",,2 Queens Quay,Belfast,BT3 9QQ,5,374853,334757,23/07/2015
Rockies Sports Bar (Odyssey Pavilion),Odyssey Pavilion,,2 Queens Quay,Belfast,BT3 9QQ,5,374853,334757,12/10/2014
East Belfast Constitutional Club,,,353 Newtownards Road,Belfast,BT4 1AJ,4,374248,336176,16/06/2014
My Ladys Inn,,,36 My Ladys Road,Belfast,BT6 8FB,5,373508,335196,10/09/2013
Hawarden Tennis Club,,,3 Clonlee Drive,Belfast,BT4 3DA,4,374137,337291,10/01/2013
Thompsons Garage,,,3 Pattersons Place,Belfast,BT1 4HW,4,374049,333971,02/06/2015
Westbourne Glentoran Supporters Club,,,3 Solway Street,Belfast,BT4 1HN,5,374538,335885,30/08/2013
Ulster Maple Leaf Sports & Social Club,,,41-43 Park Avenue,Belfast,BT4 1PU,5,374716,337043,24/05/2013
Cosy Bar,,,44-46 Omeath Street,Belfast,BT6 8ND,4,373147,335582,23/06/2015
Mount Masonic Hall,,,45 Park Avenue,Belfast,BT4 1PU,5,374792,337039,07/11/2013
The Strand Bar,,,62 Mountpottinger Road,Belfast,BT5 4LP,5,374122,335243,25/07/2014
East Belfast Working Mens Club,,,66-70 Chamberlain Street,Belfast,BT5 4JE,3,374230,335892,18/02/2014
Belmont Bowling Club,1 Belmont Bowling Club,,6A Kincora Avenue,Belfast,BT4 3DW,4,374207,337856,15/03/2015
El Divino,Mays Meadow,,Laganbank Road,Belfast,,5,,,15/05/2012
St Matthew's Social club,St Matthews Sports & Social Cl,,Mountforde Road,Belfast,BT5 4GJ,5,374199,335289,13/03/2015
Hudson Bar,,,10-14 Gresham Street,Belfast,BT1 1JN,4,374585,333682,18/06/2014
The Five O'Clock Lounge,Cityside Retail Park,,100-150 York Street,Belfast,BT15 1WA,5,375412,334000,08/08/2013
Liverpool Supporters Club,,,110B Disraeli Street,Belfast,BT13 3HX,4,375414,331840,06/07/2012
Glen Park,,,14-16 Ardoyne Avenue,Belfast,BT14 7DA,3,375951,332170,23/03/2015
Patrick Mc Laughlin,,,147-153 Antrim Road,Belfast,BT15 2GW,5,375832,333409,16/06/2014
Mount Inn,,,156 North Queen Street,Belfast,BT15 1HQ,4,375798,334000,07/02/2013
Phoenix Bar,,,179-181 Antrim Road,Belfast,BT15 2GW,3,375886,333398,27/03/2014
Woodvale Cricket & Tennis Club,,,19-21 Ballygomartin Road,Belfast,BT13 3LA,5,375409,331517,24/05/2013
West Belfast Homing Pigeon Society,,,19A Bootle Street,Belfast,BT13 3GQ,4,375132,332131,14/08/2013
Ardoyne GAC,,,1A Flax Street,Belfast,BT14 7EJ,4,375820,332067,21/03/2015
Hole in the Wall,,,1 Baltic Avenue,Belfast,BT15 2HR,5,376230,333295,12/10/2014
21 Social,,,1 Hill Street,Belfast,BT1 2LA,5,374543,334060,19/03/2014
Crumlin Star Social Club,,,2-20 Balholm Drive,Belfast,BT14 7NA,4,375946,331511,23/02/2015
Times Bar,,,24-28 York Road,Belfast,BT15 3DT,4,376053,334130,03/05/2015
Cassidys,Cassidy’s Bar,,347-349 Antrim Road,Belfast,BT15 2HF,5,376424,333237,20/02/2014
Brantwood Football Club,,,39 Jellicoe Avenue,Belfast,BT15 3GA,5,376877,333696,21/07/2015
Ligoniel Homing Pigeon Society,,,46A Glenbank Place,Belfast,BT14 8AN,4,376807,330822,26/09/2013
The Annex,,,478 Shore Road,Belfast,BT15 4HD,5,378165,334133,16/06/2014
The Hedgehog & Bucket,,,538 Oldpark Road,Belfast,BT14 6QJ,5,376853,331874,22/11/2013
Shamrock Sports & Social Club,,,5a Flax Street,Belfast,BT14 7EJ,4,375754,331993,20/06/2014
McGraths Bar,,,78-80 Cliftonville Road,Belfast,BT14 6JZ,4,376107,332943,11/04/2014
Mountainview Social Club,,,8-16 Enfield Street,Belfast,BT13 3DH,4,375172,331868,24/05/2013
Fortwilliam Golf Club,,,8A Downview Avenue,Belfast,BT15 4EZ,5,378983,333478,03/11/2015
Aether & Echo,,,1-3 Lower Garfield Street,Belfast,BT1 1FP,3,374546,333795,01/06/2014
Mono Bar,,,100 Ann Street,Belfast,BT1 3HH,5,374387,334297,18/09/2014
Laverys,,,12-16 Bradbury Place,Belfast,BT7 1RS,5,373151,333585,19/08/2015
Sweet Afton The Perch Rooftop Rita's Chinawhite,Franklin House,,12 Brunswick Street,Belfast,BT2 7GE,3,373845,333659,12/08/2015
Belfast Boat Club - Bar,,,12 Lockview Road,Belfast,BT9 5FJ,4,371173,333980,27/06/2013
The House Pub and Kitchen,,,12 Stranmillis Road,Belfast,BT9 5AA,3,372271,333540,11/03/2015
Menagerie,,,130 University Street,Belfast,BT7 1GH,4,372934,334214,28/02/2013
The Hide Out,,,131-133 Donegall Pass,Belfast,BT7 1DS,5,373290,334028,26/11/2014
Rose & Crown,,,140 Ormeau Road,Belfast,BT7 2EB,5,372766,334349,03/04/2015
Cuckoo,,,149 Lisburn Road,Belfast,BT9 7AJ,4,372504,332900,31/01/2013
The Continental,,,164-166 Ravenhill Road,Belfast,BT6 8EE,5,373459,335147,24/12/2014
Morning Star,,,17-19 Pottingers Entry,Belfast,BT1 4DT,5,374333,334068,17/09/2015
RAOB Grand Lodge of NI,,,17 Church Street,Belfast,BT1 1PG,4,374639,333795,24/05/2013
Monico,,,17 Lombard Street,Belfast,BT1 1RB,5,374404,333904,17/04/2014
Northern Whig,,,2-10 Bridge Street,Belfast,BT1 1LU,5,374452,333977,18/09/2014
The Parlour,,,2-4 Elmwood Avenue,Belfast,BT9 6AY,5,372633,333367,09/12/2014
South Belfast NI Supporters Club,,,20 Shaftesbury Square,Belfast,BT2 7DB,4,373246,333568,18/06/2014
The Washington Bar,,,21 Howard Street,Belfast,BT1 6NB,5,,,18/06/2014
Botanic Inn and Off Licence,,,23-27 Malone Road,Belfast,BT9 6RU,4,372262,333337,16/12/2014
Alibi,,,23-31 Bradbury Place,Belfast,BT7 1RR,4,373145,333529,29/12/2014
Garrick Bar,,,29 Chichester Street,Belfast,BT1 4JB,4,374093,334050,28/08/2014
Errigle Inn,Errigle Inn,,312-320 Ormeau Road,Belfast,BT7 2GE,5,371740,334734,12/12/2014
Ye Olde Eglantine Inn,,,32-40 Malone Road,Belfast,BT9 5BQ,5,372243,333370,19/06/2014
The Elms,,,34-36 University Road,Belfast,BT7 1NH,5,372886,333508,06/05/2013
The Chelsea,,,344-346 Lisburn Road,Belfast,BT9 6GH,4,371641,332315,11/04/2015
Wetherspoons,,,35 Bedford Street,Belfast,BT2 7EJ,5,373623,333735,11/06/2013
The Devenish Complex,,,37-39 Finaghy Road North,Belfast,BT10 0JB,5,370356,330267,30/09/2015
Windsor Lawn Tennis Club,,,37 Windsor Avenue,Belfast,BT9 6EJ,4,372046,333063,17/07/2014
Empire Bar,The Carriages,,42 Botanic Avenue,Belfast,BT7 1JQ,5,373066,333693,21/08/2015
Filthy McNastys,,,43-45 Dublin Road,Belfast,BT2 7HD,5,373468,333673,20/10/2014
Cutters Wharf,Cutters Wharf,,4 Lockview Road,Belfast,BT9 5FJ,5,371317,333959,19/10/2015
The Fly,,,5-7 Lower Crescent,Belfast,BT7 1NR,5,373037,333593,14/03/2013
The John Hewitt,,,51 Donegall Street,Belfast,BT1 2FH,4,374603,333918,22/06/2015
Dock Workers Sports & Rec Club,,,57 Pilot Street,Belfast,BT1 3AH,4,375257,334462,29/05/2013
Duke Of York,,,7-11 Commercial Court,Belfast,BT1 2NB,5,374593,333973,17/09/2015
QUB Student Union,,,75 University Road,Belfast,BT7 1NF,5,372698,333440,20/08/2015
Kings Head,,,829-831 Lisburn Road,Belfast,BT9 7GY,4,370772,331413,24/02/2015
Mount Charles Group,Kingspan Stadium,,85 Ravenhill Park,Belfast,BT6 0DE,5,371954,335635,01/03/2014
Hawthorn Bar,,,1-3 Hawthorn Street,Belfast,BT12 7AQ,4,373855,332023,07/02/2015
Casement Social Club,,,102 Andersonstown Road,Belfast,BT11 9BX,4,371363,330267,16/06/2014
Glenowen Inn,,,108-112 Glen Road,Belfast,BT11 8BH,3,372277,330161,16/09/2015
St Galls GAC,,,12 Milltown Row,Belfast,BT12 6EU,5,372654,331167,03/08/2014
Biddy Duffys,,,133c Andersonstown Road,Belfast,BT11 9BU,5,371369,330169,06/04/2015
Muldoons Bar,,,13 Corporation Square,Belfast,BT1 3AJ,2,374942,334295,21/05/2013
Suffolk Inn,,,14A Suffolk Road,Belfast,BT11 9PB,4,371078,328229,07/08/2014
Diamond Jubilee,,,150-152 Peters Hill,Belfast,BT13 2AD,4,374710,332878,31/05/2012
FOUNTAIN TAVERN,,,16-20 Fountain Street,Belfast,BT1 5ED,4,374226,333739,24/03/2014
Basement Bar & Grill,,,18 Donegall Square East,Belfast,BT1 5HE,4,373982,333941,12/09/2015
Beehive,,,193 Falls Road,Belfast,BT12 6FB,3,373538,331869,24/10/2014
The Red Devils,,,194-198 Falls Road,Belfast,BT12 6AG,5,373515,331909,06/07/2012
Grosvenor Homing Pigeon Society,,,2-4 Iveagh Street,Belfast,BT12 6AU,4,373334,331916,02/06/2013
Roddy McCorley Society (Moyard House),Moyard House,,203 Glen Road,Belfast,BT11 8BU,4,371743,328532,24/05/2013
Rex Bar,,,215 Shankill Road,Belfast,BT13 1FQ,3,374831,332548,19/06/2015
The Orient Bar,,,221-223 Springfield Road,Belfast,BT12 7DD,4,374397,331825,17/07/2014
Kashmir Bar,,,234 Springfield Road,Belfast,BT12 7DR,4,374392,331783,12/01/2014
Linfield Football Club,,,235 Donegall Avenue,Belfast,BT12 6LU,4,372461,332365,19/12/2012
Royal Bar & Offlicence,,,237 Shankill Road,Belfast,BT13 1FR,5,374831,332470,20/07/2015
Cafe Vaudeville,,,25 Arthur Street,Belfast,BT1 4GQ,5,374161,333959,03/03/2015
Sarsfield GAC,,,25A Stewartstown Avenue,Belfast,BT11 9GE,4,371247,328897,12/08/2014
Berlin,,,265 Shankill Road,Belfast,BT13 1FR,,374842,332401,11/07/2014
Fort Bar,,,27 Springfield Road,Belfast,BT12 7AB,5,,,13/02/2014
St Teresa's G.A.C.,1,,2A Glen Road Heights,Belfast,BT11 8HQ,5,372203,329023,18/12/2012
Teach Na Mona/Trinity lodge,,,2A Monagh Grove,Belfast,BT11 8EJ,4,372755,329850,19/11/2014
Kellys Cellars,,,30-32 Bank Street,Belfast,BT1 1HL,5,374328,333682,29/09/2014
Michael Dwyers GAC,,,303a Grosvenor Road,Belfast,BT12 4LL,3,,,15/01/2014
Ulster Rangers Supporters Club,,,325 Shankill Road,Belfast,BT13 1FX,5,374859,332219,23/02/2015
Donegal Celtic Football & Sports Club,,,32 Suffolk Road,Belfast,BT11 9PE,5,371245,327926,07/08/2015
Cosgrove's,,,34-36 King Street,Belfast,BT1 6AD,4,374281,333533,06/03/2013
West Belfast Sports & Social Club,,,370 Falls Road,Belfast,BT12 6DG,5,373273,331454,29/11/2013
Andersonstown Social Club,,,38-40 South Link,Belfast,BT11 8GX,4,371494,330159,16/06/2014
Robinsons Bars,,,38-42 Great Victoria Street,Belfast,BT2 7BA,5,373807,333587,16/09/2015
Queens Bar (Queens Arcade),,,4-6 Queen's Arcade,Belfast,BT1 5FF,5,,,18/06/2014
2 TAPS,,,42 Waring Street,Belfast,BT1 2ED,3,374576,334074,09/04/2014
O'Donnells GAC,,,43 Whiterock Road,Belfast,BT12 7PF,5,373233.5,331102.6,23/12/2014
Crown Bar,,,46 Great Victoria Street,Belfast,BT2 7BA,5,373790,333586,17/10/2013
The Rock Bar,,,491-493 Falls Road,Belfast,BT12 6DE,4,373123,331293,21/03/2014
McCrackens,,,4 Joys Entry,Belfast,BT1 4DR,5,374342,334034,09/01/2014
Hercules Bar,,,61-63 Castle Street,Belfast,BT1 1GH,5,374304,333640,31/10/2014
Falls Bowling & Lawn Tennis Social Club,,,63 Andersonstown Road,Belfast,BT11 9AH,4,371662,330512,26/06/2014
Caulfields,Caulfields,,685 Springfield Road,Belfast,BT12 7FP,4,373578,329997,27/03/2015
A O Hibernians,,,71 Falls Road,Belfast,BT12 4PD,4,374049,332295,18/06/2014
Maddens,,,74 Berry Street,Belfast,BT1 1FJ,4,374393,333586,13/02/2014
Royal Naval Association,,,79-81 Great Victoria Street,Belfast,BT2 7AF,5,373504,333557,09/04/2014
Victorias,,,81 Chichester Street,Belfast,BT1 4JE,5,374106,334210,03/03/2014
Voodoo,,,9-11 Fountain Street,Belfast,BT1 5EA,5,374247,333715,11/10/2015
Kremlin,,,96 Donegall Street,Belfast,BT1 2GW,4,374808,333727,27/06/2014
St Paul's GAA Club,,,98A Shaws Road,Belfast,BT11 9PR,4,371534,328990,08/06/2015
Gort Na Mona GAC,Gort Na Mona GAC,,Upper Springfield Road,Belfast,BT12 7QX,5,372812,329285,24/05/2013
Stormont Inn,,,165-169 Holywood Road,Belfast,BT4 3BE,4,374549,337138,27/11/2014
New Forge Country Club,Newforge Country Club,,18B Newforge Lane,Belfast,BT9 5NW,4,369750,333071,10/01/2015
The National Club,,,19 Queen Street,Belfast,BT1 6EA,5,374223,333606,30/06/2015
Lower Falls Soc & Rec Club,,,297-303 Grosvenor Road,Belfast,BT12 4LL,3,373833,332556,11/03/2015
Sleepy Cedars B & B,,,69 Cedar Avenue,Belfast,BT15 5AT,4,376984,332988,16/06/2014
Failte B&B,,,11 Finaghy Park North,Belfast,BT10 0HQ,4,370114,330171,16/06/2014
Harpers,,,121 University Street,Belfast,BT7 1HP,5,372842,334065,17/06/2014
Kate's B&B,,,127 University Street,Belfast,BT7 1HP,4,372842,334085,12/01/2014
Tim Duffy,Flat 1,,29 Eglantine Avenue,Belfast,BT9 6DW,5,372325,332973,12/08/2015
The Gregory (Gregory),,,30 Eglantine Avenue,Belfast,BT9 6DX,5,372380,332959,25/04/2014
The Kings Lodge Boutique Guest Accomodation,,,33 Upper Lisburn Road,Belfast,BT10 0GX,3,370511,331029,19/05/2015
Namaste Lodge,,,7 Rushfield Avenue,Belfast,BT7 3FP,4,371966,334567,23/05/2013
Pearl Court Guest House,,,11 Malone Road,Belfast,BT9 6RT,5,372358,333358,09/12/2012
The Old Rectory Guesthouse,,,148 Malone Road,Belfast,BT9 5LH,4,370522,332650,16/06/2014
Springfield Bed and Breakfast,,,16 Springfield Road,Belfast,BT12 7AG,5,373884,332167,03/11/2014
Somerton Bed & Breakfast,,,22 Lansdowne Road,Belfast,BT15 4DB,4,378163,333503,13/06/2013
Avenue House,,,23 Eglantine Avenue,Belfast,BT9 6DW,5,372332,332955,02/12/2014
All Seasons,,,356 Lisburn Road,Belfast,BT9 6GJ,4,371412,332132,20/03/2015
Ashfield Bed & Breakfast,,,383 Holywood Road,Belfast,BT4 2LS,4,375398,337808,27/06/2013
Camera,,,44 Wellington Park,Belfast,BT9 6DP,4,372427,333064,03/05/2013
Greenmount B&B,,,45 Andersonstown Road,Belfast,BT11 9AF,5,371795,330649,19/12/2014
Maranatha B&B,,,254 Ravenhill Road,Belfast,BT6 8GJ,4,373105,335134,13/06/2013
Ravenhill Guest House,,,690 Ravenhill Road,Belfast,BT6 0BZ,5,371381,334977,08/06/2014
Parkview Lodge,,,115-117 Cavehill Road,Belfast,BT15 5BJ,3,376873,332957,24/02/2014
 MCCRACKENS B&B,,,214 Antrim Road,Belfast,BT15 2AN,4,376040,333301,08/07/2007
Roseleigh House,,,19 Rosetta Park,Belfast,BT6 0DL,5,371219,335089,08/08/2013
Maryville House B & B,,,2 Maryville Park,Belfast,BT9 6LN,4,371127,331897,17/02/2015
Tara Lodge,,,36 Cromwell Road,Belfast,BT7 1JW,5,373047,333797,25/02/2014
Windermere Guest House,,,60 Wellington Park,Belfast,BT9 6DP,4,372460,332988,30/06/2014
Copper Kettle (within jackpot bingo),Dairy Farm Centre,,Stewartstown Road,Belfast,BT17 0LB,4,369402,327742,25/08/2015
Kellys Eye Club,,,37-39 Queen Street,Belfast,BT1 6EA,4,374171,333600,12/01/2014
GALAXY BINGO (YORKGATE),Yorkgate Shopping Centre,,100-150 York Street,Belfast,BT15 1WA,3,375412,334000,19/08/2014
Treat Boutique,,,13 Wellington Place,Belfast,BT1 6GB,5,374092,333647,21/01/2014
D & G Bakery,,,154 Glen Road,Belfast,BT11 8BN,4,372120,329915,09/09/2014
The Bluebell Bakery,,,180 Cavehill Road,Belfast,BT15 5EX,4,377973,332563,28/10/2014
W Stevenson,,,213 Shankill Road,Belfast,BT13 1FQ,5,374820,332550,26/11/2013
The Old Oven Door,,,234 Antrim Road,Belfast,BT15 2AN,4,376110,333276,23/06/2014
Knotts Bakery,,,376 Lisburn Road,Belfast,BT9 6GL,4,371287,332029,03/05/2015
Wee T's,Pusbisserie Home Bakery,,61 Slievegallion Drive,Belfast,BT11 8JP,3,371630,329685,24/06/2015
Heatherlea Bakery,,,69-71 Belmont Road,Belfast,BT4 2AA,4,374512,337327,17/02/2015
Mc Keowns Home Bakery,,,6 New Lodge Road,Belfast,BT15 2EL,5,375453,333830,13/03/2014
L & B Bakery,,,7 Ladybrook Park,Belfast,BT11 9EL,4,370809,329879,16/09/2014
Select Bakery,,,86 Springfield Road,Belfast,BT12 7AH,4,374032,332010,06/08/2015
The Upper Crumb,Ballysillan Post Office,,878 Crumlin Road,Belfast,BT14 8AE,4,376898,330759,06/02/2015
The Old Oven Door,,,90a Castle Street,Belfast,BT1 1HE,5,374283,333564,23/06/2015
Annies 99p  Bakery,,,93 Springfield Road,Belfast,BT12 7AE,5,374067,332061,11/06/2015
Auntie Anne's Pretzels,"Kiosk 16, Castlecourt",,Royal Avenue,Belfast,BT1 1DD,3,,,13/08/2014
D&G Delights,,,127 Falls Road,Belfast,BT12 6AD,4,373789,332144,22/10/2014
Yvonne's Home Bakery,,,133 Ravenhill Road,Belfast,BT6 8DR,4,373437,335120,23/09/2014
Jeffers,,,4-6 College Street,Belfast,BT1 6BT,4,374156,333686,11/02/2015
McCallum Family Bakery,,,4 Norglen Gardens,Belfast,BT11 8EL,5,,,23/07/2015
JOHN'S,,,50 Woodvale Road,Belfast,BT13 3BT,5,375076,331749,16/02/2015
Fortwilliam Bakery,,,571 Antrim Road,Belfast,BT15 3BU,5,377268,333252,09/03/2015
D + G Bakery,,,79 Glen Road,Belfast,BT11 8BD,4,372403,330287,19/09/2014
