ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ABBOTSFORD CARE LTD,03/02/2017,504.64 ,RESIDENTIAL LONG TERM,V001090973
ROCHDALE BOROUGH COUNCIL,09/02/2017,ECONOMY DIRECTORATE,ABC INDUSTRIAL DOORS LTD,09/02/2017,3456.00 ,REPAIRS & ALTS OF BUILDINGS,V001086707
ROCHDALE BOROUGH COUNCIL,09/02/2017,ECONOMY DIRECTORATE,ABC INDUSTRIAL DOORS LTD,09/02/2017,776.00 ,REPAIRS & ALTS OF BUILDINGS,V001085119
ROCHDALE BOROUGH COUNCIL,14/02/2017,ECONOMY DIRECTORATE,ABC INDUSTRIAL DOORS LTD,14/02/2017,1434.00 ,REPAIRS & ALTS OF BUILDINGS,V001086711
ROCHDALE BOROUGH COUNCIL,07/02/2017,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,07/02/2017,575.00 ,TRANSACTIONS-EXPENDITURE,V001089030
ROCHDALE BOROUGH COUNCIL,08/02/2017,LEARNING DIS & MENTAL HEALTH,ACORN CARE AND EDUCATION LTD,08/02/2017,4538.46 ,RESIDENTIAL LONG TERM,V001091442
ROCHDALE BOROUGH COUNCIL,08/02/2017,LEARNING DIS & MENTAL HEALTH,ACORN CARE AND EDUCATION LTD,08/02/2017,4538.46 ,RESIDENTIAL LONG TERM,V001091443
ROCHDALE BOROUGH COUNCIL,08/02/2017,LEARNING DIS & MENTAL HEALTH,ACORN CARE AND EDUCATION LTD,08/02/2017,4538.46 ,RESIDENTIAL LONG TERM,V001091444
ROCHDALE BOROUGH COUNCIL,08/02/2017,LEARNING DIS & MENTAL HEALTH,ACORN CARE AND EDUCATION LTD,08/02/2017,4538.46 ,RESIDENTIAL LONG TERM,V001091445
ROCHDALE BOROUGH COUNCIL,15/02/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,15/02/2017,3114.30 ,FOSTER PARENTS BASIC ALLOWANCE,V001095402
ROCHDALE BOROUGH COUNCIL,21/02/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,21/02/2017,3218.11 ,FOSTER PARENTS BASIC ALLOWANCE,V001095404
ROCHDALE BOROUGH COUNCIL,15/02/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,15/02/2017,3460.50 ,FOSTER PARENTS BASIC ALLOWANCE,V001095405
ROCHDALE BOROUGH COUNCIL,15/02/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,15/02/2017,3505.20 ,FOSTER PARENTS BASIC ALLOWANCE,V001095408
ROCHDALE BOROUGH COUNCIL,21/02/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,21/02/2017,3575.85 ,FOSTER PARENTS BASIC ALLOWANCE,V001095407
ROCHDALE BOROUGH COUNCIL,21/02/2017,CHILDREN’S SOCIAL CARE,ACORN HOUSE FOSTERING SERVICES LIMITED,21/02/2017,3622.04 ,FOSTER PARENTS BASIC ALLOWANCE,V001095410
ROCHDALE BOROUGH COUNCIL,02/02/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,02/02/2017,700.00 ,FEES / COMMISSION,V001089912
ROCHDALE BOROUGH COUNCIL,02/02/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,02/02/2017,700.00 ,EXPENSES - GENERAL,V001089913
ROCHDALE BOROUGH COUNCIL,02/02/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,02/02/2017,1050.00 ,FEES / COMMISSION,V001089911
ROCHDALE BOROUGH COUNCIL,10/02/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,10/02/2017,1400.00 ,FEES / COMMISSION,V001094595
ROCHDALE BOROUGH COUNCIL,02/02/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,02/02/2017,2100.00 ,FEES / COMMISSION,V001089914
ROCHDALE BOROUGH COUNCIL,10/02/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,10/02/2017,2450.00 ,FEES / COMMISSION,V001094596
ROCHDALE BOROUGH COUNCIL,10/02/2017,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,10/02/2017,5250.00 ,FEES / COMMISSION,V001094597
ROCHDALE BOROUGH COUNCIL,27/02/2017,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,27/02/2017,2000.00 ,MINOR BUILDING WORKS,V001099665
ROCHDALE BOROUGH COUNCIL,27/02/2017,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,27/02/2017,2000.00 ,MINOR BUILDING WORKS,V001099665
ROCHDALE BOROUGH COUNCIL,06/02/2017,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,06/02/2017,2000.00 ,TRANSACTIONS-EXPENDITURE,V001092272
ROCHDALE BOROUGH COUNCIL,06/02/2017,PHYSICAL DIS & OLDER PEOPLE,ADAPT BUILDING SERVICES LTD,06/02/2017,2000.00 ,TRANSACTIONS-EXPENDITURE,V001092272
ROCHDALE BOROUGH COUNCIL,03/02/2017,FINANCE SERVICES,ADDLESTONE KEANE SOLICITORS,03/02/2017,26207.75 ,LEGAL SERVICES - SUPPORT SERVICE,V001092028
ROCHDALE BOROUGH COUNCIL,03/02/2017,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,03/02/2017,2250.00 ,ADOPTION PAYMENTS,V001083024
ROCHDALE BOROUGH COUNCIL,17/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,AEBI SCHMIDT UK LIMITED,17/02/2017,655.19 ,VEHICLE MAINTENANCE,V001094981
ROCHDALE BOROUGH COUNCIL,20/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,AECOM INFRASTRUCTURE AND ENVIRONMENT UK LTD,20/02/2017,4997.51 ,PROFESSIONAL FEES,V001098072
ROCHDALE BOROUGH COUNCIL,21/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,21/02/2017,3946.12 ,AGILISYS CONTRACT,V001087919
ROCHDALE BOROUGH COUNCIL,21/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,21/02/2017,93851.74 ,AGILISYS CONTRACT,V001087920
ROCHDALE BOROUGH COUNCIL,21/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,21/02/2017,3946.13 ,AGILISYS CONTRACT,V001087919
ROCHDALE BOROUGH COUNCIL,21/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,21/02/2017,76459.43 ,AGILISYS CONTRACT,V001087918
ROCHDALE BOROUGH COUNCIL,06/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,ALCO MINI TRAVEL,06/02/2017,3334.80 ,TAXI HIRE,V001092131
ROCHDALE BOROUGH COUNCIL,28/02/2017,FINANCE SERVICES,ALERE TOXICOLOGY PLC,28/02/2017,743.00 ,MEDICAL FEES,V001099821
ROCHDALE BOROUGH COUNCIL,15/02/2017,FINANCE SERVICES,ALERE TOXICOLOGY PLC,15/02/2017,768.00 ,MEDICAL FEES,V001094601
ROCHDALE BOROUGH COUNCIL,24/02/2017,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,24/02/2017,11215.67 ,HOME CARE - ADULT SERVICES,V001099563
ROCHDALE BOROUGH COUNCIL,16/02/2017,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,16/02/2017,11228.58 ,HOME CARE - ADULT SERVICES,V001096786
ROCHDALE BOROUGH COUNCIL,09/02/2017,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,09/02/2017,11437.64 ,HOME CARE - ADULT SERVICES,V001092892
ROCHDALE BOROUGH COUNCIL,02/02/2017,PHYSICAL DIS & OLDER PEOPLE,ALLIED HEALTHCARE GROUP LIMITED,02/02/2017,11745.59 ,HOME CARE - ADULT SERVICES,V001090558
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096257
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096258
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096259
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096260
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096341
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096342
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096343
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096344
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096362
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096363
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096364
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,991.20 ,NURSING LONG TERM,V001096365
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,2520.00 ,RESIDENTIAL LONG TERM,V001096448
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,2520.00 ,RESIDENTIAL LONG TERM,V001096449
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,2520.00 ,RESIDENTIAL LONG TERM,V001096450
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ALMOND VILLAS LIMITED,17/02/2017,2520.00 ,RESIDENTIAL LONG TERM,V001096451
ROCHDALE BOROUGH COUNCIL,03/02/2017,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,03/02/2017,3541.75 ,YOUNG PEOPLES RENTS,V001084176
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,582.12 ,PERSONAL BUDGETS - MANAGED,V001093093
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,595.35 ,PERSONAL BUDGETS - MANAGED,V001093078
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,604.80 ,INDIVIDUAL SERVICE FUND,V001093245
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,781.20 ,INDIVIDUAL SERVICE FUND,V001093227
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,806.40 ,PERSONAL BUDGETS - MANAGED,V001093613
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,806.40 ,PERSONAL BUDGETS - MANAGED,V001093614
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,806.40 ,PERSONAL BUDGETS - MANAGED,V001093615
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,806.40 ,PERSONAL BUDGETS - MANAGED,V001093616
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,806.40 ,PERSONAL BUDGETS - MANAGED,V001093617
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,859.96 ,INDIVIDUAL SERVICE FUND,V001093203
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,1164.24 ,INDIVIDUAL SERVICE FUND,V001093292
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,1282.88 ,INDIVIDUAL SERVICE FUND,V001093103
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,1468.53 ,PERSONAL BUDGETS - MANAGED,V001093193
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,1587.60 ,INDIVIDUAL SERVICE FUND,V001093645
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,2314.84 ,INDIVIDUAL SERVICE FUND,V001093437
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,2632.00 ,INDIVIDUAL SERVICE FUND,V001093695
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,2724.96 ,INDIVIDUAL SERVICE FUND,V001093107
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,2772.24 ,INDIVIDUAL SERVICE FUND,V001093123
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,2788.28 ,INDIVIDUAL SERVICE FUND,V001093675
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,2843.68 ,INDIVIDUAL SERVICE FUND,V001093261
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,2870.14 ,PERSONAL BUDGETS - MANAGED,V001093090
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,2971.15 ,PERSONAL BUDGETS - MANAGED,V001093088
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3042.48 ,PERSONAL BUDGETS - MANAGED,V001093082
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3187.64 ,INDIVIDUAL SERVICE FUND,V001093567
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3320.31 ,PERSONAL BUDGETS - MANAGED,V001093084
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3320.31 ,PERSONAL BUDGETS - MANAGED,V001093085
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3341.60 ,INDIVIDUAL SERVICE FUND,V001092928
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3558.08 ,INDIVIDUAL SERVICE FUND,V001093109
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3579.72 ,INDIVIDUAL SERVICE FUND,V001093087
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3592.96 ,PERSONAL BUDGETS - MANAGED,V001093096
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3650.64 ,INDIVIDUAL SERVICE FUND,V001092990
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3690.20 ,INDIVIDUAL SERVICE FUND,V001093558
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3806.40 ,INDIVIDUAL SERVICE FUND,V001093634
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3836.28 ,INDIVIDUAL SERVICE FUND,V001093081
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3875.97 ,PERSONAL BUDGETS - MANAGED,V001093104
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3955.00 ,INDIVIDUAL SERVICE FUND,V001092914
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,4021.28 ,INDIVIDUAL SERVICE FUND,V001093111
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,4153.44 ,INDIVIDUAL SERVICE FUND,V001093098
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,4219.60 ,INDIVIDUAL SERVICE FUND,V001093100
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,4404.84 ,INDIVIDUAL SERVICE FUND,V001093244
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,4428.12 ,INDIVIDUAL SERVICE FUND,V001093105
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,4563.60 ,INDIVIDUAL SERVICE FUND,V001093110
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,4656.52 ,INDIVIDUAL SERVICE FUND,V001093086
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,5039.88 ,INDIVIDUAL SERVICE FUND,V001093080
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,5278.00 ,INDIVIDUAL SERVICE FUND,V001093101
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,5502.91 ,PERSONAL BUDGETS - MANAGED,V001093089
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,5900.16 ,PERSONAL BUDGETS - MANAGED,V001093102
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,6587.00 ,PERSONAL BUDGETS - MANAGED,V001093091
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,6957.44 ,INDIVIDUAL SERVICE FUND,V001092905
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,6990.20 ,INDIVIDUAL SERVICE FUND,V001092988
ROCHDALE BOROUGH COUNCIL,10/02/2017,PHYSICAL DIS & OLDER PEOPLE,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,5193.48 ,INDIVIDUAL SERVICE FUND,V001093270
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,1203.51 ,PERSONAL BUDGETS - MANAGED,V001093360
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,1600.84 ,INDIVIDUAL SERVICE FUND,V001093195
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3042.48 ,INDIVIDUAL SERVICE FUND,V001093083
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,3703.64 ,INDIVIDUAL SERVICE FUND,V001093095
ROCHDALE BOROUGH COUNCIL,10/02/2017,LEARNING DIS & MENTAL HEALTH,ALTERNATIVE FUTURES GROUP LTD,10/02/2017,4021.20 ,INDIVIDUAL SERVICE FUND,V001093112
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ANCHOR TRUST,17/02/2017,2805.06 ,SP SUBSIDY PAYMENTS - EXTERNAL,V001097599
ROCHDALE BOROUGH COUNCIL,08/02/2017,NEIGHBOURHOODS AND ENVIRONMENT,ANDY HARROP,08/02/2017,1388.16 ,TAXI HIRE,V001092259
ROCHDALE BOROUGH COUNCIL,28/02/2017,PUBLIC HEALTH,ANIMAL WARDENS LIMITED,28/02/2017,567.60 ,CONTRACTED SERVICES,V001089371
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,03/02/2017,512.30 ,RESIDENTIAL LONG TERM,V001091008
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,17/02/2017,512.30 ,RESIDENTIAL LONG TERM,V001096072
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,03/02/2017,540.52 ,RESIDENTIAL LONG TERM,V001091306
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,17/02/2017,540.52 ,RESIDENTIAL LONG TERM,V001096356
ROCHDALE BOROUGH COUNCIL,03/02/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,03/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001091536
ROCHDALE BOROUGH COUNCIL,17/02/2017,PHYSICAL DIS & OLDER PEOPLE,ANTONI & RIENZIE LTD,17/02/2017,598.12 ,RESIDENTIAL LONG TERM,V001096628
ROCHDALE BOROUGH COUNCIL,03/02/2017,LEARNING DIS & MENTAL HEALTH,ANTONI & RIENZIE LTD,03/02/2017,606.12 ,RESIDENTIAL LONG TERM,V001091317
ROCHDALE BOROUGH COUNCIL,17/02/2017,LEARNING DIS & MENTAL HEALTH,ANTONI & RIENZIE LTD,17/02/2017,606.12 ,RESIDENTIAL LONG TERM,V001096369
