Organisation Name,Dept,Service Cat Label,Expenditure CIPFA Sub Group Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Net Amount,Transaction Number,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,BARNES JB LIMITED,A0000202, 08/10/2015,�40.01,PCO0265368,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2102,Grounds : Vandalism Repairs,BARNES JB LIMITED,A0000202, 08/10/2015,�19.53,PCO0265376,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2102,Grounds : Vandalism Repairs,BARNES JB LIMITED,A0000202, 08/10/2015,�20.01,PCO0265377,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 22/10/2015,�2.98,PCO0265733,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 22/10/2015,�3.11,PCO0265720,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 08/10/2015,�3.99,PCO0265373,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 22/10/2015,�4.24,PCO0265731,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 22/10/2015,�4.52,PCO0265720,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 08/10/2015,�4.69,PCO0265373,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 08/10/2015,�5.27,PCO0265373,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 22/10/2015,�10.99,PCO0265733,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 22/10/2015,�11.16,PCO0265733,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 22/10/2015,�12.07,PCO0265738,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 22/10/2015,�16.07,PCO0265738,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 22/10/2015,�20.38,PCO0265738,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BARNES JB LIMITED,A0000202, 22/10/2015,�31.95,PCO0265731,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4007,Sub-Contractors,BARNES JB LIMITED,A0000202, 01/10/2015,�16.93,OPS0265184,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4007,Sub-Contractors,BARNES JB LIMITED,A0000202, 01/10/2015,�40.30,OPS0265299,No,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,J H BLAKEY & SONS (SECURITY) LTD,A0000211, 01/10/2015,�127.61,COR0265221,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,BROXAP LIMITED,A0000236, 15/10/2015,�125.78,PCO0265638,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,CD14,Capital : Payments,CB EXCAVATORS LTD,A0000396, 08/10/2015,"�20,217.88",HED0265426,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,CD14,Capital : Payments,CB EXCAVATORS LTD,A0000396, 08/10/2015,�671.39,HED0265350,No,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,1211,Training,BURNLEY COLLEGE,A0000428, 29/10/2015,�999.00,PER0265920,No,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK SERV LT,A0000458, 01/10/2015,�63.00,EST0265257,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,BRIGGS & DUXBURY LTD,A0000459, 15/10/2015,�11.40,PCO0265567,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�2.92,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�2.92,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�7.50,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�17.52,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�17.52,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�8.76,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�8.76,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�11.68,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�5.84,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 22/10/2015,�2.92,PCO0265727,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�2.92,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�15.16,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�15.17,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�5.84,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,BARROWFORD SAFE & LOCK & BB LOCKSMITHS,A0000510, 15/10/2015,�25.22,PCO0265606,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,2002,Bldgs : R & M : Abnormal,MARTIN COLLINS JOINERY & GLAZING,A0000623, 29/10/2015,�82.00,ENV0265973,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Premises Related Expense,2002,Bldgs : R & M : Abnormal,MARTIN COLLINS JOINERY & GLAZING,A0000623, 01/10/2015,�54.00,ENV0265312,No,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,4705,Other Expenses,MARTIN COLLINS JOINERY & GLAZING,A0000623, 29/10/2015,�38.00,PBC0265843,No,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Transport Related Expense,3501,Hire of Transport,CAVALIER TAXIS,A0000638, 08/10/2015,�40.00,DAL0265488,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4705,Other Expenses,NORTH WEST AEROSPACE ALLIANCE,A0000666, 29/10/2015,"�1,620.00",REG0265911,No,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,4705,Other Expenses,CARRO-STEP PRINT SERVICES,A0000853, 29/10/2015,�300.00,MAN0265847,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4707,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 15/10/2015,�110.02,REG0265551,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4707,Miscellaneous : Other,DEWHURST DECORATING SUPPLIES,A0000879, 15/10/2015,�160.68,REG0265552,No,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,cd14,Capital : Payments,J DRIVER LTD,A0000884, 01/10/2015,"�6,200.00",EST0265250,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2101,Grounds : R & M : Day to Day : Routine,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�18.00,PCO0265515,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3502,Hire of Plant,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�18.00,PCO0265220,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�20.63,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�51.23,OPS0265307,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�99.80,OPS0265390,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�34.25,PCO0265477,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�37.50,PCO0265382,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�76.00,PCO0265220,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 15/10/2015,�138.70,PCO0265565,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 15/10/2015,�163.74,PCO0265565,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 15/10/2015,�205.20,PCO0265565,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�408.00,PCO0265220,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 15/10/2015,�536.18,PCO0265565,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�100.04,REG0265412,No,N/A,N,N/A
Pendle Borough Council,Planning & Building Control,Supplies and Services,4201,Protective Clothing,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 15/10/2015,�28.05,PBC0265649,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 22/10/2015,�9.75,OPS0265772,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�11.80,OPS0265295,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 22/10/2015,�17.22,OPS0265772,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 22/10/2015,�25.25,OPS0265772,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�29.16,OPS0265295,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�36.00,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�36.00,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�38.00,OPS0265295,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�38.00,OPS0265391,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 22/10/2015,�38.00,OPS0265772,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�42.78,OPS0265390,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�50.50,OPS0265295,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�50.50,OPS0265295,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�55.92,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�55.92,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�55.92,OPS0265295,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�55.92,OPS0265391,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�55.92,OPS0265391,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�55.92,OPS0265391,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�60.95,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�64.50,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,pj01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�76.00,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 22/10/2015,�76.00,OPS0265772,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�80.05,OPS0265391,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 08/10/2015,�80.05,OPS0265391,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�90.00,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 22/10/2015,�93.20,OPS0265772,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�106.50,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 01/10/2015,�114.00,OPS0265293,No,N/A,N,N/A
Pendle Borough Council,Operational Services,,PJ01,Stock : Purchases,ENGINEERING & FOUNDRY SUPPLIES,A0001002, 22/10/2015,�152.00,OPS0265772,No,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,EARBY TOWN COUNCIL,A0001004, 29/10/2015,�15.00,COR0265910,No,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Capital Costs,cd14,Capital : Payments,EARBY TOWN COUNCIL,A0001004, 01/10/2015,"�1,000.00",HED0265216,No,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,CD14,Capital : Payments,FIRST SIGNS LIMITED,A0001121, 15/10/2015,�64.00,EST0265627,No,N/A,N,N/A
Pendle Borough Council,Operational Services,Transport Related Expense,3105,Tprt : Repairs : General,FREIGHT TRANSPORT ASSOCIATION,A0001124, 08/10/2015,�70.00,OPS0265403,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 29/10/2015,�1.72,PCO0265876,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 29/10/2015,�1.97,PCO0265876,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 29/10/2015,�3.94,PCO0265876,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 29/10/2015,�17.69,PCO0265876,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 22/10/2015,�23.64,PCO0265729,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 15/10/2015,�39.15,PCO0265573,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 22/10/2015,�70.98,PCO0265729,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 29/10/2015,�79.80,PCO0265876,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 22/10/2015,�80.73,PCO0265729,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 01/10/2015,�164.40,PCO0265224,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 15/10/2015,�211.19,PCO0265569,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 29/10/2015,�1.20,PCO0265891,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 01/10/2015,�17.52,PCO0265223,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 01/10/2015,�29.58,PCO0265223,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 01/10/2015,�32.27,PCO0265223,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 15/10/2015,�147.36,PCO0265572,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,GIBSONS GARDEN MACHINERY LTD,A0001201, 15/10/2015,"�1,190.00",PCO0265604,No,N/A,N,N/A
Pendle Borough Council,Directorate,Supplies and Services,4614,Mayoral Expenses,GOING DUTCH FLORIST,A0001216, 22/10/2015,�47.50,MAN0265709,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,JEWSON LIMITED,A0001323, 22/10/2015,�28.64,PCO0265736,No,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4707,Miscellaneous : Other,JEWSON LIMITED,A0001323, 15/10/2015,�29.32,REG0265555,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,J HARGREAVES,A0001359, 08/10/2015,�25.00,PCO0265375,No,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2103,Grounds : R & M : Gds Maint ,GLASSFIBRE FLAGPOLES LTD,A0001396, 15/10/2015,�49.95,PCO0265610,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�8.00,ENV0265118,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�8.00,ENV0265817,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�21.12,ENV0265818,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�26.60,ENV0265818,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�31.68,ENV0265118,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�47.28,ENV0265817,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�63.90,ENV0265818,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�76.14,ENV0265818,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�152.34,ENV0265818,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�156.06,ENV0265818,No,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4004,EFM Materials,KILLGERM CHEMICALS LTD,A0001624, 22/10/2015,�160.98,ENV0265822,No,N/A,N,N/A
