Publisher Label,Publisher URI,"Contract Reference","Title of the Agreement","Directorate or service responsible","Description of goods and services","Procurement classification: CPV code","Procurement classification: CPV label","Procurement classification: Proclass code","Procurement classification: Proclass label","Start date","End date","Review date","Contract value","Irrecoverable VAT","Supplier name","Supplier registered company number","Supplier registered company number Uri","Supplier registered charity number","Supplier registered charity number Uri","SME supplier","VCSE supplier","Tender type"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C6G5W","Recycling & Waste Collection Services","Supplier Performance","Recycling & Waste Collection Services","90700000","Environmental services","189999","Environmental Services",03/11/2008 00:00:00,02/11/2015 00:00:00,01/06/2014 00:00:00,78209964,0,"SITA Uk Limited","2291198","https://beta.companieshouse.gov.uk/company/2291198","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJU5","Recycling and Waste collection services - SITA","Performance","Recycling and Waste collection services - SITA","90500000","Refuse and waste related services","182013","Environmental Services",03/11/2008 00:00:00,02/11/2015 00:00:00,03/11/2014 00:00:00,6500000,0,"SITA Uk Limited","2291198","https://beta.companieshouse.gov.uk/company/2291198","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CAFZD","Microsoft Entrprise Agreement","Corporate Resources","Microsoft Entrprise Agreement","30000000","Office and computing machinery, equipment and supplies except furniture and software packages","271400","Information Communication Technology",15/02/2009 00:00:00,01/12/2015 00:00:00,01/10/2014 00:00:00,3098000,0,"SCC","1428210","https://beta.companieshouse.gov.uk/company/1428210","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CBETC","Pensions Administration","Corporate Resources","Pensions Administration","66520000","Pension services","201810","Financial Services",01/03/2009 00:00:00,31/03/2019 00:00:00,31/07/2018 00:00:00,9797130,0,"Capita Hartshead","2260524","https://beta.companieshouse.gov.uk/company/2260524","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CFK4","Gas servicing to individual boilers All areas plus all commercial boiler houses and all district dwellings","HH","Gas servicing to individual boilers All areas plus all commercial boiler houses and all district dwellings","76000000","Services related to the oil and gas industry","379999","Utilities",01/04/2009 00:00:00,31/05/2016 00:00:00,01/11/2015 00:00:00,850000,0,"T Brown Group","1006630","https://beta.companieshouse.gov.uk/company/1006630","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C6JPB","Technical Advisor for Highways PFI Project","Supplier Performance","Technical Advisor for Highways PFI Project","79410000","Business and management consultancy services","151900","Consultancy",04/05/2009 00:00:00,03/05/2017 00:00:00,01/03/2016 00:00:00,852082,0,"Mouchel Management Consulting","2491619","https://beta.companieshouse.gov.uk/company/2491619","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9QZEX2","Consultancy services relating to technical advice on Highways Maintenance PFI Project","Corporate Resources","Consultancy services relating to technical advice on Highways Maintenance PFI Project","79410000","Business and management consultancy services","151900","Consultancy",11/05/2009 00:00:00,31/12/2014 00:00:00,20/11/2014 00:00:00,40000000,0,"Mouchel Management Consulting","2491619","https://beta.companieshouse.gov.uk/company/2491619","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C6FRP","Financial Advisor for Highways Maintenance PFI Project","Supply Performance","Financial Advisor for Highways Maintenance PFI Project","79100000","Legal services","289999","Legal Services",13/05/2009 00:00:00,12/05/2015 00:00:00,01/01/2015 00:00:00,1971703,0,"Grant Thornton UK LLP","OC307742","https://beta.companieshouse.gov.uk/company/OC307742","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C6HQ2","Leasing of Commercial Vehicles","Environment","Leasing of Commercial Vehicles","60000000","Transport services (excl. Waste transport)","369999","Public Transport",01/06/2009 00:00:00,01/05/2016 00:00:00,01/11/2015 00:00:00,245170,0,"Kier FPS Limited","4356154","https://beta.companieshouse.gov.uk/company/4356154","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CAF8S","Data Centre Support Contract","Corporate Resources","Data Centre Support Contract","72300000","Data services","279999","Information Communication Technology",01/06/2009 00:00:00,31/05/2014 00:00:00,01/03/2013 00:00:00,245170,0,"Comms Room Services Ltd","4356154","https://beta.companieshouse.gov.uk/company/4356154","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUK","Data Centre Support Contract","ICT","Data Centre Support Contract","48100000","Industry specific software package","271600","Information Communication Technology",01/06/2009 00:00:00,31/05/2014 00:00:00,01/06/2010 00:00:00,570000,0,"Specialist Computer Centre","1428210","https://beta.companieshouse.gov.uk/company/1428210","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUL","Microsoft Enterprise Agreement","ICT","Microsoft Enterprise Agreement","48100000","Industry specific software package","271600","Information Communication Technology",15/06/2009 00:00:00,01/12/2015 00:00:00,15/06/2010 00:00:00,24000000,0,"SCC","1428210","https://beta.companieshouse.gov.uk/company/1428210","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CFUA","Managed Stores","hh","Managed Stores","44000000","Construction structures and materials; auxiliary products to construction (except electric apparatus)","109999","Building Construction Materials",30/06/2009 00:00:00,31/12/2014 00:00:00,14/06/2016 00:00:00,7500000,0,"Jewson Limited","348407","https://beta.companieshouse.gov.uk/company/348407","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C6EXV","Special Educational Needs Assisted Passenger Transport (Home to School)","Environment","Special Educational Needs Assisted Passenger Transport (Home to School)","60170000","Hire of passenger transport vehicles with driver","361300","Public Transport",01/09/2009 00:00:00,30/09/2014 00:00:00,01/03/2014 00:00:00,329930,0,"Blue Arrow Transport Services","",,"",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9KPE65","Primary Care Counselling (GP referrals)","SCM","Primary Care Counselling (GP referrals)","98390000","Other services","329999","Social Community Care Supplies & Services�",01/09/2009 00:00:00,30/08/2014 00:00:00,30/06/2014 00:00:00,474759.6,0,"Anchor Counselling","",,"",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C6E9U","Provision of Printers and Toners","Facilities","Provision of Printers and Toners","30121100","Photocopiers","271400","Information Communication Technology",01/10/2009 00:00:00,01/07/2014 00:00:00,04/01/2014 00:00:00,7500000,0,"The Danwood Group Ltd","1056774","https://beta.companieshouse.gov.uk/company/1056774","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-A2CF75","Domestic Electrical Rewiring","hh","Domestic Electrical Rewiring","31000000","Electrical machinery, apparatus, equipment and consumables; lighting","101100","Building Construction Materials",05/10/2009 00:00:00,04/10/2015 00:00:00,20/09/2015 00:00:00,115500,0,"T Brown Group","1006630","https://beta.companieshouse.gov.uk/company/1006630","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C9DVV","Mail Room Machinery","Business Support","Mail Room Machinery","30130000","Post-office equipment","271400","Information Communication Technology",15/12/2009 00:00:00,15/12/2014 00:00:00,01/06/2014 00:00:00,140000,0,"Pitney Bowes","",,"",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C9K4J","Actuarial Services Contract","Corporate Resources","Actuarial Services Contract","66510000","nsurance services","201800","Financial Services",01/01/2010 00:00:00,01/01/2016 00:00:00,01/06/2015 00:00:00,205000,0,"Barnett Waddingham LLP","OC30767","https://beta.companieshouse.gov.uk/company/OC30767","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C9EDC","Pension Fund Consultancy Services","Corporate Resources","Pension Fund Consultancy Services","66520000","Pension services","201810","Financial Services",01/02/2010 00:00:00,31/01/2015 00:00:00,01/06/2014 00:00:00,486000,0,"AllenbridgeEPIC Investment Advisers","4533331","https://beta.companieshouse.gov.uk/company/4533331","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUJ","Hardware & Software Lease SAN","ICT","Hardware & Software Lease SAN","48100000","Industry specific software package","271600","Information Communication Technology",01/04/2010 00:00:00,31/03/2015 00:00:00,01/04/2011 00:00:00,500000,0,"Insight Direct (UK) Ltd","",,"",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJT7","Articles of Agreement & Umbrellas Terms Relating to the Lease, Grant & Loan redevlopment of and delivery of Educational Services at St Georges Centre","Rede","Articles of Agreement & Umbrellas Terms Relating to the Lease, Grant & Loan redevlopment of and delivery of Educational Services at St Georges Centre","80490000","Operation of an educational centre","179999","Education",13/04/2010 00:00:00,12/04/2035 00:00:00,13/04/2034 00:00:00,60000,0,"The Pupil Parent Partnership Ltd","",,"",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJTY","Conditions of Contract for Provision of Care and Support Services- The Stroke Association","Supply Chain","Conditions of Contract for Provision of Care and Support Services- The Stroke Association","85112200","Outpatient care services","311600","Healthcare",01/06/2010 00:00:00,31/03/2016 00:00:00,01/01/2016 00:00:00,85635,0,"The Stroke Association","211015","https://beta.companieshouse.gov.uk/company/211015","",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9CAD9F","Service Management Toolset System (Helpdesk Software System)","Corporate Resources","Service Management Toolset System (Helpdesk Software System)","72260000","Software-related services","279999","Information Communication Technology",30/06/2010 00:00:00,29/06/2015 00:00:00,01/04/2014 00:00:00,496000,0,"Insight Direct (UK) Ltd","",,"",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9G8HQR","Contract Conditions for Professional Services- Framework Agreement for Payment Receiving Sevices","Revenue","Contract Conditions for Professional Services- Framework Agreement for Payment Receiving Sevices","66170000","Financial consultancy, financial transaction processing and clearing-house services","209999","Financial Services",01/10/2010 00:00:00,30/09/2014 00:00:00,30/05/2014 00:00:00,26500,0,"allpay.net","2933191","https://beta.companieshouse.gov.uk/company/2933191","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJNU","Support For Living Ltd","SCM","Support For Living Ltd","85323000","Community health services","329999","Social Community Care Supplies & Services�",01/10/2010 00:00:00,30/09/2014 00:00:00,30/09/2013 00:00:00,221000,0,"Support For Living Ltd","",,"",,"","","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJNV","Sagecare Ltd","SCM","Sagecare Ltd","85323000","Community health services","329999","Social Community Care Supplies & Services�",01/10/2010 00:00:00,30/09/2014 00:00:00,30/09/2013 00:00:00,412000,0,"Sagecare Ltd","",,"",,"","",""
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJNW","Westminster Homecare Ltd","SCM","Westminster Homecare Ltd","85323000","Community health services","329999","Social Community Care Supplies & Services�",01/10/2010 00:00:00,30/09/2014 00:00:00,30/09/2013 00:00:00,71292,0,"Westminster Homecare Limited","3353584","https://beta.companieshouse.gov.uk/company/3353584","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C6G3P","Contract Hire of Tracked excavator and wheeled shovel loader","Environment","Contract Hire of Tracked excavator and wheeled shovel loader","42420000","Buckets, shovels, grabs and grips for cranes or excavators","381300","Vehicle Management",01/11/2010 00:00:00,31/10/2015 00:00:00,01/03/2015 00:00:00,333960,0,"John Hanlon & Co Ltd","1311902","https://beta.companieshouse.gov.uk/company/1311902","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJPM","Supporting People Service Agreement - Call off contract in respect of Somerset Road Brentford & The Drive Hounslow","Supported housing","Supporting People Service Agreement - Call off contract in respect of Somerset Road Brentford & The Drive Hounslow","85323000","Community health services","329999","Social Community Care Supplies & Services�",04/02/2011 00:00:00,03/02/2015 00:00:00,04/09/2014 00:00:00,519347.75,0,"Frances Taylor Foundation","",,"",,"No","Yes","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJS7","Agreement of Appointment for a Consultant Architectural Services At Andrew Ewing Primary School","REDe","Agreement of Appointment for a Consultant Architectural Services At Andrew Ewing Primary School","71200000","Architectural and related services","391000","Works - Construction, Repair & Maintenance",15/02/2011 00:00:00,14/02/2017 00:00:00,14/02/2016 00:00:00,19830,0,"Pollard Thomas Edwards architects","1938992","https://beta.companieshouse.gov.uk/company/1938992","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJUE","AvantGuard - Election System","ICT","AvantGuard - Election System","48100000","Industry specific software package","271600","Information Communication Technology",18/02/2011 00:00:00,17/02/2014 00:00:00,18/02/2012 00:00:00,3192000,0,"Halrose Limited","1362834","https://beta.companieshouse.gov.uk/company/1362834","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9JML59","Building Cleaning Contract","rede","Building Cleaning Contract","90910000","Cleaning services","131310","Cleaning & Janitorial",31/03/2011 00:00:00,31/03/2015 00:00:00,01/09/2013 00:00:00,3230000,0,"Nviro Limited","3032719","https://beta.companieshouse.gov.uk/company/3032719","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DNWC-9C9K82","Property & Motor Insurance","Corporate Resources","Property & Motor Insurance","66510000","Insurance services","201800","Financial Services",01/04/2011 00:00:00,01/03/2016 00:00:00,01/09/2015 00:00:00,58500,0,"Zurich Insurance PLC","BR7985","https://beta.companieshouse.gov.uk/company/BR7985","",,"No","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJN7","Commissioning of Voluntary Sector Services Supporting Young People Services - Lot1","Early Intervention","Commissioning of Voluntary Sector Services Supporting Young People Services - Lot1","85311300","Welfare services for children and young people","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,01/03/2014 00:00:00,20000,0,"DCA consultants Ltd","3162039","https://beta.companieshouse.gov.uk/company/3162039","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJP7","Independent Mental Capacity Advocacy Services","Supply chain","Independent Mental Capacity Advocacy Services","85312300","Guidance and counselling services","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2014 00:00:00,58500,0,"POhWER","3323040","https://beta.companieshouse.gov.uk/company/3323040","",,"Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJQM","Commissioning of Voluntary  Sector Services: Supporting Young People Services - Lot 1","Childrens & Adults","Commissioning of Voluntary  Sector Services: Supporting Young People Services - Lot 1","85311300","Welfare services for children and young people","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2012 00:00:00,58500,0,"Hounslow Arts Trust Ltd","1164904","https://beta.companieshouse.gov.uk/company/1164904","267426","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=267426","Yes","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJQN","Commissioning of Voluntary Sector Services Supporting Young People -Lot 1 - Brentford FC Community Sports Trust + Variation","Childrens & Adults","Commissioning of Voluntary Sector Services Supporting Young People -Lot 1 - Brentford FC Community Sports Trust + Variation","85311300","Welfare services for children and young people","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2014 00:00:00,78000,0,"Brentford FC Community Sports Trust","",,"",,"","","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJQU","Commissioning of Voluntary Sector Services: Supply of Equality & Diversity Contract - Lot 3","Childrens & Adults","Commissioning of Voluntary Sector Services: Supply of Equality & Diversity Contract - Lot 3","85311300","Welfare services for children and young people","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2012 00:00:00,156000,0,"Hounslow Multicultural Centre","",,"",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJR4","Commissioning of Voluntary Sector Services Disability Advice Services - Lot 5","Childrens & Adults","Commissioning of Voluntary Sector Services Disability Advice Services - Lot 5","85323000","Community health services","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2014 00:00:00,156000,0,"Hounslow Citizens Advice Bureaux Service","3727129","https://beta.companieshouse.gov.uk/company/3727129","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJR5","Commissioning of Voluntary Sector Services Domestic Violence Advice Outreach Services - Lot 4","Childrens & Adults","Commissioning of Voluntary Sector Services Domestic Violence Advice Outreach Services - Lot 4","85323000","Community health services","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2012 00:00:00,195000,0,"Sure Start Hounslow Ltd","",,"",,"","","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJR9","Commissioning Of Voluntary Sector Services Art & Civic Pride Services - Lot 2","Childrens & Adults","Commissioning Of Voluntary Sector Services Art & Civic Pride Services - Lot 2","92320000","Arts-facility operation services","291100","Arts & Leisure Services",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2014 00:00:00,195000,0,"Feltham Arts Asoociation","4134760","https://beta.companieshouse.gov.uk/company/4134760","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJRA","Commissioning of Voluntary Sector Services  Supply of Equalaity and Diversity Contract - Lot 2","Childrens & Adults","Commissioning of Voluntary Sector Services  Supply of Equalaity and Diversity Contract - Lot 2","85323000","Community health services","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2012 00:00:00,234000,0,"Hounslow Community Transport (HCT)","1804094","https://beta.companieshouse.gov.uk/company/1804094","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJRB","Commissioning of Voluntary Sector Services Volunteering Sector Services - Lot 1","Childrens & Adults","Commissioning of Voluntary Sector Services Volunteering Sector Services - Lot 1","85323000","Community health services","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2012 00:00:00,292500,0,"Volunteer Centre Hounslow","2023657","https://beta.companieshouse.gov.uk/company/2023657","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJRD","Commissioning of Voluntary Sector Services General Advice Services Lot 2","Childrens & Adults","Commissioning of Voluntary Sector Services General Advice Services Lot 2","85323000","Community health services","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2012 00:00:00,877500,0,"Hounslow Citizens Advice Bureaux Service","3727129","https://beta.companieshouse.gov.uk/company/3727129","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJRJ","Commissioning of Voluntary Sector Services General Advice Services Lot 1","Childrens & Adults","Commissioning of Voluntary Sector Services General Advice Services Lot 1","85323000","Community health services","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2012 00:00:00,936000,0,"Hounslow Citizens Advice Bureaux Service","3727129","https://beta.companieshouse.gov.uk/company/3727129","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJRK","Commissioning of Voluntary  Sector Services: Supporting Young People Services - Lot 1","Childrens & Adults","Commissioning of Voluntary  Sector Services: Supporting Young People Services - Lot 1","85311300","Welfare services for children and young people","329999","Social Community Care Supplies & Services�",01/04/2011 00:00:00,31/03/2015 00:00:00,31/03/2012 00:00:00,2720000,0,"Hounslow Arts Trust Ltd","1164904","https://beta.companieshouse.gov.uk/company/1164904","267426","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=267426","Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJRX","Pursuant To GC/Works/5 PACE General Conditins for the Appointment of Consultants Framework Agreement","REDe","Pursuant To GC/Works/5 PACE General Conditins for the Appointment of Consultants Framework Agreement","71315200","Building consultancy services","399999","Works - Construction, Repair & Maintenance",01/04/2011 00:00:00,31/03/2014 00:00:00,31/03/2012 00:00:00,14196,0,"PWA Designs Limited","8532040","https://beta.companieshouse.gov.uk/company/8532040","",,"Yes","No","ITT"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJSA","Visual Files","ICT","Visual Files","72260000","Software-related services","279999","Information Communication Technology",07/04/2011 00:00:00,06/04/2014 00:00:00,06/04/2012 00:00:00,120000,0,"LexisNexis","2746621","https://beta.companieshouse.gov.uk/company/2746621","",,"No","No","RFQ"
"London Borough of Hounslow","http://opendatacommunities.org/id/london-borough-council/hounslow","CS-DSIN-9HBJPP","Provision of Home Support under an Agreement Accessible to WLA Borough Members","REDE","Provision of Home Support under an Agreement Accessible to WLA Borough Members","70333000","Housing services","191700","Facilities & Management Services",20/04/2011 00:00:00,30/09/2014 00:00:00,20/08/2014 00:00:00,325000,0,"Notting Hill Housing","16558","https://beta.companieshouse.gov.uk/company/16558","16558R","http://apps.charitycommission.gov.uk/Showcharity/RegisterOfCharities/CharityWithoutPartB.aspx?RegisteredCharityNumber=16558R","No","No","ITT"
