Account Holder1,Liable From,Rateable Value,% Mandatory relief,% Discretionary relief, % small business rate relief,Empty property,Empty From,Address,Addr2,Addr3,Addr4,Postcode,Exemption reason,Description Code,Property Description,Property reference
LUXURY LEISURE  (CO NO 02448035) (A PRIVATE UNLIMITED COMPANY),20/09/2005,123000,0,0,0,,,43/47 VICAR LANE,LEEDS,,,LS1 6DS,,LT1,AMUSEMENT ARCADE AND PREMISES,2051701327910
GOVT OFF FOR YORKS & HUMBERSIDE (A/C VALUATION OFFICE AGENCY),23/02/2007,144000,0,0,0,,,PART 3RD FLOOR & 4TH FLOOR,25 QUEEN STREET,LEEDS,,LS1 2TW,,CO,OFFICES AND PREMISES,2053316466741
THE ORIGINAL BOWLING CO (AFM BOWLING),13/08/2010,3750,0,0,0,,,NAT WEST ATM AT HOLLYWOOD BOWL,KIRKSTALL ROAD,BURLEY,LEEDS,LS4 2EZ,,CX,SITE OF AUTOMATIC TELLER MACHINE AND PREMISES,2130899368366
MC LAGAN INVESTMENTS LTD (ASDA STORES LTD),31/03/2011,5200,0,0,0,,,UNIT 15,HOLT PARK VILLAGE,LEEDS,,LS16 7SR,,CS,SHOP AND PREMISES,2064317327672
WOODS & HUGHES (BOLTS & SCREWS) LTD,01/04/2000,14000,0,0,0,,,UNIT 3A,MILLSHAW PARK,LEEDS,,LS11 0LX,Industrial Property,CW,WAREHOUSE AND PREMISES,2023543304624
ELECRTRIC SUPPORT LTD (C/O RUSHBOND),10/09/2012,51000,0,0,0,Y,01/04/2013,FIRTH BUILDINGS,30 BLUNDELL STREET,LEEDS,,LS1 3ET,Listed Building,EU,UNIVERSITY AND PREMISES,2054513335166
HIBBERT & CO (CHARTERED ACCOUNTANTS),22/11/2002,6600,0,0,90,,,1ST & 2ND FLOORS,480 ROUNDHAY ROAD,LEEDS,,LS8 2HU,,CO,OFFICES AND PREMISES,2201342369923
COMMUNITY HEALTH PARTNERSHIP (CHIP),01/04/2013,16250,0,0,0,,,WETHERBY AMBULANCE STATION,HALLFIELD LANE,WETHERBY,,LS22 6JS,,MS2,AMBULANCE STATION AND PREMISES,2252470653102
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2009,4000,0,0,0,,,6 QUEENSHILL APPROACH,MOORTOWN,LEEDS,,LS17 6AY,,CO,OFFICES AND PREMISES,2161248351971
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,2400,0,0,0,Y,01/04/2007,2 DENBIGH HEIGHTS,LEEDS,,,LS9 6RL,,CS,SHOP AND PREMISES,2034365321937
BELLE ISLE TENANT MANAGEMENT ORG ,27/07/2004,29250,0,0,0,,,BELLE ISLE TENANT MANAGEMENT ORG,ABERFIELD GATE,LEEDS,,LS10 3QH,,ML,OFFICES AND PREMISES,2074221416250
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,2950,0,0,0,,,2 SAVILLE GREEN,BURMANTOFTS,LEEDS,,LS9 7RR,,CO,OFFICES AND PREMISES,2030022357790
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,2600,0,0,0,,,5 TORRE GARDENS,BURMANTOFTS,LEEDS,,LS9 7RN,,CO,OFFICES AND PREMISES,2031658358159
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,2550,0,0,0,,,FLAT 1,PARKWAY TOWERS,LEEDS,,LS14 6UX,,CO,OFFICES AND PREMISES,2084951367537
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,3850,0,0,0,,,MASON HOUSE,HALLFIELD LANE,WETHERBY,,LS22 4JT,,LC,COMMUNITY CENTRE AND PREMISES,2252470362925
EAST NORTH EAST HOMES LEEDS LTD ,24/10/2007,37250,0,0,0,,,UNIT 8,SEACROFT GREEN SHOPPING CENTRE,SEACROFT CRESCENT,LEEDS,LS14 6PA,,CS,SHOP AND PREMISES,2084080365182
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,21250,0,0,0,,,LCC EBOR GARDENS HOUSING MANAGEMENT,RIGTON LAWN,BURMANTOFTS,LEEDS,LS9 7QA,,ML,OFFICES AND PREMISES,2031299336557
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,11500,0,0,0,Y,31/12/2011,265 ROUNDHAY ROAD,LEEDS,,,LS8 4HS,,CO,OFFICES AND PREMISES,2091338320027
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,8100,0,0,0,,,HOUSING DEPT OFFICES,WALTER CRESCENT,CROSS GREEN,LEEDS,LS9 8NG,,ML,OFFICES AND PREMISES,2171720325108
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,4400,0,0,0,,,4/6 QUEENSHILL APPROACH,LEEDS,,,LS17 6AY,,ML,OFFICES AND PREMISES,2163537325111
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,5600,0,0,0,,,95 FOUNDRY AVENUE,LEEDS,,,LS8 3NH,,CO,OFFICES AND PREMISES,2094166340504
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,5800,0,0,0,,,93 HASLEWOOD DRIVE,BURMANTOFTS,LEEDS,,LS9 7PS,,ML,OFFICES AND PREMISES,2030760352792
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,6900,0,0,0,,,45 RAMSHEAD HILL,LEEDS,,,LS14 1BT,,ML,OFFICES AND PREMISES,2083662325109
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2008,1275,0,0,0,,,37 CROMWELL MOUNT,BURMANTOFTS,LEEDS,,LS9 7ST,,IF3,WORKSHOP AND PREMISES,2010418306146
EAST NORTH EAST HOMES LEEDS LTD ,24/10/2008,1275,0,0,0,,,39 CROMWELL MOUNT,BURMANTOFTS,LEEDS,,LS9 7ST,Industrial Property,IF3,WORKSHOP AND PREMISES,2010418306148
EAST NORTH EAST HOMES LEEDS LTD ,02/11/2007,192000,0,0,0,,,TRIBECA HOUSE,ROUNDHAY ROAD,LEEDS,,LS7 3BG,,CO,OFFICES AND PREMISES,2010159428725
EAST NORTH EAST HOMES LEEDS LTD ,29/10/2010,8200,0,0,0,,,60 COLDCOTES DRIVE,HAREHILLS,LEEDS,,LS9 6PF,,MH1,HEALTH CENTRE AND PREMISES,2030365335779
EAST NORTH EAST HOMES LEEDS LTD ,01/04/2007,43250,0,0,0,,,UNIT 19,LIMEWOOD ROAD,LEEDS,,LS14 1LU,Industrial Property,IF3,WORKSHOP AND PREMISES,2084323437646
AIRE VALLEY HOMES LEEDS LTD ,01/06/2012,148000,0,0,0,,,1ST FLOOR NAVIGATION HOUSE,8 GEORGE MANN ROAD,QUAYSIDE BUSINESS PARK,LEEDS,LS10 1DJ,,CO,OFFICES AND PREMISES,2074953367953
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,55500,0,0,0,,,LEEDS SOUTH HOMES NAVIGATION HOUSE,8 GEORGE MANN ROAD,QUAYSIDE BUSINESS PARK,LEEDS,LS10 1DJ,,CO,OFFICES AND PREMISES,2074953369868
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,92000,0,0,0,,,UNIT G2 NAVIGATION HOUSE,8 GEORGE MANN ROAD,QUAYSIDE BUSINESS PARK,LEEDS,LS10 1DJ,,CO,OFFICES AND PREMISES,2074953369869
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,2475,0,0,0,,,R/O 44 THE CRESCENT,GARFORTH,LEEDS,,LS25 2EU,,LC,COMMUNITY CENTRE AND PREMISES,2272292328996
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,2050,0,0,0,,,THE ELDERS,CHURCH ROAD,GREAT PRESTON,LEEDS,LS26 8BE,,LC,COMMUNITY CENTRE AND PREMISES,2272407325121
AIRE VALLEY HOMES LEEDS LTD ,01/04/2008,5700,0,0,0,,,JOHN RYLIE CENTRE,CARRFIELD ROAD,BARWICK-IN-ELMET,LEEDS,LS15 4JB,,LC,COMMUNITY CENTRE AND PREMISES,2262319368331
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,12250,0,0,0,,,AIRE VALLEY HOMES,LANGBAR GARDENS,LEEDS,,LS14 5ES,,CO,OFFICES AND PREMISES,2180922447623
AIRE VALLEY HOMES LEEDS LTD ,01/03/2012,5600,0,0,0,,,1 ARTHINGTON COURT,HUNSLET,LEEDS,,LS10 2LW,,CO,OFFICES AND PREMISES,2075193510313
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,9000,0,0,0,,,11/15 CARDINAL CRESCENT,LEEDS,,,LS11 8HQ,,ML,OFFICES AND PREMISES,2023577325168
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,2050,0,0,0,,,1 STANHOPE GARDENS,THORPE,WAKEFIELD,,WF3 3DP,,LC,COMMUNITY CENTRE AND PREMISES,2152914351637
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,2075,0,0,0,,,PRIMROSE HOUSE,CHURCH CLOSE,SWILLINGTON,LEEDS,LS26 8QJ,,LC,COMMUNITY CENTRE AND PREMISES,2272415325120
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,8700,0,0,0,,,HOUSING DEPT OFFICES,HANOVER PLACE,LEEDS,,LS25 7LW,,ML,OFFICES AND PREMISES,2263563325200
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,2150,0,0,0,,,COMMUNITY CENTRE,CHURCHVILLE,MICKLEFIELD,LEEDS,LS25 4AP,,LC,COMMUNITY CENTRE AND PREMISES,2262351325038
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,3100,0,0,0,,,3 COTTINGLEY HEIGHTS,LEEDS,,,LS11 0JL,,ML,OFFICES AND PREMISES,2020398351015
AIRE VALLEY HOMES LEEDS LTD ,01/04/2007,3100,0,0,0,,,1 COTTINGLEY TOWERS,LEEDS,,,LS11 0JH,,ML,OFFICES AND PREMISES,2020397351017
WEST NORTH WEST HOMES LEEDS LTD ,24/05/2012,2600,0,0,0,Y,24/05/2012,6 HOLBORN COURT,LEEDS,,,LS6 2PN,,CO,OFFICES AND PREMISES,2015170501590
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2007,32750,0,0,0,,,WESTFIELD CHAMBERS R/O,WESTFIELD HOUSE,LOWER WORTLEY ROAD,LEEDS,LS12 4TE,,CO,OFFICES AND PREMISES,2210983367971
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2010,2950,0,0,0,Y,01/04/2010,39/41 WYTHER PARK ROAD,ARMLEY,LEEDS,,LS12 2RX,,LC,COMMUNITY CENTRE AND PREMISES,2101818368142
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2007,37750,0,0,0,,,OFFICE 2,SILVER ROYD BUSINESS PARK,"SILVER ROYD HILL, UPPER WORTLEY",LEEDS,LS12 4QQ,,CO,Offices and Premises,2211429361454
WEST NORTH WEST HOMES LEEDS LTD ,19/03/2008,52000,0,0,0,,,WESTFIELD HOUSE,LOWER WORTLEY ROAD,LOWER WORTLEY,LEEDS,LS12 4TE,,CO,OFFICES AND PREMISES,2210983100717
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2007,8500,0,0,0,,,34/36 HEIGHTS DRIVE,ARMLEY,LEEDS,,LS12 3SU,,EM,LIBRARY AND PREMISES,2210771368200
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2007,22000,0,0,0,,,HOUSING DEPT,202 TOWN STREET,BRAMLEY,LEEDS,LS13 2EP,,ML,OFFICES AND PREMISES,2193217325204
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2007,7300,0,0,0,,,204 TOWN STREET,BRAMLEY,LEEDS,,LS13 2EP,,ML,OFFICES AND PREMISES,2193217325205
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2007,15000,0,0,0,,,3 THE GREEN,HORSFORTH,LEEDS,,LS18 5JB,,ML,OFFICES AND PREMISES,2332283357973
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2007,14750,0,0,0,,,45 KIRKSTALL LANE,LEEDS,,,LS5 3BE,,ML,OFFICES AND PREMISES,2134283325199
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2007,7700,0,0,0,,,HOUSING MANAGEMENT OFFICE,OATLAND DRIVE,LEEDS,,LS7 1SH,,ML,OFFICES AND PREMISES,2014199327572
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2007,5700,0,0,0,,,10 RAYNEL APPROACH,LAWNSWOOD,LEEDS,,LS16 6JT,,ML,OFFICES AND PREMISES,2061265320443
WEST NORTH WEST HOMES LEEDS LTD ,01/04/2007,2450,0,0,0,Y,01/04/2007,1 CLYDE GRANGE,ARMLEY,LEEDS,,LS12 1XR,,ML,OFFICES AND PREMISES,2051836351873
TRANSFORM MEDICAL GROUP (CS) LTD,07/07/2009,46250,0,0,0,,,414/418 HARROGATE ROAD,MOORTOWN,LEEDS,,LS17 6DN,,CS,SHOP AND PREMISES,2160746317851
MOORSIDE BUILDINGS SUPPLIES (DRIGHLINGTON) LTD,01/04/2000,15750,0,0,0,,,37/39 KING STREET,DRIGHLINGTON,BRADFORD,,BD11 1EJ,,CW,BUILDERS MERCHANTS,2302642323815
G E CAPITAL CORPORATION (ESTATES) LTD,01/01/2014,2250,0,0,0,Y,01/01/2014,CAR SPACE 13,3 THE EMBANKMENT,SOVEREIGN STREET,LEEDS,LS1 4BJ,,CP1,Car Parking Space and Premises,2053661505231
G E CAPITAL CORPORATION (ESTATES) LTD,22/04/2013,76000,0,0,0,Y,22/04/2013,2ND FLR VICTORIA WHARF,4 THE EMBANKMENT,SOVEREIGN STREET,LEEDS,LS1 4BA,Listed Building,CO,Offices and Premises,2053661514900
G E CAPITAL CORPORATION (ESTATES) LTD,22/04/2013,2250,0,0,0,Y,22/04/2013,CAR SPACE 28 AT,3 THE EMBANKMENT,SOVEREIGN STREET,LEEDS,LS1 4BJ,,CP1,Car Parking Space and Premises,2053661515043
G E CAPITAL CORPORATION (ESTATES) LTD,01/01/2014,4500,0,0,0,Y,01/01/2014,CAR SPACES 13-14 VICTORIA WHARF,THE EMBANKMENT,SOVEREIGN STREET,LEEDS,LS1 4BA,LD,CP1,Car Parking Space and Premises,2053661520048
MARCEL DEVELOPMENTS LTD (EUROPEAN CERAMICS),01/04/2000,59000,0,0,0,,,93 WELLINGTON ROAD,LEEDS,,,LS12 1DX,Industrial Property,CW,WAREHOUSE AND PREMISES,2051732303869
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,40750,0,0,0,,,LITTLE WOODHOUSE HALL,18 CLARENDON ROAD,WOODHOUSE,LEEDS,LS2 9NT,,MH2,Hospital and Premises,2010334367716
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,25000,0,0,0,,,BURMANTOFTS HEALTH CENTRE,LINCOLN GREEN ROAD,BURMANTOFTS,LEEDS,LS9 7SR,,MH1,HEALTH CENTRE AND PREMISES,2010950335570
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,12750,0,0,0,,,WOODSLEY ROAD HEALTH CENTRE,WOODSLEY ROAD,WOODHOUSE,LEEDS,LS3 1DT,,MH1,Health Centre and Premises,2011806359041
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,40750,0,0,0,,,CHAPELTOWN HEALTH CENTRE,SPENCER PLACE,LEEDS,,LS7 4DX,,MH1,Health Centre and Premises,2040647335737
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,81000,0,0,0,,,PART GRD & 1ST FLRS,RUTLAND LODGE MEDICAL CENTRE,POTTERNEWTON LANE,LEEDS,LS7 3DR,,MH,SURGERY AND PREMISES,2041220465168
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,25250,0,0,0,,,CITYWISE CLINIC,PT 1ST FLOOR,1 EASTGATE,LEEDS,LS2 7LY,CR,CO,OFFICES AND PREMISES,2050506460625
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,52500,0,0,0,,,NEW WORTLEY HEALTH CENTRE,15 GREEN LANE,WORTLEY,LEEDS,LS12 1HU,,MH1,HEALTH CENTRE AND PREMISES,2050661335485
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,15750,0,0,0,,,54 YORK STREET,LEEDS,,,LS9 8AA,,MH,SURGERY AND PREMISES,2053328354737
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,6400,0,0,0,,,ARCH 68,BRUSSELS STREET,LEEDS,,LS9 8AB,,CO,OFFICES AND PREMISES,2053458427427
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,13500,0,0,0,,,HOLT PARK HEALTH CENTRE,HOLT ROAD,ADEL,LEEDS,LS16 7QD,,MH1,HEALTH CENTRE AND PREMISES,2060806335738
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,39500,0,0,0,,,HUNSLET HEALTH CENTRE,24 CHURCH STREET,HUNSLET,LEEDS,LS10 2PE,,MH1,HEALTH CENTRE AND PREMISES,2070329335834
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,15000,0,0,0,,,SEACROFT CLINIC,SEACROFT CRESCENT,LEEDS,,LS14 6PA,,MH1,Health Centre and Premises,2084096335440
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,17000,0,0,0,,,BRAMLEY HEALTH CENTRE,UPPER TOWN STREET,LEEDS,,LS13 3EN,,MH1,HEALTH CENTRE AND PREMISES,2104934335475
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,22250,0,0,0,,,HALTON CLINIC,PRIMROSE LANE,HALTON,LEEDS,LS15 7RX,,MH1,Health Centre and Premises,2111230335565
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,25750,0,0,0,,,15 MORRIS LANE,KIRKSTALL,LEEDS,,LS5 3EN,,MH1,Health Centre and Premises,2131081335733
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,36000,0,0,0,,,548 MEANWOOD ROAD,LEEDS,,,LS6 4AZ,,MH1,HEALTH CENTRE AND PREMISES,2141029335533
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,1150,0,0,0,,,OSMONDTHORPE BABY CLINIC,WYKEBECK AVENUE,OSMONDTHORPE,LEEDS,LS9 0JG,,MH1,HEALTH CENTRE AND PREMISES,2171816365002
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,10000,0,0,0,,,OTLEY CHILD WELFARE CENTRE,MANOR SQUARE,OTLEY,,LS21 3AP,,MH1,HEALTH CENTRE AND PREMISES,2232514335482
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,7200,0,0,0,,,GARFORTH CLINIC,LIDGETT LANE,GARFORTH,LEEDS,LS25 1EH,,MH1,HEALTH CENTRE AND PREMISES,2272296335577
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2012,29750,0,0,0,,,ROTHWELL HEALTH CENTRE,STONE BRIG LANE,ROTHWELL,LEEDS,LS26 0UE,,MH1,Health Centre and Premises,2283130645170
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,31250,0,0,0,,,MORLEY HEALTH CENTRE,CORPORATION STREET,MORLEY,LEEDS,LS27 9LQ,,MH1,Health Centre and Premises,2302694335835
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,23750,0,0,0,,,PUDSEY HEALTH CENTRE,18 MULBERRY STREET,PUDSEY,LEEDS,LS28 7RJ,,MH1,HEALTH CENTRE AND PREMISES,2311999335489
LEEDS COMMUNITY HEALTHCARE TRUST ,01/04/2011,5600,0,0,0,,,HORSFORTH CHILD WELFARE CLINIC,CHURCH LANE,HORSFORTH,LEEDS,LS18 5LA,,MH1,HEALTH CENTRE AND PREMISES,2332275335524
INTEGRAL UK LTD (FIRE DIVISION),02/09/2008,17000,0,0,0,,,"UNITED KFPW, GND FLOOR UNIT 3",QUEEN STREET,STOURTON,LEEDS,LS10 1SL,,CO,OFFICES AND PREMISES,2072906419308
WILLMOTT DIXON SUSTAIN LTD (FORMERLY INSPACE PLC),01/04/2000,18750,0,0,0,Y,01/04/2011,2 PYM STREET COURT,LEEDS,,,LS10 1PG,Industrial Property,CW,WAREHOUSE AND PREMISES,2074670353749
APIA REGIONAL OFFICE FUND (GENERAL PARTNER) LTD,15/03/2006,3000,0,0,0,Y,15/03/2006,CAR SPACES 40 & 40A,YORKSHIRE HOUSE,GREEK STREET,LEEDS,LS1 5SH,,CP1,CAR PARKING SPACE AND PREMISES,2050651355363
