ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,Election year,Election type,Ward name,Surname,Forename,Description,Votes,Elected,Electorate
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North West,MULHOLLAND,Greg,Liberal Democrats,15948,Elected,61974
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North West,SOBEL,Alex,Labour Party,13041,,61974
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds North West,STORY,Alex,The Conservative Party,8083,,61974
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds West,COYLE,Laura,Liberal Democrats,1495,,64950
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds West,MAYOR,Ben,Trade Unionist and Socialist Coalition,205,,64950
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds West,MURGATROYD,Anne,UK Independence Party (UKIP),7104,,64950
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds West,PIERRE-TRAVES,Alex,The Conservative Party,7729,,64950
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds West,POINTON,Andrew Mark,Green Party,3217,,64950
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds West,REEVES,Rachel Jane,Labour Party,18456,Elected,64950
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Leeds West,WEST,Matthew Graeme,Cannabis is Safer than Alcohol,217,,64950
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Morley and Outwood,BALLS,Ed,Labour and Co-operative Party,18354,,75820
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Morley and Outwood,CRAVEN,Arnie,Yorkshire First,479,,75820
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Morley and Outwood,DEWS,David Alan,UK Independence Party (UKIP),7951,,75820
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Morley and Outwood,HEMINGWAY,Martin Francis,Green Party,1264,,75820
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Morley and Outwood,JENKYNS,Andrea Marie,The Conservative Party,18776,Elected,75820
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Morley and Outwood,TAYLOR,Rebecca Elisabeth,Liberal Democrats,1426,,75820
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Pudsey,ALLEN,Claire Elizabeth,Green Party,1539,,70533
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Pudsey,ANDREW,Stuart James,The Conservative Party,23637,Elected,70533
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Pudsey,DOWNES,Ryk,Liberal Democrats,1926,,70533
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Pudsey,HANLEY,Jamie Edmund,Labour Party,19136,,70533
17/02/2015,http://opendatacommunities.org/id/metropolitan-district-council/leeds,Leeds,http://id.esd.org.uk/service/721,Election Results,2015,Parliamentary,Pudsey,TATTERSALL,Roger,UK Independence Party (UKIP),4689,,70533
