Propref,Property Description,Ratepayer,Rv,Liability Start,Reliefs Granted
29056750,Offices and Premises,Blackshaw Holdings Ltd,1975,01/15/14,EX
29056751,Offices and Premises,Blackshaw Holdings Ltd,2000,09/24/14,EX
29056752,Offices and Premises,Blackshaw Holdings Ltd,4200,09/24/14,ER
29056753,Offices and Premises,Blackshaw Holdings Ltd,1800,09/24/14,EX
29056754,Offices and Premises,Blackshaw Holdings Ltd,1600,09/24/14,EX
29064008,Offices And Premises,,2000,04/01/15,SBR
29064025,Office and Premises,B D Smith & Co,2900,04/01/05,SBR
29064702,Shop and Premises,Nature Cameras Ltd,5000,11/19/05,SBR
29064704,Shop and Premises,,2700,03/08/05,SBR
29064705,Communication Station and Premises,Vodafone Ltd,5800,01/01/98,SBR
29064706,Offices And Premises,,5600,04/01/15,ER
29072700,Store And Premises,,1850,04/01/90,EX
29078002,Workshop And Premises,,470,04/01/14,SBR
29080003,Shop and Premises,Brief Encounter Brighouse Ltd,7900,10/01/17,SBR
29080005,Shop and Premises,W B H Lord & Sons Ltd,16750,04/01/90,SBR
29080006,Restaurant and Premises,,22000,04/01/90,SBR
29080009,Civic Hall And Premises,Director Of Safer & Stronger Communities,42250,04/01/90,SBR
29080010,Offices and Premises,Enduring Enterprises Ltd,12250,12/13/06,EX
29080012,Bank And Premises,Natwest Bank Plc,19500,04/01/90,SBR
29080013,Shop and Premises,Moo Boutique Yorkshire Ltd,10250,11/30/16,SBR
29080016,Bank And Premises,Clydesdale Bank Plc,30000,04/01/90,SBR
29080017,Shop and Premises,H.Marsden (Brighouse) Ltd,8500,04/01/90,SBR
29080019,Shop and Premises,,11250,06/17/10,SBR
29080020,Hairdressing Salon and Premises,Park Row Hair & Beauty Ltd,13750,04/01/15,SBR
29080021,Shop and Premises,,11250,11/06/13,SBR
29080023,Offices and Premises,,2250,06/01/94,SBR
29080025,Restaurant and Premises,,15000,08/29/15,SBR
29080027,Hairdressing Salon and Premises,Trustees Of J Ilingworth [Deceased],4950,03/25/17,ER
29080028,Shop and Premises,Huddersfield Leather Goods Ltd,9300,04/01/90,DUR SBR
29080029,Shop and Premises,,13750,04/01/90,SBR
29080030,Shop and Premises,,9400,05/01/13,SBR
29080031,Training Rooms,,5300,12/23/17,EX
29080032,Shop and Premises,,6800,12/06/13,SBR
29080033,Shop and Premises,Fabulous Stuff & Nonsense Ltd,12000,08/15/12,SBR
29080035,Bank And Premises,Lloyds Bank Plc,20750,07/04/93,SBR
29080036,Shop and Premises,,9100,04/01/90,SBR
29080042,Club and Premises,Trustees Of Blakeboroughs Social And Sports Club (In Liq),9300,03/09/17,EX
29080046,Offices and Premises,Yibp Uk Ltd,7900,06/01/15,SBR
29080048,Surgery And Premises,S & S Care Ltd,12250,11/02/09,DUR SBR
29080050,Offices and Premises,W H P Quantity Surveying Ltd,9400,12/10/05,SBR
29080071,Offices and Premises,One Bright Dot Ltd,12000,09/29/16,SBR
29080073,Club and Premises,Flamsteed Asset Capital Ltd,31750,11/01/17,ER
29080078,Cafe and Premises,,4850,03/23/16,SBR
29080128,Offices and Premises,Angel Wings Homecare Ltd,2700,09/01/13,SBR
29080141,Shop and Premises,,10750,09/14/98,SBR
29080145,Shop and Premises,,3600,07/15/11,SBR
29080147,Shop and Premises,,4900,04/01/90,SBR
29080159,Shop and Premises,,5500,02/01/10,SBR
29080229,Shop and Premises,No.1 Tastebuds Ltd,8500,11/14/16,SBR
29080255,Warehouse And Premises,,8200,05/20/91,SBR
29080364,Site Of Atm And Premises,Clydesdale Bank Plc,3750,04/27/15,SBR
29080408,Restaurant and Premises,Premium Restaurants Ltd,63000,06/26/06,
29080611,Cafe and Premises,,10750,10/02/16,SBR
29080613,Shop and Premises,,7200,09/11/16,SBR
29080700,Workshop And Premises,Heritage Metals Ltd,6600,09/16/16,SBR
29080703,Police Station And Premises,West Yorks Police Authority,32750,04/01/01,SBR
29080705,Warehouse And Premises,Wiley Accessories Ltd,52000,04/01/02,
29080716,Restaurant and Premises,The New Great Wall Ltd,17500,04/01/13,SBR
29080717,Offices and Premises,Starcast Productions Ltd,4800,06/27/15,DUR SBR
29080719,Offices and Premises,Owram Estates Ltd,15000,06/02/17,ER
29080720,Public House and Premises,The Beck (Brighouse) Ltd,6750,10/09/17,SBR
29080721,Restaurant and Premises,,17500,08/01/11,SBR
29080722,Advertising Right and Premises,Primesight Ltd,1175,09/01/09,SBR
29080723,Offices and Premises,Howell Goodfellow Ltd,5600,04/01/16,SBR
29080724,Shop and Premises,,15000,04/01/90,SBR
29080725,Advertising Right and Premises,Primesight Ltd,1175,09/01/09,EX
29080727,Advertising Right and Premises,,500,12/07/12,DUR SBR
29080732,Day Nursery and Premises,Hipperholme & Lightcliffe Day Nurseries Ltd,44000,02/12/10,DUR SBR
29080733,Advertising Right and Premises,Insite Poster Properties Ltd,1725,01/01/13,EX
29080737,Advertising Right and Premises,Clear Channel (Uk) Ltd,1175,06/01/94,SBR
29080741,Car Wash And Premises,Anduff Car Wash Ltd,19750,10/25/96,SBR
29080742,Offices and Premises,Jcc Inspire Llp,25750,06/25/12,SBR
29080750,Advertising Right and Premises,Outdoor Systems Ltd,3700,01/07/13,SBR
29080753,Communication Station and Premises,Hutchinson 3G Uk Ltd,12000,04/01/17,EX
29080761,Offices and Premises,Hillside Services Ltd,17000,06/07/05,SBR
29080766,Day Nursery and Premises,North Halifax Partnership Ltd,22750,07/01/14,DCR MCR
29080769,Play Centre And Premises,,8800,06/25/16,SBR
29080771,Shop and Premises,,3600,12/21/08,SBR
29080772,Car Showroom And Premises,J C Bates & Sons Ltd,37000,12/01/08,SBR
29080773,Store And Premises,,6200,12/01/16,SBR
29080777,Land Used For Storage and Premises,Marrtree Investments Limited,1150,10/02/11,EX
29080779,Warehouse And Premises,Dennis Ruabon Commercial Ltd,5500,04/01/15,SBR
29080782,Offices and Premises,,4650,07/08/15,SBR
29080784,Offices and Premises,,5100,04/26/10,SBR
29080787,Sponsored Roundabout,Calderdale Mbc,150,06/01/10,SBR
29080790,Workshop And Premises,Quickslide Ltd,128000,11/21/11,
29080793,Offices and Premises,Symphony Financial Advisors Ltd,5500,08/01/13,SBR
29080794,Office and Premises,,8300,03/16/16,SBR
29080795,Cafe and Premises,,5400,08/23/16,SBR
29080798,Petrol Filling Station And Premises,Z A Service Station Ltd,11000,04/27/15,SBR
29080799,Workshop And Premises,Wyke Plastics Ltd,10750,02/01/15,SBR
29080800,Workshop And Premises,Blackhall Engineering Ltd,16750,02/01/15,ER
29080801,Warehouse And Premises,Klassiker 911 Ltd,15750,03/01/17,SBR
29080804,Karate School,,4500,05/01/13,SBR
29080805,"Shop, Store and Premises",A1 Tools & Fixings Ltd,37000,05/01/13,SBR
29080806,Shop and Premises,Websters Interiors Limited,13750,06/14/16,
29080807,Shop and Premises,Direct 2 Mum Limited,17250,10/01/16,SBR
29080808,Shop And Premises,Edward & Co,12250,10/01/15,SBR
29084535,Workshop And Premises,,10500,09/01/13,SBR
29084607,Shop and Premises,,4900,04/06/08,SBR
29084609,Shop and Premises,,6800,06/01/95,SBR
29084615,Shop and Premises,Healthy Living Pharmacy Ltd,8500,06/01/07,DUR SBR
29084617,Hairdressing Salon and Premises,,12000,10/29/04,SBR
29084619,Shop and Premises,,5700,11/01/12,SBR
29084621,Shop and Premises,,6200,11/18/09,SBR
29084623,Beauty Salon And Premises,,5800,06/01/15,SBR
29084625,Shop and Premises,,4600,11/22/13,SBR
29084627,Shop and Premises,,6700,02/14/04,SBR
29084629,Surgery And Premises,Bailiff Bridge Dental Practice Ltd,6200,04/01/90,SBR
29084633,Shop and Premises,,11750,01/26/17,SBR
29084637,Shop and Premises,Laminate And Wood Centre Ltd,20000,12/01/16,DUR SBR
29084647,Shop and Premises,,31750,06/20/06,DUR SBR
29084704,Club and Premises,The Clifton & Lightcliffe Subscription Band Association,2225,01/01/05,MCR
29084705,Warehouse And Premises,D A P A Fabrication Ltd,7900,01/29/16,SBR
29084706,Factory and Premises,Blackhall Engineering Ltd,67000,04/01/90,
29084709,Warehouse And Premises,North Vale Doubling Co Ltd,17750,04/01/90,SBR
29084712,Warehouse And Premises,A & B Surface Markings Ltd,9900,01/05/15,SBR
29084719,Workshop And Premises,John Walton (Machine Tools) Ltd,5700,02/01/15,SBR
29084720,Workshop And Premises,Oiltech Europe Ltd,8200,12/08/14,SBR
29084721,Workshop And Premises,,5200,01/25/06,SBR
29084722,Warehouse And Premises,Monster Displays Ltd,5200,04/01/17,SBR
29084724,Warehouse And Premises,Excel Hoardings Ltd,5500,08/20/17,SBR
29084732,Store And Premises,,3500,07/09/94,SBR
29084735,Workshop And Premises,,3550,12/01/16,SBR
29084736,Warehouse And Premises,Ceramix Ltd,7200,04/01/90,SBR
29084737,Warehouse And Premises,Calder Metal Spinning Co Ltd,14250,07/01/94,SBR
29084739,Workshop And Premises,White Rose Windows Ltd,10250,06/01/13,SBR
29084740,Offices and Premises,Clearwell Pest Control Services Ltd,20000,03/07/11,SBR
29084741,Shop and Premises,,7000,04/09/16,SBR
29084742,Shop and Premises,Amica Aesthetics Limited,5300,01/28/17,SBR
29084743,Vehicle Repair Workshop And Premises,,9400,11/14/00,SBR
29084746,Hairdressing Salon and Premises,,3750,05/24/05,SBR
29084755,Workshop And Premises,B.L.S Asbestos Ltd,13000,04/01/07,SBR
29084756,Offices,,5600,06/01/13,SBR
29084759,Workshop And Premises,B.L.S Asbestos Ltd,3450,02/01/11,SBR
29084763,Workshop And Premises,Wyke Plastics Ltd,30750,04/01/13,SBR
29084766,Communication Station and Premises,,12500,04/01/97,SBR
29084782,Warehouse And Premises,Traffic Management Technologies Ltd,5600,12/23/14,SBR
29084783,Warehouse And Premises,Hawley Building Systems Limited,7400,04/01/17,SBR
29084784,Workshop And Premises,Monarch Artstone Ltd,15250,01/01/04,SBR
29084792,Warehouse And Premises,M G Lifestyle (Uk) Ltd,6000,09/04/12,SBR
29084793,Warehouse And Premises,Mr David Smith,6000,02/11/08,SBR
29084794,Warehouse And Premises,,6000,08/06/12,SBR
29084795,Warehouse And Premises,Overgate Hospice Support Ltd,6000,08/01/11,DCR MCR
29084796,Warehouse And Premises,,6000,04/01/16,SBR
29084798,Warehouse And Premises,,6000,01/24/11,SBR
29084799,Vehicle Repair Workshop And Premises,,6000,03/01/10,SBR
29084800,Warehouse And Premises,Matrix Facility Management Ltd (In Liquidation),6000,05/26/15,SBR
29084801,Warehouse And Premises,Blackshaw Holdings Ltd,6000,05/16/11,SBR
29084802,Warehouse And Premises,Home And Garden Bargains Ltd,6000,01/04/16,SBR
29084804,Warehouse And Premises,Blackshaw Holdings Ltd,65500,02/01/17,ER
29084805,Store And Premises,Joseph Fee Builders,3200,04/29/13,SBR
29084807,Gym And Premises,,16250,09/01/17,SBR
29084809,Store And Premises,,2600,04/18/16,SBR
29084810,Offices and Premises,Blackshaw Holdings Ltd,14750,03/27/12,ER
29084814,Factory and Premises,Blackshaw Holdings Ltd,5400,04/01/09,ER
29084815,Offices and Premises,Oiltech Europe Ltd,15000,04/01/12,SBR
29084816,Dance Studio And Premises,,7200,04/01/10,SBR
29084822,Office,Blackshaw Holdings Ltd,1825,06/20/15,EX
29084823,Office,Blackshaw Holdings Ltd,2500,06/20/15,EX
29084824,Offices and Premises,Blackshaw Holdings Ltd,2600,10/27/15,EX
29084825,Office,Blackshaw Holdings Ltd,2550,09/29/15,EX
29084827,Office,Supply Education Ltd,4350,11/10/14,SBR
29084830,Workshop And Premises,,9000,03/01/14,SBR
29084831,Gymnasium And Premises,Eco Tech Plumbing & Heating Ltd,5800,01/18/17,SBR
29084832,Workshop And Premises,,5300,10/07/11,SBR
29084833,Warehouse And Premises,,4450,11/07/11,SBR
29084834,Warehouse And Premises,Property Projections Ltd,4700,11/07/11,SBR
29084835,Workshop And Premises,,8800,06/27/12,SBR
29084837,Warehouse And Premises,,9900,05/02/14,SBR
29084839,Workshop And Premises,H & C Whitehead Ltd,75000,05/12/14,
29084840,Communication Station and Premises,Telefonica Uk Ltd,12000,04/01/10,SBR
29084841,Warehouse And Premises,Tws (Selby) Ltd,7800,01/16/16,SBR
29084842,Warehouse And Premises,Proplus Installation Products Limited,7800,02/20/15,SBR
29084843,Warehouse And Premises,North West Media Services Ltd,7800,07/23/15,SBR
29084844,Warehouse And Premises,North West Media Services Ltd,7800,07/23/15,SBR
29084845,Warehouse And Premises,Confined Space Services Ltd,7800,05/26/15,SBR
29084846,Warehouse And Premises,Tws (Selby) Ltd,7800,01/16/16,SBR
29084847,Warehouse And Premises,Tws (Selby) Ltd,7800,01/16/16,SBR
29084848,Warehouse And Premises,,8300,03/01/17,SBR
29084849,Offices and Premises,Epic Asbestos Solutions Ltd,7700,05/26/15,SBR
29084850,Offices and Premises,Energy Unique Ltd,4950,10/16/15,SBR
29084851,Offices and Premises,Firth Carpets & Flooring Ltd,4450,09/28/15,SBR
29084852,Offices and Premises,Blackshaw Holdings Ltd,1850,05/26/15,EX
29084853,Offices and Premises,Blackshaw Holdings Ltd,1800,05/26/15,EX
29084854,Offices and Premises,Kgs Recruitment Service Ltd,1675,10/26/15,SBR
29084855,Warehouse And Premises,Marrtree Investments Limited,10250,06/15/16,SBR
29084856,Store And Premises,Sparkle Events Limited,850,04/01/11,SBR
29084858,Warehouse And Premises,Clifton Lighting Ltd,2500,06/01/14,SBR
29084859,Store And Premises,Betts Interior Design Ltd,690,06/01/14,SBR
29084860,Warehouse And Premises,Toprank Sport Ltd,10750,01/10/15,SBR
29084861,Warehouse And Premises,,1450,03/01/15,SBR
29084862,Warehouse And Premises,North Vale Doubling Co Ltd,9300,03/01/15,SBR
29084864,Offices and Premises,Blackshaw Holdings Ltd,1800,01/14/16,EX
29084865,Offices and Premises,Blackshaw Holdings Ltd,2025,01/14/16,EX
29084866,Retail Warehouse And Premises,Pets At Home Ltd,38750,10/21/16,SBR
29084868,Retail Warehouse And Premises,B & M Retail Ltd,136000,10/21/16,
29088010,Shop and Premises,,3950,12/17/92,SBR
29088111,Shop and Premises,K I S Financial Solution Limited,2250,10/13/16,SBR
29088700,Chapel Of Rest And Premises,Dignity Funerals Ltd,16250,04/01/13,SBR
29088701,Factory and Premises,,8700,04/01/90,SBR
29088707,Warehouse And Premises,Fit-Lock Systems Ltd,2475,09/07/95,EX
29088712,Car Sales Site and Premises,,9000,08/14/14,SBR
29088714,Shop and Premises,C P Holland & Sons Ltd,2325,01/29/10,SBR
29092002,Office and Premises,,2850,05/31/13,EX
29092004,Store And Premises,,990,11/29/15,EX
29092010,Shop and Premises,,4150,04/01/13,SBR
29092012,Shop and Premises,,3700,05/24/03,ER
29092014,Shop and Premises,,4750,04/07/14,DUR SBR
29092018,Shop and Premises,Mac Financial Services Ltd,5400,08/01/06,SBR
