Organisation Name,Dept,Service Cat Label,Expenditure CIPFA Sub Group Label,Purpose Of Spend,Supplier,Supplier Reference,Pay Date,Transaction Number,Net Amount,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,233.22,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,226.13,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,238.08,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,322.54,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,243.89,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,117.51,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,96.58,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,202.56,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,97.14,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,165.8,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,150.6,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,220.52,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,48.53,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,36.85,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,51.78,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,152.76,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,230.26,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,129.57,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,108.63,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,166.42,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,52.08,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,55.23,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,184.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,176.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,126.72,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,108.84,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,100.03,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,68.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,41.24,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,53.08,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,49,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,44.15,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,46.09,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,105.16,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,54.79,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,48.33,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,41.68,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,58.31,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,61.68,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,60.66,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,73.4,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,30.88,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668,03/12/2014,AAS0257577,75.19,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4401,Consultants Fees,PRICEWATERHOUSECOOPERS LLP,A0044167,04/12/2014,AAS0257391,7150,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4508,Mobile Phones,O2 (UK) LIMITED,A0053660,04/12/2014,AAS0257396,176,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4401,Consultants Fees,AURORA ACCOUNTING SERVICES,A0089134,04/12/2014,AAS0257397,75,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4601,Seminars etc All Costs,TRAFFORD MB COUNCIL,A0074059,04/12/2014,AAS0257400,750,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4401,Consultants Fees,CIVICA UK LIMITED,A0057596,04/12/2014,AAS0257409,3500,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4301,Printing & Stationery,TRISTAR PRINTERS LTD,A0002731,04/12/2014,COR0257445,179.25,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Capital Costs,CD14,Capital : Payments,THORNE ACCESS AND SECURITY,A0070220,04/12/2014,COR0257481,2800,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,CALICO HOMES LIMITED,A0082574,04/12/2014,COR0257482,1000,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,ZEN INTERNET,A0056321,04/12/2014,COR0257483,15.31,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,J H BLAKEY & SONS (SECURITY) LTD,A0000211,04/12/2014,COR0257484,93.2,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,BURNLEY BOROUGH COUNCIL,A0044855,04/12/2014,COR0257485,25062.8,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,BURNLEY BOROUGH COUNCIL,A0044855,04/12/2014,COR0257485,11567.45,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,BURNLEY BOROUGH COUNCIL,A0044855,04/12/2014,COR0257485,26990.75,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,4705,Other Expenses,VICTORIA GREENWOOD,A0090124,04/12/2014,COR0257498,29.98,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,9.15,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,13.06,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,35.45,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,2.45,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,4.13,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,1.33,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,150.46,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,86.1,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,4.23,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,354.08,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,2.5,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,73.98,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,0.85,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,203.7,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,19.09,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,5.29,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,10.4,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4704,Publicity & advertisement,ROYAL MAIL GROUP LIMITED,A0002281,04/12/2014,DAL0257385,34.42,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,308.23,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,0.35,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,2.35,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,137.98,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,3.31,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,0.03,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,86.22,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,453.71,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,116.88,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4501,Postages,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,2.04,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4704,Publicity & advertisement,WHISTL NORTH LIMITED,A0064458,04/12/2014,DAL0257390,4.32,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4301,Printing & Stationery,THOMSON REUTERS,A0077400,04/12/2014,DAL0257394,79,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4301,Printing & Stationery,THOMSON REUTERS,A0077400,04/12/2014,DAL0257394,79,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4401,Consultants Fees,HM COURTS & TRIBUNALS SERVICE,A0001365,04/12/2014,DAL0257433,980,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Indirect Employee Expenses,1261,Staff Refreshments,P T ALLISON,A0064694,04/12/2014,DAL0257444,18,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Indirect Employee Expenses,1261,Staff Refreshments,P T ALLISON,A0064694,04/12/2014,DAL0257444,10,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4611,Hospitality,P T ALLISON,A0064694,04/12/2014,DAL0257444,20.4,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4705,Other Expenses,P T ALLISON,A0064694,04/12/2014,DAL0257444,6,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4401,Consultants Fees,LOCAL GOVERNMENT ASSOCIATION,A0001752,04/12/2014,DAL0257457,1782.72,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4404,Search Fees,LANCASHIRE COUNTY COUNCIL,A0001690,04/12/2014,DAL0257462,1215,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4401,Consultants Fees,WARD HADAWAY SOLICITORS,A0090122,04/12/2014,DAL0257478,414.8,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4601,Seminars etc All Costs,SMILE MEDIATION LIMITED,A0056524,04/12/2014,ENV0257448,25,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4705,Other Expenses,JOHNSONS TEXICARE LTD,A0002665,04/12/2014,ENV0257449,89.5,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2202,Gas,NPOWER,A0048483,04/12/2014,EST0254926,608.15,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,NPOWER,A0048483,04/12/2014,EST0256540,-194.95,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,NPOWER,A0048483,04/12/2014,EST0256540,-27.65,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,NPOWER,A0048483,04/12/2014,EST0256540,-22.64,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,NPOWER,A0048483,04/12/2014,EST0256540,-3.88,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,NPOWER,A0048483,04/12/2014,EST0256540,3.88,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,NPOWER,A0048483,04/12/2014,EST0256540,27.65,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,NPOWER,A0048483,04/12/2014,EST0256540,32.18,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,NPOWER,A0048483,04/12/2014,EST0256540,451.11,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,T & F STEEL DESIGNS LTD,A0002627,04/12/2014,EST0257418,26,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,T & F STEEL DESIGNS LTD,A0002627,04/12/2014,EST0257418,60,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2701,Operational Buildings Expenses,BARROWFORD SAFE & LOCK SERV LT,A0000458,04/12/2014,EST0257419,149.96,N,N/A,N,N/A
Pendle Borough Council,Property Services,Indirect Employee Expenses,1261,Staff Refreshments,VENDA VALET (MACHINES) LTD,A0009649,04/12/2014,EST0257434,216.67,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,4704,Publicity & advertisement,LOOP PUBLISHING LTD,A0047429,04/12/2014,EST0257435,100,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,4704,Publicity & advertisement,LOOP PUBLISHING LTD,A0047429,04/12/2014,EST0257435,100,N,N/A,N,N/A
Pendle Borough Council,Property Services,Capital Costs,CD14,Capital : Payments,BURNLEY AND PENDLE ENERGY ASSESSORS LTD,A0077075,04/12/2014,EST0257437,297,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,4704,Publicity & advertisement,TEXT STYLES UK LIMITED,A0002725,04/12/2014,EST0257438,182.25,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,4704,Publicity & advertisement,TEXT STYLES UK LIMITED,A0002725,04/12/2014,EST0257438,182.25,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,CANDELISA LLP,A0090118,04/12/2014,EST0257440,340,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,4704,Publicity & advertisement,THE WORLDS FAIR LTD,A0002651,04/12/2014,EST0257441,97.5,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,4704,Publicity & advertisement,THE WORLDS FAIR LTD,A0002651,04/12/2014,EST0257441,97.5,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,4704,Publicity & advertisement,PENDLE LEISURE LTD,A0012961,04/12/2014,EST0257442,100,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2202,Gas,NPOWER,A0048483,04/12/2014,EST0257473,261.7,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,NPOWER LTD,A0044051,04/12/2014,EST0257475,186.77,N,N/A,N,N/A
Pendle Borough Council,Property Services,Premises Related Expense,2203,Electricity,NPOWER LTD,A0044051,04/12/2014,EST0257476,271.19,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,4704,Publicity & advertisement,GRAHAM KAY,A0072338,04/12/2014,EST0257479,238.12,N,N/A,N,N/A
