UID,Client,Pro Class,Contract Title,Route to Market,Contract Type,Contract Start Date,Initial Contract Term (Months),Potential Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier,Supplier Type,Registered Number,Postcode,Council Directorate
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ207,688.00","œ830,752.00",The Independent Care Agency,SME,4746104,SK4 2LP,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ106,571.00","œ426,284.00",Independent Options (Stockport) Ltd ,SME,02560910,SK7 5PE,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ500,292.00","œ2,001,168.00",Laurel Bank Support at Home,SME,2423368,SK14 5HZ,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ84,409.00","œ337,636.00",Life Opportunities Ltd,SME,2930130,M30 9PN,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,œ0.00,œ0.00,Allied Health Care Ltd,Other,1963820,M16 9HU,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ341,350.00","œ1,365,400.00",Quality Care of Cheadle,SME,n/a,SK82EE,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ23,631.00","œ94,524.00",Stockport CP,SME,GBML1452602,SK5 6DA,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ163,389.00","œ653,556.00",Style Health Care,SME,GMBL3924978,SK5 6PP,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ385,194.00","œ1,540,776.00",MRL Healthcare,SME,SC441634,SK1 3NA,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ208,465.00","œ833,860.00",True Homecare Ltd,SME,7912253,SK8 1DW,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ28,872.00","œ115,488.00",Angel Care Services,SME,7925464,M22 8LP,
242,Stockport Council,321017-Social Community Care Supplies & Services - Adult : Nursing & Residential Care Homes : ,Home and / or Community Based Support Services,Tender,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ298,832.00","œ1,195,328.00",Comprehensive Health Care,Other,2883893,SK6 6AF,
244,Stockport Council,SOCIAL CARE SERVICES : Adult,Residential care  ,OJEU,Contract,01/04/2014,48,48,31/03/2018,No,31/03/2018,31/03/2017,"œ4,023,911.00","œ16,095,644.00",Borough Care,VCSE,0027788R,SK4 1AS,Stockport- Services to People
246,Stockport Council,SOCIAL CARE SERVICES : Adult,Mental Health / Carer Support Coordinator,RFQ,Contract,01/07/2011,36,60,30/06/2014,Yes,30/06/2016,01/08/2016,"œ67,000.00","œ335,000.00",Rethink,Other,666217915,RG21 7PG,Stockport- Services to People
251,Stockport Council,SOCIAL CARE SERVICES : Adult,Prevention and Personalisation (Mental Health),OJEU,Contract,01/10/2011,24,60,30/09/2014,Yes,30/09/2016,01/08/2016,"œ99,900.00","œ499,500.00",MIND,VCSE,5879337,SK1 3NP,Stockport- Services to People
252,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Provision of an Independent Mental Capacity Advocate,OJEU,Contract,01/04/2014,36,36,31/03/2017,No,31/03/2017,01/08/2016,"œ30,000.00","œ90,000.00",Advocacy Experience,SME,4406655,WN7 2RJ,Stockport- Services to People
261,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.1,Mini Competition,Contract,14/01/2014,36,48,13/01/2017,No,13/01/2018,01/08/2016,"œ1,579,232.00","œ6,316,928.00",Choice Support,VCSE,298149,SK5 6DA,Stockport- Services to People
262,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.2,Mini Competition,Contract,17/03/2014,36,48,16/03/2017,No,16/03/2018,01/08/2016,"œ68,888.00","œ275,552.00",Community Integrated Care,VCSE,519996,WA8 7SP,Stockport- Services to People
263,Stockport Council,SOCIAL CARE SERVICES : Adult,Supported Living Services for adults with a learning disability - 103.3 (Phase 1),Mini Competition,Contract,01/07/2014,36,48,30/06/2017,No,30/06/2018,30/06/2016,"œ215,703.00","œ862,812.00",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
279,Stockport Council,191600-Facilities & Management Services : Printing : ,"Ballot Papers, Postal Voting Packs and poll cards for Election",RFQ,Contract,02/09/2013,36,36,01/09/2016,No,01/09/2016,01/08/2016,"œ137,511.00","œ412,533.00",Electoral Reform Services Ltd ,SME,02263092,N8 0NW,Stockport- Corporate & Support Services
284,Stockport Council,201200-Financial Services : Banking : ,Banking Services ,Call Off (External),Contract,01/04/2014,60,72,31/03/2018,No,31/03/2018,31/03/2018,"œ400,000.00","œ2,400,000.00",Barclays Bank PLC,Other,01026167,E14 5HP,Stockport- Corporate & Support Services
306,Stockport Council,201300-Financial Services : Cash Collection : ,Cash Collection,Call Off,Contract,01/11/2012,24,60,31/07/2017,Yes,31/07/2017,01/08/2016,"œ50,000.00","œ250,000.00",G4S,Other,4992207,RH19 9UN,Stockport- Corporate & Support Services
326,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Client Caseload Information System ,OJEU,Contract,01/04/2013,36,48,31/03/2016,Yes,31/03/2017,01/08/2016,"œ54,228.00","œ216,912.00",Careervision,SME,04569557,RM6 45N,Stockport- Corporate & Support Services
346,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Minor Civil Engineering Works ,OJEU,Contract,01/04/2008,108,120,31/03/2018,Yes,31/03/2018,01/08/2017,"œ2,816,633.89","œ28,166,338.86",George Cox and Sons LTD,SME,4366302,BL4 7QF,Stockport- Services to Place
352,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance","Structural Maintenance , Retaining Walls ",OJEU,Contract,01/04/2008,108,120,31/03/2018,Yes,31/03/2018,01/08/2017,"œ1,650,651.80","œ16,506,517.97",Bethell Constructions LTD,SME,264322,M26 1GE,Stockport- Services to Place
356,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),140L Black Bins,Exemption,Contract,01/02/2014,24,48,31/03/2014,No,31/03/2014,01/08/2016,"œ78,760.00","œ315,040.00",Craemer,SME,2574815,TF1 7GN,Stockport- Services to Place
357,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),180L Blue Bins ,Exemption,Contract,01/02/2014,24,24,31/03/2014,No,31/03/2014,01/08/2016,"œ14,242.50","œ28,485.00",Craemer,SME,2574815,TF1 7GN,Stockport- Services to Place
358,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),180L Brown Bins ,Exemption,Contract,01/02/2014,24,24,31/03/2014,No,31/03/2014,01/08/2016,"œ23,737.50","œ47,475.00",Craemer,SME,2574815,TF1 7GN,Stockport- Services to Place
359,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),240L Green Bins,Exemption,Contract,01/02/2014,24,24,31/03/2014,No,31/03/2014,01/08/2016,"œ26,662.50","œ53,325.00",Craemer,SME,2574815,TF1 7GN,Stockport- Services to Place
362,Stockport Council,151612-Street & Traffic Management : Planning : ,"Signage, Access & Parking Strategy",OJEU,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018,"œ92,523.36","œ1,017,757.01","DCT Civil engineering, J Cooney",SME,2057769,M2 3EY,Stockport- Services to Place
364,Stockport Council,391413-  ,Carriageway Surfacing ,OJEU,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018,"œ1,048,598.13","œ11,534,579.44",Tarmac Limited,Other,7533961,B37 7BQ,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU,Contract,01/12/2013,24,48,30/11/2017,Yes,30/11/2017,01/08/2016,"œ4,200,000.00","œ16,800,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to Place
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU,Contract,01/12/2013,24,48,30/11/2017,Yes,30/11/2017,01/08/2016,,œ0.00,Aggregate Industries Ltd,Other,245717,RH1 3ES,
366,Stockport Council,231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,OJEU,Contract,01/12/2013,24,48,30/11/2017,Yes,30/11/2017,01/08/2016,,œ0.00,J Hopkins Contractors Ltd,Other,1112562,M17 1LP,
374,Stockport Council,182011-Environmental Services : Waste Management : Consumables (was Equipment),Litter Bins ,OJEU,Contract,21/12/2012,48,48,20/12/2016,Yes,20/12/2016,01/08/2016,"œ66,666.67","œ266,666.67",Broxap Ltd / Wybone Ltd ,SME,"broxap - 02583752
Wybone - 00952455","Broxap- ST5 6BD
Wybone - S74 9TF",Stockport- Services to Place
381,Stockport Council,181500-Environmental Services : Animal Services : Pest & Animal Control,Pest Control Chemicals,OJEU,Contract,01/10/2014,36,36,30/09/2017,No,30/09/2017,30/09/2016,"œ7,030.00","œ21,090.00",Killgerm Chemicals Ltd,SME,2794829,WF5 9NA,Stockport- Services to Place
383,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Planned Highway Structural maintenance ,OJEU,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018,"œ366,666.67","œ4,033,333.33",J Cooney Limited,Other,2057769,OL11 4HQ,Stockport- Services to Place
390,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Preventative Surface Treatments ,OJEU,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018,"œ916,666.67","œ10,083,333.33",Colas Limited,Other,2644726,RH10 4NF,Stockport- Services to Place
392,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Recycling Operations ,OJEU,Contract,01/04/2008,108,132,31/03/2019,Yes,31/03/2019,31/03/2018,"œ246,728.97","œ2,714,018.69",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
394,Stockport Council,182013-Environmental Services : Waste Management : Waste Collection,Refuse Sacks ,Tender,Contract,01/06/2015,24,24,31/05/2017,No,31/05/2018,19/09/2016,"œ64,918.50","œ129,837.00",Cromwell Polythene Ltd,SME,2230104,L25 6PD,Stockport- Services to Place
399,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Road Lining,OJEU,Contract,01/04/2008,108,132,31/03/2019,No,31/03/2019,31/03/2018,"œ123,364.49","œ1,357,009.35",Galliford Try Infrastructure Limited.,Other,SC055775,EH12 1LB,Stockport- Services to Place
402,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Routine & Reactive Structures,OJEU,Contract,01/04/2008,108,132,31/03/2019,No,31/03/2019,31/03/2018,"œ122,222.22","œ1,344,444.44",George Cox and Sons Limited,SME,2775128,BL4 7QF,Stockport- Services to Place
404,Stockport Council,271600-Information Communication Technology : Software : Customised & Bespoke,Stockport Partnership Local Information System project ,Tender,Contract,01/03/2012,48,96,28/02/2016,Yes,28/02/2020,01/08/2019,"œ19,466.50","œ155,732.00",Fluent Technology ,SME,NI 040683,BT8 7QN,Stockport- Corporate & Support Services
407,Stockport Council,231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,OJEU,Contract,01/04/2008,72,72,31/03/2017,No,31/03/2022,01/08/2016,"œ427,777.78","œ2,566,666.67",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
420,Stockport Council,241212-Horticultural : Weed Control : ,Weed Control,OJEU,Contract,01/04/2013,24,48,31/03/2017,Yes,31/03/2017,01/10/2016,"œ120,000.00","œ480,000.00",Assist Managed Services ,SME,4501131,L8 5RN,Stockport- Services to Place
433,Stockport Council,271100-Information Communication Technology : Consumables : ,Computer Consumables ,Tender,Contract,01/05/2013,54,54,27/11/2017,No,27/11/2017,28/11/2016,"œ80,463.63","œ362,086.33",Supplies Team ,Other,05510758,S9 1XU,Stockport- Corporate & Support Services
439,Stockport Council,211200-Furniture & Soft Furnishings : Office Furniture : ,Office Furniture ,RFQ,Contract,01/12/2014,36,60,30/11/2017,No,30/11/2017,19/01/2017,"œ1,300,000.00","œ6,500,000.00",H Jenkinson,Other,00169844,L34 9JR/BL6 4SB,Stockport- Services to Place
441,Stockport Council,181300-Environmental Services : Land Protection : ,Ground Care Equipment ,Tender,Contract,01/04/2015,60,120,31/03/2020,No,31/03/2020,31/03/2019,"œ20,000.00","œ200,000.00",Balmers GM Ltd,SME,809951,BB11 5PF,Stockport- Services to Place
448,Stockport Council,CEMETERY & CREMATORIUM,Coroner Pathology Service ,OJEU,Contract,01/01/2012,24,48,31/10/2016,Yes,31/10/2016,01/08/2016,"œ800,000.00","œ3,200,000.00",Stockport NHS Foundation Trust ,NHS,Supplier does not have company number,SK2 5HR,Stockport- Corporate & Support Services
490,Stockport Council,SOCIAL CARE SERVICES : Adult,Healthy Stockport Contract,OJEU,Contract,01/04/2013,36,36,31/03/2016,Yes,30/09/2016,01/08/2016,"œ1,004,667.00","œ3,014,001.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
490,Stockport Council,SOCIAL CARE SERVICES : Adult,Healthy Stockport Contract,OJEU,Contract,01/04/2013,36,42,30/09/2016,Yes,30/09/2016,01/08/2016,"œ1,004,667.00","œ3,516,334.50",Stockport NHS Foundation Trust ,NHS,654974295,SK2 5HR,
490,Stockport Council,SOCIAL CARE SERVICES : Adult,Healthy Stockport Contract,OJEU,Contract,01/04/2013,36,42,30/09/2016,Yes,30/09/2016,01/08/2016,œ1.00,œ3.50,Pebble Enterprises Ltd,SME,06506546,SK1 3AQ,
494,Stockport Council,SOCIAL CARE SERVICES : Adult,Lesbian and Gay Foundation,RFQ,Contract,01/04/2013,24,24,31/03/2015,,31/10/2015,01/08/2016,"œ24,500.00","œ49,000.00",Lesbian and Gay Foundation,VCSE,03476576,M1 3HF,Stockport- Services to People
495,Stockport Council,SOCIAL CARE SERVICES : Adult,Life Leisure. Physical Activity Referral in Stockport (PARiS) scheme,Local Services,Contract,01/10/2014,12,24,30/09/2015,No,30/09/2016,01/08/2016,"œ144,422.00","œ288,844.00",Life Leisure,VCSE,1094247,SK8 7BS,Stockport- Services to People
502,Stockport Council,SOCIAL CARE SERVICES : Adult,Pennine NHS Trust Community Drug Team and Community Alcohol Team. Community based Substance misuse services,OJEU,Contract,01/10/2015,84,84,30/09/2022,No,30/09/2022,01/08/2016,"œ233,285.71","œ1,633,000.00",Pennine and Lifeline,NHS,NHS - National Health Service,M1 1JF,Stockport- Services to People
503,Stockport Council,SOCIAL CARE SERVICES : Adult,PH enhanced services ? GP Health Check,Local Services,Contract,01/10/2013,6,6,31/03/2015,No,31/03/2016,01/08/2016,"œ132,000.00","œ66,000.00",Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
507,Stockport Council,311600-Healthcare : Services : ,Public Health Enhanced Scheme (PHES) ? IUCD fitting,Local Services,Contract,01/04/2013,36,12,31/03/2016,Yes,31/03/2017,01/08/2016,"œ250,000.00","œ250,000.00",Sunrise Medical,NHS,NHS - National Health Service,Various,Stockport- Services to People
508,Stockport Council,311600-Healthcare : Services : ,Public Health Enhanced Scheme (PHES) ? pharmacy EHC,Local Services,Contract,01/04/2014,36,36,31/03/2017,No,31/03/2017,01/08/2016,"œ21,216.00","œ63,648.00",Various- See below,NHS,NHS - National Health Service,Various,Stockport- Services to People
519,Stockport Council,"321010-Social Community Care Supplies & Services - Adult : Advice, Advocacy & Counselling Services : ",Advice in Fred Perry House and a Telephone Advice Service,Exemption,Contract,01/04/2016,12,12,31/03/2017,No,31/03/2017,23/09/2016,"œ226,750.00","œ226,750.00",Stockport Citizen's Advice Bureau,VCSE,1097107,sk1 3xe,Stockport- Services to People
522,Stockport Council,320000-  ,Stockport FT School Nursing,OJEU,Contract,01/04/2012,36,60,31/03/2015,Yes,31/03/2017,01/08/2016,"œ108,446.00","œ542,230.00",Stockport FT ,NHS,NHS - National Health Service,SK2 7JE,Stockport- Services to People
563,Stockport Council,111200-Catering : Food & Beverages : ,"Milk, Dairy Products, Fresh Fruit and Vegetables",OJEU,Contract,19/08/2013,24,48,18/08/2015,Yes,18/08/2017,01/08/2016,"œ880,000.00","œ3,520,000.00",Set Produce,SME,08110232,SK8 2PN,Stockport- Services to Place
583,Stockport Council,111200-Catering : Food & Beverages : ,Drinking Water Supply Services ,RFQ,Contract,01/04/2015,12,12,31/03/2016,No,31/03/2016,01/08/2016,"œ10,000.00","œ10,000.00",MAESTRO PRESSURE COOLERS LTD,SME,03787032,SE28 0BQ,Stockport- Corporate & Support Services
596,Stockport Council,SOCIAL CARE SERVICES : Adult,Home Support Service,OJEU,Contract,01/04/2013,36,60,31/03/2016,Yes,31/03/2018,01/08/2016,"œ216,666.67","œ1,083,333.33",Richmond Fellowship,Other,662712,N7 8JG,Stockport- Services to People
637,Stockport Council,271000-Information Communication Technology : Call Systems : ,Electronic Call Monitoring ,RFQ,Contract,19/12/2014,36,36,18/12/2017,No,18/12/2017,01/01/2017,"œ150,000.00","œ450,000.00",CM2000,SME,6494697,B74 2TZ,Stockport- Corporate & Support Services
650,Stockport Council,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,RFQ,Contract,12/09/2013,36,60,11/09/2016,No,11/09/2018,01/08/2016,"œ15,000.00","œ75,000.00",Public-I-Group Ltd,SME,03998680,BN3 1DD,Stockport- Corporate & Support Services
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,01/11/2013,36,48,31/10/2016,No,31/10/2017,01/08/2016,N/A- framework,N/A- framework,Various- See below,Various- See below,Various- See below,Various- See below,Stockport- Services to People
661,Stockport Council,SOCIAL CARE SERVICES : Adult,Learning Disability Framework (Supported Living),Tender,Contract,02/11/2013,36,48,01/11/2016,No,31/10/2017,01/08/2016,nil,nil,"Alternative Futures Group Ltd,",Other,1008587,L34 1BN,
