Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17255610,"55,092.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17083121,"63,568.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17083066,"107,756.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17083091,"107,756.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17255611,"107,756.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17083072,"168,694.80"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17255614,"170,086.80"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17083108,"170,384.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17255587,"190,703.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,17255619,"190,703.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,ROCHE PRODUCTS LTD,17246572,"26,082.06"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,ROCHE PRODUCTS LTD,17100947,"48,028.68"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,ROCHE PRODUCTS LTD,17246570,"74,949.12"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Clinical Costs,Clinical Haematology,ROYAL CORNWALL HOSPITALS NHS TRUST,17307787,"45,016.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Training Expenses,Histopath Training School,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,17339426,"31,163.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Laundry,Linen Services,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,17178542,"85,619.30"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Drugs,Pharmacy,SCA HYGIENE PRODUCTS UK LTD,17260672,"32,170.61"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Catering,Commercial Contracts,SERCO LTD,17132579,"239,915.01"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Domestics,Commercial Contracts,SERCO LTD,17193448,"-63,262.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Domestics,Commercial Contracts,SERCO LTD,17193466,"-63,262.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Domestics,Commercial Contracts,SERCO LTD,17193482,"-63,262.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Domestics,Commercial Contracts,SERCO LTD,17210721,"-63,262.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Domestics,Commercial Contracts,SERCO LTD,17148736,"-36,201.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Domestics,Commercial Contracts,SERCO LTD,17210525,"63,262.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Domestics,Commercial Contracts,SERCO LTD,17210545,"63,262.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Domestics,Commercial Contracts,SERCO LTD,17132579,"419,015.60"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ext Contr Oth Hotel Srv,Commercial Contracts,SERCO LTD,17132579,"354,263.56"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Accountancy services,Finance Director,SHARED BUSINESS SERVICES,STANDING ORDER SBS SLA,"33,390.08"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Training Expenses,Organisational L&D,SOMERSET COLLEGE OF ARTS & TECHNOLOGY,16993466,"36,000.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Other Operating Rev NHS,Strategic Alliance,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,17237754,"26,474.68"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ambulance Car Service,Patient Transport,SRCL LTD,17087582,"-327,287.62"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Ambulance Car Service,Patient Transport,SRCL LTD,17132530,"-100,387.71"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Med & Surg Equip General,EPS/Ablations,ST JUDE MEDICAL UK LTD,17133641,"76,836.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Prostheses - Hips,Orthopaedics,STRYKER UK LTD,17054118,"96,894.04"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Consultant,Anaesthetics Medical,UNIVERSITY OF PLYMOUTH,17339407,"31,200.63"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Consultant,Anaesthetics Medical,UNIVERSITY OF PLYMOUTH,17339417,"36,326.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/01/2016,Consultant,MS Risk Sharing,UNIVERSITY OF PLYMOUTH,17271503,"32,995.14"
