Organisation Name,Organisation Code,Effective Date,Directorate,Service (Sercop),Sercop URI,Supplier Name,Supplier ID,Company Registration,Charity Registration,VCSE Grant,Payment Date,Transaction Number,Seq No,Net Amount,Irrecoverable VAT,Purpose of Spend,Type,Procurement Classification,Class Code,Thomson Classification,Thomson Description,Contract
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,29/05/2015,22781278,1,715,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,14/04/2015,22753282,1,740,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,11/06/2015,22800098,1,755,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,30/06/2015,22816565,1,805,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,15/05/2015,22777531,1,965,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,12/05/2015,22763992,1,1300,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,17/04/2015,22755482,1,1300,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,15/05/2015,22777541,1,1373,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,10/04/2015,22742938,1,1400,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,15/05/2015,22777526,1,1480,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HANDICARE ACCESSIBILITY LTD,Redacted,Not yet available,Not yet available,Not yet available,29/04/2015,22760836,1,1595,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,HARROW GREEN LTD,Redacted,Not yet available,Not yet available,Not yet available,17/06/2015,22802525,1,950.23,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Removals - Business & Industrial,64530,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,LIVE-LINK (CALL SYSTEMS) LTD,Redacted,Not yet available,Not yet available,Not yet available,27/05/2015,22784419,1,4218,Nil,Adaptations,Revenue,Property & Asset Management,CAT01,Intercom Systems,45560,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,18/06/2015,22806345,1,650,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,26/06/2015,22815766,1,650,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,21/04/2015,22754547,1,650,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,05/05/2015,22762829,1,650,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,26/06/2015,22815736,1,700,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,15/05/2015,22776338,1,820,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,08/05/2015,22776340,1,920,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,NORTHERN INSTALLATION SERVICES LTD,Redacted,Not yet available,Not yet available,Not yet available,09/04/2015,22744612,1,1705,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,02/06/2015,22784676,1,535,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,02/06/2015,22784609,1,535,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,11/06/2015,22793907,1,565,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,10/04/2015,22755088,1,625,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,28/05/2015,22784684,1,700,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,05/06/2015,22785598,1,750,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,28/05/2015,22741640,1,950,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,30/06/2015,22804017,1,1025,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,24/06/2015,22780774,1,1925,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,08/06/2015,22785599,1,2063,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,POLLOCK LIFTS,Redacted,Not yet available,Not yet available,Not yet available,04/06/2015,22784683,1,2063,Nil,Adaptations,Revenue,Adult Services,CAT04,Stairlifts - Mnfrs & Installers,73190,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,WESSEX LIFT CO. LIMITED,Redacted,Not yet available,Not yet available,Not yet available,05/05/2015,22773788,1,1036.66,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,WESSEX LIFT CO. LIMITED,Redacted,Not yet available,Not yet available,Not yet available,01/05/2015,22772550,1,1343.21,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,WESSEX LIFT CO. LIMITED,Redacted,Not yet available,Not yet available,Not yet available,20/05/2015,22779902,1,1798.21,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,WESSEX LIFT CO. LIMITED,Redacted,Not yet available,Not yet available,Not yet available,20/05/2015,22779900,1,3908.15,Nil,Adaptations,Revenue,Adult Services,CAT04,Medical Equipment Manufacturers,50348,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,Adult Social Care,7,YORKSHIRE HOUSING LTD,Redacted,Not yet available,Not yet available,Not yet available,16/06/2015,22802547,1,2143.44,Nil,Adaptations,Revenue,Adult Services,CAT04,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,BVACOP Not Applicable,Z,CHEVIN HOUSING ASSOCIATION,Redacted,Not yet available,Not yet available,Not yet available,07/05/2015,22773949,1,2000,Nil,Administration Charge,Revenue,Adult Services,CAT04,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
Wakefield MDC,E08000036,30/06/2015,ADULTS,BVACOP Not Applicable,Z,CHEVIN HOUSING ASSOCIATION,Redacted,Not yet available,Not yet available,Not yet available,07/05/2015,22773951,1,2200,Nil,Administration Charge,Revenue,Adult Services,CAT04,"Housing Associations, Societies, Trusts & Co-Opera",44166,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,DETAILS REDACTED,Redacted,Not yet available,Not yet available,Not yet available,27/04/2015,22763963,1,525.8,Nil,Adoption Allowance (Non Agency),Revenue,Children and Young People,CAT05,Adoption & Fostering,1880,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,DETAILS REDACTED,Redacted,Not yet available,Not yet available,Not yet available,22/06/2015,22807087,,591.16,Nil,Adoption Allowance (Non Agency),Revenue,Children and Young People,CAT05,Adoption & Fostering,1880,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,AFTER ADOPTION,Redacted,Not yet available,Not yet available,Not yet available,15/06/2015,22804043,1,1995,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Adoption & Fostering,1880,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,AFTER ADOPTION,Redacted,Not yet available,Not yet available,Not yet available,15/06/2015,22804051,1,1995,Nil,Adoption Support Fund Expenditure,Revenue,Children and Young People,CAT05,Adoption & Fostering,1880,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Planning Services,N,BLUEBERRY MARKETING SOLUTIONS,Redacted,Not yet available,Not yet available,Not yet available,24/06/2015,22808052,1,1800,Nil,Advertising,Revenue,Business Services,CAT02,Marketing Consultants,49920,Not yet available
Wakefield MDC,E08000036,30/06/2015,BUSINESS,Housing Services,6,EXTERION MEDIA,Redacted,Not yet available,Not yet available,Not yet available,01/04/2015,22743239,1,2513,Nil,Advertising,Revenue,Business Services,CAT02,Advertising - Media,1967,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Planning Services,N,FIRST CHOICE RECRUITMENT,Redacted,Not yet available,Not yet available,Not yet available,29/04/2015,22764677,1,500,Nil,Advertising,Revenue,Business Services,CAT02,Employment & Recruitment Agencies,31230,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Planning Services,N,GHOST PUBLISHING LIMITED,Redacted,Not yet available,Not yet available,Not yet available,27/05/2015,22785645,1,3600,Nil,Advertising,Revenue,Business Services,CAT02,Publishers & Publications,62450,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Highways & Transport Services,5,HEMMING GROUP LTD,Redacted,Not yet available,Not yet available,Not yet available,18/06/2015,22785139,1,1000,Nil,Advertising,Revenue,Professional Services,CAT08,Institutes - Professional,45255,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Highways & Transport Services,5,HEMMING GROUP LTD,Redacted,Not yet available,Not yet available,Not yet available,27/04/2015,22763529,1,1985,Nil,Advertising,Revenue,Professional Services,CAT08,Institutes - Professional,45255,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Planning Services,N,JOHNSTON PUBLISHING,Redacted,Not yet available,Not yet available,Not yet available,30/06/2015,22817839,1,815,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,2100,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Planning Services,N,JOHNSTON PUBLISHING,Redacted,Not yet available,Not yet available,Not yet available,29/06/2015,22816812,1,815,Nil,Advertising,Revenue,Business Services,CAT02,Advertising - Media,1967,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Planning Services,N,JOHNSTON PUBLISHING,Redacted,Not yet available,Not yet available,Not yet available,23/04/2015,22761255,1,838.08,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,2100,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Planning Services,N,JOHNSTON PUBLISHING,Redacted,Not yet available,Not yet available,Not yet available,22/06/2015,22801469,1,1206.72,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,2100,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,JOHNSTON PUBLISHING,Redacted,Not yet available,Not yet available,Not yet available,21/05/2015,22782976,1,2300,Nil,Advertising,Revenue,Business Services,CAT02,Advertising Services,2100,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Highways & Transport Services,5,TMP (UK) LTD,Redacted,Not yet available,Not yet available,Not yet available,27/04/2015,22763587,1,531.59,Nil,Advertising,Revenue,Business Services,CAT02,Advertising - Agencies,1961,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Highways & Transport Services,5,TMP (UK) LTD,Redacted,Not yet available,Not yet available,Not yet available,12/05/2015,22777709,1,2197.3,Nil,Advertising,Revenue,Business Services,CAT02,Advertising - Agencies,1961,Not yet available
Wakefield MDC,E08000036,30/06/2015,REGENCULT,Highways & Transport Services,5,TMP (UK) LTD,Redacted,Not yet available,Not yet available,Not yet available,13/04/2015,22755594,1,2324.2,Nil,Advertising,Revenue,Business Services,CAT02,Advertising - Agencies,1961,Not yet available
Wakefield MDC,E08000036,30/06/2015,CHILDYOU,Children�s and Education Services,4,TMP (UK) LTD,Redacted,Not yet available,Not yet available,Not yet available,19/06/2015,22773487,1,917.17,Nil,Advertising,Revenue,Business Services,CAT02,Advertising - Agencies,1961,Not yet available
