Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
January,Economy,UK,UK,60,BRITISH AIRWAYS,IPS
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS
February,Economy,UK,UK,68.03,EASYJET,IPS
January,Economy,UK,UK,74.15,FLYBE BRITISH EUROPEAN,ISA
January,Economy,UK,UK,121.3,EASTERN AIRWAYS,ISA
January,Economy,Non EEA,UK,356.97,VIRGIN ATLANTIC,OSCT
January,Economy,UK,UK,104.01,FLYBE BRITISH EUROPEAN,SIG
February,Economy,UK,UK,90.5,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,66.69,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,104.01,FLYBE BRITISH EUROPEAN,SIG
January,Economy,UK,UK,60.85,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,131.98,BMI BABY,Strategic Director Border
January,Economy,UK,UK,195.5,BMI,Strategic Director Border
January,Economy,UK,UK,295.59,BMI,Crime & Policing Group
February,Economy,UK,UK,35.85,BRITISH AIRWAYS,HROD
March,Premium Economy,UK,Non EEA,622.7,BRITISH AIRWAYS,Strategy & Reform Directorate
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,186.9,FLYBE BRITISH EUROPEAN,Policy & Strategy
January,Economy,UK,EEA,298.9,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,111.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
March,Premium Economy,UK,Non EEA,622.67,VIRGIN ATLANTIC,Strategy & Reform Directorate
February,Economy,UK,UK,61.93,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,HMIC
January,Economy,UK,EEA,197.5,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,88.5,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,135.5,BMI,Strategic Director Border
January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,223.54,FLYBE BRITISH EUROPEAN,Resource Management Group
January,Economy,UK,UK,278.5,BRITISH AIRWAYS,Strategy & Reform Directorate
February,Economy,UK,UK,65,FLYBE BRITISH EUROPEAN,Science & Research Group
January,Economy,UK,UK,171.43,BRITISH AIRWAYS,Strategic Director Border
January,Economy,EEA,UK,108.48,JET2COM,Immigration Group
January,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,114.35,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,295.59,BMI,Legal Advisors Branch
February,Economy,UK,UK,168.49,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,146.54,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,80,FLYBE BRITISH EUROPEAN,HMIC
January,Economy,UK,UK,71.03,EASYJET,Science & Research Group
January,Business Class,UK,UK,118.5,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,102.8,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate
February,Economy,UK,UK,157.62,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,170.53,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
February,Economy,UK,UK,150.51,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,116.01,FLYBE BRITISH EUROPEAN,HMIC
February,Economy,UK,UK,135.62,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,63.85,FLYBE BRITISH EUROPEAN,Strategy & Reform Directorate
January,Economy,UK,UK,278.5,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,59,FLYBE BRITISH EUROPEAN,HMIC
February,Economy,UK,UK,135.62,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,Non EEA,941.47,VIRGIN ATLANTIC,International Group
February,Business Class,UK,UK,141.55,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,EEA,134,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,UK,65,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
February,Economy,UK,UK,169.05,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,262.63,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,79.35,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,211.62,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,71.03,EASYJET,Science & Research Group
January,Economy,UK,UK,100.7,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,94.69,BRITISH AIRWAYS,Immigration Group
March,Economy,UK,Non EEA,245.63,LUFTHANSA GERMAN AIRLINES,Strategic Director Border
January,Economy,UK,UK,61.5,MANX2,Immigration Group
January,Economy,UK,UK,235,AIR SOUTHWEST,HMIC
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,EEA,UK,29.35,EASYJET,SIG
January,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,129.8,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,94.1,BMI,Strategic Director Border
February,Economy,UK,UK,98.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,135.62,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,41.5,BRITISH AIRWAYS,HROD
February,Economy,UK,Non EEA,531.7,BRITISH AIRWAYS,OSCT
March,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,OSCT
March,Economy,UK,UK,151.91,FLYBE BRITISH EUROPEAN,OSCT
January,Economy,UK,EEA,134,BRITISH AIRWAYS,Immigration Group
January,Business Class,UK,UK,204.35,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,104.93,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,146.54,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,224.2,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,195.43,BRITISH AIRWAYS,Finance & Commercial Group
February,Economy,UK,UK,61.93,BRITISH AIRWAYS,OSCT
January,Economy,UK,EEA,190.17,LOT-POLISH AIRLINES,UKBA
February,Economy,UK,UK,94.43,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,204.49,BRITISH AIRWAYS,Strategic Director Border
January,Economy,EEA,UK,108.48,JET2COM,Immigration Group
January,Economy,UK,UK,111.51,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,90.5,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,101.54,BRITISH AIRWAYS,Criminal & Detention Group
March,Economy,UK,UK,95.34,FLYBE BRITISH EUROPEAN,OSCT
January,Business Class,UK,Non EEA,2990.27,ETIHAD AIRWAYS,International Group
February,Economy,UK,UK,164.53,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
January,Economy,UK,UK,113.43,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Immigration Group
March,Economy,UK,UK,151.49,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,119.7,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
January,Economy,UK,EEA,417.7,BRITISH AIRWAYS,UKBA
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,161.43,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,174.51,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,208.05,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,203.05,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,169.05,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,182,BMI,Strategic Director Border
January,Economy,UK,UK,109.23,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,81.54,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,EEA,UK,214.1,BRITISH AIRWAYS,Crime & Policing Group
February,Economy,UK,UK,60,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,210.1,BMI,Strategy & Reform Directorate
January,Economy,UK,EEA,160.59,KLM-ROYAL DUTCH AIRLINES,Strategic Director Border
January,Economy,UK,UK,139.62,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,Non EEA,236.41,ROYAL AIR MAROC,Resource Management Group
January,Economy,UK,UK,109.23,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,39.7,BRITISH AIRWAYS,OSCT
February,Economy,UK,UK,220.5,BRITISH AIRWAYS,HMIC
February,Economy,UK,UK,83.2,FLYBE BRITISH EUROPEAN,OSCT
January,Economy,UK,UK,150.43,BRITISH AIRWAYS,Finance & Commercial Group
January,Economy,UK,EEA,416.93,LUFTHANSA GERMAN AIRLINES,Science & Research Group
February,Economy,UK,EEA,335.3,BRITISH AIRWAYS,Crime & Policing Group
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,247.62,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
February,Economy,UK,EEA,335.3,BRITISH AIRWAYS,Crime & Policing Group
January,Economy,UK,UK,68.5,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,85.1,BMI,Strategic Director Border
February,Economy,UK,UK,104.63,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,EEA,430.8,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,270.54,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,125.5,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,276.63,BRITISH AIRWAYS,Strategic Director Border
January,Business Class,UK,Non EEA,2592.41,VIRGIN ATLANTIC,Strategic Director Border
January,Economy,UK,UK,176.55,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,189.51,FLYBE BRITISH EUROPEAN,Immigration Group
January,Business Class,UK,UK,189.35,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,81.55,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,43.7,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,182.43,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,EEA,190.17,LOT-POLISH AIRLINES,UKBA
February,Economy,UK,UK,20,BRITISH AIRWAYS,Strategic Director Border
January,Business Class,UK,Non EEA,2592.41,VIRGIN ATLANTIC,Strategic Director Border
January,Economy,UK,UK,130.7,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,276.63,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,180.23,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,EEA,95.43,EASYJET,Crime & Policing Group
January,Economy,UK,UK,203.05,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,174.51,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,UK,182.43,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,109.53,FLYBE BRITISH EUROPEAN,Strategic Director Border
February,Economy,UK,UK,79.5,BRITISH AIRWAYS,OSCT
January,Economy,UK,UK,198.55,BRITISH AIRWAYS,OSCT
January,Business Class,UK,UK,191.55,BRITISH AIRWAYS,Science & Research Group
January,Economy,UK,UK,124.34,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,EEA,416.93,LUFTHANSA GERMAN AIRLINES,Science & Research Group
January,Economy,UK,UK,88.01,FLYBE BRITISH EUROPEAN,Criminal & Detention Group
January,Economy,UK,EEA,518.13,LUFTHANSA GERMAN AIRLINES,Science & Research Group
February,Economy,UK,UK,94.43,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,180.48,LUFTHANSA GERMAN AIRLINES,Immigration Group
January,Economy,UK,UK,173.5,BMI,Strategic Director Border
January,Economy,UK,EEA,285.2,BRITISH AIRWAYS,Crime & Policing Group
January,Economy,UK,UK,158.01,FLYBE BRITISH EUROPEAN,Immigration Group
February,Economy,UK,UK,176.7,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,221.5,BRITISH AIRWAYS,Science & Research Group
January,Economy,UK,EEA,295.27,LOT-POLISH AIRLINES,Strategic Director Border
January,Business Class,UK,UK,204.35,BRITISH AIRWAYS,Finance & Commercial Group
January,Economy,UK,UK,135.85,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,Non EEA,236.41,ROYAL AIR MAROC,International Group
January,Business Class,UK,UK,219.35,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,EEA,285.6,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,80.03,EASYJET,Science & Research Group
January,Economy,UK,EEA,190.17,LOT-POLISH AIRLINES,UKBA
January,Economy,UK,UK,257.53,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,EEA,535.4,BMI,Policy & Strategy
January,Economy,UK,UK,202.1,BMI,Strategy & Reform Directorate
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Business Class,UK,UK,204.35,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,119.35,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,198.55,BRITISH AIRWAYS,OSCT
March,Premium Economy,UK,Non EEA,622.67,VIRGIN ATLANTIC,Strategy & Reform Directorate
January,Economy,UK,UK,103.2,FLYBE BRITISH EUROPEAN,Science & Research Group
January,Economy,UK,UK,48.74,EASYJET,Strategic Director Border
January,Economy,UK,UK,119.69,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,60,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,109.53,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,EEA,285.6,BRITISH AIRWAYS,Immigration Group
January,Business Class,UK,UK,204.35,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,75.85,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,67.85,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,67.85,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,205.23,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Business Class,UK,Non EEA,2609.47,VIRGIN ATLANTIC,OSCT
February,Economy,UK,UK,56.4,BMI,Strategic Director Border
January,Economy,UK,UK,189.51,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,Non EEA,282.6,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,60,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,164.35,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,124.35,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,15,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,60,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,EEA,293.9,SAS SCANDINAVIAN AIRLINES,Crime & Policing Group
February,Economy,UK,EEA,335.3,BRITISH AIRWAYS,Crime & Policing Group
January,Economy,UK,EEA,354.8,BRITISH AIRWAYS,Private Office
January,Economy,UK,EEA,354.8,BRITISH AIRWAYS,Private Office
January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,75.85,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,208.7,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,245.9,BMI,Strategic Director Border
January,Business Class,UK,UK,238.55,BRITISH AIRWAYS,Science & Research Group
January,Economy,UK,UK,188.54,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,106.54,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,134.59,BMI,Strategic Director Border
January,Economy,UK,UK,168.49,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,153.59,BMI,Strategic Director Border
February,Economy,UK,UK,56.4,BMI,Strategic Director Border
February,Economy,UK,UK,44.93,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,65.03,EASYJET,Immigration Group
February,Economy,UK,EEA,293.9,SAS SCANDINAVIAN AIRLINES,Crime & Policing Group
February,Economy,UK,EEA,335.3,BRITISH AIRWAYS,Crime & Policing Group
January,Economy,UK,UK,41,BRITISH AIRWAYS,HMIC
