year,type,area,Surname,Forename,Party name,Votes,SpoiltPapers,Elected,Electorate
2014,LOCAL,Beeston and Holbeck,Bishop-Rowe,Victoria,Liberal Democrats,130,,,14919
2014,LOCAL,Beeston and Holbeck,Congreve,David,Labour Party Candidate,2063,,ELECTED,14919
2014,LOCAL,Beeston and Holbeck,Roberts,Tony,UK Independence Party (UKIP),1288,,,14919
2014,LOCAL,Beeston and Holbeck,Smith,David Michael,Green Party,284,,,14919
2014,LOCAL,Beeston and Holbeck,Winfield,Robert James William,The Conservative Party Candidate,499,,,14919
2014,LOCAL,Bramley and Stanningley,Bisson,Kate,Green Party,358,,,15895
2014,LOCAL,Bramley and Stanningley,Glover,Serena Samantha,Liberal Democrats,219,,,15895
2014,LOCAL,Bramley and Stanningley,Murgatroyd,Anne,UK Independence Party (UKIP),1600,,,15895
2014,LOCAL,Bramley and Stanningley,Nancolas,Alexander Sebastian,The Conservative Party Candidate,454,,,15895
2014,LOCAL,Bramley and Stanningley,Pattison,Kevin Michael,Trade Unionists and Socialists Against Cuts,44,,,15895
2014,LOCAL,Bramley and Stanningley,Ritchie,Kevin,Labour Party Candidate,2092,,ELECTED,15895
2014,LOCAL,Burmantofts and Richmond Hill,Exley,Pete,Green Party,318,,,15254
2014,LOCAL,Burmantofts and Richmond Hill,Grahame,Ron,Labour Party Candidate,1864,,ELECTED,15254
2014,LOCAL,Burmantofts and Richmond Hill,Hollingsworth,David Ewan,Liberal Democrats,843,,,15254
2014,LOCAL,Burmantofts and Richmond Hill,Holloran,Geoff,UK Independence Party (UKIP),1150,,,15254
2014,LOCAL,Burmantofts and Richmond Hill,Nancolas,Hayley Laura,The Conservative Party Candidate,156,,,15254
2014,LOCAL,Calverley and Farsley,Arbuckle,Kate,Liberal Democrats,256,,,17642
2014,LOCAL,Calverley and Farsley,Bracken,John James,Labour Party Candidate,2476,,,17642
2014,LOCAL,Calverley and Farsley,Lord,Clive,Green Party,349,,,17642
2014,LOCAL,Calverley and Farsley,Murgatroyd,Joseph Henry,UK Independence Party (UKIP),1242,,,17642
2014,LOCAL,Calverley and Farsley,Wood,Rod,The Conservative Party Candidate,2670,,ELECTED,17642
2014,LOCAL,Chapel Allerton,Arif,Farzana,The Conservative Party Candidate,746,,,17512
2014,LOCAL,Chapel Allerton,Carter,Emma Louise,Green Party,736,,,17512
2014,LOCAL,Chapel Allerton,Choudhry,Aqila,Liberal Democrats,326,,,17512
2014,LOCAL,Chapel Allerton,Davies,Mike,Alliance For Green Socialism - Save NHS,515,,,17512
2014,LOCAL,Chapel Allerton,Dowson,Jane Alice,Labour Party Candidate,3683,,ELECTED,17512
2014,LOCAL,City and Hunslet,Aziz,Jahangir,Liberal Democrats,354,,,21764
2014,LOCAL,City and Hunslet,Buckland,Nigel,UK Independence Party (UKIP),785,,,21764
2014,LOCAL,City and Hunslet,Finch,Mary Rosamund,Trade Unionists and Socialists Against Cuts,87,,,21764
2014,LOCAL,City and Hunslet,Iqbal,Mohammed,Labour Party Candidate,2434,,ELECTED,21764
2014,LOCAL,City and Hunslet,Jankowski,Glen Shaun,Green Party,659,,,21764
2014,LOCAL,City and Hunslet,Salt,Richard Mark,The Conservative Party Candidate,631,,,21764
2014,LOCAL,Cross Gates and Whinmoor,Goldthorp,Ben,Green Party,319,,,17360
2014,LOCAL,Cross Gates and Whinmoor,Gruen,Peter John,Labour Party Candidate,2555,,ELECTED,17360
2014,LOCAL,Cross Gates and Whinmoor,Hayes,Elizabeth Mary,The Conservative Party Candidate,907,,,17360
2014,LOCAL,Cross Gates and Whinmoor,Morris,Richard,Liberal Democrats,136,,,17360
2014,LOCAL,Cross Gates and Whinmoor,Oddy,Darren Paul,UK Independence Party (UKIP),1808,,,17360
2014,LOCAL,Farnley and Wortley,Felber,Alan,UK Independence Party (UKIP),1606,,,17589
2014,LOCAL,Farnley and Wortley,Fisher,Samuel,The Conservative Party Candidate,416,,,17589
2014,LOCAL,Farnley and Wortley,Hardy,John Hamilton,Labour Party Candidate,1506,,,17589
2014,LOCAL,Farnley and Wortley,Jacques,Robert Hugh,Liberal Democrats,76,,,17589
2014,LOCAL,Farnley and Wortley,Johnson,Michael James,Trade Unionists and Socialists Against Cuts,30,,,17589
2014,LOCAL,Farnley and Wortley,Wilford,Terry,Green Party,1900,,ELECTED,17589
2014,LOCAL,Garforth and Swillington,Galdas,Mitch,Liberal Democrats,227,,,16089
2014,LOCAL,Garforth and Swillington,McKenna,Stuart,Labour Party Candidate,3172,,ELECTED,16089
2014,LOCAL,Garforth and Swillington,Murray,Yvonne Michelle,Green Party,709,,,16089
2014,LOCAL,Garforth and Swillington,Stephenson,Ryan,The Conservative Party Candidate,2027,,,16089
2014,LOCAL,Gipton and Harehills,Douglas,Adam,Liberal Democrats,403,,,15866
2014,LOCAL,Gipton and Harehills,Greenwood,Beatrice,The Conservative Party Candidate,393,,,15866
2014,LOCAL,Gipton and Harehills,Maqsood,Kamila,Labour Party Candidate,3756,,ELECTED,15866
2014,LOCAL,Gipton and Harehills,Seepujak,Neil Amal,Green Party,381,,,15866
2014,LOCAL,Guiseley and Rawdon,Avison,Colin,Green Party,541,,,18303
2014,LOCAL,Guiseley and Rawdon,Bowe,David Robert,Labour and Co-operative Party Candidate,1871,,,18303
2014,LOCAL,Guiseley and Rawdon,Cleasby,Cindy,Liberal Democrats,389,,,18303
2014,LOCAL,Guiseley and Rawdon,Latty,Pat,The Conservative Party Candidate,2811,,ELECTED,18303
2014,LOCAL,Guiseley and Rawdon,Tattersall,Roger Facer,UK Independence Party (UKIP),1444,,,18303
2014,LOCAL,Harewood,Golton,Christine Mavis,Liberal Democrats,249,,,14956
2014,LOCAL,Harewood,Joyce,David,Labour Party Candidate,928,,,14956
2014,LOCAL,Harewood,Matthews,Paul Anthony,Green Party,358,,,14956
2014,LOCAL,Harewood,Morgan,Peter,UK Independence Party (UKIP),1176,,,14956
2014,LOCAL,Harewood,Robinson,Matthew,The Conservative Party Candidate,3542,,ELECTED,14956
2014,LOCAL,Headingley,Fox,Diane,The Conservative Party Candidate,228,,,11562
2014,LOCAL,Headingley,Karim,Ghaffar,Liberal Democrats,747,,,11562
2014,LOCAL,Headingley,McDowall,Alistair,UK Independence Party (UKIP),146,,,11562
2014,LOCAL,Headingley,Pryor,Jonathan David,Labour Party Candidate,1296,,ELECTED,11562
2014,LOCAL,Headingley,Salmon,Joe Angus,Green Party,1036,,,11562
2014,LOCAL,Horsforth,Cleasby,Brian,Liberal Democrats,2037,,ELECTED,17471
2014,LOCAL,Horsforth,Dixon,Benjamin Mark,Trade Unionists and Socialists Against Cuts,56,,,17471
2014,LOCAL,Horsforth,Goodall,Timothy,Green Party,446,,,17471
2014,LOCAL,Horsforth,Hellyer,Paul,UK Independence Party (UKIP),1059,,,17471
2014,LOCAL,Horsforth,O'Callaghan,Richard John,The Conservative Party Candidate,1880,,,17471
2014,LOCAL,Horsforth,Wilkinson,Rob,Labour Party Candidate,1644,,,17471
2014,LOCAL,Hyde Park and Woodhouse,Akhtar,Javaid,Labour Party Candidate,2099,,ELECTED,15559
2014,LOCAL,Hyde Park and Woodhouse,Andrews,Peter Richard,Liberal Democrats,207,,,15559
2014,LOCAL,Hyde Park and Woodhouse,Belsham-Wray,Tanis,Trade Unionists and Socialists Against Cuts,98,,,15559
2014,LOCAL,Hyde Park and Woodhouse,Foren,Christopher Mark,Green Party,865,,,15559
2014,LOCAL,Hyde Park and Woodhouse,Hardy,Edward Thomas,The Conservative Party Candidate,295,,,15559
2014,LOCAL,Hyde Park and Woodhouse,Morley,Glenn George,UK Independence Party (UKIP),288,,,15559
2014,LOCAL,Killingbeck and Seacroft,Binns,Joanne,Liberal Democrats,311,,,16116
2014,LOCAL,Killingbeck and Seacroft,Flynn,Dorothy,The Conservative Party Candidate,623,,,16116
2014,LOCAL,Killingbeck and Seacroft,Richardson,Louise Sarah,Green Party,617,,,16116
2014,LOCAL,Killingbeck and Seacroft,Selby,Brian Michael,Labour and Co-operative Party Candidate,2927,,ELECTED,16116
2014,LOCAL,Kippax and Methley,Hills,John William,Liberal Democrats,141,,,16078
2014,LOCAL,Kippax and Methley,Langley,James Michael,The Conservative Party Candidate,867,,,16078
2014,LOCAL,Kippax and Methley,Smith,Tina Janette,UK Independence Party (UKIP),1599,,,16078
2014,LOCAL,Kippax and Methley,Wakefield,Keith Ivor,Labour Party Candidate,2868,,ELECTED,16078
2014,LOCAL,Kippax and Methley,Webb,David Charles,Green Party,237,,,16078
2014,LOCAL,Kirkstall,Hughes,Martin,Liberal Democrats,252,,,15109
2014,LOCAL,Kirkstall,Long,Stuart William,Independent,55,,,15109
2014,LOCAL,Kirkstall,Mayor,Ben John Elliott,Trade Unionists and Socialists Against Cuts,56,,,15109
2014,LOCAL,Kirkstall,Reid,Kevin,UK Independence Party (UKIP),907,,,15109
2014,LOCAL,Kirkstall,Tatchell-Evans,Morgan Rhys,Green Party,724,,,15109
2014,LOCAL,Kirkstall,Venner,Fiona Elizabeth,Labour Party Candidate,2696,,ELECTED,15109
2014,LOCAL,Kirkstall,Wharton,Matthew Peter,The Conservative Party Candidate,379,,,15109
2014,LOCAL,Middleton Park,Fisher,Sadie,Liberal Democrats,79,,,18547
2014,LOCAL,Middleton Park,Groves,Kim Susan,Labour Party Candidate,2489,,ELECTED,18547
2014,LOCAL,Middleton Park,Harpham,Barbara Anne,The Conservative Party Candidate,287,,,18547
2014,LOCAL,Middleton Park,Meeson,Kevin,Brit Dems stop immigration leave EU,358,,,18547
2014,LOCAL,Middleton Park,Sweaton,Craig James,UK Independence Party (UKIP),1756,,,18547
2014,LOCAL,Middleton Park,Thompson,Austen,Green Party,219,,,18547
2014,LOCAL,Moortown,Campbell,Ros,Alliance for Green Socialism - Save NHS,188,,,17129
2014,LOCAL,Moortown,Dodsworth,Mark Samuel,The Conservative Party Candidate,1282,,,17129
2014,LOCAL,Moortown,Finlay,Darren,Liberal Democrats,781,,,17129
2014,LOCAL,Moortown,Hamilton,Sharon,Labour Party Candidate,2923,,ELECTED,17129
2014,LOCAL,Moortown,Procter,Alan Leslie,UK Independence Party (UKIP),821,,,17129
2014,LOCAL,Moortown,Smith,Christopher,Green Party,806,,,17129
2014,LOCAL,Morley North,Fenney,Deborah Ruth,Green Party,180,,,17456
2014,LOCAL,Morley North,Hill,Charlotte,Labour Party Candidate,1181,,,17456
2014,LOCAL,Morley North,Leadley,Thomas Adrian,Morley Borough Independents,2759,,ELECTED,17456
2014,LOCAL,Morley North,MacArthur,John Durno,Liberal Democrats,74,,,17456
2014,LOCAL,Morley North,Senior,Luke Barry,UK Independence Party (UKIP),1150,,,17456
2014,LOCAL,Morley North,Tempest,Sophie,The Conservative Party Candidate,675,,,17456
2014,LOCAL,Morley South,Cussons,Neil,Trade Unionists and Socialists Against Cuts,51,,,16523
2014,LOCAL,Morley South,Dove,Lindon,UK Independence Party (UKIP),1279,,,16523
2014,LOCAL,Morley South,Eikonoklastes,Bluebell New Jerusalem,Green Party,116,,,16523
2014,LOCAL,Morley South,Gagen,Kathryn,Liberal Democrats,71,,,16523
2014,LOCAL,Morley South,Sewards,Mark,Labour Party Candidate,1293,,,16523
2014,LOCAL,Morley South,Tempest,Kathleen Ann,The Conservative Party Candidate,489,,,16523
2014,LOCAL,Morley South,Varley,Shirley,Morley Borough Independents,1967,,ELECTED,16523
2014,LOCAL,Otley and Yeadon,Brear,Owen Arthur David,Green Party,490,,,17339
2014,LOCAL,Otley and Yeadon,Downes,Ryk,Liberal Democrats,2916,,ELECTED,17339
2014,LOCAL,Otley and Yeadon,Francis,Gerard,The Conservative Party Candidate,921,,,17339
2014,LOCAL,Otley and Yeadon,Hollings,Tom,UK Independence Party (UKIP),1306,,,17339
2014,LOCAL,Otley and Yeadon,Morris,Carl John,Labour Party Candidate,1916,,,17339
2014,LOCAL,Pudsey,Arbuckle,Jude,Liberal Democrats,205,,,16805
2014,LOCAL,Pudsey,Banks,Phil,UK Independence Party (UKIP),1785,,,16805
2014,LOCAL,Pudsey,Carter,Amanda Lesley,The Conservative Party Candidate,1356,,,16805
2014,LOCAL,Pudsey,Coulson,Mick,Labour Party Candidate,2182,,ELECTED,16805
2014,LOCAL,Pudsey,Dracup,Irene Glynis,Green Party,390,,,16805
2014,LOCAL,Rothwell,Ellis,Stephen Craig,The Conservative Party Candidate,723,,,15528
2014,LOCAL,Rothwell,Golton,Stewart,Liberal Democrats,2429,,ELECTED,15528
2014,LOCAL,Rothwell,Haycock,Gordon,Green Party,385,,,15528
2014,LOCAL,Rothwell,Kellett,Angela,Labour Party Candidate,2018,,,15528
2014,LOCAL,Roundhay,Christie,Malcolm Scott,Alliance For Green Socialism - Save NHS,355,,,16940
2014,LOCAL,Roundhay,Ellis,Paul Charles,Green Party,820,,,16940
2014,LOCAL,Roundhay,Hussain,Ghulam,Labour Party Candidate,3229,,ELECTED,16940
2014,LOCAL,Roundhay,Paraskos,Andy,The Conservative Party Candidate,1952,,,16940
2014,LOCAL,Roundhay,Whelan,Richard,Liberal Democrats,528,,,16940
2014,LOCAL,Temple Newsam,Allen,Nathan,Green Party,335,,,16275
2014,LOCAL,Temple Newsam,Lyons,Mick,Labour Party Candidate,2294,,ELECTED,16275
2014,LOCAL,Temple Newsam,Naylor,Bruce,UK Independence Party (UKIP),1599,,,16275
2014,LOCAL,Temple Newsam,Norman,Keith Cecil,Liberal Demcrats,148,,,16275
2014,LOCAL,Temple Newsam,Schofield,David,The Conservative Party Candidate,1377,,,16275
2014,LOCAL,Weetwood,Chapman,Judith Mara,Liberal Democrats,2155,,ELECTED,15584
2014,LOCAL,Weetwood,Cullen,Mike,UK Independence Party (UKIP),737,,,15584
2014,LOCAL,Weetwood,Cussons,Max,Trade Unionists and Socialists Against Cuts,40,,,15584
2014,LOCAL,Weetwood,Hemingway,Martin Francis,Green Party,646,,,15584
2014,LOCAL,Weetwood,Heselwood,Julie Caroline,Labour Party Candidate,1768,,,15584
2014,LOCAL,Weetwood,McMeeking,Thomas Ian,The Conservative Party Candidate,806,,,15584
2014,LOCAL,Wetherby,Drinkwater,Paul,Labour Party Candidate,1023,,,15668
2014,LOCAL,Wetherby,Howell,Sara Karen,Liberal Democrats,340,,,15668
2014,LOCAL,Wetherby,Murray,Sam,Green Party,508,,,15668
2014,LOCAL,Wetherby,Procter,John Michael,The Conservative Party Candidate,2995,,ELECTED,15668
2014,LOCAL,Wetherby,Spivey,Paul Anthony,UK Independence Party (UKIP),1096,,,15668
