Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,GENZYME THERAPEUTICS,19889621,"84,540.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Rent,Radiology Academy Project,GOODSHELTER PROPERTY CO LTD,20009704,"56,054.70"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,19977222,"36,408.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,19714287,"39,585.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,19714290,"42,900.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,19714289,"45,560.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,19977219,"46,045.67"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,19714293,"46,605.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,19977226,"51,535.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,19977223,"56,573.90"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,19977217,"59,345.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HEALTHCARE AT HOME LTD,19977224,"59,345.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HOSPIRA ASEPTIC SERVICES LTD,19768702,"25,888.36"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HOSPIRA ASEPTIC SERVICES LTD,19814071,"26,280.01"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,HOSPIRA ASEPTIC SERVICES LTD,19814074,"33,247.87"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Gen Supplies & Srv,Central Other,HP INC UK LTD,19936683,"-73,164.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Gen Supplies & Srv,Central Other,HP INC UK LTD,19936714,"73,164.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Contr Other External,Switchboard,INDIGO PARK SERVICES UK LTD,19791271,"30,241.98"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Contr Premises Security,Security,INDIGO PARK SERVICES UK LTD,19791271,"39,246.83"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Contr Other External,Car Parking,INDIGO PARK SERVICES UK LTD,19827742,"53,162.83"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Contr Premises Security,Car Parking,INDIGO PARK SERVICES UK LTD,19791395,"63,015.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Contr Other External,Car Parking,INDIGO PARK SERVICES UK LTD,19791271,"71,847.35"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,INSIGHT HEALTH LTD,19923296,"36,391.78"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,X-Ray Equip Maint/Repair,PACS / CRIS,INSIGNIA MEDICAL SYSTEMS LTD,19906868,"76,781.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Fixed assets,Balance Sheet,INTEGRA NEUROSCIENCES LTD,20009564,"-102,105.80"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Fixed assets,Balance Sheet,INTEGRA NEUROSCIENCES LTD,20009518,"101,933.87"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Fixed assets,Balance Sheet,INTEGRA NEUROSCIENCES LTD,19706509,"102,105.80"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Electricity,Energy And Utilities,LASER ENERGY BUYING GROUP,19854274,"139,181.64"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Electricity,Energy And Utilities,LASER ENERGY BUYING GROUP,20009474,"244,127.33"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,LIVANOVA UK LTD,19873161,"57,600.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Public Sector,Central Other,LIVEWELL SOUTHWEST,20017121,"107,756.40"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Public Sector,Central Other,LIVEWELL SOUTHWEST,20017123,"153,394.80"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Public Sector,Central Other,LIVEWELL SOUTHWEST,20017124,"482,230.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Med & Surg Maint Contract,Contracts,MAQUET LTD,19905603,"26,965.06"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Med & Surg Maint Contract,Contracts,MAQUET LTD,19905605,"28,370.88"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Fixed assets,Balance Sheet,MSOFT ESOLUTIONS LTD,19873102,"46,080.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Blood Products,Blood,NHS BLOOD & TRANSPLANT,19950395,"192,670.75"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,NHS BUSINESS SERVICES AUTHORITY,19726090,"28,527.91"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,CNST contributions,Central Other,NHS LITIGATION AUTHORITY,SSC DD - NHSLA,"1,616,902.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,20049100,"78,870.02"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19482908,"92,308.89"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19641746,"107,999.35"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19563834,"117,564.57"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19890015,"120,578.92"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19641712,"125,111.02"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19725729,"131,294.71"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19890026,"134,308.34"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19812605,"155,750.37"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19950385,"162,627.69"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19563855,"167,015.19"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Staff costs,Human Resources,NHS PROFESSIONALS LTD,19563800,"275,062.69"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Consumables,Procurement,NHS SUPPLY CHAIN,20067978,"100,403.26"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Consumables,Procurement,NHS SUPPLY CHAIN,19768041,"105,262.68"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Consumables,Procurement,NHS SUPPLY CHAIN,19740285,"105,438.23"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Consumables,Procurement,NHS SUPPLY CHAIN,19921521,"112,435.71"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Consumables,Procurement,NHS SUPPLY CHAIN,19821490,"116,594.11"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Consumables,Procurement,NHS SUPPLY CHAIN,20067981,"129,552.28"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,19851207,"42,937.30"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,19768763,"85,600.26"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,20012509,"85,694.22"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Computer Maintenance,ICT Infrastructure,PERVASIVE NETWORKS LTD,19837777,"29,533.46"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Independent Sector,Ortho Management & Admin,PLYMOUTH AND PENINSULA SPECIALISTS LLP,19907470,"48,174.13"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Independent Sector,Ortho Management & Admin,PLYMOUTH AND PENINSULA SPECIALISTS LLP,19856485,"51,676.63"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Fixed assets,Balance Sheet,PLYMOUTH CITY COUNCIL,19937715,"100,000.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Rates,Rents and Rates,PLYMOUTH CITY COUNCIL,19632199,"1,196,112.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Public Sector,Central Other,PLYMOUTH COMMUNITY HEALTHCARE CIC,19758866,"247,183.20"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Printing Costs,Information Services,RICOH UK LTD,19890012,"72,108.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Laboratory Reagents,Derriford Combined Lab,ROCHE DIAGNOSTICS LTD,19673166,"655,998.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Laboratory Reagents,Derriford Combined Lab,ROCHE DIAGNOSTICS LTD,19841914,"1,080,797.92"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,ROCHE PRODUCTS LTD,20012515,"32,139.96"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Clinical Costs,Clinical Haematology,ROYAL CORNWALL HOSPITALS NHS TRUST,19865913,"41,805.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Other Clinical Costs,Clinical Haematology,ROYAL CORNWALL HOSPITALS NHS TRUST,19837726,"103,502.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Ext Contr Laundry,Linen Services,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,19871077,"83,825.05"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Ext Contr Catering,Commercial Contracts,SERCO LTD,19660713,"-75,000.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Ext Contr Catering,Commercial Contracts,SERCO LTD,19905610,"243,144.83"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Ext Contr Oth Hotel Srv,Commercial Contracts,SERCO LTD,19905610,"357,090.98"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Ext Contr Domestics,Commercial Contracts,SERCO LTD,19905610,"422,788.48"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Accountancy services,Finance Director,SHARED BUSINESS SERVICES,STANDING ORDER SBS SLA,"33,934.34"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Fixed assets,Balance Sheet,SOUTH WEST HIGHWAYS LTD,19865640,"38,801.70"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Water,Energy And Utilities,SOUTH WEST WATER LTD,19706446,"-76,971.20"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Sewerage,Energy And Utilities,SOUTH WEST WATER LTD,19694338,"-29,520.28"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Sewerage,Energy And Utilities,SOUTH WEST WATER LTD,19694341,"34,922.06"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Ambulance Car Service,Patient Transport,SRCL LTD,19825659,"98,331.49"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Ambulance Car Service,Patient Transport,SRCL LTD,20009504,"112,871.27"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Independent Sector,Palliative Care,ST LUKES HOSPICE PLYMOUTH,19706423,"110,233.14"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Fixed assets,Balance Sheet,SWISSLOG (UK) LTD,19728180,"25,740.74"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Drugs,Pharmacy,UNISURGE INTERNATIONAL LTD,19858178,"33,984.00"
Department of Health,Plymouth Hospitals NHS TRUST,31/08/2016,Data Lines,Telecommunications,VIRGIN MEDIA BUSINESS LTD,19998940,"-28,365.07"
