Reference Number,Title of Agreement,Department Responsible,Description of Goods and/or Services,Supplier,Total Contract Value,Non-recoverable VAT,Start Date,End Date,End Date (including extension),Review Date,Award Method,SME?
SWIFT,Paradise House (Housing Assoc),Adults & Communities,Residential & Nursing Care,Novalist Trust Ltd,"£41,494.99",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Supported Housing,Adults & Communities,Residential & Nursing Care,Baytree Community Care,"£42,817.00",,01/04/2010,31/03/2014,,04/07/2013,ITT,
SWIFT,Learn To Earn ,Adults & Communities,Voluntary sector preventative services,Dimensions Ltd,"£44,043.98",,01/10/2012,31/03/2014,,04/07/2013,ITT,
SWIFT,Kay Court (Jewish Care),Adults & Communities,Residential & Nursing Care,Jewish Care,"£44,482.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Ivers,Adults & Communities,Residential & Nursing Care,ACH London Ltd,"£44,842.84",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Fairburn House,Adults & Communities,Residential & Nursing Care,Fairburn House Ltd,"£45,026.89",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Pen Y Daith,Adults & Communities,Residential & Nursing Care,St David'S Care - Community,"£46,384.75",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Asian Women's Services,Adults & Communities,Voluntary sector preventative services,Barnet Asian Womens Assn,"£46,526.00",,01/04/2011,31/03/2015,,04/07/2014,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£46,917.02",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Thorndene,Adults & Communities,Residential & Nursing Care,Thorndene Ltd,"£47,984.17",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Seva Care Home,Adults & Communities,Residential & Nursing Care,Seva Care Home,"£48,102.86",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Westgate College,Adults & Communities,Residential & Nursing Care,Royal School For Deaf Children,"£48,492.39",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Raphael Medical Centre,Adults & Communities,Residential & Nursing Care,Raphael Medical Centre,"£48,657.61",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Alicia Care Home,Adults & Communities,Residential & Nursing Care,Apex Care Homes ,"£48,798.26",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Milton Keynes Services,Adults & Communities,Residential & Nursing Care,Scope,"£48,973.94",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,The Marillac,Adults & Communities,Residential & Nursing Care,Sisters Of Charity-St Vincents,"£49,119.81",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Gloucestershire Group Home,Adults & Communities,Residential & Nursing Care,Gloucestershire Group Homes,"£49,459.15",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Phillips House,Adults & Communities,Residential & Nursing Care,Freeways,"£49,796.39",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,MCCH Society Ltd,Adults & Communities,Residential & Nursing Care,Mcch Society Ltd,"£50,000.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Long Furrows,Adults & Communities,Residential & Nursing Care,Long Furrows Care Group,"£50,083.96",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Maryville Care Home,Adults & Communities,Residential & Nursing Care,The Frances Taylor Foundation,"£50,281.08",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,Sense Day Centre,"£50,539.37",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Athenaeum Hse (Ventry),Adults & Communities,Residential & Nursing Care,Brownlow Enterprises Ltd,"£51,782.20",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Norwood 159 Station Road,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£51,940.11",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Quality Housing(Trinity House),Adults & Communities,Residential & Nursing Care,Quality Housing & Social Care,"£52,798.64",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Nightingale House,Adults & Communities,Residential & Nursing Care,Nightingale House (Care Home) Ltd,"£52,831.67",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,B&M Care,Adults & Communities,Residential & Nursing Care,B&M Care,"£52,963.86",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,The Well House Respite Unit,Adults & Communities,Residential & Nursing Care,The Well House,"£53,070.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Northwood Nursing Home,Adults & Communities,Residential & Nursing Care,MD Homes,"£53,331.43",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Leonard Sainer Day Centre,Adults & Communities,Day Care,Jewish Care,"£53,904.48",,07/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Seaforth Lodge,Adults & Communities,Residential & Nursing Care,Waterfall House Ltd,"£54,095.54",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Hillview Court Care Home,Adults & Communities,Residential & Nursing Care,Caring Homes Group,"£54,900.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,House Martins,Adults & Communities,Residential & Nursing Care,House Martins Care Ltd,"£54,929.28",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Wilsmere House,Adults & Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£55,752.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Brook House,Adults & Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£55,752.78",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,St Josephs Pastoral Centre,"£55,914.30",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Optimal Living (Luton) Ltd,"£56,397.46",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,Delrow House (Camphill),"£56,452.89",,09/03/2012,31/03/2014,,04/07/2013,ITT,
SWIFT,Oxenden House Care Home,Adults & Communities,Residential & Nursing Care,Oxenden House Care Home Ltd,"£56,770.78",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,The Firs (Ravenswood Village),Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£57,104.37",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Silver Springs,Adults & Communities,Residential & Nursing Care,Silver Springs Rch Ltd (Mr & Mrs K Sedani),"£57,411.81",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£57,427.49",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Saxon Court,Adults & Communities,Residential & Nursing Care,Abbey Care Saxon Ltd,"£57,475.59",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Hapstead Village-Camphill,Adults & Communities,Residential & Nursing Care,Camphill Trust,"£58,926.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Westminster Barchester (Bulk),Adults & Communities,Residential & Nursing Care,Barchester Healthcare Ltd,"£59,085.47",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Beckman Centre,Adults & Communities,Voluntary sector preventative services,Jewish Care,"£61,400.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Hilton Care Home,Adults & Communities,Residential & Nursing Care,HCS (Enfield) Formerly Hilton Care Service,"£62,242.48",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Magnolia House,Adults & Communities,Residential & Nursing Care,Community Care Solutions Ltd,"£62,298.43",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Spanish & Portuguese Jews Home,Adults & Communities,Residential & Nursing Care,Spanish & Portuguese Jews Home,"£62,991.96",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Norwood Stanmore Cottages,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£63,102.06",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Lancaster Court,Adults & Communities,Residential & Nursing Care,Runwood Homes Plc,"£63,287.67",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Southdown Housing Association,Adults & Communities,Residential & Nursing Care,Southdown Housing Association,"£63,930.79",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Shakti Nursing Home,Adults & Communities,Residential & Nursing Care,Shakti Nursing Home,"£64,000.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Real Life Options,Adults & Communities,Residential & Nursing Care,Real Life Options,"£68,654.80",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£69,269.68",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Laura House,Adults & Communities,Residential & Nursing Care,Robert Owen Communities,"£69,801.43",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Chelsea House,Adults & Communities,Residential & Nursing Care,Pashun Care Homes Ltd,"£69,987.04",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Kingsdowne Residential Home,Adults & Communities,Residential & Nursing Care,The Kingsdowne Society,"£70,529.77",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Homecare,Adults & Communities,Homecare,Barnet Mencap,"£70,958.51",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,SFI (College Road),Adults & Communities,Residential & Nursing Care,Striving For Independence (Sfi) Group Home,"£71,108.57",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Springbank Care Home,Adults & Communities,Residential & Nursing Care,Four Seasons Healthcare,"£72,006.32",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,The Shaw Trust,"£72,268.68",,09/03/2012,31/03/2015,,04/07/2014,ITT,
SWIFT,Bedfordshire County Council,Adults & Communities,Residential & Nursing Care,Bedfordshire County Council,"£73,200.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Laurel House,Adults & Communities,Residential & Nursing Care,North London Care Services Ltd,"£73,918.41",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Middlefield Manor (Nas),Adults & Communities,Residential & Nursing Care,National Autistic Society,"£74,541.13",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Drummonds (Scope),Adults & Communities,Residential & Nursing Care,Scope,"£75,192.09",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Day Care,Adults & Communities,Day Care,The Stables,"£76,860.00",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Insight,Adults & Communities,Residential & Nursing Care,Insight,"£77,697.62",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Church Walk House,Adults & Communities,Residential & Nursing Care,Central & Cecil Housing Trust,"£77,903.83",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Oakhouse Residential,Adults & Communities,Residential & Nursing Care,Oakhouse Residential Care Service Ltd,"£78,749.61",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Homecare,Adults & Communities,Homecare,The Extra Mile Care Company,"£78,798.79",,09/03/2012,06/11/2015,,09/02/2015,ITT,
SWIFT,305 Cressex Road,Adults & Communities,Residential & Nursing Care,Buckinghamshire County Council,"£78,913.26",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Anonymised,Adults & Communities,Residential & Nursing Care,Maison Moti Ltd,"£82,350.00",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Short Heath Road Home,Adults & Communities,Residential & Nursing Care,Thoughts Of Others Ltd,"£82,825.28",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Homecare,Adults & Communities,Homecare,Pashun Outreach,"£82,873.38",,01/11/2011,31/03/2014,,04/07/2013,ITT,
SWIFT,Sunridge Court,Adults & Communities,Residential & Nursing Care,Sunridge Housing Association,"£84,191.50",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,The Springs Community,Adults & Communities,Residential & Nursing Care,Cygnet Ltd,"£84,768.74",,01/04/2009,31/03/2014,,04/07/2013,ITT,
SWIFT,Norwood 159A Station Road,Adults & Communities,Residential & Nursing Care,Norwood Ravenswood Ltd,"£85,721.91",,01/04/2009,31/03/2014,,04/07/2013,ITT,
