Property Reference,Account Holder 1,Account Holder 2,Liability Start Date,Property Name 1,Property Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Post Code,Billing Address 1,Billing Address 2,Billing Address 3,Billing Address 4, Charged Amount ,Rateable Value,Property Description,Charity Relief,Discretionary,Rural Relief,Discretionary ,Mandatory,Small Business Rate Relief,Exemption,Empty Relief
10055596675209,FABTRAD LTD                     ,                                ,27.03.2015               ,H YEARSLEY LTD                  ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,                                ,                                ,OL16 5AA,BELFIELD HALL FARM                 ,336 ALBERT ROYDS STREET            ,ROCHDALE                        ,                                ," �24,850.00 ",50000,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,      ,      ,      
10055598560496,FABTRAD LTD                     ,                                ,27.03.2015               ,H YEARSLEY LTD (O)              ,                                ,ALBERT ROYDS STREET                ,ROCHDALE                           ,                                ,                                ,OL16 5AA,BELFIELD HALL FARM                 ,336 ALBERT ROYDS STREET            ,ROCHDALE                        ,                                ," �5,808.00 ",12000,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,      
10058X0002005B     ,J COONEY LTD                    ,                                ,01.04.2005               ,J COONEY CIVIL ENGINEERING      ,                                ,ALBION ROAD                        ,ROCHDALE                           ,LANCS                           ,                                ,OL11 4HQ,STORE                              ,ALBION ROAD                        ,ROCHDALE LANCASHIRE             ,                                ," �3,513.46 ",10250,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,Y     ,      ,      
10058X00050075     ,ACRYATE RESEARCH AND DEVELOPMENT,LTD                             ,15.04.2016               ,UNIT 3                          ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,                                   ,                                   ,                                ,                                ," �2,687.88 ",11750,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,Y     
10058X00100058     ,W S ALLELY LTD                  ,                                ,01.04.2005               ,UNIT 9                          ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,P 0 BOX 58                         ,ALMA STREET                        ,SMETHWICK WARLEY WEST MIDLANDS  ,                                ," �8,349.00 ",17250,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,      ,      ,      
10058X00110026     ,DAMAR INTERIORS (NORTH WEST) LTD,                                ,21.03.2012               ,UNIT 10                         ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,UNIT 10                            ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                        ,LANCASHIRE                      ," �3,291.20 ",6800,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,      
10058X001200X7     ,DAMAR INTERIORS (NORTH WEST) LTD,                                ,21.10.2013               ,UNIT 11                         ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,UNIT 10                            ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                        ,LANCASHIRE                      ," �4,501.20 ",9300,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,      ,      ,      
10058X00150019     ,HOPE CONSTRUCTION MATERIALS LTD ,                                ,11.09.2015               ,TARMAC TOPMIX                   ,                                ,ALBION ROAD                        ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4HQ,C/O GERALD EVE LLP                 ,35 KINGS HILL AVENUE               ,WEST MALLING                    ,KENT                            ," �8,946.00 ",18000,CONCRETE BATCHING PLANT AND PREMISES                        ,      ,0,      ,0,0,      ,      ,      
10058X46097239     ,JEM FIRE PUMPS LIMITED FAO A H  ,LEECH (CO SECRETARY)            ,01.04.2005               ,UNIT 4-5                        ,                                ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 4JB,JEM HOUSE                          ,4 ROCHDALE INDUSTRIAL ESTATE       ,ALBION ROAD                     ,ROCHDALE LANCASHIRE             ," �12,300.75 ",24750,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,      
10058X98487009     ,EXIGO PT ONE LTD                ,                                ,01.04.2016               ,                                ,                                ,UNIT 1                             ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                        ,                                ,OL11 4JB,LAWTON STREET                      ,ROCHDALE                           ,                                ,                                , �-   ,18250,Warehouse and Premises                                      ,      ,0,      ,0,0,      ,Y     ,Y     
10058X98487010     ,SUPRAFILT LTD                   ,                                ,01.04.2016               ,                                ,                                ,UNIT 2                             ,ALBION INDUSTRIAL ESTATE           ,ROCHDALE                        ,                                ,OL11 4JB,SAGAR HOLME MILL                   ,BURNLEY ROAD EAST                  ,ROSSENDALE                      ,                                , �-   ,15750,Warehouse and Premises                                      ,      ,0,      ,0,0,      ,Y     ,Y     
1010950010005B     ,ABM (LANCASHIRE) LTD            ,                                ,27.04.2011               ,UNIT 10                         ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,UNIT 10 ALMA INDUSRTIAL ESTATE     ,ROCHDALE                           ,                                ,LANCS                           , �696.96 ,7200,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,Y     ,      ,      
10109590034010,NUCLEUS MARKETING SERVICES      ,LTD                             ,01.05.2010               ,                                ,                                ,"UNIT 3, 4 & PT 5 ALMA INDUSTRIAL   ",ESTATE                             ,ROCHDALE                        ,                                ,OL12 0HQ,                                   ,                                   ,                                ,                                ," �12,797.75 ",25750,Workshop and Premises                                       ,      ,0,      ,0,0,      ,      ,      
10109591029834,MR RICHARD LAKE                 ,T/A NIGHTINGALE NURSING SUPPLIES,14.03.2014               ,                                ,                                ,UNIT 2 ALMA INDUSTRIAL ESTATE      ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,                                   ,                                   ,                                ,                                ," �18,886.00 ",38000,Workshop and Premises                                       ,      ,0,      ,0,0,      ,      ,      
10109594389201,PURE FILTERS (INTERNATIONAL)    ,LTD                             ,01.01.2013               ,                                ,                                ,UNIT 1 ALMA INDUSTRIAL ESTATE      ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,UNIT 1 ALMA INDUSTRIAL ESTATE      ,ROCHDALE                           ,                                ,                                ," �15,158.50 ",30500,Workshop and Premises                                       ,      ,0,      ,0,0,      ,      ,      
10109595527680,TRUSTEES OF THE GUARDIAN PENSION,SCHEME                          ,17.06.2016               ,UNIT 7                          ,                                ,ALMA INDUSTRIAL ESTATES            ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,HALLMARK COURT                     ,132 MANCHESTER ROAD                ,ROCHDALE                        ,                                ," �3,965.11 ",16000,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,      ,      ,Y     
10109597754519,NEXUS DRINKS SYSTEMS LTD        ,                                ,01.05.2007               ,UNIT 6                          ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,                                ,                                ,OL12 0HQ,NEXUS HOUSE                        ,UNIT 6 ALMA INDUSTRIAL ESTATE      ,REGENT STREET                   ,ROCHDALE                        ," �7,744.00 ",16000,WAREHOUSE AND PREMISES                                      ,      ,0,      ,0,0,Y     ,      ,      
10109599183828,TRI-CAST COMPOSITE TUBES LTD    ,                                ,16.06.2010               ,UNIT 9                          ,                                ,ALMA INDUSTRIAL ESTATE             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL12 0HQ,                                   ,                                   ,                                ,                                ," �3,630.00 ",7500,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,      ,      ,      
10115000010086,ASPDEN & MIDDLETON PROPERTIES   ,LTD                             ,01.04.2007               ,BOUNDARY WORKS                  ,                                ,BOUNDARY STREET                    ,ROCHDALE                           ,LANCS                           ,                                ,OL11 1QX,SCHOOL LANE                        ,ROCHDALE LANCASHIRE                ,                                ,                                , �-   ,1650,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,      ,Y     ,Y     
10115000050153,BEEWEB LTD                      ,                                ,01.04.2005               ,LANCASHIRE WORKS BEE WEBB       ,                                ,AMBROSE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QX,LANCASHIRE WORKS BEE WEBB          ,AMBROSE STREET                     ,ROCHDALE LANCASHIRE             ,                                , �-   ,5600,WORKSHOP AND PREMISES                                       ,      ,0,      ,0,0,Y     ,      ,      
10124800010086,THE CATHOLIC CLUB               ,                                ,01.04.2005               ,CATHOLIC CLUB                   ,                                ,ANN STREET                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1QQ,CATHOLIC CLUB                      ,ANN STREET                         ,ROCHDALE LANCASHIRE             ,                                , �765.59 ,7300,CLUB AND PREMISES                                           ,      ,0,      ,0,0,Y     ,      ,      
10124893772934,OLIVESTON LTD                   ,                                ,01.11.2015               ,                                ,                                ,UNIT 3 ANN STREET                  ,ROCHDALE                           ,                                ,                                ,OL16 1QQ,95 OLDHAM ROAD                     ,ROCHDALE                           ,                                ,                                , �-   ,5000,Office and Premises                                         ,      ,0,      ,0,0,Y     ,      ,      
10124897153418,CENTRAL MOSQUE ROCHDALE         ,                                ,06.04.2015               ,                                ,                                ,5-9 ANN STREET                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1QQ,                                   ,                                   ,                                ,                                , �944.30 ,9500,Offices and Premises                                        ,Y     ,0,      ,0,0,      ,      ,      
10124898731641,CHUNKY DISTRIBUTION LTD         ,                                ,29.09.2015               ,                                ,                                ,UNITS 1 & 2 ANN STREET             ,ROCHDALE                           ,                                ,                                ,OL16 1QQ,                                   ,                                   ,                                ,                                ," �2,855.60 ",5900,Workshop and Premises                                       ,      ,0,      ,0,0,      ,      ,      
10193800000305,NW RESERVE FORCES & CADETS      ,ASSOC                           ,01.04.2005               ,ATC HUT                         ,                                ,ASHFIELD ROAD                      ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL11 1QH,CHIEF EXECUTIVE NW RFCA            ,ALEXANDRA COURT                    ,28 Alexandra Drive              ,Liverpool                       , �-   ,3400,HALL AND PREMISES                                           ,Y     ,100,      ,0,0,      ,      ,      
10205200080095,CASTLETON BOWLING CLUB          ,                                ,01.04.2005               ,CASTLETON BOWLING CLUB          ,                                ,ASHTON STREET                      ,ROCHDALE                           ,                                ,                                ,OL11 3RT,FAO THE TREASURER MR PENMAN        ,48 LEANDER DRIVE                   ,CASTLETON                       ,ROCHDALE                        , �-   ,4600,BOWLING GREEN AND PREMISES                                  ,      ,0,      ,0,0,Y     ,      ,      
10210594431736,TELEFONICA O2 LIMITED           ,                                ,03.02.2011               ,T-MOBILE SITE REF 52068         ,                                ,HAMER LANE                         ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 2UL,C/O CLUTTONS LLP                   ,PORTMAN HOUSE                      ,2 PORTMAN STREET                ,LONDON                          ," �2,613.60 ",5400,COMMUNICATION STATION AND PREMISES                          ,      ,0,      ,0,0,      ,      ,      
10268X95055701     ,FISHERFIELD FARM NURSERY LTD    ,                                ,01.04.2005               ,THE GABLES                      ,                                ,34 BAGSLATE MOOR ROAD              ,ROCHDALE                           ,                                ,                                ,OL11 0HQ,HARGATE AVENUE                     ,NORDEN                             ,ROCHDALE                        ,                                ," �4,840.00 ",10000,DAY NURSERY AND PREMISES                                    ,      ,0,      ,0,0,      ,      ,      
10274200050077,ROCHDALE MBC                    ,                                ,20.05.2013               ,                                ,                                ,17A BAILLIE STREET                 ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JA,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                , �-   ,13000,Offices and Premises                                        ,      ,0,      ,0,0,      ,Y     ,Y     
10274200080091,ROCHDALE MBC                    ,                                ,15.07.2015               ,                                ,                                ,21 BAILLIE STREET                  ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JA,NUMBER 1 RIVERSIDE                 ,SMITH STREET                       ,ROCHDALE                        ,                                ," �1,572.70 ",5500,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,Y     
1027420015107B     ,ROCHDALE MBC                    ,                                ,01.04.2005               ,N1006 1341                      ,                                ,RMBC 1ST AND 2ND FL TELEGRAPH HOUSE,BAILLIE STREET                     ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JA,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �40,008.50 ",80500,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,Y     
10274200160099,ROCHDALE MBC                    ,                                ,01.04.2013               ,ROCHDALE PRIMARY CARE TRUST PT  ,"5TH FLR, TELEGRAPH HOUSE        ",BAILLIE STREET                     ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1JA,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �2,683.80 ",5400,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,Y     
10274200170067,ROCHDALE MBC                    ,                                ,01.04.2005               ,F0150 1341 SUITE B 4TH FLOOR    ,                                ,TELEGRAPH HOUSE BAILLIE STREET     ,ROCHDALE                           ,                                ,                                ,OL16 1JA,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �4,572.40 ",9200,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,Y     
102742002000X6     ,ROCHDALE MBC                    ,                                ,01.04.2005               ,SUITE A PT 4TH FLR              ,                                ,TELEGRAPH HOUSE BAILLIE STREET     ,ROCHDALE                           ,                                ,                                ,OL16 1JA,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �4,671.80 ",9400,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,Y     
10274200210071,ROCHDALE MBC                    ,                                ,01.04.2005               ,N1006 1341                      ,                                ,RMBC 7TH FLR TELEGRAPH HOUSE       ,BAILLIE STREET                     ,ROCHDALE                        ,                                ,OL16 1JA,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �20,004.25 ",40250,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,Y     
10274200230018,ROCHDALE MBC                    ,                                ,01.04.2013               ,RCHC PT 5TH FLOOR               ,                                ,TELEGRAPH HOUSE BAILLIE STREET     ,ROCHDALE                           ,                                ,                                ,OL16 1LJ,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �4,622.10 ",9300,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,Y     
10274246613279,ROCHDALE MBC                    ,                                ,01.04.2013               ,ROCHDALE & BURY HEALTH AUTHORI  ,3RD FLR TELEGRAPH HOUSE         ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1PB,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �21,619.50 ",43500,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,      
10274291514865,A2 PROPERTY LIMITED             ,                                ,03.04.2016               ,SHOP3 AT 1A-3A                  ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JJ,3 BAILLIE STREET                   ,ROCHDALE                           ,                                ,                                ," �5,776.18 ",12000,SHOP AND PREMISES                                           ,      ,0,      ,0,0,      ,      ,      
10274294022839,ROCHDALE MBC                    ,                                ,11.03.2014               ,                                ,                                ,1ST FLR 19                         ,BAILLIE STREET                     ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JJ,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                , �-   ,8700,HAIRDRESSING SALON AND PREMISES                             ,      ,0,      ,0,0,      ,Y     ,Y     
10274294778512,ROCHDALE MBC                    ,                                ,01.04.2013               ,ROCHDALE NHS PCT PT 5TH FLR     ,                                ,TELEGRAPH HOUSE BAILLIE STREET     ,ROCHDALE                           ,                                ,                                ,OL16 1JA,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �13,294.75 ",26750,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,Y     
10274294934028,LAND SECURITIES TRILLIUM LTD    ,                                ,01.04.2005               ,TRILLIUM (PRIME) PROPERTY GP    ,LTD                             ,PT 4TH FLOOR TELEGRAPH HOUSE       ,BAILLIE STREET                     ,ROCHDALE                        ,                                ,OL16 1JA,DWP C/O LAND SECURITIES            ,TRILLIUM RATES & UTILITIES DEPT    ,"4, CITY WALK                    ",LEEDS                           ," �14,040.25 ",28250,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,      
10274295855412,A2 SOLICITORS LLP               ,                                ,14.02.2014               ,                                ,                                ,A2 SOLICITORS AT                   ,SHOP 2 AT 1A-3A                    ,BAILLIE STREET                  ,ROCHDALE                        ,OL16 1JJ,3 BAILLIE STREET                   ,ROCHDALE                           ,LANCS                           ,                                ," �5,687.00 ",11750,Shop and Premises                                           ,      ,0,      ,0,0,      ,      ,      
10274296230200,CASHIER LTD                     ,                                ,01.09.2008               ,SHOP 1 AT 1A-3A                 ,                                ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JJ,SHOP 1 AT 1A-3A                    ,BAILLIE STREET                     ,ROCHDALE LANCASHIRE             ,                                ," �11,679.50 ",23500,SHOP AND PREMISES                                           ,      ,0,      ,0,0,      ,      ,      
10274296251624,ASHWORTH VIEW LIMITED           ,                                ,16.09.2013               ,                                ,                                ,ASHWORTH VIEW NURSERY              ,EDENFIELD ROAD                     ,ROCHDALE                        ,                                ,OL12 7TY,TOP O'TH HILL FARM                 ,MEADOWHEAD LANE                    ,NORDEN                          ,                                ," �7,139.00 ",14750,DAY NURSERY AND PREMISES                                    ,      ,0,      ,0,0,      ,      ,      
10274298382829,MOBILE BROADBAND NETWORK LTD    ,                                ,30.11.2009               ,T-MOBILE SITE REF 66067         ,                                ,ON ROOF TELEGRAPH HOUSE            ,BAILLIE STREET                     ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JA,GVA GRIMLEY BUSINESS RATES         ,PO BOX 6079                        ,WOLVERHAMPTON                   ,                                , �-   ,12250,COMMUNICATION STATION AND PREMISES                          ,      ,0,      ,0,0,      ,Y     ,Y     
10274298877573,FRENCH IMPORTS LTD              ,RETIREMENT BENEFITS SCHEME      ,14.02.2014               ,                                ,                                ,1ST FLR OFFICES 2-4 AT             ,1A-3A BAILLIE STREET               ,ROCHDALE                        ,                                ,OL16 1JJ,160-162 CHEETHAM HILL ROAD         ,MANCHESTER                         ,                                ,                                ," �3,180.80 ",6400,Offices and Premises                                        ,      ,0,      ,0,0,      ,      ,Y     
10274299187669,ROCHDALE MBC                    ,                                ,01.04.2008               ,                                ,                                ,6TH FLOOR CO-OP RETAIL SERVICES LTD,TELEGRAPH HOUSE BAILLIE STREET     ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JA,NUMBER ONE RIVERSIDE               ,ROCHDALE                           ,                                ,                                ," �20,874.00 ",42000,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,      ,Y     
10277700010082,RUMMA CONSULTING LTD            ,                                ,30.11.2010               ,                                ,                                ,2 BAILLIE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,SUITE 12                           ,PEEL HOUSE                         ,30 THE DOWNS                    ,ALTRINGHAM                      ," �19,755.75 ",39750,SHOP AND PREMISES                                           ,      ,0,      ,0,0,      ,      ,      
10277700010167,OLD HILL MARKET (HALESOWEN) LTD ,                                ,26.03.2014               ,A2 ACCIDENT SOLICITORS          ,                                ,6 BULL BROW CHAMBERS               ,BAILIIE STREET                     ,ROCHDALE                        ,LANCASHIRE                      ,OL16 1JG,333 STATION ROAD                   ,STECHFORD                          ,BIRMINGHAM                      ,                                , �-   ,0,PROPERTY BEING CONVERTED                                    ,      ,0,      ,0,0,      ,Y     ,Y     
1027770002005B     ,WILLIAM HILL ORGANISATION LTD   ,                                ,01.04.2005               ,                                ,                                ,4 BAILLIE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,GREENSIDE HOUSE                    ,50 STATION ROAD                    ,WOOD GREEN                      ,LONDON                          ," �14,040.25 ",28250,BETTING SHOP AND PREMISES                                   ,      ,0,      ,0,0,      ,      ,      
10277729225478,OLD HILL MARKET (HALES OWEN) LTD,                                ,20.07.2010               ,BST                             ,6A                              ,BAILLIE STREET                     ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,333 STATION ROAD                   ,STECHFORD                          ,BIRMINGHAM                      ,                                , �-   ,0,Property beyond economic repair                             ,      ,0,      ,0,0,      ,Y     ,Y     
1027774472562B     ,THE HOPE GROUP FAO C HESLING    ,                                ,20.10.2005               ,OFFICE 8 BULL BROW CHAMBERS     ,                                ,6 BAILLIE STREET                   ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,OFFICE 8 BULL BROW CHAMBERS        ,6 BAILLIE STREET                   ,ROCHDALE LANCASHIRE             ,                                , �-   ,0,PROPERTY BEING CONVERTED                                    ,      ,0,      ,0,0,Y     ,      ,      
10277792295064,SOCIAL NETWORK LIMITED          ,                                ,27.03.2014               ,                                ,08-Oct,1ST FLR BAILLIE STREET             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,17 RUE PAUL STRAUSS                ,PARIS                              ,FRANCE                          ,                                , �-   ,7000,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,Y     ,Y     
10277792431940,OLDHILL MARKET(HALESOWEN) LTD   ,                                ,30.11.2014               ,VACANT 2ND FLR                  ,BULL BROW CHAMBERS              ,6 BAILLIE STREET                   ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1JG,333 STATION ROAD                   ,BIRMINGHAM                         ,                                ,                                , �-   ,0,PROPERTY BEING CONVERTED                                    ,      ,0,      ,0,0,      ,Y     ,Y     
10277792786227,SOCIAL NETWORK LIMITED          ,                                ,27.03.2014               ,                                ,08-Oct,2ND FLR BAILLIE STREET             ,ROCHDALE                           ,LANCASHIRE                      ,                                ,OL16 1JG,17 RUE PAUL STRAUSS                ,PARIS                              ,FRANCE                          ,                                , �-   ,4950,OFFICES AND PREMISES                                        ,      ,0,      ,0,0,      ,Y     ,Y     
10277794765218,NOS 4 LTD                       ,C/O THE LOCAL SHOPPING          ,22.12.2012               ,                                ,                                ,BST & 1ST FLR 14 BAILLIE STREET    ,ROCHDALE                           ,LANCS                           ,                                ,OL16 1JG,C/O INTERNOS GLOBAL                ,65 GROSVENOR STREET                ,LONDON                          ,                                , �-   ,5000,School (Private) and Premises                               ,      ,0,      ,0,0,      ,Y     ,Y     
