DfE No,School,Type of establishment,Number of pupils on roll (All pupils),No. eligible for free school meals (All pupils),% eligible for free school meals (All pupils),Number of pupils on roll (Excluding nursery pupils),No. eligible for free school meals (Excluding nursery pupils),% eligible for free school meals (Excluding nursery pupils)
3014,Luddenden CE School,LA Maintained,205,32,15.6,177,31,17.5
2064,Luddendenfoot Academy,Academy,147,5,3.4,147,5,3.4
2065,Midgley School,LA Maintained,102,3,2.9,102,3,2.9
3332,Moorside Community Primary School,LA Maintained,261,114,43.7,234,104,44.4
2002,Mount Pellon Primary Academy,Academy,539,97,18,478,88,18.4
2066,New Road Primary School,LA Maintained,137,28,20.4,137,28,20.4
3010,Norland CE (VC) J & I School,LA Maintained,96,8,8.3,96,8,8.3
2015,Northowram Primary School,LA Maintained,473,15,3.2,421,14,3.3
2083,Old Earth School,Academy,464,41,8.8,416,40,9.6
2075,Old Town Primary School,LA Maintained,104,2,1.9,104,2,1.9
2017,Parkinson Lane Community Primary School,LA Maintained,563,92,16.3,495,80,16.2
2001,"Rawson J, I & N School",LA Maintained,391,94,24,348,87,25
2061,Ripponden J & I School,LA Maintained,220,17,7.7,220,17,7.7
2082,Riverside Junior School,LA Maintained,155,12,7.7,155,12,7.7
3328,Sacred Heart Catholic Primary School (Sowerby Bridge),Academy,190,34,17.9,190,34,17.9
2021,Salterhebble J & I School,LA Maintained,204,25,12.3,204,25,12.3
5200,Salterlee Academy Trust,Academy,100,3,3,100,3,3
2009,Savile Park Primary School,LA Maintained,282,36,12.8,282,36,12.8
2056,Scout Road Academy,Academy,102,4,3.9,102,4,3.9
2073,Shade Primary School,LA Maintained,227,26,11.5,193,23,11.9
2060,Shelf J & I School,LA Maintained,313,26,8.3,313,26,8.3
2094,Siddal Primary School,Academy,254,46,18.1,232,40,17.2
2095,Sowerby Village CE (VC) Primary School,LA Maintained,171,65,38,149,61,40.9
3315,St Andrew's CE (VA) Infant School (Brighouse),LA Maintained,168,24,14.3,168,24,14.3
3314,St Andrew's CE (VA) Junior School (Brighouse),LA Maintained,240,36,15,240,36,15
3303,St Augustine's CE (VA) J & I School (Halifax),LA Maintained,179,31,17.3,179,31,17.3
5206,St Chad's CE (VA) Primary School,LA Maintained,210,11,5.2,210,11,5.2
5203,"St John's (CE) Primary Academy, Clifton",Academy,208,7,3.4,208,7,3.4
3322,St John's CE Primary School (Rishworth),Academy,138,2,1.4,138,2,1.4
3329,St Joseph's Catholic Primary School (Brighouse),LA Maintained,227,17,7.5,202,17,8.4
3305,St Joseph's Catholic Primary School (Halifax),LA Maintained,187,22,11.8,187,22,11.8
3330,St Joseph's RC Primary School (Todmorden),LA Maintained,138,30,21.7,108,22,20.4
3306,St Malachy's Catholic Primary School,Academy,200,44,22,178,43,24.2
3308,St Mary's Catholic Primary School (Halifax),LA Maintained,292,37,12.7,292,37,12.7
3011,St Mary's CE (VC) J & I School (Sowerby Bridge),LA Maintained,104,0,0,104,0,0
5202,St Michael & All Angels CE Primary School,LA Maintained,201,12,6,201,12,6
3327,St Patrick's Catholic Primary School (Elland),LA Maintained,133,21,15.8,115,21,18.3
2057,Stubbings Infant School,LA Maintained,87,4,4.6,70,4,5.7
2049,The Greetland Academy,Academy,417,20,4.8,417,20,4.8
4035,The Halifax Academy,Academy,120,20,16.7,120,20,16.7
3326,"Todmorden CE (VA) J, I & N School",LA Maintained,235,35,14.9,198,29,14.6
3013,Triangle CE (VC) Primary School,LA Maintained,189,12,6.3,189,12,6.3
2067,Tuel Lane Infant School,LA Maintained,150,27,18,114,27,23.7
2027,Wainstalls School,Academy,171,14,8.2,171,14,8.2
5208,Walsden St Peter's CE (VC) Primary School,LA Maintained,173,13,7.5,173,13,7.5
2028,Warley Road Primary School,LA Maintained,637,91,14.3,568,91,16
2030,Warley Town School,LA Maintained,138,7,5.1,138,7,5.1
5205,West Vale Primary School,LA Maintained,173,26,15,173,26,15
2031,Whitehill Community Academy,Academy,665,82,12.3,600,77,12.8
2046,Withinfields Primary School,LA Maintained,377,49,13,335,44,13.1
7008,Wood Bank School,LA Maintained,69,20,29,62,19,30.6
2081,Woodhouse Primary School,LA Maintained,418,3,0.7,418,3,0.7
,Calderdale (Incl special schools),,"20,693","2,984",14.4,"19,253","2,841",14.8
,Calderdale (Excl special schools),,"20,553","2,946",14.3,"19,125","2,805",14.7
