Organisation Name,Dept,Service Cat Label,Service Cat Label Description,Expenditure CIPFA Sub Group Label,Supplier,Date,Transaction No.,Net Amount,Grant to VCSE?,Card Transaction
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,DEWHURST DECORATING SUPPLIES, 20/11/2014,REG0256900,£333.68,No, 
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,J DRIVER LTD, 13/11/2014,EST0257030,"£1,660.74",No, 
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,J DRIVER LTD, 13/11/2014,EST0257030,£221.21,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,B DEVLIN LTD, 20/11/2014,HED0257097,"£1,461.94",No, 
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,4201,ENGINEERING & FOUNDRY SUPPLIES, 06/11/2014,OPS0256803,£244.18,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Stock : Purchases,PJ01,ENGINEERING & FOUNDRY SUPPLIES, 27/11/2014,OPS0257284,£735.84,No, 
Pendle Borough Council,Property Services,Supplies and Services,Other Expenses,4705,FIRST SIGNS LIMITED, 13/11/2014,EST0256986,£49.00,No, 
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,FIRST SIGNS LIMITED, 13/11/2014,EST0256986,£10.00,No, 
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,3105,FREIGHT TRANSPORT ASSOCIATION, 13/11/2014,OPS0256895,£29.50,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Subscriptions & Donations,4706,FOULRIDGE CANAL CRUISES LTD, 13/11/2014,DAL0256912,£400.00,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,GIBSONS GARDEN MACHINERY LTD, 20/11/2014,PCO0257079,£86.51,No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Protective Clothing,4201,GREENHAM TRADING LTD, 13/11/2014,HED0256919,£16.99,No, 
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,4705,GREENHAM TRADING LTD, 13/11/2014,ENV0256936,£40.62,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Mayoral Expenses,4614,GOING DUTCH FLORIST, 13/11/2014,DAL0256923,£12.50,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,JEWSON LIMITED, 20/11/2014,REG0256902,£91.90,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Court Fees,4403,HM COURTS & TRIBUNALS SERVICE, 13/11/2014,DAL0256981,£100.00,No, 
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,CIPFA BUSINESS LIMITED, 13/11/2014,AAS0256928,£290.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,LANLEE SUPPLIES LIMITED, 13/11/2014,PCO0256841,£11.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANLEE SUPPLIES LIMITED, 06/11/2014,PCO0256733,£709.76,No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,EFM Materials,4004,LANLEE SUPPLIES LIMITED, 20/11/2014,PCO0257058,£403.47,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,LANLEE SUPPLIES LIMITED, 20/11/2014,REG0256742,£395.78,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LBS WORLDWIDE LIMITED, 20/11/2014,PCO0257056,£28.97,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Miscellaneous : Other,4707,LBS WORLDWIDE LIMITED, 20/11/2014,REG0256745,£271.84,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,DICK LEIGH, 27/11/2014,PCO0257238,£504.14,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Lubricants,3203,DICK LEIGH, 20/11/2014,PCO0257063,£15.20,No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Protective Clothing,4201,DICK LEIGH, 27/11/2014,PCO0257244,£138.49,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANCASHIRE COUNTY COUNCIL, 20/11/2014,HED0257195,£295.75,No, 
Pendle Borough Council,Operational Services,Premises Related Expense,Trade Refuse Charges,2602,LANCASHIRE COUNTY COUNCIL, 27/11/2014,OPS0257346,"£55,949.76",No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,LANCASHIRE COUNTY COUNCIL, 20/11/2014,HED0257199,"£3,480.75",No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Public Realm,CD20,LANCASHIRE COUNTY COUNCIL, 27/11/2014,HED0257340,£626.06,No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,LANCASHIRE COUNTY COUNCIL, 13/11/2014,HMR0256882,"£10,890.97",No, 
Pendle Borough Council,Human Resources,Indirect Employee Expenses,Training,1211,LEEDS BECKETT, 13/11/2014,PER0256946,"£3,494.40",No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,R & K LATHAM & SON, 27/11/2014,HED0257339,£325.00,No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Grants/Contributions,4739,MONK OF COLNE LTD, 13/11/2014,HED0256873,"£59,960.04",No, 
Pendle Borough Council,Operational Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,JOHN MACADAM & SON (GARAGES) LTD, 13/11/2014,OPS0256963,£520.00,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,NELSON & COLNE COLLEGE, 20/11/2014,REG0257203,£650.00,No, 
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,UNITED UTILITIES, 13/11/2014,EST0256998,£531.21,No, 
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,F NUTTER & SONS, 13/11/2014,EST0257031,£392.59,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,OPTION HYGIENE LIMITED, 20/11/2014,PCO0257055,£53.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Cleaning Materials,2605,OPTION HYGIENE LIMITED, 06/11/2014,PCO0256740,£4.52,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Stock : Purchases,PJ01,OPTION HYGIENE LIMITED, 06/11/2014,OPS0256753,"£3,918.00",No, 
Pendle Borough Council,Operational Services,Supplies and Services,Printing & Stationery,4301,OUTLINE PRINT SERVICE LTD, 06/11/2014,OPS0256802,£279.00,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,PENDLE SIGNS & PLASTICS LTD, 20/11/2014,HED0257100,"£1,369.28",No, 
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Printing & Stationery,4301,PRINTOFF GRAPHIC ARTS LTD, 06/11/2014,COR0256746,"£1,278.00",No, 
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,4705,PRINTOFF GRAPHIC ARTS LTD, 20/11/2014,OPS0257124,"£1,737.00",No, 
Pendle Borough Council,Property Services,Supplies and Services,Subscriptions & Donations,4706,PHONOGRAPHIC PERFORMANCE LTD, 20/11/2014,EST0257151,£559.72,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,PARKDALE PLAY & LEISURE LTD, 13/11/2014,PCO0256854,£590.00,No, 
Pendle Borough Council,Planning & Building Control,Capital Costs,Capital : Payments,CD14,HERITAGE TRUST FOR THE NORTH WEST, 13/11/2014,PBC0256908,"£140,655.46",Yes, 
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,PENDLE PERSONNEL LTD, 20/11/2014,OPS0257141,"£1,769.74",No, 
Pendle Borough Council,Parks & Recreation Services,Agency Staff,Emp : Salaries & Wages,1020,PENDLE PERSONNEL LTD, 13/11/2014,PCO0256861,"£1,865.85",No, 
Pendle Borough Council,Planning & Building Control,Supplies and Services,Postages,4501,ROYAL MAIL GROUP LIMITED, 13/11/2014,PBC0256837,"£1,202.13",No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,A  ROLLINSON & SON (BUILDERS) LTD, 13/11/2014,HMR0256880,"£3,515.00",No, 
Pendle Borough Council,Operational Services,Supplies and Services,Telephones : Direct,4502,REMGUARD LTD, 06/11/2014,OPS0256764,£140.00,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,ROSSENDALE PET CREMATORIUM, 13/11/2014,OPS0256894,£55.80,No, 
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,STANLEY BROTHERS (TIPPERS) LTD, 13/11/2014,OPS0256899,"£2,300.00",No, 
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,STANLEY BROTHERS (TIPPERS) LTD, 27/11/2014,OPS0257288,"£1,590.00",No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BRENT STEVENSON MEMORIALS, 27/11/2014,PCO0257242,£625.00,No, 
Pendle Borough Council,Chief Executives Policy Unit,Supplies and Services,Other Expenses,4705,SOCITM LIMITED, 20/11/2014,COR0257171,£990.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ROBERTSON MEMORIALS, 13/11/2014,PCO0256850,"£1,438.91",No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,2102,ROBERTSON MEMORIALS, 13/11/2014,PCO0256851,£200.00,No, 
Pendle Borough Council,Financial Services,Support Services,Bank Charges,7201,G4S CASH SOLUTIONS (UK) LIMITED, 20/11/2014,AAS0257217,£249.27,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,T & F STEEL DESIGNS LTD, 13/11/2014,HED0256922,£168.00,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,T & F STEEL DESIGNS LTD, 13/11/2014,PCO0256840,£45.00,No, 
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,4705,JOHNSONS TEXICARE LTD, 06/11/2014,ENV0256801,£71.60,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,TRAVIS PERKINS TRADING CO LTD, 20/11/2014,PCO0257071,£110.37,No, 
Pendle Borough Council,Planning & Building Control,Supplies and Services,Other Expenses,4705,TRISTAR PRINTERS LTD, 20/11/2014,PBC0257149,£409.00,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,YORKSHIRE WATER, 20/11/2014,HED0257179,£51.12,No, 
Pendle Borough Council,Property Services,Premises Related Expense,Water & Sewerage,2501,YORKSHIRE WATER, 27/11/2014,EST0257310,"£1,238.46",No, 
Pendle Borough Council,Operational Services,Agency Staff,Emp : Agency Wages,1004,DRIVER HIRE, 13/11/2014,OPS0256888,£911.26,No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,Other Expenses,4705,ELLISON PRINTING, 06/11/2014,HED0256792,"£2,515.00",No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : Vandalism Repairs,2102,WICKSTEED LEISURE LTD, 27/11/2014,PCO0257237,£756.25,No, 
Pendle Borough Council,Financial Services,Supplies and Services,Printing & Stationery,4301,CHILD POVERTY ACTION GROUP, 06/11/2014,AAS0256831,£49.99,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,ST PAULS C E  PRIMARY SCHOOL, 27/11/2014,HED0257271,£100.00,No, 
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,FAST GLASS LIMITED, 20/11/2014,EST0257140,£712.99,No, 
Pendle Borough Council,Property Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,MASTERCLEAN 96 LIMITED, 13/11/2014,EST0257000,£30.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Window Cleaning,2604,MASTERCLEAN 96 LIMITED, 06/11/2014,PCO0256689,£20.00,No, 
Pendle Borough Council,Property Services,Capital Costs,Capital : Payments,CD14,MASTERCLEAN 96 LIMITED, 13/11/2014,EST0257028,£200.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BARCHAM TREES PLC, 20/11/2014,PCO0257064,£148.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,BARCHAM TREES PLC, 20/11/2014,PCO0257060,"£1,887.65",No, 
Pendle Borough Council,Property Services,Indirect Employee Expenses,Staff Refreshments,1261,VENDA VALET (MACHINES) LTD, 06/11/2014,EST0256782,£216.66,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,RAILSIDE TRADING CO., 20/11/2014,HED0257191,£125.10,No, 
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,CIPFA AUDIT GROUP, 06/11/2014,AAS0256832,£120.00,No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Photocopiers,4001,AZZURRI COMMUNICATIONS LIMITED, 13/11/2014,HED0256943,£206.04,No, 
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,EFM : Other Equipment,4003,AZZURRI COMMUNICATIONS LIMITED, 13/11/2014,HED0256866,£4.61,No, 
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,Printing & Stationery,4301,AZZURRI COMMUNICATIONS LIMITED, 13/11/2014,PCO0256860,£232.19,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Protective Clothing,4201,PENDLE LEISURE LTD, 20/11/2014,OPS0257120,£80.00,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Other Expenses,4705,PENDLE LEISURE LTD, 13/11/2014,REG0257022,"£29,501.50",No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Subscriptions & Donations,4706,PENDLE LEISURE LTD, 20/11/2014,DAL0257143,£54.17,No, 
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,PENDLE LEISURE LTD, 13/11/2014,REG0257015,£227.91,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BROWNS ENGINEERING SERVICES, 13/11/2014,PCO0256858,£635.00,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,LANDSCAPE ENGINEERING LTD, 13/11/2014,PCO0256863,£980.00,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,LANDSCAPE ENGINEERING LTD, 13/11/2014,HED0256964,£941.98,No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Ren Grant : 1996 Act,CH22,SPAIN BUILDING & MAINTENANCE, 27/11/2014,HMR0257306,"£3,028.92",No, 
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,ORCHARD RECYCLING SERVICE, 06/11/2014,OPS0256757,"£5,197.50",No, 
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,4705,ORCHARD RECYCLING SERVICE, 06/11/2014,OPS0256757,£60.00,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,2001,NORTHERN POWERGRID (YORKSHIRE) PLC, 13/11/2014,HED0256962,£736.00,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,WALTON SUMMIT TRUCK  CENTRE LTD, 20/11/2014,PCO0257054,£248.47,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Other Expenses,4705,ASPEN VALLEY KENNELS & CATTERY, 13/11/2014,OPS0256958,"£1,683.50",No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,E.ON, 13/11/2014,HED0257001,£179.41,No, 
Pendle Borough Council,Financial Services,Premises Related Expense,Gas,2202,E.ON, 20/11/2014,AAS0257221,£12.09,No, 
Pendle Borough Council,Democratic & Legal Services,Premises Related Expense,Rents,2301,E.ON, 20/11/2014,DAL0257049,£24.57,No, 
Pendle Borough Council,Financial Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,ALD AUTOMOTIVES, 24/11/2014,AAS0257365,£414.49,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,RIPON FARM SERVICES, 20/11/2014,PCO0257073,£118.86,No, 
Pendle Borough Council,Environmental Health Services,Supplies and Services,Other Expenses,4705,GRADKO INTERNATIONAL LTD, 27/11/2014,ENV0257324,£207.25,No, 
Pendle Borough Council,Financial Services,Capital Financing Costs,Lease Costs : Transport/Plant,8202,SANTANDER ASSET FINANCE PLC, 27/11/2014,AAS0257336,"£49,692.03",No, 
Pendle Borough Council,Property Services,Supplies and Services,Telephones : Direct,4502,BRITISH TELECOMMUNICATIONS PLC, 13/11/2014,EST0256983,£72.24,No, 
Pendle Borough Council,Financial Services,Supplies and Services,Telephones : Central,4503,BRITISH TELECOMMUNICATIONS PLC, 27/11/2014,AAS0257348,£368.86,No, 
Pendle Borough Council,Financial Services,Supplies and Services,EFM : Photocopiers,4001,CANON (UK) LIMITED, 27/11/2014,AAS0257329,£365.95,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Printing & Stationery,4301,CANON (UK) LIMITED, 13/11/2014,DAL0256976,£424.52,No, 
Pendle Borough Council,Directorate,Indirect Employee Expenses,Emp : Practising Certificates,1201,SOLACE, 13/11/2014,MAN0256906,£77.00,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Seminars etc All Costs,4601,THE ASSOCIATION OF ELECTORAL ADMINISTRATORS, 20/11/2014,DAL0257051,£785.00,No, 
Pendle Borough Council,Housing Regeneration Services,Transfer Payments,Accommodation ,6103,OLD HALL FARM (UK) LTD, 13/11/2014,HMR0256886,"£2,687.50",No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Miscellaneous : Other,4707,ELECTORAL REFORM SERVICES, 13/11/2014,DAL0256915,"£1,114.43",No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,ANDIDRAIN LIMITED, 20/11/2014,HED0257181,"£1,700.00",No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,MARSDEN COMMUNITY PRIMARY SCHOOL, 27/11/2014,HED0257268,£100.00,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Consultants Fees,4401,BRIAN FARRINGTON LTD, 13/11/2014,DAL0256979,"£1,250.00",No, 
Pendle Borough Council,Planning & Building Control,Supplies and Services,Other Expenses,4705,NATHANIEL LICHFIELD & PARTNERS, 20/11/2014,PBC0257152,"£6,912.50",No, 
Pendle Borough Council,Housing Regeneration Services,Capital Costs,Capital : Payments,CD14,MORGOED ESTATES LIMITED, 13/11/2014,HMR0256878,£81.54,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,M J RUSHTON, 20/11/2014,PCO0257084,£220.00,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Sub-Contractors,4007,S M SHEPHERD BUILDING CONTRACTORS, 20/11/2014,OPS0257145,£145.00,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Paid in the Year,PD03,S M SHEPHERD BUILDING CONTRACTORS, 13/11/2014,OPS0256907,£200.00,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Received,PD04,S M SHEPHERD BUILDING CONTRACTORS, 13/11/2014,OPS0256907,£160.00,No, 
Pendle Borough Council,Property Services,Premises Related Expense,Electricity,2203,E.ON UK PLC, 13/11/2014,EST0256989,£203.24,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,MAGMA SAFETY PRODUCTS LTD, 20/11/2014,HED0257193,£131.80,No, 
Pendle Borough Council,Operational Services,Supplies and Services,Seminars etc All Costs,4601,BURNLEY BOROUGH COUNCIL, 13/11/2014,OPS0256918,£225.00,No, 
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Repairs : General,3105,GO PLANT LIMITED, 27/11/2014,OPS0257344,"£7,180.73",No, 
Pendle Borough Council,Operational Services,Transport Related Expense,Tyres,3204,GO PLANT LIMITED, 27/11/2014,OPS0257344,"£1,186.96",No, 
Pendle Borough Council,Operational Services,Transport Related Expense,Tprt : Annual Hire Charge,3601,GO PLANT LIMITED, 27/11/2014,OPS0257344,"£66,105.80",No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Meeting Expenses,4610,MOUNT ZION BAPTIST CHURCH, 06/11/2014,DAL0256820,£30.00,No, 
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,Tprt : Repairs : General,3105,BOWCOM, 20/11/2014,PCO0257075,£278.98,No, 
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,Grounds : R & M : Day to Day : Routine,2101,SUTCLIFFE PLAY LTD, 20/11/2014,PCO0257070,£52.80,No, 
Pendle Borough Council,Financial Services,Indirect Employee Expenses,Training,1211,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257039,£86.00,No,GPC
Pendle Borough Council,Financial Services,Supplies and Services,EFM : Office and computer equipment,4002,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257042,£119.63,No,GPC
Pendle Borough Council,Financial Services,Supplies and Services,EFM : Other Equipment,4003,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257039,£187.80,No,GPC
Pendle Borough Council,Financial Services,Supplies and Services,EFM Materials,4004,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257042,£38.61,No,GPC
Pendle Borough Council,Financial Services,Supplies and Services,Protective Clothing,4201,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257265,£198.40,No,GPC
Pendle Borough Council,Financial Services,Supplies and Services,Uniforms,4202,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257039,£173.33,No,GPC
Pendle Borough Council,Financial Services,Supplies and Services,Printing & Stationery,4301,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257040,£12.45,No,GPC
Pendle Borough Council,Financial Services,Supplies and Services,Court Fees,4403,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257039,£280.00,No,GPC
Pendle Borough Council,Financial Services,Supplies and Services,Computer Charges,4509,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257039,£448.78,No,GPC
Pendle Borough Council,Financial Services,Supplies and Services,Seminars etc All Costs,4601,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257265,£396.35,No,GPC
Pendle Borough Council,Financial Services,Supplies and Services,Other Expenses,4705,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257042,£334.76,No,GPC
Pendle Borough Council,Financial Services,Transfer Payments,Accommodation ,6103,BARCLAYCARD COMMERCIAL, 24/11/2014,AAS0257042,£84.18,No,GPC
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,Grants/Contributions,4739,JOHN A RAYSON, 06/11/2014,REG0256829,£221.00,No, 
Pendle Borough Council,Engineering & Special Projects,Capital Costs,Capital : Payments,CD14,BOWLAND ECOLOGY LIMITED, 06/11/2014,HED0256825,£295.00,No, 
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,Subscriptions & Donations,4706,B & J TRAVEL LTD, 13/11/2014,DAL0256920,£275.00,No, 
Pendle Borough Council,Engineering & Special Projects,Premises Related Expense,Bldgs : R & M : Day To Day,2001,BUS SHELTERS LTD, 06/11/2014,HED0256828,"£1,250.00",No, 
