Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total 
Department of Health,The Christie NHS Foundation Trust,15/06/2017,PET Scans - Apr 17,Christie Medical Physics,ALLIANCE MEDICAL RADIOPHARMACY LIMITED,554311,"34,002.66"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,553851,"356,011.49"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,553856,"31,737.22"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,553920,"31,915.21"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,553922,"49,830.00"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,PET Scans - Apr 17,Christie Medical Physics,CENTRAL MCR  UNIV HOSP NHS FOUNDATION TR,553928,"85,792.00"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,CRC Allowances 17-18,Estates & Facilities,DEPARTMENT OF ENERGY AND CLIMATE CHANGE,555070,"122,840.00"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Site Development,Capital,INTERSERVE CONSTRUCTION LTD,552284,"72,739.72"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Site Development,Capital,INTERSERVE CONSTRUCTION LTD,553403,"43,497.52"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Blood Products,Cancer Networked Services,NHS BLOOD AND TRANSPLANT,556229,"178,854.08"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,NHS Litigation (NHSLA),Finance & Business Development,NHS LITIGATION AUTHORITY,556231,"73,421.70"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,TCP Project,Programme Management Offic,NHS OLDHAM CCG,554240,"28,426.00"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,554369,"26,820.53"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,554937,"45,117.33"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,555215,"45,164.47"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Energy Contract - Apr-17,Estates & Facilities,VEOLIA ENERGY &UTILITY SERVICES UK PLC,550953,"299,259.62"
Department of Health,The Christie NHS Foundation Trust,15/06/2017,Energy Contract - May-17,Estates & Facilities,VEOLIA ENERGY &UTILITY SERVICES UK PLC,552714,"210,793.03"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,PET Scans - Feb 17,Christie Medical Physics,ALLIANCE MEDICAL RADIOPHARMACY LIMITED,555409,"37,947.72"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,553449,"432,952.36"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,553635,"428,612.38"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,553858,"384,548.33"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,Drugs,Drugs,EAST CHESHIRE NHS TRUST,554144,"122,200.92"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,Medical Equipment,Capital,GE MEDICAL SYSTEMS LTD,555214,"29,913.63"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,555495,"41,640.79"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,Medical Equipment,Capital,TOSHIBA MEDICAL SYSTEMS,554108,"365,232.00"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,Anaesthetics SLA - May 17,Cancer Centre Services,UNI HOSP OF SOUTH MANCHESTER NHS FT,554704,"27,148.17"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,Anaesthetics SLA - Apr 17,Cancer Centre Services,UNI HOSP OF SOUTH MANCHESTER NHS FT,554705,"27,178.17"
Department of Health,The Christie NHS Foundation Trust,22/06/2017,Critical Care SLA - May 17,Cancer Centre Services,UNI HOSP OF SOUTH MANCHESTER NHS FT,554896,"29,638.25"
Department of Health,The Christie NHS Foundation Trust,23/06/2017,Drugs,Drugs,ALCURA UK LIMITED,554887,"66,276.62"
Department of Health,The Christie NHS Foundation Trust,23/06/2017,Drugs,Drugs,ALCURA UK LIMITED,554890,"-95,182.38"
Department of Health,The Christie NHS Foundation Trust,23/06/2017,Drugs,Drugs,ALCURA UK LIMITED,555857,"99,581.09"
Department of Health,The Christie NHS Foundation Trust,23/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,555167,"417,783.30"
Department of Health,The Christie NHS Foundation Trust,23/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,555168,"393,755.59"
Department of Health,The Christie NHS Foundation Trust,23/06/2017,Drugs,Drugs,HEALTHCARE AT HOME LTD,555171,"26,446.32"
Department of Health,The Christie NHS Foundation Trust,23/06/2017,IPU Development,Capital,INTERSERVE CONSTRUCTION LTD,554918,"535,027.98"
Department of Health,The Christie NHS Foundation Trust,23/06/2017,Proton Beam Development (PBT),Capital,INTERSERVE CONSTRUCTION LTD,555771,"3,076,442.89"
Department of Health,The Christie NHS Foundation Trust,23/06/2017,Patient Testing Service ,Cancer Networked Services,THE ANTHONY NOLAN BONE MARROW,552800,"36,003.14"
Department of Health,The Christie NHS Foundation Trust,29/06/2017,Drugs,Drugs,ALCURA UK LIMITED,554886,"2,680,728.56"
Department of Health,The Christie NHS Foundation Trust,29/06/2017,Drugs,Drugs,BAXTER HEALTHCARE LTD,555172,"351,663.56"
Department of Health,The Christie NHS Foundation Trust,29/06/2017,Medical Equipment Maintenance Contract,Cancer Centre Services,CPP FACILITIES LLP,554522,"207,428.12"
Department of Health,The Christie NHS Foundation Trust,29/06/2017,IPU Development,Capital,INTERSERVE CONSTRUCTION LTD,555901,"694,106.65"
Department of Health,The Christie NHS Foundation Trust,29/06/2017,Stock for all Wards & Departments,All Wards and Departments,NHS SUPPLY CHAIN,556116,"38,835.23"
Department of Health,The Christie NHS Foundation Trust,29/06/2017,Patient Testing Service ,Cancer Networked Services,THE ANTHONY NOLAN BONE MARROW,555985,"35,319.23"
Department of Health,The Christie NHS Foundation Trust,29/06/2017,Research Project,Research & Development,UNIVERSITY OF MANCHESTER,554542,"68,624.00"
