account_id,account_holder             ,postcode,property_reference,property_description                     ,liable_from,current_rateable_value,Location
71185512,GO OUTDOORS LTD                 ,OX1 4TQ ,11002042601,CAMPING SITE AND PREMISES                                   ,01/06/2006,34725,"R/O 426 ABINGDON ROAD OXFORD OX1 4TQ
(51.733842, -1.250284)"
70906071,JCDECAUX LTD                    ,OX1 4TQ ,11002043201,ADVERTISING RIGHT AND PREMISES                              ,04/01/1997,1050,"ADVERTISING RIGHT ADJ 432 ABINGDON ROAD OXFORD OX1 4TQ
(51.733842, -1.250284)"
70906071,JCDECAUX LTD                    ,OX1 4TQ ,11002043201,ADVERTISING RIGHT AND PREMISES                              ,04/01/1997,1050,"ADVERTISING RIGHT ADJ 432 ABINGDON ROAD OXFORD OX1 4TQ
(51.733842, -1.250284)"
71188673,VODAFONE LTD                    ,OX1 4PP ,11002055576,COMMUNICATION STATION AND PREMISES                          ,04/01/2010,4400,"VODAFONE (55576) QUEENS COLLEGE SPORTSGROUND ABINGDON ROAD OXFORD OX1 4PP
(51.74332, -1.253256)"
71188673,VODAFONE LTD                    ,OX1 4PP ,11002055576,Communication Station and Premises                          ,04/01/2010,4400,"VODAFONE (55576) QUEENS COLLEGE SPORTSGROUND ABINGDON ROAD OXFORD OX1 4PP
(51.74332, -1.253256)"
71191639,HOGREFE LTD                     ,OX1 1QZ ,11005200000,OFFICES AND PREMISES                                        ,,94000,"HOGREFE HOUSE ALBION PLACE OXFORD OX1 1QZ
(51.749103, -1.259244)"
71191639,HOGREFE LTD                     ,OX1 1QZ ,11005200000,Offices and Premises                                        ,,94000,"HOGREFE HOUSE ALBION PLACE OXFORD OX1 1QZ
(51.749103, -1.259244)"
71192732,WESTGATE OXFORD ALLIANCE LIMITED,OX1 1SL ,11005200107,OFFICES AND PREMISES                                        ,10/01/2015,39500,"1ST FLR ALBION HOUSE ALBION PLACE OXFORD OX1 1SL
(51.747274, -1.257203)"
71192732,WESTGATE OXFORD ALLIANCE LIMITED,OX1 1SL ,11005200107,Offices and Premises                                        ,10/01/2015,39500,"1ST FLR ALBION HOUSE ALBION PLACE OXFORD OX1 1SL
(51.747274, -1.257203)"
71192716,RIDGEWAY GARAGES (NEWBURY) LTD  ,OX4 2HW ,11007300001,CAR SHOWROOM AND PREMISES                                   ,,510000,"OXFORD AUDI CENTRE ALEC ISSIGONIS WAY OXFORD BUSINESS PARK NORTH OXFORD OX4 2HW
(51.73359, -1.20508)"
71192716,RIDGEWAY GARAGES (NEWBURY) LTD  ,OX4 2HW ,11007300001,Car Showroom and Premises                                   ,,510000,"OXFORD AUDI CENTRE ALEC ISSIGONIS WAY OXFORD BUSINESS PARK NORTH OXFORD OX4 2HW
(51.73359, -1.20508)"
71192871,MC NOMINEES LTD                 ,OX4 6TU ,1101780010D        ,WAREHOUSE AND PREMISES                                      ,04/01/2017,53000,"UNIT 5 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71192645,OXFORD FERTILITY LTD            ,OX4 2HW ,11007308002,OFFICES AND PREMISES                                        ,04/01/2010,216000,"GND FLR LHS &amp; 1ST FLR 8000 ALEC ISSIGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OX4 2HW
(51.73359, -1.20508)"
71192645,OXFORD FERTILITY LTD            ,OX4 2HW ,11007308002,Offices and Premises                                        ,04/01/2010,216000,"GND FLR LHS &amp; 1ST FLR 8000 ALEC ISSIGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OX4 2HW
(51.73359, -1.20508)"
71188121,PUBLISHING TECHNOLOGY PLC       ,OX4 2HU ,1100730810B        ,OFFICES AND PREMISES                                        ,,123000,"1ST FLR 8100 ALEX ISSIGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OX4 2HU
(51.733614, -1.204558)"
71188121,PUBLISHING TECHNOLOGY PLC       ,OX4 2HU ,1100730810B        ,Offices and Premises                                        ,,123000,"1ST FLR 8100 ALEX ISSIGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OX4 2HU
(51.733614, -1.204558)"
71192812,OEE CONSULTING LTD              ,OX4 2HW ,1100730810C        ,OFFICES AND PREMISES                                        ,,54500,"GND FLR SOUTH 8100 ALEC ISSISGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OX4 2HW
(51.73359, -1.20508)"
71192812,OEE CONSULTING LTD              ,OX4 2HW ,1100730810C        ,Offices and Premises                                        ,,54500,"GND FLR SOUTH 8100 ALEC ISSISGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OX4 2HW
(51.73359, -1.20508)"
71192813,JOHN WILEY & SONS LTD           ,OX4 2HW ,1100730810D        ,OFFICES AND PREMISES                                        ,,59500,"GND FLR NORTH 8100 ALEC ISSIGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OX4 2HW
(51.73359, -1.20508)"
71192813,JOHN WILEY & SONS LTD           ,OX4 2HW ,1100730810D        ,Offices and Premises                                        ,,59500,"GND FLR NORTH 8100 ALEC ISSIGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OX4 2HW
(51.73359, -1.20508)"
71184167,DAVID LLOYD LEISURE LTD         ,OX4 2JZ ,11007309000,LEISURE CENTRE AND PREMISES                                 ,04/01/2004,400000,"ALEX ISSIGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OXFORD OX4 2JZ
(51.734353, -1.207543)"
71184167,DAVID LLOYD LEISURE LTD         ,OX4 2JZ ,11007309000,HEALTH AND FITNESS CENTRE AND PREMISES                      ,04/01/2004,400000,"ALEX ISSIGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OXFORD OX4 2JZ
(51.734353, -1.207543)"
71185742,ELECTROCOMPONENTS PLC           ,OX4 2HW ,11007380500,OFFICES AND PREMISES                                        ,,208000,"8050 ALEX ISSIGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OXFORD OX4 2HW
(51.73359, -1.20508)"
71185742,ELECTROCOMPONENTS PLC           ,OX4 2HW ,11007380500,OFFICES AND PREMISES                                        ,,208000,"8050 ALEX ISSIGONIS WAY OXFORD BUSINESS PARK NORTH COWLEY OXFORD OX4 2HW
(51.73359, -1.20508)"
71193077,BLUE BOAR COURT LTD             ,OX1 4EH ,11007700000,OFFICES AND PREMISES                                        ,,45750,"GND FLR BLUE BOAR COURT ALFRED STREET OXFORD OX1 4EH
(51.751824, -1.255868)"
71193077,BLUE BOAR COURT LTD             ,OX1 4EH ,11007700000,OFFICES AND PREMISES                                        ,,45750,"GND FLR BLUE BOAR COURT ALFRED STREET OXFORD OX1 4EH
(51.751824, -1.255868)"
71190321,SEMMLE LTD                      ,OX1 4EH ,11007700008,OFFICES AND PREMISES                                        ,12/07/2012,52000,"3RD FLR BLUE BOAR COURT ALFRED STREET OXFORD OX1 4EH
(51.751824, -1.255868)"
71190321,SEMMLE LTD                      ,OX1 4EH ,11007700008,OFFICES AND PREMISES                                        ,12/07/2012,52000,"3RD FLR BLUE BOAR COURT ALFRED STREET OXFORD OX1 4EH
(51.751824, -1.255868)"
71189344,TOUCHLOAD LTD                   ,OX1 4EH ,1100770030A        ,OFFICES AND PREMISES                                        ,07/01/2011,28000,"1ST- 3RD FLRS 3 ALFRED STREET OXFORD OX1 4EH
(51.751824, -1.255868)"
71186708,FULLER SMITH & TURNER PLC       ,OX1 4EH ,11007700600,PUBLIC HOUSE AND PREMISES                                   ,,77000,"BEAR INN 6 ALFRED STREET OXFORD OX1 4EH
(51.751824, -1.255868)"
71191964,SEMMLE LTD                      ,OX1 4EH ,11007710007,OFFICES AND PREMISES                                        ,10/09/2014,44250,"1ST FLOOR BLUE BOAR COURT ALFRED STREET OXFORD OX1 4EH
(51.751824, -1.255868)"
71191964,SEMMLE LTD                      ,OX1 4EH ,11007710007,OFFICES AND PREMISES                                        ,10/09/2014,44250,"1ST FLOOR BLUE BOAR COURT ALFRED STREET OXFORD OX1 4EH
(51.751824, -1.255868)"
71191965,SEMMLE LTD                      ,OX1 4EH ,11007720007,OFFICES AND PREMISES                                        ,10/09/2014,46000,"2ND FLR BLUE BOAR COURT ALFRED STREET OXFORD OX1 4EH
(51.751824, -1.255868)"
71191965,SEMMLE LTD                      ,OX1 4EH ,11007720007,OFFICES AND PREMISES                                        ,10/09/2014,46000,"2ND FLR BLUE BOAR COURT ALFRED STREET OXFORD OX1 4EH
(51.751824, -1.255868)"
71192233,BUSY BEES NURSERIES LIMITED     ,OX4 4XT ,11014400200,DAY NURSERY AND PREMISES                                    ,05/06/2015,81000,"2 ARMSTRONG ROAD LITTLEMORE OXFORD OX4 4XT
(51.716912, -1.22668)"
71192233,BUSY BEES NURSERIES LIMITED     ,OX4 4XT ,11014400200,DAY NURSERY AND PREMISES                                    ,05/06/2015,81000,"2 ARMSTRONG ROAD LITTLEMORE OXFORD OX4 4XT
(51.716912, -1.22668)"
71122801,I S OXFORD LTD                  ,OX4 4SX ,11014400300,OFFICES AND PREMISES                                        ,10/08/1999,60000,"THE CHAPEL 3 ARMSTRONG ROAD LITTLEMORE OXFORD OX4 4SX
(51.71715, -1.224606)"
71122801,I S OXFORD LTD                  ,OX4 4SX ,11014400300,OFFICES AND PREMISES                                        ,10/08/1999,60000,"THE CHAPEL 3 ARMSTRONG ROAD LITTLEMORE OXFORD OX4 4SX
(51.71715, -1.224606)"
71190622,ANNIE SLOAN INTERIORS LTD       ,OX4 6TU ,11017800007,WAREHOUSE AND PREMISES                                      ,05/07/2013,25750,"UNIT 7 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71190622,ANNIE SLOAN INTERIORS LTD       ,OX4 6TU ,11017800007,Warehouse and Premises                                      ,05/07/2013,25750,"UNIT 7 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71191099,ANNIE SLOAN INTERIORS LTD       ,OX4 6TU ,1101780001A        ,WAREHOUSE AND PREMISES                                      ,,223000,"UNIT 1 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71191099,ANNIE SLOAN INTERIORS LTD       ,OX4 6TU ,1101780001A        ,WAREHOUSE AND PREMISES                                      ,,223000,"UNIT 1 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71190776,MAYFIELD PRESS (OXFORD) LTD     ,OX4 6TU ,11017800024,WAREHOUSE AND PREMISES                                      ,,118000,"2-4 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71190776,MAYFIELD PRESS (OXFORD) LTD     ,OX4 6TU ,11017800024,Warehouse and Premises                                      ,,118000,"2-4 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71188196,GILES SERVICE CENTRE LTD        ,OX4 6TU ,11017800105,WORKSHOP AND PREMISES                                       ,06/11/2010,31000,"UNIT 6 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71188131,OXFORD BLUE TRADING LTD         ,OX4 6TU ,11017800800,WAREHOUSE AND PREMISES                                      ,05/01/2010,9400,"8 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71188131,OXFORD BLUE TRADING LTD         ,OX4 6TU ,11017800800,WAREHOUSE AND PREMISES                                      ,05/01/2010,9400,"8 ASHVILLE WAY OXFORD OX4 6TU
(51.726592, -1.198036)"
71114291,L ROWLAND & CO [RETAIL] LTD     ,OX3 8RA ,11020001300,SHOP AND PREMISES                                           ,04/01/2000,8200,"13 ATKYNS ROAD HEADINGTON OXFORD OX3 8RA
(51.748663, -1.201571)"
71114291,L ROWLAND & CO [RETAIL] LTD     ,OX3 8RA ,11020001300,SHOP AND PREMISES                                           ,04/01/2000,8200,"13 ATKYNS ROAD HEADINGTON OXFORD OX3 8RA
(51.748663, -1.201571)"
70009611,MARTIN RETAIL GROUP PLC         ,OX4 6AG ,11025506902,SHOP AND PREMISES                                           ,08/01/2012,7400,"69 BALFOUR ROAD BLACKBIRD LEYS OXFORD OX4 6AG
(51.724618, -1.19865)"
70009611,MARTIN RETAIL GROUP PLC         ,OX4 6AG ,11025506902,SHOP AND PREMISES                                           ,08/01/2012,7400,"69 BALFOUR ROAD BLACKBIRD LEYS OXFORD OX4 6AG
(51.724618, -1.19865)"
71191146,BANK MACHINE LTD                ,OX4 6AG ,11025506903,SITE OF ATM                                                 ,08/01/2012,5900,"ATM SITE 69 BALFOUR ROAD BLACKBIRD LEYS OXFORD OX4 6AG
AT
(51.724618, -1.19865)"
71191146,BANK MACHINE LTD                ,OX4 6AG ,11025506903,SITE OF ATM                                                 ,08/01/2012,5900,"ATM SITE 69 BALFOUR ROAD BLACKBIRD LEYS OXFORD OX4 6AG
AT
(51.724618, -1.19865)"
71187631,CO-OP FUNERALCARE LIMITED       ,OX4 6AG ,11025507101,SHOP AND PREMISES                                           ,,8400,"71 BALFOUR ROAD OXFORD OX4 6AG
(51.724618, -1.19865)"
71187631,CO-OP FUNERALCARE LIMITED       ,OX4 6AG ,11025507101,SHOP AND PREMISES                                           ,,8400,"71 BALFOUR ROAD OXFORD OX4 6AG
(51.724618, -1.19865)"
70009882,J E PILL AND SONS LTD           ,OX4 6AG ,11025507300,SHOP AND PREMISES                                           ,04/01/1991,8800,"73 BALFOUR ROAD OXFORD OX4 6AG
(51.724618, -1.19865)"
70009882,J E PILL AND SONS LTD           ,OX4 6AG ,11025507300,SHOP AND PREMISES                                           ,04/01/1991,8800,"73 BALFOUR ROAD OXFORD OX4 6AG
(51.724618, -1.19865)"
71183743,RIACH ARCHITECTS LTD            ,OX2 6PE ,11026000065,OFFICES AND PREMISES                                        ,11/01/2003,35250,"65 BANBURY ROAD OXFORD OX2 6PE
(51.764211, -1.261069)"
71183743,RIACH ARCHITECTS LTD            ,OX2 6PE ,11026000065,OFFICES AND PREMISES                                        ,11/01/2003,35250,"65 BANBURY ROAD OXFORD OX2 6PE
(51.764211, -1.261069)"
71191233,ORANGE PCS UK LTD               ,OX2 7JU ,11026000173,COMMUNICATION STATION AND PREMISES                          ,04/01/2010,13750,"ORANGE (OXF0173) MAYFIELD HOUSE BANBURY ROAD OXFORD OX2 7JU
(51.780992, -1.267362)"
71191233,ORANGE PCS UK LTD               ,OX2 7JU ,11026000173,COMMUNICATION STATION AND PREMISES                          ,04/01/2010,13750,"ORANGE (OXF0173) MAYFIELD HOUSE BANBURY ROAD OXFORD OX2 7JU
(51.780992, -1.267362)"
71187762,FARROW & BALL LTD               ,OX2 7HS ,11026000225,SHOP AND PREMISES                                           ,10/05/2009,37500,"225 BANBURY ROAD OXFORD OX2 7HS
(51.777003, -1.265035)"
71187762,FARROW & BALL LTD               ,OX2 7HS ,11026000225,Shop and Premises                                           ,10/05/2009,37500,"225 BANBURY ROAD OXFORD OX2 7HS
(51.777003, -1.265035)"
71184973,HOLLAND AND BARRETT RETAIL LTD  ,OX2 7HN ,11026000241,SHOP AND PREMISES                                           ,07/12/2005,51500,"241 BANBURY ROAD OXFORD OX2 7HN
(51.777815, -1.265369)"
71184973,HOLLAND AND BARRETT RETAIL LTD  ,OX2 7HN ,11026000241,SHOP AND PREMISES                                           ,07/12/2005,51500,"241 BANBURY ROAD OXFORD OX2 7HN
(51.777815, -1.265369)"
71190197,CARA LONDON LTD                 ,OX2 7HN ,11026000243,SHOP AND PREMISES                                           ,,42250,"243 BANBURY ROAD OXFORD OX2 7HN
(51.777815, -1.265369)"
71190197,CARA LONDON LTD                 ,OX2 7HN ,11026000243,Shop and Premises                                           ,,42250,"243 BANBURY ROAD OXFORD OX2 7HN
(51.777815, -1.265369)"
71190400,DW STEVENSON LTD                ,OX2 7HN ,11026000254,SHOP AND PREMISES                                           ,02/01/2013,64500,"245 BANBURY ROAD OXFORD OX2 7HN
(51.777815, -1.265369)"
71190400,DW STEVENSON LTD                ,OX2 7HN ,11026000254,Shop and Premises                                           ,02/01/2013,64500,"245 BANBURY ROAD OXFORD OX2 7HN
(51.777815, -1.265369)"
70401431,MOGFORD LTD                     ,OX1 4EH ,11026000300,HOTEL AND PREMISES                                          ,04/01/1991,394000,"OLD PARSONAGE GUEST HOUSE 1-5 BANBURY ROAD OXFORD OX1 4EH
(51.751824, -1.255868)"
70401431,MOGFORD LTD                     ,OX1 4EH ,11026000300,HOTEL AND PREMISES                                          ,04/01/1991,394000,"OLD PARSONAGE GUEST HOUSE 1-5 BANBURY ROAD OXFORD OX1 4EH
(51.751824, -1.255868)"
71191515,AIRWAVE SOLUTIONS LTD           ,OX2 7JU ,1102600164A        ,COMMUNICATION STATION AND PREMISES                          ,04/01/2010,5400,"AIRWAVE (TVY164A) BANBURY ROAD OXFORD OX2 7JU
(51.780992, -1.267362)"
71191515,AIRWAVE SOLUTIONS LTD           ,OX2 7JU ,1102600164A        ,COMMUNICATION STATION AND PREMISES                          ,04/01/2010,5400,"AIRWAVE (TVY164A) BANBURY ROAD OXFORD OX2 7JU
(51.780992, -1.267362)"
71187879,7.4 LIMITED                     ,OX2 7DY ,11026002742,OFFICES AND PREMISES                                        ,11/09/2009,66000,"2ND FLOOR 274 BANBURY ROAD OXFORD OX2 7DY
(51.777973, -1.264729)"
71188082,GIGASTREAM PLC                  ,OX2 7DY ,11026002743,OFFICES AND PREMISES                                        ,07/01/2008,55000,"1ST FLR 274 BANBURY ROAD OXFORD OX2 7DY
(51.777973, -1.264729)"
71188082,GIGASTREAM PLC                  ,OX2 7DY ,11026002743,Offices and Premises                                        ,07/01/2008,55000,"1ST FLR 274 BANBURY ROAD OXFORD OX2 7DY
(51.777973, -1.264729)"
70720421,MOGFORD LTD                     ,OX2 6PE ,11026006101,RESTAURANT AND PREMISES                                     ,07/01/1994,46500,"61A BANBURY ROAD OXFORD OX2 6PE
(51.764211, -1.261069)"
70720421,MOGFORD LTD                     ,OX2 6PE ,11026006101,RESTAURANT AND PREMISES                                     ,07/01/1994,46500,"61A BANBURY ROAD OXFORD OX2 6PE
(51.764211, -1.261069)"
70593741,THE OXFORD CENTRE LTD           ,OX2 6JP ,11026006601,OFFICES AND PREMISES                                        ,04/01/1991,58500,"66 BANBURY ROAD OXFORD OX2 6JP
(51.765566, -1.260627)"
70593741,THE OXFORD CENTRE LTD           ,OX2 6JP ,11026006601,OFFICES AND PREMISES                                        ,04/01/1991,58500,"66 BANBURY ROAD OXFORD OX2 6JP
(51.765566, -1.260627)"
71189770,THE OXFORD CENTRE LTD           ,OX2 6PR ,1102600660C        ,OFFICES AND PREMISES                                        ,03/09/2012,39750,"TECHNOS INTERNATIONAL(OXFORD)LTD WOLSEY HALL 66 BANBURY ROAD OXFORD OX2 6PR
(51.764719, -1.26038)"
71189770,THE OXFORD CENTRE LTD           ,OX2 6PR ,1102600660C        ,OFFICES AND PREMISES                                        ,03/09/2012,39750,"TECHNOS INTERNATIONAL(OXFORD)LTD WOLSEY HALL 66 BANBURY ROAD OXFORD OX2 6PR
(51.764719, -1.26038)"
