Organisation,Invoice ID,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced (£)
Rochdale,V000848068,06/11/2014,OLDHAM & ROCHDALE GROUNDWORK TRUST LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,8 ASHFIELD LANE,26585
Rochdale,V000852523,20/11/2014,BEVAN BRITTAN LLP,Legal Services,EARLY HELP AND SCHOOLS,ACADEMY CONVERSION COSTS,1024
Rochdale,V000854128,25/11/2014,RICOH UK LTD,Facilities & Management Services,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT ADMIN,943.6
Rochdale,V000847942,06/11/2014,GENIE NETWORKS,Human Resources,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT PREVENTIVE,750
Rochdale,V000854084,26/11/2014,RICOH UK LTD,Facilities & Management Services,CHILDREN’S SOCIAL CARE,ACCESS AND SUPPORT SOCIAL WORK,500.76
Rochdale,V000854651,26/11/2014,ADOPTION MATTERS,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,750
Rochdale,V000854479,25/11/2014,BRITISH ASSOC FOR ADOPTION & FOSTERING,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,3500
Rochdale,V000852589,20/11/2014,SWINDON BOROUGH COUNCIL,Public Bodies,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,9000
Rochdale,V000854851,27/11/2014,MISS ELISABETH COOPER,Legal Services,CUSTOMERS & CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,600
Rochdale,V000854850,27/11/2014,MISS LINDA SWEENEY,Unclassifiable,CUSTOMERS & CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,600
Rochdale,V000854084,26/11/2014,RICOH UK LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,ADULT & CHILD CARE SOLICITORS,687.31
Rochdale,V000852169,19/11/2014,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,Financial Services,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE HEAD OF SERVICE,3933
Rochdale,V000854084,26/11/2014,RICOH UK LTD,Facilities & Management Services,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE HEAD OF SERVICE,735.65
Rochdale,V000849156,13/11/2014,ROGER HILLMAN,Unclassifiable,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE HEAD OF SERVICE,787.5
Rochdale,V000853124,24/11/2014,SIMON BURROWS,Legal Services,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE HEAD OF SERVICE,2115
Rochdale,V000855001,28/11/2014,REDACTED-COMMERCIALLY SENSITIVE,Consultancy,CUSTOMERS & CORPORATE SERVICES,ADULT CARE IT INFRASTRUCTURE,11600
Rochdale,V000844696,01/11/2014,ROCHDALE & DIST CITIZENS ADVICE BUREAU,Social Community Care Supplies & Services,CUSTOMERS & CORPORATE SERVICES,ADVICE TEAM,28167
Rochdale,V000850341,18/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,1750
Rochdale,V000850554,18/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,1750
Rochdale,V000850555,18/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,1750
Rochdale,V000850557,18/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,1750
Rochdale,V000854616,26/11/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,1750
Rochdale,V000848169,07/11/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - CONTACT CENTRE,6458.87
Rochdale,V000848169,07/11/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - ICT,6458.88
Rochdale,V000848207,10/11/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - ICT,93026.22
Rochdale,V000848228,10/11/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - ICT,-9284.44
Rochdale,V000848072,06/11/2014,DR R H VERITY,Healthcare,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,1396.5
Rochdale,V000848133,07/11/2014,DR R H VERITY,Healthcare,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,735
Rochdale,V000849638,18/11/2014,HILTON CABINET LIMITED,Furniture & Soft Furnishings,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,766.52
Rochdale,V000849639,18/11/2014,HILTON CABINET LIMITED,Furniture & Soft Furnishings,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,522.86
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,5119.92
Rochdale,V000850291,18/11/2014,S T HEATINGS SERVICES LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,ALL CREMETORIA,936.6
Rochdale,V000852404,19/11/2014,TREE HEROES LTD,Horticultural,ECONOMY AND ENVIRONMENT,ALLOTMENTS,550
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,ALLOTMENTS,730.31
Rochdale,V000854868,27/11/2014,J C MILLS & SON LIMITED,Building Construction Materials,PROPERTY AND HIGHWAYS,AMG 14/15 HEYWOOD LEISURE BOILER REP 416,4857.84
Rochdale,V000855010,28/11/2014,J C MILLS & SON LIMITED,Building Construction Materials,PROPERTY AND HIGHWAYS,AMG 14/15 HEYWOOD LEISURE BOILER REP 416,48846.87
Rochdale,V000855015,28/11/2014,J C MILLS & SON LIMITED,Building Construction Materials,PROPERTY AND HIGHWAYS,AMG 14/15 HEYWOOD LEISURE BOILER REP 416,4857.84
Rochdale,V000854452,25/11/2014,TAYLOR & STOTT LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,AMG RETENTIONS 11/12,702.12
Rochdale,V000844329,05/11/2014,ONE ASH TRAINING,Human Resources,ECONOMY AND ENVIRONMENT,ARBORICULTURE,880
Rochdale,V000852801,20/11/2014,PIONEER TREE SERVICES LIMITED,Horticultural,ECONOMY AND ENVIRONMENT,ARBORICULTURE,2500
Rochdale,V000849067,13/11/2014,R J & D RAINFORD,Unclassifiable,ECONOMY AND ENVIRONMENT,ARBORICULTURE,600
Rochdale,V000849068,13/11/2014,R J & D RAINFORD,Unclassifiable,ECONOMY AND ENVIRONMENT,ARBORICULTURE,5640
Rochdale,V000849087,13/11/2014,URBAN STONE,Building Construction Materials,CUSTOMERS & CORPORATE SERVICES,ARMED FORCES MEMORIAL HEYWOOD,500
Rochdale,V000855014,28/11/2014,NORTHERN INSULATION CONTRACTORS,Building Construction Materials,EARLY HELP AND SCHOOLS,ASBESTOS REMOVAL PROGRAMME,10985
Rochdale,V000846722,03/11/2014,1 CLICK MOVE PROPERTY MANAGEMENT,Facilities & Management Services,CHILDREN’S SOCIAL CARE,ASYLUM SEEKERS,1125
Rochdale,V000846731,03/11/2014,PRESTIGE SALES AND LETTINGS LTD,Facilities & Management Services,CHILDREN’S SOCIAL CARE,ASYLUM SEEKERS,550
Rochdale,V000853256,24/11/2014,REDACTED-PERSONAL DATA,Unclassifiable,CHILDREN’S SOCIAL CARE,ASYLUM SEEKERS,1485
Rochdale,V000848603,10/11/2014,THE RIVERSIDE GROUP LIMITED,Housing Management,CHILDREN’S SOCIAL CARE,ASYLUM SEEKERS,1131.24
Rochdale,V000848027,06/11/2014,MR D ROUND,Unclassifiable,ECONOMY AND ENVIRONMENT,BALDERSTONE DEMOLITION,1125
Rochdale,V000848254,07/11/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,613.26
Rochdale,V000848257,07/11/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,998.54
Rochdale,V000848266,07/11/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,774.31
Rochdale,V000849578,14/11/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,837.81
Rochdale,V000849583,14/11/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,582.54
Rochdale,V000853879,24/11/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,675.61
Rochdale,V000849590,14/11/2014,ULVERSCROFT LARGE PRINT BOOKS LTD,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,529.6
Rochdale,V000848104,11/11/2014,NORTHGATE INFORMATION SOLUTIONS UK LTD,Information Communication Technology,FINANCE SERVICES,BLUE BADGES,1945.55
Rochdale,V000848708,17/11/2014,NORTHGATE INFORMATION SOLUTIONS UK LTD,Information Communication Technology,FINANCE SERVICES,BLUE BADGES,1591.6
Rochdale,V000850219,18/11/2014,TOTAL PHYSIOTHERAPY LIMITED,Healthcare,FINANCE SERVICES,BLUE BADGES,1260
Rochdale,V000848757,11/11/2014,BOARSHAW COMMUNITY PRIMARY SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,BOARSHAW - PLACE PLANNING,556.78
Rochdale,V000850250,18/11/2014,BOARSHAW COMMUNITY PRIMARY SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,BOARSHAW - PLACE PLANNING,8000
Rochdale,V000849810,17/11/2014,F PARKINSON LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,BOARSHAW - PLACE PLANNING,22499.99
Rochdale,V000852533,20/11/2014,THE BOND BOARD LIMITED,Housing Management,ECONOMY AND ENVIRONMENT,BOND BOARD,12500
Rochdale,V000851394,18/11/2014,HENRY ALTY LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,1179.1
Rochdale,V000852776,20/11/2014,HENRY ALTY LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,520.45
Rochdale,V000854106,25/11/2014,LUBBE & SONS LTD,Horticultural,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,500
Rochdale,V000848174,07/11/2014,P & R FIRE SECURITY,Facilities & Management Services,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,1066
Rochdale,V000854960,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,750.46
Rochdale,V000854962,28/11/2014,BRITISH GAS BUSINESS (GAS),Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,850.48
Rochdale,V000852962,21/11/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,543
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,515.8
Rochdale,V000854959,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,-1931.49
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,CHILDREN’S SOCIAL CARE,BRIDGEFOLD LODGE,560.03
Rochdale,V000850359,18/11/2014,VALERO ENERGY LTD,Vehicle Management,CHILDREN’S SOCIAL CARE,BRIDGEFOLD LODGE,2350.95
Rochdale,V000847387,03/11/2014,INSPIREDSPACES ROCHDALE LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,BSF COSTS FUNDED BY LAND RECEIPTS,1706.25
Rochdale,V000848660,10/11/2014,BEVAN BRITTAN LLP,Legal Services,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),1525.6
Rochdale,V000853007,21/11/2014,BEVAN BRITTAN LLP,Legal Services,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),11951.1
Rochdale,V000848631,10/11/2014,MOTT MACDONALD LIMITED,Human Resources,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),2916.19
Rochdale,V000847679,05/11/2014,INSPIREDSPACES ROCHDALE LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,BSF ICT CONTRACT,145665.63
Rochdale,V000854632,26/11/2014,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,BSF OTHER CONTRIBUTIONS,68346.45
Rochdale,V000847680,05/11/2014,INSPIREDSPACES ROCHDALE LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,BSF VARIATIONS/ CONTINGENCY,996.72
Rochdale,V000854632,26/11/2014,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,BSF VARIATIONS/ CONTINGENCY,119547.29
Rochdale,V000854635,26/11/2014,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,BSF VARIATIONS/ CONTINGENCY,159554.17
Rochdale,V000849259,13/11/2014,GROUNDWORK LANDSCAPES LIMITED,Horticultural,CUSTOMERS & CORPORATE SERVICES,BURGLARY REDUCTION SCHEME,8727.16
Rochdale,V000849377,14/11/2014,GROUNDWORK LANDSCAPES LIMITED,Horticultural,CUSTOMERS & CORPORATE SERVICES,BURGLARY REDUCTION SCHEME,880
Rochdale,V000848696,10/11/2014,SOLON SECURITY LIMITED,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,BURGLARY REDUCTION SCHEME,1853.32
Rochdale,V000852938,21/11/2014,CCS MEDIA LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,779.8
Rochdale,V000852944,21/11/2014,OPTEVIA LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,3400
Rochdale,V000854742,27/11/2014,OPTEVIA LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,3825
Rochdale,V000848150,07/11/2014,SENITOR RECRUITMENT,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,2000
Rochdale,V000848214,07/11/2014,SENITOR RECRUITMENT,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,2000
Rochdale,V000848894,12/11/2014,SENITOR RECRUITMENT,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,2000
Rochdale,V000852935,21/11/2014,SENITOR RECRUITMENT,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,2860
Rochdale,V000854732,27/11/2014,SENITOR RECRUITMENT,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,2000
Rochdale,V000854743,27/11/2014,SENITOR RECRUITMENT,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,2000
Rochdale,V000848152,07/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1400
Rochdale,V000848153,07/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1500
Rochdale,V000848156,07/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1050
Rochdale,V000848215,07/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1400
Rochdale,V000848216,07/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1500
Rochdale,V000848888,12/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1750
Rochdale,V000848889,12/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1500
Rochdale,V000848893,12/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1400
Rochdale,V000852932,21/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1400
Rochdale,V000852934,21/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1500
Rochdale,V000854999,28/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,7500
Rochdale,V000855003,28/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1400
Rochdale,V000855005,28/11/2014,STHREE PARTNERSHIP LLP,Human Resources,CUSTOMERS & CORPORATE SERVICES,BUSINESS INTELLIGENCE SYSTEMS,1500
Rochdale,V000847381,03/11/2014,WISHTRAC HOUSE LTD,Information Communication Technology,FINANCE SERVICES,BUSINESS SERVS  INTERNAL AUDIT,639.13
Rochdale,V000854112,25/11/2014,HOPWOOD HALL COLLEGE,Facilities & Management Services,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,1050
Rochdale,V000849316,14/11/2014,ONE STOP HIRE,Human Resources,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,510
Rochdale,V000854677,26/11/2014,PHYSIO CONTROL UK SALES LTD,Healthcare,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,650
Rochdale,V000855081,28/11/2014,YOTTA LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,BWIDE VAR STREETS FW/CW SURVEYS,3113.5
Rochdale,V000847847,10/11/2014,O T GLYNN,Unclassifiable,CUSTOMERS & CORPORATE SERVICES,BY-ELECTIONS,2161.3
Rochdale,V000853057,24/11/2014,ROCHDALE & DIST CITIZENS ADVICE BUREAU,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,CAB (MORTGAGE RESCUE),4166.67
Rochdale,V000853167,24/11/2014,ROCHDALE & DIST CITIZENS ADVICE BUREAU,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,CAB (MORTGAGE RESCUE),4166.67
Rochdale,V000853205,24/11/2014,ROCHDALE & DIST CITIZENS ADVICE BUREAU,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,CAB (MORTGAGE RESCUE),4166.67
Rochdale,V000853207,24/11/2014,ROCHDALE & DIST CITIZENS ADVICE BUREAU,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,CAB (MORTGAGE RESCUE),4166.67
Rochdale,V000853208,24/11/2014,ROCHDALE & DIST CITIZENS ADVICE BUREAU,Social Community Care Supplies & Services,ECONOMY AND ENVIRONMENT,CAB (MORTGAGE RESCUE),4166.67
Rochdale,V000849256,13/11/2014,TREE HEROES LTD,Horticultural,PROPERTY AND HIGHWAYS,CALDERBROOK RD RETAINING WALL 5 LBOROUGH,20375
Rochdale,V000847722,05/11/2014,PENNINE CARE NHS,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,CAMHS GRANT,16194
Rochdale,V000848839,11/11/2014,ROSS CARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CAPITAL EQUIPMENT DISABLED CHILDREN,4246.57
Rochdale,V000848840,11/11/2014,ROSS CARE,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,CAPITAL EQUIPMENT DISABLED CHILDREN,5066.08
Rochdale,V000847832,06/11/2014,BRITISH PARKING ASSOCIATION,Financial Services,PROPERTY AND HIGHWAYS,CAR PARKS  GENERAL,1114
Rochdale,V000852507,19/11/2014,PARKEON LIMITED,Street & Traffic Management,PROPERTY AND HIGHWAYS,CAR PARKS  GENERAL,7324
Rochdale,V000849032,18/11/2014,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,Financial Services,PHYSICAL DIS & OLDER PEOPLE,CARE ACT IMPLEMENTATION,2152.32
Rochdale,V000852158,19/11/2014,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,Financial Services,PHYSICAL DIS & OLDER PEOPLE,CARE ACT IMPLEMENTATION,2152.32
Rochdale,V000849823,18/11/2014,ELDERCARE UK LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CARELINE,6996.12
Rochdale,V000854693,26/11/2014,TUNSTALL HEALTHCARE (UK) LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CARELINE,1090
Rochdale,V000854694,26/11/2014,TUNSTALL HEALTHCARE (UK) LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CARELINE,1940
Rochdale,V000847413,04/11/2014,TYNETEC LTD,Information Communication Technology,PHYSICAL DIS & OLDER PEOPLE,CARELINE,684.36
Rochdale,V000848001,06/11/2014,TYNETEC LTD,Information Communication Technology,PHYSICAL DIS & OLDER PEOPLE,CARELINE,1967.2
Rochdale,V000847590,05/11/2014,FRIENDS OF OLDER PARENT CARERS,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,3743.16
Rochdale,V000848912,12/11/2014,KICKSTART GROUP,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,5626
Rochdale,V000849812,17/11/2014,ROCHDALE GATEWAY LEISURE LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,5763
Rochdale,V000849813,17/11/2014,ROCHDALE GATEWAY LEISURE LIMITED,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,5218.57
Rochdale,V000853039,21/11/2014,SPRINGHILL HOSPICE ROCHDALE,Social Community Care Supplies & Services,LEARNING DIS & MENTAL HEALTH,CARERS COMMISSIONED SERVICES,1650
Rochdale,V000848697,10/11/2014,GENESIS DAY CARE NURSERY,Financial Services,LEARNING DIS & MENTAL HEALTH,CARERS RESOURCE CENTRE,770.1
Rochdale,V000852157,19/11/2014,CASTLEMERE COMMUNITY CENTRE,Unclassifiable,EARLY HELP AND SCHOOLS,CASTLEMERE CHILDRENS CENTRE,10807.25
Rochdale,V000855109,28/11/2014,UNITED UTILITIES WATER LIMITED,Utilities,CUSTOMERS & CORPORATE SERVICES,CASTLETON COMMUNITY CENTRE,738.57
Rochdale,V000847769,06/11/2014,CARTER FENCING LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,2625
Rochdale,V000852846,21/11/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,1013.02
Rochdale,V000852947,21/11/2014,CORONA ENERGY RETAIL 4 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,2313.35
Rochdale,V000848078,07/11/2014,EDF ENERGY 1 LIMITED,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,742.92
Rochdale,V000855095,28/11/2014,H2O FLOWTECH LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,952.72
Rochdale,V000847740,06/11/2014,NAB CONTRACTORS LTD,"Works - Construction, Repair & Maintenance",ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,5060
Rochdale,V000847504,04/11/2014,ROCHDALE MEMORIAL SERVICE,Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,2135
Rochdale,V000846624,03/11/2014,COMFORT CALL LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,CENTRAL FORUM PHYS DIS,526
Rochdale,V000849133,13/11/2014,LEWIS REMOVALS,Facilities & Management Services,PHYSICAL DIS & OLDER PEOPLE,CENTRAL FORUM PHYS DIS,650
Rochdale,V000848770,11/11/2014,J C MILLS & SON LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,CENTRAL LEISURE CENTRE,2248.93
Rochdale,V000847377,03/11/2014,2BALANCE CONSULTING LTD,Consultancy,FINANCE SERVICES,CHIEF EXECUTIVE EXPENSES,3006
