Organisation Name,Dept,Service Cat Label,Expenditure CIPFA Sub Group Label,Purpose of Spend,Supplier,Supplier Reference,Pay Date,Net Amount,Transaction Number,Grant to VCSE?,Charity Number,Card Transaction,Irrecoverable VAT
Pendle Borough Council,Parks & Recreation Services,Capital Costs,CD14,Capital : Payments,A BINNS & CO,A0057121, 09/04/2015,"�4,140.00",PCO0260485,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Supplies and Services,4705,Other Expenses,ACCENT REGENERATION LIMITED,A0069320, 09/04/2015,�69.93,HMR0260497,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Indirect Employee Expenses,1211,Training,ACT NOW TRAINING LTD,A0076913, 23/04/2015,"�1,850.00",PER0261133,N,N/A,N,N/A
Pendle Borough Council,Chief Executives Policy Unit,Indirect Employee Expenses,1211,Training,REDACTED,A0089941, 23/04/2015,�101.70,COR0261055,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3601,Tprt : Annual Hire Charge,ALD AUTOMOTIVES,A0025555, 24/04/2015,�244.87,AAS0261892,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3601,Tprt : Annual Hire Charge,ALD AUTOMOTIVES,A0025555, 24/04/2015,�169.62,AAS0261401,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 09/04/2015,�3.51,AAS0260700,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 09/04/2015,�10.00,AAS0260698,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 09/04/2015,�10.00,AAS0260699,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 09/04/2015,�10.00,AAS0260700,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 09/04/2015,�18.85,AAS0260698,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 09/04/2015,�34.03,AAS0260697,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4422,Allpay,ALLPAY LIMITED,A0084372, 09/04/2015,�651.69,AAS0260697,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4706,Subscriptions & Donations,AON UK LIMITED,A0071306, 23/04/2015,�409.97,AAS0261207,N,N/A,N,N/A
Pendle Borough Council,Human Resources,Transport Related Expense,3401,Tprt : Pooled Transport,ARNOLD CLARK VEHICLE MANAGEMENT,A0065524, 23/04/2015,"�5,388.00",PER0261131,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 01/04/2015,"�4,588.88",AAS0261253,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 08/04/2015,"�4,670.75",AAS0261254,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/04/2015,"�5,431.72",AAS0261255,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3601,Tprt : Annual Hire Charge,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/04/2015,�290.76,AAS0261891,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3601,Tprt : Annual Hire Charge,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 15/04/2015,�290.76,AAS0261891,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�159.86,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�272.41,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�132.21,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�157.81,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�283.68,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�267.84,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�127.10,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�60.70,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�68.75,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�225.29,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�114.75,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�170.62,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�99.58,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�40.66,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�46.18,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�128.48,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�204.79,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�144.26,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�29.75,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�38.86,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�111.11,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�41.11,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�84.33,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�150.17,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�169.60,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�101.00,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�61.74,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�62.80,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�51.43,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�44.84,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�49.97,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�121.11,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�95.70,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�49.77,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�44.68,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�1.65,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�1.65,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�41.27,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 22/04/2015,�69.33,AAS0261414,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�38.16,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�61.33,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�109.29,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�279.45,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�302.78,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�277.05,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�83.19,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�177.16,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�163.44,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�18.97,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�30.83,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�141.75,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�56.71,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�204.94,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�74.98,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�263.40,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�42.88,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�34.47,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�41.93,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�344.28,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�167.36,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�208.93,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�31.06,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�31.48,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�95.40,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�84.97,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�133.59,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�144.48,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�147.85,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�136.45,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�76.11,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�1.65,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�48.56,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�52.23,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�59.78,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�41.67,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�45.20,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�51.69,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�61.88,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�61.91,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�45.89,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�43.85,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�16.68,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�70.93,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�67.51,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�61.38,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�56.32,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�55.00,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�53.08,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�27.88,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�66.93,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Transport Related Expense,3202,Diesel Oil,ARVAL LTD (ALLSTAR FUEL SERVICES),A0062668, 29/04/2015,�37.34,AAS0261421,N,N/A,N,N/A
Pendle Borough Council,Operational Services,Supplies and Services,4707,Miscellaneous : Other,ASPEN VALLEY KENNELS & CATTERY,A0022106, 30/04/2015,�882.00,OPS0261201,N,N/A,N,N/A
Pendle Borough Council,Property Services,Supplies and Services,4401,Consultants Fees,ASSIST FACILITIES MANAGEMENT LTD,A0050729, 16/04/2015,�875.00,EST0260948,N,N/A,N,N/A
Pendle Borough Council,Economic Development & Tourism,Supplies and Services,4705,Other Expenses,ASSOCIATION OF TOWN CENTRE MANAGEMENT,A0042926, 23/04/2015,�725.00,REG0261185,N,N/A,N,N/A
Pendle Borough Council,Housing Regeneration Services,Capital Costs,CH22,Ren Grant : 1996 Act,ATM CONSTRUCTION LTD,A0066308, 09/04/2015,�250.00,HMR0260554,N,N/A,N,41.67
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3105,Tprt : Repairs : General,ATS EUROMASTER LTD,A0000009, 16/04/2015,"�2,247.96",PCO0260932,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3204,Tyres,ATS EUROMASTER LTD,A0000009, 16/04/2015,�105.68,PCO0260932,N,N/A,N,N/A
Pendle Borough Council,Financial Services,Supplies and Services,4401,Consultants Fees,AURORA ACCOUNTING SERVICES,A0089134, 16/04/2015,"�1,680.00",AAS0261006,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4705,Other Expenses,AUTO ASSIST NW LIMITED,A0090277, 30/04/2015,�17.00,HED0261364,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4501,Postages,AVERY WEIGH-TRONIX,A0020993, 09/04/2015,�8.25,ENV0260679,N,N/A,N,N/A
Pendle Borough Council,Democratic & Legal Services,Supplies and Services,4001,EFM : Photocopiers,AZZURRI COMMUNICATIONS LIMITED,A0012512, 09/04/2015,�39.41,DAL0260685,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4001,EFM : Photocopiers,AZZURRI COMMUNICATIONS LIMITED,A0012512, 16/04/2015,�3.89,HED0261039,N,N/A,N,N/A
Pendle Borough Council,Engineering & Special Projects,Supplies and Services,4001,EFM : Photocopiers,AZZURRI COMMUNICATIONS LIMITED,A0012512, 16/04/2015,�186.16,HED0261041,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4301,Printing & Stationery,AZZURRI COMMUNICATIONS LIMITED,A0012512, 16/04/2015,�108.89,PCO0260914,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Supplies and Services,4301,Printing & Stationery,AZZURRI COMMUNICATIONS LIMITED,A0012512, 16/04/2015,�125.10,PCO0260912,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4001,EFM : Photocopiers,AZZURRI COMMUNICATIONS LIMITED,A0012512, 23/04/2015,�33.57,ENV0261174,N,N/A,N,N/A
Pendle Borough Council,Environmental Health Services,Supplies and Services,4001,EFM : Photocopiers,AZZURRI COMMUNICATIONS LIMITED,A0012512, 23/04/2015,�127.01,ENV0261174,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Premises Related Expense,2001,Bldgs : R & M : Day To Day,B & W PLANT HIRE AND SALES LTD,A0090057, 09/04/2015,�96.00,PCO0260518,N,N/A,N,N/A
Pendle Borough Council,Parks & Recreation Services,Transport Related Expense,3502,Hire of Plant,B & W PLANT HIRE AND SALES LTD,A0090057, 16/04/2015,�60.00,PCO0260901,N,N/A,N,N/A
