Organisation name,Organisation code,Effective date,Contract Reference Number,Open Contracting ID,Title of agreement,Contract type,Directorate/service responsible,Service category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: Proclass label,Procurement classification: CPV code,Contract Start Date,End Date,Review date,Last extension date,Contract value,Fixed cost/estimated cost,Irrecoverable VAT,Supplier Name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536448,,Revenue Services Manager - Contribution to the implementation of changes to Council Tax,,Finance & Property,,,Revenue Services Manager - Contribution to the implementation of changes to Council Tax,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,50000,,0,NORTH NORFOLK DISTRICT COUNCIL,,,85340,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539584,,Ready to Borrow' grant RTB/01/01 ,,Community and Environmental Services,,,Ready to Borrow' grant RTB/01/01 ,GRANTS.CAPITAL GRANTS TO OUTSIDE ORGANISATIONS,,,,,,,50000,,0,THE NORRIS MUSEUM,,,1334797,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544622,,Sexual Health Grant 2017/18 for Norfolk LGBT,,Resources,,,Sexual Health Grant 2017/18 for Norfolk LGBT,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,49812.43,,0,NORFOLK LGBT PROJECT,,,737814,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539586,,Ready to Borrow' grant RTB/01/04 Ipswich Art Gallery ,,Community and Environmental Services,,,Ready to Borrow' grant RTB/01/04 Ipswich Art Gallery ,GRANTS.CAPITAL GRANTS TO OUTSIDE ORGANISATIONS,,,,,,,49555,,0,COLCHESTER AND IPSWICH MUSEUM SERVICE,,,236176,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544665,,Sexual Health Grant 2017/18 for Terrence Higgins Trust,,Resources,,,Sexual Health Grant 2017/18 for Terrence Higgins Trust,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,49347,,0,TERRENCE HIGGINS TRUST,,,75342,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543975,,ICO Data Charges  ,,Children's Services,,,ICO Data Charges  ,"AUDITORS, INSPECTIONS & REGISTRATIONS.STATUTORY REGISTRATION/INSPECTION",,,,,,,48000,,0,INFORMATION COMMISSIONERS OFFICE,,,83616,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,519615,,Leadership Development -November 2016,,Resources,,,Leadership Development -November 2016,HR-TRAINING,,,,,,,45290,,0,MENDAS,,,2172967,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543763,,E-learning provision through E-LEARNING SERVICE for children out of school,,Children's Services,,,E-learning provision through E-LEARNING SERVICE for children out of school,CHILDREN'S-EDUCATION RECOUPMENT,,,,,,,45000,,0,E-LEARNING SERVICE LTD,,,2262187,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544309,,Interim Executive Director Children's Services - 40 days between 6 February 2017 and 31 March 2017 ,,Children's Services,,,Interim Executive Director Children's Services - 40 days between 6 February 2017 and 31 March 2017 ,HR-INTERIM & TEMPORARY STAFF.INTERIM EXECUTIVES,,,,,,,44100,,0,GATENBY SANDERSON LTD,,,90313,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539679,,Peddars Way National Trail.  Maintenance/improvement to existing boardwalk adjacent to River Thet at Shadwell. Riverbank stabilisation works adjacent to River Thet at Shadwell.,,Community and Environmental Services,,,Peddars Way National Trail.  Maintenance/improvement to existing boardwalk adjacent to River Thet at Shadwell. Riverbank stabilisation works adjacent to River Thet at Shadwell.,"FM-GROUNDS, GROUNDS EQUIP & TREE SURGERY.GROUNDS MAINTENANCE",,,,,,,41198,,0,MILES WATER ENGINEERING LTD,,,2117942,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543547,,Specialist Inclusion Support provided by JRP Education for second half of Spring Term and Summer Term 2017,,Children's Services,,,Specialist Inclusion Support provided by JRP Education for second half of Spring Term and Summer Term 2017,SCHOOLS-PROFESSIONAL,,,,,,,40500,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,513394,,Reimbursement to NFST for Financial Lead for STP Sept 2016 - end March 2017,,Adult Social Care,,,Reimbursement to NFST for Financial Lead for STP Sept 2016 - end March 2017,RESEARCH AND EVALUATION,,,,,,,40000,,0,NORFOLK & SUFFOLK NHS FOUNDATION TRUST,,,829796,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539221,,Grant payment to Norfolk & Suffolk Care Support Ltd for Collaborative Care Pathway Partnership,,Adult Social Care,,,Grant payment to Norfolk & Suffolk Care Support Ltd for Collaborative Care Pathway Partnership,GRANTS.GRANTS TO BUSINESSES,,,,,,,39950,,0,NORFOLK & SUFFOLK CARE SUPPORT LIMITED,,,72464,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540560,,FloSuite maintenance and FireWatch self-service usage 19 Nov 2016 to 18 Nov 2017,,Community and Environmental Services,,,FloSuite maintenance and FireWatch self-service usage 19 Nov 2016 to 18 Nov 2017,ICT-MANAGED SERVICES,,,,,,,39320,,0,INFOGRAPHICS UK LTD.,,,70088,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539776,,Temporary Hire of 3 x Single Unit Storage LEEC Ltd,,Resources,,,Temporary Hire of 3 x Single Unit Storage LEEC Ltd,VEHICLE & PLANT LEASING/RENTAL.CONTRACT PLANT & MACHINERY HIRE,,,,,,,35925,,0,LEEC LTD,,,2280293,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539583,,Ready to Borrow' Grant RTB/01/02 ,,Community and Environmental Services,,,Ready to Borrow' Grant RTB/01/02 ,GRANTS.CAPITAL GRANTS TO OUTSIDE ORGANISATIONS,,,,,,,35345,,0,BRESSINGHAM STEAM MUSEUM TRUST,,,92724,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,538417,,Reed Business Information Limited - Community Care Event - 26/27th September 2017 - London,,Children's Services,,,Reed Business Information Limited - Community Care Event - 26/27th September 2017 - London,HR-RECRUITMENT.RECRUITMENT OF PERMANENT STAFF,,,,,,,30000,,0,REED BUSINESS INFORMATION LIMITED,,,73845,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543064,,Grant payment to Love Norfolk Youth Social Action Fund,,Adult Social Care,,,Grant payment to Love Norfolk Youth Social Action Fund,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,30000,,0,NORFOLK COMMUNITY FOUNDATION,,,1165780,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540692,,Education system leadership project to run from January to the end of May 2017 32 days ,,Children's Services,,,Education system leadership project to run from January to the end of May 2017 32 days ,RESEARCH AND EVALUATION,,,,,,,28800,,0,ISOS PARTNERSHIP (UK) LLP,,,1178836,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,535359,,North Drive footway resurf. Part of Add Gov funding works.,,Community and Environmental Services,,,North Drive footway resurf. Part of Add Gov funding works.,HIGHWAYS-WORKS.ROUTINE MAINTENANCE,,,,,,,28706.22,,0,N R ASPHALT LTD,,,1109767,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536851,,CARRY OUT WORK AS PER QUOTE 30.11.16 - building maintenance,,Community and Environmental Services,,,CARRY OUT WORK AS PER QUOTE 30.11.16 - building maintenance,FM-BUILDING MAINTENANCE.GENERAL BUILDERS,,,,,,,28538,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543435,,Removal of 4 bay shelter at Gorleston High Street and replace with 6 bay as per quote.,,Community and Environmental Services,,,Removal of 4 bay shelter at Gorleston High Street and replace with 6 bay as per quote.,PASSENGER TRANSPORT-INFRASTRUCTURE,,,,,,,27004.08,,0,CLEAR CHANNEL UK LIMITED,,,67527,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539400,,"Offshore Wind Energy 2017 design, manufacture and construction of the stand",,Community and Environmental Services,,,"Offshore Wind Energy 2017 design, manufacture and construction of the stand","COMMUNICATIONS-DESIGN, PRINT, ETC.EXHIBITION GRAPHICS & SIGNAGE",,,,,,,26316,,0,PRODUCTION BUREAU LIMITED,,,73399,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,535828,,"Office equipment, ie tables, stools, chairs, benches and tray units for Kinesis Centre provided by Everything Office, Lowestoft. ",,Children's Services,,,"Office equipment, ie tables, stools, chairs, benches and tray units for Kinesis Centre provided by Everything Office, Lowestoft. ",FM-FURNITURE & EQUIPMENT.OFFICE,,,,,,,25000,,0,EVERYTHING OFFICE LTD,,,155180,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,538212,,Perform an assessment of the business case for a supplier early payment programme,,Finance & Property,,,Perform an assessment of the business case for a supplier early payment programme,ICT-PROFESSIONAL ADVICE & SERVICES,,,,,,,25000,,0,OXYGEN FINANCE LTD,,,2273281,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543732,,Grant to deliver a training programme to NEETS ,,Community and Environmental Services,,,Grant to deliver a training programme to NEETS ,GRANTS.GRANTS TO BUSINESSES,,,,,,,25000,,0,PRINCES TRUST TRADING LIMITED,,,127529,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544102,,Norfolk Independent Care Market Development Support Grant,,Adult Social Care,,,Norfolk Independent Care Market Development Support Grant,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,25000,,0,NORFOLK CARE LINK LIMITED,,,1004847,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,544116,,Partnership work to deliver the Cambridge Norwich Technology Corridor,,Community and Environmental Services,,,Partnership work to deliver the Cambridge Norwich Technology Corridor,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,25000,,0,BRECKLAND DISTRICT COUNCIL,,,81088,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539222,,Grant payment to Norfolk & Suffolk Care Support Ltd for Strength Based Approach - Promoting Independence,,Adult Social Care,,,Grant payment to Norfolk & Suffolk Care Support Ltd for Strength Based Approach - Promoting Independence,GRANTS.GRANTS TO BUSINESSES,,,,,,,24675,,0,NORFOLK & SUFFOLK CARE SUPPORT LIMITED,,,72464,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539109,,Building an extension and wet room for long term placement.,,Children's Services,,,Building an extension and wet room for long term placement.,FM-BUILDING MAINTENANCE.GENERAL BUILDERS,,,,,,,24640.61,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,535377,,Funding for Suffolk County Council (SNITT) - School Direct Salaried Grant for the Academic Year 2016-17 - January Instalment,,Children's Services,,,Funding for Suffolk County Council (SNITT) - School Direct Salaried Grant for the Academic Year 2016-17 - January Instalment,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,23727.28,,0,SUFFOLK COUNTY COUNCIL,,,75016,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,541936,,SNITT (Schools Direct Salaried) Funding for the Academic Year 2016-17 - March 2017,,Children's Services,,,SNITT (Schools Direct Salaried) Funding for the Academic Year 2016-17 - March 2017,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,23727.28,,0,SUFFOLK COUNTY COUNCIL,,,75016,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,538106,,Ready to Borrow grant RTB/01/03 ,,Community and Environmental Services,,,Ready to Borrow grant RTB/01/03 ,GRANTS.CAPITAL GRANTS TO OUTSIDE ORGANISATIONS,,,,,,,23500,,0,HALESWORTH & DISTRICT MUSEUM,,,1224829,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,518225,,"Call off order for scrap car provision for Norfolk Fire & Rescue Service, Training as and when requested up to 31/03/17",,Community and Environmental Services,,,"Call off order for scrap car provision for Norfolk Fire & Rescue Service, Training as and when requested up to 31/03/17",HR-TRAINING,,,,,,,23190,,0,CARL SMITH SALVAGE,,,94029,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536748,,Rent for shared premises,,Community and Environmental Services,,,Rent for shared premises,FM-RENT & RATES.RENT,,,,,,,22839,,0,SUFFOLK COUNTY COUNCIL,,,75016,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,538054,,Consultants Fees for appeal/re-negotiation of NFRS business rates based on the 2010 rating list,,Community and Environmental Services,,,Consultants Fees for appeal/re-negotiation of NFRS business rates based on the 2010 rating list,FM-RENT & RATES.RATES,,,,,,,21280.46,,0,FHP PROPERTY CONSULTANTS,,,2273279,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,537829,,Funding for Suffolk CC (SNITT) - School Direct Salaried Grant for the Academic Year 2016-17 - February Instalment,,Children's Services,,,Funding for Suffolk CC (SNITT) - School Direct Salaried Grant for the Academic Year 2016-17 - February Instalment,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,21136.35,,0,SUFFOLK COUNTY COUNCIL,,,75016,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,504478,,LMH Clinical Psychology Services - SSCTR Cases - from Apr16-Mar17 ,,Resources,,,LMH Clinical Psychology Services - SSCTR Cases - from Apr16-Mar17 ,LEGAL.SOLICITORS,,,,,,,20000,,0,LMH CLINICAL PSYCHOLOGY SERVICES,,,1003773,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,506267,,Organisational ICT Capability/Core Delivery April 2016 - March 2017,,Resources,,,Organisational ICT Capability/Core Delivery April 2016 - March 2017,HR-TRAINING,,,,,,,20000,,0,TRAINING FOR UK BUSINESS,,,1256760,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539828,,Development and production of the Norwich Castle: Gateway to Medieval England project Activity Plan,,Community and Environmental Services,,,Development and production of the Norwich Castle: Gateway to Medieval England project Activity Plan,MUSEUMS-DEMONSTRATORS & EDUCATIONAL SVCS,,,,,,,20000,,0,TRICOLOR LTD,,,2277281,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540208,,Diocese of Norwich - Phase 4 works St Michaels Bowthorpe,,Children's Services,,,Diocese of Norwich - Phase 4 works St Michaels Bowthorpe,CONSTRUCTION.ADAPTION/IMPROVEMENT,,,,,,,19758.9,,0,NORWICH DIOCESAN BOARD OF FINANCE LIMITED(THE),,,133190,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,534731,,"HRSSC-e-Resolve, one -off piece of work for Specialist Oracle development to support the movement of employee and assignment records from one business group to another in Oracle",,Resources,,,"HRSSC-e-Resolve, one -off piece of work for Specialist Oracle development to support the movement of employee and assignment records from one business group to another in Oracle",ICT-PROFESSIONAL ADVICE & SERVICES,,,,,,,19250,,0,E-RESOLVE LIMITED,,,1247830,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,535729,,Diss and District Citizens Advice Bureaus - CAB Contract 17/18 - Payment for the period between the 1/1/17 - 30/6/17,,Adult Social Care,,,Diss and District Citizens Advice Bureaus - CAB Contract 17/18 - Payment for the period between the 1/1/17 - 30/6/17,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,18962,,0,NATIONAL ASSOCIATION OF CITIZENS ADVICE BUREAUX,,,68269,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,525315,,NPLAW locum solicitor - Sept16-Dec16,,Resources,,,NPLAW locum solicitor - Sept16-Dec16,LEGAL.SOLICITORS,,,,,,,18000,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536209,,Healthy Places Public Health and Broadland District Council funding - various projects 2016/17,,Resources,,,Healthy Places Public Health and Broadland District Council funding - various projects 2016/17,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,17142,,0,BROADLAND DISTRICT COUNCIL,,,81165,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536210,,Healthy Places Public Health and Norwich City Council funding for various projects 2016/17,,Resources,,,Healthy Places Public Health and Norwich City Council funding for various projects 2016/17,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,17000,,0,NORWICH CITY COUNCIL,,,79988,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536211,,Healthy Places Public Health and South Norfolk Council funding for various projects 2016/17,,Resources,,,Healthy Places Public Health and South Norfolk Council funding for various projects 2016/17,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,17000,,0,SOUTH NORFOLK DISTRICT COUNCIL,,,74707,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,537611,,Public Health and North Norfolk District Council funding � various projects 2016/17,,Resources,,,Public Health and North Norfolk District Council funding � various projects 2016/17,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,17000,,0,NORTH NORFOLK DISTRICT COUNCIL,,,85340,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,537614,,Public Health and Borough Council of King's Lynn & West Norfolk funding � various projects 2016/17,,Resources,,,Public Health and Borough Council of King's Lynn & West Norfolk funding � various projects 2016/17,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,17000,,0,KING'S LYNN BOROUGH COUNCIL,,,84258,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,537616,,Public Health and Breckland Council funding � various projects 2016/17,,Resources,,,Public Health and Breckland Council funding � various projects 2016/17,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,17000,,0,BRECKLAND DISTRICT COUNCIL,,,81095,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,537653,,Public Health and Great Yarmouth Borough Council funding 2016/17 various projects,,Resources,,,Public Health and Great Yarmouth Borough Council funding 2016/17 various projects,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,17000,,0,GREAT YARMOUTH BOROUGH COUNCIL,,,79684,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,543159,,Pre-Payment of 2017-18 TeamMate TeamCloud Hosting ,,Finance & Property,,,Pre-Payment of 2017-18 TeamMate TeamCloud Hosting ,ICT-HOSTING,,,,,,,16337.58,,0,WOLTERS KLUWER TAX AND ACCOUNTING LIMITED,,,557509,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,536404,,OC SCH FEES SPRING 2017 AT NEW COLLEGE WORCESTER,,Children's Services,,,OC SCH FEES SPRING 2017 AT NEW COLLEGE WORCESTER,CHILDREN'S-RESIDENTIAL HOMES & SCHOOLS.OOC 38 WEEK SCHOOLS,,,,,,,16183,,0,NEW COLLEGE WORCESTER,,,2258189,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,534428,,Head of HR - Executive recruitment support,,Resources,,,Head of HR - Executive recruitment support,HR-RECRUITMENT.RECRUITMENT OF PERMANENT STAFF,,,,,,,15280,,0,SOLACE GROUP,,,2178014,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,542378,,Professional fees - February 2017,,Community and Environmental Services,,,Professional fees - February 2017,LEGAL.COUNSEL'S FEES,,,,,,,15005.2,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539842,,Grant Payment for: Membership of Research in Practice 2017/18 - Paid to The Dartington Hall Trust,,Children's Services,,,Grant Payment for: Membership of Research in Practice 2017/18 - Paid to The Dartington Hall Trust,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,15000,,0,THE DARTINGTON HALL TRUST,,,68104,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539837,,Plane out 390 sq m to 100mm.Supply & lay 60mm of AC20 base course & compact & 40mm of 30/14HRA with 20mm pre coated chips. TM included - w/c 20 FEB 2017,,Community and Environmental Services,,,Plane out 390 sq m to 100mm.Supply & lay 60mm of AC20 base course & compact & 40mm of 30/14HRA with 20mm pre coated chips. TM included - w/c 20 FEB 2017,HIGHWAYS-SUPPLIES & EQUIPMENT.MATERIALS,,,,,,,14430,,0,N R ASPHALT LTD,,,1109767,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,539440,,October 2016 - December 2016 Rental Charges ,,Finance & Property,,,October 2016 - December 2016 Rental Charges ,FM-RENT & RATES.RENT,,,,,,,13921,,0,NORFOLK & SUFFOLK NHS FOUNDATION TRUST,,,829796,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,535730,,Mid Norfolk CAB payment for the period between the 1/1/17 - 30/6/17,,Adult Social Care,,,Mid Norfolk CAB payment for the period between the 1/1/17 - 30/6/17,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,13919.5,,0,MID NORFOLK CITIZENS ADVICE BUREAU,,,2031945,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540113,,Norfolk Trading Standards - January 2017,,Community and Environmental Services,,,Norfolk Trading Standards - January 2017,LEGAL.COUNSEL'S FEES,,,,,,,13256.53,,0,Redacted,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,535584,,ICT Communications Consultancy and Support- 20 days to 31.12.2016,,Resources,,,ICT Communications Consultancy and Support- 20 days to 31.12.2016,ICT-PROFESSIONAL ADVICE & SERVICES,,,,,,,13000,,0,REGIONAL NETWORK SOLUTIONS LTD,,,2263210,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,04/04/2017,540773,,Provision of Independent Chair for Norfolk Schools Supporting Norfolk Schools - 2016 - 2017 20 x days ,,Children's Services,,,Provision of Independent Chair for Norfolk Schools Supporting Norfolk Schools - 2016 - 2017 20 x days ,SCHOOLS-PROFESSIONAL,,,,,,,12777.6,,0,BEVERLY JONES EDUCATION CONSULTANCY LIMITED,,,705695,,,,,,
