Ratepayer,Property Address,Propref,Billing Address,RV,Property Description,Relief Code
,"7 Ryburn Buildings, West Street, Sowerby Bridge, HX6 3AH",77476007,,5900,Offices and Premises,Empty Relief - Post 01/04/2008
,"51 Winding Road, Halifax, HX1 1SJ",69476051,,3300,Hairdressing Salon and Premises,Awaiting occupation
W R P Holdings Ltd,"Unit 8 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236819,"Fao Mr Calvert, Unit 2, Springvale Works, Elland Road, Brighouse, HD6 2RN",141,Store And Premises,Rateable Value below threshold
Calderdale Mbc,"18 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252732,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2550,Shop and Premises,Listed Building
Network Rail Ltd,"Whiteley Garage, Calderside, Oakville Road, Hebden Bridge        HX7 6NG",76100700,"Network Rail, Payables Property, Po Box 4279, Manchester, M60 3EH",1300,Land Used For Storage and Premises,Rateable Value below threshold
,"2nd Floor, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",76356702,,3600,Workshop And Premises,Listed Building
,"Unit 14, S D H Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",76648755,,260,Office,Rateable Value below threshold
Calderdale Mbc Director Of Leisure Services,"40/41 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252759,"Fao Pam Smithies, Westgate House, Westgate, Halifax, HX1 1PS",5300,Shop and Premises,Listed Building
,"Wellington Street South, Halifax, HX1 2LU",69324709,,1975,Workshop,Empty Property - RV < 15000
Assn Of Islamic Charitable Projects,"Second Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104703,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",12000,Offices And Premises,Listed Building
Calderdale Mbc,"2 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252760,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",5000,Shop and Premises,Listed Building
Burnley Road Academy,"Burnley Road J & I School, Burnley Road, Mytholmroyd, Hebden Bridge       HX7 5DE",76088713,,29500,School and Premises,Flood Relief Application 2015/16
Calderdale Mbc Land & Property Services,"17 Northgate, Halifax, HX1 1UR",68096017,"Northgate House, Northgate, Halifax, HX1 1UN",10250,Shop and Premises,Listed Building
Warmco Space Heating Ltd,"Unit 14D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284721,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",570,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 14B, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284723,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",680,Store,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 15C, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284727,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 15D, Kirklees Steel Works, Grove Street, Brighouse            HD6 1PL",29284728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1500,Store,Rateable Value below threshold
Royds Properties Ltd,"Telecommunication Mast H3G, Wellington Mills, Quebec Street, Elland               HX5 9AS",56196730,"Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",8400,Communication Station and Premises,Unoccupied Land
Warmco Space Heating Ltd,"Unit 201 Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420728,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1025,Office,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 203C Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420722,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",450,Store And Premises,Empty Property - RV < 15000
Assn Of Islamic Charitable Projects,"Ground Floor, Bembridge Park Centre, Francis Street, Halifax              HX1 5JN",65104713,"Fao Mr Shahid Rauf, Sunniyy Centre, Francis Street, Halifax, HX1 5JY",15500,Offices And Premises,Listed Building
,"2 Bridge End, Brighouse, HD6 3DH",29092002,,1825,Office and Premises,Rateable Value below threshold
Calderdale Mbc,"53 Arcade, Piece Hall, Halifax, HX1 1RE",68252770,"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",3300,Shop and Premises,Listed Building
Gradon Estates Ltd,"Grove Inn, Burnley Road, Luddendenfoot, Halifax             HX2 6HS",64448706,"Marsh Dene Farm, Marsh Lane, Southowram, Halifax, HX3 9NR",5100,Public House and Premises,Listed Building
Calderdale Mbc Land & Property Services,"6 The Colonnade, Piece Hall, Halifax, HX1 1RE",68252773,"Northgate House, Northgate, Halifax, HX1 1UN",2500,Shop and Premises,Listed Building
,"33 Northgate, Halifax, HX1 1UR",68096033,,8100,Shop and Premises,Listed Building
Warmco Space Heating Ltd,"Unit 204 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",370,Store And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 1 Grd Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212718,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2550,Warehouse And Premises,Listed Building
Tefonica O2 (Uk) Ltd,"Telecommunication Mast, Site Ref H X 0006, Denholmegate Road, Hipperholme          HX3 8LF",64812746,"Fao Telecoms Rating Team, C/O Cluttons Llp, Portman House, 2 Portman Street, London, W1H 6DU",8700,Communication Station and Premises,Unoccupied Land
,"39 Hanson Lane, Halifax, HX1 5NX",65264039,,1875,Shop and Premises,Empty Property - RV < 15000
,"Unit 4, South Street, Halifax, HX1 2EL",68640711,,980,Workshop And Premises,Empty Property - RV < 15000
Director Of Safer & Stronger Communities,"62/63 Rustic, Piece Hall, Halifax, HX1 1RE",68252792,"Leisure Services, Westgate House, Westgate, Halifax, HX1 1PS",4250,Shop And Premises,Listed Building
,"Norwood Green Cricket Club, Rookes Lane, Norwood Green, Halifax             HX3 8PU",68404700,,1500,Cricket Club And Premises,Empty Property - RV < 15000
,"46 Market Street, Hebden Bridge, HX7 6AA",76360046,,4200,Shop and Premises,Flood Relief Application 2015/16
Binks Executive Homes Ltd,"Unit 1, Low Mill, Wharf Street, Brighouse            HD6 1PP",29636702,"Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",2275,Store And Premises,Empty Property - RV < 15000
Warmco Space Heating Ltd,"Unit 3A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420738,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1400,Store And Premises,Empty Property - RV < 15000
,"15 Rawson Street, Halifax, HX1 1NH",68356015,,12500,Shop and Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 16D, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628837,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1675,Office,Rateable Value below threshold
,"59 Hanson Lane, Halifax, HX1 5NX",65264757,,2075,Shop and Premises,Rateable Value below threshold
Due West Ltd,"16 Horton Street, Halifax, HX1 1PU",65388702,"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",2800,Dance Studio And Premises,Listed Building
,"Telecommunications Mast, Site Ref HD0009 N Vale Mills, Bradford Road, Brighouse            HD6 4DJ",29080753,,8400,Communication Station and Premises,Unoccupied Land
Blackshaw Holdings Ltd,"Unit 32 Birkby House, Birkby Lane, Brighouse, HD6 4JJ",29056720,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1350,Store And Premises,Empty Property - RV < 15000
,"16 Square, Halifax, HX1 1RJ",68700016,,10250,Shop and Premises,Empty Relief - Post 01/04/2008
Bamford Developments Limited Pension Scheme,"Unit 4 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",64824708,"8 St Stephen Street, Manchester, M3 6AY",10000,Offices And Premises,Listed Building
Alco Valves Group Ltd,"Northern Timber Merchants, Gooder Lane, Brighouse, HD6 1HF",29272711,"Mission Works, Birds Royd Lane, Brighouse, HD6 1LQ",104000,Workshop And Premises,Empty Relief - Post 01/04/2008
C2 (General Partner Two) Lp,"Unit 6 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",65626703,"C/O Ryden Llp, Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",7600,Warehouse And Premises,Empty Relief - Post 01/04/2008
Halifax Society For The Blind,"36 Clare Road, Halifax, HX1 2HX",64584036,"Ground Floor, 34 Clare Road, Halifax, HX1 2HX",12000,Offices and Premises,Empty Relief - Post 01/04/2008
Calderdale Mbc Markets Manager,"21/22 Borough Market, Halifax, HX1 1DY",64288704,"19 Albion Street, Halifax, HX1 1DU",7600,Market Hall,Listed Building
,"Unit 5 Lower Brear, Leeds Road, Halifax, HX3 7AG",65612728,,1700,Store &  Premises,Empty Property - RV < 15000
,"5-7 Central Street, Halifax, HX1 1HU",64524708,,21250,Restaurant and Premises,Empty Relief - Post 01/04/2008
Hebden Bridge Sports & Social Club,"8 Albert Street, Hebden Bridge, HX7 8AH",76012008,"Fao Secretary, Francis Young, Albert Street, Hebden Bridge, HX7 8AH",4200,Shop and Premises,Flood Relief Application 2015/16
Kino & Co,"Unit 1E Lwr Grd Flr Sth Mill, White Rose Mill, Holdsworth Road, Holmfield            HX3 6SN",65344829,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",830,Store And Premises,Empty Property - RV < 15000
Pennine Housing 2000,"120 Oak Avenue, Todmorden, OL14 5PD",78340120,"Bull Green House, Bull Green, Halifax, HX1 2EB",2075,Shop and Premises,Empty Property - RV < 15000
Kino & Co,"Office Hm 3.10, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",65344988,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2275,Offices And Premises,Empty Property - RV < 15000
,"17 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",76252017,,1800,Shop And Premises,Flood Relief Application 2015/16
,"228/230 Queens Road, Halifax, HX1 4NE",68308738,,8600,Snooker Club And Premises,Empty Relief - Post 01/04/2008
Revive Property Northern Ltd,"18 Rochdale Road, Todmorden, OL14 7LD",78400803,"21 Dovedale Road, Burnley, BB12 8XD",1750,Shop and Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"""Unauthorised Address"", Unit 11A River Street B Pk, River Street, Brighouse            HD6 1NL",29492742,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2650,Warehouse And Premises,Empty Relief - Post 01/04/2008
Craggs Country Business Park Llp,"Suite 9 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",76400726,"H/O Craggs Country B Park, New Road, Cragg Vale, Hebden Bridge, HX7 5TT",870,Offices And Premises,Empty Property - RV < 15000
Craggs Country Business Park Llp,"Suite 5 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",76400720,"H/O Craggs Country B Park, New Road, Cragg Vale, Hebden Bridge, HX7 5TT",2325,Offices And Premises,Rateable Value below threshold
Dean Clough Ltd,"Site Office Front A & B Mill, Dean Clough Mills, Halifax, HX3 5AX",64296743,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",5300,Offices And Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 18G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628865,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",4600,Offices And Premises,Empty Relief - Post 01/04/2008
Warmco Space Heating Ltd,"Unofficial Address, Unit 202 Victoria Works B Pk, Calder Street, Brighouse            HD6 1LZ",29124734,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",610,Offices And Premises,Rateable Value below threshold
E.P.I.C Plc,"9 Market Street, Brighouse, HD6 1AP",29404009,"Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",3500,Shop and Premises,Empty Relief - Post 01/04/2008
,"Unit 4 Front, 2 Silver Street, Halifax, HX1 1HS",68580730,,2650,Shop and Premises,Listed Building
,"Office Suite D226, Dean Clough Mills, Halifax, HX3 5AX",64778813,,2500,Office,Listed Building
,"Office Suite D 248, Dean Clough Office Park, Halifax, HX3 5AX",64788735,,1050,Office,Rateable Value below threshold
Circuit Electrical Testing Ltd,"Office 6 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ",69360766,"Croft Myl, West Parade, Halifax, HX1 2EQ",850,Offices And Premises,Rateable Value below threshold
,"Unit 3, 2 Silver Street, Halifax, HX1 1HS",68580729,,5200,Shop and Premises,Listed Building
,"208 King Cross Road, Halifax, HX1 3JP",65516208,,8000,Shop and Premises,Empty Relief - Post 01/04/2008
Brogan Business Parks Ltd,"Unit R2, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ",64448828,"C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW",6300,Offices And Premises,Empty Relief - Post 01/04/2008
,"Rear Of Unit 7/8, Queens Road Works, Queens Road, Halifax              HX1 3XY",68308833,,7200,Warehouse And Premises,Qualifying industrial hereditament
Kino & Co,"Top Floor Glass Roof, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344897,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1925,Warehouse And Premises,Rateable Value below threshold
Circuit Electrical Testing Ltd,"Croftmyl, Gf Office A8, West Parade, Halifax              HX1 2EQ",69360758,"Croft Myl, West Parade, Halifax, HX1 2EQ",3900,Offices And Premises,Awaiting occupation
,"Unit 3 The Warehouse, Wood Street, Brighouse, HD6 1PW",29648716,,5200,Workshop And Premises,Qualifying industrial hereditament
A T C Properties Ltd,"Suite 1 First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",65100713,"7 Cottage Road, Headingley, Leeds, LS6 4DD",4000,Offices and Premises,Awaiting occupation
,"3 Batley Street, Lee Mount, Halifax, HX3 5DG",64172003,,2050,Shop and Premises,Rateable Value below threshold
Calderdale Mbc,"PH2K, Todmorden Community College, Burnley Road, Todmorden           OL14 7BX",78076507,"Asset Management Cafm, 1st Floor, Northgate House, HX1 1UN",770,Office,Awaiting occupation
Marrtree Investments Limited,"Unit 6 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",29084783,"4a Greengate, Cadale Park, Harrogate, HG3 1GY",7600,Warehouse And Premises,Qualifying industrial hereditament
F C F M Group Ltd,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",65276708,"295 Kings Road, London, SW3 5EP",10000,Offices and Premises,Listed Building
,"Unit 2C, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge        HX7 5QF",76088891,,13000,Warehouse And Premises,Qualifying industrial hereditament
Dean Clough Ltd,"Office Suite G 426, Dean Clough Mills, Halifax, HX3 5AX",64788853,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",7600,Offices and Premises,Listed Building
Enterprise Inns Plc,"Maggies, 24 Fountain Street, Halifax, HX1 1LW",65100706,"Purchase Ledger Dept, 3 Monkspath Hall Road, Solihull, West Midlands, B90 4SJ",32000,Public House and Premises,Empty Relief - Post 01/04/2008
,"36 Hanson Lane, Halifax, HX1 5NX",65264721,,15250,Youth Centre And Premises,Awaiting occupation
Womencentre Ltd,"25/27 Silver Street, Halifax, HX1 1HS",68580709,"23 Silver Street, Halifax, HX1 1JN",5600,Offices and Premises,Awaiting occupation
,"Office 2, Church View Office Centre, Elland Road, Ripponden            HX6 4DB",77196726,,1975,Offices And Premises,Rateable Value below threshold
,"Unit B2, 49 Pear Street, Halifax, HX1 3UA",68232711,,2950,Workshop And Premises,Qualifying industrial hereditament
Resource Medical (Uk) Ltd,"Trafalgar Inn, Aachen Way, Halifax, HX1 3ND",64004701,"C/O Mr Zulfkar Ahmed, 2 Carlton Avenue, Batley, WF17 7AQ",12250,Public House and Premises,Empty Relief - Post 01/04/2008
Bizspace Ltd,"Unit 16C, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",64628836,"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1525,Office,Rateable Value below threshold
Panan Thai Restaurant Ltd,"16 Town Hall Street, Sowerby Bridge, HX6 2EA",77600737,"F.A.O. Ian M Pollard, Aldwyn, Halifax Road, Triangle, Sowerby Bridge, HX6 3HW",4900,Restaurant and Premises,Flood Relief Application 2015/16
Warmco Space Heating Ltd,"Unit 5 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284735,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2400,Store And Premises,Empty Property - RV < 15000
Shaw Lodge Mills Ltd,"LEVEL-1 The 1830 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526705,"Sunrise House, Hulley Road, Macclesfield, Cheshire, SK10 2LP",4850,Warehouse And Premises,Listed Building
Shaw Lodge Mills Ltd,"Level 3 The 1850 Mill, Shaw Lodge Mills, Shaw Lane, Halifax              HX3 9ET",68526710,"Sunrise House, Hulley Road, Macclesfield, Cheshire, SK10 2LP",5300,Warehouse And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 309 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212749,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",600,Store And Premises,Listed Building
Finn Gledhill & Co,"2 Harrison Road, Halifax, HX1 2AG",65276724,"1/3 Harrison Road, Halifax, HX1 2AG",23500,Offices And Premises,Listed Building
,"4 Huddersfield Road, Brighouse, HD6 1JZ",29344004,,10500,Shop and Premises,Empty Relief - Post 01/04/2008
,"6 Martin House, Martin Street, Brighouse, HD6 1DA",29408704,,2075,Offices and Premises,Empty Property - RV < 15000
Blackshaw Holdings Ltd,"Unit 20 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ",29056754,"St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1600,Offices And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 302 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212764,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",260,Store And Premises,Rateable Value below threshold
Woodfield Enterprises Ltd,"Office 2, Part 1ST Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",29404709,"Woodfield House, Halifax Road, Hipperholme, Halifax, HX3 8HD",2250,Offices And Premises,Listed Building
Kino & Co,"Unit 1.02/1.03, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",65344982,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1600,Warehouse And Premises,Empty Property - RV < 15000
Sharlketh Ltd,"Unit 8 Bridge Mill, St Georges Square, Hebden Bridge, HX7 8ET",76508723,"Bridge Mill, St Georges Square, Hebden Bridge, HX7 8ET",530,Workshop And Premises,Rateable Value below threshold
Warmco Space Heating Ltd,"Unit 3B Wilkin Royd Mills, Mill Lane, Brighouse, HD6 1PN",29420745,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",2500,Warehouse And Premises,Rateable Value below threshold
,"Unit 3, Bridge Mill, St Georges Square, Hebden Bridge       HX7 8ET",76508707,,860,Workshop And Premises,Listed Building
Ppc Uk Ltd (In Administration),"Basement, 1B Dunkirk Mills, Dunkirk Lane, Halifax              HX1 3TA",64852703,"Leonard Curtis, Business Rescue & Recovery, 5 Albion Court, Leeds, LS1 6JL",2075,Warehouse And Premises,Rateable Value below threshold
Williams Inc Ltd,"Room 1, 3 Park Street, Sowerby Bridge, HX6 2BF",77697702,"C/O Mr G Williams, 24 Carlton Grove, Elland, HX5 9PR",1250,Offices And Premises,Rateable Value below threshold
,"45 Crown Street, Halifax, HX1 1JB",64756045,,6000,Restaurant And Premises,Listed Building
Warmco Space Heating Ltd,"Unit 5A Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",56212761,"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",880,Store And Premises,Listed Building
Rosehill Polymers Ltd,"Unit B, Spring Bank Industrial Est., Watson Mill Lane, Sowerby Bridge      HX6 3BW",77644721,"Rose Hill Mills, Beech Road, Sowerby Bridge, HX6 2JT",83500,Factory and Premises,Empty Relief - Post 01/04/2008
Kino & Co,"Suite H M 2.17, Holmfield Mill, Holdsworth Road, Halifax              HX3 6SN",65344958,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",780,Office,Empty Property - RV < 15000
Industrial Supplies Todmorden Ltd,"St Aidans Arts, Bacup Road, Todmorden, OL14 7PJ",78024757,"Part 1st Floor, St Aidans Works, Bacup Road, Todmorden, OL14 7PJ",3350,Workshop And Premises,Empty Relief - Post 01/04/2008
,"Glen Cottage, Woodbine Terrace, Todmorden, OL14 8NL",78532700,,2950,Club and Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Unit 1 F Mill Courtyard, Dean Clough Mills, Halifax, HX3 5AX",64296738,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",13500,Retail Area & Premises,Listed Building
Kino & Co,"Unit 9 White Rose Mill, Holdsworth Road, Halifax, HX3 6SN",65344766,"Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",2500,Store And Premises,Rateable Value below threshold
,"Ground & First Floors, 51 Crown Street, Halifax, HX1 1JB",64756736,,5100,Shop and Premises,Listed Building
,"Jagger Green Hall, Holywell Green, Halifax, HX4 9DE",65452702,,7300,Slaughterhouse and Premises,Empty Relief - Post 01/04/2008
Deanhurst Garages Ltd,"St Giles Road, Lightcliffe, Halifax, HX3 8BG",68720700,"138 Carlinghow Lane, Batley, WF17 8DN",13500,Garage And Premises,Empty Relief - Post 01/04/2008
Dean Clough Ltd,"Unit L3, L Block, Dean Clough Office Park, Halifax              HX3 5AX",64784867,"Office Suite E345, Dean Clough, Halifax, HX3 5AX",800,Store,Listed Building
Bayford & Co Ltd,"1 Hall Street, Brighouse, HD6 1JY",29302701,"Bowcliffe Hall, Bramham, Wetherby, LS23 6LP",12750,Offices and Premises,Listed Building
,"2/3/4 Deal Street, Halifax, HX1 1QX",64780700,,34750,Showroom And Premises,Listed Building
