ORGANISATION NAME,EFFECTIVE DATE,SERVICE,SUPPLIER NAME,PAID DATE,NET AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,ACS BUSINESS SUPPLIES,01/06/2016,850.14,PROVISIONS,V001007929
ROCHDALE BOROUGH COUNCIL,02/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,SUPPLIES TEAM LIMITED,02/06/2016,558.55,PROVISIONS,V001007930
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,FULL CIRCLE CARE,03/06/2016,13285.71,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V001007934
ROCHDALE BOROUGH COUNCIL,09/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,09/06/2016,3946.12,AGILISYS CONTRACT,V001007952
ROCHDALE BOROUGH COUNCIL,09/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,09/06/2016,3946.13,AGILISYS CONTRACT,V001007952
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,AFTER ADOPTION,03/06/2016,2000.00,ACTIVITIES,V001007995
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,REAL TRUST,01/06/2016,913.50,TRAINING-QUALIFICATION,V001008004
ROCHDALE BOROUGH COUNCIL,03/06/2016,PROPERTY AND HIGHWAYS,BOLTON MBC,03/06/2016,2639.29,FEES / COMMISSION,V001008183
ROCHDALE BOROUGH COUNCIL,10/06/2016,PUBLIC HEALTH,PENNINE CARE NHS,10/06/2016,90750.00,PH PENNINE CARE CONTRACT,V001008500
ROCHDALE BOROUGH COUNCIL,08/06/2016,ECONOMY DIRECTORATE,MOOREND DEVELOPMENT TRUST LIMITED,08/06/2016,500.00,ACTIVITIES,V001008519
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,03/06/2016,750.00,ADOPTION PAYMENTS,V001008662
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,03/06/2016,750.00,ADOPTION PAYMENTS,V001008663
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,03/06/2016,750.00,ADOPTION PAYMENTS,V001008664
ROCHDALE BOROUGH COUNCIL,06/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/06/2016,76459.43,AGILISYS CONTRACT,V001009409
ROCHDALE BOROUGH COUNCIL,06/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/06/2016,3946.12,AGILISYS CONTRACT,V001009410
ROCHDALE BOROUGH COUNCIL,06/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/06/2016,3946.13,AGILISYS CONTRACT,V001009410
ROCHDALE BOROUGH COUNCIL,06/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,06/06/2016,93851.74,AGILISYS CONTRACT,V001009411
ROCHDALE BOROUGH COUNCIL,02/06/2016,PUBLIC HEALTH,HM PARTNERSHIPS,02/06/2016,2370.33,PH NETWORK COSTS,V001009443
ROCHDALE BOROUGH COUNCIL,07/06/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,07/06/2016,1908.67,MISC CHARGES,V001009555
ROCHDALE BOROUGH COUNCIL,07/06/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,07/06/2016,22891.18,MEALS,V001009556
ROCHDALE BOROUGH COUNCIL,15/06/2016,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,15/06/2016,1702.10,RESIDENTIAL RESPITE - CHILDRENS SERVICES,V001009645
ROCHDALE BOROUGH COUNCIL,02/06/2016,EARLY HELP AND SCHOOLS,UNITY PARTNERSHIP LTD,02/06/2016,2365.00,OTHER SURVEYS,V001009698
ROCHDALE BOROUGH COUNCIL,10/06/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,10/06/2016,2120.00,ROADWORKS,V001009699
ROCHDALE BOROUGH COUNCIL,10/06/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,10/06/2016,17700.00,IMPROVEMENTS-MODERNISATION,V001009700
ROCHDALE BOROUGH COUNCIL,02/06/2016,EARLY HELP AND SCHOOLS,UNITY PARTNERSHIP LTD,02/06/2016,2900.00,OTHER SURVEYS,V001009701
ROCHDALE BOROUGH COUNCIL,06/06/2016,LEARNING DIS & MENTAL HEALTH,ST VINCENTS HOUSING ASSOCIATION,06/06/2016,541.44,RENTS,V001009725
ROCHDALE BOROUGH COUNCIL,06/06/2016,LEARNING DIS & MENTAL HEALTH,ST VINCENTS HOUSING ASSOCIATION,06/06/2016,551.56,RENTS,V001009745
ROCHDALE BOROUGH COUNCIL,01/06/2016,CHILDREN’S SOCIAL CARE,MIDDLETON PSYCHOLOGY LIMITED,01/06/2016,677.60,MEDICAL FEES,V001009808
ROCHDALE BOROUGH COUNCIL,16/06/2016,EARLY HELP AND SCHOOLS,SPORT WORKS,16/06/2016,8654.34,ACTIVITIES,V001009815
ROCHDALE BOROUGH COUNCIL,14/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,14/06/2016,5021.00,AGILISYS CONTRACT,V001009889
ROCHDALE BOROUGH COUNCIL,14/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,AGILISYS LIMITED,14/06/2016,4711.00,AGILISYS CONTRACT,V001009890
ROCHDALE BOROUGH COUNCIL,28/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CAPITA BUSINESS SERVICES LIMITED,28/06/2016,-1432.44,SOFTWARE,V001009914
ROCHDALE BOROUGH COUNCIL,03/06/2016,EARLY HELP AND SCHOOLS,CUMBERLAND SCHOOL,03/06/2016,935.00,TRAVELLING GENERAL EXPENSES,V001010496
ROCHDALE BOROUGH COUNCIL,10/06/2016,PHYSICAL DIS & OLDER PEOPLE,LINK ABILITY,10/06/2016,933.12,PERSONAL BUDGETS - MANAGED,V001010534
ROCHDALE BOROUGH COUNCIL,08/06/2016,ECONOMY DIRECTORATE,TALKTALK BUSINESS,08/06/2016,631.96,TELEPHONE EXPENDITURE,V001010570
ROCHDALE BOROUGH COUNCIL,27/06/2016,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,27/06/2016,3020.00,FOSTER PARENTS BASIC ALLOWANCE,V001010618
ROCHDALE BOROUGH COUNCIL,14/06/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,14/06/2016,2122.96,CONSULTANTS FEES,V001010657
ROCHDALE BOROUGH COUNCIL,14/06/2016,PROPERTY AND HIGHWAYS,UNITY PARTNERSHIP LTD,14/06/2016,8491.74,CONSULTANTS FEES,V001010669
ROCHDALE BOROUGH COUNCIL,10/06/2016,EARLY HELP AND SCHOOLS,UNITY PARTNERSHIP LTD,10/06/2016,535.00,OTHER SURVEYS,V001010735
ROCHDALE BOROUGH COUNCIL,21/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,BRENTWOOD,21/06/2016,16425.00,GRANTS TO THE VOLUNTARY SECTOR,V001010759
ROCHDALE BOROUGH COUNCIL,02/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,NATIONAL  STAGE TECHNOLOGY LTD,02/06/2016,560.00,HOSPITALITY,V001010767
ROCHDALE BOROUGH COUNCIL,03/06/2016,CHILDREN’S SOCIAL CARE,CARITAS CARE LTD,03/06/2016,2142.86,FOSTER PARENTS BASIC ALLOWANCE,V001010773
ROCHDALE BOROUGH COUNCIL,06/06/2016,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,06/06/2016,1539.00,FOSTER PARENTS BASIC ALLOWANCE,V001010774
ROCHDALE BOROUGH COUNCIL,06/06/2016,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,06/06/2016,3020.00,FOSTER PARENTS BASIC ALLOWANCE,V001010776
ROCHDALE BOROUGH COUNCIL,06/06/2016,CHILDREN’S SOCIAL CARE,CLASSIC FOSTER CARE LIMITED,06/06/2016,1600.00,FOSTER PARENTS BASIC ALLOWANCE,V001010779
ROCHDALE BOROUGH COUNCIL,01/06/2016,PUBLIC HEALTH,GORGEMEAD LTD,01/06/2016,561.99,PH LCS PAYMENTS,V001010835
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,GEOWISE LTD,01/06/2016,4150.43,SOFTWARE,V001010845
ROCHDALE BOROUGH COUNCIL,17/06/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,17/06/2016,1032.02,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001010880
ROCHDALE BOROUGH COUNCIL,17/06/2016,EARLY HELP AND SCHOOLS,AXIOM EDUCATION (ROCHDALE) LIMITED,17/06/2016,2517.20,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V001010881
ROCHDALE BOROUGH COUNCIL,02/06/2016,PROPERTY AND HIGHWAYS,BEXAN LTD,02/06/2016,566.60,PROPERTY - WORKS ELEMENT,V001010892
ROCHDALE BOROUGH COUNCIL,02/06/2016,PROPERTY AND HIGHWAYS,BEXAN LTD,02/06/2016,3078.10,PROPERTY - WORKS ELEMENT,V001010892
ROCHDALE BOROUGH COUNCIL,02/06/2016,PROPERTY AND HIGHWAYS,BEXAN LTD,02/06/2016,728.94,TRANSACTIONS-EXPENDITURE,V001010892
ROCHDALE BOROUGH COUNCIL,16/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/06/2016,3324.89,ENERGY COSTS,V001010898
ROCHDALE BOROUGH COUNCIL,02/06/2016,PUBLIC HEALTH,BIG LIFE CENTRES,02/06/2016,249149.16,PH BIG LIFE CONTRACT,V001010981
ROCHDALE BOROUGH COUNCIL,09/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,AVANTI GAS LTD,09/06/2016,3608.07,OIL,V001010996
ROCHDALE BOROUGH COUNCIL,01/06/2016,PHYSICAL DIS & OLDER PEOPLE,DR BABATUNDE ADENIJI,01/06/2016,520.11,EXPENSES - GENERAL,V001011021
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,EMO OIL LIMITED,01/06/2016,25649.13,TRANSACTIONS-EXPENDITURE,V001011029
ROCHDALE BOROUGH COUNCIL,03/06/2016,PUBLIC HEALTH,PURPLE TREE,03/06/2016,810.00,TRAINING,V001011040
ROCHDALE BOROUGH COUNCIL,02/06/2016,CHILDREN’S SOCIAL CARE,FOSTER CARES LTD,02/06/2016,830.00,FOSTER PARENTS BASIC ALLOWANCE,V001011044
ROCHDALE BOROUGH COUNCIL,13/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,13/06/2016,572.11,VEHICLE MAINTENANCE,V001011051
ROCHDALE BOROUGH COUNCIL,02/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,NO GRAFFITI LTD,02/06/2016,1550.00,CONTRACTED SERVICES,V001011059
ROCHDALE BOROUGH COUNCIL,10/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,THE PENNINE ACUTE HOSPITALS NHS TRUST,10/06/2016,24717.00,MORTUARY CHARGES,V001011093
ROCHDALE BOROUGH COUNCIL,02/06/2016,ECONOMY DIRECTORATE,NO WORRIES IT LTD,02/06/2016,2070.00,BASIC SALARIES,V001011097
ROCHDALE BOROUGH COUNCIL,10/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,THE PENNINE ACUTE HOSPITALS NHS TRUST,10/06/2016,21411.00,MORTUARY CHARGES,V001011098
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,EMO OIL LIMITED,01/06/2016,3621.71,OIL,V001011101
ROCHDALE BOROUGH COUNCIL,16/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,16/06/2016,553.80,CHILDRENS POST MORTEMS,V001011109
ROCHDALE BOROUGH COUNCIL,16/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,16/06/2016,1280.88,HISTOLOGY PAYMENTS,V001011109
ROCHDALE BOROUGH COUNCIL,16/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS TRUST,16/06/2016,600.00,MORTUARY CHARGES,V001011109
ROCHDALE BOROUGH COUNCIL,16/06/2016,ECONOMY DIRECTORATE,CORONA ENERGY RETAIL 4 LIMITED,16/06/2016,2351.38,GAS,V001011113
ROCHDALE BOROUGH COUNCIL,02/06/2016,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,02/06/2016,700.00,FEES / COMMISSION,V001011141
ROCHDALE BOROUGH COUNCIL,02/06/2016,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,02/06/2016,2800.00,FEES / COMMISSION,V001011142
ROCHDALE BOROUGH COUNCIL,02/06/2016,PHYSICAL DIS & OLDER PEOPLE,ACTION FIRST IPEOPLE LTD,02/06/2016,1050.00,FEES / COMMISSION,V001011146
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD,03/06/2016,8425.00,EQUIPMENT - GENERAL,V001011153
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD,03/06/2016,12073.00,EQUIPMENT - GENERAL,V001011155
ROCHDALE BOROUGH COUNCIL,03/06/2016,PUBLIC HEALTH,STRAND PHARMACY,03/06/2016,1163.76,PH LCS PAYMENTS,V001011262
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE & DIST CITIZENS ADVICE BUREAU,01/06/2016,34583.33,CITIZENS ADVICE BUREAU,V001011271
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,SKYLIGHT CIRCUS ARTS,01/06/2016,1702.75,ACTIVITIES,V001011273
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,TURNING POINT SERVICES LIMITED,01/06/2016,15166.66,CONTRACTED SERVICES,V001011275
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,LINK4LIFE (CHARITY),01/06/2016,9351.91,ACTIVITIES,V001011276
ROCHDALE BOROUGH COUNCIL,01/06/2016,PUBLIC HEALTH,LINK4LIFE (CHARITY),01/06/2016,12250.00,LINK 4 LIFE CONTRACT,V001011277
ROCHDALE BOROUGH COUNCIL,01/06/2016,PUBLIC HEALTH,LINK4LIFE (CHARITY),01/06/2016,234681.00,LINK 4 LIFE CONTRACT,V001011277
ROCHDALE BOROUGH COUNCIL,01/06/2016,PUBLIC HEALTH,LINK4LIFE (TRADING),01/06/2016,6225.00,LINK 4 LIFE CONTRACT,V001011278
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,PENNINE CARE NHS,01/06/2016,143727.00,CONTRACTED SERVICES,V001011279
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE FOODBANK,01/06/2016,750.00,SUPPLIES AND SERVICES PROVISION,V001011286
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE BOROUGHWIDE HOUSING,01/06/2016,50651.67,CONTRACTS,V001011289
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,ENLIGHTENING,01/06/2016,2695.91,ACTIVITIES,V001011290
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,RAINBOW TRUST CHILDRENS CHARITY,01/06/2016,1250.00,ACTIVITIES,V001011291
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,01/06/2016,3320.83,ACTIVITIES,V001011292
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,BARNARDOS,01/06/2016,31005.51,ACTIVITIES,V001011293
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,CAUDWELL CHILDREN,01/06/2016,3673.50,ACTIVITIES,V001011294
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,ROCHDALE GATEWAY LEISURE LIMITED,01/06/2016,1088.31,ACTIVITIES,V001011296
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,RAINBOW SCENT,01/06/2016,2831.96,ACTIVITIES,V001011297
ROCHDALE BOROUGH COUNCIL,22/06/2016,ECONOMY DIRECTORATE,FIRST GROUP PLC,22/06/2016,798.00,STUDENT TRAVEL,V001011734
ROCHDALE BOROUGH COUNCIL,15/06/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,15/06/2016,4248.75,ACTIVITIES,V001011793
ROCHDALE BOROUGH COUNCIL,15/06/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,15/06/2016,982.50,ACTIVITIES,V001011795
ROCHDALE BOROUGH COUNCIL,15/06/2016,EARLY HELP AND SCHOOLS,CROSSROADS CARE IN GREATER MANCHESTER,15/06/2016,720.00,ACTIVITIES,V001011802
ROCHDALE BOROUGH COUNCIL,01/06/2016,EARLY HELP AND SCHOOLS,PULSE HEALTHCARE LTD,01/06/2016,729.36,HOME CARE - CHILDRENS SERVICES,V001011806
ROCHDALE BOROUGH COUNCIL,03/06/2016,EARLY HELP AND SCHOOLS,FAMILY ACTION,03/06/2016,15319.35,GRANTS TO THE VOLUNTARY SECTOR,V001011812
ROCHDALE BOROUGH COUNCIL,16/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CORONA ENERGY RETAIL 4 LIMITED,16/06/2016,1925.63,GAS,V001011820
ROCHDALE BOROUGH COUNCIL,03/06/2016,EARLY HELP AND SCHOOLS,FRS ROOFING SERVICES LIMITED,03/06/2016,19560.42,IMPROVEMENTS-MODERNISATION,V001011823
ROCHDALE BOROUGH COUNCIL,03/06/2016,PROPERTY AND HIGHWAYS,TOMAX BUILDING SERVICES LTD,03/06/2016,6409.01,IMPROVEMENTS-MODERNISATION,V001011824
ROCHDALE BOROUGH COUNCIL,03/06/2016,LEARNING DIS & MENTAL HEALTH,OFFICE DEPOT UK LIMITED,03/06/2016,1388.80,PRINTING & STATIONERY,V001011826
ROCHDALE BOROUGH COUNCIL,06/06/2016,FINANCE SERVICES,SUPPLIES TEAM LIMITED,06/06/2016,669.00,PRINTING & STATIONERY,V001011837
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,J A CRYER EXCAVATION & GROUNDWORK CONTRACTORS LTD,03/06/2016,740.00,EQUIPMENT - GENERAL,V001011838
ROCHDALE BOROUGH COUNCIL,01/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE SIGNS LIMITED,01/06/2016,820.00,EQUIPMENT - GENERAL,V001011840
ROCHDALE BOROUGH COUNCIL,06/06/2016,CHILDREN’S SOCIAL CARE,ASS OF DIRECTORS OF CHILDREN`S SERVICES LTD,06/06/2016,780.00,SUBSCRIPTIONS,V001011845
ROCHDALE BOROUGH COUNCIL,01/06/2016,PUBLIC HEALTH,VIRGIN CARE SERVICES LIMITED,01/06/2016,268556.00,PH PENNINE CARE CONTRACT,V001011851
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,BOWSER SUPPLY LIMITED,03/06/2016,1925.00,EQUIPMENT - GENERAL,V001011868
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,03/06/2016,44951.11,CONTRACTED SERVICES,V001011882
ROCHDALE BOROUGH COUNCIL,09/06/2016,ECONOMY DIRECTORATE,JAMES HALL  CO LTD,09/06/2016,2486.25,PROFESSIONAL FEES,V001011884
ROCHDALE BOROUGH COUNCIL,06/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,GLENDALE HORTICULTURE LTD,06/06/2016,1026.05,"TREES, SHRUBS, PLANTS",V001011908
ROCHDALE BOROUGH COUNCIL,06/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,GLENDALE HORTICULTURE LTD,06/06/2016,2872.00,"TREES, SHRUBS, PLANTS",V001011908
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,03/06/2016,1750.00,CAPITAL SALARIES,V001011913
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,STHREE PARTNERSHIP LLP,03/06/2016,1300.00,CAPITAL SALARIES,V001011914
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,EC CREATIVE SERVICES LTD,03/06/2016,4950.00,EQUIPMENT - GENERAL,V001011951
ROCHDALE BOROUGH COUNCIL,03/06/2016,NEIGHBOURHOODS AND ENVIRONMENT,CARIBOU GREEN WARMTH LLP,03/06/2016,3684.50,PROPERTY REFURBISHMENT (HOUSING),V001011955
ROCHDALE BOROUGH COUNCIL,08/06/2016,CHILDREN’S SOCIAL CARE,SUSAN MCCOLL & ASSOCIATES,08/06/2016,629.62,MEDICAL FEES,V001011971
ROCHDALE BOROUGH COUNCIL,28/06/2016,EARLY HELP AND SCHOOLS,DIOCESE OF SALFORD,28/06/2016,141303.00,IMPROVEMENTS-MODERNISATION,V001011972
ROCHDALE BOROUGH COUNCIL,07/06/2016,EARLY HELP AND SCHOOLS,HEALTH & SAFETY SOLUTIONS (NW) LTD,07/06/2016,675.00,TRAINING-QUALIFICATION,V001011974
