Organisation name,Organisation code,Effective date,Contract Reference Number,Open Contracting ID,Title of agreement,Contract type,Directorate/service responsible,Service category label,Service category URI,Description of goods and services,Procurement classification: Council's procurement category label,Procurement classification: Proclass label,Procurement classification: CPV code,Contract Start Date,End Date,Review date,Last extension date,Contract value,Fixed cost/estimated cost,Irrecoverable VAT,Supplier Name,Supplier registered company number,Supplier registered charity number,Other supplier ID,SME supplier,VCSE supplier,VCSE supplier type,Nominated contact point: name,Nominated contact point: email,Nominated contact point: URL
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,524683,,Funding for Health and Social Care Sector Skills Action Plan Project Officer,,Adult Social Care,,,Funding for Health and Social Care Sector Skills Action Plan Project Officer,GRANTS.GRANTS TO BUSINESSES,,,,,,,45000,,0,SUFFOLK BROKERAGE LIMITED,,,2146086,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527449,,NHS Great Yarmouth and Waveney CCG - 1.4.16 - 30.9.16 Designated Clinical Officer for SEND Reforms support,,Children's Services,,,NHS Great Yarmouth and Waveney CCG - 1.4.16 - 30.9.16 Designated Clinical Officer for SEND Reforms support,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,43000.39,,0,NHS GREAT YARMOUTH AND WAVENEY CCG,,,1235767,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527376,,To supply and install a hooped cycle rack at County Hall.,,Finance & Property,,,To supply and install a hooped cycle rack at County Hall.,FM-FURNITURE & EQUIPMENT.OFFICE (CAPITAL),,,,,,,36680.25,,0,MARSHALLS MONO LIMITED,,,71752,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,524586,,Overview Report Author for Safeguarding Adults Review,,Adult Social Care,,,Overview Report Author for Safeguarding Adults Review,RESEARCH AND EVALUATION,,,,,,,34157.7,,0,CHRIS BRABBS CONSULTANCY LTD,,,2136964,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528703,,Grant payment,,Children's Services,,,Grant payment,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,27500,,0,SOUTH NORFOLK DISTRICT COUNCIL,,,74707,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531996,,Snetterton Lo-Cal Flare,,Community and Environmental Services,,,Snetterton Lo-Cal Flare,WASTE-LANDFILL MAINTENANCE,,,,,,,26603,,0,LANDFILL SYSTEMS MAINTENANCE LTD,,,1330779,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525414,,Grant payment to: Suffolk County Council (SNITT) for Schools Direct Salaried Grant Academic Year 2016-17 - Nov 16 Allocation for Bawburgh Primary School & Sheringham CP School.,,Children's Services,,,Grant payment to: Suffolk County Council (SNITT) for Schools Direct Salaried Grant Academic Year 2016-17 - Nov 16 Allocation for Bawburgh Primary School & Sheringham CP School.,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,26400,,0,SUFFOLK COUNTY COUNCIL,,,75016,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527899,,NORFOLK CC CONTRIBUTION TOWARDS TRAFFIC SIGNAL REPLACEMENT JUNCTION OF CHARTWELL RD/SPIXWORTH RD/ST CLEMENTS HILL PE4126,,Community and Environmental Services,,,NORFOLK CC CONTRIBUTION TOWARDS TRAFFIC SIGNAL REPLACEMENT JUNCTION OF CHARTWELL RD/SPIXWORTH RD/ST CLEMENTS HILL PE4126,HIGHWAYS-WORKS.ROUTINE MAINTENANCE,,,,,,,25000,,0,NORWICH CITY COUNCIL,,,85426,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531260,,Essex Museum Development Grant 2016-17 ref. SMD-2016-5,,Community and Environmental Services,,,Essex Museum Development Grant 2016-17 ref. SMD-2016-5,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,25000,,0,ESSEX COUNTY COUNCIL,,,68763,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,511376,,NDR- Norwich Airport -  ATC access arrangement works - Exemption code 231-16,,Community and Environmental Services,,,NDR- Norwich Airport -  ATC access arrangement works - Exemption code 231-16,HIGHWAYS-WORKS.CAPITAL SCHEMES,,,,,,,24999.99,,0,NORWICH AIRPORT LIMITED,,,72597,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527463,,To supply & Fit The Quoted Furniture As Per Final Agreed Excel Sheet Emailed 30.9.16,,Children's Services,,,To supply & Fit The Quoted Furniture As Per Final Agreed Excel Sheet Emailed 30.9.16,FM-FURNITURE & EQUIPMENT.OFFICE,,,,,,,24700.79,,0,EVERYTHING OFFICE LTD,,,155180,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525800,,Grant funding 2016/17 - provision of a HLS to vunrable & or housebound people & those in residential care (Libraries Books at Home Service),,Community and Environmental Services,,,Grant funding 2016/17 - provision of a HLS to vunrable & or housebound people & those in residential care (Libraries Books at Home Service),GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,23330,,0,ROYAL VOLUNTARY SERVICE,,,1979933,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,513393,,Reimbursement for role as Norfolk & waveney STP Interim Programme Director July - 5 Sept 2016,,Adult Social Care,,,Reimbursement for role as Norfolk & waveney STP Interim Programme Director July - 5 Sept 2016,RESEARCH AND EVALUATION,,,,,,,21847.15,,0,NHS SOUTH NORFOLK CCG,,,1248816,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525413,,Grant payment to: Suffolk County Council (SNITT) for Schools Direct Salaried Grant Academic Year 2016-17 - Oct 16 Allocation for Bawburgh Primary School & Sheringham CP School,,Children's Services,,,Grant payment to: Suffolk County Council (SNITT) for Schools Direct Salaried Grant Academic Year 2016-17 - Oct 16 Allocation for Bawburgh Primary School & Sheringham CP School,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,21600,,0,SUFFOLK COUNTY COUNCIL,,,75016,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,526363,,Grant payment to: Confirmation only invoice 151412 Reading Adventures (Brave New Reads) project delivery costs. ,,Community and Environmental Services,,,Grant payment to: Confirmation only invoice 151412 Reading Adventures (Brave New Reads) project delivery costs. ,GRANTS.GRANTS TO BUSINESSES,,,,,,,19234.23,,0,WRITERS CENTRE NORWICH,,,181124,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525315,,NPLAW locum solicitor - Sept16-Dec16,,Resources,,,NPLAW locum solicitor - Sept16-Dec16,LEGAL.SOLICITORS,,,,,,,18000,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525363,,"PHS Experian Mosaic PS licence, FVMD licence and MicroMarketer Generation 3 licence 2016 17",,Resources,,,"PHS Experian Mosaic PS licence, FVMD licence and MicroMarketer Generation 3 licence 2016 17",ICT-SOFTWARE & SAAS,,,,,,,17610.12,,0,EXPERIAN LIMITED,,,82689,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531490,,"Promethean ActivPanel Touch 65"" (V4) - 2 x Pens and Cable Pack included. Includes access to ActivInspire Professional 7  Edition, comes with 5 years Onsite Warranty Quotation 707",,Children's Services,,,"Promethean ActivPanel Touch 65"" (V4) - 2 x Pens and Cable Pack included. Includes access to ActivInspire Professional 7  Edition, comes with 5 years Onsite Warranty Quotation 707",AUDIO VISUAL EQUIPMENT,,,,,,,17465,,0,CDEC LIMITED,,,295446,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525316,,NPLAW locum solicitor - Nov16-Mar17,,Resources,,,NPLAW locum solicitor - Nov16-Mar17,LEGAL.SOLICITORS,,,,,,,17000,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,508210,,Executive search - Head of Communications (including expenses),,Resources,,,Executive search - Head of Communications (including expenses),HR-RECRUITMENT.RECRUITMENT OF PERMANENT STAFF,,,,,,,16596.35,,0,GATENBY SANDERSON LTD,,,90313,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525072,,Market Development Fund - Day Services - Grant to start on the 1st of October 2016,,Adult Social Care,,,Market Development Fund - Day Services - Grant to start on the 1st of October 2016,GRANTS.GRANTS TO BUSINESSES,,,,,,,15000,,0,THE GUILD CIC (SOCIAL ECONOMY SERVICES),,,1035766,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528102,,Invoice Number: 98520 - Professional Fees - Employment Tribunal Case 3401010/2015,,Children's Services,,,Invoice Number: 98520 - Professional Fees - Employment Tribunal Case 3401010/2015,LEGAL.SOLICITORS,,,,,,,14500,,0,Redacted � Personal Data,,,Redacted,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525087,,Invoice I0013977 Rental costs for properties for the period between October 2015 - December 2015 - Gateway House,,Finance & Property,,,Invoice I0013977 Rental costs for properties for the period between October 2015 - December 2015 - Gateway House,FM-RENT & RATES.RENT,,,,,,,13921,,0,NORFOLK & SUFFOLK NHS FOUNDATION TRUST,,,829796,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528567,,Rent for 16/17 @ Gateway House,,Finance & Property,,,Rent for 16/17 @ Gateway House,FM-RENT & RATES.RENT,,,,,,,13921,,0,NORFOLK & SUFFOLK NHS FOUNDATION TRUST,,,829796,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528568,,Rent for 16/17 @ Gateway House,,Finance & Property,,,Rent for 16/17 @ Gateway House,FM-RENT & RATES.RENT,,,,,,,13921,,0,NORFOLK & SUFFOLK NHS FOUNDATION TRUST,,,829796,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,521435,,Station End Equipment Maintenance 01/04/2016-31/03/2017        13878.00,,Community and Environmental Services,,,Station End Equipment Maintenance 01/04/2016-31/03/2017        13878.00,"ICT-NETWORKS, TELEPHONY & RADIOCOMMS",,,,,,,13878,,0,TELENT TECHNOLOGY SERVICES LTD,,,2180000,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528948,,30 Days support - Raising the attainment of Looked After Children,,Children's Services,,,30 Days support - Raising the attainment of Looked After Children,GRANTS.GRANTS TO BUSINESSES,,,,,,,13500,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,532536,,Grant payment to Norfolk & Suffolk Care Support Ltd  for Jobs Fairs and Care Certificate Training,,Adult Social Care,,,Grant payment to Norfolk & Suffolk Care Support Ltd  for Jobs Fairs and Care Certificate Training,GRANTS.GRANTS TO BUSINESSES,,,,,,,13350,,0,NORFOLK & SUFFOLK CARE SUPPORT LIMITED,,,72464,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,532037,,PK2014 Honingham Section 4 - Cost of patching works on A47 for completion of Section 6 Agreement and route reclassification signage,,Community and Environmental Services,,,PK2014 Honingham Section 4 - Cost of patching works on A47 for completion of Section 6 Agreement and route reclassification signage,HIGHWAYS-WORKS.EARLY CONTRACTOR INVOLVEMENT,,,,,,,12834.83,,0,HIGHWAYS ENGLAND COMPANY LIMITED,,,1788767,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,516018,,"Norfolk County Council Annual PSN IT Health Check as per page 9 of SureCloud proposal, dated 8th June 2016",,Resources,,,"Norfolk County Council Annual PSN IT Health Check as per page 9 of SureCloud proposal, dated 8th June 2016",ICT-PROFESSIONAL ADVICE & SERVICES,,,,,,,12750,,0,SURECLOUD LTD,,,1138813,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528124,,Norwich Cordon Monitoring Surveys,,Community and Environmental Services,,,Norwich Cordon Monitoring Surveys,HIGHWAYS-PROFESSIONAL SERVICES.VISUAL ROAD AND FOOTWAY SURVEY,,,,,,,12690,,0,TRAFFIC SURVEY PARTNERS UK LTD,,,1254810,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528142,,MS183 Prince of Wales Road Surveys,,Community and Environmental Services,,,MS183 Prince of Wales Road Surveys,HIGHWAYS-PROFESSIONAL SERVICES.VISUAL ROAD AND FOOTWAY SURVEY,,,,,,,12220,,0,TRAFFIC SURVEY PARTNERS UK LTD,,,1254810,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,530207,,Grant payment to: Broadland District Council,,Community and Environmental Services,,,Grant payment to: Broadland District Council,GRANTS.GRANTS TO OTHER PUBLIC BODIES,,,,,,,12000,,0,BROADLAND DISTRICT COUNCIL,,,81165,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,529958,,Claydon Architectural Metalwork Ltd � Gates West Meadows Ipswich,,Community and Environmental Services,,,Claydon Architectural Metalwork Ltd � Gates West Meadows Ipswich,FM-BUILDING MAINTENANCE.GENERAL BUILDERS,,,,,,,11469,,0,CLAYDON ARCHITECTURAL METALWORK LTD,,,2238142,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,522976,,25 day support to raise the attainment of looked after children,,Children's Services,,,25 day support to raise the attainment of looked after children,SCHOOLS-PROFESSIONAL,,,,,,,11250,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,526660,,25 additional day to raise the attainment of looked after children,,Children's Services,,,25 additional day to raise the attainment of looked after children,GRANTS.GRANTS TO BUSINESSES,,,,,,,11250,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,529100,,Piece of web design and discovery work to support the new Ecommerce strand of the customer services strategy.,,Community and Environmental Services,,,Piece of web design and discovery work to support the new Ecommerce strand of the customer services strategy.,COMMUNICATIONS-WEB DESIGN & HOSTING,,,,,,,11200,,0,MANDO GROUP LTD,,,2117001,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525659,,NPLAW Ref: BA-45550 Case Ref: 72773 Dated: 05OCT16 - Work from 30JUN16 to 21JUL16,,Resources,,,NPLAW Ref: BA-45550 Case Ref: 72773 Dated: 05OCT16 - Work from 30JUN16 to 21JUL16,LEGAL.COUNSEL'S FEES,,,,,,,11076.9,,0,Redacted � Personal Data,,,Redacted,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,529777,,30 x player kits as per quote 1079,,Children's Services,,,30 x player kits as per quote 1079,EDUCATION & LEARNING MATERIALS & EQUIPT,,,,,,,11071.8,,0,LOUDER THAN LIFE,,,2237134,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,526625,,Salvation Army ARC Grant Costs 16/17,,Adult Social Care,,,Salvation Army ARC Grant Costs 16/17,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,10640,,0,THE SALVATION ARMY NORWICH,,,73331,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527700,,Drilling and Re-circulation wells at Snetterton Landfill Site:,,Community and Environmental Services,,,Drilling and Re-circulation wells at Snetterton Landfill Site:,WASTE-LANDFILL MAINTENANCE,,,,,,,10023.4,,0,SOUTH TYNE DRILLING LTD,,,819779,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,504439,,Audio & Verbatim Transcription - SSCTR Cases - call off purchase order for SSCTR cases on behalf of NPLAW from Apr16-Mar17,,Resources,,,Audio & Verbatim Transcription - SSCTR Cases - call off purchase order for SSCTR cases on behalf of NPLAW from Apr16-Mar17,LEGAL.MEDICAL REPORTS,,,,,,,10000,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531406,,To cover all 2016/17 SAR review costs,,Adult Social Care,,,To cover all 2016/17 SAR review costs,RESEARCH AND EVALUATION,,,,,,,10000,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,531785,,Highways and Transport.  Bus stop infrastructure support from First bus.  2016/17,,Community and Environmental Services,,,Highways and Transport.  Bus stop infrastructure support from First bus.  2016/17,HIGHWAYS-WORKS.CAPITAL SCHEMES,,,,,,,10000,,0,FIRST GROUP PLC,,,68966,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,529099,,Design work for the Museums website for NCC: Payment % following delivery of Project initiation and user stories workshop. Part 1.,,Community and Environmental Services,,,Design work for the Museums website for NCC: Payment % following delivery of Project initiation and user stories workshop. Part 1.,COMMUNICATIONS-WEB DESIGN & HOSTING,,,,,,,9996,,0,MANDO GROUP LTD,,,2117001,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,487909,,SureCloud - Internal and External Penetration Testing / IT Health CHECK - Scope of works added as an attachment. 11 days @ �900 per day,,Resources,,,SureCloud - Internal and External Penetration Testing / IT Health CHECK - Scope of works added as an attachment. 11 days @ �900 per day,ICT-PROFESSIONAL ADVICE & SERVICES,,,,,,,9900,,0,SURECLOUD LTD,,,1138813,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528779,,Grant payment to:Thetford Music Project ,,Children's Services,,,Grant payment to:Thetford Music Project ,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,9000,,0,THETFORD MUSIC PROJECT,,,177836,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,527211,,Grant payment to:Sistema in Norwich Teen Sistema ,,Children's Services,,,Grant payment to:Sistema in Norwich Teen Sistema ,GRANTS.GRANTS TO BUSINESSES,,,,,,,8840,,0,NORWICH AND NORFOLK COMMUNITY ARTS LIMITED,,,72596,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,529114,,Leadership Development CLST Diagnostic Phase and Session 1,,Resources,,,Leadership Development CLST Diagnostic Phase and Session 1,HR-TRAINING,,,,,,,8802.91,,0,ODYSSEY GROUP LTD,,,2172969,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528113,,Grant payment to: YMCA Norfolk Satellite Club commissioning agreement first payment Oct 16 ,,Community and Environmental Services,,,Grant payment to: YMCA Norfolk Satellite Club commissioning agreement first payment Oct 16 ,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,8000,,0,YMCA ENGLAND,,,354985,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,528235,,Locum Solicitor - Oct 2016 - Dec 2016,,Resources,,,Locum Solicitor - Oct 2016 - Dec 2016,LEGAL.SOLICITORS,,,,,,,8000,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,504521,,NPLAW locum solicitor - Sept16-Dec16,,Resources,,,NPLAW locum solicitor - Sept16-Dec16,LEGAL.SOLICITORS,,,,,,,8000,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,529805,,Renewal of annual subscription to Citizen Space online consultation programme (including access to all support),,Resources,,,Renewal of annual subscription to Citizen Space online consultation programme (including access to all support),SUBSCRIPTIONS,,,,,,,7995,,0,DELIB LIMITED,,,379053,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,529071,,Services provided at various schools from April 2016 - July 2016 Invoice No: 360 14/10/16,,Children's Services,,,Services provided at various schools from April 2016 - July 2016 Invoice No: 360 14/10/16,SCHOOLS-PROFESSIONAL,,,,,,,7533.2,,0,RESPECTRUM ADVISORY SERVICES LTD,,,2178013,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,526635,,Grant payment to: Norfolk Community Foundation re: WW1 fund,,Finance & Property,,,Grant payment to: Norfolk Community Foundation re: WW1 fund,GRANTS.GRANTS TO VOLUNTARY AND SOC ENTERPRISE,,,,,,,7519,,0,NORFOLK COMMUNITY FOUNDATION,,,1165780,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,525998,,CSDMUS - SHARED Enterprise Cohort Evaluation work. To be invoiced in installments,,Community and Environmental Services,,,CSDMUS - SHARED Enterprise Cohort Evaluation work. To be invoiced in installments,HR-TRAINERS & TUTORS,,,,,,,7412,,0,Redacted � Personal Data,,,Redacted,,Yes,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,532754,,Norwich Cycling Interview Surveys,,Community and Environmental Services,,,Norwich Cycling Interview Surveys,HIGHWAYS-PROFESSIONAL SERVICES.VISUAL ROAD AND FOOTWAY SURVEY,,,,,,,7061.9,,0,TRACSIS TRAFFIC DATA LIMITED,,,1953856,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,532496,,CORONER: Rent & Service charge for the Coroner's Court 25 Dec 2016 to 24 Mar 2017 Invoice No. R508156 Midos Properties Management Ltd,,Resources,,,CORONER: Rent & Service charge for the Coroner's Court 25 Dec 2016 to 24 Mar 2017 Invoice No. R508156 Midos Properties Management Ltd,FM-RENT & RATES.RENT,,,,,,,7057.06,,0,MIDOS PROPERTIES MANAGEMENT LTD,,,2185143,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,524610,,CORONER: Rent and Service Charge for the Coroner's Court 24 Jun 2016 to 28 Sep 2016 Invoice No. R 508038 Midos Properties Ltd,,Resources,,,CORONER: Rent and Service Charge for the Coroner's Court 24 Jun 2016 to 28 Sep 2016 Invoice No. R 508038 Midos Properties Ltd,FM-RENT & RATES.RENT,,,,,,,7057.06,,0,MIDOS PROPERTIES MANAGEMENT LTD,,,2185143,,,,,,
Norfolk County Council,http://opendatacommunities.org/doc/county-council/norfolk,12/12/2016,532668,,Invoice 056 AB Development and Consultancy Solutions Ltd Interim statutory DCS 7.5 days November  2016 ( 3 half days off site ) plus expenses,,Children's Services,,,Invoice 056 AB Development and Consultancy Solutions Ltd Interim statutory DCS 7.5 days November  2016 ( 3 half days off site ) plus expenses,HR-LEADERSHIP DEVELOPMENT,,,,,,,6951.6,,0,AB DEVELOPMENT AND CONSULTANCY SOLUTIONS LTD,,,1983036,,,,,,
