Ratepayer Name,Property Address,PROPREF,RV
Klassiker 911 Ltd,"Unit 11 Heaton Estate, Bradford Road, Brighouse, HD6 4BW",29080773,6500
,"Unit 12, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29080779,5700
,"R/O 63 Bradford Road, Brighouse, HD6 1RS",29080782,4350
,"Ground Floor & Basement, 67 Bradford Road, Brighouse, HD6 1RS",29080784,4800
Symphony Financial Advisors Ltd,"126 Bradford Road, Brighouse, HD6 4AU",29080793,5100
,"59/61 Bradford Road, Brighouse, HD6 1RS",29080795,6700
Z A Service Station Ltd,"364 Bradford Road, Brighouse, HD6 4DH",29080798,8200
,"Unit 1, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",29084535,9000
,"607 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084607,2850
,"609 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084609,4000
,"617 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084617,7000
,"619 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DL",29084619,3300
,"621 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084621,3600
,"623 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084623,3400
,"625 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084625,2700
,"627 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084627,3900
Bailiff Bridge Dental Practice Ltd,"629 Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084629,5800
,"633c Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084633,6900
A & B Surface Markings Ltd,"Unit 1, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084712,10000
,"Unit 3, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084721,5400
,"Unit 7, Branxholme Estate, Bradford Road, Brighouse           HD6 4EA",29084724,5700
,"Unit 13, Calder Industrial Estate, 370 Bradford Road, Brighouse            HD6 4DJ",29084732,3500
,"Unit 8, Calder Industrial Estate, 370 Bradford Road, Brighouse            HD6 4DJ",29084735,3550
White Rose Windows Ltd,"Unit 6 & 7, 370 Bradford Road, Brighouse, HD6 4DJ",29084739,10250
,"633a Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084741,4050
,"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",29084742,3100
,"Summerfield Garage, 535 Bradford Road, Bailiff Bridge, Brighouse           HD6 4DL",29084743,10250
,"635A Bradford Road, Bailiff Bridge, Brighouse, HD6 4DY",29084746,2500
,"Unit 2A, Calder Business Park, 370 Bradford Road, Brighouse           HD6 4DJ",29084756,5600
Traffic Management Technologies Ltd,"Unit 5 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",29084782,5800
Energy Renovation Systems Ltd,"Unit 6 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",29084783,7600
M G Lifestyle (Uk) Ltd,"Unit 1 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084792,8600
Mr David Smith,"Unit 2 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084793,8600
,"Unit 3 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084794,8600
,"Unit 6 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084797,8600
,"Unit 7 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084798,8600
,"Unit 8 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084799,8600
,"Unit 11 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084802,8600
Joseph Fee Builders,"Garage Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084805,3200
,"Unit B4 Ground Floor, Clifton House, Bradford Road, Bailiff Bridge       HD6 4EJ",29084809,2600
,"B1 Ground Floor, Clifton House, Bradford Road, Brighouse            HD6 4EJ",29084816,7200
Kgs Recruitment Service Ltd,"Suite 5 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084824,2225
Firth Carpets & Flooring Ltd,"Suite 6 Clifton House, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EJ",29084825,2425
Supply Education Ltd,"Office 7 First Floor, Clifton House, Bradford Road, Bailiff Bridge",29084827,4100
,"Unit 3, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",29084830,6700
Paradigm Shift Training Ltd,"Unit 8 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",29084831,6000
,"Unit 9 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",29084832,5500
,"Unit 12B Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084833,6400
Property Projections Ltd,"Unit 12A Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",29084834,6700
,"Unit 2, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",29084835,6600
Energy Unique Ltd,"Office 1-2, First Floor Clifton House, Bradford Road, Brighouse            HD6 4EJ",29084836,3600
,"Unit 13, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",29084837,11250
Proplus Installation Products Limited,"Unit 14, Branxholme Industrial Estate, Bradford Road, Bailiff Bridge",29084842,7900
,"10 Bramston Street, Brighouse, HD6 3AA",29088010,4100
,"Bramston Street, Brighouse, HD6 3AA",29088701,8700
,"Hillside Garage, Bramston Street, Brighouse, HD6 3AA",29088712,10750
,"10 Bridge End, Brighouse, HD6 3DH",29092010,2650
Mac Financial Services Ltd,"18/20 Bridge End, Brighouse, HD6 3DH",29092018,3500
The Quality Koi Company Ltd,"Sugden Memorial Hall, Bridge End, Brighouse, HD6 3DH",29092700,9500
,"Railway Arch No. 3, Bridge End, Brighouse, HD6 3DH",29092703,2850
,"Star Inn, 29 Bridge End, Brighouse, HD6 3DN",29092705,6400
,"4/8 Bridge End, Brighouse, HD6 3DH",29092706,3900
,"Unit 3 Bridge Road Works, Bridge Road, Brighouse, HD6 1EP",29096707,4750
,"Unit 5 Bridge Road Works, Bridge Road, Brighouse, HD6 1EP",29096709,2500
Brighouse Sheds Ltd,"Unit 4A Bridge Road Works, Bridge Road, Brighouse, HD6 1EP",29096711,3950
Watershed Claims Services Ltd,"Wellington House, Briggate, Brighouse, HD6 1DN",29100700,8100
Tbi (Yorkshire) Ltd,"The Bridge, 62 Briggate, Brighouse, HD6 1EF",29100704,7000
Brighouse Assembly Rooms Ltd,"Masonic Hall, Adj 72 Briggate, Brighouse, HD6 1EL",29100707,8600
League Publications Ltd,"1st Floor Wellington House, Briggate, Brighouse, HD6 1DN",29100709,10250
,"52 Briggate, Brighouse, HD6 1EF",29100713,4200
,"98A Briggate, Brighouse, HD6 1EL",29100714,2400
,"100A Briggate, Brighouse, HD6 1EL",29100715,2750
,"Grey Shed   Springvale Works, Elland Road, Brighouse, HD6 2RN",29112703,10000
Treble Clef Ltd,"5 Canal Street, Brighouse, HD6 1NR",29128703,6100
,"Rastrick Tennis Club, Carr Green Lane, Rastrick, Brighouse           HD6 3LT",29132701,8900
Duckworth Installations Ltd,"5 Carr Street, Brighouse, HD6 4AZ",29136701,5600
,"1 Castle Avenue, Brighouse, HD6 3HT",29140001,5700
,"Castle Avenue Fisheries, Castle Avenue, Brighouse, HD6 3HT",29140003,2650
Lotech Pharmacia Ltd,"2 Castle Avenue, Brighouse, HD6 3HT",29140701,7500
,"Model Railway Club, Cawcliffe Road, Brighouse, HD6 2HP",29144700,1575
,"Ravensprings, Cawcliffe Road, Brighouse, HD6 2HP",29144701,1600
,"17 Charles Street, Brighouse, HD6 2DX",29152017,8300
,"1 Church Lane, Brighouse, HD6 1AT",29156001,3450
Peritus Health Management Ltd,"16A Church Lane, Brighouse, HD6 1AT",29156710,7500
Healthpharm Yorkshire Ltd,"Brighouse Pharmacy, 24 Church Lane, Brighouse, HD6 1AT",29156726,7300
Pickles Architects,"Ground Floor 2-3, 16 Church Lane, Brighouse, HD6 1AT",29156732,2700
Lindley Financial Management Limited,"Ground Floor 1 4 & 6, 16 Church Lane, Brighouse, HD6 1AT",29156733,4000
,"4 Church Street, Brighouse, HD6 3NF",29160004,6300
,"5 Church Street, Brighouse, HD6 3NF",29160005,3850
,"7 Church Street, Brighouse, HD6 3NF",29160007,4100
,"9 Church Street, Brighouse, HD6 3NF",29160009,3800
,"10 Church Street, Brighouse, HD6 3NF",29160010,2950
,"2 Church Street, Brighouse, HD6 3NF",29160701,8300
,"15 Church Street, Brighouse, HD6 3NF",29160703,5700
,"1 Cliffe Road, Brighouse, HD6 1HE",29172001,2300
The Cliffe Hall Club Ltd,"Cliffe Hall, 9 Cliffe Road, Brighouse, HD6 1HE",29172009,3750
,"Cliffe Works, Cliffe Road, Brighouse, HD6 1HE",29172701,4550
,"4 Clifton Common, Clifton, Brighouse, HD6 1QW",29176004,2750
,"Roundhill Inn, 75 Clough Lane, Rastrick, Brighouse           HD6 3QL",29184701,6900
Sean Custance Master Butchers Ltd,"3 Commercial Street, Brighouse, HD6 1AF",29196003,8900
,"First Floor, 25 Commercial Street, Brighouse, HD6 1AF",29196025,7700
Kash News & Gifts Ltd,"51 Commercial Street, Brighouse, HD6 1AF",29196051,11000
Sandy & Bielby Ltd,"Ground Floor, 96 Commercial Street, Brighouse, HD6 1AQ",29196096,8900
,"100 Commercial Street, Brighouse, HD6 1AQ",29196100,9600
Peter David Properties Brighouse Ltd,"102 Commercial Street, Brighouse, HD6 1AQ",29196102,9900
,"104 Commercial Street, Brighouse, HD6 1AQ",29196104,8000
,"106 Commercial Street, Brighouse, HD6 1AQ",29196106,9400
,"108 Commercial Street, Brighouse, HD6 1AQ",29196108,9600
,"110 Commercial Street, Brighouse, HD6 1AQ",29196110,7800
,"112 Commercial Street, Brighouse, HD6 1AQ",29196112,4800
,"114 Commercial Street, Brighouse, HD6 1AQ",29196114,5000
,"1ST Floor, 72A/74A Commercial Street, Brighouse, HD6 1AQ",29196709,6300
,"3A Commercial Street, Brighouse, HD6 1AF",29196719,6600
,"128 Crowtrees Lane, Brighouse, HD6 3NH",29200128,2950
,"1/2 Crowtrees Parade, Crowtrees Lane, Brighouse, HD6 3XE",29200710,11500
,"Unit J, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",29232706,2500
,"Unit O, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",29232712,3650
,"Unit 4, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",29232717,6500
Inter Motors Ltd,"Unit 3a, Royd Mills Business Park, Dyehouse Lane, Brighouse           HD6 1LL",29232719,6700
,"Unit G, Royd Mills Business Park, Dyehouse Lane, Brighouse            HD6 1LL",29232724,8300
,"98 Elland Road, Brighouse, HD6 2QR",29236098,7900
,"Cromwell Lake, Elland Road, Brighouse, HD6 2RG",29236705,7900
Replay Events Ltd,"Office No. T05, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236742,2125
Coverall Flooring Ltd,"Office  No. T08, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236746,2600
Bestmed On Line Ltd,"Office No. T07, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236748,1850
Lm Health Care Ltd,"7B Brookfoot Business Park, Elland Road, Brighouse, HD6 2SD",29236763,5400
Edwards Towbars (Brighouse) Ltd,"Unit 1, Vine Industrial Estate, Elland Road, Brighouse            HD6 2QS",29236770,3100
Yfr Autos Ltd,"Units 2/3, Vine Industrial Estate, Elland Road, Brighouse            HD6 2QS",29236776,8500
,"Unit 4 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236803,7100
Freshwater Environment Ecology Trust,"Office No T04, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236810,1200
Calder Lifting Services  Ltd,"Warehouse 1 Pt Basement, Cromwell House, Elland Road, Brighouse            HD6 2RG",29236812,6500
,"Office Nos G03 & G05, Cromwell House, Elland Road, Brighouse            HD6 2RG",29236814,1900
Emerald Doors Ltd,"Part Ground Floor, Cromwell House, Elland Road, Brighouse            HD6 2RG",29236815,8600
,"Unit 6 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236816,3150
Idle Greetings Ltd,"Unit 5 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236817,5200
G.B Windows [Halifax] Ltd,"Unit 3 Springvale Works, Elland Road, Brighouse, HD6 2RN",29236818,6000
,"Office G01, Gf Cromwell House, Elland Road, Brighouse            HD6 2RG",29236823,2125
,"Store G02, Gf Cromwell House, Elland Road, Brighouse            HD6 2RG",29236824,620
Oilswell Ltd,"Part Basement, Cromwell House, Elland Road, Brighouse            HD6 2RG",29236826,6400
Calder Valley Conservative Association,"Unit 7A 1ST Floor, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236827,4250
Mr Craig Whitaker Mp,"Unit 7C, Brookfoot Business Park, Elland Road, Brighouse            HD6 2SD",29236828,4050
Kip McGrath (Brighouse) Lp,"Office Nos T01-T03, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",29236829,3600
,"Vulcan House, Foundry Street, Brighouse, HD6 1LT",29256705,8900
,"1 Garden Road, Brighouse, HD6 2AX",29264001,3500
,"9 Garden Road, Brighouse, HD6 2AX",29264009,6300
,"12 Garden Road, Brighouse, HD6 2AX",29264012,3750
,"14 Garden Road, Brighouse, HD6 2AX",29264014,7100
,"9 Gooder Lane, Brighouse, HD6 1HF",29272009,5900
,"18/20 Gooder Lane, Brighouse, HD6 1HF",29272018,2050
,"32 Gooder Lane, Brighouse, HD6 1HT",29272032,1950
,"34 Gooder Lane, Brighouse, HD6 1HT",29272034,3850
,"Gooder Lane, Brighouse, HD6 1HT",29272702,5500
Railcom Ltd,"Commercial Inn, 1 Gooder Lane, Brighouse, HD6 1HF",29272704,7500
,"The Mushroom, Gooder Street, Brighouse, HD6 1AT",29272707,1950
,"38 Gooder Lane, Brighouse, HD6 1HT",29272709,3250
,"36 Gooder Lane, Brighouse, HD6 1HT",29272710,3150
Bespoke Detailing Solutions Ltd,"Unit 1B Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH",29274706,2375
Revolution Porsche Specialists Ltd,"Unit 1A Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH",29274707,10250
,"The Club, 1 Greenhead Lane, Brighouse, HD6 3PS",29280700,3100
,"Blue Portacabin, Grove Street, Brighouse, HD6 1PL",29284720,1550
,"Unit 9 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284731,4250
,"Unit 4 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL",29284733,6725
,"Unit 2, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284736,5800
,"Unit 12, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284737,3250
,"Unit 10, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",29284738,2500
,"4 Half House Lane, Brighouse, HD6 2PH",29292004,1900
,"260 Halifax Road, Brighouse, HD6 2QG",29296260,3700
,"278 Halifax Road, Brighouse, HD6 2PB",29296278,3100
,"310 Halifax Road, Brighouse, HD6 2PB",29296290,6400
Randal & Co Accountants Ltd,"415 Halifax Road, Brighouse, HD6 2PD",29296415,4550
J B Hill & Sons Ltd,"Halifax Road, Brighouse, HD6 2QJ",29296700,7100
Pond Quarry Stone Co Ltd,"Pond Quarry, Halifax Road, Brighouse, HD6 2PB",29296705,8700
,"20 Halifax Road, Brighouse, HD6 2AG",29296708,6000
,"Dusty Miller Inn, 290 Halifax Road, Brighouse, HD6 2PB",29296710,6200
W T Groome Ltd,"Cafe At The Nurseries, Halifax Road, Brighouse, HD6 2QD",29296725,9300
Frank Harrison Brighouse Limited,"Unit 11 The Nurseries, Halifax Road, Brighouse, HD6 2QD",29296726,5200
Bodyshape Brighouse Ltd,"Unit 6 The Nurseries, Halifax Road, Brighouse, HD6 2QD",29296730,3200
,"Unit 1 The Nurseries, Halifax Road, Brighouse, HD6 2QD",29296734,2075
,"Units 4&5 The Nurseries, Halifax Road, Brighouse, HD6 2QD",29296735,3350
,"Unit 2 The Nurseries, Halifax Road, Brighouse, HD6 2QD",29296737,2400
,"Unit 8 The Nurseries, Halifax Road, Brighouse, HD6 2QD",29296739,3200
Russell Truck Wash Ltd,"Uk Truck Clean, Harsthead Moor Service Area, Hartshead Moor, Brighouse            HD6 4JX",29308721,7500
,"S/O 6 Hey Street, Brighouse, HD6 4AT",29320701,1850
,"2 High Street, Brighouse, HD6 1DE",29324002,7400
,"97 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328097,1725
,"99 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328099,5100
Highfield Newsagents (Yorkshire) Ltd,"87 Highfield Road, Rastrick, Brighouse, HD6 3JA",29328701,4300
,"T62, Highmoor Lane, Clifton, Brighouse            HD6 4JB",29337705,790
,"4 Huddersfield Road, Brighouse, HD6 1JZ",29344004,10500
PS4 Fitness Ltd,"12 Huddersfield Road, Brighouse, HD6 1JZ",29344012,7000
,"28 Huddersfield Road, Brighouse, HD6 1HA",29344028,4300
,"Unit 10, 32 Huddersfield Road, Brighouse, HD6 1HA",29344842,9800
J W Ellison & Co Ltd,"18 Huddersfield Road, Brighouse, HD6 1HA",29344848,3850
Rhinestones On-Line Ltd & Axznt Ltd,"14 Huddersfield Road, Brighouse, HD6 1JZ",29344851,6200
,"1 King Street, Brighouse, HD6 1NX",29372001,7100
Jmv Contracts Ltd,"Unit 3 The Mill, Laura Street, Brighouse, HD6 1JD",29376708,2750
Halifax Air Systems Ltd,"Units 1 & 2 The Mill, Laura Street, Brighouse, HD6 1JD",29376709,2700
,"15 Lightcliffe Road, Brighouse, HD6 2DR",29384015,4150
,"17 Lightcliffe Road, Brighouse, HD6 2DR",29384017,4100
,"18 Lightcliffe Road, Brighouse, HD6 2DR",29384018,4000
,"19 Lightcliffe Road, Brighouse, HD6 2DR",29384019,4350
,"21 Lightcliffe Road, Brighouse, HD6 2DR",29384021,4550
,"23 Lightcliffe Road, Brighouse, HD6 2DR",29384023,3700
,"25 Lightcliffe Road, Brighouse, HD6 2DR",29384025,2950
,"29 Lightcliffe Road, Brighouse, HD6 2DR",29384029,4450
Dust Collector Tubes Ltd,"97 Lightcliffe Road, Brighouse, HD6 2HJ",29384097,2325
Digitronix Ltd,"22A Lightcliffe Road, Brighouse, HD6 2DJ",29384701,11500
,"Lightcliffe Road, Brighouse, HD6 2DJ",29384704,4300
,"3 Market Street, Brighouse, HD6 1AP",29404003,7300
,"5 Market Street, Brighouse, HD6 1AP",29404005,7800
,"6 Market Street, Brighouse, HD6 1AP",29404006,6500
,"8 Market Street, Brighouse, HD6 1AP",29404008,5600
,"11 Market Street, Brighouse, HD6 1AP",29404011,3850
,"13 Market Street, Brighouse, HD6 1AP",29404013,5200
Your Geeky Kit Ltd,"15 Market Street, Brighouse, HD6 1AP",29404015,6400
,"17 Market Street, Brighouse, HD6 1AP",29404017,8000
,"19 Market Street, Brighouse, HD6 1AP",29404019,8900
Vesa Mount Ltd,"Office 4 & 5, Part 2ND Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",29404707,2500
Project 1 Architectural Designs Ltd,"2 Martin House, Martin Street, Brighouse, HD6 1DA",29408700,1550
,"3/4 Martin House, Martin Street, Brighouse, HD6 1DA",29408701,2800
,"7 Martin House, Martin Street, Brighouse, HD6 1DA",29408705,4000
,"8 Martin House, Martin Street, Brighouse, HD6 1DA",29408706,1575
Angel Fp Ltd,"1 & 5 Martin House, Martin Street, Brighouse, HD6 1DA",29408711,2550
D D M E Ltd,"Unit 3, 7 Martin Street, Brighouse, HD6 1DA",29408714,3300
Halifax & Huddersfield Bga Ltd,"Unit 4B, 7 Martin Street, Brighouse, HD6 1DA",29408715,1575
R M Mason Ltd,"Unit 4A, 7 Martin Street, Brighouse, HD6 1DA",29408716,1600
,"Music 1, 7 Martin Street, Brighouse, HD6 1DA",29408720,2850
Castles Electrical Services Ltd,"Unit 5, 7 Martin Street, Brighouse, HD6 1DA",29408723,4600
Lovebread C.I.C,"Unit 2, 7 Martin Street, Brighouse, HD6 1DA",29408724,2475
,"Unit 1/1A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420737,4550
,"Unit 5, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420739,3450
,"Unit 2, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420740,3450
,"79 Mill Lane, Brighouse, HD6 1PN",29420744,3350
,"Unit 3C Wilkin Royd Mills, Mill Lane, Brighouse, HD6 1PN",29420746,3050
,"Unit 103-104, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",29420751,3800
Calder Clutch Company Ltd,"Calder Clutch Co Ltd, Mill Lane, Brighouse, HD6 1PN",29420752,7400
