Department Family,Entity,Date,Expenses Type,Expense Area,Supplier,Transaction Number, Total ,
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Childcare Vouchers - Nov 17,09 Human Resources,FIDELITI LIMITED,0000568045," £32,841.87 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,IT Equipment,06 Finance & Business Development,HP INC.UK LIMITED,0000565124," £34,117.93 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,Grounds Development,18 Capital,IDEAS BY  MUSIC  LTD,0000564681," £68,040.90 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,Proton Beam Development (PBT),18 Capital,INTERSERVE CONSTRUCTION LTD,0000566683," £458,286.62 ",
Department of Health,The Christie NHS Foundation Trust,23/11/2017,Proton Beam Development (PBT),18 Capital,INTERSERVE CONSTRUCTION LTD,0000568144," £1,743,055.50 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,IT Equipment,06 Finance & Business Development,LINCOR SOLUTIONS LTD,0000554685," £60,336.00 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Drugs,011 Drugs,LLOYDSPHARMACY CLINICAL HOMECARE,0000567340," £37,979.00 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Rates 17/18,08 Estates & Facilities,M/CR CITY COUNCIL (RATES) DD,0000569016," £71,296.00 ",
Department of Health,The Christie NHS Foundation Trust,23/11/2017,Proton Beam Development (PBT),18 Capital,MACE LTD,0000561242," £27,990.00 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Blood Products,02 Cancer Networked Services,NHS BLOOD AND TRANSPLANT,0000565549," £52,265.36 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Blood Products,02 Cancer Networked Services,NHS BLOOD AND TRANSPLANT,0000566292," £34,566.80 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Blood Products,02 Cancer Networked Services,NHS BLOOD AND TRANSPLANT,0000569072," £178,854.08 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,NHS Litigation (NHSLA),06 Finance & Business Development,NHS LITIGATION AUTHORITY,0000569023," £73,421.70 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,Stock for all Wards & Departments,Stock for all Wards & Departments,NHS SUPPLY CHAIN,0000565720," £39,964.38 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,Stock for all Wards & Departments,Stock for all Wards & Departments,NHS SUPPLY CHAIN,0000566349," £36,633.14 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,Medical Equipment,18 Capital,NHS SUPPLY CHAIN,0000565086," £82,318.82 ",
Department of Health,The Christie NHS Foundation Trust,09/11/2017,Medical Equipment,18 Capital,NHS SUPPLY CHAIN,0000564750," £1,564,057.67 ",
Department of Health,The Christie NHS Foundation Trust,09/11/2017,Stock for all Wards & Departments,Stock for all Wards & Departments,NHS SUPPLY CHAIN,0000567036," £41,427.59 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Stock for all Wards & Departments,Stock for all Wards & Departments,NHS SUPPLY CHAIN,0000567446," £52,081.65 ",
Department of Health,The Christie NHS Foundation Trust,23/11/2017,Stock for all Wards & Departments,Stock for all Wards & Departments,NHS SUPPLY CHAIN,0000567874," £44,008.77 ",
Department of Health,The Christie NHS Foundation Trust,23/11/2017,Medical Equipment,01 Cancer Centre Services,NHS SUPPLY CHAIN,0000567759," £255,642.61 ",
Department of Health,The Christie NHS Foundation Trust,23/11/2017,Medical Equipment,01 Cancer Centre Services,NHS SUPPLY CHAIN,567837,"-£37,396.39 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Medical Equipment,01 Cancer Centre Services,NHS SUPPLY CHAIN,0000567769," £201,268.62 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,Medical Equipment,18 Capital,ONCOLOGY IMAGING SYSTEMS LTD,0000565221," £57,291.60 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Audit Services,06 Finance & Business Development,ROYAL LIVERPOOL & BROADGREEN NHS TRUST,0000567650," £25,956.75 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Software Licences,06 Finance & Business Development,SOFTCAT PLC,0000566187," £38,196.00 ",
Department of Health,The Christie NHS Foundation Trust,30/11/2017,Software Licences,06 Finance & Business Development,SOFTCAT PLC,0000567414," £169,422.86 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,EPR Systems Maintenance - Sep 17,06 Finance & Business Development,SYSTEM C HEALTHCARE,0000564428," £28,416.00 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Christie @ Oldham - Oct 17 to Dec 17,08 Estates & Facilities,THE PENNINE ACUTE HOSPITAL NHS TRUST,0000565930," £38,140.50 ",
Department of Health,The Christie NHS Foundation Trust,02/11/2017,Critical Care Unit - Sep 17,01 Cancer Centre Services,UNI HOSP OF SOUTH MANCHESTER NHS FT,0000563886," £28,211.69 ",
Department of Health,The Christie NHS Foundation Trust,09/11/2017,Consultancy Fees Anaesthetics - Sep 17,01 Cancer Centre Services,UNI HOSP OF SOUTH MANCHESTER NHS FT,0000566177," £27,148.17 ",
Department of Health,The Christie NHS Foundation Trust,09/11/2017,Research Project,17 Research & Development,UNIVERSITY OF MANCHESTER,0000564152," £32,005.61 ",
Department of Health,The Christie NHS Foundation Trust,09/11/2017,Christie @ Wigan - Oct 17,02 Cancer Networked Services,WRIGHTINGTON WIGAN AND LEIGH NHS FT,0000565752," £231,448.00 ",
Department of Health,The Christie NHS Foundation Trust,16/11/2017,Christie @ Wigan - Ground Rent & Rates Charges,02 Cancer Networked Services,WRIGHTINGTON WIGAN AND LEIGH NHS FT,0000566621," £32,082.00 ",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
